#BottleID	SampleID	SMCOD	STAID	Reach	Group	AlgaeGroup	Phylum	Family	Genus	Species	Variety	TaxonAuthority	ScientificName	NADEDID	ShortName	SampleProcessingStatusText
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	erifuga		Lange-Bertalot	Navicula erifuga Lange-Bertalot	46648	NAerifga	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	gregaria		Donkin	Navicula gregaria Donkin	46023	NAgregar	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Reimeria	sinuata		(Gregory) Kociolek et Stoermer	Reimeria sinuata (Gregory) Kociolek et Stoermer	55002	REsinuta	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	microcephala		Grunow	Nitzschia microcephala Grunow	48024	NImicroc	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea		(Kützing) Smith	Nitzschia palea (Kützing) Smith	48025	NIpalea	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	debilis		Arnott	Tryblionella debilis Arnott	185002	TYdebili	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	hungarica		(Grunow) Mann	Tryblionella hungarica (Grunow) Mann	185024	TYhungar	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	atomus		Hustedt	Cyclotella atomus Hustedt	20001	CYatomus	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Euglenoids	Euglenophyta	Euglenaceae	Euglena	acus		Ehrenberg	Euglena acus Ehrenberg	970001	EUGacus	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Red Algae	Rhodophyta	(Undetermined)	Unknown Rhodophyte	Florideophycidae (chantransia)			Unknown Rhodophyte Florideophycidae (chantransia) 	1599006	XRHchant	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula	lineata	(Ehrenberg) Van Heurck	Cocconeis placentula var. lineata (Ehrenberg) Van Heurck	16003	CCplalin	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	1?			Gomphonema sp. 1? 	37990	GO1?	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	gastrum	signata	Hustedt	Navicula gastrum var. signata Hustedt	46723	NAgastrm	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	subminuscula		Manguin	Navicula subminuscula Manguin	46562	NAsubmin	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	amphibia		Grunow	Nitzschia amphibia Grunow	48004	NIamphib	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	intermedia		Hantzsch ex Cleve et Grunow	Nitzschia intermedia Hantzsch ex Cleve et Grunow	48153	NIinterm	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	sociabilis		Hustedt	Nitzschia sociabilis Hustedt	48225	NIsociab	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Surirellaceae	Surirella	minuta		Brébisson	Surirella minuta Brébisson	65048	SUminuta	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Aulacoseira	alpigena		(Grunow) Krammer	Aulacoseira alpigena (Grunow) Krammer	10028	AUalpige	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	meneghiniana		Kützing	Cyclotella meneghiniana Kützing	20007	CYmenegh	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Blue-Green Algae	Cyanophyta	Nostocaceae	Anabaena	oscillarioides		Bory	Anabaena oscillarioides Bory	803000	ANBoscil	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Blue-Green Algae	Cyanophyta	Phormidiaceae	Phormidium	nigrum			Phormidium nigrum 	890056	PHRnigrm	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Achnanthaceae	Achnanthidium	minutissimum		(Kützing) Czarnecki	Achnanthidium minutissimum (Kützing) Czarnecki	1010	AHminuti	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Biddulphiaceae	Pleurosira	laevis		(Ehrenberg) Compère	Pleurosira laevis (Ehrenberg) Compère	158001	PRlaevis	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Diatomaceae	Staurosira	construens		(Ehrenberg) Williams et Round	Staurosira construens (Ehrenberg) Williams et Round	172001	SRconstr	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	pediculus		(Kützing) Grunow	Amphora pediculus (Kützing) Grunow	7043	AMpedcls	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	veneta		Kützing	Amphora veneta Kützing	7006	AMveneta	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Caloneis	bacillum		(Grunow) Cleve	Caloneis bacillum (Grunow) Cleve	12001	CAbacill	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Geissleria	decussis		(Hustedt) Lange-Bertalot et Metzeltin	Geissleria decussis (Hustedt) Lange-Bertalot et Metzeltin	210003	GEdecu	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	germainii		Wallace	Navicula germainii Wallace	46616	NAgermii	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	kotschyi		Grunow	Navicula kotschyi Grunow	46269	NAkotsch	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	tenelloides		Hustedt	Navicula tenelloides Hustedt	46401	NAtenell	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	viridula		(Kützing) Kützing emend. Van Heurck	Navicula viridula (Kützing) Kützing emend. Van Heurck	46408	NAvirdla	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	dissipata		(Kützing) Grunow	Nitzschia dissipata (Kützing) Grunow	48008	NIdissip	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Aulacoseira	ambigua		(Grunow) Simonsen	Aulacoseira ambigua (Grunow) Simonsen	10008	AUambig	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Aulacoseira	granulata	angustissima	(Müller) Simonsen	Aulacoseira granulata var. angustissima (Müller) Simonsen	10017	AUgrnang	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Green Algae	Chlorophyta	Scenedesmaceae	Scenedesmus	quadricauda		(Turpin) Brébisson	Scenedesmus quadricauda (Turpin) Brébisson	510001	SCEquadr	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Blue-Green Algae	Cyanophyta	Chroococcaceae	Chroococcus	limneticus		Lemmermann	Chroococcus limneticus Lemmermann	820005	CHOlimnt	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula	euglypta	(Ehrenberg) Cleve	Cocconeis placentula var. euglypta (Ehrenberg) Cleve	16005	CCplaeug	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Diatomaceae	Synedra	ulna		(Nitzsch) Ehrenberg	Synedra ulna (Nitzsch) Ehrenberg	66024	SYulna	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	parvulum		(Kützing) Kützing	Gomphonema parvulum (Kützing) Kützing	37010	GOparvul	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphosphenia	lingulatiformis		(Lange-Bertalot et Reichardt) Lange-Bertalot	Gomphosphenia lingulatiformis (Lange-Bertalot et Reichardt) Lange-Bertalot	209003	GMlinfor	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	5 ?			Navicula sp. 5 ? 	46994	NA5?	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	lanceolata		(Agardh) Ehrenberg	Navicula lanceolata (Agardh) Ehrenberg	46859	NAlancel	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	minima		Grunow	Navicula minima Grunow	46039	NAminima	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	rostellata		Kützing	Navicula rostellata Kützing	46896	NArostel	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	tripunctata		(Müller) Bory	Navicula tripunctata (Müller) Bory	46104	NAtripun	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Rhoicosphenia	abbreviata		(Agardh) Lange-Bertalot	Rhoicosphenia abbreviata (Agardh) Lange-Bertalot	57002	ROabbre	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	acicularis		(Kützing) Smith	Nitzschia acicularis (Kützing) Smith	48002	NIacicul	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	inconspicua		Grunow	Nitzschia inconspicua Grunow	48122	NIincons	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Green Algae	Chlorophyta	Desmidiaceae	Cosmarium	granulatum		West	Cosmarium granulatum West	327069	COSgranl	Completed
43	41	UIRB0799AQE1030B	05520500	A	N	Green Algae	Chlorophyta	Scenedesmaceae	Scenedesmus	dimorphus		(Turpin) Kützing	Scenedesmus dimorphus (Turpin) Kützing	510000	SCEdimor	Completed
49	48	UIRB0799AQE1036A	05525500	A	N	Green Algae	Chlorophyta	Cladophoraceae	Cladophora	glomerata		(Linnaeus) Kützing	Cladophora glomerata (Linnaeus) Kützing	309000	CLAglomr	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	montana		Krasske	Amphora montana Krasske	7042	AMmontan	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Craticula	cuspidata		(Kützing) Mann	Craticula cuspidata (Kützing) Mann	21004	KCcuspid	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	acuminatum		(Kützing) Rabenhorst	Gyrosigma acuminatum (Kützing) Rabenhorst	38001	GYacumin	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	scalproides		(Rabenhorst) Cleve	Gyrosigma scalproides (Rabenhorst) Cleve	38012	GYscalpd	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	canalis		Patrick	Navicula canalis Patrick	46317	NAcanals	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	difficillima		Hustedt	Navicula difficillima Hustedt	46017	NAdiffic	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	subminuscula		Manguin	Navicula subminuscula Manguin	46562	NAsubmin	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	symmetrica		Patrick	Navicula symmetrica Patrick	46400	NAsymtrc	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	frustulum		(Kützing) Grunow	Nitzschia frustulum (Kützing) Grunow	48013	NIfrustu	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	inconspicua		Grunow	Nitzschia inconspicua Grunow	48122	NIincons	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	sigmoidea		(Nitzsch) Ehrenberg	Nitzschia sigmoidea (Nitzsch) Ehrenberg	48177	NIsigdea	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	sociabilis		Hustedt	Nitzschia sociabilis Hustedt	48225	NIsociab	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	victoriae		Grunow	Tryblionella victoriae Grunow	185027	TYvictor	Completed
50	48	UIRB0799AQE1036B	05525500	A	N	Blue-Green Algae	Cyanophyta	Oscillatoriaceae	Oscillatoria	limnetica		Lemmermann	Oscillatoria limnetica Lemmermann	888011	OSClimnt	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Craticula	molestiformis		(Hustedt) Lange-Bertalot	Craticula molestiformis (Hustedt) Lange-Bertalot	21015	KCmoltif	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Cymbella	tumida		(Brébisson ex Kützing) Van Heurck	Cymbella tumida (Brébisson ex Kützing) Van Heurck	23068	CMtumida	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Frustulia	vulgaris		(Thwaites) deToni	Frustulia vulgaris (Thwaites) deToni	35011	FSvulgar	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Hippodonta	capitata		"(Ehrenberg) Lange-Bertalot, Metzeltin et Witkowski"	"Hippodonta capitata (Ehrenberg) Lange-Bertalot, Metzeltin et Witkowski"	213001	HIcapita	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Luticola	goeppertiana		(Bleisch) Mann	Luticola goeppertiana (Bleisch) Mann	130006	LUgoepp2	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	exilis		Kützing	Navicula exilis Kützing	46663	NAexilis	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	germainii		Wallace	Navicula germainii Wallace	46616	NAgermii	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	phyllepta		Kützing	Navicula phyllepta Kützing	46651	NAphylpt	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	rostellata		Kützing	Navicula rostellata Kützing	46896	NArostel	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	trivialis		Lange-Bertalot	Navicula trivialis Lange-Bertalot	46774	NAtrivls	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	agnita		Hustedt	Nitzschia agnita Hustedt	48274	NIagnita	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	linearis	subtilis	Hustedt	Nitzschia linearis var. subtilis Hustedt	48249	NIlinsub	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	tubicola		Grunow ex Cleve et Grunow	Nitzschia tubicola Grunow ex Cleve et Grunow	48349	NItubcla	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Simonsenia	delognei		(Grunow) Lange-Bertalot	Simonsenia delognei (Grunow) Lange-Bertalot	59001	SIdelog	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	debilis		Arnott	Tryblionella debilis Arnott	185002	TYdebili	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	meneghiniana		Kützing	Cyclotella meneghiniana Kützing	20007	CYmenegh	Completed
50	48	UIRB0799AQE1036B	05525500	A	N	Euglenoids	Euglenophyta	Euglenaceae	Euglena	proxima		Dangeard	Euglena proxima Dangeard	970033	EUGprox	Completed
50	48	UIRB0799AQE1036B	05525500	A	N	Green Algae	Chlorophyta	Desmidiaceae	Closterium	lunula		(Möller) Nitzsch	Closterium lunula (Möller) Nitzsch	316009	CLOlunul	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Melosiraceae	Melosira	varians		Agardh	Melosira varians Agardh	44073	MEvarian	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Caloneis	bacillum		(Grunow) Cleve	Caloneis bacillum (Grunow) Cleve	12001	CAbacill	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	minutum		(Agardh) Agardh	Gomphonema minutum (Agardh) Agardh	37178	GOminutm	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	cryptotenella		Lange-Bertalot ex Krammer et Lange-Bertalot	Navicula cryptotenella Lange-Bertalot ex Krammer et Lange-Bertalot	46527	NAcryten	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	lanceolata		(Agardh) Ehrenberg	Navicula lanceolata (Agardh) Ehrenberg	46859	NAlancel	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Reimeria	sinuata		(Gregory) Kociolek et Stoermer	Reimeria sinuata (Gregory) Kociolek et Stoermer	55002	REsinuta	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Rhoicosphenia	abbreviata		(Agardh) Lange-Bertalot	Rhoicosphenia abbreviata (Agardh) Lange-Bertalot	57002	ROabbre	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	dissipata		(Kützing) Grunow	Nitzschia dissipata (Kützing) Grunow	48008	NIdissip	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	heufleriana		Grunow	Nitzschia heufleriana Grunow	48020	NIheufle	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea		(Kützing) Smith	Nitzschia palea (Kützing) Smith	48025	NIpalea	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea	tenuirostris	Grunow	Nitzschia palea var. tenuirostris Grunow	48026	NIpalten	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	apiculata		Gregory	Tryblionella apiculata Gregory	185023	TYapicul	Completed
50	48	UIRB0799AQE1036B	05525500	A	N	Blue-Green Algae	Cyanophyta	(undetermined)	Unknown Cyanophyte	Oscillatoriaceae sp. 1 MSU			Unknown Cyanophyte Oscillatoriaceae sp. 1 MSU 	888119	XBGosc1	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	parvulum		(Kützing) Kützing	Gomphonema parvulum (Kützing) Kützing	37010	GOparvul	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	5 ?			Navicula sp. 5 ? 	46994	NA5?	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	capitatoradiata		Germain	Navicula capitatoradiata Germain	46661	NAcaprad	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	erifuga		Lange-Bertalot	Navicula erifuga Lange-Bertalot	46648	NAerifga	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	menisculus		Schumann	Navicula menisculus Schumann	46373	NAmenscl	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	tenelloides		Hustedt	Navicula tenelloides Hustedt	46401	NAtenell	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	capitellata		Hustedt	Nitzschia capitellata Hustedt	48006	NIcapite	Completed
50	48	UIRB0799AQE1036B	05525500	A	D	Diatoms	Chrysophyta	Surirellaceae	Surirella	minuta		Brébisson	Surirella minuta Brébisson	65048	SUminuta	Completed
50	48	UIRB0799AQE1036B	05525500	A	N	Green Algae	Chlorophyta	Desmidiaceae	Cosmarium	granatum		Brébisson ex Ralfs	Cosmarium granatum Brébisson ex Ralfs	327012	COSgrant	Completed
58	57	UIRB0799AQE1033A	05526000	A	N	Green Algae	Chlorophyta	Cladophoraceae	Cladophora	sp.			Cladophora sp. 	309001	CLAsp	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Encyonema	minutum		(Hilse) Mann	Encyonema minutum (Hilse) Mann	110004	ECminutu	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	minutum		(Agardh) Agardh	Gomphonema minutum (Agardh) Agardh	37178	GOminutm	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	olivaceum		(Lyngbye) Kützing	Gomphonema olivaceum (Lyngbye) Kützing	37065	GOolivcm	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	cryptotenella		Lange-Bertalot ex Krammer et Lange-Bertalot	Navicula cryptotenella Lange-Bertalot ex Krammer et Lange-Bertalot	46527	NAcryten	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	exilis		Kützing	Navicula exilis Kützing	46663	NAexilis	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	kotschyi		Grunow	Navicula kotschyi Grunow	46269	NAkotsch	Completed
59	57	UIRB0799AQE1033B	05526000	A	N	Blue-Green Algae	Cyanophyta	(undetermined)	Unknown Cyanophyte	Oscillatoriaceae sp. 2 MSU			Unknown Cyanophyte Oscillatoriaceae sp. 2 MSU 	888120	XBGosc2	Completed
59	57	UIRB0799AQE1033B	05526000	A	N	Blue-Green Algae	Cyanophyta	Nostocaceae	Anabaena	sp. 1 MSU NAWQA KMM 1998			Anabaena sp. 1 MSU NAWQA KMM 1998 	803025	ANB1MSU	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Achnanthaceae	Planothidium	hauckianum		(Grunow) Round et Bukhtiyarova	Planothidium hauckianum (Grunow) Round et Bukhtiyarova	155015	PThauck	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Diatomaceae	Tabularia	tabulata		(Agardh) Snoeijs	Tabularia tabulata (Agardh) Snoeijs	200001	TBtabula	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Craticula	citrus		(Krasske) Reichardt	Craticula citrus (Krasske) Reichardt	21012	KCcitrus	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Diadesmis	contenta		(Grunow ex Van Heurck) Mann	Diadesmis contenta (Grunow ex Van Heurck) Mann	197002	DIconten	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	1?			Gomphonema sp. 1? 	37990	GO1?	Completed
59	57	UIRB0799AQE1033B	05526000	A	D	Diatoms	Chrysophyta	Naviculaceae	Hippodonta	capitata		"(Ehrenberg) Lange-Bertalot, Metzeltin et Witkowski"	"Hippodonta capitata (Ehrenberg) Lange-Bertalot, Metzeltin et Witkowski"	213001	HIcapita	Completed
