Dataset:              Benthic Species Abundance Data
File Name:            G3_2LA91.TXT
Date Created:         07/29/99
# Variables:          7
# Header Records:     17
# Data Records:       2267
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              #GRABS       Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SDABN        Std. dev. of mean abundance

STA_NAME   DATE LATIN NAME                       #GRABS  T_ABN    M_ABN  SDABN
LA91LR01 910721 PODARKEOPSIS LEVIFUSCINA              3      6     2.00   1.00
LA91LR01 910721 POMATOCEROS AMERICANUS                3     14     4.67   5.51
LA91LR01 910721 PRIONOSPIO HETEROBRANCHIA             3      3     1.00   1.00
LA91LR01 910721 PRIONOSPIO PYGMAEA                    3      2     0.67   0.58
LA91LR01 910721 SABELLARIA FLORIDENSIS                3      4     1.33   1.15
LA91LR01 910721 SCHISTOMERINGOS RUDOLPHI              3      1     0.33   0.58
LA91LR01 910721 SPIOCHAETOPTERUS COSTARUM             3      2     0.67   0.58
LA91LR01 910721 SPIOPHANES BOMBYX                     3      1     0.33   0.58
LA91LR01 910721 TELLINA VERSICOLOR                    3      5     1.67   1.53
LA91LR01 910721 TUBIFICOIDES HETEROCHAETUS            3      2     0.67   1.15
LA91LR01 910721 TUBIFICOIDES SP.A                     3      6     2.00   2.65
LA91LR01 910721 TYPOSYLLIS LUTEA                      3      4     1.33   1.53
LA91LR01 910721 UNID. BRACHYURA                       3      1     0.33   0.58
LA91LR01 910721 UNID. CALLIANASSIDAE                  3      1     0.33   0.58
LA91LR01 910721 UNID. CREPIDULIDAE                    3      1     0.33   0.58
LA91LR01 910721 UNID. MALDANIDAE                      3      1     0.33   0.58
LA91LR01 910721 UNID. NEMERTEA                        3     14     4.67   3.21
LA91LR01 910721 UNID. NEREIDAE                        3      2     0.67   0.58
LA91LR01 910721 UNID. OPHIUROIDEA                     3      8     2.67   3.79
LA91LR01 910721 UNID. PYCNOGONIDA                     3      1     0.33   0.58
LA91LR01 910721 UNID. TUBIFICIDAE                     3     38    12.67   3.06
LA91LR01 910721 XENANTHURA BREVITELSON                3      1     0.33   0.58
LA91LR02 910721 ACANTHOHAUSTORIUS UNCINUS             3      7     2.33   2.52
LA91LR02 910721 ACTEOCINA CANALICULATA                3      4     1.33   1.15
LA91LR02 910721 ARMANDIA MACULATA                     3      1     0.33   0.58
LA91LR02 910721 AXIOTHELLA MUCOSA                     3      2     0.67   0.58
LA91LR02 910721 ERVILIA CONCENTRICA                   3      7     2.33   1.53
LA91LR02 910721 EUDEVENOPUS HONDURANUS                3     11     3.67   0.58
LA91LR02 910721 GLOTTIDIA SP.                         3      1     0.33   0.58
LA91LR02 910721 GLYCINDE SOLITARIA                    3      1     0.33   0.58
LA91LR02 910721 GONIOCUNA DALLI                       3     26     8.67   6.43
LA91LR02 910721 HOBSONIA FLORIDA                      3      1     0.33   0.58
LA91LR02 910721 KALLIAPSEUDES SP.A                    3      1     0.33   0.58
LA91LR02 910721 LUCIFER FAXONI                        3      6     2.00   1.00
LA91LR02 910721 LUCINA RADIANS                        3      3     1.00   1.00
LA91LR02 910721 MACROCALLISTA NIMBOSA                 3      1     0.33   0.58
LA91LR02 910721 MEDIOMASTUS SP.                       3      1     0.33   0.58
LA91LR02 910721 METHARPINIA FLORIDANA                 3      1     0.33   0.58
LA91LR02 910721 MONOCULODES NYEI                      3      1     0.33   0.58
LA91LR02 910721 NATICA PUSILLA                        3      1     0.33   0.58
LA91LR02 910721 NEANTHES ACUMINATA                    3      1     0.33   0.58
LA91LR02 910721 NEPHTYS PICTA                         3      5     1.67   1.15
LA91LR02 910721 OLIVELLA DEALBATA                     3      1     0.33   0.58
LA91LR02 910721 OLIVELLA MINUTA                       3      8     2.67   2.52
LA91LR02 910721 OWENIA SP.A                           3      1     0.33   0.58
LA91LR02 910721 PARAHAUSTORIUS LONGIMERUS             3      1     0.33   0.58
LA91LR02 910721 PARAPIONOSYLLIS SP.A                  3      2     0.67   1.15
LA91LR02 910721 PARASTARTE TRIQUETRA                  3      1     0.33   0.58
LA91LR02 910721 PINNIXA SP.                           3      1     0.33   0.58
LA91LR02 910721 PROCESSA HEMPHILLI                    3      1     0.33   0.58
LA91LR02 910721 PROTOHAUSTORIUS BOUSFIELDI            3     27     9.00   2.65
LA91LR02 910721 PSEUDOHAUSTORIUS SP.A                 3      2     0.67   0.58
LA91LR02 910721 SPIO PETTIBONEAE                      3      1     0.33   0.58
LA91LR02 910721 STREBLOSPIO BENEDICTI                 3      4     1.33   2.31
LA91LR02 910721 TELLINA TENELLA                       3     11     3.67   1.15
LA91LR02 910721 TUBIFICOIDES HETEROCHAETUS            3      1     0.33   0.58
LA91LR02 910721 UNID. ANTHOZOA                        3      1     0.33   0.58
LA91LR02 910721 UNID. CARIDEA                         3      1     0.33   0.58
LA91LR02 910721 UNID. GASTROPODA                      3     28     9.33  16.17
LA91LR02 910721 UNID. HAUSTORIIDAE                    3      1     0.33   0.58
LA91LR02 910721 UNID. NEMERTEA                        3      4     1.33   1.53
LA91LR02 910721 UNID. TURBELLARIA                     3      1     0.33   0.58
LA91LR02 910721 XENANTHURA BREVITELSON                3      5     1.67   1.53
LA91LR03 910722 ABRA AEQUALIS                         3      4     1.33   2.31
LA91LR03 910722 ABRA LIOICA                           3      1     0.33   0.58
LA91LR03 910722 ACTEOCINA CANALICULATA                3      1     0.33   0.58
LA91LR03 910722 AGLAOPHAMUS VERRILLI                  3      1     0.33   0.58
LA91LR03 910722 AMAEANA TRILOBATA                     3      2     0.67   0.58
LA91LR03 910722 AMPELISCA HOLMESI                     3      1     0.33   0.58
LA91LR03 910722 AMPELISCA SP.A                        3      3     1.00   1.00
LA91LR03 910722 AMPELISCA SP.C                        3     11     3.67   2.52
LA91LR03 910722 ARICIDEA ALISDAIRI                    3      6     2.00   1.00
LA91LR03 910722 ARICIDEA LOPEZI                       3      1     0.33   0.58
LA91LR03 910722 ARICIDEA PHILBINAE                    3      1     0.33   0.58
LA91LR03 910722 ARICIDEA SP.                          3      1     0.33   0.58
LA91LR03 910722 ARICIDEA SUECICA                      3      2     0.67   1.15
LA91LR03 910722 BHAWANIA HETEROSETA                   3      1     0.33   0.58
LA91LR03 910722 BIFFARIUS BIFORMIS                    3      3     1.00   1.73
LA91LR03 910722 CERATONEREIS IRRITABILIS              3      1     0.33   0.58
LA91LR03 910722 CIRROPHORUS SP.                       3     10     3.33   2.08
LA91LR03 910722 CORBULA BARRATTIANA                   3      1     0.33   0.58
LA91LR03 910722 DIPLODONTA PUNCTATA                   3      7     2.33   2.52
LA91LR03 910722 GLYCINDE SOLITARIA                    3      1     0.33   0.58
LA91LR03 910722 KINBERGONUPHIS SIMONI                 3      2     0.67   0.58
LA91LR03 910722 LAEONEREIS CULVERI                    3      1     0.33   0.58
LA91LR03 910722 LINGA AMIANTUS                        3     14     4.67   3.21
LA91LR03 910722 LISTRIELLA BARNARDI                   3      2     0.67   0.58
LA91LR03 910722 LUCINA RADIANS                        3     10     3.33   2.52
LA91LR03 910722 LUMBRINERIS SP.                       3      1     0.33   0.58
LA91LR03 910722 LUMBRINERIS SP.A                      3     19     6.33   4.73
LA91LR03 910722 LUMBRINERIS TENUIS                    3     14     4.67   3.79
LA91LR03 910722 MAGELONA PETTIBONEAE                  3      1     0.33   0.58
LA91LR03 910722 MAGELONA SP.                          3      1     0.33   0.58
LA91LR03 910722 MEDIOMASTUS SP.                       3     10     3.33   1.15
LA91LR03 910722 MEGALOMMA BIOCULATUM                  3      1     0.33   0.58
LA91LR03 910722 MYRIOCHELE OCULATA                    3     16     5.33   1.53
LA91LR03 910722 NATICA PUSILLA                        3      3     1.00   1.00
LA91LR03 910722 NEANTHES SUCCINEA                     3      1     0.33   0.58
LA91LR03 910722 NEPHTYS PICTA                         3      1     0.33   0.58
LA91LR03 910722 NOTOMASTUS SP.                        3      1     0.33   0.58
LA91LR03 910722 NUCULA CRENULATA                      3      1     0.33   0.58
LA91LR03 910722 NUCULANA CONCENTRICA                  3     14     4.67   4.04
LA91LR03 910722 OWENIA SP.A                           3      1     0.33   0.58
LA91LR03 910722 PAGURUS GYMNODACTYLUS                 3      2     0.67   1.15
LA91LR03 910722 PAGURUS SP.                           3      1     0.33   0.58
LA91LR03 910722 PARAPRIONOSPIO PINNATA                3      5     1.67   0.58
LA91LR03 910722 PHORONIS MUELLERI                     3      1     0.33   0.58
LA91LR03 910722 PISTA QUADRILOBATA                    3      1     0.33   0.58
LA91LR03 910722 PODARKEOPSIS LEVIFUSCINA              3      3     1.00   1.73
LA91LR03 910722 PRIONOSPIO PYGMAEA                    3      7     2.33   1.15
LA91LR03 910722 PSEUDEURYTHOE PAUCIBRANCHIATA         3      4     1.33   1.53
LA91LR03 910722 SIGAMBRA BASSI                        3      2     0.67   0.58
LA91LR03 910722 SIGAMBRA TENTACULATA                  3      1     0.33   0.58
LA91LR03 910722 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
LA91LR03 910722 SPIOPHANES BOMBYX                     3      2     0.67   0.58
LA91LR03 910722 STHENELAIS SP.A                       3      1     0.33   0.58
LA91LR03 910722 STREPTOSYLLIS PETTIBONEAE             3      1     0.33   0.58
LA91LR03 910722 SYNELMIS SP.B                         3      1     0.33   0.58
LA91LR03 910722 TELLINA ALTERNATA                     3      1     0.33   0.58
LA91LR03 910722 TELLINA VERSICOLOR                    3      5     1.67   1.53
LA91LR03 910722 THARYX MARIONI                        3      1     0.33   0.58
LA91LR03 910722 TIRON TRIOCELLATUS                    3      1     0.33   0.58
LA91LR03 910722 TURBONILLA SP.                        3      1     0.33   0.58
LA91LR03 910722 UNID. ACTINIARIA                      3      1     0.33   0.58
LA91LR03 910722 UNID. APSEUDIDAE                      3      1     0.33   0.58
LA91LR03 910722 UNID. BIVALVIA                        3      1     0.33   0.58
LA91LR03 910722 UNID. BRACHYURA                       3      1     0.33   0.58
LA91LR03 910722 UNID. MALDANIDAE                      3      9     3.00   2.00
LA91LR03 910722 UNID. NEMERTEA                        3     16     5.33   1.15
LA91LR03 910722 UNID. OPHIUROIDEA                     3      1     0.33   0.58
LA91LR03 910722 UNID. PAGURIDAE                       3      3     1.00   1.73
LA91LR03 910722 UNID. TELLINIDAE                      3      1     0.33   0.58
LA91LR03 910722 UNID. TEREBELLIDAE                    3      1     0.33   0.58
LA91LR03 910722 UNID. TUBIFICIDAE                     3      4     1.33   0.58
LA91LR03 910722 UNID. TURBELLARIA                     3      2     0.67   1.15
LA91LR05 910818 ANCISTROSYLLIS SP.B                   3      1     0.33   0.58
LA91LR05 910818 COSSURA DELTA                         3      6     2.00   1.73
LA91LR05 910818 DIOPATRA CUPREA                       3      7     2.33   4.04
LA91LR05 910818 MAGELONA SP.H                         3      2     0.67   0.58
LA91LR05 910818 NEANTHES SUCCINEA                     3      1     0.33   0.58
LA91LR05 910818 SIGAMBRA TENTACULATA                  3      1     0.33   0.58
LA91LR05 910818 UNID. MALDANIDAE                      3      1     0.33   0.58
LA91LR05 910818 UNID. NEMERTEA                        3      1     0.33   0.58
LA91LR05 910818 UNID. OPHIUROIDEA                     3      4     1.33   2.31
LA91LR06 910822 BALANUS SP.                           3      1     0.33   0.58
LA91LR06 910822 CAPITELLA CAPITATA                    3      2     0.67   1.15
LA91LR06 910822 CRASSOSTREA VIRGINICA                 3      1     0.33   0.58
LA91LR06 910822 CYATHURA POLITA                       3      5     1.67   0.58
LA91LR06 910822 EDOTEA TRILOBA                        3      1     0.33   0.58
LA91LR06 910822 FICOPOMATUS SP.                       3      1     0.33   0.58
LA91LR06 910822 GITANOPSIS LAGUNA                     3      2     0.67   0.58
LA91LR06 910822 GRANDIDIERELLA BONNIEROIDES           3     55    18.33   5.13
LA91LR06 910822 HOBSONIA FLORIDA                      3     82    27.33   2.52
LA91LR06 910822 MEDIOMASTUS SP.                       3     65    21.67   5.13
LA91LR06 910822 MULINIA LATERALIS                     3      1     0.33   0.58
LA91LR06 910822 MYTILOPSIS LEUCOPHAEATA               3      1     0.33   0.58
LA91LR06 910822 NEANTHES SUCCINEA                     3     28     9.33   2.52
LA91LR06 910822 NERITINA RECLIVATA                    3     19     6.33   5.03
LA91LR06 910822 PARAPIONOSYLLIS SP.A                  3     32    10.67   2.31
LA91LR06 910822 POLYDORA CORNUTA                      3      4     1.33   1.15
LA91LR06 910822 PROBYTHINELLA LOUISIANAE              3      2     0.67   1.15
LA91LR06 910822 RANGIA CUNEATA                        3     18     6.00   1.73
LA91LR06 910822 RHITHROPANOPEUS HARRISII              3      1     0.33   0.58
LA91LR06 910822 STREBLOSPIO BENEDICTI                 3     12     4.00   1.73
LA91LR06 910822 TEXADINA SPHINCTOSTOMA                3      3     1.00   1.73
LA91LR06 910822 TUBIFICOIDES HETEROCHAETUS            3     55    18.33   6.81
LA91LR06 910822 UNID. BIVALVIA                        3      1     0.33   0.58
LA91LR06 910822 UNID. NEMERTEA                        3     16     5.33   3.79
LA91LR06 910822 UNID. NEREIDAE                        3      2     0.67   1.15
LA91LR06 910822 UNID. TUBIFICIDAE                     3      2     0.67   0.58
LA91LR08 910729 BALANUS SP.                           3      5     1.67   2.89
LA91LR08 910729 CYCLASPIS VARIANS                     3      2     0.67   1.15
LA91LR08 910729 DIOPATRA CUPREA                       3      3     1.00   1.00
LA91LR08 910729 GLYCINDE SOLITARIA                    3      8     2.67   1.15
LA91LR08 910729 HETEROMASTUS FILIFORMIS               3      1     0.33   0.58
LA91LR08 910729 LEITOSCOLOPLOS FRAGILIS               3      1     0.33   0.58
LA91LR08 910729 MEDIOMASTUS SP.                       3     26     8.67   8.96
LA91LR08 910729 MULINIA LATERALIS                     3      1     0.33   0.58
LA91LR08 910729 NEANTHES SUCCINEA                     3      2     0.67   1.15
LA91LR08 910729 PARAPIONOSYLLIS SP.A                  3      5     1.67   0.58
LA91LR08 910729 PARAPRIONOSPIO PINNATA                3     11     3.67   3.51
LA91LR08 910729 PECTINARIA GOULDII                    3      1     0.33   0.58
LA91LR08 910729 PHORONIS MUELLERI                     3      1     0.33   0.58
LA91LR08 910729 SIGAMBRA BASSI                        3     14     4.67   3.79
LA91LR08 910729 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
LA91LR08 910729 UNID. NEMERTEA                        3      6     2.00   1.73
LA91LR09 910731 ABRA AEQUALIS                         3      7     2.33   4.04
LA91LR09 910731 ANADARA TRANSVERSA                    3      2     0.67   1.15
LA91LR09 910731 ANCISTROSYLLIS SP.B                   3      3     1.00   1.73
LA91LR09 910731 ARICIDEA ALISDAIRI                    3      1     0.33   0.58
LA91LR09 910731 ARICIDEA SP.                          3      1     0.33   0.58
LA91LR09 910731 ASYCHIS ELONGATUS                     3    100    33.33  20.50
LA91LR09 910731 BHAWANIA HETEROSETA                   3      8     2.67   3.06
LA91LR09 910731 CARAZZIELLA HOBSONAE                  3      1     0.33   0.58
LA91LR09 910731 CERATONEREIS IRRITABILIS              3      1     0.33   0.58
LA91LR09 910731 CIRRIFORMIA SP.A                      3      1     0.33   0.58
LA91LR09 910731 COSSURA DELTA                         3      6     2.00   0.00
LA91LR09 910731 DIOPATRA CUPREA                       3      9     3.00   1.00
LA91LR09 910731 HEMIPHOLIS ELONGATA                   3     31    10.33  10.21
LA91LR09 910731 HETEROMASTUS FILIFORMIS               3      1     0.33   0.58
LA91LR09 910731 LAEONEREIS CULVERI                    3      1     0.33   0.58
LA91LR09 910731 LUMBRINERIS TENUIS                    3     14     4.67   4.51
LA91LR09 910731 MAGELONA SP.H                         3     12     4.00   1.00
LA91LR09 910731 MALMGRENIELLA SP.A                    3      6     2.00   3.46
LA91LR09 910731 MALMGRENIELLA SP.B                    3      9     3.00   4.36
LA91LR09 910731 MEDIOMASTUS SP.                       3     46    15.33  13.65
LA91LR09 910731 MELINNA MACULATA                      3      5     1.67   1.53
LA91LR09 910731 MICROPHIOPHOLIS ATRA                  3      4     1.33   0.58
LA91LR09 910731 MICROPHIOPHOLIS GRACILLIMA            3      1     0.33   0.58
LA91LR09 910731 MICROPHIOPHOLIS SP.                   3      8     2.67   4.62
LA91LR09 910731 MYRIOCHELE OCULATA                    3     19     6.33   6.81
LA91LR09 910731 MYRIOWENIA SP.A                       3      2     0.67   1.15
LA91LR09 910731 MYSELLA SP.A                          3     41    13.67   8.02
LA91LR09 910731 NASSARIUS ACUTUS                      3      2     0.67   0.58
LA91LR09 910731 NEMERTEA SP.A                         3      2     0.67   1.15
LA91LR09 910731 NOTOMASTUS LATERICEUS                 3      3     1.00   1.73
LA91LR09 910731 NUCULANA CONCENTRICA                  3      1     0.33   0.58
LA91LR09 910731 OWENIA SP.A                           3      4     1.33   1.15
LA91LR09 910731 PARAPRIONOSPIO PINNATA                3      6     2.00   1.73
LA91LR09 910731 PERIPLOMA MARGARITACEUM               3      4     1.33   2.31
LA91LR09 910731 PHASCOLION SP.B                       3      4     1.33   1.53
LA91LR09 910731 PHORONIS MUELLERI                     3     22     7.33   5.51
LA91LR09 910731 PINNIXA SP.                           3      1     0.33   0.58
LA91LR09 910731 PISTA CRISTATA                        3      1     0.33   0.58
LA91LR09 910731 PODARKEOPSIS LEVIFUSCINA              3      4     1.33   2.31
LA91LR09 910731 SIGAMBRA BASSI                        3      1     0.33   0.58
LA91LR09 910731 SIGAMBRA TENTACULATA                  3      2     0.67   0.58
LA91LR09 910731 STERNASPIS SCUTATA                    3      4     1.33   0.58
LA91LR09 910731 STRIGILLA SP.                         3      9     3.00   3.00
LA91LR09 910731 TURBONILLA SP.A                       3      3     1.00   1.00
LA91LR09 910731 UNID. BIVALVIA                        3      1     0.33   0.58
LA91LR09 910731 UNID. BRACHYURA                       3      1     0.33   0.58
LA91LR09 910731 UNID. GASTROPODA                      3      1     0.33   0.58
LA91LR09 910731 UNID. LUCINIDAE                       3      2     0.67   1.15
LA91LR09 910731 UNID. MALDANIDAE                      3     45    15.00   5.20
LA91LR09 910731 UNID. NEMERTEA                        3     59    19.67  15.31
LA91LR09 910731 UNID. OPHIUROIDEA                     3     14     4.67   3.06
LA91LR09 910731 UNID. SIPUNCULA                       3      7     2.33   4.04
LA91LR10 910731 ABRA AEQUALIS                         3      6     2.00   3.46
LA91LR10 910731 ACANTHOHAUSTORIUS SP.A                3      1     0.33   0.58
LA91LR10 910731 ACANTHOHAUSTORIUS SP.B                3      4     1.33   0.58
LA91LR10 910731 ACANTHOHAUSTORIUS UNCINUS             3     14     4.67   1.53
LA91LR10 910731 AMAKUSANTHURA MAGNIFICA               3      1     0.33   0.58
LA91LR10 910731 ANCISTROSYLLIS SP.B                   3     26     8.67   7.77
LA91LR10 910731 ARMANDIA MACULATA                     3      1     0.33   0.58
LA91LR10 910731 ASPIDOSIPHON SP.                      3      1     0.33   0.58
LA91LR10 910731 BHAWANIA HETEROSETA                   3      1     0.33   0.58
LA91LR10 910731 BIVALVIA GENUSB                       3      1     0.33   0.58
LA91LR10 910731 CAECUM JOHNSONI                       3    781   260.33 125.01
LA91LR10 910731 CLITELLIO ARENICOLUS                  3     16     5.33   4.73
LA91LR10 910731 COSSURA DELTA                         3      1     0.33   0.58
LA91LR10 910731 CRASSINELLA MARTINICENSIS             3     37    12.33  17.04
LA91LR10 910731 LAEONEREIS CULVERI                    3      1     0.33   0.58
LA91LR10 910731 LUCINA RADIANS                        3      9     3.00   5.20
LA91LR10 910731 MEDIOMASTUS SP.                       3     11     3.67   3.79
LA91LR10 910731 MELLITA QUINQUIESPERFORATA            3     28     9.33   6.43
LA91LR10 910731 METHARPINIA FLORIDANA                 3      1     0.33   0.58
LA91LR10 910731 MYRIOCHELE OCULATA                    3      1     0.33   0.58
LA91LR10 910731 MYSELLA PLANULATA                     3      3     1.00   1.00
LA91LR10 910731 NATICA PUSILLA                        3     14     4.67   6.43
LA91LR10 910731 NEMERTEA SP.A                         3      1     0.33   0.58
LA91LR10 910731 PARAPRIONOSPIO PINNATA                3      1     0.33   0.58
LA91LR10 910731 PHORONIS ARCHITECTA                   3      1     0.33   0.58
LA91LR10 910731 PINNIXA SP.                           3      2     0.67   0.58
LA91LR10 910731 PODARKE OBSCURA                       3      2     0.67   0.58
LA91LR10 910731 POLYGORDIUS SP.                       3      4     1.33   2.31
LA91LR10 910731 PRIONOSPIO HETEROBRANCHIA             3      1     0.33   0.58
LA91LR10 910731 PRIONOSPIO PYGMAEA                    3     10     3.33   2.31
LA91LR10 910731 SEMELE NUCULOIDES                     3     97    32.33  45.08
LA91LR10 910731 SPHAEROSYLLIS LONGICAUDA              3     11     3.67   5.51
LA91LR10 910731 SPIOCHAETOPTERUS COSTARUM             3      1     0.33   0.58
LA91LR10 910731 SPIOPHANES BOMBYX                     3      1     0.33   0.58
LA91LR10 910731 STREBLOSPIO BENEDICTI                 3     10     3.33   5.77
LA91LR10 910731 STRIGILLA MIRABILIS                   3      2     0.67   1.15
LA91LR10 910731 STRIGILLA SP.                         3      4     1.33   2.31
LA91LR10 910731 SYNELMIS SP.B                         3     21     7.00   2.65
LA91LR10 910731 TELLINA TENELLA                       3      3     1.00   1.00
LA91LR10 910731 UNID. ENCHYTRAEIDAE                   3      1     0.33   0.58
LA91LR10 910731 UNID. LUCINIDAE                       3     13     4.33   4.51
LA91LR10 910731 UNID. MALDANIDAE                      3      8     2.67   4.62
LA91LR10 910731 UNID. NEMERTEA                        3     18     6.00   7.81
LA91LR10 910731 UNID. STOMATOPODA                     3      1     0.33   0.58
LA91LR10 910731 XENANTHURA BREVITELSON                3      4     1.33   2.31
LA91LR11 910810 ANCISTROSYLLIS SP.B                   3      3     1.00   1.00
LA91LR11 910810 COSSURA DELTA                         3      4     1.33   1.53
LA91LR11 910810 GLYCINDE SOLITARIA                    3      1     0.33   0.58
LA91LR11 910810 MEDIOMASTUS SP.                       3      4     1.33   1.53
LA91LR11 910810 NEANTHES SUCCINEA                     3      1     0.33   0.58
LA91LR11 910810 NEMERTEA SP.A                         3      6     2.00   1.73
LA91LR11 910810 PARAPRIONOSPIO PINNATA                3      2     0.67   0.58
LA91LR11 910810 PHORONIS MUELLERI                     3      7     2.33   2.31
LA91LR11 910810 SIGAMBRA TENTACULATA                  3      2     0.67   0.58
LA91LR11 910810 SPIOCHAETOPTERUS COSTARUM             3      2     0.67   1.15
LA91LR11 910810 UNID. ENTEROPNEUSTA                   3      1     0.33   0.58
LA91LR11 910810 UNID. HEMICHORDATA                    3      3     1.00   1.73
LA91LR11 910810 UNID. MALDANIDAE                      3      1     0.33   0.58
LA91LR11 910810 UNID. NEMERTEA                        3      9     3.00   2.00
LA91LR11 910810 UNID. OPHIUROIDEA                     3      2     0.67   1.15
LA91LR12 910810 ACTEOCINA CANALICULATA                3      1     0.33   0.58
LA91LR12 910810 ARMANDIA MACULATA                     3      1     0.33   0.58
LA91LR12 910810 BHAWANIA HETEROSETA                   3      3     1.00   1.73
LA91LR12 910810 COSSURA DELTA                         3      8     2.67   4.62
LA91LR12 910810 EUDORELLA MONODON                     3      2     0.67   1.15
LA91LR12 910810 MAGELONA SP.H                         3      1     0.33   0.58
LA91LR12 910810 MALMGRENIELLA SP.B                    3     11     3.67   6.35
LA91LR12 910810 MEDIOMASTUS SP.                       3      3     1.00   1.73
LA91LR12 910810 MICROPHIOPHOLIS ATRA                  3      6     2.00   3.46
LA91LR12 910810 MICROPHIOPHOLIS SP.                   3      2     0.67   1.15
LA91LR12 910810 PARAPRIONOSPIO PINNATA                3     14     4.67   8.08
LA91LR12 910810 PERIPLOMA MARGARITACEUM               3      8     2.67   4.62
LA91LR12 910810 PINNIXA SP.                           3      2     0.67   1.15
LA91LR12 910810 PODARKEOPSIS LEVIFUSCINA              3      2     0.67   1.15
LA91LR12 910810 PRIONOSPIO PERKINSI                   3      2     0.67   1.15
LA91LR12 910810 SIGAMBRA TENTACULATA                  3      3     1.00   1.73
LA91LR12 910810 UNID. ANTHOZOA                        3      1     0.33   0.58
LA91LR12 910810 UNID. BRACHYURA                       3      1     0.33   0.58
LA91LR12 910810 UNID. CERIANTHARIA                    3      1     0.33   0.58
LA91LR12 910810 UNID. NEMERTEA                        3     19     6.33   6.51
LA91LR12 910810 UNID. OPHIUROIDEA                     3      5     1.67   2.89
