-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
RIOP        49718.000    1995     1     1     0
RIOP        52274.750    2001    12    31    18
RIOP      1255144.990 -6253609.537  -182569.867
49738.50    -2.206374     0.006615    -0.445260
49738.75    -2.187755    -0.235988    -0.351720
49739.00    -1.899855    -0.390442     0.624491
49739.25    -1.956524    -0.280791    -0.533387
49739.50    -1.876326    -0.105011    -0.231021
49739.75    -1.798659    -0.266856    -0.287064
49740.00    -1.370118    -0.383256     0.804058
49740.25    -1.541678    -0.275948    -0.285940
49740.50    -1.498963    -0.109080     0.207184
49740.75    -1.488147    -0.277881     0.146588
49741.00    -1.541705    -0.372209     1.243071
49741.25    -1.740931    -0.214167     0.023993
49741.50    -1.565333     0.054468    -0.301622
49741.75    -1.725666    -0.140290    -0.008718
49742.00    -1.621835    -0.326592     1.066420
49742.25    -1.784745    -0.214107    -0.275319
49742.50    -1.687076    -0.026966    -0.214322
49742.75    -1.941868    -0.236849    -0.070732
49743.00    -1.528722    -0.495302     0.990165
49743.25    -1.873069    -0.323530    -0.370704
49743.50    -1.861907    -0.096003    -0.521234
49743.75    -1.988950    -0.312203    -0.367528
49744.00    -1.890827    -0.454432     0.382611
49744.25    -2.292424    -0.301182    -0.489897
49744.50    -2.194112    -0.149853    -0.518494
49744.75    -2.275843    -0.334878    -0.386775
49745.00    -2.261236    -0.559317     0.879633
49745.25    -2.461808    -0.358596    -0.275525
49745.50    -2.149386    -0.156000     0.072782
49745.75    -2.171527    -0.359292    -0.012372
49746.00    -1.790107    -0.496381     0.978142
49746.25    -1.806523    -0.382795    -0.520459
49746.50    -1.359783    -0.224832    -0.369473
49746.75    -1.213808    -0.505497    -0.371266
49747.00    -1.036014    -0.732449     0.581119
49747.25    -1.206809    -0.609785    -0.827168
49747.50    -1.053784    -0.527833    -0.419143
49747.75    -1.007457    -0.781997    -0.508941
49748.00    -1.109470    -1.034146     0.549065
49748.25    -1.438180    -0.926049    -0.835628
49748.50    -1.345781    -0.749958    -0.742046
49748.75    -1.310223    -1.015086    -0.800745
49749.00    -1.107388    -1.115209    -0.540441
49749.25    -1.229208    -0.897856    -1.730998
49749.50    -1.038164    -0.590116    -1.843819
49749.75    -1.031720    -0.759390    -1.430163
49750.00    -0.841734    -0.778118    -0.814921
49750.25    -0.975409    -0.545843    -1.744706
49750.50    -0.963910    -0.304481    -1.404663
49750.75    -1.207602    -0.469678    -1.031732
49751.00    -1.057139    -0.486600    -0.033455
49751.25    -1.296084    -0.250780    -1.334367
49751.50    -1.035185     0.015766    -0.911467
49751.75    -0.905022    -0.360855     0.126511
49752.00    -0.503806    -0.360181     0.198101
49752.25    -0.487903    -0.116280    -1.087304
49752.50    -0.196509     0.057606    -0.631756
49752.75    -0.066264    -0.123934    -0.431548
49753.00     0.137404    -0.257364     0.344461
49753.25     0.067814    -0.094673    -0.975921
49753.50     0.528757     0.102438    -0.844001
49753.75     0.671198    -0.116772    -0.736022
49754.00     0.918129    -0.210303    -0.145740
49754.25     1.028223     0.014808    -1.871528
49754.50     1.476377     0.191540    -1.054513
49754.75     1.473059     0.023391    -0.888197
49755.00     1.807384    -0.096237     0.069231
49755.25     1.582497     0.216057    -1.593590
49755.50     1.817520     0.269944    -0.563515
49755.75     1.684639     0.126769    -0.622467
49756.00     1.848957     0.007306     0.246740
49756.25     1.485120     0.286818    -1.745076
49756.50     1.776250     0.427956    -0.932016
49756.75     1.846566     0.270860    -1.145071
49757.00     1.742293     0.033027     0.102637
49757.25     1.647312     0.253665    -1.660646
49757.50     1.747636     0.432203    -1.407461
49757.75     1.538109     0.228530    -1.490586
49758.00     1.444161    -0.008578    -0.162894
49758.25     0.876609     0.177144    -1.694499
49758.50     0.783901     0.299052    -0.967953
49758.75     0.407876     0.096404    -0.704370
49759.00     0.258656    -0.195616     0.761660
49759.25    -0.272451     0.042585    -1.050440
49759.50    -0.215819     0.126528    -0.129600
49759.75    -0.554705    -0.071783    -0.230329
49760.00    -0.747970    -0.293479     1.202563
49760.25    -1.404164    -0.038196    -1.007723
49760.50    -1.425633     0.024019    -0.321395
49760.75    -1.728890    -0.236951    -0.650608
49761.00    -1.794171    -0.475938     0.417063
49761.25    -1.954116    -0.278387    -1.037367
49761.50    -1.503399    -0.093750    -0.466000
49761.75    -1.520598    -0.289002    -0.541665
49762.00    -1.452547    -0.428980     0.411377
49762.25    -1.451158    -0.247789    -1.076305
49762.50    -1.141929    -0.111142    -0.399862
49762.75    -0.967396    -0.323730    -0.406928
49763.00    -0.767282    -0.456676     0.519631
49763.25    -1.051679    -0.285785    -0.824497
49763.50    -0.782767    -0.095297    -0.317096
49763.75    -0.751158    -0.257210    -0.246700
49764.00    -0.564842    -0.449125     0.845062
49764.25    -0.761034    -0.212192    -0.818870
49764.50    -0.298204    -0.141938     0.072588
49764.75    -0.182756    -0.283052     0.017006
49765.00     0.070455    -0.478406     1.290716
49765.25     0.070745    -0.159846    -0.625395
49765.50     0.377323    -0.061978     0.136516
49765.75     0.115032    -0.182274     0.035161
49766.00     0.060400    -0.335069     0.952935
49766.25    -0.625325    -0.113499    -0.607001
49766.50    -0.668333     0.027762     0.367335
49766.75    -1.052453    -0.155699     0.372421
49767.00    -0.965383    -0.344402     1.339118
49767.25    -1.304815    -0.161336    -0.492967
49767.50    -0.876260    -0.146411     0.184156
49767.75    -1.012460    -0.430374     0.513266
49768.00    -1.003921    -0.597254     1.206084
49768.25    -1.487622    -0.467210     0.046701
49768.50    -1.111663    -0.257863     0.319417
49768.75    -1.081821    -0.462799     0.122623
49769.00    -0.800121    -0.634115     1.230956
49769.25    -0.792921    -0.374817    -0.468773
49769.50    -0.476205    -0.158557    -0.008195
49769.75    -0.610638    -0.347402     0.148362
49770.00    -0.297122    -0.472393     0.925306
49770.25    -0.678758    -0.205559    -0.522232
49770.50    -0.736373     0.005066     0.058077
49770.75    -0.988556    -0.179639    -0.142322
49771.00    -0.804563    -0.264346     0.890065
49771.25    -1.308590    -0.096604    -0.490818
49771.50    -0.937856     0.162142    -0.163924
49771.75    -0.893004    -0.072880     0.406952
49772.00    -0.693647    -0.177991     1.232265
49772.25    -0.852502     0.015333    -0.176148
49772.50    -0.448140     0.253018     0.134623
49772.75    -0.476234     0.016140     0.439281
49773.00    -0.211042    -0.082722     1.083253
49773.25    -0.299248     0.118499    -0.144006
49773.50     0.070589     0.353300    -0.118420
49773.75    -0.247092     0.119889     0.129969
49774.00    -0.196325    -0.032535     1.229000
49774.25    -0.563060     0.171964    -0.185200
49774.50    -0.472359     0.444200     0.041879
49774.75    -0.821630     0.226620     0.643019
49775.00    -0.788273     0.083726     1.491933
49775.25    -1.237157     0.251902     0.129648
49775.50    -1.092524     0.439356     0.853012
49775.75    -1.169078     0.190090     1.212391
49776.00    -1.191361     0.023176     2.091639
49776.25    -1.447154     0.196992     0.943651
49776.50    -1.048310     0.435397     1.090791
49776.75    -1.131929     0.133616     1.589651
49777.00    -1.021278    -0.040124     2.466458
49777.25    -1.248433     0.171272     1.006607
49777.50    -1.133879     0.334326     0.940522
49777.75    -1.329096     0.127351     0.948343
49778.00    -1.318597    -0.063881     1.887742
49778.25    -1.716421     0.102719     0.051672
49778.50    -1.583506     0.229704     0.528534
49778.75    -1.643270    -0.014182     0.834197
49779.00    -1.334072    -0.188841     1.989530
49779.25    -1.558782     0.079520     0.043228
49779.50    -1.120997     0.247106     0.691766
49779.75    -0.938178     0.077311     0.602536
49780.00    -0.789294    -0.066513     1.778289
49780.25    -1.153568     0.185744     0.169623
49780.50    -1.104972     0.321498     0.791964
49780.75    -1.201927     0.087126     0.936891
49781.00    -1.369627    -0.071816     1.760126
49781.25    -1.521655     0.083802     0.507229
49781.50    -1.246593     0.273864     1.106330
49781.75    -1.338537     0.043621     1.188857
49782.00    -1.072356    -0.101136     2.176065
49782.25    -1.474434     0.197395     0.131332
49782.50    -1.492861     0.286366     1.243620
49782.75    -1.844602     0.172610     0.888577
49783.00    -1.937693    -0.074917     2.241758
49783.25    -2.561987     0.108687     0.371529
49783.50    -2.571757     0.231714     0.771272
49783.75    -2.905620    -0.069157     0.881252
49784.00    -2.598254    -0.212043     1.801389
49784.25    -2.932348    -0.044421     0.196633
49784.50    -2.479819     0.101361     0.390379
49784.75    -2.608406    -0.163628     0.856431
49785.00    -2.088286    -0.361669     1.473322
49785.25    -2.260465    -0.114140    -0.460943
49785.50    -1.858522     0.006897    -0.099339
49785.75    -1.893042    -0.207219    -0.235143
49786.00    -1.510794    -0.364270     0.474861
49786.25    -1.953535    -0.179508    -1.291348
49786.50    -1.661316     0.055139    -1.183375
49786.75    -1.836111    -0.127384    -1.265189
49787.00    -1.648864    -0.354894    -0.263353
49787.25    -2.047395    -0.127569    -2.280771
49787.50    -1.581630    -0.000387    -1.798335
49787.75    -1.603183    -0.184926    -2.049799
49788.00    -1.247861    -0.312829    -0.956466
49788.25    -1.418805    -0.095934    -2.574898
49788.50    -1.216638     0.051445    -1.948715
49788.75    -1.721196    -0.276336    -1.165485
49789.00    -1.858649    -0.417835     0.005187
49789.25    -2.563300    -0.260891    -1.183917
49789.50    -2.757826    -0.090084    -0.670860
49789.75    -2.954435    -0.296628    -0.157665
49790.00    -3.110583    -0.522739     1.302701
49790.25    -3.589857    -0.306612    -0.178380
49790.50    -3.246922    -0.145149     0.271081
49790.75    -3.195455    -0.303810     0.056611
49791.00    -2.689129    -0.465466     1.127486
49791.25    -2.517257    -0.261283    -0.608924
49791.50    -1.980134    -0.128789     0.244865
49791.75    -1.845405    -0.295252     0.328484
49792.00    -1.389474    -0.366705     1.627371
49792.25    -1.528974    -0.150045    -0.102804
49792.50    -1.379516     0.059339     0.325676
49792.75    -1.424599    -0.064435    -0.186049
49793.00    -1.057994    -0.149058     0.825391
49793.25    -1.124350     0.017994    -1.121816
49793.50    -0.546365     0.217668    -0.798483
49793.75    -0.204099    -0.007932    -0.652327
49794.00     0.467791    -0.112650     0.277738
49794.25     0.596134    -0.023345    -1.317397
49794.50     1.345366     0.256117    -1.040646
49794.75     1.534514     0.043082    -1.221568
49795.00     1.841532    -0.122985    -0.373124
49795.25     1.947589    -0.010731    -1.683217
49795.50     2.228790     0.161593    -1.271593
49795.75     2.066752    -0.171664    -0.811622
49796.00     2.163238    -0.332945    -0.040664
49796.25     1.748952    -0.127487    -1.742574
49796.50     1.613596    -0.049983    -1.542014
49796.75     1.392982    -0.304280    -1.177633
49797.00     1.473676    -0.509531    -0.747068
49797.25     0.616260    -0.351629    -2.298554
49797.50     0.733651    -0.150439    -2.129410
49797.75     0.306218    -0.427586    -1.707684
49798.00     0.216894    -0.560751    -0.902198
49798.25    -0.311726    -0.327441    -2.357101
49798.50    -0.170790    -0.249496    -1.365417
49798.75    -0.635052    -0.427931    -0.877541
49799.00    -0.545123    -0.514967    -0.062036
49799.25    -0.934420    -0.331677    -1.195972
49799.50    -0.837778    -0.272142    -0.340768
49799.75    -1.217773    -0.517567    -0.094433
49800.00    -0.963259    -0.568293     0.780437
49800.25    -1.204571    -0.384464    -0.753156
49800.50    -0.730853    -0.192213     0.153181
49800.75    -0.635074    -0.420807     0.500940
49801.00    -0.120978    -0.403758     1.446163
49801.25    -0.187210    -0.160410     0.472777
49801.50     0.536267     0.208896     0.884569
49801.75     0.685402     0.059701     1.457058
49802.00     0.753218     0.030321     2.011648
49802.25     0.602287     0.187799     1.476561
49802.50     1.145437     0.527675     1.450157
49802.75     0.897872     0.381593     1.638627
49803.00     0.979430     0.282472     2.421465
49803.25     0.648311     0.391502     1.233003
49803.50     0.831681     0.551889     1.570600
49803.75     0.526809     0.199725     2.363739
49804.00     0.614559     0.127781     2.793932
49804.25     0.223736     0.201511     1.301976
49804.50     0.547411     0.338419     1.864068
49804.75     0.578589     0.030734     1.741315
49805.00     0.921827    -0.138843     3.146404
49805.25     0.641666    -0.008953     1.272678
49805.50     0.955428     0.242504     1.469385
49805.75     0.461382    -0.018137     1.625665
49806.00     0.318825    -0.095442     2.065130
49806.25    -0.276678    -0.097745     0.769793
49806.50    -0.008326     0.111756     0.685922
49806.75    -0.388706    -0.191183     0.622887
49807.00    -0.157886    -0.342700     1.515963
49807.25    -0.479317    -0.317458     0.615873
49807.50    -0.075974    -0.183146     0.908381
49807.75    -0.216305    -0.429516     0.745561
49808.00     0.144125    -0.505048     1.682405
49808.25     0.049707    -0.395989    -0.001914
49808.50     0.555750    -0.116802     0.186199
49808.75     0.638454    -0.330208    -0.100081
49809.00     1.017085    -0.379943     1.147832
49809.25     0.923193    -0.098423    -0.831803
49809.50     1.440591     0.133963    -0.009348
49809.75     1.236104    -0.029454    -0.276485
49810.00     1.288435    -0.130966     1.022935
49810.25     0.839840     0.008271    -0.403604
49810.50     1.062462     0.182943     0.066821
49810.75     0.780016    -0.050721     0.190127
49811.00     0.823622    -0.181449     1.317851
49811.25     0.396937    -0.128184    -0.562559
49811.50     0.678773    -0.048035     0.225882
49811.75     0.620675    -0.266772    -0.098270
49812.00     0.474337    -0.444801     1.121332
49812.25    -0.041241    -0.357439    -0.008788
49812.50    -0.017508    -0.223056     0.474125
49812.75    -0.267701    -0.393609     0.180700
49813.00    -0.161647    -0.510091     1.676030
49813.25    -0.394288    -0.293510    -0.125398
49813.50    -0.056028    -0.053742     0.027526
49813.75    -0.204344    -0.221012    -0.046895
49814.00    -0.000058    -0.300824     1.148928
49814.25    -0.344755    -0.060134    -0.363672
49814.50    -0.110775     0.110521     0.085654
49814.75     0.054086    -0.142618     0.222415
49815.00     0.195768    -0.220541     1.037824
49815.25     0.015720    -0.112032    -0.411006
49815.50     0.379499     0.030881     0.223505
49815.75     0.315832    -0.341978     0.626504
49816.00     0.317834    -0.410191     1.293030
49816.25    -0.123792    -0.278871    -0.113142
49816.50     0.201271    -0.167980     0.694991
49816.75     0.010192    -0.425428     0.553343
49817.00    -0.100513    -0.519832     1.555059
49817.25    -0.583627    -0.418191     0.288917
49817.50    -0.487823    -0.185418     0.683141
49817.75    -0.782714    -0.383901     0.750063
49818.00    -0.806732    -0.431059     1.322436
49818.25    -1.124140    -0.302945    -0.050775
49818.50    -0.933426     0.065582    -0.429938
49818.75    -1.174455    -0.123674    -0.147878
49819.00    -1.022774    -0.135374     0.559076
49819.25    -1.472037     0.010962    -0.764109
49819.50    -1.307857     0.332775    -0.898283
49819.75    -1.649115     0.000492    -0.491334
49820.00    -1.579057     0.000415     0.500851
49820.25    -1.972551     0.033908    -0.534543
49820.50    -1.640972     0.155046    -0.436159
49820.75    -1.913722    -0.154714    -0.167615
49821.00    -1.825190    -0.289922     1.010758
49821.25    -2.111682    -0.227109    -0.074316
49821.50    -1.901067     0.022895     0.208811
49821.75    -2.191478    -0.170931     0.421787
49822.00    -2.339883    -0.226112     1.323983
49822.25    -2.732306    -0.058336     0.278561
49822.50    -2.378145     0.253054     0.406568
49822.75    -2.397493     0.069554     0.132864
49823.00    -2.163226    -0.032428     1.155994
49823.25    -2.227501     0.037440    -0.217851
49823.50    -1.625970     0.288848     0.083699
49823.75    -1.595328     0.055786     0.441909
49824.00    -1.442230    -0.030870     0.732823
49824.25    -1.338159     0.139318    -0.656007
49824.50    -1.321914     0.254588    -0.331669
49824.75    -1.267559    -0.007756    -0.322924
49825.00    -1.072831    -0.175232     0.761821
49825.25    -1.239959     0.009501    -0.870687
49825.50    -0.858528     0.101835    -0.267877
49825.75    -0.813467    -0.139379    -0.146105
49826.00    -0.666662    -0.315862     1.089708
49826.25    -0.838438    -0.134125    -0.606368
49826.50    -0.679157     0.128154    -0.086469
49826.75    -1.028874    -0.054214    -0.038903
49827.00    -1.207037    -0.150367     0.714249
49827.25    -1.525055    -0.008038    -0.492674
49827.50    -1.280176     0.197018    -0.078343
49827.75    -1.468161     0.092818     0.024836
49828.00    -1.523470     0.057311     0.689294
49828.25    -1.977071     0.268874    -0.634390
49828.50    -1.821794     0.437045    -0.091851
49828.75    -2.091842     0.208742     0.136017
49829.00    -1.986257     0.154757     1.020503
49829.25    -2.604527     0.286772    -0.292029
49829.50    -2.480638     0.446850     0.129139
49829.75    -2.787391     0.190792     0.248939
49830.00    -2.789055     0.034489     1.693689
49830.25    -3.085016     0.089717     0.528874
49830.50    -2.600887     0.409580     0.410121
49830.75    -2.599106     0.162973     0.652284
49831.00    -2.219852     0.045748     1.700870
49831.25    -2.313780     0.170263     0.590086
49831.50    -1.845639     0.399927     1.019517
49831.75    -1.796478     0.255518     0.958968
49832.00    -1.570905     0.158824     1.869063
49832.25    -1.708231     0.242532     0.727849
49832.50    -1.188040     0.477381     0.739173
49832.75    -1.146404     0.228372     0.956510
49833.00    -0.883077     0.079265     1.544732
49833.25    -1.197171     0.232843     0.179294
49833.50    -0.787312     0.406846     1.182120
49833.75    -0.975248     0.152033     1.291875
49834.00    -0.918854     0.047192     1.910803
49834.25    -1.337333     0.107929     0.602879
49834.50    -0.910336     0.330469     0.871122
49834.75    -1.028332     0.099329     1.164098
49835.00    -1.034721    -0.023823     2.287508
49835.25    -1.442051     0.001947     0.966221
49835.50    -1.189120     0.178038     1.210103
49835.75    -1.289834    -0.093577     1.231949
49836.00    -1.089027    -0.133282     2.075206
49836.25    -1.436532     0.025994     0.739122
49836.50    -1.077707     0.223087     0.985764
49836.75    -1.194879    -0.002030     0.624564
49837.00    -0.889567    -0.021131     1.491917
49837.25    -1.034436     0.153173     0.128789
49837.50    -0.561817     0.372982     0.791105
49837.75    -0.773525     0.128561     1.013223
49838.00    -0.660347     0.041134     1.899593
49838.25    -0.836261     0.066872     0.644580
49838.50    -0.381989     0.243776     0.930250
49838.75    -0.486282     0.011329     0.422410
49839.00    -0.390095    -0.153007     1.595909
49839.25    -0.569865    -0.118537     0.218750
49839.50    -0.396152     0.007776     0.602158
49839.75    -0.850615    -0.100288    -0.319609
49840.00    -0.726312    -0.262264     1.099149
49840.25    -1.250186    -0.048951    -0.757806
49840.50    -0.924495     0.120969    -0.040315
49840.75    -1.010948    -0.004566    -0.252051
49841.00    -0.712081    -0.116970     1.033396
49841.25    -0.801506     0.007346    -0.464696
49841.50    -0.357039     0.309327    -0.400327
49841.75    -0.367308     0.166665    -0.091092
49842.00    -0.173468     0.101976     0.626027
49842.25    -0.315238     0.142737    -0.586633
49842.50     0.058247     0.388183    -0.422321
49842.75     0.146372     0.131142     0.065299
49843.00     0.431268    -0.056608     0.908480
49843.25     0.213481     0.006673    -0.430305
49843.50     0.559033     0.197278    -0.132548
49843.75     0.497303    -0.109217     0.247604
49844.00     0.421141    -0.178934     0.789917
49844.25    -0.124548    -0.055029    -0.421951
49844.50     0.070482     0.163560    -0.466760
49844.75    -0.223898    -0.019083    -0.175475
49845.00    -0.296885    -0.076637     0.382489
49845.25    -0.678431     0.048032    -0.424132
49845.50    -0.332639     0.324246    -0.289918
49845.75    -0.616903     0.151503     0.095577
49846.00    -0.334032     0.249498     0.598598
49846.25    -0.528662     0.308132    -0.265824
49846.50    -0.005101     0.592750    -0.153795
49846.75     0.081015     0.379243     0.219011
49847.00     0.371578     0.365950     0.890449
49847.25     0.267428     0.430092    -0.409132
49847.50     0.573414     0.670427    -0.156339
49847.75     0.585775     0.400832    -0.119669
49848.00     0.585974     0.283823     0.708185
49848.25     0.385270     0.251698    -0.434227
49848.50     0.649575     0.410602    -0.139324
49848.75     0.503218     0.144491    -0.214842
49849.00     0.388644    -0.008806     0.600046
49849.25     0.090289     0.006543    -0.649327
49849.50     0.165435     0.152426    -0.258687
49849.75    -0.102004    -0.072835    -0.104294
49850.00    -0.230472    -0.165059     0.829786
49850.25    -0.669825    -0.047637    -0.308564
49850.50    -0.467050     0.133901     0.003461
49850.75    -0.555941    -0.005708    -0.191673
49851.00    -0.443626    -0.034409     0.733098
49851.25    -0.563537     0.097734    -0.316177
49851.50    -0.073750     0.371820    -0.223323
49851.75    -0.114776     0.200655    -0.192095
49852.00     0.062654     0.073351     0.970556
49852.25    -0.208151     0.200457    -0.424325
49852.50     0.276338     0.416555    -0.530019
49852.75     0.179160     0.125572    -0.284428
49853.00     0.504956    -0.071339     1.073426
49853.25     0.209422     0.000756    -0.144436
49853.50     0.586014     0.140677     0.079018
49853.75     0.470314     0.005260    -0.130021
49854.00     0.431302    -0.136360     0.713425
49854.25    -0.006749     0.018338    -0.590762
49854.50    -0.004637     0.227867    -0.410678
49854.75    -0.362675     0.169001    -0.576203
49855.00    -0.635592     0.064644     0.214434
49855.25    -1.185068     0.346659    -1.343104
49855.50    -1.102989     0.484108    -0.942701
49855.75    -1.624027     0.316107    -1.084215
49856.00    -1.794751     0.188564    -0.007347
49856.25    -2.322179     0.299409    -1.541527
49856.50    -2.409228     0.350399    -0.981970
49856.75    -2.855819     0.095177    -1.169775
49857.00    -2.915915    -0.046764     0.205779
49857.25    -3.211095     0.073397    -1.328284
49857.50    -3.050805     0.122014    -0.487852
49857.75    -3.098375    -0.063049    -0.552395
49858.00    -2.766555     0.012503     0.115569
49858.25    -3.025461     0.231727    -1.205687
49858.50    -2.647100     0.450550    -0.668493
49858.75    -2.632884     0.262805    -0.496274
49859.00    -2.435057     0.202565     0.387656
49859.25    -2.583982     0.304104    -0.683426
49859.50    -2.050044     0.499097    -0.371653
49859.75    -2.200928     0.303916    -0.433481
49860.00    -2.209967     0.177121     0.366173
49860.25    -2.399187     0.234757    -0.679530
49860.50    -2.037821     0.459248    -0.278926
49860.75    -2.280146     0.197282    -0.122174
49861.00    -2.047907     0.131430     0.598089
49861.25    -2.347698     0.235245    -0.714035
49861.50    -2.046493     0.431708    -0.092312
49861.75    -2.147164     0.197046     0.056372
49862.00    -1.885313     0.195800     0.602137
49862.25    -2.136109     0.327672    -0.714037
49862.50    -1.881384     0.561135    -0.304576
49862.75    -2.169926     0.285519    -0.259722
49863.00    -1.963536     0.278562     0.086612
49863.25    -2.226184     0.334664    -0.994322
49863.50    -1.769844     0.428759    -0.668001
49863.75    -1.923688     0.230323    -0.795325
49864.00    -1.781617     0.065392     0.249561
49864.25    -2.143763     0.174203    -1.012954
49864.50    -1.977258     0.398559    -0.585627
49864.75    -2.211592     0.214217    -0.769433
49865.00    -2.097538     0.075302     0.530726
49865.25    -2.403534     0.180488    -0.953082
49865.50    -1.903302     0.390824    -0.726978
49865.75    -1.948326     0.238294    -0.651317
49866.00    -1.554890     0.184600     0.009534
49866.25    -1.586957     0.283974    -1.199748
49866.50    -1.117899     0.550595    -1.049208
49866.75    -1.188605     0.349598    -1.109479
49867.00    -1.075287     0.234477     0.044229
49867.25    -1.311266     0.287338    -1.357344
49867.50    -0.982521     0.449720    -1.103237
49867.75    -1.045554     0.166302    -0.790066
49868.00    -0.980911     0.039068     0.094217
49868.25    -1.381051     0.203673    -1.357994
49868.50    -1.206293     0.254135    -0.780749
49868.75    -1.409047     0.143128    -0.877378
49869.00    -1.307832     0.076366     0.030642
49869.25    -1.408440     0.204281    -1.388034
49869.50    -1.132737     0.361147    -0.819459
49869.75    -1.194264     0.153349    -0.604494
49870.00    -1.068560     0.062869     0.483416
49870.25    -1.216280     0.323524    -1.110000
