atp_code,atp_description,country_code,country_description,exports_JUNE_2006,exports_MAY_2006,exports_YTD_JUNE_2006,exports_YTD_JUNE_2005,imports_JUNE_2006,imports_MAY_2006,imports_YTD_JUNE_2006,imports_YTD_JUNE_2005
02,Life Science,0010,North America,180897441,157160956,1067651793,958213807,306625663,271940693,1580834101,1287778211
03,Opto-Electronics,0010,North America,53169069,54615411,340335999,296236243,745246999,570883841,3457619054,1515483979
04,Information & Communications,0010,North America,1767086896,1618427859,10199029150,9571070388,1892995457,1727853460,10321272421,10197576071
05,Electronics,0010,North America,780456940,794872749,4669133994,4792807993,179403107,195440319,1261445321,1343950939
06,Flexible Manufacturing,0010,North America,187426390,169204877,1094006706,859704148,73704478,83038332,452111839,452482828
07,Advanced Materials,0010,North America,28460616,30773259,163476358,185395720,23552715,27014243,139143340,93070343
08,Aerospace,0010,North America,496663854,412821258,2879925809,2597637869,507746225,410246057,3208782233,3938274438
09,Weapons,0010,North America,3164820,6460390,31085569,22612788,20974710,12709313,90300945,92062445
10,Nuclear Technology,0010,North America,2733823,1910194,58704307,13996830,6595334,2018485,20248725,23200853
01,Biotechnology,0011,Pacific Rim,39830321,40806070,264007399,256079674,8273057,9403429,53392675,52809108
02,Life Science,0011,Pacific Rim,484826941,423463853,2632186131,2392457605,348015131,360815468,1963474990,1901201451
03,Opto-Electronics,0011,Pacific Rim,243782427,174394018,1141944389,1022415436,641080374,585082116,3061597512,2448672516
04,Information & Communications,0011,Pacific Rim,1626730626,1251695275,8143751584,7779938207,10168726008,9342411925,57081274191,50005152897
05,Electronics,0011,Pacific Rim,2981606797,2956220441,16901383828,13426714609,1607158087,1702632232,10022437324,9176396088
06,Flexible Manufacturing,0011,Pacific Rim,749603113,612923442,4319262574,3606303572,474453411,509926990,2975913254,2326064699
07,Advanced Materials,0011,Pacific Rim,50801667,46136151,273525075,194694531,117097129,114255265,635635929,573570769
08,Aerospace,0011,Pacific Rim,2648655074,2260535671,12217921459,10058738334,294063563,280898039,1571843456,1339286858
09,Weapons,0011,Pacific Rim,163922281,16099225,351244327,203255798,12343100,11821881,59714360,41142622
10,Nuclear Technology,0011,Pacific Rim,100991211,65951509,460031220,316376788,1273325,49548464,74226869,79180147
02,Life Science,1010,Greenland,0,0,0,151562,0,0,0,0
03,Opto-Electronics,1010,Greenland,0,0,0,8250,0,0,0,0
04,Information & Communications,1010,Greenland,4000,5952,131363,255366,0,0,0,14000
08,Aerospace,1010,Greenland,15080,11442,61949,46860,0,0,2300,0
01,Biotechnology,1220,Canada,75382263,38654717,291845579,206322261,11443784,7673130,61613163,41199248
02,Life Science,1220,Canada,132631973,117921331,799245085,740136375,116019365,85998664,516350046,351589972
03,Opto-Electronics,1220,Canada,31637718,31224487,173775940,156301754,7392744,7900103,49869540,58679727
04,Information & Communications,1220,Canada,991585266,893572838,5694251658,5650028809,400507978,422612049,2468817096,2429928752
05,Electronics,1220,Canada,263144712,294272074,1699812519,1972719017,80392787,94210583,708629088,866466681
06,Flexible Manufacturing,1220,Canada,149855891,129539104,842028702,603187945,34561619,43321044,222518881,197690241
07,Advanced Materials,1220,Canada,9497039,10536082,54185360,48055972,2089050,1383942,9219646,7399686
08,Aerospace,1220,Canada,421725829,343820523,2167331137,2277240840,491507925,393383555,3118933313,3846655177
09,Weapons,1220,Canada,3070526,6013376,29948746,17309688,16163347,6631764,55939897,53300858
10,Nuclear Technology,1220,Canada,2625134,1451304,10817447,11237187,6595334,2018485,20190100,23200853
01,Biotechnology,2010,Mexico,14811284,6694520,49134897,25994749,1628960,1183773,11084553,11364500
02,Life Science,2010,Mexico,48265468,39239625,268406708,218077432,190606298,185942029,1064484055,936188239
03,Opto-Electronics,2010,Mexico,21531351,23390924,166560059,139934489,737854255,562983738,3407749514,1456804252
04,Information & Communications,2010,Mexico,775501630,724855021,4504777492,3921041579,1492487479,1305241411,7852455325,7767647319
05,Electronics,2010,Mexico,517312228,500600675,2969321475,2820088976,99010320,101229736,552816233,477484258
06,Flexible Manufacturing,2010,Mexico,37570499,39665773,251978004,256516203,39142859,39717288,229592958,254792587
07,Advanced Materials,2010,Mexico,18963577,20237177,109290998,137339748,21463665,25630301,129923694,85670657
08,Aerospace,2010,Mexico,74938025,69000735,712594672,320397029,16238300,16862502,89848920,91619261
09,Weapons,2010,Mexico,94294,447014,1136823,5303100,4811363,6077549,34361048,38761587
10,Nuclear Technology,2010,Mexico,108689,458890,47886860,2759643,0,0,58625,0
01,Biotechnology,2050,Guatemala,247067,79082,1542176,1953532,0,0,2500,0
02,Life Science,2050,Guatemala,795157,551256,4291070,3944099,18887,40940,250281,729693
03,Opto-Electronics,2050,Guatemala,212916,206736,2095013,944026,0,0,0,0
04,Information & Communications,2050,Guatemala,23812129,18613106,126504838,109921486,22679,18596,194473,164883
05,Electronics,2050,Guatemala,627343,216175,3419087,2102387,0,31100,63354,14250
06,Flexible Manufacturing,2050,Guatemala,491919,280510,2549309,1835117,36803,36403,186197,228070
07,Advanced Materials,2050,Guatemala,191773,372506,839287,17732,0,0,0,0
08,Aerospace,2050,Guatemala,11735069,561745,28976955,34766576,0,0,258466,223000
09,Weapons,2050,Guatemala,7013,51763,155084,170646,0,0,0,0
10,Nuclear Technology,2050,Guatemala,33586,0,97548,0,0,0,0,0
01,Biotechnology,2080,Belize,0,3794,54316,38558,0,0,0,0
02,Life Science,2080,Belize,32356,202100,845704,602619,0,0,0,0
03,Opto-Electronics,2080,Belize,27594,6705,96750,11284,0,0,0,0
04,Information & Communications,2080,Belize,254319,587068,2965607,2863868,10170,47835,211207,55494
05,Electronics,2080,Belize,9149,0,840876,237297,0,0,0,0
06,Flexible Manufacturing,2080,Belize,170765,6756,269527,50642,0,0,65000,0
07,Advanced Materials,2080,Belize,0,0,0,72441,0,0,3277,0
08,Aerospace,2080,Belize,0,3005,157924,4184058,0,0,0,7705
09,Weapons,2080,Belize,12190,0,14782,0,0,0,0,0
01,Biotechnology,2110,El Salvador,164199,179560,1626782,1397450,0,0,0,0
02,Life Science,2110,El Salvador,1016807,616201,5695304,4696872,6630,31950,95612,64408
03,Opto-Electronics,2110,El Salvador,254887,246423,1073870,2494627,0,0,0,0
04,Information & Communications,2110,El Salvador,10736979,13077215,68360518,54898343,0,10891,204053,193549
05,Electronics,2110,El Salvador,729445,506151,3625366,1944779,0,7526,10345,2046
06,Flexible Manufacturing,2110,El Salvador,90094,252112,2292575,1239785,0,0,0,0
07,Advanced Materials,2110,El Salvador,10700,40433,285025,119580,0,0,0,0
08,Aerospace,2110,El Salvador,3579805,3359077,22485184,34839370,0,0,0,0
09,Weapons,2110,El Salvador,63852,37066,941836,101013,0,0,0,0
10,Nuclear Technology,2110,El Salvador,0,0,0,29112,0,0,0,0
01,Biotechnology,2150,Honduras,40352,75899,734608,3201425,0,0,0,0
02,Life Science,2150,Honduras,559399,760900,2863393,5502409,2766,2045,15402,21400
03,Opto-Electronics,2150,Honduras,17938,95230,459634,975062,0,0,0,7300
04,Information & Communications,2150,Honduras,8189970,6586659,45072047,37006641,2500,2464,205789,79963
05,Electronics,2150,Honduras,316392,286894,1859279,1680637,0,0,23004,23989
06,Flexible Manufacturing,2150,Honduras,275341,261337,1860437,1482163,0,15858,15858,0
07,Advanced Materials,2150,Honduras,8940,0,773798,239919,0,0,0,0
08,Aerospace,2150,Honduras,37249,199477,871637,2342320,0,0,0,0
09,Weapons,2150,Honduras,4132,3862,7994,189345,0,0,0,0
10,Nuclear Technology,2150,Honduras,69911,0,69911,0,0,0,0,0
01,Biotechnology,2190,Nicaragua,20602,39229,182821,344802,0,0,0,0
02,Life Science,2190,Nicaragua,119671,379107,2131510,2979877,0,0,0,28206
03,Opto-Electronics,2190,Nicaragua,221309,136037,784536,459085,0,0,0,0
04,Information & Communications,2190,Nicaragua,5300620,4297645,30880429,19651970,7348,3522,52126,12378
05,Electronics,2190,Nicaragua,19322,50485,621772,450117,0,0,0,0
06,Flexible Manufacturing,2190,Nicaragua,3200,15939,136060,200365,0,0,0,0
07,Advanced Materials,2190,Nicaragua,243355,207396,464549,148407,0,0,0,0
08,Aerospace,2190,Nicaragua,40579,67714,699057,3408725,0,0,0,137457
09,Weapons,2190,Nicaragua,0,8750,8750,10000,0,0,0,0
10,Nuclear Technology,2190,Nicaragua,0,3774,3774,0,0,0,0,0
01,Biotechnology,2230,Costa Rica,43457,677817,1364885,967355,0,0,0,6400
02,Life Science,2230,Costa Rica,4855441,3629417,27901710,29848143,51767842,55056712,272422738,238355637
03,Opto-Electronics,2230,Costa Rica,296108,246307,1986932,2116369,0,0,33627,14920
04,Information & Communications,2230,Costa Rica,19434625,17460620,165557486,75423894,36071783,26409035,185807314,71422357
05,Electronics,2230,Costa Rica,93557505,113344860,557569467,351824654,32993382,24799691,133963255,209173683
06,Flexible Manufacturing,2230,Costa Rica,5874031,2908362,27564581,33912618,685417,25297,944932,49080
07,Advanced Materials,2230,Costa Rica,208111,1181012,2239887,720832,335908,345825,2087574,1399677
08,Aerospace,2230,Costa Rica,159471,2087387,9756464,7136834,2641,8995,75696,20710
09,Weapons,2230,Costa Rica,312382,10859,749264,45702,0,0,0,0
10,Nuclear Technology,2230,Costa Rica,12027,0,40703,9665,0,0,0,5553
01,Biotechnology,2250,Panama,298630,112974,1423987,1463969,0,0,0,0
02,Life Science,2250,Panama,6351106,1185109,13654465,7896927,20056,19613,72135,3000
03,Opto-Electronics,2250,Panama,159971,145465,689848,1113917,67822,66494,1575448,111717
04,Information & Communications,2250,Panama,10850290,14286113,63332083,61594303,112317,131241,663993,734154
05,Electronics,2250,Panama,253772,314948,1656922,1259807,3239,0,49746,15841
06,Flexible Manufacturing,2250,Panama,387941,172926,1830518,1764705,22098,5400,53598,18600
07,Advanced Materials,2250,Panama,289524,35300,6985436,351109,0,0,0,0
08,Aerospace,2250,Panama,57972313,2832122,82470821,111607168,0,0,0,43000
09,Weapons,2250,Panama,3337,0,51720,22592,0,0,18200,0
10,Nuclear Technology,2250,Panama,50800,0,50800,200318,0,0,0,0
01,Biotechnology,2320,Bermuda,29404,62255,131035,113256,0,0,0,0
02,Life Science,2320,Bermuda,600390,519439,3493447,3614439,0,27661,27661,300330
03,Opto-Electronics,2320,Bermuda,33673,61361,464822,619233,4000,0,4000,0
04,Information & Communications,2320,Bermuda,3902021,4371961,22957443,33196321,3299,8238,31231,6467
05,Electronics,2320,Bermuda,53605,44744,750027,566124,5025,0,5025,2065
06,Flexible Manufacturing,2320,Bermuda,20708,30899,169269,170349,0,0,0,117666
07,Advanced Materials,2320,Bermuda,0,0,9058,51079,0,0,0,6697
08,Aerospace,2320,Bermuda,23472,7560,85111825,68960,0,0,0,0
09,Weapons,2320,Bermuda,0,0,33500,0,0,0,0,0
01,Biotechnology,2360,Bahamas,4500,0,19050,27137,0,0,0,0
02,Life Science,2360,Bahamas,568697,277716,3076661,2910183,0,0,3000,365084
03,Opto-Electronics,2360,Bahamas,75386,429906,927220,387852,0,0,7700,0
04,Information & Communications,2360,Bahamas,2002532,1899160,21643054,14651182,4046,13609,85131,153699
05,Electronics,2360,Bahamas,162710,113257,1141513,762237,0,5487,8885,6000
06,Flexible Manufacturing,2360,Bahamas,1102393,970833,6927940,838027,0,0,0,3805
07,Advanced Materials,2360,Bahamas,0,3664359,7382001,81980,0,0,0,0
08,Aerospace,2360,Bahamas,294690,186441,2051165,9689781,0,0,0,15400
09,Weapons,2360,Bahamas,10000,0,54340,24480,0,2700,2700,0
10,Nuclear Technology,2360,Bahamas,0,0,0,775093,0,0,0,0
02,Life Science,2390,Cuba,8892,0,555527,178327,0,0,0,0
06,Flexible Manufacturing,2390,Cuba,0,0,186581,0,0,0,0,0
01,Biotechnology,2410,Jamaica,31335,36386,169975,239431,0,0,0,0
02,Life Science,2410,Jamaica,814165,263405,1876609,1964204,6900,10000,19365,0
03,Opto-Electronics,2410,Jamaica,113723,169709,498051,959363,0,0,5058,8239
04,Information & Communications,2410,Jamaica,8142370,5327991,46656190,35842270,54839,57215,525720,466035
05,Electronics,2410,Jamaica,225241,153623,1255549,1277158,0,0,4482,8159
06,Flexible Manufacturing,2410,Jamaica,337798,144654,1529204,787444,0,0,0,14258
07,Advanced Materials,2410,Jamaica,0,6030,187468,40484,0,0,0,0
08,Aerospace,2410,Jamaica,1100867,1473253,10724178,7343394,0,0,0,202838
09,Weapons,2410,Jamaica,0,0,0,0,0,0,6000,0
10,Nuclear Technology,2410,Jamaica,4950,0,10919,16570,0,0,0,0
01,Biotechnology,2430,Turks and Caicos Islands,0,0,12635,0,0,0,0,0
02,Life Science,2430,Turks and Caicos Islands,25613,7428,66103,140476,0,0,0,0
03,Opto-Electronics,2430,Turks and Caicos Islands,9369,0,33055,128265,0,0,0,0
04,Information & Communications,2430,Turks and Caicos Islands,999851,633125,4578274,1593590,4202,0,4202,11698
05,Electronics,2430,Turks and Caicos Islands,38822,17909,151246,27428,0,0,6000,0
06,Flexible Manufacturing,2430,Turks and Caicos Islands,16800,5085,180199,130978,0,0,0,0
07,Advanced Materials,2430,Turks and Caicos Islands,0,0,40256,41493,0,0,0,0
08,Aerospace,2430,Turks and Caicos Islands,0,103142,251744,289501,0,0,0,0
09,Weapons,2430,Turks and Caicos Islands,0,0,36410,0,0,0,0,0
10,Nuclear Technology,2430,Turks and Caicos Islands,0,0,0,9707,0,0,0,0
01,Biotechnology,2440,Cayman Islands,0,0,8101,70118,0,0,0,0
02,Life Science,2440,Cayman Islands,72222,243350,654484,175081,0,0,5970,0
03,Opto-Electronics,2440,Cayman Islands,97019,52639,405969,391021,0,0,0,0
04,Information & Communications,2440,Cayman Islands,1691122,2010959,12106102,10900550,384264,0,438804,56387
05,Electronics,2440,Cayman Islands,112495,21809,276132,290685,0,0,0,7864
06,Flexible Manufacturing,2440,Cayman Islands,239674,8516,405679,1044952,0,0,0,0
07,Advanced Materials,2440,Cayman Islands,0,0,26442,12909,0,0,0,0
08,Aerospace,2440,Cayman Islands,10259,40897,84399,38869238,0,0,0,0
01,Biotechnology,2450,Haiti,0,0,0,47583,0,0,0,0
02,Life Science,2450,Haiti,49729,169876,649554,192328,0,0,0,26567
03,Opto-Electronics,2450,Haiti,32505,87609,264450,642224,0,0,0,0
04,Information & Communications,2450,Haiti,2197428,3584057,13436111,6488678,0,0,19475,20407
05,Electronics,2450,Haiti,156152,4483,268271,153821,15749,0,15749,55994
06,Flexible Manufacturing,2450,Haiti,49613,1504623,2698963,101660,0,0,0,0
07,Advanced Materials,2450,Haiti,0,0,15960,45072,0,0,0,0
08,Aerospace,2450,Haiti,13538,4730,2784409,121554,0,0,0,0
09,Weapons,2450,Haiti,0,0,0,9380,0,0,0,0
10,Nuclear Technology,2450,Haiti,11800,3600,15400,0,0,0,0,0
01,Biotechnology,2470,Dominican Republic,500771,657403,2320159,1189805,0,0,0,0
02,Life Science,2470,Dominican Republic,1240455,1783361,6482968,5734165,27896185,31021536,159403047,173445398
03,Opto-Electronics,2470,Dominican Republic,313644,474597,2040523,1735006,349764,461373,2783142,3635456
04,Information & Communications,2470,Dominican Republic,18212427,12804618,78838598,63301490,7653497,6443390,55307894,112242130
05,Electronics,2470,Dominican Republic,5262223,4637261,36288175,28866746,50604,44522,541479,435648
06,Flexible Manufacturing,2470,Dominican Republic,1056001,4084809,7787951,3706280,69640,53206,316308,92436
07,Advanced Materials,2470,Dominican Republic,67322,79317,468157,358416,11788,40594,130111,33859
08,Aerospace,2470,Dominican Republic,335944,487935,12884446,6598591,0,10000,15800,302954
09,Weapons,2470,Dominican Republic,18028,19124,126720,394528,0,0,0,0
10,Nuclear Technology,2470,Dominican Republic,0,8925,123035,73702,0,0,0,0
01,Biotechnology,2481,Anguilla,0,0,17066,0,0,0,0,0
02,Life Science,2481,Anguilla,31552,3588,126494,160350,0,0,0,0
03,Opto-Electronics,2481,Anguilla,8985,25000,66273,21733,0,0,0,0
04,Information & Communications,2481,Anguilla,174263,97879,1114344,1331786,0,0,5200,0
05,Electronics,2481,Anguilla,0,4935,18165,15214,0,0,0,0
06,Flexible Manufacturing,2481,Anguilla,26485,0,75182,44137,0,0,0,0
07,Advanced Materials,2481,Anguilla,0,0,0,2640,0,0,0,0
08,Aerospace,2481,Anguilla,0,0,770967,52849,0,0,0,0
09,Weapons,2481,Anguilla,0,0,0,3105,0,0,0,0
02,Life Science,2482,British Virgin Islands,28782,0,366256,189840,0,56056,82069,0
03,Opto-Electronics,2482,British Virgin Islands,13000,15840,68889,124934,0,0,0,128182
04,Information & Communications,2482,British Virgin Islands,486950,1009845,3988228,1887515,2600,72860,129025,235113
05,Electronics,2482,British Virgin Islands,0,0,15141,17750,0,0,7500,0
06,Flexible Manufacturing,2482,British Virgin Islands,9669,8432,137714,63320,0,0,0,0
08,Aerospace,2482,British Virgin Islands,16088,15364652,40845886,26124,0,0,0,0
09,Weapons,2482,British Virgin Islands,3100,0,13443,12509,0,0,0,0
01,Biotechnology,2483,St Kitts and Nevis,0,0,26291,0,0,0,0,0
02,Life Science,2483,St Kitts and Nevis,39423,8874,84704,191122,0,0,12338,0
03,Opto-Electronics,2483,St Kitts and Nevis,9900,0,42901,21289,0,0,0,0
04,Information & Communications,2483,St Kitts and Nevis,930305,585566,4672124,3856170,209505,397140,1617795,828414
05,Electronics,2483,St Kitts and Nevis,13345,3800,109038,80662,0,3374,14019,20745
06,Flexible Manufacturing,2483,St Kitts and Nevis,0,0,45486,133986,0,0,14226,12115
07,Advanced Materials,2483,St Kitts and Nevis,0,0,3492,40303,0,0,0,0
08,Aerospace,2483,St Kitts and Nevis,0,20772,23562,79506,0,0,0,18354
09,Weapons,2483,St Kitts and Nevis,0,0,0,14317,0,0,0,0
01,Biotechnology,2484,Antigua and Barbuda,0,0,8000,2523,0,0,0,0
02,Life Science,2484,Antigua and Barbuda,27056,5347,154108,89808,0,0,7185,2565
03,Opto-Electronics,2484,Antigua and Barbuda,13411,15871,83690,140194,0,0,0,0
04,Information & Communications,2484,Antigua and Barbuda,542648,499118,5036021,5079233,0,2014,10573,4160
05,Electronics,2484,Antigua and Barbuda,23755,7233,103177,255694,0,0,2884,0
06,Flexible Manufacturing,2484,Antigua and Barbuda,2666,50645,971524,84687,0,0,0,0
07,Advanced Materials,2484,Antigua and Barbuda,61799,0,70513,12000,0,0,0,0
08,Aerospace,2484,Antigua and Barbuda,132761,193961,1812472,3835587,0,0,43928,2704
09,Weapons,2484,Antigua and Barbuda,0,0,140329,0,0,0,0,0
02,Life Science,2485,Montserrat,0,0,246184,106265,0,0,0,21420
03,Opto-Electronics,2485,Montserrat,0,33000,33000,2542,0,0,0,0
04,Information & Communications,2485,Montserrat,22681,41149,292221,187741,0,0,252077,31800
05,Electronics,2485,Montserrat,0,0,15255,52656,0,0,0,21329
06,Flexible Manufacturing,2485,Montserrat,0,0,0,8195,0,0,0,0
08,Aerospace,2485,Montserrat,0,0,8678519,0,0,0,0,0
02,Life Science,2486,Dominica,6180,0,32318,83315,0,0,0,0
03,Opto-Electronics,2486,Dominica,4189,0,39916,5000,0,3000,3000,0
04,Information & Communications,2486,Dominica,484014,944005,2535030,1137958,41655,5145,215711,0
05,Electronics,2486,Dominica,0,10216,88428,70660,0,0,2115,0
06,Flexible Manufacturing,2486,Dominica,159450,0,172140,137150,0,0,0,0
07,Advanced Materials,2486,Dominica,0,0,9012,2589,0,0,0,0
08,Aerospace,2486,Dominica,2520,0,14299,7750,0,0,0,0
10,Nuclear Technology,2486,Dominica,0,0,0,10021,0,0,0,0
02,Life Science,2487,St Lucia,24500,0,292227,329960,0,0,0,0
03,Opto-Electronics,2487,St Lucia,13700,11737,52513,68456,0,0,12934,0
04,Information & Communications,2487,St Lucia,419408,610027,3098298,4534062,0,0,2435,0
05,Electronics,2487,St Lucia,4092,0,24927,146457,11882,0,35470,21836
06,Flexible Manufacturing,2487,St Lucia,12609,0,89617,241442,0,0,29932,11512
07,Advanced Materials,2487,St Lucia,0,0,0,88683,0,0,0,0
08,Aerospace,2487,St Lucia,10133,0,212574,58909,0,0,0,0
02,Life Science,2488,St Vincent and the Grenadines,0,5922,20040,79445,0,0,0,0
03,Opto-Electronics,2488,St Vincent and the Grenadines,0,0,21477,33862,0,0,0,0
04,Information & Communications,2488,St Vincent and the Grenadines,149916,177946,1390879,1336305,0,0,0,0
05,Electronics,2488,St Vincent and the Grenadines,0,0,2700,14670,0,0,0,0
06,Flexible Manufacturing,2488,St Vincent and the Grenadines,0,8594,21089,79495,0,0,0,0
07,Advanced Materials,2488,St Vincent and the Grenadines,6468,0,6468,52369,0,0,0,0
08,Aerospace,2488,St Vincent and the Grenadines,4050,23923,97885,5922,0,0,0,0
01,Biotechnology,2489,Grenada,0,0,0,117798,0,0,0,0
02,Life Science,2489,Grenada,0,12027,225773,154103,0,0,0,0
03,Opto-Electronics,2489,Grenada,22916,16143,49388,14535,0,0,0,0
04,Information & Communications,2489,Grenada,311968,566381,3042668,3440781,0,0,0,0
05,Electronics,2489,Grenada,0,0,11600,30792,0,0,0,0
06,Flexible Manufacturing,2489,Grenada,40900,0,146367,299580,0,0,0,0
07,Advanced Materials,2489,Grenada,0,0,5933,305641,0,0,0,0
08,Aerospace,2489,Grenada,0,54358,54358,17230,0,0,0,0
01,Biotechnology,2720,Barbados,9982,22575,134128,34094,0,0,0,0
02,Life Science,2720,Barbados,985744,439089,3226682,736972,13100,20315,88565,21364
03,Opto-Electronics,2720,Barbados,163173,31966,342556,306445,0,0,4000,0
04,Information & Communications,2720,Barbados,2297952,2628858,28288560,30949788,0,0,18560,1044338
05,Electronics,2720,Barbados,152718,98533,889992,623363,2240,11990,79801,2250
06,Flexible Manufacturing,2720,Barbados,1030369,150565,1628118,729890,59035,58914,361027,284975
07,Advanced Materials,2720,Barbados,107320,75015,1179855,11548,0,0,0,0
08,Aerospace,2720,Barbados,13841,13386,164136,628169,0,0,0,6562
09,Weapons,2720,Barbados,12740,62100,107037,28036,0,0,0,0
10,Nuclear Technology,2720,Barbados,0,0,0,31395,0,0,0,0
01,Biotechnology,2740,Trinidad and Tobago,63484,80970,402610,484678,0,0,0,0
02,Life Science,2740,Trinidad and Tobago,3096706,904767,10406768,5987503,0,0,30437,174782
03,Opto-Electronics,2740,Trinidad and Tobago,170261,118627,780313,930515,0,0,0,5500
04,Information & Communications,2740,Trinidad and Tobago,16530388,17423442,102012306,47467926,0,3200,53864,50744
05,Electronics,2740,Trinidad and Tobago,377735,181454,3304732,2275135,0,2100,32787,0
06,Flexible Manufacturing,2740,Trinidad and Tobago,491597,719206,4498711,2795520,0,0,0,11290
07,Advanced Materials,2740,Trinidad and Tobago,44937,285359,516604,106484,0,0,0,0
08,Aerospace,2740,Trinidad and Tobago,1409705,1698984,6875593,12684638,0,0,0,0
09,Weapons,2740,Trinidad and Tobago,0,14480,44673,13105,0,0,0,0
10,Nuclear Technology,2740,Trinidad and Tobago,40000,198495,247471,1175698,0,0,0,0
01,Biotechnology,2771,Netherlands Antilles,6002,0,34377,11942,0,0,0,0
02,Life Science,2771,Netherlands Antilles,81678,459107,787794,959563,0,13319,225102,206109
03,Opto-Electronics,2771,Netherlands Antilles,88893,97318,346371,823974,0,0,0,0
04,Information & Communications,2771,Netherlands Antilles,6090873,4716133,32444146,22640535,3000,9832,75964,233832
05,Electronics,2771,Netherlands Antilles,81177,108668,666729,1270852,0,0,53925,29521
06,Flexible Manufacturing,2771,Netherlands Antilles,55304,17973,354899,483238,2870,0,9174,0
07,Advanced Materials,2771,Netherlands Antilles,6510,147882,160698,36822,0,0,0,0
08,Aerospace,2771,Netherlands Antilles,294759,104055,780158,514899,0,148647,183789,198962
09,Weapons,2771,Netherlands Antilles,0,0,15000,25691,0,0,0,0
02,Life Science,2779,Aruba,148462,69106,508800,574773,0,0,0,0
03,Opto-Electronics,2779,Aruba,137039,99814,602441,767861,0,0,0,0
04,Information & Communications,2779,Aruba,1436771,827284,9299715,7921348,0,0,0,10811
05,Electronics,2779,Aruba,26531,38631,258428,297677,0,0,0,0
06,Flexible Manufacturing,2779,Aruba,174578,20531,511276,319192,0,0,0,0
07,Advanced Materials,2779,Aruba,104863,0,104863,0,0,0,0,0
08,Aerospace,2779,Aruba,15023,27605,71585,110200,0,0,0,6382
09,Weapons,2779,Aruba,7565,0,33909,19450,0,0,0,0
10,Nuclear Technology,2779,Aruba,0,0,2700,0,0,0,0,0
02,Life Science,2831,Guadeloupe,0,7979,668323,31076,8761,3792,12553,5000
