-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
UPO1        49718.000    1995     1     1     0
UPO1        52274.750    2001    12    31    18
UPO1     -5464031.767 -2446032.649  2193283.030
49728.00    -0.052107     0.644829     0.151830
49728.25    -0.299639     0.515311     0.481491
49728.50     0.181822     0.052898     0.302672
49728.75     0.120837     0.577177    -0.202453
49729.00     0.103614     0.855249     0.185212
49729.25    -0.464778     0.684392     0.321321
49729.50    -0.281870     0.149657     0.355913
49729.75    -0.595947     0.668003    -0.011920
49730.00    -0.798792     0.849452     0.290483
49730.25    -1.430942     0.671715     0.513362
49730.50    -1.275080     0.168566     0.529829
49730.75    -1.550350     0.677148     0.063266
49731.00    -1.804682     1.090745     0.426252
49731.25    -2.207396     1.014122     0.813316
49731.50    -2.083123     0.672297     0.811685
49731.75    -2.254385     1.232315     0.278921
49732.00    -2.259963     1.648781     0.671987
49732.25    -2.685290     1.641234     0.988297
49732.50    -2.369617     1.367628     0.806214
49732.75    -2.291405     1.863387     0.308287
49733.00    -2.268262     2.150113     0.583781
49733.25    -2.859174     1.998882     0.934702
49733.50    -2.553016     1.506974     0.771412
49733.75    -2.505642     1.853734     0.311765
49734.00    -2.568216     2.102616     0.695344
49734.25    -2.838106     1.876352     1.063536
49734.50    -2.442154     1.425315     1.079724
49734.75    -2.389375     1.763484     0.719155
49735.00    -2.305218     2.023486     1.024971
49735.25    -2.543525     1.612928     1.381709
49735.50    -2.421258     1.085088     1.370409
49735.75    -2.417606     1.255465     0.878527
49736.00    -2.435884     1.368568     1.390465
49736.25    -2.737860     1.016780     1.666075
49736.50    -2.640697     0.478305     1.691769
49736.75    -2.790113     0.700508     1.227066
49737.00    -2.873597     0.864620     1.617772
49737.25    -3.256701     0.486235     1.882823
49737.50    -3.062281     0.061603     1.770946
49737.75    -3.038861     0.572381     1.115203
49738.00    -2.884101     1.011191     1.196366
49738.25    -2.983718     0.778753     1.507162
49738.50    -2.571297     0.389633     1.312678
49738.75    -2.493349     0.895890     0.688749
49739.00    -2.229518     1.314577     0.681440
49739.25    -2.376294     1.208081     0.821259
49739.50    -2.080239     0.716948     0.616429
49739.75    -1.930832     1.038404     0.008473
49740.00    -1.519792     1.208641     0.056184
49740.25    -1.780515     0.974194     0.299282
49740.50    -1.552005     0.458639     0.132618
49740.75    -1.490345     0.759436    -0.358490
49741.00    -1.593318     0.926228    -0.193199
49741.25    -1.969085     0.693009     0.227819
49741.50    -1.616507     0.121992     0.208495
49741.75    -1.729680     0.589891    -0.273496
49742.00    -1.707068     0.963288    -0.149039
49742.25    -1.965041     0.928849     0.086847
49742.50    -1.685224     0.426679    -0.096851
49742.75    -1.908260     0.968425    -0.477155
49743.00    -1.638721     1.391917    -0.362624
49743.25    -2.073761     1.355808    -0.055159
49743.50    -1.872260     0.952696    -0.278943
49743.75    -1.962087     1.442248    -0.814643
49744.00    -1.901615     1.690427    -0.568308
49744.25    -2.407696     1.559013    -0.248552
49744.50    -2.188740     1.206333    -0.264638
49744.75    -2.139018     1.606508    -0.811675
49745.00    -2.219415     2.071948    -0.609201
49745.25    -2.550849     1.772023    -0.306861
49745.50    -2.103975     1.227604    -0.282257
49745.75    -2.151891     1.634862    -0.635854
49746.00    -1.874451     1.943179    -0.214391
49746.25    -2.093392     1.868663     0.245544
49746.50    -1.565714     1.494996     0.205048
49746.75    -1.422703     2.105821    -0.350202
49747.00    -1.334889     2.632984    -0.148971
49747.25    -1.592927     2.665138     0.036709
49747.50    -1.319086     2.492190    -0.266776
49747.75    -1.170849     2.969589    -0.817029
49748.00    -1.336065     3.567112    -0.670751
49748.25    -1.787454     3.559893    -0.340363
49748.50    -1.534474     3.188053    -0.490896
49748.75    -1.539338     3.687846    -0.875618
49749.00    -1.365227     3.986926    -0.671118
49749.25    -1.568463     3.683448    -0.302767
49749.50    -1.202339     2.936508    -0.323114
49749.75    -1.186243     3.067572    -0.682283
49750.00    -1.055539     3.031779    -0.311955
49750.25    -1.284792     2.501693     0.046586
49750.50    -1.100526     1.725828    -0.089960
49750.75    -1.260771     1.890808    -0.577205
49751.00    -1.153529     1.790770    -0.226143
49751.25    -1.529241     1.247808     0.186921
49751.50    -1.155226     0.463859     0.159684
49751.75    -0.991158     0.848149    -0.390814
49752.00    -0.590230     0.924168    -0.099383
49752.25    -0.730428     0.486319     0.255794
49752.50    -0.280238    -0.080431     0.138663
49752.75    -0.038026     0.226348    -0.259523
49753.00     0.064330     0.554538     0.121678
49753.25    -0.102037     0.355411     0.451806
49753.50     0.479680    -0.067404     0.393636
49753.75     0.655248     0.347185    -0.001209
49754.00     0.872836     0.616782     0.326124
49754.25     0.860542     0.323663     0.713724
49754.50     1.462775    -0.307242     0.583150
49754.75     1.570433     0.020325     0.090727
49755.00     1.851649     0.249561     0.245342
49755.25     1.578720    -0.169319     0.467930
49755.50     1.977164    -0.688843     0.193268
49755.75     1.910106    -0.407496    -0.403837
49756.00     2.010664    -0.167520    -0.117564
49756.25     1.511174    -0.375076     0.215116
49756.50     1.944435    -0.990925     0.013691
49756.75     2.029409    -0.647900    -0.513740
49757.00     1.895932    -0.145571    -0.306759
49757.25     1.624671    -0.313704    -0.031371
49757.50     1.968602    -0.733834    -0.291161
49757.75     1.811293    -0.241405    -1.027834
49758.00     1.720272     0.231889    -0.958622
49758.25     1.051152     0.159398    -0.737765
49758.50     1.143484    -0.313565    -0.842216
49758.75     0.764723     0.211637    -1.306275
49759.00     0.579049     0.677316    -1.117509
49759.25    -0.070651     0.513258    -0.663566
49759.50     0.131737     0.118578    -0.849760
49759.75    -0.218103     0.578993    -1.190582
49760.00    -0.537893     0.998209    -0.843586
49760.25    -1.384116     0.871841    -0.279918
49760.50    -1.329329     0.497994    -0.329913
49760.75    -1.704155     1.122798    -0.636937
49761.00    -1.865513     1.598057    -0.417831
49761.25    -2.226548     1.407735     0.096861
49761.50    -1.696682     0.726503     0.103787
49761.75    -1.742064     1.086519    -0.311054
49762.00    -1.695905     1.391729    -0.003324
49762.25    -1.868585     1.209761     0.322383
49762.50    -1.422365     0.625026     0.247919
49762.75    -1.191850     1.085623    -0.313056
49763.00    -1.029546     1.493918    -0.062921
49763.25    -1.444231     1.371820     0.375080
49763.50    -1.023137     0.824067     0.411065
49763.75    -0.943728     1.198444    -0.114067
49764.00    -0.715404     1.538122     0.019655
49764.25    -0.954515     1.182026     0.184883
49764.50    -0.392302     0.626774     0.070988
49764.75    -0.231553     0.811905    -0.439830
49765.00    -0.143304     1.004916    -0.032467
49765.25    -0.318808     0.553927     0.557738
49765.50     0.032399    -0.016995     0.680674
49765.75    -0.144987     0.290769     0.036498
49766.00    -0.220021     0.689789     0.316712
49766.25    -0.926020     0.554375     0.504702
49766.50    -0.806111     0.035594     0.338601
49766.75    -1.117089     0.477744    -0.150108
49767.00    -1.081769     0.911157     0.075643
49767.25    -1.545931     0.949262     0.295594
49767.50    -1.013662     0.718377     0.067421
49767.75    -1.026687     1.264113    -0.610514
49768.00    -1.110448     1.629749    -0.376168
49768.25    -1.694584     1.487231    -0.130747
49768.50    -1.250178     0.859957    -0.094087
49768.75    -1.185761     1.213560    -0.510192
49769.00    -1.010974     1.516749    -0.174657
49769.25    -1.139118     1.135789     0.110947
49769.50    -0.641263     0.420450     0.036007
49769.75    -0.653164     0.670566    -0.541528
49770.00    -0.462790     0.962009    -0.165447
49770.25    -0.803530     0.571195    -0.063696
49770.50    -0.643150     0.007261    -0.279639
49770.75    -0.743303     0.409392    -0.831775
49771.00    -0.612767     0.689107    -0.642455
49771.25    -1.155588     0.473226    -0.522216
49771.50    -0.607926    -0.215768    -0.661025
49771.75    -0.544781     0.165518    -1.075469
49772.00    -0.399171     0.351248    -0.807293
49772.25    -0.739722     0.075927    -0.399238
49772.50    -0.172791    -0.635839    -0.476359
49772.75    -0.139116    -0.229243    -0.982417
49773.00     0.050843     0.011540    -0.704480
49773.25    -0.158191    -0.261734    -0.404627
49773.50     0.343861    -0.914610    -0.378652
49773.75     0.092789    -0.478911    -1.015449
49774.00     0.115504    -0.200360    -0.777651
49774.25    -0.353411    -0.416969    -0.475526
49774.50    -0.201069    -1.275292    -0.428538
49774.75    -0.509115    -0.927430    -0.921112
49775.00    -0.545312    -0.672545    -0.611817
49775.25    -1.181094    -0.813460    -0.211673
49775.50    -0.857203    -1.443864    -0.307940
49775.75    -0.851041    -1.043323    -0.822481
49776.00    -1.004840    -0.723990    -0.521655
49776.25    -1.353171    -0.888961    -0.281519
49776.50    -0.809549    -1.615490    -0.176682
49776.75    -0.841353    -1.093041    -0.821489
49777.00    -0.841235    -0.657852    -0.502678
49777.25    -1.193286    -0.730158    -0.081007
49777.50    -0.987870    -1.232395    -0.034350
49777.75    -1.125353    -0.672370    -0.671942
49778.00    -1.213026    -0.179159    -0.370580
49778.25    -1.771632    -0.059692     0.035350
49778.50    -1.565459    -0.513430    -0.040070
49778.75    -1.599293    -0.064723    -0.525290
49779.00    -1.436260     0.286393    -0.095651
49779.25    -1.784429    -0.013724     0.396323
49779.50    -1.229437    -0.698925     0.505680
49779.75    -0.941630    -0.465923    -0.076576
49780.00    -0.877805    -0.214603     0.216388
49780.25    -1.393021    -0.599445     0.649943
49780.50    -1.193488    -1.143455     0.560567
49780.75    -1.186901    -0.695235    -0.098877
49781.00    -1.475096    -0.266105     0.131781
49781.25    -1.717758    -0.469919     0.246610
49781.50    -1.278811    -1.057736     0.223713
49781.75    -1.278116    -0.541581    -0.480404
49782.00    -1.019483    -0.236824    -0.313005
49782.25    -1.454923    -0.561675    -0.086497
49782.50    -1.362368    -1.038792    -0.150476
49782.75    -1.509493    -0.656591    -0.882418
49783.00    -1.743268    -0.082385    -0.592979
49783.25    -2.490511    -0.180664    -0.303540
49783.50    -2.388105    -0.586830    -0.388370
49783.75    -2.639830    -0.034419    -1.037352
49784.00    -2.533831     0.350566    -0.643446
49784.25    -3.005525     0.269355    -0.191772
49784.50    -2.517750    -0.210142    -0.043602
49784.75    -2.600799     0.320903    -0.450109
49785.00    -2.282072     0.730462    -0.077698
49785.25    -2.577835     0.460374     0.473487
49785.50    -2.165166    -0.086695     0.625010
49785.75    -2.094801     0.450357     0.108380
49786.00    -1.860788     0.891741     0.541516
49786.25    -2.368242     0.833887     0.770661
49786.50    -1.965127     0.234881     0.746613
49786.75    -2.074588     0.756121     0.142384
49787.00    -2.044399     1.227019     0.532606
49787.25    -2.578174     1.198445     0.897502
49787.50    -2.029520     0.647214     0.965338
49787.75    -1.946258     1.066441     0.319511
49788.00    -1.780946     1.412891     0.772643
49788.25    -2.022801     1.249237     1.092212
49788.50    -1.622861     0.705095     0.888832
49788.75    -1.931260     1.306273     0.027764
49789.00    -2.036145     1.557721     0.072639
49789.25    -2.817116     1.322496     0.201500
49789.50    -2.818101     0.672084     0.100469
49789.75    -2.883564     1.088862    -0.626905
49790.00    -3.082797     1.503579    -0.420063
49790.25    -3.588166     1.262340    -0.379240
49790.50    -3.156560     0.634417    -0.474910
49790.75    -2.924221     0.837696    -1.207679
49791.00    -2.480532     1.201782    -1.042154
49791.25    -2.434431     1.031266    -0.796091
49791.50    -1.797656     0.422552    -0.802805
49791.75    -1.497856     0.709100    -1.380963
49792.00    -1.125338     0.746576    -1.090938
49792.25    -1.422631     0.531488    -0.618775
49792.50    -1.140981    -0.047215    -0.581042
49792.75    -1.044517     0.307572    -1.042547
49793.00    -0.809085     0.515541    -0.683347
49793.25    -1.103783     0.414002    -0.175973
49793.50    -0.440926    -0.248037    -0.195933
49793.75    -0.064629     0.247469    -0.517060
49794.00     0.451602     0.449809    -0.073359
49794.25     0.414560     0.336364     0.152426
49794.50     1.333814    -0.557924     0.242895
49794.75     1.599935    -0.085100    -0.248425
49795.00     1.761075     0.463350     0.088109
49795.25     1.759751     0.375838     0.381490
49795.50     2.185728    -0.129781     0.271247
49795.75     2.148713     0.524173    -0.431735
49796.00     2.160359     1.033511    -0.142200
49796.25     1.559030     0.935701     0.316789
49796.50     1.541793     0.651210     0.229816
49796.75     1.422528     1.257801    -0.395142
49797.00     1.324477     1.812413    -0.074990
49797.25     0.389567     1.832341     0.162310
49797.50     0.663923     1.264533    -0.038603
49797.75     0.311977     1.754564    -0.748125
49798.00     0.093421     2.105489    -0.445582
49798.25    -0.469353     1.934736    -0.291745
49798.50    -0.062282     1.293582    -0.619790
49798.75    -0.412567     1.594515    -1.270319
49799.00    -0.430158     1.658743    -0.983133
49799.25    -0.964530     1.401640    -0.542568
49799.50    -0.723689     0.880905    -0.765025
49799.75    -1.007020     1.361954    -1.432199
49800.00    -0.848566     1.474358    -0.974060
49800.25    -1.199071     1.110964    -0.629684
49800.50    -0.567013     0.431206    -0.712912
49800.75    -0.366209     0.879763    -1.171467
49801.00     0.075116     0.865191    -0.677714
49801.25    -0.138532     0.292641    -0.233934
49801.50     0.768911    -0.962864    -0.125320
49801.75     0.962582    -0.824851    -0.406184
49802.00     1.017621    -0.773558    -0.049766
49802.25     0.761259    -1.196917     0.082892
49802.50     1.590262    -2.183324    -0.145422
49802.75     1.481850    -1.925823    -0.873714
49803.00     1.557383    -1.660484    -0.629388
49803.25     1.088107    -1.722450    -0.549595
49803.50     1.516776    -2.307370    -0.896596
49803.75     1.311737    -1.648163    -1.723249
49804.00     1.319416    -1.330623    -1.543469
49804.25     0.736989    -1.296724    -1.222050
49804.50     1.115268    -1.751837    -1.145558
49804.75     1.137452    -1.025382    -1.554396
49805.00     1.298518    -0.602970    -1.033439
49805.25     0.819709    -0.654105    -0.564015
49805.50     1.279357    -1.212948    -0.406871
49805.75     0.803750    -0.491519    -0.782752
49806.00     0.559510     0.043775    -0.563499
49806.25    -0.157214     0.203892    -0.300073
49806.50     0.253890    -0.284894    -0.442069
49806.75    -0.128912     0.517791    -0.982794
49807.00    -0.053503     0.961748    -0.435824
49807.25    -0.570674     1.017158    -0.103992
49807.50    -0.089880     0.555057    -0.092995
49807.75    -0.186538     1.173016    -0.546954
49808.00     0.054693     1.367745    -0.064608
49808.25    -0.247596     1.171127     0.366365
49808.50     0.428177     0.440943     0.236497
49808.75     0.571465     0.830117    -0.329198
49809.00     0.928215     1.021232     0.006089
49809.25     0.711301     0.647440     0.436232
49809.50     1.414310    -0.178996     0.377880
49809.75     1.333548     0.156938    -0.133311
49810.00     1.332221     0.511816     0.185898
49810.25     0.784685     0.418752     0.385812
49810.50     1.156826    -0.187922     0.266658
49810.75     0.936189     0.304075    -0.298197
49811.00     0.804124     0.717730     0.271675
49811.25     0.189426     0.829979     0.553624
49811.50     0.612923     0.448618     0.332615
49811.75     0.568166     1.031095    -0.230778
49812.00     0.332336     1.449230     0.049523
49812.25    -0.322150     1.364279     0.367555
49812.50    -0.087783     0.900562     0.166933
49812.75    -0.275306     1.371079    -0.435956
49813.00    -0.287795     1.528746    -0.010755
49813.25    -0.649336     1.182178     0.363501
49813.50    -0.174617     0.328411     0.274016
49813.75    -0.269483     0.678047    -0.351948
49814.00    -0.190936     0.709533     0.024473
49814.25    -0.569281     0.318371     0.152709
49814.50    -0.148658    -0.383589    -0.165415
49814.75     0.178908     0.034782    -1.054533
49815.00     0.280521     0.311781    -0.779226
49815.25    -0.010182     0.265998    -0.593201
49815.50     0.606658    -0.262554    -0.982299
49815.75     0.616748     0.518208    -1.584372
49816.00     0.574244     0.948361    -1.375881
49816.25     0.058040     0.915087    -1.119167
49816.50     0.537002     0.470718    -1.182623
49816.75     0.391750     1.113796    -1.714757
49817.00     0.178402     1.496966    -1.204036
49817.25    -0.482958     1.371915    -0.722597
49817.50    -0.241562     0.661602    -0.662254
49817.75    -0.558869     1.094699    -0.992959
49818.00    -0.699726     1.315272    -0.458956
49818.25    -1.233211     1.106266    -0.044026
49818.50    -0.845948     0.059655     0.135102
49818.75    -1.050455     0.461365    -0.356250
49819.00    -0.992816     0.520665     0.047849
49819.25    -1.542622     0.292192     0.336651
49819.50    -1.145452    -0.445564     0.177913
49819.75    -1.408742     0.110611    -0.566295
49820.00    -1.393203     0.252457    -0.329393
49820.25    -1.887928     0.192147    -0.133722
49820.50    -1.417834    -0.137844    -0.283643
49820.75    -1.571245     0.486298    -0.928508
49821.00    -1.628300     0.767458    -0.679177
49821.25    -2.081747     0.672792    -0.434626
49821.50    -1.650132    -0.067371    -0.583622
49821.75    -1.868914     0.229115    -1.185542
49822.00    -2.065066     0.447183    -0.895990
49822.25    -2.524812     0.086883    -0.762407
49822.50    -1.975537    -0.761176    -0.832995
49822.75    -1.953036    -0.332085    -1.357128
49823.00    -1.823093    -0.094313    -1.060755
49823.25    -2.003567    -0.140178    -0.882929
49823.50    -1.220467    -0.930501    -0.922857
49823.75    -1.113429    -0.548346    -1.536336
49824.00    -1.115397    -0.265266    -1.268381
49824.25    -1.051570    -0.533811    -1.059459
49824.50    -0.914053    -0.860033    -1.204463
49824.75    -0.738423    -0.303643    -1.972291
49825.00    -0.687496     0.162757    -1.594544
49825.25    -0.946564    -0.018346    -1.401297
49825.50    -0.468512    -0.521030    -1.436336
49825.75    -0.316795     0.045737    -2.034654
49826.00    -0.348393     0.483771    -1.575246
49826.25    -0.576313     0.153254    -1.349319
49826.50    -0.282398    -0.591463    -1.276256
49826.75    -0.568183    -0.195084    -1.806816
49827.00    -0.811183     0.076750    -1.365798
49827.25    -1.261613    -0.058171    -1.150756
49827.50    -0.857039    -0.664034    -1.034075
49827.75    -0.913479    -0.397326    -1.539227
49828.00    -1.043231    -0.211202    -1.133766
49828.25    -1.612164    -0.492391    -0.802063
49828.50    -1.297722    -1.090662    -0.871499
49828.75    -1.456685    -0.557289    -1.419928
49829.00    -1.482349    -0.394634    -1.036988
49829.25    -2.233495    -0.541734    -0.653384
49829.50    -1.930683    -1.130486    -0.676212
49829.75    -2.241054    -0.562091    -1.186576
49830.00    -2.344129    -0.259037    -0.815258
49830.25    -2.777246    -0.290812    -0.610162
49830.50    -2.115915    -1.121683    -0.573542
49830.75    -2.029677    -0.563986    -1.240630
49831.00    -1.753163    -0.358651    -0.902841
49831.25    -1.890905    -0.599177    -0.831268
49831.50    -1.188129    -1.335203    -1.049263
49831.75    -1.064128    -0.978853    -1.585851
49832.00    -0.939060    -0.770622    -1.203380
49832.25    -1.181215    -1.034172    -0.967623
49832.50    -0.572442    -1.746595    -1.017236
49832.75    -0.566135    -1.192194    -1.483968
49833.00    -0.382806    -0.855957    -1.149274
49833.25    -0.902761    -0.995564    -0.629588
49833.50    -0.271965    -1.651766    -0.809954
49833.75    -0.398153    -1.032040    -1.332425
49834.00    -0.401175    -0.676398    -1.098358
49834.25    -0.978808    -0.593643    -0.804769
49834.50    -0.364944    -1.298509    -0.961166
49834.75    -0.437222    -0.724082    -1.509824
49835.00    -0.542348    -0.410126    -1.263703
49835.25    -1.151288    -0.259675    -0.823136
49835.50    -0.816936    -0.789898    -0.855822
49835.75    -0.844044    -0.195477    -1.370518
49836.00    -0.802464    -0.016660    -0.826040
49836.25    -1.284008    -0.236005    -0.424792
49836.50    -0.845334    -0.800558    -0.331929
49836.75    -0.889662    -0.271208    -0.877335
49837.00    -0.729696    -0.170260    -0.366525
49837.25    -0.914309    -0.487946    -0.099662
49837.50    -0.329839    -1.173824    -0.187558
49837.75    -0.395514    -0.640840    -0.875277
49838.00    -0.347753    -0.390482    -0.449838
49838.25    -0.644909    -0.364398    -0.263415
49838.50     0.013822    -0.840349    -0.429713
49838.75    -0.010072    -0.156249    -0.833840
49839.00    -0.046826     0.390670    -0.407168
49839.25    -0.419128     0.499674    -0.103464
49839.50    -0.073281     0.025985    -0.236046
49839.75    -0.453308     0.602011    -0.778421
49840.00    -0.488952     0.918685    -0.360042
49840.25    -1.142246     0.624209     0.034048
49840.50    -0.665445    -0.147860    -0.071396
49840.75    -0.664644     0.227833    -0.607389
49841.00    -0.484017     0.353453    -0.325159
49841.25    -0.724570    -0.038077    -0.088870
49841.50    -0.102282    -1.080665    -0.176761
49841.75    -0.034569    -0.889717    -0.718459
49842.00     0.043996    -0.674521    -0.418363
49842.25    -0.153620    -0.851825    -0.235489
49842.50     0.422137    -1.458824    -0.460160
49842.75     0.597448    -0.866611    -1.060532
49843.00     0.788074    -0.371629    -0.794822
49843.25     0.430590    -0.302471    -0.434764
49843.50     0.913110    -0.745696    -0.434811
49843.75     0.847233    -0.090396    -0.908949
49844.00     0.703186     0.238388    -0.547069
49844.25    -0.028413     0.165938    -0.189848
49844.50     0.334096    -0.483170    -0.196585
49844.75     0.057903    -0.071816    -0.502592
49845.00    -0.117658     0.147260    -0.054354
49845.25    -0.628903    -0.100793     0.293589
49845.50    -0.100568    -0.972154     0.346690
49845.75    -0.233662    -0.641498    -0.299415
49846.00    -0.109045    -0.649058     0.145502
49846.25    -0.387003    -0.861304     0.281647
49846.50     0.302262    -1.701532     0.131378
49846.75     0.491809    -1.349895    -0.464453
49847.00     0.699151    -1.256060    -0.097514
49847.25     0.454198    -1.384054     0.164484
49847.50     0.902695    -1.963066     0.061516
49847.75     0.931052    -1.338742    -0.573261
49848.00     0.859364    -0.932191    -0.357696
49848.25     0.471280    -0.729378    -0.097813
49848.50     0.918517    -1.072782    -0.270443
49848.75     0.768485    -0.301106    -0.834006
49849.00     0.598668     0.197817    -0.663997
49849.25     0.119415     0.299123    -0.284765
49849.50     0.323077    -0.091639    -0.396254
49849.75     0.071553     0.461776    -0.818553
49850.00    -0.108787     0.721903    -0.488552
49850.25    -0.721416     0.488553    -0.043957
49850.50    -0.319392    -0.196470    -0.192728
49850.75    -0.354212     0.129572    -0.559643
49851.00    -0.310427     0.139252    -0.166365
49851.25    -0.568723    -0.256728     0.161363
49851.50     0.147760    -1.111699    -0.010837
49851.75     0.244035    -0.744101    -0.600820
49852.00     0.361721    -0.561447    -0.432397
49852.25    -0.034625    -0.722112    -0.085713
49852.50     0.649987    -1.310042    -0.363445
49852.75     0.584801    -0.652979    -0.912791
49853.00     0.807766    -0.256420    -0.605082
49853.25     0.356745    -0.188189    -0.205713
49853.50     0.859635    -0.639047    -0.330880
49853.75     0.791034    -0.247582    -0.749248
49854.00     0.625960     0.173026    -0.305457
49854.25     0.019880     0.012566     0.116315
49854.50     0.185844    -0.513114     0.127923
49854.75    -0.076983    -0.239628    -0.482453
49855.00    -0.392593     0.025483    -0.148050
49855.25    -1.014822    -0.276883     0.095313
49855.50    -0.713729    -0.786488    -0.156251
49855.75    -1.075626    -0.357255    -0.869144
49856.00    -1.274818     0.040753    -0.867276
49856.25    -1.875638    -0.077331    -0.593764
49856.50    -1.820037    -0.348397    -0.843616
49856.75    -2.193983     0.298871    -1.373626
49857.00    -2.326201     0.602604    -1.247380
49857.25    -2.847963     0.511288    -0.783775
49857.50    -2.514411     0.020086    -0.985519
49857.75    -2.515543     0.360535    -1.433418
49858.00    -2.304998     0.269665    -1.034922
49858.25    -2.717124    -0.120919    -0.586194
49858.50    -2.169340    -0.868759    -0.584102
49858.75    -2.065946    -0.554316    -1.060362
49859.00    -2.010358    -0.357725    -0.715518
49859.25    -2.274828    -0.518448    -0.438580
49859.50    -1.556422    -1.199854    -0.467937
49859.75    -1.664089    -0.723639    -0.944772
49860.00    -1.779726    -0.404624    -0.703125
49860.25    -2.126854    -0.439646    -0.380707
49860.50    -1.615147    -1.091657    -0.427833
49860.75    -1.824981    -0.549609    -0.958028
49861.00    -1.714206    -0.298662    -0.586814
49861.25    -2.225927    -0.381719    -0.184931
49861.50    -1.711163    -1.068709    -0.349053
49861.75    -1.789589    -0.668898    -0.715101
49862.00    -1.628131    -0.542637    -0.243284
49862.25    -2.126979    -0.668342     0.395280
49862.50    -1.686908    -1.290223     0.474441
49862.75    -1.870350    -0.633591    -0.118372
49863.00    -1.746478    -0.375160     0.146867
49863.25    -2.194359    -0.374112     0.468222
49863.50    -1.590971    -0.831109     0.367009
49863.75    -1.707714    -0.247596    -0.147422
49864.00    -1.657244     0.067252     0.148909
49864.25    -2.214583    -0.051461     0.561245
49864.50    -1.856990    -0.720634     0.446930
49864.75    -2.003637    -0.231723    -0.109447
49865.00    -2.009629     0.017441     0.146285
49865.25    -2.497025    -0.035302     0.513725
49865.50    -1.802405    -0.794367     0.357970
49865.75    -1.765715    -0.432734    -0.136346
49866.00    -1.503290    -0.338338     0.234245
49866.25    -1.690813    -0.431143     0.656241
49866.50    -0.999799    -1.137834     0.606445
49866.75    -0.983334    -0.595894     0.067353
49867.00    -0.948886    -0.304205     0.105243
49867.25    -1.326906    -0.286249     0.281658
49867.50    -0.749877    -0.850708     0.026554
49867.75    -0.738481    -0.275266    -0.490003
49868.00    -0.793186     0.100153    -0.316945
49868.25    -1.323509    -0.004088    -0.071600
49868.50    -0.933623    -0.483686    -0.389344
49868.75    -0.960507    -0.137721    -1.092118
49869.00    -0.989556     0.060526    -0.835485
49869.25    -1.249452    -0.201611    -0.458309
49869.50    -0.795793    -0.825106    -0.574217
49869.75    -0.764247    -0.500962    -1.057447
49870.00    -0.744179    -0.343272    -0.793283
49870.25    -1.025788    -0.701269    -0.279737
49870.50    -0.683442    -1.189665    -0.244543
