 542597.74 2820605.40    1.46 GH01265A99 19991209Y
 538213.98 2822608.74    1.40 GH13265A99 19991209Y
 537790.97 2822599.79    1.34 GH13265A99 19991209Y
 543002.76 2823000.91    1.53 GH13265A99 19991209Y
 542620.95 2822995.26    1.56 GH13265A99 19991209Y
 542203.96 2822991.72    1.57 GH13265A99 19991209Y
 541806.04 2822999.33    1.56 GH13265A99 19991209Y
 541418.17 2823003.66    1.44 GH13265A99 19991209Y
 541024.34 2822985.83    1.47 GH13265A99 19991209Y
 540610.36 2822986.78    1.31 GH13265A99 19991209Y
 540212.45 2822988.90    1.39 GH13265A99 19991209Y
 539814.52 2822996.57    1.51 GH13265A99 19991209Y
 539435.69 2823003.20    1.55 GH13265A99 19991209Y
 538612.78 2822997.47    1.18 GH13265A99 19991209Y
 538213.85 2823005.18    1.36 GH13265A99 19991209Y
 537766.71 2823008.34    1.16 GH13265A99 19991209Y
 543413.05 2823003.52    1.47 GH13313A99 19991209Y
 543426.71 2823406.71    1.47 GH13313A99 19991209Y
 543416.71 2826607.46    1.69 GH13313A99 19991209Y
 543409.69 2827000.20    1.49 GH13313A99 19991209Y
 542214.82 2827008.15    1.60 GH13313A99 19991209Y
 541023.53 2827409.78    1.48 GH13313A99 19991209Y
 543033.22 2827804.97    1.63 GH13313A99 19991209Y
 539823.66 2831005.69    1.53 GH13313A99 19991209Y
 538619.84 2831011.68    1.55 GH13313A99 19991209Y
 539418.23 2831800.36    1.23 GH13313A99 19991209Y
 544228.42 2831805.14    1.71 GH13313A99 19991209Y
 544625.91 2831815.83    1.45 GH13313A99 19991209Y
 545030.16 2831799.34    1.67 GH13313A99 19991209Y
 545453.70 2831813.60    1.24 GH13313A99 19991209Y
 543008.51 2823402.93    1.58 GH25B26599 19991209Y
 542605.23 2823393.09    1.59 GH25B26599 19991209Y
 542228.12 2823426.98    1.30 GH25B26599 19991209Y
 541808.20 2823390.10    1.53 GH25B26599 19991209Y
 541416.82 2823394.33    1.50 GH25B26599 19991209Y
 540967.28 2823407.32    1.43 GH25B26599 19991209Y
 540620.81 2823402.94    1.46 GH25B26599 19991209Y
 540207.85 2823392.46    1.11 GH25B26599 19991209Y
 539791.24 2823403.64    1.13 GH25B26599 19991209Y
 539400.36 2823399.80    1.21 GH25B26599 19991209Y
 539006.71 2823397.78    1.14 GH25B26599 19991209Y
 538610.04 2823397.37    1.09 GH25B26599 19991209Y
 538233.04 2823397.15    1.38 GH25B26599 19991209Y
 537800.46 2823395.93    1.35 GH25B26599 19991209Y
 542207.77 2823812.11    1.39 GH25B26599 19991209Y
 541819.32 2823808.33    1.59 GH25B26599 19991209Y
 541403.76 2823810.23    1.55 GH25B26599 19991209Y
 541022.32 2823787.06    1.54 GH25B26599 19991209Y
 540595.32 2823763.17    1.47 GH25B26599 19991209Y
 540253.92 2823761.23    1.36 GH25B26599 19991209Y
 539807.58 2823784.65    1.31 GH25B26599 19991209Y
 539400.17 2823792.77    1.17 GH25B26599 19991209Y
 538993.18 2823754.20    1.34 GH25B26599 19991209Y
 538588.85 2823830.15    0.99 GH25B26599 19991209Y
 538200.43 2823825.43    1.34 GH25B26599 19991209Y
 537827.94 2823819.10    1.42 GH25B26599 19991209Y
 542197.19 2824196.78    1.50 GH25B26599 19991209Y
 541818.86 2824199.24    1.49 GH25B26599 19991209Y
 541369.30 2824207.54    1.29 GH25B26599 19991209Y
 541018.63 2824201.67    1.52 GH25B26599 19991209Y
 540624.97 2824199.88    1.45 GH25B26599 19991209Y
 540213.11 2824197.77    1.31 GH25B26599 19991209Y
 539809.32 2824192.56    1.55 GH25B26599 19991209Y
 539404.39 2824201.44    1.46 GH25B26599 19991209Y
 539005.17 2824198.04    1.41 GH25B26599 19991209Y
 538612.14 2824214.23    1.27 GH25B26599 19991209Y
 538215.89 2824194.01    1.36 GH25B26599 19991209Y
 537825.47 2824202.63    1.40 GH25B26599 19991209Y
 542605.97 2824596.77    1.48 GH25B26599 19991209Y
 542215.63 2824603.18    1.47 GH25B26599 19991209Y
 541806.55 2824607.62    1.42 GH25B26599 19991209Y
 541394.82 2824600.53    1.51 GH25B26599 19991209Y
 541012.14 2824593.30    1.40 GH25B26599 19991209Y
 540602.56 2824617.43    1.32 GH25B26599 19991209Y
 540212.83 2824609.87    1.27 GH25B26599 19991209Y
 539810.03 2824599.89    1.34 GH25B26599 19991209Y
 539413.47 2824597.76    1.31 GH25B26599 19991209Y
 539011.12 2824597.92    1.13 GH25B26599 19991209Y
 538624.34 2824596.97    1.37 GH25B26599 19991209Y
 538225.57 2824583.82    1.32 GH25B26599 19991209Y
 537824.40 2824594.61    1.38 GH25B26599 19991209Y
 542216.53 2824993.33    1.05 GH25B26599 19991209Y
 541809.28 2824995.76    1.50 GH25B26599 19991209Y
 541407.45 2824988.90    1.53 GH25B26599 19991209Y
 541037.00 2824989.14    1.32 GH25B26599 19991209Y
 540625.94 2824998.72    1.30 GH25B26599 19991209Y
 540189.22 2825004.36    1.36 GH25B26599 19991209Y
 539811.74 2824996.01    1.49 GH25B26599 19991209Y
 539407.57 2825004.08    1.69 GH25B26599 19991209Y
 539022.32 2824998.57    1.36 GH25B26599 19991209Y
 538627.36 2824998.23    1.32 GH25B26599 19991209Y
 538221.04 2824998.30    1.33 GH25B26599 19991209Y
 537833.83 2825008.99    1.63 GH25B26599 19991209Y
 542213.51 2825403.36    1.55 GH25B26599 19991209Y
 541802.95 2825410.17    1.51 GH25B26599 19991209Y
 541429.15 2825402.83    1.43 GH25B26599 19991209Y
 541000.37 2825403.53    1.45 GH25B26599 19991209Y
 540609.41 2825401.58    1.56 GH25B26599 19991209Y
 540193.96 2825400.19    1.50 GH25B26599 19991209Y
 539821.73 2825398.63    1.55 GH25B26599 19991209Y
 539411.21 2825399.08    1.47 GH25B26599 19991209Y
 539021.37 2825404.10    1.32 GH25B26599 19991209Y
 538590.69 2825399.90    1.45 GH25B26599 19991209Y
 538214.27 2825388.93    1.47 GH25B26599 19991209Y
 537941.64 2825393.73    1.52 GH25B26599 19991209Y
 537779.45 2825382.81    1.62 GH25B26599 19991209Y
 542623.28 2825805.80    1.29 GH31B26599 19991209Y
 542224.67 2825803.50    1.47 GH31B26599 19991209Y
 541813.11 2825793.31    1.58 GH31B26599 19991209Y
 541452.74 2825799.52    1.59 GH31B26599 19991209Y
 541015.95 2825789.28    1.36 GH31B26599 19991209Y
 540610.54 2825785.91    1.39 GH31B26599 19991209Y
 540225.22 2825798.42    1.44 GH31B26599 19991209Y
 539835.38 2825807.42    1.43 GH31B26599 19991209Y
 539411.97 2825793.61    1.40 GH31B26599 19991209Y
 538975.29 2825786.44    1.43 GH31B26599 19991209Y
 538593.57 2825797.72    1.34 GH31B26599 19991209Y
 538240.16 2825791.14    1.47 GH31B26599 19991209Y
 537817.94 2825790.72    1.55 GH31B26599 19991209Y
 542610.99 2826199.54    1.52 GH31B26599 19991209Y
 542224.20 2826209.39    1.54 GH31B26599 19991209Y
 541835.74 2826205.66    1.51 GH31B26599 19991209Y
 541429.42 2826208.36    1.41 GH31B26599 19991209Y
 540980.72 2826202.28    1.50 GH31B26599 19991209Y
 540591.80 2826189.19    1.36 GH31B26599 19991209Y
 540221.07 2826186.16    1.28 GH31B26599 19991209Y
 539818.98 2826207.49    1.43 GH31B26599 19991209Y
 539410.74 2826195.20    1.17 GH31B26599 19991209Y
 539000.91 2826204.62    1.48 GH31B26599 19991209Y
 538596.62 2826191.70    1.43 GH31B26599 19991209Y
 538222.62 2826201.38    1.43 GH31B26599 19991209Y
 537833.78 2826209.59    1.45 GH31B26599 19991209Y
 542610.34 2826606.79    1.59 GH31B26599 19991209Y
 542211.90 2826590.16    1.54 GH31B26599 19991209Y
 541813.73 2826590.83    1.66 GH31B26599 19991209Y
 541419.41 2826604.15    1.37 GH31B26599 19991209Y
 541012.04 2826597.27    1.57 GH31B26599 19991209Y
 540612.14 2826599.41    1.48 GH31B26599 19991209Y
 540224.43 2826623.49    1.52 GH31B26599 19991209Y
 539838.65 2826602.18    1.39 GH31B26599 19991209Y
 539395.38 2826614.07    1.11 GH31B26599 19991209Y
 538954.51 2826616.53    1.41 GH31B26599 19991209Y
 538612.63 2826609.51    1.09 GH31B26599 19991209Y
 538218.88 2826595.88    1.55 GH31B26599 19991209Y
 537821.03 2826594.02    1.51 GH31B26599 19991209Y
 542613.27 2827003.23    1.67 GH41A26699 19991209Y
 541815.11 2827005.42    1.57 GH41A26699 19991209Y
 541388.03 2826988.22    1.33 GH41A26699 19991209Y
 541008.61 2827001.38    1.50 GH41A26699 19991209Y
 540599.33 2826986.20    1.22 GH41A26699 19991209Y
 540244.66 2826996.76    1.28 GH41A26699 19991209Y
 539819.47 2826997.73    1.23 GH41A26699 19991209Y
 539421.23 2826998.49    1.36 GH41A26699 19991209Y
 539021.39 2826992.47    1.12 GH41A26699 19991209Y
 538558.86 2826996.85    1.36 GH41A26699 19991209Y
 538218.01 2826991.49    1.22 GH41A26699 19991209Y
 537829.82 2826993.82    1.41 GH41A26699 19991209Y
 542623.60 2827396.30    1.64 GH41A26699 19991209Y
 542208.57 2827394.84    1.49 GH41A26699 19991209Y
 541813.68 2827389.76    1.52 GH41A26699 19991209Y
 541405.06 2827389.50    1.52 GH41A26699 19991209Y
 540615.02 2827393.74    1.53 GH41A26699 19991209Y
 540222.32 2827447.54    1.55 GH41A26699 19991209Y
 539819.01 2827389.55    1.42 GH41A26699 19991209Y
 539412.69 2827397.33    1.65 GH41A26699 19991209Y
 539016.10 2827382.88    1.36 GH41A26699 19991209Y
 538588.50 2827376.62    1.37 GH41A26699 19991209Y
 538260.69 2827384.28    1.50 GH41A26699 19991209Y
 537800.91 2827395.42    1.40 GH41A26699 19991209Y
 542617.45 2827805.10    1.61 GH41A26699 19991209Y
 542215.01 2827792.24    1.62 GH41A26699 19991209Y
 541820.24 2827777.29    1.42 GH41A26699 19991209Y
 541430.13 2827784.15    1.46 GH41A26699 19991209Y
 541002.90 2827796.22    1.57 GH41A26699 19991209Y
 540603.02 2827794.88    1.50 GH41A26699 19991209Y
 540204.85 2827786.86    1.38 GH41A26699 19991209Y
 539799.49 2827789.68    1.34 GH41A26699 19991209Y
 539423.66 2827831.32    1.46 GH41A26699 19991209Y
 539024.66 2827782.28    1.43 GH41A26699 19991209Y
 538603.93 2827792.56    1.52 GH41A26699 19991209Y
 538194.52 2827797.20    1.64 GH41A26699 19991209Y
 537797.69 2827813.01    1.48 GH41A26699 19991209Y
 543013.30 2828206.46    1.62 GH41A26699 19991209Y
 542616.36 2828197.67    1.43 GH41A26699 19991209Y
 542210.51 2828183.35    1.70 GH41A26699 19991209Y
 541809.79 2828196.91    1.66 GH41A26699 19991209Y
 541389.38 2828203.21    1.57 GH41A26699 19991209Y
 541015.68 2828214.50    1.38 GH41A26699 19991209Y
 540549.18 2828193.42    1.51 GH41A26699 19991209Y
 540161.96 2828209.69    1.56 GH41A26699 19991209Y
 539805.18 2828223.06    1.36 GH41A26699 19991209Y
 539371.22 2828195.20    1.47 GH41A26699 19991209Y
 538924.57 2828177.60    1.34 GH41A26699 19991209Y
 538585.53 2828185.97    1.63 GH41A26699 19991209Y
 538187.50 2828185.02    1.56 GH41A26699 19991209Y
 537810.36 2828196.34    1.67 GH41A26699 19991209Y
 543014.78 2828598.72    1.77 GH41A26699 19991209Y
 542608.21 2828583.45    1.69 GH41A26699 19991209Y
 542183.92 2828606.11    1.57 GH41A26699 19991209Y
 541803.28 2828598.83    1.58 GH41A26699 19991209Y
 541350.48 2828583.65    1.71 GH41A26699 19991209Y
 540980.69 2828586.40    1.63 GH41A26699 19991209Y
 540557.77 2828609.14    1.37 GH41A26699 19991209Y
 540196.56 2828557.19    1.39 GH41A26699 19991209Y
 539803.57 2828611.97    1.61 GH41A26699 19991209Y
 539436.48 2828604.42    1.45 GH41A26699 19991209Y
 538981.28 2828600.09    1.47 GH41A26699 19991209Y
 538590.97 2828596.34    1.55 GH41A26699 19991209Y
 538219.11 2828599.36    1.70 GH41A26699 19991209Y
 537756.69 2828598.55    1.66 GH41A26699 19991209Y
 542987.57 2828997.76    1.31 GH47266A99 19991209Y
 542631.94 2829000.27    1.54 GH47266A99 19991209Y
 542225.79 2829004.41    1.57 GH47266A99 19991209Y
 541833.98 2829002.22    1.63 GH47266A99 19991209Y
 541399.52 2829020.08    1.59 GH47266A99 19991209Y
 541064.89 2828987.78    1.63 GH47266A99 19991209Y
 540634.65 2828997.42    1.70 GH47266A99 19991209Y
 540199.73 2828976.04    1.56 GH47266A99 19991209Y
 539807.83 2828990.82    1.53 GH47266A99 19991209Y
 539411.72 2828990.28    1.46 GH47266A99 19991209Y
 539018.40 2828999.36    1.45 GH47266A99 19991209Y
 538597.94 2829009.81    1.69 GH47266A99 19991209Y
 538205.66 2829006.69    1.40 GH47266A99 19991209Y
 537811.69 2828991.06    1.51 GH47266A99 19991209Y
 544606.18 2829407.93    1.71 GH47266A99 19991209Y
 543805.15 2829394.38    1.54 GH47266A99 19991209Y
 543401.29 2829399.98    1.74 GH47266A99 19991209Y
 542977.68 2829392.07    1.69 GH47266A99 19991209Y
 542611.67 2829404.92    1.58 GH47266A99 19991209Y
 542208.67 2829399.58    1.64 GH47266A99 19991209Y
 541825.10 2829404.65    1.60 GH47266A99 19991209Y
 541444.41 2829392.65    1.44 GH47266A99 19991209Y
 541014.62 2829402.46    1.57 GH47266A99 19991209Y
 540618.04 2829394.23    1.48 GH47266A99 19991209Y
 540216.49 2829396.95    1.65 GH47266A99 19991209Y
 539816.61 2829412.28    1.22 GH47266A99 19991209Y
 539405.03 2829401.75    1.57 GH47266A99 19991209Y
 539021.69 2829405.16    1.29 GH47266A99 19991209Y
 538614.61 2829395.48    1.61 GH47266A99 19991209Y
 538187.66 2829388.16    1.42 GH47266A99 19991209Y
 537786.37 2829405.01    1.50 GH47266A99 19991209Y
 544616.09 2829799.35    1.90 GH47266A99 19991209Y
 544210.77 2829811.90    1.62 GH47266A99 19991209Y
 543802.93 2829783.73    1.40 GH47266A99 19991209Y
 543405.27 2829797.93    1.05 GH47266A99 19991209Y
 542999.75 2829795.22    1.59 GH47266A99 19991209Y
 542615.80 2829800.01    1.55 GH47266A99 19991209Y
 542230.49 2829804.53    1.63 GH47266A99 19991209Y
 541830.78 2829789.19    1.71 GH47266A99 19991209Y
 541404.57 2829802.29    1.59 GH47266A99 19991209Y
 541004.00 2829781.50    1.51 GH47266A99 19991209Y
 540591.27 2829795.86    1.42 GH47266A99 19991209Y
 540220.95 2829797.64    1.56 GH47266A99 19991209Y
 539814.68 2829794.74    1.49 GH47266A99 19991209Y
 539404.64 2829814.46    1.35 GH47266A99 19991209Y
 539009.34 2829764.68    1.42 GH47266A99 19991209Y
 538615.48 2829805.11    1.61 GH47266A99 19991209Y
 538182.14 2829810.03    1.30 GH47266A99 19991209Y
 537810.18 2829793.13    1.60 GH47266A99 19991209Y
 537829.51 2830197.79    1.41 GH49B26699 19991209Y
 538211.00 2830211.88    1.44 GH49B26699 19991209Y
 538617.93 2830199.84    1.42 GH49B26699 19991209Y
 539026.67 2830199.59    1.35 GH49B26699 19991209Y
 539448.07 2830203.84    1.47 GH49B26699 19991209Y
 539832.64 2830196.65    1.44 GH49B26699 19991209Y
 540220.51 2830192.88    1.32 GH49B26699 19991209Y
 540658.71 2830197.30    1.16 GH49B26699 19991209Y
 541059.06 2830225.21    1.48 GH49B26699 19991209Y
 541444.84 2830191.79    1.49 GH49B26699 19991209Y
 541813.32 2830198.19    1.52 GH49B26699 19991209Y
 542218.79 2830208.93    1.48 GH49B26699 19991209Y
 542619.89 2830197.87    1.65 GH49B26699 19991209Y
 543020.60 2830205.17    1.69 GH49B26699 19991209Y
 543421.86 2830207.05    1.67 GH49B26699 19991209Y
 543811.44 2830204.29    1.78 GH49B26699 19991209Y
 544211.40 2830197.73    1.92 GH49B26699 19991209Y
 544621.58 2830213.19    1.73 GH49B26699 19991209Y
 544993.47 2830190.24    1.72 GH49B26699 19991209Y
 545423.68 2830198.27    1.75 GH49B26699 19991209Y
 537800.32 2830605.56    1.45 GH51B26699 19991209Y
 538230.32 2830605.87    1.42 GH51B26699 19991209Y
 538663.51 2830589.19    1.57 GH51B26699 19991209Y
 539049.71 2830609.77    1.47 GH51B26699 19991209Y
 539425.98 2830596.38    1.65 GH51B26699 19991209Y
 539781.13 2830605.59    1.46 GH51B26699 19991209Y
 540218.70 2830591.81    1.45 GH51B26699 19991209Y
 540627.72 2830607.27    1.33 GH51B26699 19991209Y
 541021.59 2830596.02    1.49 GH51B26699 19991209Y
 541343.84 2830609.27    1.56 GH51B26699 19991209Y
 541831.87 2830593.09    1.69 GH51B26699 19991209Y
 542233.93 2830596.05    1.61 GH51B26699 19991209Y
 542630.31 2830598.06    1.68 GH51B26699 19991209Y
 543037.08 2830600.64    1.56 GH51B26699 19991209Y
 543421.53 2830578.99    1.68 GH51B26699 19991209Y
 543872.38 2830602.58    1.73 GH51B26699 19991209Y
 544236.56 2830605.26    1.83 GH51B26699 19991209Y
 544626.45 2830602.74    1.64 GH51B26699 19991209Y
 545048.45 2830601.68    1.81 GH51B26699 19991209Y
 545434.11 2830581.15    1.86 GH51B26699 19991209Y
 545875.15 2830576.63    1.89 GH51B26699 19991209Y
 546218.64 2830593.49    1.67 GH51B26699 19991209Y
 537824.07 2831002.46    1.56 GH53B26699 19991209Y
 538237.31 2830998.84    1.52 GH53B26699 19991209Y
 539105.30 2830987.87    1.50 GH53B26699 19991209Y
 539456.67 2831004.42    1.54 GH53B26699 19991209Y
 540253.48 2830995.72    1.52 GH53B26699 19991209Y
 540634.66 2830985.00    1.36 GH53B26699 19991209Y
 541022.24 2830989.51    1.61 GH53B26699 19991209Y
 541437.57 2830999.76    1.72 GH53B26699 19991209Y
 541829.21 2831005.21    1.67 GH53B26699 19991209Y
 542205.51 2831014.40    1.71 GH53B26699 19991209Y
 542613.39 2831001.06    1.71 GH53B26699 19991209Y
 542991.61 2831003.15    1.76 GH53B26699 19991209Y
 543413.31 2831005.46    1.30 GH53B26699 19991209Y
 543818.23 2831002.30    1.73 GH53B26699 19991209Y
 544214.28 2830999.79    1.81 GH53B26699 19991209Y
 544603.15 2830995.14    1.72 GH53B26699 19991209Y
 545024.77 2831007.30    1.63 GH53B26699 19991209Y
 545446.55 2831011.58    1.89 GH53B26699 19991209Y
 545874.20 2831000.14    1.86 GH53B26699 19991209Y
 537844.04 2831390.24    1.64 GH55B26699 19991209Y
 538207.96 2831396.56    1.73 GH55B26699 19991209Y
 538592.98 2831396.57    1.53 GH55B26699 19991209Y
 539033.04 2831395.96    1.70 GH55B26699 19991209Y
 539428.78 2831396.09    1.69 GH55B26699 19991209Y
 539951.92 2831401.79    1.55 GH55B26699 19991209Y
 540228.05 2831400.21    1.61 GH55B26699 19991209Y
 540628.60 2831414.00    1.76 GH55B26699 19991209Y
 541028.62 2831379.49    1.53 GH55B26699 19991209Y
 541429.89 2831402.69    1.52 GH55B26699 19991209Y
 541758.99 2831412.68    1.70 GH55B26699 19991209Y
 542231.22 2831401.10    1.62 GH55B26699 19991209Y
 542632.63 2831415.13    1.70 GH55B26699 19991209Y
 543022.10 2831395.88    1.74 GH55B26699 19991209Y
 543432.21 2831402.20    1.75 GH55B26699 19991209Y
 543808.88 2831388.26    1.73 GH55B26699 19991209Y
 544251.23 2831408.20    1.80 GH55B26699 19991209Y
 544633.94 2831400.82    1.69 GH55B26699 19991209Y
 545028.70 2831407.71    1.33 GH55B26699 19991209Y
 545421.79 2831397.16    1.93 GH55B26699 19991209Y
 545831.73 2831410.53    1.70 GH55B26699 19991209Y
 537822.70 2831799.45    1.79 GH57B26699 19991209Y
 538233.86 2831795.75    1.80 GH57B26699 19991209Y
 538632.82 2831793.71    1.80 GH57B26699 19991209Y
 539050.31 2831803.60    1.92 GH57B26699 19991209Y
 539817.48 2831785.67    1.91 GH57B26699 19991209Y
 540232.73 2831811.43    1.88 GH57B26699 19991209Y
 540615.21 2831801.35    1.87 GH57B26699 19991209Y
 541065.13 2831799.56    1.53 GH57B26699 19991209Y
 541430.33 2831802.27    1.50 GH57B26699 19991209Y
 541831.66 2831816.59    1.40 GH57B26699 19991209Y
 542248.70 2831794.56    1.68 GH57B26699 19991209Y
 542614.83 2831802.22    1.62 GH57B26699 19991209Y
 543050.40 2831823.78    1.66 GH57B26699 19991209Y
 543426.30 2831816.55    1.72 GH57B26699 19991209Y
 543853.06 2831785.45    1.73 GH57B26699 19991209Y
 545817.84 2832206.53    1.56 GH61A26799 19991209Y
 545413.70 2832194.88    1.54 GH61A26799 19991209Y
 544992.33 2832197.00    1.74 GH61A26799 19991209Y
 544593.29 2832192.41    1.46 GH61A26799 19991209Y
 544193.99 2832208.26    1.58 GH61A26799 19991209Y
 543825.64 2832190.27    1.66 GH61A26799 19991209Y
 543424.08 2832201.04    1.51 GH61A26799 19991209Y
 543011.82 2832193.73    1.53 GH61A26799 19991209Y
 542588.56 2832180.29    1.60 GH61A26799 19991209Y
 542232.15 2832188.94    1.75 GH61A26799 19991209Y
 541817.43 2832207.87    1.58 GH61A26799 19991209Y
 541427.58 2832195.33    1.54 GH61A26799 19991209Y
 541005.54 2832201.59    1.47 GH61A26799 19991209Y
 540604.13 2832201.86    1.56 GH61A26799 19991209Y
 540213.80 2832204.14    1.63 GH61A26799 19991209Y
 539821.86 2832209.63    1.55 GH61A26799 19991209Y
 539424.40 2832163.79    1.45 GH61A26799 19991209Y
 539002.51 2832193.08    1.62 GH61A26799 19991209Y
 538639.92 2832207.38    1.44 GH61A26799 19991209Y
 538211.72 2832208.88    1.56 GH61A26799 19991209Y
 537805.46 2832181.35    1.51 GH61A26799 19991209Y
 545002.75 2832609.00    1.82 GH61A26799 19991209Y
 544625.73 2832604.32    1.75 GH61A26799 19991209Y
 544220.20 2832601.61    1.60 GH61A26799 19991209Y
 543776.53 2832596.25    1.52 GH61A26799 19991209Y
 543389.29 2832596.07    1.53 GH61A26799 19991209Y
 542974.02 2832578.16    1.51 GH61A26799 19991209Y
 542608.33 2832598.69    1.62 GH61A26799 19991209Y
 542209.90 2832595.76    1.45 GH61A26799 19991209Y
 541790.71 2832601.64    1.50 GH61A26799 19991209Y
 541399.89 2832629.25    1.48 GH61A26799 19991209Y
 541027.39 2832603.67    1.70 GH61A26799 19991209Y
 540608.65 2832589.59    1.41 GH61A26799 19991209Y
 540210.95 2832619.95    1.52 GH61A26799 19991209Y
 539804.25 2832593.38    1.74 GH61A26799 19991209Y
 539417.19 2832598.51    1.68 GH61A26799 19991209Y
 539010.40 2832606.77    1.82 GH61A26799 19991209Y
 538558.78 2832615.23    1.79 GH61A26799 19991209Y
 538204.47 2832612.29    1.96 GH61A26799 19991209Y
 537803.43 2832592.59    1.96 GH61A26799 19991209Y
 545028.82 2833003.03    1.64 GH63A26799 19991209Y
 544611.07 2833022.66    1.57 GH63A26799 19991209Y
 543808.94 2832990.10    1.75 GH63A26799 19991209Y
