 12960 HOUSTON                TX  -6  N29 59  W 95 22    33  1014
 61-90
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  9  5007 G4  1192  4444 G4  2337  2064 G5   476  9457 16547  5.0  4.6  3.15  0.16  32.06  21.72  26.89  28.31  73     0  9999  4.1
 10  4269 G4  1116  4263 G4  2449  1745 G5   458  7908 15597  4.9  4.3  2.59  0.15  30.44  17.28  23.89  25.90  73     0  9999  3.3
 11  2922 G4  1057  3013 G4  2670  1412 G5   410  6420 14729  6.3  5.7  1.91  0.11  23.39  12.22  17.83  19.73  67    60  9999  4.8
 12  2408 G4  1017  2657 G4  3003  1211 G5   397  5655 14280  6.9  6.3  1.14  0.09  14.00   2.72   8.39  10.41  68   306  9999  4.9
 13  4416 G4  1712  3760 G4  2619  2049 G5   740  8901 16407  6.1  5.5  2.53  0.13  26.61  15.11  20.89  22.45  74   900 99999  4.4
 1964
  1  2491 G4   954  2412 G4  2710  1376 G5   424  6042 14569  7.1  6.7  1.44  0.08  16.22   5.50  10.89  12.61  75   229  9999  4.9
  2  3384 G4  1399  3446 G4  3236  1522 G5   511  7326 15402  6.2  5.8  1.23  0.10  14.78   4.56   9.67  11.50  71   248  9999  5.2
  3  4430 G4  1638  3846 G4  3419  1986 G5   665  8999 16395  6.1  5.6  1.81  0.11  21.44  10.11  15.78  17.60  73    88  9999  5.4
  4  4299 G4  1344  2247 G4  2490  2703 G5   494 10363 17331  8.1  7.6  2.57  0.14  25.67  16.72  21.22  22.40  78    11  9999  5.8
  5  5313 G4  1641  3384 G4  2929  2779 G5   696 11210 18069  6.8  6.4  2.93  0.18  29.11  19.50  24.33  25.57  78     0  9999  4.8
  6  5891 G4  1372  4381 G4  2344  2780 G5   432 11519 18400  5.8  5.2  3.23  0.17  31.89  21.83  26.89  28.12  74     0  9999  4.5
  7  5776 G4  1335  4095 G4  2182  2838 G5   424 11327 18144  5.4  4.8  3.43  0.22  34.33  23.11  28.72  29.75  73     0  9999  3.9
  8  5481 G4  1346  4076 G4  2124  2620 G5   400 10596 17419  5.2  4.8  3.59  0.21  34.22  23.94  29.11  30.19  75     0  9999  3.9
  9  4182 G4  1389  2950 G4  2286  2277 G5   336  9411 16515  6.3  5.9  3.18  0.18  30.83  21.72  26.28  27.37  76     0  9999  3.8
 10  4657 G4  1167  5568 G4  2732  1416 G5   516  7855 15566  2.9  2.8  2.05  0.13  26.44  13.28  19.89  22.37  68    17  9999  4.1
 11  2849 G4   964  2962 G4  2665  1409 G5   427  6379 14706  5.8  5.7  2.20  0.11  23.89  12.78  18.33  19.78  75    63  9999  4.1
 12  2294 G4   858  2316 G4  2390  1243 G5   306  5649 14277  6.9  6.7  1.76  0.09  18.61   7.94  13.28  15.08  78   175  9999  4.6
 13  4258 G4  1768  3477 G4  2779  2080 G5   786  8892 16401  6.1  5.7  2.46  0.14  25.61  15.11  20.39  21.89  74   831 99999  4.6
 1965
  1  3147 H4  1078  4323 H4  3057  1107 H5   423  6042 14569  4.5  4.3  1.66  0.07  19.72   6.94  13.33  15.32  74   167  9999  4.8
  2  3344 H4  1324  2946 H4  3159  1705 H5   514  7298 15386  6.8  6.4  1.52  0.09  18.28   7.33  12.83  14.17  70   158  9999  5.8
  3  4232 H4  1303  3400 H4  3166  2138 H5   705  8946 16362  6.6  6.2  1.72  0.10  20.94   8.72  14.83  16.37  69   139  9999  5.5
  4  4919 H4  1648  3416 H4  3131  2569 H5   661 10326 17302  6.6  6.1  2.62  0.15  28.11  17.94  23.06  24.13  74     0  9999  5.0
  5  4619 H4  1146  2103 H4  1931  3086 H5   396 11190 18050  8.1  7.7  3.00  0.16  29.50  20.61  25.06  25.85  76     0  9999  5.5
  6  6332 H4   915  4658 H4  1747  2914 H5   434 11517 18399  5.1  4.8  3.37  0.21  33.28  23.39  28.33  29.45  72     0  9999  4.2
  7  5979 H4  1150  4201 H4  1930  2880 H5   405 11341 18160  5.8  5.2  3.41  0.21  34.94  24.06  29.50  30.50  69     0  9999  3.4
  8  5297 H4  1196  3666 H4  2017  2644 H5   406 10628 17447  6.2  5.9  3.45  0.18  33.94  23.22  28.61  29.19  75     0  9999  3.1
  9  4746 H4  1179  3806 H4  2318  2257 H5   480  9457 16547  5.6  5.2  3.24  0.16  32.50  22.11  27.33  28.48  74     1  9999  4.1
 10  4284 H4  1019  4560 H4  2925  1676 H5   659  7908 15597  4.2  4.0  2.22  0.12  26.56  14.94  20.78  22.84  68    11  9999  3.8
 11  2759 H4   675  2429 H4  2042  1576 H5   397  6420 14729  7.4  6.6  2.41  0.10  25.56  15.67  20.61  21.96  76    13  9999  3.8
 12  2389 H4   781  2238 H4  2439  1379 H5   354  5655 14280  7.3  6.7  1.81  0.08  19.94   9.94  14.94  16.47  77   118  9999  4.7
 13  4341 H4  1636  3482 H4  2646  2163 H5   807  8901 16407  6.2  5.7  2.54  0.14  26.94  16.22  21.61  22.93  73   607 99999  4.5
 1966
  1  2380 G4  1025  2187 G4  2990  1385 G5   475  6042 14569  7.6  7.2  1.33  0.07  13.61   4.56   9.11  10.53  77   287  9999  5.2
  2  3324 G4  1336  3343 G4  3406  1563 G5   564  7298 15386  6.2  5.9  1.45  0.08  16.67   6.44  11.56  13.25  75   186  9999  5.1
  3  4297 G4  1268  3725 G4  2845  2000 G5   570  8946 16362  6.5  6.1  1.76  0.10  22.00  10.72  16.39  17.97  69    80  9999  5.3
  4  4320 G4  1372  2500 G4  2871  2597 G5   613 10326 17302  8.0  7.5  2.50  0.12  26.28  16.56  21.44  22.54  75     7  9999  5.8
  5  4650 G4  1537  2516 G4  2484  2808 G5   543 11190 18050  7.8  7.5  2.98  0.15  28.56  20.22  24.39  25.10  78     0  9999  4.7
  6  6131 G4  1536  4880 G4  2577  2587 G5   563 11517 18399  4.6  4.3  3.14  0.20  31.61  21.67  26.67  27.78  73     0  9999  3.8
  7  5892 G4  1093  4364 G4  2053  2782 G5   499 11341 18160  6.0  4.9  3.59  0.21  33.78  24.28  29.06  29.86  75     0  9999  3.3
  8  4847 G4  1376  3189 G4  2270  2666 G5   391 10628 17447  7.0  6.1  3.54  0.18  32.28  23.67  28.00  28.71  77     0  9999  3.4
  9  5048 G4  1082  4476 G4  2443  2102 G5   523  9457 16547  4.8  4.4  3.02  0.16  31.89  21.00  26.44  28.02  72     0  9999  3.4
 10  4086 G4  1155  4096 G4  2662  1745 G5   500  7908 15597  4.5  4.2  2.29  0.17  26.72  15.17  20.94  22.72  71    15  9999  4.1
 11  3015 G4   946  3357 G4  2679  1382 G5   429  6420 14729  5.6  5.3  2.13  0.10  23.89  12.44  18.17  19.85  75    55  9999  4.1
 12  2403 G4   781  2415 G4  2333  1309 G5   348  5655 14280  7.0  6.5  1.60  0.08  18.17   6.50  12.33  13.97  75   199  9999  4.7
 13  4202 G4  1692  3417 G4  2750  2081 G5   755  8901 16407  6.3  5.8  2.45  0.13  25.44  15.28  20.39  21.73  74   829 99999  4.4
 1967
  1  2628 H4   886  2572 H4  2737  1431 H5   435  6042 14569  7.0  6.6  1.45  0.07  18.72   6.72  12.72  14.30  67   190  9999  4.7
  2  3580 H4  1248  3606 H4  3281  1627 H5   584  7298 15386  6.2  5.7  1.41  0.07  19.28   5.72  12.50  14.43  66   166  9999  5.0
  3  4577 H4  1204  4140 H4  2567  1927 H5   528  8946 16362  6.2  5.6  2.17  0.10  25.83  13.67  19.78  20.97  73    38  9999  5.3
  4  4794 H4  1014  3183 H4  1933  2657 H5   437 10326 17302  7.3  6.6  2.94  0.13  29.22  19.33  24.28  25.33  78     0  9999  5.2
  5  5728 H4  1658  4230 H4  3044  2620 H5   633 11190 18050  6.1  5.4  2.84  0.17  29.89  18.89  24.39  25.80  73     0  9999  4.9
  6  6825 H4   942  5913 H4  1850  2586 H5   492 11517 18399  3.8  3.3  3.24  0.18  33.94  22.22  28.11  29.57  70     0  9999  4.4
  7  5633 H4  1469  3837 H4  2553  2835 H5   513 11341 18160  6.6  5.6  3.41  0.19  33.06  22.61  27.83  28.85  75     0  9999  3.9
  8  5221 H4  1475  3492 H4  2635  2724 H5   494 10628 17447  6.9  5.8  3.28  0.19  32.00  22.50  27.28  28.24  74     0  9999  3.7
  9  4800 H4  1231  3694 H4  2547  2366 H5   538  9457 16547  5.5  5.2  2.96  0.17  30.00  20.61  25.33  26.87  72     2  9999  4.0
 10  4411 H4  1023  4702 H4  2358  1630 H5   451  7908 15597  4.4  3.9  2.25  0.12  28.00  14.78  21.39  23.74  67    10  9999  4.1
 11  3110 H4   959  3394 H4  2449  1386 H5   366  6420 14729  5.8  5.1  1.96  0.11  23.61  12.06  17.83  19.72  71    55  9999  4.4
 12  2300 H4   881  2099 H4  2747  1355 H5   402  5655 14280  7.2  7.0  1.68  0.09  17.83   8.11  13.00  14.07  75   173  9999  5.0
 13  4470 H4  1749  3736 H4  2715  2097 H5   746  8901 16407  6.1  5.5  2.47  0.13  26.78  15.61  21.22  22.69  72   634 99999  4.6
 1968
  1  2411 H4   875  1840 H4  2652  1565 H5   402  6042 14569  7.8  7.5  1.54  0.07  15.89   7.06  11.50  12.59  78   217  9999  5.1
  2  3438 H4  1260  3356 H4  3399  1668 H5   621  7326 15402  6.3  5.8  1.19  0.07  16.00   4.39  10.22  11.99  65   231  9999  4.8
  3  3769 H4  1298  2444 H4  2810  2267 H5   528  8999 16395  7.8  7.5  1.81  0.08  20.89   9.06  15.00  16.62  75   127  9999  5.0
  4  4613 H4  1579  2850 H4  3175  2629 H5   697 10363 17331  7.8  7.1  2.48  0.12  26.61  16.83  21.72  22.78  73     9  9999  5.2
  5  5644 H4  1556  3877 H4  2707  2787 H5   574 11210 18069  6.2  5.7  2.90  0.17  29.50  19.72  24.61  25.68  75     0  9999  4.9
  6  5360 H4  1598  3408 H4  2724  2931 H5   521 11519 18400  6.5  6.2  3.50  0.16  30.94  22.89  26.94  27.61  80     0  9999  4.2
  7  5766 H4  1273  3992 H4  2208  2873 H5   531 11327 18144  6.3  5.2  3.49  0.21  32.44  23.61  28.06  28.75  76     0  9999  3.4
  8  5767 H4  1107  4557 H4  2091  2566 H5   504 10596 17419  5.1  4.5  3.56  0.18  33.78  23.94  28.89  30.01  74     0  9999  3.5
  9  4901 H4  1267  4169 H4  2713  2143 H5   572  9411 16515  5.7  5.0  3.02  0.16  30.89  20.83  25.89  27.33  73     0  9999  3.6
 10  4119 H4   892  4112 H4  2313  1776 H5   495  7855 15566  5.1  4.4  2.55  0.13  28.72  17.39  23.06  24.90  70     3  9999  3.8
 11  3102 H4  1117  3660 H4  3153  1306 H5   488  6379 14706  5.2  5.0  1.72  0.10  21.67   9.06  15.39  17.65  69   111  9999  4.9
 12  2545 H4   944  2849 H4  3029  1276 H5   454  5649 14277  6.3  5.8  1.47  0.08  19.00   7.28  13.17  15.07  65   165  9999  5.2
 13  4289 H4  1714  3426 H4  2834  2150 H5   791  8892 16401  6.3  5.8  2.44  0.13  25.56  15.17  20.39  21.78  73   863 99999  4.5
 1969
  1  2518 H4   730  2027 H4  2393  1564 H5   432  6042 14569  8.0  7.3  1.72  0.06  18.56   8.89  13.72  14.78  74   158    19  4.8
  2  2961 H4   912  1923 H4  2166  1912 H5   366  7298 15386  8.5  7.7  1.65  0.08  18.50   9.17  13.83  14.99  75   130     7  5.1
  3  4403 H4  1545  3698 H4  3312  2046 H5   639  8946 16362  6.6  6.0  1.51  0.08  18.50   8.22  13.39  15.02  69   156     6  5.4
  4  4899 H4  1761  3514 H4  3281  2445 H5   594 10326 17302  6.5  6.2  2.43  0.14  26.33  16.17  21.28  22.59  75     1    93  4.5
  5  5750 H4  1543  4333 H4  2961  2660 H5   608 11190 18050  6.0  5.6  2.88  0.14  29.00  19.17  24.11  25.21  77     0   182  3.7
  6  6591 H4   803  5218 H4  1614  2822 H5   495 11517 18399  5.6  3.7  3.48  0.18  32.67  22.11  27.39  29.54  75     1   253  0.0
  7  6139 H4   989  4515 H4  1782  2912 H5   448 11341 18160  6.6  4.3  3.71  0.18  35.06  24.22  29.67  29.22  80     0   338  0.0
  8  6322 H4   566  5466 H4  1463  2483 H5   527 10628 17447  5.1  3.1  3.54  0.18  35.11  24.28  29.72  29.18  78     0   316  0.0
  9  5649 H4   794  5448 H4  1810  2074 H5   457  9457 16547  6.2  2.9  3.39  0.14  32.67  21.89  27.28  28.16  78     0   223  0.0
 10  5241 H4   441  6345 H4   913  1506 H5   303  7908 15597  7.3  0.7  2.97  0.12  28.44  18.11  23.28  23.55  84    16   123  0.0
 11  3925 H4   809  5882 H4  2106  1026 H5   353  6420 14729  2.0  1.7  1.80  0.10  22.61   9.44  16.06  20.03  68   132    27  0.0
 12  2787 H4   820  3408 H4  2558  1248 H5   366  5655 14280  7.5  4.7  1.96  0.08  19.83   7.89  13.89  15.95  83   169     5  0.0
 13  4775 H4  1724  4327 H4  2656  2059 H5   763  8901 16407  6.3  4.5  2.59  0.12  26.44  15.78  21.11  22.38  76   763  1592  4.7
 1970
  1  2573 H4   943  2366 H4  2907  1437 H5   488  6042 14569  7.4  7.0  1.30  0.06  14.39   4.11   9.28   9.63  78   322    10  3.2
  2  3430 H4  1154  3430 H4  3205  1634 H5   612  7298 15386  6.3  6.0  1.48  0.06  19.83   7.56  13.72  14.60  72   172     2  3.6
  3  4178 H4  1484  3374 H4  3555  2103 H5   728  8946 16362  6.8  6.4  1.72  0.09  20.56   9.56  15.06  15.92  77   140     4  3.9
  4  5117 H4  1438  3867 H4  3152  2378 H5   773 10326 17302  7.2  6.3  2.52  0.09  27.17  17.44  22.33  22.63  77    28   104  4.0
  5  5446 H4  1589  3831 H4  3164  2705 H5   765 11190 18050  6.5  5.9  2.65  0.17  27.61  18.33  23.00  23.54  77     7   132  3.5
  6  6170 H4  1285  4709 H4  2492  2784 H5   621 11517 18399  5.6  4.7  3.11  0.17  32.00  21.94  27.00  27.54  75     0   227  2.7
  7  5992 H4  1223  4353 H4  2219  2796 H5   508 11341 18160  6.0  5.0  3.37  0.20  33.72  23.56  28.67  28.88  75     0   285  2.3
  8  6009 H4  1058  5153 H4  2097  2343 H5   520 10628 17447  5.1  4.1  3.38  0.15  34.17  23.78  29.00  29.85  73     0   315  2.3
  9  4466 H4  1208  3192 H4  2208  2352 H5   368  9457 16547  6.7  5.8  3.34  0.17  31.39  22.83  27.11  27.37  80     0   235  2.9
 10  4030 H4  1112  3895 H4  2729  1738 H5   536  7908 15597  5.8  5.2  2.30  0.12  26.50  14.94  20.72  21.30  79    40    73  2.6
 11  3449 H4  1122  4411 H4  3078  1244 H5   472  6420 14729  4.5  4.0  1.67  0.09  21.72   8.44  15.11  16.50  73   152    21  3.1
 12  2630 H4   845  3053 H4  2835  1255 H5   439  5655 14280  6.4  5.8  1.94  0.07  22.61  11.11  16.89  17.96  75   116    42  3.2
 13  4462 H4  1730  3803 H4  2891  2066 H5   801  8901 16407  6.2  5.5  2.40  0.12  26.00  15.28  20.67  21.34  76   977  1450  3.1
 1971
  1  2829 H4   876  3131 H4  2605  1338 H5   429  6042 14569  6.6  5.9  1.75  0.06  20.56   8.89  14.72  15.68  76   166    27  3.8
  2  3787 H4  1261  4262 H4  3574  1508 H5   653  7298 15386  5.3  5.1  1.54  0.06  20.83   7.78  14.33  15.77  67   152    10  4.3
  3  4554 H4  1642  4341 H4  3795  1867 H5   771  8946 16362  5.7  5.3  1.69  0.09  23.94  10.00  17.00  18.08  66   122    31  4.1
  4  5494 H4  1513  4595 H4  3350  2341 H5   785 10326 17302  5.9  5.1  2.16  0.12  25.67  14.44  20.06  21.83  70    40    70  3.9
  5  5646 H4  1556  4122 H4  2947  2626 H5   622 11190 18050  6.5  5.8  2.77  0.14  28.61  18.94  23.78  24.99  75     2   162  3.7
  6  6121 H4  1049  4441 H4  2026  2867 H5   478 11517 18399  6.3  5.1  3.24  0.18  32.72  21.89  27.33  28.57  74     0   259  3.2
  7  6252 H4  1152  4755 H4  2036  2739 H5   467 11341 18160  5.7  4.4  3.28  0.17  34.67  23.11  28.89  30.06  70     0   330  3.2
  8  5508 H4  1095  4161 H4  2109  2572 H5   492 10628 17447  6.4  4.9  3.37  0.16  32.00  22.89  27.44  28.02  79     0   269  1.8
  9  4510 H4  1225  3205 H4  2548  2390 H5   532  9457 16547  7.0  6.2  3.35  0.15  30.44  22.33  26.39  26.99  83     1   227  3.0
 10  3921 H4  1088  3814 H4  2671  1758 H5   519  7908 15597  5.2  5.0  2.78  0.12  28.28  18.61  23.44  24.13  83     3   127  2.4
 11  3281 H4  1017  4085 H4  2969  1270 H5   487  6420 14729  5.2  4.7  1.85  0.08  22.89  11.56  17.22  17.98  77   108    29  3.1
 12  2193 H4   746  1767 H4  2379  1412 H5   373  5655 14280  7.8  7.5  2.03  0.07  21.00  12.17  16.61  17.08  83   108    24  3.4
 13  4510 H4  1751  3885 H4  2873  2060 H5   795  8901 16407  6.1  5.4  2.49  0.12  26.78  16.06  21.44  22.47  75   702  1565  3.3
 1972
  1  2797 H4   890  2993 H4  2885  1362 H5   504  6042 14569  6.9  6.1  1.76  0.06  20.50   9.44  15.00  15.23  76   175    32  3.9
  2  3400 H4  1115  3126 H4  2890  1695 H5   513  7326 15402  7.2  6.3  1.63  0.07  20.33   8.50  14.44  15.59  75   164    11  3.6
  3  4689 H4  1527  4356 H4  3366  1901 H5   660  8999 16395  5.7  5.2  2.02  0.09  24.67  13.06  18.89  20.29  73    47    39  3.9
  4  5508 H4  1532  4826 H4  3183  2245 H5   744 10363 17331  5.4  4.8  2.55  0.11  28.56  17.17  22.89  23.98  75     9   116  4.2
  5  6212 H4  1724  5467 H4  3399  2291 H5   767 11210 18069  5.1  4.4  2.69  0.13  29.06  19.33  24.22  24.86  77     0   153  2.4
  6  6223 H4  1586  4809 H4  2925  2642 H5   664 11519 18400  5.2  4.7  3.33  0.18  32.72  22.83  27.78  28.55  77     0   267  3.1
  7  5679 H4  1101  3981 H4  1935  2779 H5   443 11327 18144  6.6  5.4  3.43  0.16  32.33  23.44  27.89  27.53  81     0   267  3.0
  8  5686 H4  1081  4498 H4  2150  2482 H5   532 10596 17419  5.9  4.6  3.43  0.17  33.44  23.22  28.33  28.07  81     0   268  2.3
  9  4593 H4  1149  3553 H4  2147  2264 H5   402  9411 16515  6.8  5.5  3.50  0.15  32.50  23.39  27.94  27.81  85     1   248  2.6
 10  4077 H4  1295  3913 H4  2632  1734 H5   401  7855 15566  5.4  4.7  2.57  0.13  27.44  17.06  22.28  22.82  82    28   114  2.8
 11  2863 H4   994  2745 H4  2622  1463 H5   382  6379 14706  6.7  6.3  1.61  0.10  18.28   9.00  13.67  13.81  78   178     9  3.5
 12  2400 H4   812  2295 H4  2778  1370 H5   446  5649 14277  7.4  6.8  1.53  0.06  18.72   6.44  12.61  12.79  80   228     7  3.4
 13  4514 H4  1823  3883 H4  2889  2019 H5   725  8892 16401  6.2  5.4  2.51  0.12  26.56  16.06  21.33  21.79  78   830  1531  3.2
 1973
  1  2442 G4  1059  2401 G4  2855  1339 G5   408  6042 14569  7.1  6.8  1.35  0.06  14.83   4.78   9.83  10.80  82   300     1  3.4
  2  3429 G4  1218  3491 G4  3200  1568 G5   595  7298 15386  6.6  5.9  1.44  0.06  17.89   6.00  11.94  12.77  80   211     2  2.9
  3  3982 G4  1764  3332 G4  3587  1874 G5   600  8946 16362  6.8  6.4  2.13  0.09  24.00  13.78  18.89  19.64  80    42    23  3.9
  4  4747 G4  1743  3430 G4  3386  2340 G5   688 10326 17302  7.0  6.7  2.24  0.12  23.78  14.22  19.00  19.79  80    65    62  3.9
  5  6169 G4  1676  5208 G4  3024  2345 G5   673 11190 18050  5.2  4.5  2.68  0.15  29.56  18.61  24.11  24.91  76     3   141  3.7
  6  5114 G4  1611  3074 G4  2384  2820 G5   501 11517 18399  7.5  6.7  3.44  0.16  31.11  22.83  27.00  27.03  83     0   241  3.5
  7  6289 G4   957  5055 G4  1638  2580 G5   471 11341 18160  5.7  4.6  3.73  0.16  33.67  24.11  28.89  29.92  80     0   313  2.7
