-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
blyt        49718.000    1995     1     1     0
blyt        52274.750    2001    12    31    18
blyt     -2223206.565 -4830299.786  3510587.672
49727.75    -0.878404     0.583121    -0.889751
49728.00    -0.607117     0.514160     1.117737
49728.25    -0.890859     0.436646     1.026313
49728.50    -0.390478     0.010041     1.791602
49728.75    -0.394741     0.242237     0.359462
49729.00    -0.362321     0.180383     1.906292
49729.25    -0.803782     0.187882     0.731510
49729.50    -0.622875    -0.149322     1.386212
49729.75    -0.855743     0.249976    -0.599391
49730.00    -0.954967     0.188690     0.561232
49730.25    -1.402081     0.191367    -0.770294
49730.50    -1.272014    -0.060242    -0.312995
49730.75    -1.426921     0.334110    -2.287260
49731.00    -1.655427     0.393262    -0.538113
49731.25    -2.035735     0.476449    -0.996305
49731.50    -1.992588     0.226129     0.062340
49731.75    -2.188076     0.565317    -1.045649
49732.00    -2.301619     0.578399     1.223696
49732.25    -2.804431     0.666533     0.791366
49732.50    -2.599043     0.423436     1.843361
49732.75    -2.566282     0.655697     1.024809
49733.00    -2.531893     0.595701     2.219444
49733.25    -3.056236     0.601388     1.686876
49733.50    -2.800492     0.280060     2.208871
49733.75    -2.745213     0.534618     0.712246
49734.00    -2.727215     0.580713     1.613931
49734.25    -2.922969     0.593245     1.173874
49734.50    -2.507738     0.296308     1.684235
49734.75    -2.418490     0.562913    -0.178569
49735.00    -2.307278     0.660307     0.609465
49735.25    -2.446545     0.661867    -0.859728
49735.50    -2.356739     0.513467    -1.010500
49735.75    -2.291606     0.753820    -3.162901
49736.00    -2.179728     0.674098    -1.532471
49736.25    -2.344528     0.593349    -2.106575
49736.50    -2.197236     0.248633    -1.269164
49736.75    -2.265703     0.440439    -2.175581
49737.00    -2.335093     0.363564    -0.483949
49737.25    -2.694447     0.316968    -0.944911
49737.50    -2.529186     0.041526    -0.310266
49737.75    -2.572970     0.412818    -1.963938
49738.00    -2.534732     0.431910    -0.457719
49738.25    -2.629705     0.434787    -1.192483
49738.50    -2.315751     0.149085    -0.321231
49738.75    -2.267745     0.468701    -1.871549
49739.00    -2.029723     0.486746    -0.581264
49739.25    -2.147636     0.564185    -1.333216
49739.50    -1.872641     0.289678    -1.154612
49739.75    -1.711440     0.633582    -2.852569
49740.00    -1.362525     0.599838    -1.526886
49740.25    -1.594341     0.666048    -2.096852
49740.50    -1.416782     0.365620    -1.175856
49740.75    -1.354906     0.608417    -2.104407
49741.00    -1.469842     0.597671    -0.914892
49741.25    -1.745463     0.596946    -0.982609
49741.50    -1.522657     0.310129    -0.179761
49741.75    -1.588294     0.702789    -1.679196
49742.00    -1.584906     0.747604    -0.481213
49742.25    -1.757925     0.873654    -0.453271
49742.50    -1.588132     0.590650     0.511522
49742.75    -1.806540     0.902902    -0.227254
49743.00    -1.803991     0.912134     0.357314
49743.25    -2.234818     0.897657    -0.550196
49743.50    -2.103317     0.611248    -0.815100
49743.75    -2.163497     0.858829    -2.886073
49744.00    -2.034411     0.757114    -1.782781
49744.25    -2.392264     0.685487    -2.413970
49744.50    -2.146399     0.409560    -1.677411
49744.75    -2.006788     0.666047    -3.372830
49745.00    -1.935149     0.775147    -2.474195
49745.25    -2.101388     0.829440    -3.638594
49745.50    -1.660276     0.591710    -3.481206
49745.75    -1.661334     1.028970    -4.955944
49746.00    -1.392521     1.081674    -3.704052
49746.25    -1.605427     1.190534    -4.036996
49746.50    -1.212773     1.005846    -3.538224
49746.75    -1.151878     1.450425    -4.885693
49747.00    -1.124719     1.492166    -3.700590
49747.25    -1.440688     1.608048    -4.583697
49747.50    -1.253237     1.432310    -4.001793
49747.75    -1.281437     1.641974    -4.857013
49748.00    -1.450179     1.657689    -3.175265
49748.25    -1.972414     1.733818    -3.430472
49748.50    -1.786045     1.435439    -2.499984
49748.75    -1.812957     1.721935    -3.368676
49749.00    -1.666474     1.671906    -1.851734
49749.25    -1.760000     1.614363    -2.254452
49749.50    -1.386612     1.201821    -1.751316
49749.75    -1.346886     1.412702    -2.967791
49750.00    -1.144660     1.269838    -1.431096
49750.25    -1.242538     1.141918    -2.078070
49750.50    -0.933634     0.734308    -1.840520
49750.75    -0.975901     0.932378    -3.638118
49751.00    -0.744578     0.800924    -2.585323
49751.25    -0.928549     0.744378    -3.701325
49751.50    -0.554314     0.517009    -4.126590
49751.75    -0.412710     0.865685    -5.710610
49752.00    -0.087966     0.776257    -4.205834
49752.25    -0.207306     0.729720    -4.930744
49752.50     0.165545     0.363162    -4.362346
49752.75     0.345359     0.519864    -5.079199
49753.00     0.476464     0.385160    -2.840939
49753.25     0.325329     0.413568    -3.304936
49753.50     0.806233     0.151782    -2.530818
49753.75     0.917059     0.490083    -3.971964
49754.00     1.108854     0.410044    -2.172541
49754.25     1.062610     0.376271    -2.336984
49754.50     1.564302    -0.019025    -1.685793
49754.75     1.625909     0.181072    -2.401020
49755.00     1.867444     0.030477    -0.477791
49755.25     1.689512    -0.039929    -0.774137
49755.50     2.014180    -0.295322    -0.435822
49755.75     1.904456     0.057794    -2.048241
49756.00     1.933316     0.033728    -0.313387
49756.25     1.411931     0.125438    -0.872433
49756.50     1.690019    -0.173313    -0.479762
49756.75     1.747680     0.035614    -1.742001
49757.00     1.605164    -0.053764    -0.235906
49757.25     1.373317    -0.048523    -0.772998
49757.50     1.571392    -0.407839    -0.059449
49757.75     1.443207    -0.178098    -1.638319
49758.00     1.370098    -0.230039    -0.346862
49758.25     0.797233    -0.169323    -0.913380
49758.50     0.919709    -0.498090    -0.137399
49758.75     0.538792    -0.183849    -1.077534
49759.00     0.402798    -0.230979     0.893549
49759.25    -0.168675    -0.140485     0.265821
49759.50    -0.016641    -0.297709     0.254015
49759.75    -0.398045     0.114653    -0.718046
49760.00    -0.706223     0.189626     0.733764
49760.25    -1.479601     0.280350     0.678295
49760.50    -1.512301     0.099461     0.932592
49760.75    -1.841707     0.494673     0.057832
49761.00    -2.088632     0.601277     1.186523
49761.25    -2.418676     0.658662     0.958983
49761.50    -2.044057     0.339701     1.640847
49761.75    -2.162065     0.614424     0.641751
49762.00    -2.228956     0.524656     2.507490
49762.25    -2.478416     0.535928     2.282311
49762.50    -2.217020     0.149129     3.943306
49762.75    -2.034573     0.299034     3.292559
49763.00    -1.813140     0.188394     4.605096
49763.25    -1.970788     0.268346     3.729052
49763.50    -1.506840     0.028021     3.513881
49763.75    -1.338890     0.351030     1.540820
49764.00    -1.050372     0.385421     1.809915
49764.25    -1.088133     0.425133    -0.067576
49764.50    -0.543448     0.215311    -0.530441
49764.75    -0.368960     0.622077    -2.961617
49765.00    -0.287800     0.735336    -1.979738
49765.25    -0.437345     0.723508    -2.353496
49765.50    -0.126913     0.447469    -1.777399
49765.75    -0.248607     0.711834    -3.150390
49766.00    -0.329495     0.642318    -1.679472
49766.25    -0.818056     0.577398    -2.162834
49766.50    -0.611298     0.230300    -1.921839
49766.75    -0.713811     0.613870    -4.017535
49767.00    -0.688367     0.703517    -2.768039
49767.25    -1.035765     0.927398    -4.042960
49767.50    -0.613788     0.759105    -3.883462
49767.75    -0.680391     1.156839    -5.433584
49768.00    -0.727647     1.114462    -3.712292
49768.25    -1.217381     1.149735    -4.368275
49768.50    -0.825697     0.786508    -3.603442
49768.75    -0.853543     1.069833    -4.296853
49769.00    -0.752188     0.981645    -2.037066
49769.25    -0.955465     0.923921    -2.368872
49769.50    -0.569072     0.498045    -1.526765
49769.75    -0.692198     0.684098    -2.821695
49770.00    -0.575618     0.517745    -0.735458
49770.25    -0.833841     0.366570    -1.431619
49770.50    -0.675966    -0.033466    -0.794834
49770.75    -0.688144     0.231309    -2.338103
49771.00    -0.532994     0.143741    -0.722421
49771.25    -0.857972     0.206184    -2.169649
49771.50    -0.320415    -0.095566    -1.887422
49771.75    -0.187783     0.327080    -3.819225
49772.00    -0.063072     0.335615    -2.439684
49772.25    -0.294618     0.430043    -3.381854
49772.50     0.194412     0.103604    -2.863360
49772.75     0.207413     0.408693    -3.930222
49773.00     0.243236     0.251703    -1.714432
49773.25     0.001399     0.185920    -1.832021
49773.50     0.426516    -0.258501    -1.004919
49773.75     0.198146     0.000937    -2.438369
49774.00     0.259038    -0.122454    -0.506252
49774.25    -0.113583    -0.081488    -1.543023
49774.50     0.062301    -0.491998    -1.222254
49774.75    -0.160119    -0.179279    -2.871203
49775.00    -0.108573    -0.221761    -1.450201
49775.25    -0.591869    -0.156509    -2.379998
49775.50    -0.290409    -0.470804    -2.009266
49775.75    -0.243437    -0.180539    -3.662548
49776.00    -0.357579    -0.219511    -2.191195
49776.25    -0.630474    -0.103789    -3.323629
49776.50    -0.168693    -0.524842    -2.124927
49776.75    -0.175675    -0.087906    -3.832781
49777.00    -0.210042    -0.085437    -2.197609
49777.25    -0.610299     0.019253    -2.125144
49777.50    -0.519870    -0.308111    -1.113255
49777.75    -0.723941     0.078850    -2.206996
49778.00    -0.890876     0.071864    -0.388000
49778.25    -1.442327     0.225469    -0.656672
49778.50    -1.365555    -0.015537    -0.301035
49778.75    -1.358921     0.348314    -1.958531
49779.00    -1.289853     0.342115    -0.450404
49779.25    -1.485329     0.326820    -1.455466
49779.50    -1.021033    -0.023637    -0.857410
49779.75    -0.747911     0.182979    -2.291615
49780.00    -0.699754     0.103941    -0.780185
49780.25    -1.156345    -0.013204    -1.122873
49780.50    -0.960434    -0.365324    -0.417356
49780.75    -0.873701    -0.101406    -2.071602
49781.00    -1.135859    -0.074751    -0.556445
49781.25    -1.364628    -0.021847    -0.685562
49781.50    -1.125112    -0.327597     0.258407
49781.75    -1.226010    -0.032146    -0.962082
49782.00    -1.006171    -0.188462     1.297841
49782.25    -1.367715    -0.335944     1.463649
49782.50    -1.053684    -0.788296     1.752125
49782.75    -0.993074    -0.475417    -0.566196
49783.00    -1.120432    -0.261852    -0.330642
49783.25    -1.724546    -0.054289    -1.691512
49783.50    -1.649083    -0.201481    -1.951009
49783.75    -1.911064     0.313986    -4.283875
49784.00    -1.877156     0.392020    -2.378509
49784.25    -2.370575     0.582632    -3.367664
49784.50    -2.066321     0.394237    -2.342173
49784.75    -2.157717     0.817021    -3.869675
49785.00    -2.044850     0.806847    -1.682571
49785.25    -2.382185     0.790862    -1.709667
49785.50    -2.188957     0.472630    -0.336266
49785.75    -2.200111     0.765242    -1.303639
49786.00    -2.127637     0.686339     1.133685
49786.25    -2.574397     0.791583     0.294416
49786.50    -2.381350     0.460863     1.214231
49786.75    -2.469899     0.856255     0.046686
49787.00    -2.627587     0.835759     2.298250
49787.25    -3.135183     0.960044     1.917244
49787.50    -2.751718     0.539703     3.704481
49787.75    -2.725020     0.727566     2.145109
49788.00    -2.533473     0.573833     3.138237
49788.25    -2.554392     0.598553     1.845244
49788.50    -2.116374     0.189460     2.446845
49788.75    -2.237646     0.567357    -0.762296
49789.00    -2.227877     0.577064    -0.411288
49789.25    -2.727012     0.699327    -2.406157
49789.50    -2.689801     0.489095    -2.547471
49789.75    -2.558885     0.833478    -4.477893
49790.00    -2.601131     0.890654    -3.332891
49790.25    -2.925470     0.961617    -4.523142
49790.50    -2.543255     0.651269    -3.806179
49790.75    -2.241201     0.905690    -5.345965
49791.00    -1.840978     0.812033    -3.110550
49791.25    -1.857800     0.853306    -3.293509
49791.50    -1.322866     0.457868    -2.289481
49791.75    -1.024058     0.681717    -3.684595
49792.00    -0.683022     0.416107    -1.420519
49792.25    -0.852581     0.428109    -1.869479
49792.50    -0.613158     0.103386    -1.427792
49792.75    -0.489144     0.363958    -2.460078
49793.00    -0.348958     0.272044    -0.452026
49793.25    -0.626970     0.451920    -1.238648
49793.50    -0.082560     0.123697    -0.841708
49793.75     0.186872     0.494631    -2.453264
49794.00     0.631520     0.371693    -0.610271
49794.25     0.537699     0.495306    -2.069208
49794.50     1.296139     0.010743    -1.249694
49794.75     1.425303     0.297975    -2.609777
49795.00     1.470768     0.212138    -0.095735
49795.25     1.367380     0.176471    -0.010420
49795.50     1.714295    -0.204004     0.988788
49795.75     1.675306     0.107033    -0.261715
49796.00     1.541192     0.116050     2.236532
49796.25     0.941267     0.198052     2.109192
49796.50     0.727051     0.045901     2.743615
49796.75     0.529958     0.431488     1.675426
49797.00     0.278485     0.435658     3.977277
49797.25    -0.569160     0.575085     3.315372
49797.50    -0.471193     0.249860     4.150837
49797.75    -0.817017     0.519990     2.757657
49798.00    -1.007622     0.414547     3.644049
49798.25    -1.391083     0.361801     2.523303
49798.50    -1.023156     0.095292     2.066752
49798.75    -1.159759     0.438756    -0.377009
49799.00    -1.084436     0.363763     1.533929
49799.25    -1.502323     0.453376     1.151669
49799.50    -1.342456     0.255645     1.875237
49799.75    -1.571169     0.550806     0.495115
49800.00    -1.424644     0.273636     2.045768
49800.25    -1.566904     0.256928     0.597566
49800.50    -0.920511    -0.099502     0.939996
49800.75    -0.662306     0.062032     0.128666
49801.00    -0.110016    -0.154904     1.601195
49801.25    -0.135408    -0.255839     0.793057
49801.50     0.688354    -0.854436     1.184229
49801.75     1.012974    -0.690280    -0.338744
49802.00     1.153542    -0.774445     0.899413
49802.25     1.110580    -0.703152    -0.832828
49802.50     1.906057    -1.148734    -0.899136
49802.75     1.878173    -0.803761    -3.221300
49803.00     1.992132    -0.850683    -1.537376
49803.25     1.626761    -0.697037    -2.522806
49803.50     2.018662    -1.012205    -2.054798
49803.75     1.857758    -0.596654    -3.595970
49804.00     1.830962    -0.638695    -1.943186
49804.25     1.337858    -0.432132    -2.405900
49804.50     1.600393    -0.727773    -1.503851
49804.75     1.506142    -0.270053    -2.443556
49805.00     1.601053    -0.265878    -0.741357
49805.25     1.160784    -0.119018    -1.276589
49805.50     1.435286    -0.451900    -0.123979
49805.75     0.972711    -0.072193    -1.577848
49806.00     0.672275    -0.023825    -0.064322
49806.25     0.051785     0.150209    -0.716386
49806.50     0.310947    -0.185566    -0.008013
49806.75    -0.030937     0.282843    -1.332298
49807.00    -0.045907     0.283191     0.372281
49807.25    -0.463597     0.511210    -0.959953
49807.50    -0.092957     0.255307    -0.655295
49807.75    -0.199416     0.609016    -1.851710
49808.00    -0.056142     0.474031     0.129005
49808.25    -0.317098     0.562871    -0.319175
49808.50     0.216313     0.180960     0.358060
49808.75     0.299287     0.455197    -0.596253
49809.00     0.655546     0.234698     1.628453
49809.25     0.413833     0.167850     1.558387
49809.50     1.091811    -0.294372     2.144971
49809.75     1.160879    -0.113756     0.806264
49810.00     1.228879    -0.233442     2.525545
49810.25     0.872727    -0.099558     0.850519
49810.50     1.292067    -0.382357     0.610107
49810.75     1.155989     0.049224    -1.187289
49811.00     1.034599     0.084852     0.318388
49811.25     0.419047     0.402955    -0.683030
49811.50     0.716246     0.185080    -0.175613
49811.75     0.518558     0.585825    -1.191190
49812.00     0.202961     0.511612     0.913322
49812.25    -0.458896     0.569043     0.632349
49812.50    -0.385550     0.238757     1.461171
49812.75    -0.592286     0.495224     0.310360
49813.00    -0.556941     0.317580     2.247603
49813.25    -0.881022     0.320625     1.894497
49813.50    -0.496994    -0.061438     2.417054
49813.75    -0.562459     0.213159     0.792099
49814.00    -0.451613    -0.009278     2.547819
49814.25    -0.797762     0.003782     1.423967
49814.50    -0.469716    -0.282840     1.506052
49814.75    -0.156880    -0.032596     0.089542
49815.00    -0.064422    -0.159872     1.717095
49815.25    -0.392677    -0.070761     1.195282
49815.50     0.143262    -0.346470     1.155824
49815.75     0.142790    -0.055112     0.254495
49816.00     0.154071    -0.115835     1.758886
49816.25    -0.243248    -0.116369     1.674930
49816.50     0.187910    -0.462549     2.583775
49816.75     0.136763    -0.177981     1.414047
49817.00     0.165804    -0.139388     2.556728
49817.25    -0.286197     0.054898     1.076292
49817.50    -0.140670    -0.195190     1.011054
49817.75    -0.392755     0.204354    -0.373962
49818.00    -0.578021     0.169905     1.281176
49818.25    -1.068783     0.371569    -0.021812
49818.50    -0.820918    -0.166952     0.887040
49818.75    -1.014555     0.115714    -0.817038
49819.00    -0.940501    -0.073783     1.097166
49819.25    -1.393636     0.071564    -0.075455
49819.50    -1.081144    -0.234288     0.131009
49819.75    -1.282623     0.235993    -2.132632
49820.00    -1.287900     0.181845    -0.831224
49820.25    -1.827507     0.359178    -1.750471
49820.50    -1.505089     0.120173    -0.789246
49820.75    -1.664957     0.432652    -1.926967
49821.00    -1.804891     0.212342     0.436199
49821.25    -2.271347     0.190232    -0.008013
49821.50    -1.845149    -0.334575     0.686350
49821.75    -1.842345    -0.143106    -0.790782
49822.00    -1.925663    -0.246971     0.857384
49822.25    -2.332121    -0.255862     0.848027
49822.50    -1.878050    -0.663153     1.535172
49822.75    -1.901445    -0.344546     0.462572
49823.00    -1.796762    -0.369211     1.865889
49823.25    -1.901940    -0.221837     1.261712
49823.50    -1.219160    -0.590848     2.065197
49823.75    -1.103221    -0.333915     1.227627
49824.00    -1.209331    -0.393922     1.999467
49824.25    -1.191547    -0.390285     0.836316
49824.50    -1.098977    -0.552228     0.282674
49824.75    -0.923590    -0.267293    -1.367150
49825.00    -0.846134    -0.169890    -0.452885
49825.25    -1.074632    -0.228477    -0.364515
49825.50    -0.737722    -0.482627     0.703183
49825.75    -0.636848    -0.195684     0.524079
49826.00    -0.657038    -0.252542     2.782500
49826.25    -0.872467    -0.340904     2.588086
49826.50    -0.700323    -0.773342     3.017217
49826.75    -0.964914    -0.411295     0.581697
49827.00    -1.180880    -0.427745     1.707715
49827.25    -1.554045    -0.370901     0.978835
49827.50    -1.252398    -0.714592     1.811991
49827.75    -1.264420    -0.469053     0.417761
49828.00    -1.261845    -0.685020     2.326092
49828.25    -1.656701    -0.711908     1.463019
49828.50    -1.228717    -1.037366     1.498345
49828.75    -1.184720    -0.677033    -0.381665
49829.00    -1.040471    -0.663421     0.024941
49829.25    -1.590549    -0.495316    -1.546079
49829.50    -1.259482    -0.758096    -1.807396
49829.75    -1.503157    -0.336077    -3.423680
49830.00    -1.568855    -0.339801    -1.904345
49830.25    -1.975296    -0.166202    -2.932788
49830.50    -1.383619    -0.626246    -2.382748
49830.75    -1.349100    -0.323606    -3.184963
49831.00    -1.142603    -0.434708    -0.984872
49831.25    -1.305543    -0.358506    -1.694842
49831.50    -0.725431    -0.786799    -0.834989
49831.75    -0.620859    -0.526210    -1.827899
49832.00    -0.558699    -0.683714     0.383249
49832.25    -0.819260    -0.581030    -0.320506
49832.50    -0.340667    -0.931672     0.312006
49832.75    -0.350015    -0.630486    -0.621172
49833.00    -0.179330    -0.737536     1.234366
49833.25    -0.582794    -0.596803     0.646565
49833.50    -0.051390    -0.916740     0.940180
49833.75    -0.133470    -0.450649    -0.714946
49834.00    -0.169166    -0.509328     0.978939
49834.25    -0.707651    -0.243101     0.232582
49834.50    -0.227725    -0.548177     0.732209
49834.75    -0.283358    -0.192921    -0.914166
49835.00    -0.423400    -0.292124     0.282397
49835.25    -0.960498    -0.131166    -0.247676
49835.50    -0.717730    -0.442144    -0.131366
49835.75    -0.720935    -0.188638    -0.868631
49836.00    -0.638235    -0.344238     0.997000
49836.25    -1.023071    -0.270689     0.119624
49836.50    -0.679120    -0.519810     0.694391
49836.75    -0.739892    -0.180284    -0.673002
49837.00    -0.572569    -0.316900     0.805629
49837.25    -0.726906    -0.307311    -0.022869
49837.50    -0.189923    -0.705812     0.637047
49837.75    -0.154752    -0.397228    -0.967706
49838.00    -0.055570    -0.494559     0.624759
49838.25    -0.372667    -0.230946    -0.426188
49838.50     0.063067    -0.515098     0.713476
49838.75    -0.101208    -0.139393     0.010266
49839.00    -0.219447    -0.110910     1.904678
49839.25    -0.640627     0.064871     1.276576
49839.50    -0.355264    -0.282899     2.174244
49839.75    -0.634892     0.001297     0.810711
49840.00    -0.580571    -0.105367     2.262601
49840.25    -1.056695    -0.046896     1.369648
49840.50    -0.595813    -0.404110     1.346213
49840.75    -0.512668    -0.076658    -0.282992
49841.00    -0.340834    -0.196495     1.428037
49841.25    -0.598546    -0.112227     0.559784
49841.50    -0.097906    -0.541513     0.896396
49841.75    -0.000479    -0.328461    -0.220680
49842.00    -0.014261    -0.444708     1.459504
49842.25    -0.310819    -0.375634     0.886875
49842.50     0.076126    -0.701188     1.152793
49842.75     0.159388    -0.334326    -0.071886
49843.00     0.349197    -0.312753     0.895428
49843.25     0.048485    -0.191138     0.874553
49843.50     0.414335    -0.506293     2.074865
49843.75     0.371398    -0.254512     1.447137
49844.00     0.255029    -0.269201     2.632114
49844.25    -0.310951    -0.188525     1.977819
49844.50    -0.068691    -0.552589     2.508932
49844.75    -0.232187    -0.300474     1.402053
49845.00    -0.299405    -0.338397     2.061220
49845.25    -0.672512    -0.346445     1.196149
49845.50    -0.169900    -0.832816     1.981377
49845.75    -0.198166    -0.553556     0.073134
49846.00    -0.008113    -0.720962     1.657176
49846.25    -0.186569    -0.620616     0.323107
49846.50     0.398533    -1.031127     0.737217
49846.75     0.637321    -0.722921    -1.083324
49847.00     0.844185    -0.897752     1.051064
49847.25     0.622806    -0.775499     0.075751
49847.50     0.917117    -1.084633     1.036971
49847.75     0.912667    -0.680211    -0.278015
49848.00     0.793303    -0.723464     1.527746
49848.25     0.368796    -0.496810     1.276804
49848.50     0.624324    -0.729269     2.306027
49848.75     0.433914    -0.357683     1.426392
49849.00     0.163892    -0.447123     3.627628
49849.25    -0.358034    -0.339441     3.579513
49849.50    -0.258751    -0.660448     4.332640
49849.75    -0.469658    -0.418136     3.551560
49850.00    -0.598123    -0.517598     5.135283
49850.25    -1.148100    -0.441260     4.876638
49850.50    -0.823363    -0.826803     5.481705
49850.75    -0.797775    -0.509775     4.076258
49851.00    -0.619630    -0.613903     5.063167
49851.25    -0.727851    -0.491413     3.330911
49851.50    -0.111061    -0.776818     2.830738
49851.75     0.056796    -0.388433     0.620625
49852.00     0.133528    -0.465217     1.830701
49852.25    -0.212095    -0.373064     1.077203
49852.50     0.277942    -0.659372     1.229847
49852.75     0.325039    -0.357903     0.164636
49853.00     0.468380    -0.510858     2.409964
49853.25     0.090899    -0.402304     2.492442
49853.50     0.434854    -0.692184     3.257271
49853.75     0.400401    -0.497355     2.515606
49854.00     0.162695    -0.571625     4.155782
49854.25    -0.369569    -0.546368     2.948388
49854.50    -0.187755    -0.845623     3.102028
49854.75    -0.371535    -0.617497     1.423135
49855.00    -0.519748    -0.628473     2.422825
49855.25    -0.990292    -0.529272     1.174974
49855.50    -0.666454    -0.716946     0.741334
49855.75    -0.888036    -0.370589    -0.976101
49856.00    -1.030622    -0.356830     0.112295
49856.25    -1.511647    -0.235781    -0.662654
49856.50    -1.485117    -0.338243    -0.872219
49856.75    -1.759598     0.044546    -1.939652
49857.00    -1.945123    -0.043461    -0.350811
49857.25    -2.460764     0.103647    -1.057308
49857.50    -2.219399    -0.135741    -0.901519
49857.75    -2.205905     0.048052    -1.712053
49858.00    -2.031999    -0.200938    -0.106427
49858.25    -2.374008    -0.191282    -0.644655
49858.50    -1.888930    -0.506566    -0.337740
49858.75    -1.750179    -0.296453    -1.448321
49859.00    -1.726646    -0.381305     0.309905
49859.25    -1.900868    -0.306701    -0.139259
49859.50    -1.330596    -0.630956     0.649894
49859.75    -1.385620    -0.355039    -0.700334
49860.00    -1.502789    -0.411617     0.605764
49860.25    -1.776232    -0.285768     0.082650
49860.50    -1.336287    -0.615965     0.299064
49860.75    -1.435533    -0.327760    -0.816758
49861.00    -1.321897    -0.429621     0.542775
49861.25    -1.750490    -0.268659     0.000580
49861.50    -1.320579    -0.552281    -0.108770
49861.75    -1.351748    -0.260276    -1.057228
49862.00    -1.163459    -0.407812     0.872313
49862.25    -1.583259    -0.283596     0.239440
49862.50    -1.231078    -0.603260     0.875499
49862.75    -1.408844    -0.246576    -0.339299
49863.00    -1.282208    -0.349383     0.964956
49863.25    -1.658293    -0.149490     0.000319
49863.50    -1.196435    -0.471234     0.947913
49863.75    -1.330231    -0.134243    -0.648975
49864.00    -1.248076    -0.164983     0.662673
49864.25    -1.745641    -0.053261    -0.262860
49864.50    -1.458234    -0.434191     0.090943
49864.75    -1.596255    -0.103538    -1.011498
49865.00    -1.546803    -0.257630     0.543864
49865.25    -1.959826    -0.096092    -0.054874
49865.50    -1.372768    -0.460824     0.326993
49865.75    -1.309214    -0.177305    -0.700590
49866.00    -1.065105    -0.356479     1.054839
49866.25    -1.239637    -0.218744     0.111970
49866.50    -0.613967    -0.625676     0.929190
49866.75    -0.653226    -0.254042    -0.577733
49867.00    -0.655326    -0.283162     0.847701
49867.25    -1.042744    -0.038780    -0.303460
49867.50    -0.601805    -0.354187    -0.040514
49867.75    -0.594957    -0.028416    -1.479091
49868.00    -0.640899    -0.114181     0.385893
49868.25    -1.122664    -0.009869    -0.494449
49868.50    -0.796119    -0.282854    -0.200048
49868.75    -0.798705    -0.037597    -1.538102
49869.00    -0.768087    -0.214890     0.401364
49869.25    -1.016618    -0.130383    -0.281104
49869.50    -0.675724    -0.461570     0.547256
49869.75    -0.646215    -0.205761    -0.346205
49870.00    -0.658296    -0.392357     1.465730
49870.25    -0.988683    -0.447340     1.423752
49870.50    -0.695686    -0.725121     1.819038
