table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table C4.  Children/1/ with Grandparents by Presence of Parents, Gender, Race, and Hispanic Origin/2/ for Selected Characteristics: March 2001/3/",,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,,,
Non-Hispanic,Total,Grandmother and grandfather,Grandmother only,Grandfather only,No grandparents,Grandparent is not householder,,,Grandparent is householder,,,No grandparents present
..Separated,"2,081 ",82 ,127 ,16 ,"1,856 ",3 ,58 ,7 ,79 ,69 ,9 ,"1,856 "
..Never married,"6,115 ",404 ,648 ,92 ,"4,971 ",15 ,183 ,38 ,389 ,465 ,54 ,"4,971 "
..No parent present,"2,253 ",520 ,585 ,40 ,"1,109 ",- ,- ,- ,520 ,585 ,40 ,"1,109 "
.AGE OF CHILD,,,,,,,,,,,,
..Under 1 year,"3,055 ",137 ,158 ,27 ,"2,734 ",8 ,55 ,9 ,129 ,103 ,17 ,"2,734 "
..1-2 years,"6,258 ",266 ,295 ,60 ,"5,637 ",32 ,122 ,20 ,234 ,173 ,40 ,"5,637 "
..3-5 years,"9,363 ",275 ,409 ,62 ,"8,616 ",37 ,150 ,28 ,238 ,259 ,34 ,"8,616 "
..6-8 years,"9,878 ",256 ,419 ,73 ,"9,130 ",18 ,161 ,46 ,238 ,258 ,28 ,"9,130 "
..9-11 years,"10,646 ",237 ,454 ,57 ,"9,897 ",33 ,194 ,34 ,204 ,260 ,23 ,"9,897 "
..12-14 years,"10,330 ",215 ,397 ,59 ,"9,659 ",20 ,178 ,36 ,196 ,219 ,23 ,"9,659 "
..15-17 years,"10,030 ",162 ,337 ,54 ,"9,477 ",25 ,132 ,40 ,137 ,205 ,15 ,"9,477 "
.PRESENCE OF SIBLINGS,,,,,,,,,,,,
..None,"12,249 ",506 ,600 ,105 ,"11,038 ",53 ,218 ,34 ,454 ,382 ,71 ,"11,038 "
..One sibling,"24,470 ",320 ,919 ,133 ,"23,099 ",76 ,387 ,72 ,244 ,532 ,61 ,"23,099 "
..Two siblings,"14,582 ",386 ,589 ,113 ,"13,494 ",37 ,278 ,85 ,349 ,311 ,28 ,"13,494 "
..Three siblings,"5,201 ",191 ,213 ,30 ,"4,766 ",8 ,63 ,18 ,184 ,150 ,12 ,"4,766 "
..Four siblings,"1,686 ",110 ,65 ,12 ,"1,499 ",- ,27 ,5 ,110 ,38 ,7 ,"1,499 "
..Five or more siblings,"1,371 ",35 ,81 ,- ,"1,255 ",1 ,18 ,- ,34 ,63 ,- ,"1,255 "
.NATIVITY OF CHILD AND PARENTS,,,,,,,,,,,,
..Native child and parent,"50,840 ",872 ,"1,515 ",296 ,"48,157 ",79 ,654 ,162 ,793 ,861 ,134 ,"48,157 "
..Native child and foreign born parent,"5,089 ",135 ,304 ,48 ,"4,603 ",82 ,277 ,43 ,52 ,27 ,5 ,"4,603 "
..Foreign-born child and parent,"1,278 ",22 ,61 ,9 ,"1,185 ",12 ,58 ,9 ,11 ,4 ,- ,"1,185 "
..Foreign-born child and native born parent,100 ,- ,3 ,- ,97 ,- ,2 ,- ,- ,1 ,- ,97 
"..Native child, no parents present","2,187 ",516 ,576 ,38 ,"1,056 ",- ,- ,- ,516 ,576 ,38 ,"1,056 "
"..Foreign-born child, no parents present",66 ,4 ,8 ,2 ,52 ,- ,- ,- ,4 ,8 ,2 ,52 
.CHILDS LABOR FORCE STATUS,,,,,,,,,,,,
..Child under age 15,"49,530 ","1,387 ","2,131 ",339 ,"45,674 ",148 ,860 ,173 ,"1,239 ","1,272 ",165 ,"45,674 "
..Not in labor force,"7,036 ",121 ,255 ,43 ,"6,617 ",22 ,90 ,31 ,99 ,165 ,12 ,"6,617 "
..Full time employed,141 ,3 ,3 ,- ,135 ,- ,3 ,- ,3 ,- ,- ,135 
..Part time employed,"2,328 ",24 ,57 ,11 ,"2,235 ",3 ,32 ,9 ,21 ,25 ,3 ,"2,235 "
"..Unemployed, in the labor force",524 ,13 ,22 ,- ,489 ,- ,7 ,- ,13 ,14 ,- ,489 
.PARENTS LABOR FORCE STATUS,,,,,,,,,,,,
"..Father in labor force, mother not present","2,212 ",69 ,108 ,19 ,"2,016 ",1 ,36 ,6 ,67 ,73 ,13 ,"2,016 "
"..Father not in labor force, mother not present",351 ,11 ,30 ,4 ,305 ,- ,8 ,- ,11 ,23 ,4 ,305 
"..Mother in labor force, father not present","10,317 ",444 ,711 ,86 ,"9,076 ",27 ,227 ,28 ,416 ,484 ,58 ,"9,076 "
"..Mother not in labor force, father not present","2,746 ",174 ,252 ,55 ,"2,264 ",6 ,79 ,33 ,168 ,173 ,22 ,"2,264 "
..Mother and father in labor force,"27,350 ",199 ,513 ,119 ,"26,519 ",78 ,428 ,90 ,121 ,84 ,29 ,"26,519 "
"..Father in labor force, mother not in labor force","11,419 ",107 ,211 ,61 ,"11,040 ",47 ,167 ,50 ,60 ,45 ,11 ,"11,040 "
"..Mother in labor force, father not in labor force","1,711 ",21 ,38 ,5 ,"1,647 ",14 ,35 ,3 ,7 ,3 ,2 ,"1,647 "
"..Father not in labor force, mother not in labor force","1,200 ",5 ,20 ,3 ,"1,173 ",- ,12 ,3 ,5 ,8 ,- ,"1,173 "
..No parents present,"2,253 ",520 ,585 ,40 ,"1,109 ",- ,- ,- ,520 ,585 ,40 ,"1,109 "
.FAMILY INCOME,,,,,,,,,,,,
"..Under $2,500","1,789 ",4 ,49 ,1 ,"1,735 ",- ,11 ,- ,4 ,38 ,1 ,"1,735 "
"..$2,500 to $4,999",682 ,1 ,32 ,3 ,645 ,- ,3 ,- ,1 ,29 ,3 ,645 
"..$5,000 to $7,499","1,077 ",13 ,51 ,1 ,"1,012 ",- ,3 ,- ,13 ,47 ,1 ,"1,012 "
"..$7,500 to $9,999","1,048 ",11 ,107 ,10 ,920 ,- ,16 ,5 ,11 ,90 ,5 ,920 
"..$10,000 to $12,499","1,362 ",14 ,102 ,8 ,"1,239 ",- ,15 ,5 ,14 ,87 ,3 ,"1,239 "
"..$12,500 to $14,999","1,136 ",17 ,99 ,11 ,"1,010 ",2 ,25 ,7 ,15 ,73 ,3 ,"1,010 "
"..$15,000 to $19,999","2,743 ",57 ,179 ,18 ,"2,490 ",3 ,26 ,13 ,54 ,152 ,4 ,"2,490 "
"..$20,000 to $24,999","2,951 ",72 ,174 ,18 ,"2,687 ",- ,47 ,11 ,72 ,126 ,7 ,"2,687 "
"..$25,000 to $29,999","2,929 ",72 ,167 ,27 ,"2,662 ",4 ,35 ,7 ,68 ,132 ,20 ,"2,662 "
"..$30,000 to $39,999","6,390 ",168 ,242 ,31 ,"5,950 ",- ,85 ,15 ,168 ,157 ,16 ,"5,950 "
"..$40,000 to $49,999","5,938 ",178 ,310 ,38 ,"5,412 ",21 ,137 ,18 ,157 ,173 ,20 ,"5,412 "
"..$50,000 to $74,999","13,014 ",373 ,447 ,81 ,"12,113 ",38 ,235 ,36 ,334 ,212 ,44 ,"12,113 "
"..$75,000 and over","18,500 ",569 ,510 ,147 ,"17,275 ",105 ,350 ,95 ,464 ,160 ,52 ,"17,275 "
.HEALTH INSURANCE COVERAGE,,,,,,,,,,,,
..Covered by health insurance,"54,184 ","1,119 ","2,007 ",324 ,"50,734 ",153 ,879 ,194 ,965 ,"1,128 ",131 ,"50,734 "
..Not covered by health insurance,"5,376 ",430 ,461 ,69 ,"4,417 ",20 ,112 ,19 ,410 ,349 ,49 ,"4,417 "
.POVERTY STATUS,,,,,,,,,,,,
..Below 100% of poverty,"8,453 ",124 ,580 ,55 ,"7,694 ",5 ,121 ,36 ,119 ,458 ,20 ,"7,694 "
..100% to 199% of poverty,"11,048 ",359 ,628 ,76 ,"9,985 ",23 ,192 ,34 ,336 ,435 ,42 ,"9,985 "
..200% of poverty and above,"40,059 ","1,065 ","1,260 ",261 ,"37,472 ",145 ,677 ,143 ,920 ,583 ,118 ,"37,472 "
.100 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 100% of poverty,"8,453 ",124 ,580 ,55 ,"7,694 ",5 ,121 ,36 ,119 ,458 ,20 ,"7,694 "
..100% of poverty and above,"51,107 ","1,425 ","1,888 ",338 ,"47,457 ",168 ,870 ,177 ,"1,257 ","1,018 ",160 ,"47,457 "
.125 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 125% of poverty,"10,966 ",211 ,771 ,79 ,"9,906 ",9 ,159 ,47 ,202 ,612 ,32 ,"9,906 "
..125% of poverty and above,"48,594 ","1,338 ","1,697 ",314 ,"45,245 ",165 ,832 ,166 ,"1,173 ",865 ,148 ,"45,245 "
.HOUSEHOLD FOOD STAMP RECEIPT,,,,,,,,,,,,
..Yes,"5,870 ",125 ,540 ,41 ,"5,164 ",4 ,91 ,26 ,122 ,449 ,15 ,"5,164 "
..No,"53,690 ","1,423 ","1,928 ",352 ,"49,987 ",170 ,900 ,187 ,"1,253 ","1,028 ",165 ,"49,987 "
.HOUSEHOLD PUBLIC ASST RECEIPT,,,,,,,,,,,,
..Yes,"2,919 ",80 ,328 ,20 ,"2,491 ",- ,56 ,17 ,80 ,271 ,3 ,"2,491 "
..No,"56,641 ","1,468 ","2,140 ",373 ,"52,659 ",173 ,935 ,197 ,"1,295 ","1,205 ",176 ,"52,659 "
.AREA OF RESIDENCE,,,,,,,,,,,,
"..Central city, MSA of 1,000,000 or more","7,749 ",254 ,557 ,80 ,"6,859 ",53 ,181 ,43 ,201 ,376 ,36 ,"6,859 "
"..Outside central city, MSA of 1,000,000 or more","18,095 ",446 ,697 ,120 ,"16,832 ",54 ,401 ,84 ,392 ,296 ,36 ,"16,832 "
"..Central city, MSA under 1,000,000","7,368 ",167 ,404 ,43 ,"6,753 ",13 ,127 ,20 ,155 ,278 ,22 ,"6,753 "
"..Outside central city, MSA under 1,000,000","14,441 ",377 ,422 ,84 ,"13,558 ",39 ,198 ,34 ,338 ,224 ,50 ,"13,558 "
..Outside metropolitan area,"11,907 ",304 ,387 ,67 ,"11,149 ",15 ,84 ,31 ,290 ,303 ,35 ,"11,149 "
.HOUSEHOLD TENURE,,,,,,,,,,,,
..Own/Buying,"42,500 ","1,336 ","1,615 ",319 ,"39,229 ",152 ,709 ,181 ,"1,184 ",906 ,138 ,"39,229 "
..Rent,"16,030 ",207 ,824 ,71 ,"14,927 ",21 ,269 ,32 ,186 ,555 ,39 ,"14,927 "
..No Cash Rent,"1,031 ",5 ,29 ,3 ,994 ,- ,13 ,- ,5 ,16 ,3 ,994 
LIVING WITH BOTH PARENTS,,,,,,,,,,,,
.TOTAL,"41,681 ",332 ,781 ,189 ,"40,380 ",139 ,642 ,146 ,193 ,140 ,43 ,"40,380 "
.MARITAL STATUS OF PARENT,,,,,,,,,,,,
..Married spouse present,"41,681 ",332 ,781 ,189 ,"40,380 ",139 ,642 ,146 ,193 ,140 ,43 ,"40,380 "
.AGE OF CHILD,,,,,,,,,,,,
..Under 1 year,"2,197 ",30 ,34 ,12 ,"2,121 ",7 ,25 ,4 ,23 ,9 ,8 ,"2,121 "
..1-2 years,"4,472 ",72 ,99 ,20 ,"4,281 ",24 ,80 ,13 ,48 ,19 ,7 ,"4,281 "
..3-5 years,"6,639 ",66 ,123 ,26 ,"6,424 ",31 ,95 ,18 ,35 ,28 ,8 ,"6,424 "
..6-8 years,"6,848 ",48 ,120 ,46 ,"6,634 ",16 ,91 ,40 ,32 ,29 ,6 ,"6,634 "
..9-11 years,"7,352 ",58 ,147 ,22 ,"7,125 ",24 ,126 ,15 ,33 ,21 ,7 ,"7,125 "
..12-14 years,"7,259 ",27 ,151 ,33 ,"7,048 ",15 ,127 ,27 ,11 ,24 ,6 ,"7,048 "
..15-17 years,"6,914 ",31 ,108 ,28 ,"6,747 ",21 ,98 ,28 ,10 ,10 ,- ,"6,747 "
.PRESENCE OF SIBLINGS,,,,,,,,,,,,
..None,"6,871 ",87 ,116 ,31 ,"6,637 ",32 ,89 ,19 ,56 ,26 ,12 ,"6,637 "
..One sibling,"18,269 ",132 ,365 ,63 ,"17,708 ",64 ,281 ,44 ,68 ,84 ,19 ,"17,708 "
..Two siblings,"10,697 ",77 ,212 ,75 ,"10,333 ",34 ,192 ,68 ,43 ,19 ,7 ,"10,333 "
..Three siblings,"3,659 ",21 ,60 ,14 ,"3,563 ",8 ,50 ,9 ,13 ,11 ,5 ,"3,563 "
..Four siblings,"1,205 ",13 ,23 ,5 ,"1,164 ",- ,23 ,5 ,13 ,- ,- ,"1,164 "
..Five or more siblings,982 ,1 ,6 ,- ,975 ,1 ,6 ,- ,- ,- ,- ,975 
.NATIVITY OF CHILD AND PARENTS,,,,,,,,,,,,
..Native child and parent,"36,180 ",210 ,489 ,137 ,"35,344 ",53 ,364 ,100 ,158 ,125 ,37 ,"35,344 "
..Native child and foreign born parent,"4,354 ",104 ,249 ,46 ,"3,955 ",76 ,234 ,41 ,28 ,14 ,5 ,"3,955 "
..Foreign-born child and parent,"1,064 ",17 ,42 ,5 ,999 ,10 ,41 ,5 ,8 ,1 ,- ,999 
..Foreign-born child and native born parent,84 ,- ,2 ,- ,82 ,- ,2 ,- ,- ,- ,- ,82 
.CHILDS LABOR FORCE STATUS,,,,,,,,,,,,
..Child under age 15,"34,767 ",300 ,674 ,161 ,"33,633 ",118 ,544 ,118 ,182 ,130 ,42 ,"33,633 "
..Not in labor force,"4,809 ",27 ,76 ,22 ,"4,683 ",18 ,66 ,21 ,9 ,10 ,- ,"4,683 "
..Full time employed,90 ,- ,3 ,- ,87 ,- ,3 ,- ,- ,- ,- ,87 
..Part time employed,"1,719 ",4 ,22 ,6 ,"1,687 ",3 ,22 ,6 ,1 ,- ,- ,"1,687 "
"..Unemployed, in the labor force",296 ,- ,7 ,- ,290 ,- ,6 ,- ,- ,- ,- ,290 
.PARENTS LABOR FORCE STATUS,,,,,,,,,,,,
..Mother and father in labor force,"27,350 ",199 ,513 ,119 ,"26,519 ",78 ,428 ,90 ,121 ,84 ,29 ,"26,519 "
"..Father in labor force, mother not in labor force","11,419 ",107 ,211 ,61 ,"11,040 ",47 ,167 ,50 ,60 ,45 ,11 ,"11,040 "
"..Mother in labor force, father not in labor force","1,711 ",21 ,38 ,5 ,"1,647 ",14 ,35 ,3 ,7 ,3 ,2 ,"1,647 "
"..Father not in labor force, mother not in labor force","1,200 ",5 ,20 ,3 ,"1,173 ",- ,12 ,3 ,5 ,8 ,- ,"1,173 "
.FAMILY INCOME,,,,,,,,,,,,
"..Under $2,500",263 ,- ,- ,- ,263 ,- ,- ,- ,- ,- ,- ,263 
"..$2,500 to $4,999",92 ,- ,- ,- ,92 ,- ,- ,- ,- ,- ,- ,92 
"..$5,000 to $7,499",152 ,- ,- ,- ,152 ,- ,- ,- ,- ,- ,- ,152 
"..$7,500 to $9,999",189 ,1 ,- ,1 ,187 ,- ,- ,1 ,1 ,- ,- ,187 
"..$10,000 to $12,499",303 ,- ,1 ,4 ,297 ,- ,- ,2 ,- ,1 ,2 ,297 
"..$12,500 to $14,999",313 ,1 ,8 ,4 ,301 ,1 ,7 ,4 ,- ,1 ,- ,301 
"..$15,000 to $19,999",875 ,3 ,19 ,1 ,852 ,- ,14 ,1 ,3 ,5 ,- ,852 
"..$20,000 to $24,999","1,144 ",7 ,6 ,10 ,"1,121 ",- ,6 ,6 ,7 ,- ,5 ,"1,121 "
"..$25,000 to $29,999","1,544 ",4 ,34 ,- ,"1,506 ",4 ,16 ,- ,- ,17 ,- ,"1,506 "
"..$30,000 to $39,999","4,069 ",15 ,36 ,10 ,"4,008 ",- ,34 ,7 ,15 ,2 ,3 ,"4,008 "
"..$40,000 to $49,999","4,396 ",26 ,96 ,20 ,"4,255 ",15 ,85 ,10 ,11 ,11 ,9 ,"4,255 "
"..$50,000 to $74,999","11,141 ",71 ,223 ,34 ,"10,813 ",35 ,171 ,28 ,36 ,53 ,6 ,"10,813 "
"..$75,000 and over","17,199 ",204 ,358 ,104 ,"16,533 ",84 ,309 ,87 ,119 ,49 ,17 ,"16,533 "
.HEALTH INSURANCE COVERAGE,,,,,,,,,,,,
..Covered by health insurance,"39,152 ",276 ,723 ,170 ,"37,983 ",127 ,592 ,133 ,150 ,131 ,37 ,"37,983 "
..Not covered by health insurance,"2,529 ",55 ,58 ,19 ,"2,397 ",12 ,50 ,13 ,43 ,9 ,6 ,"2,397 "
.POVERTY STATUS,,,,,,,,,,,,
..Below 100% of poverty,"2,207 ",13 ,26 ,18 ,"2,151 ",1 ,21 ,13 ,11 ,5 ,5 ,"2,151 "
..100% to 199% of poverty,"6,191 ",43 ,141 ,26 ,"5,981 ",19 ,112 ,14 ,24 ,29 ,12 ,"5,981 "
..200% of poverty and above,"33,283 ",276 ,615 ,145 ,"32,248 ",118 ,509 ,119 ,157 ,106 ,26 ,"32,248 "
.100 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 100% of poverty,"2,207 ",13 ,26 ,18 ,"2,151 ",1 ,21 ,13 ,11 ,5 ,5 ,"2,151 "
..100% of poverty and above,"39,474 ",319 ,756 ,170 ,"38,229 ",137 ,620 ,133 ,182 ,135 ,37 ,"38,229 "
.125 PERCENT OF POVERTY,,,,,,,,,,,,
..Below 125% of poverty,"3,343 ",20 ,49 ,26 ,"3,249 ",5 ,31 ,19 ,15 ,18 ,7 ,"3,249 "
..125% of poverty and above,"38,338 ",312 ,733 ,163 ,"37,130 ",134 ,611 ,127 ,178 ,122 ,36 ,"37,130 "
.HOUSEHOLD FOOD STAMP RECEIPT,,,,,,,,,,,,
..Yes,"1,486 ",8 ,30 ,2 ,"1,447 ",2 ,15 ,- ,7 ,15 ,2 ,"1,447 "
..No,"40,195 ",323 ,752 ,187 ,"38,933 ",137 ,627 ,146 ,186 ,125 ,41 ,"38,933 "
.HOUSEHOLD PUBLIC ASST RECEIPT,,,,,,,,,,,,
..Yes,679 ,7 ,18 ,- ,654 ,- ,8 ,- ,7 ,10 ,- ,654 
..No,"41,002 ",325 ,763 ,189 ,"39,726 ",139 ,633 ,146 ,186 ,130 ,43 ,"39,726 "
.AREA OF RESIDENCE,,,,,,,,,,,,
"..Central city, MSA of 1,000,000 or more","4,450 ",75 ,141 ,16 ,"4,218 ",44 ,113 ,13 ,31 ,28 ,3 ,"4,218 "
"..Outside central city, MSA of 1,000,000 or more","13,805 ",133 ,314 ,81 ,"13,277 ",43 ,280 ,78 ,89 ,34 ,3 ,"13,277 "
"..Central city, MSA under 1,000,000","4,337 ",28 ,83 ,28 ,"4,198 ",13 ,61 ,16 ,15 ,21 ,12 ,"4,198 "
"..Outside central city, MSA under 1,000,000","10,792 ",63 ,178 ,33 ,"10,519 ",27 ,146 ,16 ,36 ,32 ,17 ,"10,519 "
..Outside metropolitan area,"8,297 ",34 ,65 ,30 ,"8,168 ",11 ,41 ,22 ,22 ,24 ,8 ,"8,168 "
.HOUSEHOLD TENURE,,,,,,,,,,,,
..Own/Buying,"33,985 ",292 ,648 ,178 ,"32,867 ",126 ,528 ,137 ,166 ,120 ,40 ,"32,867 "
..Rent,"6,971 ",39 ,120 ,11 ,"6,800 ",13 ,101 ,9 ,26 ,19 ,2 ,"6,800 "
..No Cash Rent,725 ,- ,13 ,- ,712 ,- ,13 ,- ,- ,- ,- ,712 
LIVING WITH MOTHER ONLY,,,,,,,,,,,,
.TOTAL,"13,063 ",618 ,963 ,141 ,"11,341 ",33 ,306 ,61 ,584 ,657 ,80 ,"11,341 "
.MARITAL STATUS OF PARENT,,,,,,,,,,,,
..Married spouse absent,531 ,34 ,47 ,10 ,439 ,2 ,7 ,- ,33 ,40 ,10 ,439 
..Widowed,553 ,6 ,14 ,5 ,527 ,- ,12 ,5 ,6 ,2 ,- ,527 
..Divorced,"4,839 ",141 ,203 ,32 ,"4,463 ",15 ,67 ,15 ,126 ,136 ,17 ,"4,463 "
..Separated,"1,802 ",68 ,116 ,13 ,"1,605 ",3 ,58 ,7 ,65 ,58 ,6 ,"1,605 "
..Never married,"5,339 ",369 ,583 ,81 ,"4,306 ",14 ,162 ,34 ,355 ,421 ,48 ,"4,306 "
.AGE OF CHILD,,,,,,,,,,,,
..Under 1 year,622 ,90 ,101 ,13 ,418 ,1 ,25 ,5 ,89 ,76 ,8 ,418 
..1-2 years,"1,357 ",142 ,156 ,24 ,"1,034 ",6 ,41 ,5 ,135 ,116 ,19 ,"1,034 "
..3-5 years,"2,073 ",116 ,179 ,25 ,"1,753 ",6 ,50 ,8 ,110 ,129 ,17 ,"1,753 "
..6-8 years,"2,300 ",91 ,171 ,21 ,"2,018 ",2 ,63 ,5 ,88 ,108 ,16 ,"2,018 "
..9-11 years,"2,447 ",87 ,161 ,25 ,"2,173 ",9 ,59 ,19 ,78 ,102 ,6 ,"2,173 "
..12-14 years,"2,199 ",66 ,110 ,16 ,"2,007 ",4 ,38 ,7 ,61 ,71 ,9 ,"2,007 "
..15-17 years,"2,065 ",26 ,84 ,17 ,"1,937 ",4 ,31 ,12 ,22 ,53 ,5 ,"1,937 "
.PRESENCE OF SIBLINGS,,,,,,,,,,,,
..None,"3,749 ",364 ,402 ,59 ,"2,925 ",19 ,112 ,12 ,345 ,290 ,47 ,"2,925 "
..One sibling,"4,887 ",175 ,302 ,43 ,"4,367 ",11 ,89 ,24 ,164 ,213 ,19 ,"4,367 "
..Two siblings,"2,800 ",56 ,176 ,24 ,"2,545 ",3 ,76 ,16 ,53 ,100 ,8 ,"2,545 "
..Three siblings,"1,046 ",23 ,59 ,9 ,956 ,- ,14 ,9 ,23 ,46 ,- ,956 
..Four siblings,307 ,- ,4 ,7 ,296 ,- ,4 ,- ,- ,- ,7 ,296 
..Five or more siblings,272 ,- ,20 ,- ,252 ,- ,12 ,- ,- ,8 ,- ,252 
.NATIVITY OF CHILD AND PARENTS,,,,,,,,,,,,
..Native child and parent,"12,212 ",588 ,892 ,136 ,"10,595 ",25 ,251 ,56 ,563 ,641 ,80 ,"10,595 "
..Native child and foreign born parent,649 ,26 ,51 ,2 ,570 ,6 ,39 ,2 ,20 ,12 ,- ,570 
..Foreign-born child and parent,188 ,3 ,20 ,4 ,161 ,2 ,17 ,4 ,1 ,3 ,- ,161 
..Foreign-born child and native born parent,14 ,- ,- ,- ,14 ,- ,- ,- ,- ,- ,- ,14 
.CHILDS LABOR FORCE STATUS,,,,,,,,,,,,
..Child under age 15,"10,998 ",591 ,879 ,125 ,"9,403 ",29 ,275 ,49 ,563 ,603 ,76 ,"9,403 "
..Not in labor force,"1,484 ",19 ,58 ,14 ,"1,393 ",4 ,20 ,9 ,14 ,38 ,5 ,"1,393 "
..Full time employed,18 ,- ,- ,- ,18 ,- ,- ,- ,- ,- ,- ,18 
..Part time employed,412 ,6 ,19 ,3 ,384 ,- ,10 ,3 ,6 ,9 ,- ,384 
"..Unemployed, in the labor force",151 ,1 ,7 ,- ,142 ,- ,1 ,- ,1 ,6 ,- ,142 
.PARENTS LABOR FORCE STATUS,,,,,,,,,,,,
"..Mother in labor force, father not present","10,317 ",444 ,711 ,86 ,"9,076 ",27 ,227 ,28 ,416 ,484 ,58 ,"9,076 "
"..Mother not in labor force, father not present","2,746 ",174 ,252 ,55 ,"2,264 ",6 ,79 ,33 ,168 ,173 ,22 ,"2,264 "
.FAMILY INCOME,,,,,,,,,,,,
"..Under $2,500",825 ,2 ,15 ,- ,808 ,- ,9 ,- ,2 ,5 ,- ,808 
"..$2,500 to $4,999",496 ,1 ,7 ,- ,488 ,- ,3 ,- ,1 ,4 ,- ,488 
"..$5,000 to $7,499",786 ,6 ,17 ,- ,763 ,- ,3 ,- ,6 ,13 ,- ,763 
"..$7,500 to $9,999",712 ,1 ,43 ,4 ,665 ,- ,16 ,4 ,1 ,26 ,- ,665 
"..$10,000 to $12,499",870 ,7 ,43 ,3 ,818 ,- ,15 ,3 ,7 ,28 ,- ,818 
"..$12,500 to $14,999",677 ,5 ,37 ,5 ,630 ,1 ,17 ,4 ,4 ,21 ,2 ,630 
"..$15,000 to $19,999","1,522 ",9 ,81 ,16 ,"1,416 ",3 ,12 ,13 ,6 ,68 ,4 ,"1,416 "
"..$20,000 to $24,999","1,452 ",22 ,109 ,8 ,"1,312 ",- ,41 ,5 ,22 ,68 ,2 ,"1,312 "
"..$25,000 to $29,999","1,046 ",28 ,92 ,17 ,908 ,- ,19 ,6 ,28 ,73 ,11 ,908 
"..$30,000 to $39,999","1,644 ",52 ,139 ,16 ,"1,438 ",- ,49 ,8 ,52 ,89 ,8 ,"1,438 "
"..$40,000 to $49,999","1,060 ",88 ,131 ,12 ,830 ,6 ,40 ,7 ,82 ,92 ,4 ,830 
"..$50,000 to $74,999","1,204 ",163 ,155 ,28 ,858 ,4 ,49 ,7 ,160 ,106 ,21 ,858 
"..$75,000 and over",768 ,233 ,95 ,33 ,408 ,19 ,32 ,5 ,214 ,62 ,28 ,408 
.HEALTH INSURANCE COVERAGE,,,,,,,,,,,,
..Covered by health insurance,"11,351 ",456 ,777 ,113 ,"10,005 ",25 ,255 ,56 ,431 ,521 ,57 ,"10,005 "
..Not covered by health insurance,"1,712 ",162 ,186 ,29 ,"1,335 ",8 ,51 ,5 ,154 ,135 ,24 ,"1,335 "
.POVERTY STATUS,,,,,,,,,,,,
..Below 100% of poverty,"4,791 ",38 ,260 ,25 ,"4,468 ",4 ,96 ,23 ,34 ,164 ,2 ,"4,468 "
..100% to 199% of poverty,"3,740 ",151 ,292 ,40 ,"3,258 ",4 ,74 ,18 ,147 ,218 ,21 ,"3,258 "
..200% of poverty and above,"4,531 ",429 ,411 ,77 ,"3,614 ",25 ,136 ,20 ,404 ,275 ,57 ,"3,614 "
.100 PERCENT OF POVERTY,,,,,,,,,,,,
