Time,F-Scale,Location,County,State,Lat,Lon,Comments
2027,UNK,5 NW MONTIER,SHANNON,MO,37.03,-91.64,UNCONFIRMED REPORT. SECOND POSSIBLE TOUCHDOWN NEAR EMINENCE AT 3:35 PM. (SGF)
2031,UNK,URBANA,BENTON,IA,42.22,-91.88,ON HIGHWAY 150 MOVING NORTHEAST. (DVN)
2035,UNK,CLEAR LAKE,SHERBURNE,MN,45.45,-94,(MPX)
2050,UNK,URBANA,BENTON,IA,42.22,-91.88,TORNADO PERIODICALLY ON GROUND NEAR URBANA. (DVN)
2053,UNK,3 SE LEBANON,LACLEDE,MO,37.65,-92.63,NWS SURVEY CONFIRMED THAT AN F1 TORNADO DAMAGED BARNS AND DOWNED TREES OVER AN INTERMITTENT 1/2 MILE LONG PATH. (SGF)
2055,UNK,2 W MONTICELLO,JONES,IA,42.24,-91.23,MOVEMENT WAS EAST. (DVN)
2107,UNK,BUSHNELL,MCDONOUGH,IL,40.55,-90.5,MOVING ENE. (DVN)
2110,UNK,4 NE IOWA CITY,JOHNSON,IA,41.66,-91.54,DELAYED REPORT. TIME ESTIMATED. 3 TO 4 MILES EAST OF MILE MARKER 244 ON I80. (DVN)
2111,UNK,EDWARDSVILLE,MADISON,IL,38.8,-89.96,TORNADO ON THE GROUND AT ROUTE 4...NEAR EDWARDSVILLE...REPORTED BY STATE POLICE. (LSX)
2115,UNK,REYNOLDS,REYNOLDS,MO,37.4,-91.07,POWER SUBSTATION WAS SEVERELY DAMAGED. SEVERAL TREES DOWN IN THE VICINITY OF THE POWER STATION. (LSX)
2128,UNK,LOUISVILLE,JEFFERSON,KY,38.22,-85.74,LOCATED AT BARDSTOWN ROAD AND GLENN MARY. (LMK)
2135,UNK,4 NE BREESE,CLINTON,IL,38.65,-89.47,DAMAGE TO HOG FARM...AND ADJACENT HOUSE. POSSIBLE TORNADO. (LSX)
2145,UNK,4 SW SECOR,WOODFORD,IL,40.7,-89.19,(ILX)
2150,UNK,5 NE MORTON,TAZEWELL,IL,40.66,-89.4,(ILX)
2152,UNK,1 NE BREESE,CLINTON,IL,38.62,-89.51,BRIEF TORNADO TOUCHDOWN...FOLLOWING FUNNEL CLOUD NE. (LSX)
2157,UNK,8 NE BREESE,CLINTON,IL,38.69,-89.42,TORNADO ON THE GROUND (LSX)
2211,UNK,SALVISA,MERCER,KY,37.92,-84.87,(LMK)
2221,UNK,5 W PATOKA,FAYETTE,IL,38.75,-89.19,TORNADO ON THE GROUND WEST OF PATOKA. (LSX)
2227,UNK,2 NE SECOR,WOODFORD,IL,40.76,-89.11,INCREASING IN SIZE,BUILDINGS DAMAGED. (ILX)
2231,UNK,1 N WASHINGTON,TAZEWELL,IL,40.71,-89.44,(ILX)
2255,UNK,6 NW HILLSBORO,HIGHLAND,OH,39.27,-83.69,A BARN WAS DESTROYED BY A TORNADO NEAR WILLETSVILLE. (ILN)
2256,UNK,4 NE ROYALTON,MORRISON,MN,45.87,-94.23,SMALL ROPE TORNADO DISSIPATED (MPX)
2300,UNK,12 WSW MOORESVILLE,MORGAN,IN,39.55,-86.58,SPOTTER REPORTS TOUCHDOWN NEAR LITTLE POINT JUST SOUTH OF INTERSTATE 70. (IND)
2305,UNK,CLAY CITY,POWELL,KY,37.86,-83.93,AN F0 TORNADO TOUCHED DOWN ONLY VERY BRIEFLY NEAR HIGHWAY 15. THE TORNADO HAD A WIDTH OF AROUND 50 FEET. A COUPLE OF TREES WERE BLOWN DOWN. (JKL)
2305,UNK,2 W EL PASO,WOODFORD,IL,40.74,-89.05,ON THE GROUND BETWEEN EL PASO AND SECOR. DEBRIS REPORTED. FROM SWOP OBSERVER. (ILX)
2305,UNK,2 W SECOR,WOODFORD,IL,40.74,-89.17,BARN DESTROYED AT INTERSECTION OF US-24 AND COUNTY ROAD 1850E. (ILX)
2309,UNK,4 SW MOORESVILLE,MORGAN,IN,39.57,-86.42,(IND)
2312,UNK,6 SW DWIGHT,LIVINGSTON,IL,41.04,-88.51,POSSIBLE TORNADO (LOT)
2314,UNK,6 SW MOORESVILLE,MORGAN,IN,39.55,-86.45,SPOTTER REPORTS TORNADO ON THE GROUND NEAR MONROVIA. (IND)
2315,UNK,6 SW PONTIAC,LIVINGSTON,IL,40.82,-88.72,TORNADO BEGAN AT 1400 NORTH AND 1000E AND CONTINUED 6 MILES TO ABOUT 1600E. TREES AND FARM BUILDINGS DAMAGED. TORNADO RATED F0. (LOT)
2318,UNK,OAKDALE,WASHINGTON,IL,38.26,-89.5,DAMAGE TO SUBSTATION AND A BARN ROOF DUE TO POSSIBLE TORNADO. (STL)
2330,UNK,DU BOIS,WASHINGTON,IL,38.22,-89.21,TREES MANGLED AND TWISTED...AND ROOF DAMAGE TO A HOUSE. POSSIBLE TORNADO TOUCHDOWN. (LSX)
2331,UNK,3 W MOORESVILLE,MORGAN,IN,39.62,-86.43,SPOTTER REPORTS A TORNADO ON THE GROUND IN MOORESVILLE. (IND)
2332,UNK,5 S MURPHYSBORO,JACKSON,IL,37.7,-89.34,BRIEF TOUCHDOWN. (PAH)
2332,UNK,4 SE PLAINFIELD,MARION,IN,39.66,-86.33,SPOTTER REPORTS TORNADO NEAR CAMBY ALONG HENDRICKS AND MARION COUNTY LINE. (IND)
2332,UNK,3 W SAUNEMIN,LIVINGSTON,IL,40.89,-88.46,SPOTTED AND PHOTOGRAPHED BY TRAINED SPOTTER ON NORTH SIDE OF 116. TREES DOWN AT A FARM HOUSE. (LOT)
2335,UNK,RADOM,WASHINGTON,IL,38.28,-89.19,TORNADO TRACK FROM 1 MILE EAST OF RADOM TO 2 MILES EAST OF ASHLEY. BUILDINGS DAMAGED ALONG HIGHWAY 15,AND TREES DOWN JUST EAST OF ASHLEY. TIME ESTIMATED. (LSX)
2340,UNK,5 E SAUNEMIN,LIVINGSTON,IL,40.89,-88.31,TREE LIMBS DOWN AND DAMAGE TO OUTBUILDINGS ALONG 116 FROM 5 MILES WEST OF COLLUM TO COLLUM. (LOT)
2345,UNK,12 SW INDIANAPOLIS,MARION,IN,39.65,-86.31,POWER FLASHES FROM TORNADO OBSERVED BY NWS STAFF JUST SOUTH OF INDIANAPOLIS OFFICE. (IND)
0000,UNK,7 S INDIANAPOLIS,MARION,IN,39.68,-86.15,TORNADO REPORTED ON THE GROUND AT STATE ROAD 37 AND SOUTHPORT ROAD. (IND)
0007,UNK,8 N BRANDON,BUCHANAN,IA,42.43,-92,SOUTH OF HIGHWAY 20 (DVN)
0009,UNK,6 S INDIANAPOLIS,MARION,IN,39.69,-86.15,TORNADO REPORTED JUST SOUTH OF THOMPSON ROAD AND MADISON ROAD. (IND)
0021,UNK,4 SE INDIANAPOLIS,MARION,IN,39.74,-86.09,INDIANAPOLIS POLICE REPORT TORNADO ON THE GROUND AND HEAVY DAMAGE IN THE AREA OF INTERSTATE 65 AND KEYSTONE AVENUE. (IND)
0025,UNK,CREAL SPRINGS,WILLIAMSON,IL,37.62,-88.84,BRIEF TOUCHDOWN REPORTED BETWEEN CREAL SPRINGS AND NEW BURNSIDE ON ROUTE 166. RELAYED FROM JOHNSON COUNTY EMA. (PAH)
0026,UNK,8 SSE LAFAYETTE,TIPPECANOE,IN,40.3,-86.81,COUNTY EMERGENCY MANAGEMENT REPORTS TORNADO ON THE GROUND NEAR ROMNEY. (IND)
0028,UNK,2 E ZUMBROTA,GOODHUE,MN,44.29,-92.63,KTTC TV IN ROCHESTER REPORTED A TORNADO NEAR THE GOODHUE AND WABASHA COUNTY LINE (MPX)
0028,UNK,HARRIS,CHISAGO,MN,45.6,-92.99,CITIZEN REPORT OF A TORNADO NEAR HARRIS (MPX)
0029,UNK,INDIANAPOLIS,MARION,IN,39.78,-86.15,TORNADO AT EMERSON AND PROSPECT ROADS ON THE SOUTH SIDE AT INDIANAPOLIS. (IND)
0029,UNK,3 SE LAFAYETTE,TIPPECANOE,IN,40.38,-86.83,SPOTTER REPORTS TORNADO ON THE GROUND NEAR HIGHWAY 52 AND COUNTY ROAD 400 EAST. (IND)
0032,UNK,3 E KENTLAND,NEWTON,IN,40.77,-87.39,DAMAGE TO METAL BUILDING AT QUARRY...GRAIN BINDS DOWN. (LOT)
0034,UNK,4 SE INDIANAPOLIS,MARION,IN,39.74,-86.09,TORNADO ON THE GROUND AT SOUTHPORT AND MCFARLAND ROADS. (IND)
0035,UNK,COLFAX,CLINTON,IN,40.19,-86.67,COUNTY EMA REPORTS TORNADO NEAR COLFAX. (IND)
0035,UNK,DAYTON,TIPPECANOE,IN,40.38,-86.78,STATE POLICE REPORTS TORNADO NEAR DAYTON. (IND)
0038,UNK,WSW BROOK,NEWTON,IN,40.87,-87.37,.5 WEST OF BROOK TO 4 MILES EAST OF BROOK. (LOT)
0040,UNK,5 E INDIANAPOLIS,MARION,IN,39.78,-86.05,STATE POLICE REPORTS TORNADO ON THE GROUND JUST SOUTH OF WASHINGTON STREET AND INTERSTATE 465 NEAR WASHINGTON SQUARE. (IND)
0046,UNK,7 E INDIANAPOLIS,MARION,IN,39.78,-86.01,SPOTTER REPORTS TORNADO ON THE GROUND AT INTERSTATE 70 AND GERMAN CHURCH ROAD. (IND)
0050,UNK,7 NW GREENFIELD,HANCOCK,IN,39.86,-85.86,RADIO SPOTTER REPORTS TORNADO ON THE GROUND ONE MILE NORTHWEST OF MOUNT COMFORT AIRPORT. (IND)
0050,UNK,1 NE DAYTON,TIPPECANOE,IN,40.39,-86.76,HOMES DESTORYED IN DAYTON AND BUCKCREEK AREAS. TORNADO MOVING NORTHEAST FROM DAYTON. (IND)
0051,UNK,MULBERRY,CLINTON,IN,40.35,-86.67,COUNTY EMA REPORTS TORNADO ON THE GROUND IN MULBERRY MOVING NORTHEAST TOWARDS ROSSVILLE. (IND)
0056,UNK,8 NNW GREENFIELD,HANCOCK,IN,39.9,-85.83,TORNADO ON THE GROUND NORTH OF MOUNT COMFORT AIRPORT. (IND)
0120,UNK,SHELBURN,SULLIVAN,IN,39.18,-87.4,COUNTY EMERGENCY MANAGEMENT REPORTS TORNADO ON THE GROUND IN SHELBURN. (IND)
0121,UNK,DUGGER,SULLIVAN,IN,39.07,-87.26,(IND)
0130,UNK,1 SE PROVIDENCE,WEBSTER,KY,37.39,-87.74,SEVERAL HOMES DAMAGED. HOUSE DAMAGE ESTIMATED AT 150 THOUSAND DOLLARS. (PAH)
0140,UNK,DARMSTADT,VANDERBURGH,IN,38.09,-87.58,TORNADO TOUCHED DOWN NEAR BROMM RD THEN LIFTED IN THE TOWN ON DARMSTADT. NUMEROUS TREES DOWN AND SNAPPED. TREE TOPS ON HOMES. ONE UNATTACHED GARAGE DESTROYED. PATH WAS (PAH)
0145,UNK,3 W MARKED TREE,POINSETT,AR,35.53,-90.47,DAMAGE,PATH LENGTH,ETC. UNKNOWN (MEM)
0145,UNK,NEWBURGH,WARRICK,IN,37.95,-87.4,TIME APPROXIMATE. NUMEROUS TREES DOWN...WITH MANY TREES ON HOMES...BUSINESSES AND VEHICLES. SEVERAL ROOFS OFF BUSINESSES. ESTIMATED DAMAGE CLOSE TO 3 MILLION DOLLARS. (PAH)
0152,UNK,5 N LAPEL,MADISON,IN,40.14,-85.85,TORNADO REPORTED ON THE GROUND IN PERKINSVILLE BY RADIO WEATHER SPOTTERS. (IND)
0155,UNK,PERU,MIAMI,IN,40.75,-86.07,WEST CENTER AND NORTH SIDE OF TOWN HAD WIDESPREAD TREES AND POWER LINES DOWN. LEONDA TRAILER PARK SUSTAINED EXTENSIVE DAMAGE WITH SEVERAL RESIDENTS INJURED. (IWX)
0215,UNK,GASTON,DELAWARE,IN,40.31,-85.5,SPOTTER REPORTS TORNADO ON THE GROUND IN GASTON. (IND)
0300,UNK,MAUCKPORT,HARRISON,IN,38.02,-86.2,TREES DOWN...TORNADO DEBRIS. (LMK)
0448,UNK,FRANKLIN,WILLIAMSON,TN,35.93,-86.84,PUBLIC REPORTED TORNADO NEAR INTERSTATE 65 AND HIGHWAY 96. (BNA)
0525,UNK,1 N ANDERSON,LAUDERDALE,AL,34.91,-87.27,F1 TORNADO WIDTH 75 YARDS LENGTH 1 MILE (HUN)
0526,UNK,2 SSW PEEBLES,ADAMS,OH,38.92,-83.42,(ILN)
0543,UNK,2 NNE HILLSBORO,LAWRENCE,AL,34.66,-87.17,POSSIBLE TORNADO NEAR MALLARD CREEK (HUN)
0555,UNK,12 S PULASKI,GILES,TN,35.02,-87.03,POSSIBLE TORNADO. (BNA)
0558,UNK,9 NW MERIDIANVILLE,MADISON,AL,34.87,-86.57,F0 1NW HAZEL GREEN,F1 1W OF FISK AT 100 AM,F0 3NE HAZEL GREEN,F1 2N FAIRVIEW AT 108 AM (HUN)
0605,UNK,1 S HAMMOND,KNOX,KY,36.94,-83.73,A TORNADO...210 FEET WIDE...BRIEFY TOUCHED DOWN JUST SOUTH OF HAMMOND...LIFTED...AND TOUCHED DOWN AGAIN NEAR HAMMOND. NUMEROUS TREES WERE DOWNED AND TWO TRAILERS...TWO (JKL)
0609,UNK,16 SE FAYETTEVILLE,LINCOLN,TN,35.15,-86.56,F1 TORNADO JUST SOUTH OF VANNTOWN,TN AND NEAR ELORA BETWEEN 109-114 AM (HUN)
0615,UNK,EROSE,KNOX,KY,36.93,-83.62,A TORNADO TOUCHED DOWN NEAR EROSE ALONG HIGHWAY 718...AND WAS ON THE GROUND FOR 1338 FEET. NUMEROUS TREES WERE BLOWN DOWN AND THREE HOMES WERE DAMAGED. (JKL)
Time,Speed,Location,County,State,Lat,Lon,Comments
1245,UNK,MANSFIELD,PIATT,IL,40.21,-88.51,TREES AND POWER LINES DOWN. (ILX)
1345,UNK,IRVINE,ESTILL,KY,37.7,-83.97,TREES DOWN ALONG STACEY LANE AND CARDINAL COURT. REPORTED BY DISPATCH. (JKL)
1400,UNK,5 N ELMWOOD,PEORIA,IL,40.85,-89.97,1 FOOT DIAMETER TREE DOWN. (ILX)
1410,UNK,1 S BRADFORD,STARK,IL,41.16,-89.66,NORTH SIDE OF GARAGE DESTROYED. TREE DOWN APPROXIMATELY 75 TO 100 FT HIGH. ANOTHER TREE ON OTHER SIDE OF HOUSE DOWN,LYING IN A DIFFERENT DIRECTION. THIRD TREE DOWN ACR (ILX)
1414,UNK,1 S PRINCETON,BUREAU,IL,41.36,-89.47,POWER LINES DOWN NEAR MILE MARKER 52 ALONG INTERSTATE 80. (DVN)
1440,UNK,3 SW CHILLICOTHE,PEORIA,IL,40.89,-89.54,MORTON BUILD DOWN. (ILX)
1440,75,2 W CHILLICOTHE,PEORIA,IL,40.92,-89.54,4 INCH DIAMETER TREE LIMBS DOWN. (ILX)
1450,UNK,OTTAWA,LA SALLE,IL,41.35,-88.84,MANY LIMBS DOWN ON SOUTH SIDE OF TOWN. (LOT)
1540,UNK,SPRINGFIELD,SANGAMON,IL,39.78,-89.64,TREES AND POWER LINES DOWN AT LINCOLN PARK AND 22ND STREET. (ILX)
1545,UNK,LAWSON,RAY,MO,39.44,-94.21,BARN DAMAGED AND TREES DOWN...FROM LAWSON TO JUST NORTHEAST OF TOWN. (EAX)
1600,UNK,E WENONA,LA SALLE,IL,41.05,-89.05,PIECES OF SIDING BLOWN OFF A HOME AND ONTO ROUTE 17. TREE BLOWN DOWN. (LOT)
1617,UNK,ROMEOVILLE,WILL,IL,41.65,-88.09,POWER LINES DOWN - STREET FLOODING. (LOT)
1645,UNK,1 NW VICCO,PERRY,KY,37.23,-83.07,TREES DOWNED. ONE TREE FELL ON A HOUSE. ANOTHER TREE DAMAGED A TRAILER. (JKL)
1700,UNK,WILMINGTON,WILL,IL,41.3,-88.16,2 LARGE TREES DOWN. (LOT)
1726,UNK,VICCO,PERRY,KY,37.22,-83.06,TREES AND POWERLINES DOWN IN VICCO. (JKL)
1730,UNK,DUBOIS,DUBOIS,IN,38.45,-86.8,NUMEROUS TREES DAMAGED OR DOWN. (LMK)
1745,UNK,7 ESE LOWELL,LAKE,IN,41.26,-87.29,SEMI TRACTOR TRAILER OVERTURNED BY WIND ON INTERSTATE 65 AT MILE MARKER 238. (LOT)
1752,UNK,5 W WHEATFIELD,JASPER,IN,41.19,-87.05,TREES AND POWER LINES DOWN. (LOT)
1752,UNK,10 SW VALPARAISO,PORTER,IN,41.37,-87.19,POWER LINES AND LARGE LIMBS DOWN IN HEBRON INDIANA. (LOT)
1813,60,KIRKSVILLE,ADAIR,MO,40.2,-92.58,(EAX)
1820,60,2 SE CLIMAX SPGS,CAMDEN,MO,38.08,-93.02,ESTIMATED 50-60 MPH WIND GUSTS WITH SMALL TREE BRANCHES BROKEN OFF. (SGF)
1825,UNK,KNOX,STARKE,IN,41.29,-86.62,TREE BLOWN DOWN (IWX)
1830,UNK,2 SW BARNUMTON,CAMDEN,MO,38.1,-92.96,MINOR STRUCTURAL DAMAGE. (SGF)
1836,UNK,WOOTON,LESLIE,KY,37.18,-83.3,HUGE OAK TREE OVER HWY 80 NEAR WOOTEN FIRE DEPARTMENT (JKL)
1841,UNK,1 N URBANA,DALLAS,MO,37.84,-93.17,TREE LIMBS DOWN JUST NORTH OF URBANA. (SGF)
1842,UNK,HUMANSVILLE,POLK,MO,37.8,-93.58,TREES OF 14-16 INCHES IN DIAMETER BLOWN OVER. (SGF)
1845,60,BRANCH,CAMDEN,MO,37.92,-93,REPORTED BY LAW ENFORCEMENT. (SGF)
1850,UNK,3 NE WISE,WISE,VA,37.01,-82.54,A LARGE TREE DOWNED ACROSS DOTSON CREEK ROAD. (MRX)
1850,UNK,BENTON HARBOR,BERRIEN,MI,42.12,-86.45,TREE DOWN ACROSS ROAD. (IWX)
1856,UNK,SOUTH BEND,ST. JOSEPH,IN,41.68,-86.27,SEVERAL TREES DOWN (IWX)
1901,UNK,NILES,BERRIEN,MI,41.83,-86.25,TREES DOWN IN 3 LOCATIONS WITHIN THE CITY LIMITS. (IWX)
1903,UNK,EDWARDSBURG,CASS,MI,41.8,-86.08,SEVERAL TREES DOWN (IWX)
1904,UNK,5 SW COOKSON,CHEROKEE,OK,35.66,-94.98,LARGE LIMBS DOWN/POWER OUTAGES...REPORTED AROUND WILDERNESS LODGE. (TUL)
1904,UNK,BELLA VISTA,BENTON,AR,36.43,-94.23,TREE LIMBS DOWN (TUL)
1910,UNK,UNION CITY,BRANCH,MI,42.07,-85.14,SEVERAL TREES DOWN (IWX)
1910,UNK,HAMILTON,ALLEGAN,MI,42.68,-86.01,FEW TREES DOWN NEAR HAMILTON (GRR)
1918,60,4 W SCHOOLCRAFT,KALAMAZOO,MI,42.12,-85.71,WIND SPEED WAS ESTIMATED (GRR)
1925,UNK,CONSTANTINE,ST. JOSEPH,MI,41.84,-85.67,SEVERAL TREES DOWN (IWX)
1928,60,DONNELLSON,LEE,IA,40.64,-91.56,(DVN)
1930,70,1 N WILLARD,GREENE,MO,37.31,-93.43,(SGF)
1932,UNK,HURRICANE DECK,CAMDEN,MO,38.13,-92.8,TREES AND POWER LINES DOWN. (SGF)
1935,UNK,JEFFERSONVILLE,CLARK,IN,38.3,-85.73,PIC PAK STORE ON 10TH STREET ROOF TORN UP. (LMK)
1940,80,NAUVOO,HANCOCK,IL,40.55,-91.38,(DVN)
1948,60,MACKS CREEK,CAMDEN,MO,37.97,-92.98,(SGF)
1955,UNK,4 NE LAGRANGE,LAGRANGE,IN,41.68,-85.36,TREE BLOWN DOWN (IWX)
2000,UNK,4 SE GAINESVILLE,OZARK,MO,36.56,-92.38,SEVERAL TREES AND POWERLINES DOWN (SGF)
2003,UNK,SHERWOOD,BRANCH,MI,42,-85.24,TREE BLOWN DOWN (IWX)
2010,UNK,NIXONVILLE,HORRY,SC,33.83,-78.89,TREE DOWN ON HWY 90 (ILM)
2015,UNK,2 S HERMITAGE,HICKORY,MO,37.9,-93.33,TREES AND POWER LINES DOWN. (SGF)
2018,UNK,ANTLERS,PUSHMATAHA,OK,34.23,-95.62,LARGE TREE LIMBS DOWN (TUL)
2020,UNK,2 E BLANDINSVILLE,MCDONOUGH,IL,40.55,-90.83,TIME ESTIMATED. POWERLINES DOWN. PROPANE TANK...STORAGE SHED...AND SEMI TRUCK BLOWN OVER. (DVN)
2025,UNK,TIPTON,MONITEAU,MO,38.65,-92.78,TREES DOWN (LSX)
2025,UNK,4 S HARRISBURG,BOONE,MO,39.08,-92.46,SMALL TREE LIMBS DOWN 4 SOUTH OF HARRISBURG (LSX)
2030,UNK,2 W JAMESTOWN,CLINTON,IL,38.73,-89.55,6 INCH TREE DOWN (LSX)
2034,UNK,BURLINGTON,DES MOINES,IA,40.81,-91.12,TREES AND POWERLINES DOWN. (DVN)
2035,UNK,HERMITAGE,HICKORY,MO,37.93,-93.33,TREES DOWN. (SGF)
2040,70,PANAMA,LE FLORE,OK,35.17,-94.67,(TUL)
2040,UNK,QUINCY,ADAMS,IL,39.93,-91.39,NUMEROUS TREES AND POWER LINES BLOWN DOWN IN THE CITY OF QUINCY...REPORTED BY COUNTY 911. (LSX)
2045,UNK,BLANDINSVILLE,MCDONOUGH,IL,40.55,-90.87,DAMAGE ON EAST SIDE OF BLANDINSVILLE. TRAILER HOME COMPLETLY DESTROYED. ANOTHER TRAILER HOME TOP RIPPED OFF. SEMI TRAILER BLOWN OVER. QUANSET HUT TYPE METAL BUILDING DE (DVN)
2050,UNK,FLIPPIN,MARION,AR,36.28,-92.59,LARGE LIMBS DOWN. (LIT)
2050,UNK,BOONVILLE,COOPER,MO,38.96,-92.75,LARGE TREES BLOWN DOWN IN BOONVILLE. (EAX)
2058,UNK,7 S AMANA,IOWA,IA,41.7,-91.87,TWO GRAIN BINS DAMAGED AND TREES DOWN (DVN)
2100,UNK,VAN BUREN,CRAWFORD,AR,35.44,-94.35,SEVERAL TREES BLOWN DOWN AND MINOR ROOF DAMAGE (TUL)
2100,UNK,BARBOURVILLE,KNOX,KY,36.87,-83.88,EMERGENCY MANAGER REPORTS ROOF BLOWN OFF CHURCH AT BLUE GABLE STARIGHTS ON HWY 25E. BLUE GABLE STRAIGHTS IS ON HWY 25E AND EXTENDS ONE MILE TO THE WEST. (JKL)
2100,UNK,3 N ATKINSON,HENRY,IL,41.46,-90.01,VERY LARGE BRANCHES BROKEN OFF WALNUT TREE. (DVN)
2113,UNK,AURORA,MADISON,AR,36,-93.7,LARGE TREE LIMBS DOWN (TUL)
2115,UNK,CLARK,RANDOLPH,MO,39.28,-92.34,POWER LINES DOWNED BY FALLEN TREE (EAX)
2125,UNK,ERBIE,NEWTON,AR,36.08,-93.23,LIMBS DOWN. (LIT)
2128,UNK,CECIL,FRANKLIN,AR,35.44,-93.94,SEVERAL TREES DOWN (TUL)
2135,UNK,MOUNTAIN HOME,BAXTER,AR,36.34,-92.38,TREES AND POWER LINES DOWN. (LIT)
2135,UNK,6 NW SPRUCE PINE,MITCHELL,NC,36.98,-83.52,LOTS OF LIMBS BLOWN INTO ROAD...AT LEAST ONE TREE...AND LOTS OF GRAVEL WASHED FROM HEAVY RAINFALL. FOUND WHEN RETURNED HOME. (GSP)
2143,UNK,MORTON,TAZEWELL,IL,40.61,-89.47,SEVERAL TREES DOWN 12-18 INCHES IN DIAMETER. TIME ESTIMATED. (ILX)
2145,UNK,DARDENNE PRAIRIE,ST. CHARLES,MO,38.75,-90.73,SEVERAL TREES DOWN AND SEVERAL DAMAGED IN TWIN CHIMNEYS SUBDIVISION. TIME ESTIMATED. (LSX)
2148,UNK,COAL HILL,JOHNSON,AR,35.44,-93.67,LARGE LIMBS DOWN. (LIT)
