Lon,Lat,Line,Shot,UTMX,UTMY,YEAR,JD:HR:MIN:SEC
-80.482581,25.781377,01b01,745,551878,2851575,2001,337:18:06:54
-80.482571,25.781449,01b01,756,551879,2851583,2001,337:18:06:59
-80.482560,25.781558,01b01,773,551880,2851595,2001,337:18:07:07
-80.482550,25.781720,01b01,796,551881,2851613,2001,337:18:07:19
-80.482539,25.781910,01b01,824,551882,2851634,2001,337:18:07:33
-80.482528,25.782045,01b01,843,551883,2851649,2001,337:18:07:43
-80.482518,25.782154,01b01,860,551884,2851661,2001,337:18:07:51
-80.482507,25.782316,01b01,885,551885,2851679,2001,337:18:08:04
-80.482496,25.782605,01b01,927,551886,2851711,2001,337:18:08:24
-80.482485,25.782749,01b01,945,551887,2851727,2001,337:18:08:34
-80.482495,25.782840,01b01,960,551886,2851737,2001,337:18:08:41
-80.482504,25.782975,01b01,980,551885,2851752,2001,337:18:08:51
-80.482514,25.783075,01b01,993,551884,2851763,2001,337:18:08:58
-80.482503,25.783282,01b01,1022,551885,2851786,2001,337:18:09:12
-80.482512,25.783598,01b01,1068,551884,2851821,2001,337:18:09:35
-80.482521,25.783734,01b01,1086,551883,2851836,2001,337:18:09:44
-80.482530,25.783851,01b01,1103,551882,2851849,2001,337:18:09:53
-80.482540,25.783960,01b01,1120,551881,2851861,2001,337:18:10:01
-80.482549,25.784059,01b01,1134,551880,2851872,2001,337:18:10:08
-80.482559,25.784204,01b01,1153,551879,2851888,2001,337:18:10:17
-80.482568,25.784330,01b01,1172,551878,2851902,2001,337:18:10:27
-80.482578,25.784447,01b01,1188,551877,2851915,2001,337:18:10:35
-80.482587,25.784547,01b01,1203,551876,2851926,2001,337:18:10:42
-80.482597,25.784655,01b01,1219,551875,2851938,2001,337:18:10:51
-80.482606,25.784773,01b01,1236,551874,2851951,2001,337:18:10:59
-80.482615,25.784998,01b01,1270,551873,2851976,2001,337:18:11:16
-80.482624,25.785152,01b01,1290,551872,2851993,2001,337:18:11:26
-80.482633,25.785414,01b01,1330,551871,2852022,2001,337:18:11:46
-80.482643,25.785531,01b01,1347,551870,2852035,2001,337:18:11:54
-80.482652,25.785766,01b01,1382,551869,2852061,2001,337:18:12:12
-80.482661,25.785911,01b01,1404,551868,2852077,2001,337:18:12:23
-80.482671,25.785938,01b01,1407,551867,2852080,2001,337:18:12:25
-80.482681,25.785992,01b01,1416,551866,2852086,2001,337:18:12:29
-80.482690,25.786046,01b01,1424,551865,2852092,2001,337:18:12:33
-80.482700,25.786100,01b01,1432,551864,2852098,2001,337:18:12:37
-80.482710,25.786155,01b01,1440,551863,2852104,2001,337:18:12:41
-80.482720,25.786200,01b01,1447,551862,2852109,2001,337:18:12:44
-80.482729,25.786236,01b01,1451,551861,2852113,2001,337:18:12:46
-80.482739,25.786281,01b01,1459,551860,2852118,2001,337:18:12:51
-80.482749,25.786335,01b01,1465,551859,2852124,2001,337:18:12:54
-80.482759,25.786389,01b01,1474,551858,2852130,2001,337:18:12:58
-80.482768,25.786453,01b01,1484,551857,2852137,2001,337:18:13:03
-80.482778,25.786489,01b01,1491,551856,2852141,2001,337:18:13:06
-80.482788,25.786543,01b01,1496,551855,2852147,2001,337:18:13:09
-80.482798,25.786615,01b01,1507,551854,2852155,2001,337:18:13:15
-80.482807,25.786697,01b01,1520,551853,2852164,2001,337:18:13:21
-80.482815,25.787238,01b01,1599,551852,2852224,2001,337:18:14:00
-80.482824,25.787473,01b01,1634,551851,2852250,2001,337:18:14:18
-80.482833,25.787663,01b01,1663,551850,2852271,2001,337:18:14:33
-80.482843,25.787753,01b01,1676,551849,2852281,2001,337:18:14:39
-80.482852,25.787835,01b01,1689,551848,2852290,2001,337:18:14:45
-80.482862,25.787916,01b01,1701,551847,2852299,2001,337:18:14:51
-80.482872,25.787979,01b01,1709,551846,2852306,2001,337:18:14:56
-80.482881,25.788051,01b01,1719,551845,2852314,2001,337:18:15:01
-80.482891,25.788106,01b01,1728,551844,2852320,2001,337:18:15:05
-80.482901,25.788151,01b01,1734,551843,2852325,2001,337:18:15:08
-80.482910,25.788196,01b01,1742,551842,2852330,2001,337:18:15:12
-80.482920,25.788250,01b01,1750,551841,2852336,2001,337:18:15:16
-80.482930,25.788304,01b01,1757,551840,2852342,2001,337:18:15:20
-80.482940,25.788341,01b01,1767,551839,2852346,2001,337:18:15:24
-80.482949,25.788422,01b01,1776,551838,2852355,2001,337:18:15:29
-80.482959,25.788548,01b01,1794,551837,2852369,2001,337:18:15:38
-80.482948,25.788819,01b01,1834,551838,2852399,2001,337:18:15:58
-80.482957,25.788982,01b01,1859,551837,2852417,2001,337:18:16:10
-80.482966,25.789108,01b01,1876,551836,2852431,2001,337:18:16:19
-80.482976,25.789162,01b01,1884,551835,2852437,2001,337:18:16:23
-80.482986,25.789217,01b01,1892,551834,2852443,2001,337:18:16:27
-80.482996,25.789280,01b01,1903,551833,2852450,2001,337:18:16:32
-80.483005,25.789334,01b01,1911,551832,2852456,2001,337:18:16:36
-80.483015,25.789397,01b01,1918,551831,2852463,2001,337:18:16:40
-80.483025,25.789452,01b01,1925,551830,2852469,2001,337:18:16:44
-80.483034,25.789533,01b01,1938,551829,2852478,2001,337:18:16:50
-80.483044,25.789605,01b01,1949,551828,2852486,2001,337:18:16:55
-80.483032,25.790011,01b01,2009,551829,2852531,2001,337:18:17:25
-80.483041,25.790382,01b01,2061,551828,2852572,2001,337:18:17:52
-80.483050,25.790427,01b01,2065,551827,2852577,2001,337:18:17:54
-80.483060,25.790481,01b01,2075,551826,2852583,2001,337:18:17:59
-80.483070,25.790535,01b01,2082,551825,2852589,2001,337:18:18:02
-80.483080,25.790599,01b01,2090,551824,2852596,2001,337:18:18:06
-80.483089,25.790635,01b01,2098,551823,2852600,2001,337:18:18:10
-80.483099,25.790671,01b01,2105,551822,2852604,2001,337:18:18:13
-80.483109,25.790725,01b01,2112,551821,2852610,2001,337:18:18:17
-80.483119,25.790770,01b01,2119,551820,2852615,2001,337:18:18:21
-80.483128,25.790833,01b01,2128,551819,2852622,2001,337:18:18:25
-80.483138,25.790924,01b01,2142,551818,2852632,2001,337:18:18:32
-80.483147,25.791159,01b01,2175,551817,2852658,2001,337:18:18:49
-80.483136,25.791348,01b01,2204,551818,2852679,2001,337:18:19:03
-80.483145,25.791574,01b01,2237,551817,2852704,2001,337:18:19:20
-80.483155,25.791673,01b01,2252,551816,2852715,2001,337:18:19:27
-80.483164,25.791746,01b01,2261,551815,2852723,2001,337:18:19:31
-80.483174,25.791773,01b01,2267,551814,2852726,2001,337:18:19:35
-80.483184,25.791854,01b01,2277,551813,2852735,2001,337:18:19:40
-80.483194,25.791908,01b01,2286,551812,2852741,2001,337:18:19:44
-80.483203,25.791999,01b01,2299,551811,2852751,2001,337:18:19:51
-80.483213,25.792044,01b01,2306,551810,2852756,2001,337:18:19:54
-80.483223,25.792107,01b01,2318,551809,2852763,2001,337:18:20:00
-80.483232,25.792179,01b01,2325,551808,2852771,2001,337:18:20:04
-80.483242,25.792243,01b01,2336,551807,2852778,2001,337:18:20:09
-80.483261,25.792396,01b01,2357,551805,2852795,2001,337:18:20:20
-80.483271,25.792477,01b01,2369,551804,2852804,2001,337:18:20:26
-80.483280,25.792604,01b01,2386,551803,2852818,2001,337:18:20:34
-80.483291,25.783330,01b01,2413,551806,2851791,2001,337:18:20:47
-80.483289,25.792848,01b01,2423,551802,2852845,2001,337:18:20:53
-80.483298,25.793083,01b01,2459,551801,2852871,2001,337:18:21:10
-80.483316,25.793597,01b01,2534,551799,2852928,2001,337:18:21:48
-80.483325,25.793697,01b01,2548,551798,2852939,2001,337:18:21:55
-80.483335,25.793751,01b01,2554,551797,2852945,2001,337:18:21:58
-80.483355,25.793850,01b01,2594,551795,2852956,2001,337:18:22:18
-80.483394,25.794094,01b01,2606,551791,2852983,2001,337:18:22:23
-80.483403,25.794121,01b01,2608,551790,2852986,2001,337:18:22:26
-80.483413,25.794185,01b01,2619,551789,2852993,2001,337:18:22:31
-80.483423,25.794320,01b01,2652,551788,2853008,2001,337:18:22:47
-80.483432,25.794428,01b01,2654,551787,2853020,2001,337:18:22:48
-80.483441,25.794582,01b01,2677,551786,2853037,2001,337:18:23:00
-80.483449,25.795043,01b01,2745,551785,2853088,2001,337:18:23:34
-80.483459,25.795169,01b01,2764,551784,2853102,2001,337:18:23:43
-80.483468,25.795332,01b01,2787,551783,2853120,2001,337:18:23:55
-80.483478,25.795413,01b01,2800,551782,2853129,2001,337:18:24:01
-80.483487,25.795512,01b01,2815,551781,2853140,2001,337:18:24:09
-80.483496,25.795666,01b01,2836,551780,2853157,2001,337:18:24:19
-80.483506,25.795864,01b01,2917,551779,2853179,2001,337:18:25:00
-80.483524,25.796262,01b01,2925,551777,2853223,2001,337:18:25:04
-80.483533,25.796415,01b01,2946,551776,2853240,2001,337:18:25:14
-80.483542,25.796632,01b01,2981,551775,2853264,2001,337:18:25:32
-80.483552,25.796722,01b01,2989,551774,2853274,2001,337:18:25:36
-80.483562,25.796759,01b01,2997,551773,2853278,2001,337:18:25:39
-80.483571,25.796849,01b01,3008,551772,2853288,2001,337:18:25:45
-80.483581,25.796939,01b01,3029,551771,2853298,2001,337:18:25:56
-80.483600,25.797057,01b01,3042,551769,2853311,2001,337:18:26:02
-80.483610,25.797129,01b01,3052,551768,2853319,2001,337:18:26:07
-80.483629,25.797256,01b01,3072,551766,2853333,2001,337:18:26:17
-80.483639,25.797319,01b01,3077,551765,2853340,2001,337:18:26:19
-80.483649,25.797418,01b01,3122,551764,2853351,2001,337:18:26:42
-80.483678,25.797626,01b01,3124,551761,2853374,2001,337:18:26:43
-80.483666,25.797879,01b01,3162,551762,2853402,2001,337:18:27:02
-80.483656,25.797969,01b01,3176,551763,2853412,2001,337:18:27:09
-80.483646,25.798068,01b01,3222,551764,2853423,2001,337:18:27:32
-80.483605,25.798285,01b01,3224,551768,2853447,2001,337:18:27:33
-80.483614,25.798465,01b01,3249,551767,2853467,2001,337:18:27:46
-80.483623,25.798592,01b01,3285,551766,2853481,2001,337:18:28:04
-80.483612,25.798872,01b01,3312,551767,2853512,2001,337:18:28:17
-80.483602,25.798989,01b01,3328,551768,2853525,2001,337:18:28:25
-80.483592,25.799052,01b01,3336,551769,2853532,2001,337:18:28:30
-80.483581,25.799161,01b01,3353,551770,2853544,2001,337:18:28:38
-80.483571,25.799278,01b01,3373,551771,2853557,2001,337:18:28:47
-80.483579,25.799567,01b01,3415,551770,2853589,2001,337:18:29:09
-80.483568,25.799919,01b01,3467,551771,2853628,2001,337:18:29:35
-80.483557,25.800073,01b01,3489,551772,2853645,2001,337:18:29:45
-80.483543,25.800985,01b01,3619,551773,2853746,2001,337:18:30:51
-80.483521,25.801526,01b01,3696,551775,2853806,2001,337:18:31:29
-80.483510,25.801698,01b01,3722,551776,2853825,2001,337:18:31:42
-80.483500,25.801815,01b01,3740,551777,2853838,2001,337:18:31:51
-80.483489,25.801932,01b01,3759,551778,2853851,2001,337:18:32:01
-80.483479,25.802095,01b01,3782,551779,2853869,2001,337:18:32:12
-80.483468,25.802257,01b01,3806,551780,2853887,2001,337:18:32:25
-80.483457,25.802456,01b01,3838,551781,2853909,2001,337:18:32:40
-80.483446,25.802619,01b01,3883,551782,2853927,2001,337:18:33:03
-80.483436,25.802817,01b01,3894,551783,2853949,2001,337:18:33:08
-80.483445,25.802998,01b01,3921,551782,2853969,2001,337:18:33:22
-80.483454,25.803097,01b01,3992,551781,2853980,2001,337:18:33:58
-80.483472,25.803576,01b01,4015,551779,2854033,2001,337:18:34:09
-80.483452,25.803693,01b01,4023,551781,2854046,2001,337:18:34:13
-80.483442,25.803729,01b01,4028,551782,2854050,2001,337:18:34:15
-80.483432,25.803756,01b01,4031,551783,2854053,2001,337:18:34:17
-80.483421,25.803856,01b01,4060,551784,2854064,2001,337:18:34:32
-80.483401,25.803991,01b01,4066,551786,2854079,2001,337:18:34:35
-80.483390,25.804081,01b01,4080,551787,2854089,2001,337:18:34:41
-80.483399,25.804307,01b01,4129,551786,2854114,2001,337:18:35:06
-80.483418,25.804515,01b01,4146,551784,2854137,2001,337:18:35:14
-80.483428,25.804623,01b01,4244,551783,2854149,2001,337:18:36:03
-80.483375,25.805264,01b01,4259,551788,2854220,2001,337:18:36:10
-80.483365,25.805336,01b01,4272,551789,2854228,2001,337:18:36:17
-80.483355,25.805390,01b01,4277,551790,2854234,2001,337:18:36:20
-80.483344,25.805481,01b01,4295,551791,2854244,2001,337:18:36:29
-80.483334,25.805598,01b01,4310,551792,2854257,2001,337:18:36:37
-80.483324,25.805643,01b01,4318,551793,2854262,2001,337:18:36:41
-80.483330,25.806510,01b01,4675,551792,2854358,2001,337:18:39:39
-80.483233,25.808072,01b01,4841,551801,2854531,2001,337:18:41:02
-80.483159,25.809164,01b01,4858,551808,2854652,2001,337:18:41:10
-80.483123,25.810519,01b01,5053,551811,2854802,2001,337:18:42:48
-80.483113,25.810546,01b01,5058,551812,2854805,2001,337:18:42:50
-80.483102,25.810699,01b01,5078,551813,2854822,2001,337:18:43:00
-80.483091,25.810916,01b01,5112,551814,2854846,2001,337:18:43:17
-80.483081,25.811006,01b01,5124,551815,2854856,2001,337:18:43:23
-80.483071,25.811087,01b01,5137,551816,2854865,2001,337:18:43:29
-80.483060,25.811160,01b01,5149,551817,2854873,2001,337:18:43:36
-80.483069,25.811521,01b01,5201,551816,2854913,2001,337:18:44:02
-80.483078,25.811629,01b01,5218,551815,2854925,2001,337:18:44:10
-80.483088,25.811719,01b01,5230,551814,2854935,2001,337:18:44:16
-80.483097,25.811801,01b01,5245,551813,2854944,2001,337:18:44:23
-80.483107,25.811936,01b01,5264,551812,2854959,2001,337:18:44:33
-80.483096,25.812054,01b01,5281,551813,2854972,2001,337:18:44:41
-80.483085,25.812243,01b01,5310,551814,2854993,2001,337:18:44:56
-80.483075,25.812415,01b01,5335,551815,2855012,2001,337:18:45:08
-80.483064,25.812523,01b01,5351,551816,2855024,2001,337:18:45:17
-80.483073,25.812875,01b01,5403,551815,2855063,2001,337:18:45:43
-80.483063,25.812884,01b01,5405,551816,2855064,2001,337:18:45:44
-80.483073,25.812902,01b01,5407,551815,2855066,2001,337:18:45:45
-80.483082,25.812984,01b01,5420,551814,2855075,2001,337:18:45:51
-80.483092,25.813065,01b01,5432,551813,2855084,2001,337:18:45:57
-80.483102,25.813128,01b01,5441,551812,2855091,2001,337:18:46:01
-80.483111,25.813200,01b01,5451,551811,2855099,2001,337:18:46:06
-80.483121,25.813273,01b01,5464,551810,2855107,2001,337:18:46:13
-80.483130,25.813399,01b01,5482,551809,2855121,2001,337:18:46:22
-80.483138,25.813932,01b01,5559,551808,2855180,2001,337:18:47:01
-80.483147,25.814203,01b01,5599,551807,2855210,2001,337:18:47:20
-80.483156,25.814374,01b01,5626,551806,2855229,2001,337:18:47:34
-80.483165,25.814510,01b01,5645,551805,2855244,2001,337:18:47:43
-80.483175,25.814663,01b01,5667,551804,2855261,2001,337:18:47:55
-80.483184,25.814781,01b01,5684,551803,2855274,2001,337:18:48:03
-80.483194,25.814889,01b01,5701,551802,2855286,2001,337:18:48:11
-80.483203,25.815007,01b01,5717,551801,2855299,2001,337:18:48:20
-80.483212,25.815151,01b01,5740,551800,2855315,2001,337:18:48:31
-80.483201,25.815567,01b01,5799,551801,2855361,2001,337:18:49:00
-80.483209,25.815946,01b01,5855,551800,2855403,2001,337:18:49:28
-80.483218,25.816145,01b01,5884,551799,2855425,2001,337:18:49:43
-80.483227,25.816307,01b01,5907,551798,2855443,2001,337:18:49:54
-80.483237,25.816416,01b01,5923,551797,2855455,2001,337:18:50:03
-80.483246,25.816515,01b01,5938,551796,2855466,2001,337:18:50:10
-80.483256,25.816605,01b01,5950,551795,2855476,2001,337:18:50:16
-80.483266,25.816696,01b01,5963,551794,2855486,2001,337:18:50:22
-80.483275,25.816777,01b01,5975,551793,2855495,2001,337:18:50:29
-80.483285,25.816921,01b01,5998,551792,2855511,2001,337:18:50:40
-80.483294,25.817111,01b01,6025,551791,2855532,2001,337:18:50:54
-80.483302,25.817445,01b01,6073,551790,2855569,2001,337:18:51:18
-80.483310,25.817987,01b01,6152,551789,2855629,2001,337:18:51:57
-80.483320,25.818068,01b01,6162,551788,2855638,2001,337:18:52:02
-80.483329,25.818168,01b01,6177,551787,2855649,2001,337:18:52:10
-80.483339,25.818267,01b01,6192,551786,2855660,2001,337:18:52:17
-80.483348,25.818348,01b01,6204,551785,2855669,2001,337:18:52:23
-80.483358,25.818430,01b01,6214,551784,2855678,2001,337:18:52:28
-80.483367,25.818538,01b01,6231,551783,2855690,2001,337:18:52:37
-80.483377,25.818683,01b01,6254,551782,2855706,2001,337:18:52:48
-80.483365,25.819026,01b01,6304,551783,2855744,2001,337:18:53:13
-80.483374,25.819287,01b01,6341,551782,2855773,2001,337:18:53:32
-80.483364,25.819315,01b01,6346,551783,2855776,2001,337:18:53:34
-80.483374,25.819333,01b01,6348,551782,2855778,2001,337:18:53:35
-80.483364,25.819396,01b01,6358,551783,2855785,2001,337:18:53:40
-80.483352,25.819721,01b01,6406,551784,2855821,2001,337:18:54:04
-80.483360,25.820172,01b01,6471,551783,2855871,2001,337:18:54:36
-80.483350,25.820190,01b01,6473,551784,2855873,2001,337:18:54:37
-80.483360,25.820199,01b01,6474,551783,2855874,2001,337:18:54:38
-80.483369,25.820398,01b01,6504,551782,2855896,2001,337:18:54:53
-80.483379,25.820488,01b01,6518,551781,2855906,2001,337:18:55:00
-80.483388,25.820624,01b01,6537,551780,2855921,2001,337:18:55:09
-80.483398,25.820732,01b01,6553,551779,2855933,2001,337:18:55:18
-80.483407,25.820895,01b01,6576,551778,2855951,2001,337:18:55:29
-80.483417,25.820994,01b01,6591,551777,2855962,2001,337:18:55:37
-80.483426,25.821076,01b01,6603,551776,2855971,2001,337:18:55:43
-80.483436,25.821139,01b01,6614,551775,2855978,2001,337:18:55:48
-80.483446,25.821193,01b01,6622,551774,2855984,2001,337:18:55:52
-80.483455,25.821265,01b01,6631,551773,2855992,2001,337:18:55:56
-80.483465,25.821329,01b01,6641,551772,2855999,2001,337:18:56:01
-80.483475,25.821410,01b01,6653,551771,2856008,2001,337:18:56:08
-80.483464,25.821681,01b01,6693,551772,2856038,2001,337:18:56:27
-80.483453,25.821771,01b01,6708,551773,2856048,2001,337:18:56:35
-80.483443,25.821843,01b01,6718,551774,2856056,2001,337:18:56:40
-80.483433,25.821924,01b01,6729,551775,2856065,2001,337:18:56:45
-80.483422,25.822006,01b01,6741,551776,2856074,2001,337:18:56:52
-80.483431,25.822159,01b01,6764,551775,2856091,2001,337:18:57:03
-80.483441,25.822295,01b01,6782,551774,2856106,2001,337:18:57:12
-80.483451,25.822358,01b01,6793,551773,2856113,2001,337:18:57:18
-80.483460,25.822439,01b01,6805,551772,2856122,2001,337:18:57:24
-80.483470,25.822493,01b01,6813,551771,2856128,2001,337:18:57:28
-80.483480,25.822557,01b01,6824,551770,2856135,2001,337:18:57:33
-80.483489,25.822620,01b01,6834,551769,2856142,2001,337:18:57:38
-80.483499,25.822692,01b01,6843,551768,2856150,2001,337:18:57:42
-80.483509,25.822737,01b01,6851,551767,2856155,2001,337:18:57:47
-80.483518,25.822810,01b01,6861,551766,2856163,2001,337:18:57:52
-80.483528,25.822873,01b01,6872,551765,2856170,2001,337:18:57:57
-80.483538,25.822963,01b01,6884,551764,2856180,2001,337:18:58:03
-80.483547,25.823035,01b01,6895,551763,2856188,2001,337:18:58:08
-80.483557,25.823135,01b01,6911,551762,2856199,2001,337:18:58:17
-80.483547,25.823198,01b01,6922,551763,2856206,2001,337:18:58:22
-80.483536,25.823352,01b01,6943,551764,2856223,2001,337:18:58:32
-80.483525,25.823523,01b01,6969,551765,2856242,2001,337:18:58:46
-80.483535,25.823577,01b01,6978,551764,2856248,2001,337:18:58:50
-80.483545,25.823695,01b01,6997,551763,2856261,2001,337:18:58:59
-80.483554,25.823749,01b01,7003,551762,2856267,2001,337:18:59:03
-80.483564,25.823803,01b01,7011,551761,2856273,2001,337:18:59:07
-80.483574,25.823848,01b01,7017,551760,2856278,2001,337:18:59:10
-80.483584,25.823902,01b01,7025,551759,2856284,2001,337:18:59:14
-80.483593,25.823957,01b01,7034,551758,2856290,2001,337:18:59:18
-80.483603,25.824020,01b01,7043,551757,2856297,2001,337:18:59:22
-80.483613,25.824092,01b01,7053,551756,2856305,2001,337:18:59:28
-80.483622,25.824192,01b01,7067,551755,2856316,2001,337:18:59:35
-80.483632,25.824282,01b01,7082,551754,2856326,2001,337:18:59:42
-80.483621,25.824580,01b01,7125,551755,2856359,2001,337:19:00:04
-80.483610,25.824697,01b01,7140,551756,2856372,2001,337:19:00:11
-80.483600,25.824778,01b01,7152,551757,2856381,2001,337:19:00:17
-80.483608,25.825140,01b01,7205,551756,2856421,2001,337:19:00:44
-80.483618,25.825248,01b01,7221,551755,2856433,2001,337:19:00:52
-80.483627,25.825329,01b01,7234,551754,2856442,2001,337:19:00:58
-80.483637,25.825384,01b01,7242,551753,2856448,2001,337:19:01:02
-80.483647,25.825420,01b01,7246,551752,2856452,2001,337:19:01:04
-80.483657,25.825474,01b01,7255,551751,2856458,2001,337:19:01:08
-80.483666,25.825582,01b01,7269,551750,2856470,2001,337:19:01:16
-80.483655,25.825826,01b01,7302,551751,2856497,2001,337:19:01:32
-80.483644,25.825989,01b01,7328,551752,2856515,2001,337:19:01:45
-80.483652,25.826413,01b01,7390,551751,2856562,2001,337:19:02:16
-80.483662,25.826521,01b01,7405,551750,2856574,2001,337:19:02:23
-80.483671,25.826657,01b01,7425,551749,2856589,2001,337:19:02:34
-80.483680,25.826901,01b01,7461,551748,2856616,2001,337:19:02:52
-80.483690,25.827081,01b01,7488,551747,2856636,2001,337:19:03:05
-80.483699,25.827280,01b01,7517,551746,2856658,2001,337:19:03:20
-80.483706,25.827840,01b01,7598,551745,2856720,2001,337:19:04:00
-80.483716,25.827903,01b01,7606,551744,2856727,2001,337:19:04:04
-80.483726,25.827957,01b01,7614,551743,2856733,2001,337:19:04:08
-80.483735,25.828012,01b01,7623,551742,2856739,2001,337:19:04:13
-80.483745,25.828084,01b01,7633,551741,2856747,2001,337:19:04:18
-80.483755,25.828183,01b01,7648,551740,2856758,2001,337:19:04:25
-80.483764,25.828292,01b01,7663,551739,2856770,2001,337:19:04:32
-80.483774,25.828382,01b01,7677,551738,2856780,2001,337:19:04:40
-80.483783,25.828463,01b01,7689,551737,2856789,2001,337:19:04:46
-80.483793,25.828581,01b01,7706,551736,2856802,2001,337:19:04:54
-80.483781,25.828906,01b01,7756,551737,2856838,2001,337:19:05:19
-80.483771,25.829014,01b01,7770,551738,2856850,2001,337:19:05:27
-80.483761,25.829086,01b01,7783,551739,2856858,2001,337:19:05:33
-80.483750,25.829167,01b01,7795,551740,2856867,2001,337:19:05:39
-80.483740,25.829276,01b01,7810,551741,2856879,2001,337:19:05:46
-80.483749,25.829456,01b01,7837,551740,2856899,2001,337:19:06:00
-80.483759,25.829556,01b01,7852,551739,2856910,2001,337:19:06:07
-80.483768,25.829637,01b01,7864,551738,2856919,2001,337:19:06:13
-80.483778,25.829691,01b01,7871,551737,2856925,2001,337:19:06:17
-80.483788,25.829773,01b01,7883,551736,2856934,2001,337:19:06:23
-80.483797,25.829872,01b01,7897,551735,2856945,2001,337:19:06:30
-80.483786,25.830125,01b01,7935,551736,2856973,2001,337:19:06:49
-80.483776,25.830206,01b01,7947,551737,2856982,2001,337:19:06:55
-80.483765,25.830305,01b01,7962,551738,2856993,2001,337:19:07:03
-80.483774,25.830504,01b01,7989,551737,2857015,2001,337:19:07:16
-80.483784,25.830594,01b01,8004,551736,2857025,2001,337:19:07:23
-80.483794,25.830649,01b01,8012,551735,2857031,2001,337:19:07:27
-80.483803,25.830721,01b01,8021,551734,2857039,2001,337:19:07:32
-80.483813,25.830775,01b01,8029,551733,2857045,2001,337:19:07:36
-80.483823,25.830883,01b01,8046,551732,2857057,2001,337:19:07:44
-80.483831,25.831299,01b01,8108,551731,2857103,2001,337:19:08:15
-80.483840,25.831434,01b01,8127,551730,2857118,2001,337:19:08:25
-80.483850,25.831552,01b01,8146,551729,2857131,2001,337:19:08:34
-80.483859,25.831633,01b01,8158,551728,2857140,2001,337:19:08:40
-80.483869,25.831705,01b01,8167,551727,2857148,2001,337:19:08:45
-80.483879,25.831769,01b01,8176,551726,2857155,2001,337:19:08:50
-80.483888,25.831868,01b01,8192,551725,2857166,2001,337:19:08:57
-80.483898,25.832030,01b01,8216,551724,2857184,2001,337:19:09:09
-80.483907,25.832211,01b01,8241,551723,2857204,2001,337:19:09:22
-80.483916,25.832338,01b01,8260,551722,2857218,2001,337:19:09:31
-80.483926,25.832455,01b01,8276,551721,2857231,2001,337:19:09:39
-80.483935,25.832572,01b01,8293,551720,2857244,2001,337:19:09:48
