-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
VIC1        49718.000    1995     1     1     0
VIC1        52274.750    2001    12    31    18
VIC1       -86596.184 -5393806.190  3391546.690
49762.25    -0.001206     0.241167    -1.268240
49762.50    -0.062546     0.415110    -0.808323
49762.75    -0.207804     0.554606    -0.578857
49763.00    -0.449915     0.732120     2.045667
49763.25    -0.517891     0.680207     2.737879
49763.50    -0.596407     0.594322     3.445192
49763.75    -0.492267     0.326502     2.573632
49764.00    -0.440796     0.194787     3.107781
49764.25    -0.230207     0.034203     2.104390
49764.50    -0.170819    -0.064095     2.010886
49764.75     0.056384    -0.194762    -0.295961
49765.00     0.204785    -0.204951    -0.965817
49765.25     0.274998    -0.282285    -2.662154
49765.50     0.310497    -0.236954    -3.133078
49765.75     0.309793    -0.227820    -4.549368
49766.00     0.205106    -0.056914    -3.356778
49766.25     0.181189    -0.087689    -3.246966
49766.50     0.202751    -0.051840    -2.707300
49766.75     0.301209    -0.072740    -3.373070
49767.00     0.213513    -0.014003    -1.884695
49767.25     0.255865    -0.170550    -2.621967
49767.50     0.188774    -0.212893    -2.506806
49767.75     0.138017    -0.368322    -3.378950
49768.00     0.068652    -0.345001    -1.893329
49768.25    -0.014600    -0.475841    -2.083053
49768.50    -0.062412    -0.498631    -1.132805
49768.75    -0.175356    -0.649206    -1.356606
49769.00    -0.087207    -0.595707     0.144655
49769.25    -0.040906    -0.683631    -0.571564
49769.50     0.017417    -0.639029    -1.064284
49769.75     0.059518    -0.513665    -2.713058
49770.00    -0.053501    -0.193607    -1.306227
49770.25    -0.113954    -0.106824    -1.874331
49770.50    -0.117158     0.019576    -1.214650
49770.75    -0.130023     0.034532    -1.693228
49771.00    -0.217995     0.093493    -0.031828
49771.25    -0.069799     0.041976    -0.495570
49771.50     0.023944    -0.002925    -0.323653
49771.75     0.128685    -0.180533    -1.522632
49772.00     0.272964    -0.212845    -0.602657
49772.25     0.517808    -0.416545    -2.444073
49772.50     0.624938    -0.432019    -3.333661
49772.75     0.645649    -0.424407    -5.652505
49773.00     0.446170    -0.172244    -4.073916
49773.25     0.321833    -0.069723    -4.389020
49773.50     0.220494     0.028207    -3.450823
49773.75     0.213691     0.091375    -4.059083
49774.00     0.129009     0.226540    -1.674093
49774.25     0.247264     0.239249    -2.127379
49774.50     0.360686     0.311582    -1.830984
49774.75     0.476516     0.310813    -2.778930
49775.00     0.464778     0.435120    -0.856005
49775.25     0.546647     0.322882    -1.049150
49775.50     0.545295     0.302588    -0.326720
49775.75     0.589925     0.142072    -1.006128
49776.00     0.699054     0.093361     0.278139
49776.25     0.840193    -0.060205    -0.361025
49776.50     0.945088    -0.151810     0.283404
49776.75     1.132505    -0.311726    -1.438297
49777.00     1.163787    -0.333992    -1.059135
49777.25     1.126238    -0.455963    -2.152591
49777.50     1.088928    -0.430370    -2.485828
49777.75     1.099134    -0.422956    -4.329638
49778.00     0.962245    -0.235504    -3.274627
49778.25     0.924906    -0.217469    -4.258999
49778.50     0.847513    -0.166117    -3.930750
49778.75     0.863973    -0.165133    -5.217889
49779.00     0.744869    -0.044573    -3.705214
49779.25     0.740965    -0.085111    -4.633507
49779.50     0.745560    -0.035599    -3.861371
49779.75     0.711734    -0.084946    -5.111826
49780.00     0.670304     0.078247    -3.607169
49780.25     0.760357     0.078971    -4.005851
49780.50     0.798644     0.248043    -2.902009
49780.75     0.831588     0.346713    -3.274663
49781.00     0.714273     0.542325    -1.157300
49781.25     0.631118     0.531366    -0.880884
49781.50     0.481363     0.488654     0.377878
49781.75     0.515884     0.405894    -0.172759
49782.00     0.441627     0.466946     1.189055
49782.25     0.480588     0.408983     0.656500
49782.50     0.494443     0.490022     1.391568
49782.75     0.554253     0.537810     0.702066
49783.00     0.548190     0.596940     2.278897
49783.25     0.551335     0.472575     2.314561
49783.50     0.560848     0.235499     3.179618
49783.75     0.724924    -0.214848     1.694599
49784.00     0.750877    -0.468652     0.818779
49784.25     0.815586    -0.702433    -1.082670
49784.50     0.788856    -0.741334    -2.269447
49784.75     0.869101    -0.728223    -5.169208
49785.00     0.705198    -0.402407    -4.126568
49785.25     0.652238    -0.310884    -5.687704
49785.50     0.570869    -0.116188    -5.615756
49785.75     0.525929    -0.008440    -6.450559
49786.00     0.310417     0.219211    -4.561518
49786.25     0.257163     0.263387    -4.965034
49786.50     0.178880     0.357236    -4.391470
49786.75     0.096807     0.345341    -5.394590
49787.00    -0.066635     0.484569    -3.380185
49787.25    -0.120546     0.454896    -3.498942
49787.50    -0.112907     0.563930    -3.200417
49787.75    -0.167716     0.573036    -3.801390
49788.00    -0.307713     0.674459    -1.628259
49788.25    -0.270222     0.646328    -1.956149
49788.50    -0.214552     0.700349    -1.527607
49788.75    -0.081318     0.630619    -2.547512
49789.00    -0.039279     0.638002    -0.741161
49789.25     0.220928     0.536166    -1.439698
49789.50     0.324880     0.516706    -1.017195
49789.75     0.464075     0.500123    -2.196654
49790.00     0.512713     0.444286    -0.213819
49790.25     0.698206     0.292163    -1.540701
49790.50     0.785832     0.312662    -0.675784
49790.75     0.917923     0.249018    -1.794874
49791.00     0.887808     0.257500    -0.564137
49791.25     0.821107     0.118375    -0.845221
49791.50     0.739230     0.109653     0.094167
49791.75     0.705222     0.028561    -0.884256
49792.00     0.601394     0.083607     0.587694
49792.25     0.580385    -0.008655    -0.025715
49792.50     0.588137     0.008637     0.484704
49792.75     0.622788    -0.008477    -1.024803
49793.00     0.565436     0.032464     0.113671
49793.25     0.584262    -0.068430    -1.034684
49793.50     0.574221    -0.095098    -0.840557
49793.75     0.482088    -0.164909    -1.978660
49794.00     0.370550    -0.114791    -1.028055
49794.25     0.290792    -0.177941    -1.523253
49794.50     0.208214    -0.189843    -1.013177
49794.75     0.100467    -0.186173    -1.541316
49795.00    -0.133717    -0.029759     0.358651
49795.25    -0.310299     0.025542     0.257374
49795.50    -0.425155     0.142158     0.980114
49795.75    -0.566841     0.189832     0.728302
49796.00    -0.750706     0.367859     3.143672
49796.25    -0.856723     0.348903     3.018029
49796.50    -0.979399     0.339132     4.002588
49796.75    -1.044434     0.134698     3.313740
49797.00    -1.073005     0.165063     4.887919
49797.25    -1.044552     0.054131     3.911753
49797.50    -1.027357     0.145926     3.970847
49797.75    -1.050732     0.159852     3.058551
49798.00    -1.113000     0.317187     5.178266
49798.25    -1.127174     0.248447     5.395608
49798.50    -1.078988     0.286357     5.818293
49798.75    -0.997852     0.153683     4.928933
49799.00    -0.913587     0.164993     6.274284
49799.25    -0.755970    -0.011396     5.354389
49799.50    -0.498710    -0.056829     4.822702
49799.75    -0.245153    -0.148656     3.255584
49800.00    -0.110264     0.028933     4.487714
49800.25     0.063401     0.080946     3.235954
49800.50     0.222394     0.231517     2.726242
49800.75     0.235008     0.275938     1.404549
49801.00     0.208243     0.426987     2.781070
49801.25     0.358717     0.356812     1.448499
49801.50     0.394827     0.440785     1.317392
49801.75     0.419718     0.478723     0.793568
49802.00     0.360615     0.508993     2.287507
49802.25     0.432796     0.327578     1.281639
49802.50     0.405833     0.387448     1.034848
49802.75     0.452860     0.230183    -0.288768
49803.00     0.451293     0.163194     0.907275
49803.25     0.487034    -0.023862     0.119397
49803.50     0.581118    -0.209682    -0.117997
49803.75     0.665735    -0.331653    -2.143554
49804.00     0.644634    -0.205812    -0.986368
49804.25     0.786096    -0.273911    -2.389165
49804.50     0.813174    -0.211358    -2.341091
49804.75     0.764730    -0.242423    -3.184018
49805.00     0.656788    -0.170650    -1.351676
49805.25     0.662697    -0.182270    -1.946780
49805.50     0.526519    -0.097484    -1.326050
49805.75     0.475964    -0.150909    -1.715158
49806.00     0.315207    -0.083113    -0.504555
49806.25     0.322125    -0.154297    -0.670179
49806.50     0.266531    -0.139062    -0.259216
49806.75     0.250415    -0.179546    -1.401767
49807.00     0.161449    -0.057760     0.648846
49807.25     0.192197    -0.164215    -0.134415
49807.50     0.181957    -0.172027     0.134077
49807.75     0.142240    -0.182849    -0.840478
49808.00    -0.060318    -0.118548     1.061146
49808.25    -0.075368    -0.190343    -0.216824
49808.50    -0.188182    -0.129672     0.059086
49808.75    -0.287164    -0.166475    -0.888493
49809.00    -0.367806    -0.036912     0.922118
49809.25    -0.387466    -0.056367    -0.344442
49809.50    -0.333101    -0.012257    -0.318827
49809.75    -0.268771     0.019246    -1.345085
49810.00    -0.306864     0.165112     0.560072
49810.25    -0.249911     0.113583    -0.448685
49810.50    -0.124301     0.127492    -0.377431
49810.75    -0.089360     0.044750    -1.407014
49811.00    -0.099889     0.010671     0.346606
49811.25    -0.055936    -0.109259    -0.492369
49811.50     0.050358    -0.093050     0.271107
49811.75     0.051018    -0.106641    -0.767177
49812.00     0.049440     0.020599     0.758176
49812.25     0.074031     0.041741     0.168386
49812.50     0.026804     0.169551     1.262194
49812.75    -0.108757     0.234685     1.242557
49813.00    -0.224056     0.297076     3.109928
49813.25    -0.213231     0.232103     2.889439
49813.50    -0.185924     0.206293     3.316498
49813.75    -0.199599     0.120460     2.275377
49814.00    -0.246427     0.203705     3.293616
49814.25    -0.208897     0.181653     2.083118
49814.50    -0.174839     0.255394     1.992013
49814.75    -0.257622     0.313985     1.364900
49815.00    -0.397047     0.379865     3.145828
49815.25    -0.417627     0.360289     2.607532
49815.50    -0.421324     0.398692     2.740661
49815.75    -0.524142     0.390469     2.674946
49816.00    -0.608625     0.445071     4.840868
49816.25    -0.545805     0.448041     4.596705
49816.50    -0.533666     0.484387     5.212477
49816.75    -0.427135     0.509923     4.488524
49817.00    -0.290680     0.614154     5.718917
49817.25    -0.009408     0.612764     4.287099
49817.50     0.137458     0.653321     4.284625
49817.75     0.232309     0.660588     3.075871
49818.00     0.141105     0.686572     5.086740
49818.25     0.250665     0.497794     3.516308
49818.50     0.018942     0.342967     4.438911
49818.75    -0.155812     0.182085     2.513315
49819.00    -0.103984     0.188854     2.406721
49819.25    -0.070109     0.045587     0.694445
49819.50    -0.124626     0.017764     0.507583
49819.75    -0.084526    -0.188729    -0.737401
49820.00    -0.065634    -0.207215     0.346864
49820.25    -0.037916    -0.382680    -1.013161
49820.50    -0.062245    -0.425617    -0.809891
49820.75    -0.001554    -0.459474    -1.620257
49821.00    -0.022563    -0.179971     0.476419
49821.25    -0.022069    -0.045665     0.079571
49821.50     0.004455     0.146138     0.844551
49821.75     0.044681     0.269265     0.807653
49822.00     0.029095     0.379385     3.109694
49822.25     0.130040     0.322852     2.193931
49822.50     0.184656     0.420215     2.278024
49822.75     0.151289     0.345016     1.403814
49823.00     0.106057     0.379680     2.636295
49823.25     0.165788     0.332773     1.716601
49823.50     0.206753     0.386986     1.490551
49823.75     0.218157     0.366061     0.422607
49824.00     0.177561     0.407842     1.710980
49824.25     0.202848     0.383721     1.011375
49824.50     0.217509     0.459482     1.353674
49824.75     0.136031     0.525625     1.398897
49825.00    -0.011999     0.632448     3.222700
49825.25    -0.138837     0.623814     3.550596
49825.50    -0.279139     0.506922     2.992893
49825.75    -0.330373     0.401214     2.387208
49826.00    -0.279894     0.356913     3.843086
49826.25    -0.178607     0.275298     2.832631
49826.50    -0.092036     0.316955     3.046123
49826.75    -0.023115     0.415328     2.616685
49827.00    -0.125075     0.590655     4.746638
49827.25    -0.152846     0.554380     4.398075
49827.50    -0.190455     0.551553     5.110420
49827.75    -0.133520     0.477200     4.176946
49828.00    -0.143508     0.474317     5.923313
49828.25    -0.106669     0.196084     4.963945
49828.50     0.013369     0.180083     4.419659
49828.75     0.184114     0.108473     2.774208
49829.00     0.276960     0.096217     3.402160
49829.25     0.474685    -0.039894     2.163293
49829.50     0.592858    -0.095528     2.153910
49829.75     0.704814    -0.116354     1.012686
49830.00     0.706898    -0.036690     2.410851
49830.25     0.622026    -0.161789     2.742210
49830.50     0.408809    -0.288092     3.463718
49830.75     0.265384    -0.452969     2.996832
49831.00     0.278285    -0.416812     3.282344
49831.25     0.321580    -0.555910     1.781769
49831.50     0.276085    -0.471988     1.561918
49831.75     0.288379    -0.406323     0.183967
49832.00     0.285317    -0.183441     1.308762
49832.25     0.306445    -0.179916    -0.509628
49832.50     0.303601    -0.057082    -0.699042
49832.75     0.313263    -0.009124    -1.216185
49833.00     0.240925     0.207727     0.189272
49833.25     0.269222     0.198448    -0.327954
49833.50     0.322700     0.291601     0.052778
49833.75     0.311630     0.310244    -0.118023
49834.00     0.265319     0.327199     1.413375
49834.25     0.343659     0.110978     0.571359
49834.50     0.390805     0.026821     0.113246
49834.75     0.473552    -0.068525    -0.792907
49835.00     0.455693    -0.004103     0.174756
49835.25     0.465396    -0.015761    -0.224049
49835.50     0.440400     0.061064     0.039875
49835.75     0.384818     0.122587    -0.094761
49836.00     0.291855     0.270520     2.048974
49836.25     0.332632     0.260937     1.622406
49836.50     0.289193     0.336117     2.116297
49836.75     0.215876     0.283421     1.838398
49837.00     0.173340     0.242613     3.062600
49837.25     0.176518     0.075321     2.057345
49837.50     0.165460     0.092580     2.246275
49837.75     0.246820     0.073837     1.835299
49838.00     0.210193     0.233105     3.370249
49838.25     0.190022     0.190795     3.362432
49838.50     0.055144     0.176617     4.221567
49838.75    -0.052415    -0.083239     3.583197
49839.00    -0.018883    -0.134010     4.288783
49839.25     0.024773    -0.275854     2.408579
49839.50    -0.017054    -0.158620     2.101772
49839.75     0.031209    -0.097446     1.093993
49840.00     0.012482     0.147876     2.710820
49840.25     0.121990     0.174412     1.613753
49840.50     0.195375     0.226121     1.686078
49840.75     0.232412     0.254681     1.014315
49841.00     0.195655     0.299813     2.136173
49841.25     0.248064     0.161341     0.834355
49841.50     0.217378     0.074463     0.896729
49841.75     0.286134    -0.049970    -0.547587
49842.00     0.272574    -0.064411     0.236614
49842.25     0.320823    -0.167150    -0.494244
49842.50     0.345539    -0.134485    -0.965061
49842.75     0.356702    -0.093545    -1.656359
49843.00     0.264745     0.076222     0.009329
49843.25     0.240460     0.127508    -0.429987
49843.50     0.228619     0.268536    -0.230550
49843.75     0.177324     0.364343    -0.308077
49844.00     0.083222     0.434932     1.114892
49844.25     0.090024     0.422753     0.595473
49844.50     0.183774     0.521059     1.161088
49844.75     0.155401     0.559669     0.892807
49845.00     0.104580     0.621077     2.641462
49845.25     0.059010     0.628430     3.099081
49845.50     0.067532     0.616624     3.750312
49845.75     0.044052     0.584536     3.708320
49846.00    -0.035931     0.531642     4.789806
49846.25    -0.020487     0.391686     3.925355
49846.50    -0.081147     0.375782     4.033326
49846.75    -0.100114     0.208151     3.091998
49847.00    -0.133603     0.265152     4.238633
49847.25    -0.109461     0.100201     3.414933
49847.50    -0.142941     0.096512     3.871499
49847.75    -0.125214    -0.000939     2.836984
49848.00    -0.155596     0.053163     4.190173
49848.25    -0.178208    -0.042838     3.293738
49848.50    -0.242695    -0.008993     3.344863
49848.75    -0.252548     0.018760     2.723734
49849.00    -0.340041     0.223744     4.511508
49849.25    -0.369762     0.216831     4.120281
49849.50    -0.359078     0.441772     4.828465
49849.75    -0.397426     0.567374     4.624301
49850.00    -0.492513     0.724489     6.687721
49850.25    -0.474345     0.740296     6.538874
49850.50    -0.541376     0.772735     6.927294
49850.75    -0.541038     0.639186     6.155383
49851.00    -0.480325     0.647513     6.622875
49851.25    -0.370479     0.375984     4.240624
49851.50    -0.254162     0.233129     3.261271
49851.75    -0.181346     0.079636     1.437256
49852.00    -0.169951     0.054572     2.371330
49852.25    -0.160067    -0.068101     1.355589
49852.50    -0.150653    -0.035635     1.068413
49852.75    -0.146266     0.031083     0.480590
49853.00    -0.254638     0.184507     2.600491
49853.25    -0.326833     0.183801     2.355321
49853.50    -0.380945     0.312496     3.024511
49853.75    -0.412431     0.336129     2.690418
49854.00    -0.584120     0.438491     4.961894
49854.25    -0.627084     0.420318     5.534135
49854.50    -0.568916     0.370113     6.075716
49854.75    -0.581933     0.412222     5.394652
49855.00    -0.556052     0.402951     6.677416
49855.25    -0.490705     0.248298     6.081304
49855.50    -0.468114     0.155444     5.986943
49855.75    -0.308270    -0.087873     4.484371
49856.00    -0.227357    -0.132750     5.214719
49856.25    -0.070704    -0.362371     3.948512
49856.50     0.008822    -0.401208     3.405131
49856.75     0.111254    -0.430781     2.357694
49857.00     0.126864    -0.286370     3.254207
49857.25     0.124411    -0.329930     1.951547
49857.50     0.157507    -0.305322     1.782862
49857.75     0.125622    -0.271433     1.326838
49858.00     0.062252    -0.112679     2.820620
49858.25     0.107044    -0.113729     1.796306
49858.50     0.179646    -0.086065     1.693793
49858.75     0.225746    -0.093810     0.655146
49859.00     0.211616     0.003199     1.744438
49859.25     0.306001    -0.032139     0.794371
49859.50     0.348099     0.038492     0.504975
49859.75     0.369130     0.069678    -0.348052
49860.00     0.349703     0.199837     0.928321
49860.25     0.330231     0.169741     0.375189
49860.50     0.399163     0.225338     0.258311
49860.75     0.369160     0.196410    -0.180808
49861.00     0.309493     0.257233     1.237245
49861.25     0.376544     0.149652     0.362291
49861.50     0.443667     0.138493     0.385617
49861.75     0.535448     0.065930    -0.503598
49862.00     0.464394     0.124462     1.130455
49862.25     0.526509     0.024426     0.287390
49862.50     0.589256     0.028476    -0.075406
49862.75     0.637646     0.033403    -0.500198
49863.00     0.588037     0.159311     0.764473
49863.25     0.619321     0.063832    -0.409434
49863.50     0.589136     0.143440    -0.094963
49863.75     0.550924     0.187786    -0.612637
49864.00     0.496091     0.284377     1.222964
49864.25     0.428792     0.286514     0.938671
49864.50     0.342737     0.333686     1.754497
49864.75     0.208542     0.316984     1.531037
49865.00     0.147470     0.376033     2.951186
49865.25     0.103762     0.238139     2.007803
49865.50     0.121552     0.194618     1.718224
49865.75     0.160817     0.071328     0.657973
49866.00     0.164016     0.113666     1.549019
49866.25     0.170408    -0.035967     0.561264
49866.50     0.206397    -0.044555     0.686191
49866.75     0.217409    -0.176127    -0.336919
49867.00     0.191502    -0.065100     0.611300
49867.25     0.214089    -0.130387    -0.223051
49867.50     0.215618    -0.064095     0.324475
49867.75     0.190642    -0.086763    -0.101071
49868.00     0.037965     0.006628     1.462255
49868.25     0.051982    -0.031006     1.194448
49868.50     0.012639     0.022453     1.583852
49868.75     0.010220     0.022494     1.116171
49869.00    -0.003633     0.128485     2.653164
49869.25    -0.012034     0.081011     2.020233
49869.50     0.061425     0.109318     2.491622
49869.75     0.095310     0.076810     1.247010
49870.00     0.079449     0.196835     2.345583
49870.25     0.085876     0.152591     1.835568
49870.50     0.122842     0.162378     1.789102
49870.75     0.105657     0.166202     0.733693
49871.00     0.083544     0.317153     2.171927
49871.25     0.098341     0.227383     1.560012
49871.50     0.209621     0.210495     1.498350
49871.75     0.225506     0.173084     0.706537
49872.00     0.261931     0.255189     1.797337
49872.25     0.248870     0.126210     0.951900
49872.50     0.297043     0.129342     1.178164
49872.75     0.288413     0.118559     0.364287
49873.00     0.127265     0.203217     2.469676
49873.25     0.009635     0.081255     2.671974
49873.50    -0.076749     0.107829     3.406975
49873.75    -0.242461     0.058165     3.678145
49874.00    -0.435687     0.193260     5.348669
49874.25    -0.570344     0.189240     5.344197
49874.50    -0.617282     0.224311     5.835342
