-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
HOB2        49718.000    1995     1     1     0
HOB2        52274.750    2001    12    31    18
HOB2     -3950071.361  2522415.185 -4311638.362
49818.50     0.060855    -0.485991    -1.066035
49818.75    -0.138940    -0.268085    -0.932279
49819.00     0.216990    -0.311678    -1.304971
49819.25     0.082439    -0.420860    -0.199914
49819.50     0.008952    -1.037565    -1.274985
49819.75    -0.482214    -0.636821    -1.245930
49820.00    -0.424570    -0.480145    -1.525369
49820.25    -0.604420    -0.441160    -0.647597
49820.50    -0.604896    -0.790212    -1.751334
49820.75    -1.054596    -0.291657    -1.427827
49821.00    -0.865589    -0.058801    -1.421650
49821.25    -0.958734    -0.016325    -0.222886
49821.50    -0.980168    -0.574911    -0.897138
49821.75    -1.434404    -0.258556    -0.208795
49822.00    -1.344360    -0.184427    -0.163267
49822.25    -1.499065    -0.285685     1.010140
49822.50    -1.553600    -0.928501     0.146785
49822.75    -1.875971    -0.512088     0.477554
49823.00    -1.555387    -0.355515     0.387426
49823.25    -1.458305    -0.398260     1.108335
49823.50    -1.366167    -0.947141     0.093208
49823.75    -1.631184    -0.577684     0.252927
49824.00    -1.266856    -0.447305    -0.044682
49824.25    -1.344946    -0.437110     0.708021
49824.50    -1.293187    -0.932771    -0.360434
49824.75    -1.583714    -0.440327    -0.206157
49825.00    -1.270050    -0.153538    -0.429304
49825.25    -1.224711    -0.116969     0.598787
49825.50    -1.123151    -0.531632    -0.059457
49825.75    -1.262893    -0.146851    -0.157446
49826.00    -0.766101    -0.128829    -1.057785
49826.25    -0.692799    -0.279502    -0.515026
49826.50    -0.598815    -0.881378    -1.305966
49826.75    -0.960216    -0.598867    -0.753898
49827.00    -0.839022    -0.386002    -0.584400
49827.25    -0.876406    -0.415966     0.387692
49827.50    -0.816929    -0.951263    -0.655037
49827.75    -1.073457    -0.685761    -0.558430
49828.00    -0.758366    -0.653282    -0.903369
49828.25    -0.789786    -0.791200    -0.007238
49828.50    -0.742088    -1.384422    -1.050431
49828.75    -1.132699    -0.999156    -0.734812
49829.00    -0.815518    -0.973497    -1.008765
49829.25    -0.957760    -0.983624     0.229225
49829.50    -1.074655    -1.472979    -0.522614
49829.75    -1.464471    -0.905003     0.137311
49830.00    -1.195371    -0.703558     0.430263
49830.25    -1.375971    -0.574087     2.022133
49830.50    -1.376099    -1.173921     1.079122
49830.75    -1.601310    -0.808122     0.908715
49831.00    -1.194513    -0.851639    -0.032622
49831.25    -1.151456    -1.033930     0.456658
49831.50    -1.021503    -1.615882    -0.748531
49831.75    -1.278052    -1.250894    -0.447253
49832.00    -0.789380    -1.283434    -1.107495
49832.25    -0.706704    -1.419730    -0.405952
49832.50    -0.528992    -1.926970    -1.525041
49832.75    -0.745998    -1.461767    -1.283147
49833.00    -0.256323    -1.297504    -1.842085
49833.25    -0.196701    -1.295580    -1.211330
49833.50    -0.166639    -1.934730    -2.508467
49833.75    -0.604545    -1.526908    -2.447067
49834.00    -0.470382    -1.311810    -2.879289
49834.25    -0.580161    -1.170613    -2.098322
49834.50    -0.605051    -1.702728    -2.931192
49834.75    -1.014258    -1.145198    -2.325854
49835.00    -0.789103    -0.841653    -1.977395
49835.25    -0.702590    -0.552371    -0.593144
49835.50    -0.778803    -0.930164    -1.028102
49835.75    -0.975708    -0.507967    -0.776626
49836.00    -0.595801    -0.465526    -0.951616
49836.25    -0.640849    -0.417792     0.504214
49836.50    -0.639582    -0.884580    -0.045777
49836.75    -0.888029    -0.433422     0.305877
49837.00    -0.536896    -0.373988     0.110040
49837.25    -0.392616    -0.560752     0.520041
49837.50    -0.303419    -1.268219    -0.770138
49837.75    -0.689479    -0.915347    -0.603013
49838.00    -0.461602    -0.769387    -0.808728
49838.25    -0.426315    -0.719983    -0.289478
49838.50    -0.411464    -1.142567    -1.525471
49838.75    -0.740893    -0.497590    -1.206861
49839.00    -0.360530    -0.195874    -1.357647
49839.25    -0.349198    -0.103637    -0.389260
49839.50    -0.312051    -0.514125    -1.203084
49839.75    -0.657892    -0.055930    -0.907975
49840.00    -0.347510     0.084931    -1.155399
49840.25    -0.278945    -0.067163    -0.186394
49840.50    -0.095462    -0.718842    -1.248003
49840.75    -0.335610    -0.422794    -1.128732
49841.00     0.068007    -0.438231    -1.471057
49841.25     0.283311    -0.721282    -0.991219
49841.50     0.535751    -1.647605    -2.474800
49841.75     0.341800    -1.521723    -2.442798
49842.00     0.701126    -1.471541    -2.977133
49842.25     0.725447    -1.545195    -2.685728
49842.50     0.667536    -2.101011    -4.060419
49842.75     0.350538    -1.655669    -4.196726
49843.00     0.691305    -1.318012    -4.656324
49843.25     0.683124    -1.225349    -4.048964
49843.50     0.785504    -1.632237    -5.136145
49843.75     0.509614    -1.053924    -4.903005
49844.00     0.610605    -0.836150    -4.857626
49844.25     0.504081    -0.753710    -3.508556
49844.50     0.581776    -1.244546    -4.319163
49844.75     0.265098    -0.896863    -3.971244
49845.00     0.660880    -0.816246    -3.936523
49845.25     0.587845    -0.942875    -2.717571
49845.50     0.723840    -1.647444    -3.591249
49845.75     0.391899    -1.324580    -3.082946
49846.00     0.732870    -1.356461    -3.263007
49846.25     0.720230    -1.465888    -2.268763
49846.50     0.823459    -2.034741    -3.194949
49846.75     0.614399    -1.724160    -2.771074
49847.00     1.002396    -1.681654    -2.739050
49847.25     0.943687    -1.577878    -1.463982
49847.50     1.027987    -2.066649    -2.197757
49847.75     0.623464    -1.455147    -1.917109
49848.00     0.822244    -1.194737    -2.161181
49848.25     0.779296    -0.969215    -1.163035
49848.50     0.770581    -1.320714    -2.096042
49848.75     0.333438    -0.602045    -1.550458
49849.00     0.419257    -0.095755    -1.148519
49849.25     0.271847     0.206729     0.524520
49849.50     0.112407    -0.073242     0.313437
49849.75    -0.302840     0.508990     1.180724
49850.00    -0.081480     0.702860     1.679208
49850.25    -0.123520     0.613029     2.802789
49850.50    -0.138633    -0.143381     1.422009
49850.75    -0.355348     0.021948     0.963271
49851.00     0.106548    -0.189677     0.237882
49851.25     0.266592    -0.597917     0.451540
49851.50     0.479590    -1.331498    -1.011057
49851.75     0.218956    -1.017470    -0.893131
49852.00     0.618556    -1.059029    -1.938990
49852.25     0.715176    -1.211915    -1.931066
49852.50     0.731826    -1.807452    -3.396293
49852.75     0.462845    -1.285818    -3.479566
49853.00     0.962278    -1.012323    -3.764478
49853.25     0.960615    -0.907281    -2.909613
49853.50     1.039431    -1.313548    -3.874032
49853.75     0.675761    -0.898319    -3.587908
49854.00     0.971593    -0.658574    -3.449269
49854.25     0.872735    -0.650998    -2.133850
49854.50     0.896279    -1.137086    -2.544906
49854.75     0.395314    -0.848619    -1.947501
49855.00     0.411551    -0.697624    -1.659739
49855.25     0.109696    -0.738385    -0.279887
49855.50    -0.122729    -1.148216    -0.874430
49855.75    -0.918534    -0.784581    -0.438495
49856.00    -1.071665    -0.565288    -0.428846
49856.25    -1.326448    -0.529295     0.538855
49856.50    -1.392214    -0.938335    -0.517768
49856.75    -1.800430    -0.404814    -0.432602
49857.00    -1.590667    -0.209729    -0.792566
49857.25    -1.538186    -0.170511     0.039575
49857.50    -1.463220    -0.679773    -0.905692
49857.75    -1.604365    -0.446414    -0.844892
49858.00    -1.155983    -0.563543    -1.398034
49858.25    -0.979168    -0.862213    -0.625766
49858.50    -0.880185    -1.552990    -1.754551
49858.75    -1.090213    -1.308947    -1.884742
49859.00    -0.734344    -1.158252    -2.193097
49859.25    -0.746918    -1.254136    -1.407981
49859.50    -0.624518    -1.842338    -2.656006
49859.75    -0.997438    -1.413314    -2.195238
49860.00    -0.877332    -1.184317    -2.242578
49860.25    -0.853730    -1.065559    -0.967974
49860.50    -0.793233    -1.566520    -1.599364
49860.75    -1.208205    -1.019948    -0.805268
49861.00    -0.938164    -0.782284    -0.424321
49861.25    -1.008677    -0.672715     1.265921
49861.50    -1.078207    -1.190688     0.926432
49861.75    -1.404151    -0.717025     2.005033
49862.00    -1.113511    -0.474185     2.666901
49862.25    -0.931562    -0.548774     3.654999
49862.50    -0.833978    -1.105793     2.675168
49862.75    -1.159690    -0.540713     3.151014
49863.00    -0.819103    -0.304930     2.788603
49863.25    -0.761611    -0.387019     3.076376
49863.50    -0.529437    -0.937325     1.448884
49863.75    -0.695059    -0.582898     1.055385
49864.00    -0.357398    -0.430454     0.446258
49864.25    -0.412090    -0.562404     1.004081
49864.50    -0.301667    -1.127874     0.007215
49864.75    -0.658814    -0.756554     0.304333
49865.00    -0.386623    -0.569832     0.054391
49865.25    -0.297496    -0.686645     0.739953
49865.50    -0.150828    -1.240378    -0.326162
49865.75    -0.440514    -0.958233    -0.175856
49866.00     0.103275    -0.912437    -0.488688
49866.25     0.287457    -1.026603     0.114686
49866.50     0.487107    -1.680579    -0.989221
49866.75     0.166447    -1.231907    -0.961823
49867.00     0.420691    -0.940536    -1.290450
49867.25     0.335365    -0.915275    -0.483862
49867.50     0.321550    -1.439801    -1.624597
49867.75    -0.045689    -0.978955    -1.509803
49868.00     0.125913    -0.685019    -1.639104
49868.25    -0.002005    -0.707397    -1.028448
49868.50    -0.006011    -1.244582    -2.202177
49868.75    -0.432220    -0.948777    -2.222911
49869.00    -0.259600    -0.776813    -2.455267
49869.25    -0.111381    -0.912645    -1.707164
49869.50     0.090706    -1.525390    -2.872153
49869.75    -0.126038    -1.272434    -2.873768
49870.00     0.246570    -1.150945    -3.114773
49870.25     0.349577    -1.377725    -2.292069
49870.50     0.470297    -1.940303    -3.348545
49870.75     0.209610    -1.631992    -3.298302
49871.00     0.548151    -1.357237    -3.451570
49871.25     0.514025    -1.523374    -2.732168
