-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
POR2        49718.000    1995     1     1     0
POR2        52274.750    2001    12    31    18
POR2      1541609.017 -4404571.897  4333253.896
49741.25    -1.402378    -0.242616     0.560678
49741.50    -1.383190    -0.074025     0.842702
49741.75    -1.726105    -0.374499     0.491862
49742.00    -1.629599    -0.613946     0.036733
49742.25    -1.720747    -0.693696    -0.082411
49742.50    -1.749145    -0.555273    -0.061661
49742.75    -2.040656    -0.732110    -0.323722
49743.00    -1.702497    -0.774886    -0.161475
49743.25    -1.904320    -0.750199    -0.050182
49743.50    -2.017914    -0.549502     0.197339
49743.75    -2.391856    -0.689366     0.294469
49744.00    -2.149215    -0.692566     0.529693
49744.25    -2.302971    -0.689469     0.348404
49744.50    -2.157976    -0.529163     0.442604
49744.75    -2.375289    -0.690666     0.421715
49745.00    -2.133624    -0.915627    -0.093456
49745.25    -2.210668    -0.946301    -0.356788
49745.50    -1.873522    -0.778545    -0.453183
49745.75    -1.997630    -0.964153    -1.013328
49746.00    -1.483015    -1.050173    -1.209585
49746.25    -1.393988    -1.131156    -1.862303
49746.50    -1.225138    -0.988784    -1.721477
49746.75    -1.491447    -1.222036    -2.036427
49747.00    -1.478198    -1.228957    -1.294946
49747.25    -1.793501    -1.123428    -0.445649
49747.50    -2.040804    -0.892201     0.815393
49747.75    -2.294329    -0.904182     1.714311
49748.00    -2.356212    -0.905803     2.436089
49748.25    -2.619885    -0.789845     2.931424
49748.50    -2.733194    -0.516452     3.747523
49748.75    -2.973625    -0.610338     4.061227
49749.00    -2.732259    -0.598373     4.856070
49749.25    -2.775441    -0.502425     5.535668
49749.50    -2.556250    -0.300496     5.649890
49749.75    -2.530549    -0.422779     5.164353
49750.00    -1.961491    -0.487960     4.529206
49750.25    -1.790820    -0.426154     4.103863
49750.50    -1.597803    -0.290664     3.335862
49750.75    -1.669551    -0.503524     1.988707
49751.00    -1.172701    -0.616025     0.862612
49751.25    -1.078335    -0.606293    -0.236936
49751.50    -0.830679    -0.419168    -0.734928
49751.75    -0.877458    -0.501210    -0.922584
49752.00    -0.446259    -0.360480    -0.269965
49752.25    -0.407334    -0.067889     0.485769
49752.50    -0.215553     0.437306     1.912260
49752.75    -0.347072     0.660897     3.861577
49753.00    -0.354613     0.653827     6.013279
49753.25    -1.008477     0.458996     7.917900
49753.50    -1.083867     0.251238     8.162892
49753.75    -1.180259    -0.004505     7.498283
49754.00    -0.652154    -0.206160     6.348370
49754.25    -0.389408    -0.115143     5.854049
49754.50    -0.000814     0.193696     5.836219
49754.75    -0.041154     0.140287     5.590982
49755.00     0.464955     0.071485     5.181229
49755.25     0.498654     0.141170     4.542873
49755.50     0.679315     0.290175     4.199583
49755.75     0.401031     0.194309     3.871474
49756.00     0.742380     0.154052     3.834635
49756.25     0.489737     0.157867     3.497650
49756.50     0.526622     0.376335     3.962554
49756.75     0.197919     0.163450     3.836645
49757.00     0.207880     0.095506     4.398712
49757.25     0.081732     0.073921     4.134612
49757.50     0.061225     0.418194     4.711475
49757.75    -0.397374     0.439106     4.983425
49758.00    -0.295772     0.422681     5.572479
49758.25    -0.490819     0.346273     4.859972
49758.50    -0.269453     0.527527     4.302765
49758.75    -0.591520     0.494861     3.804529
49759.00    -0.533782     0.612890     4.466919
49759.25    -0.975945     0.588753     4.769271
49759.50    -1.123016     0.526421     4.832403
49759.75    -1.549405     0.213523     4.241739
49760.00    -1.552339     0.004901     4.151857
49760.25    -2.074792    -0.272033     3.593416
49760.50    -2.184860    -0.330521     2.936720
49760.75    -2.595292    -0.734973     1.978260
49761.00    -2.353685    -0.908140     1.162058
49761.25    -2.266741    -0.952929     0.086874
49761.50    -1.909572    -0.624574     0.118652
49761.75    -2.088839    -0.690000    -0.170419
49762.00    -1.790159    -0.607777     0.243364
49762.25    -1.748943    -0.557314     0.037240
49762.50    -1.403346    -0.414129    -0.290692
49762.75    -1.338311    -0.609618    -1.216577
49763.00    -0.856622    -0.601275    -1.393895
49763.25    -0.802221    -0.576317    -2.156918
49763.50    -0.495712    -0.230348    -1.831835
49763.75    -0.874903    -0.121296    -0.838608
49764.00    -0.956038     0.025316     1.440705
49764.25    -1.451370    -0.048137     3.031429
49764.50    -1.121027    -0.263450     2.457306
49764.75    -0.961803    -0.588816     0.625559
49765.00    -0.331088    -0.722875    -0.659150
49765.25    -0.060866    -0.658945    -1.572848
49765.50     0.212623    -0.502931    -1.910787
49765.75    -0.207244    -0.697177    -2.819424
49766.00    -0.087053    -0.725332    -2.555240
49766.25    -0.544834    -0.748814    -2.757536
49766.50    -0.426802    -0.604090    -3.195117
49766.75    -0.684967    -0.768925    -4.192013
49767.00    -0.506333    -0.745916    -3.860369
49767.25    -0.973529    -0.696534    -3.228732
49767.50    -1.075283    -0.533848    -1.863470
49767.75    -1.589178    -0.810864    -1.143594
49768.00    -1.348430    -0.875684    -0.715486
49768.25    -1.440994    -0.712042    -0.948604
49768.50    -1.083271    -0.265037    -0.354622
49768.75    -1.263263    -0.190513     0.246031
49769.00    -0.924850    -0.112784     1.207056
49769.25    -1.014345     0.086689     2.073218
49769.50    -0.848593     0.309913     2.645626
49769.75    -1.161171     0.012110     1.954880
49770.00    -0.802081    -0.173796     1.784832
49770.25    -0.954287    -0.180582     1.035600
49770.50    -0.929680    -0.042264     0.398174
49770.75    -1.190404    -0.171885    -0.160307
49771.00    -0.900580    -0.122595     0.063696
49771.25    -1.167403    -0.091992    -0.332309
49771.50    -0.908690     0.184222     0.059076
49771.75    -1.038733     0.014569    -0.079847
49772.00    -0.737193     0.098675     0.566303
49772.25    -0.974798     0.152570     1.248491
49772.50    -0.887874     0.353346     2.269308
49772.75    -1.356451    -0.052086     2.209815
49773.00    -1.014955    -0.372031     1.579638
49773.25    -0.908617    -0.408095     0.824995
49773.50    -0.444917    -0.170332     0.448274
49773.75    -0.724983    -0.345519    -0.552734
49774.00    -0.258420    -0.327785    -0.785054
49774.25    -0.214586    -0.456063    -2.261390
49774.50     0.080879    -0.223891    -3.231238
49774.75    -0.135764    -0.512151    -4.795413
49775.00     0.266625    -0.513340    -5.359904
49775.25     0.130307    -0.504805    -6.115406
49775.50     0.289463    -0.120111    -5.712060
49775.75    -0.040248    -0.162743    -5.264252
49776.00    -0.063967    -0.117188    -4.008661
49776.25    -0.313130    -0.179091    -3.559252
49776.50     0.005638     0.153164    -2.485977
49776.75    -0.223753    -0.104611    -3.017076
49777.00    -0.071028    -0.276340    -2.843806
49777.25    -0.171219    -0.318280    -3.180379
49777.50    -0.136039    -0.083501    -2.900858
49777.75    -0.668703    -0.323660    -3.272117
49778.00    -0.684776    -0.478459    -2.759541
49778.25    -0.936143    -0.647701    -3.186701
49778.50    -0.832573    -0.541655    -3.495938
49778.75    -0.938198    -0.774812    -4.502037
49779.00    -0.465685    -0.748560    -4.376129
49779.25    -0.435673    -0.704364    -4.866980
49779.50     0.002480    -0.468237    -4.831320
49779.75    -0.080055    -0.595164    -5.171761
49780.00     0.190333    -0.533582    -4.696542
49780.25     0.097379    -0.526374    -5.212952
49780.50     0.254789    -0.357697    -5.341203
49780.75     0.088188    -0.601617    -6.120101
49781.00     0.161609    -0.665040    -6.096435
49781.25     0.166695    -0.600582    -6.461087
49781.50     0.557449    -0.268997    -6.295107
49781.75     0.309010    -0.256419    -6.321795
49782.00     0.520819    -0.039740    -5.041001
49782.25     0.100025     0.153584    -4.265782
49782.50    -0.133358     0.337433    -3.340550
49782.75    -0.742336     0.036620    -3.567184
49783.00    -0.632492    -0.240063    -3.834501
49783.25    -0.908285    -0.282437    -4.686358
49783.50    -0.889836     0.024199    -4.494031
49783.75    -1.565911    -0.069736    -4.360699
49784.00    -1.509756    -0.058828    -3.171610
49784.25    -1.968589    -0.142997    -2.321648
49784.50    -1.758128    -0.038632    -1.392191
49784.75    -1.961572    -0.440794    -2.080898
49785.00    -1.484320    -0.499906    -1.501886
49785.25    -1.578728    -0.525226    -1.495386
49785.50    -1.384604    -0.486911    -1.311424
49785.75    -1.554760    -0.780851    -2.318417
49786.00    -1.025162    -0.926735    -2.683367
49786.25    -1.277973    -0.962177    -3.300765
49786.50    -1.007709    -0.779305    -3.728433
49786.75    -1.341448    -0.932114    -4.220084
49787.00    -0.974499    -0.909858    -4.054270
49787.25    -1.162080    -0.874591    -4.413734
49787.50    -0.715935    -0.574929    -4.367786
49787.75    -0.915102    -0.642838    -4.781597
49788.00    -0.458475    -0.606411    -4.441306
49788.25    -0.472555    -0.638607    -4.940517
49788.50    -0.377674    -0.441995    -4.799796
49788.75    -1.012564    -0.777398    -5.616664
49789.00    -1.067802    -0.800169    -4.988536
49789.25    -1.598546    -0.927560    -5.488234
49789.50    -1.684446    -0.763847    -5.327560
49789.75    -2.005275    -0.967363    -5.791998
49790.00    -1.857925    -1.056567    -5.762001
49790.25    -2.130920    -1.073665    -6.333502
49790.50    -1.861505    -0.868725    -6.232455
49790.75    -1.974372    -1.002778    -6.642574
49791.00    -1.550035    -0.992087    -5.762266
49791.25    -1.496212    -0.878337    -4.887000
49791.50    -1.201411    -0.571859    -3.805342
49791.75    -1.299023    -0.609453    -3.481974
49792.00    -0.862554    -0.456900    -2.715836
49792.25    -0.888213    -0.386609    -2.497875
49792.50    -0.765894    -0.147657    -2.155513
49792.75    -0.860042    -0.266889    -2.379639
49793.00    -0.435964    -0.269428    -2.100959
49793.25    -0.406094    -0.344767    -2.330310
49793.50    -0.066526    -0.041088    -1.525397
49793.75     0.036982    -0.255494    -1.399891
49794.00     0.686009    -0.351902    -1.235500
49794.25     0.734993    -0.457480    -1.388941
49794.50     1.333882    -0.109277    -0.801911
49794.75     1.311041    -0.266050    -1.072475
49795.00     1.619992    -0.233107    -0.379851
49795.25     1.703590    -0.180349    -0.244212
49795.50     1.926102     0.080453    -0.142155
49795.75     1.494370    -0.063118    -0.116536
49796.00     1.560045    -0.033634     0.797725
49796.25     1.179104     0.037973     1.231470
49796.50     0.928278     0.310330     1.959911
49796.75     0.360141     0.284303     2.876623
49797.00     0.318981     0.353267     4.326385
49797.25    -0.370554     0.371114     4.655797
49797.50    -0.490332     0.709153     5.731588
49797.75    -1.124304     0.606377     6.024751
49798.00    -1.143095     0.465423     6.408970
49798.25    -1.539557     0.374769     6.257627
49798.50    -1.434899     0.595615     6.375264
49798.75    -1.889458     0.415092     5.718082
49799.00    -1.545650     0.264993     5.043229
49799.25    -1.612196     0.158779     4.314111
49799.50    -1.415674     0.286853     3.846915
49799.75    -1.699264     0.077699     2.856949
49800.00    -1.146014    -0.004738     2.438406
49800.25    -1.137791    -0.074786     1.647668
49800.50    -0.703834     0.086362     1.409789
49800.75    -0.728627    -0.117655     1.034105
49801.00    -0.089816    -0.132645     1.089356
49801.25    -0.018315    -0.205094     0.451150
49801.50     0.543995     0.166307     0.950843
49801.75     0.598929     0.152096     1.008146
49802.00     0.971157     0.139933     0.755380
49802.25     0.912199     0.113805     0.134836
49802.50     1.329833     0.383011     0.001404
49802.75     1.003545     0.317557    -0.449427
49803.00     1.311945     0.291190    -0.562630
49803.25     1.114496     0.251065    -1.063240
49803.50     1.286621     0.472744    -1.179052
49803.75     0.871735     0.242827    -1.775998
49804.00     1.008034     0.218439    -1.495178
49804.25     0.665733     0.049758    -1.695397
49804.50     0.795139     0.196752    -1.220398
49804.75     0.528459    -0.024205    -1.012739
49805.00     0.768216    -0.078614    -0.372193
49805.25     0.573085    -0.135467    -0.658483
49805.50     0.815833     0.099900    -0.523566
49805.75     0.256106    -0.076242    -0.795057
49806.00     0.092301    -0.094191    -0.377435
49806.25    -0.371495    -0.126705    -0.418088
49806.50    -0.337664     0.163917     0.292738
49806.75    -0.897215    -0.136772     0.012827
49807.00    -0.588256    -0.172483     0.838545
49807.25    -0.832914    -0.257006     0.830990
49807.50    -0.624820    -0.055506     1.525236
49807.75    -0.907758    -0.277744     1.530440
49808.00    -0.434930    -0.308253     1.903746
49808.25    -0.401113    -0.379987     1.434951
49808.50     0.007844    -0.092827     1.559302
49808.75    -0.090508    -0.159017     1.339027
49809.00     0.456341    -0.058199     1.682869
49809.25     0.556870    -0.056827     1.058293
49809.50     1.038715     0.211343     1.125396
49809.75     0.788778     0.022932     0.471745
49810.00     1.023091    -0.017743     0.717119
49810.25     0.740888    -0.133648     0.056052
49810.50     0.890306     0.056877    -0.076868
49810.75     0.389668    -0.044543    -0.085600
49811.00     0.484119     0.028935     1.210933
49811.25     0.040261     0.044488     1.757141
49811.50    -0.042984     0.372412     3.406304
49811.75    -0.667996     0.120733     4.365062
49812.00    -0.668334    -0.355160     3.869068
49812.25    -0.876802    -0.611394     2.650941
49812.50    -0.778729    -0.443511     2.296683
49812.75    -1.186738    -0.579763     2.396698
49813.00    -0.655844    -0.617658     1.835779
49813.25    -0.434628    -0.567152     0.560099
49813.50    -0.022755    -0.150763     0.499856
49813.75    -0.353569    -0.080586     0.692298
49814.00     0.022426     0.092599     1.109554
49814.25    -0.122367     0.126269     0.664770
49814.50     0.010629     0.347192     0.596576
49814.75    -0.157282     0.200173     0.217288
49815.00     0.061392     0.176113     0.350737
49815.25    -0.113562     0.172551     0.280179
49815.50     0.033055     0.441795     0.551164
49815.75    -0.281404     0.327762     0.948246
49816.00    -0.269893     0.318071     1.669935
49816.25    -0.591740     0.300550     1.853639
49816.50    -0.397676     0.467399     2.446725
49816.75    -0.749909     0.112235     2.113677
49817.00    -0.508064    -0.189346     1.781988
49817.25    -0.529855    -0.630225    -0.447390
49817.50    -0.185278    -0.545571    -1.867467
49817.75    -0.315328    -0.790569    -3.250615
49818.00    -0.054583    -0.727779    -3.195661
49818.25    -0.121214    -0.753383    -3.928904
49818.50     0.272899    -0.355608    -4.140939
49818.75    -0.045213    -0.401481    -4.452022
49819.00     0.089787    -0.217421    -3.665595
49819.25    -0.255646    -0.114643    -3.461196
49819.50    -0.344692     0.278184    -2.486700
49819.75    -1.016430     0.120060    -2.170265
49820.00    -1.073531     0.287643    -0.594492
49820.25    -1.609974     0.297770     0.515002
49820.50    -1.709471     0.415346     1.897707
49820.75    -2.092255     0.171844     1.738829
49821.00    -1.851689     0.124968     1.788831
49821.25    -1.945208     0.047526     1.294134
49821.50    -1.649142     0.289793     1.239115
49821.75    -1.907783     0.182736     0.761191
49822.00    -1.733879     0.060777     0.351765
49822.25    -1.998116     0.049284    -0.008146
49822.50    -1.753276     0.363624     0.389628
49822.75    -1.953637     0.326006     0.453300
49823.00    -1.578632     0.317293     0.422111
49823.25    -1.606003     0.255010     0.031022
49823.50    -1.077708     0.530211     0.171189
49823.75    -1.083551     0.369697    -0.623814
49824.00    -0.786395     0.235862    -1.104078
49824.25    -0.544420     0.201627    -1.596705
49824.50    -0.588757     0.322556    -1.683674
49824.75    -0.800267     0.233566    -1.735077
49825.00    -0.518279     0.185852    -1.337174
49825.25    -0.523201     0.205479    -1.789185
49825.50    -0.213558     0.452146    -1.599034
49825.75    -0.369382     0.346702    -1.757399
49826.00    -0.250520     0.439300    -0.631568
49826.25    -0.506885     0.628988     0.021341
49826.50    -0.548028     1.068818     1.276757
49826.75    -1.139960     0.888196     1.533494
49827.00    -1.034361     0.683646     1.684346
49827.25    -1.233154     0.431849     0.723466
49827.50    -0.856420     0.543858     0.394651
49827.75    -1.004333     0.333289    -0.505649
49828.00    -0.676788     0.342043    -0.691477
49828.25    -0.820642     0.412778    -1.208323
49828.50    -0.653870     0.727499    -0.910226
49828.75    -1.185393     0.709253    -0.356956
49829.00    -1.282771     0.673463     0.625683
49829.25    -1.795594     0.512786     0.496523
49829.50    -1.758489     0.601875     0.930075
49829.75    -2.149893     0.261105     0.506381
49830.00    -1.935347     0.040787     0.104847
49830.25    -2.085938    -0.109710    -0.533685
49830.50    -1.690857     0.198763    -0.242297
49830.75    -1.843852     0.091896    -0.399534
49831.00    -1.372305     0.184477     0.010102
49831.25    -1.390932     0.267304    -0.073799
49831.50    -1.070992     0.655253     0.578557
49831.75    -1.231814     0.609447     0.693298
49832.00    -0.897213     0.613941     0.898594
49832.25    -0.902079     0.562142     0.258672
49832.50    -0.559510     0.756169     0.194969
49832.75    -0.701349     0.553538    -0.259068
49833.00    -0.387312     0.501657    -0.129229
49833.25    -0.418777     0.417513    -0.927850
49833.50    -0.100503     0.614808    -1.088361
49833.75    -0.346158     0.324235    -1.786687
49834.00    -0.130297     0.265972    -1.872725
49834.25    -0.308684     0.145417    -2.514117
49834.50    -0.041428     0.444259    -2.166823
49834.75    -0.371130     0.331661    -1.969215
49835.00    -0.363496     0.373785    -1.253944
49835.25    -0.615548     0.318941    -1.289430
49835.50    -0.506566     0.542245    -0.848897
49835.75    -0.749327     0.308903    -1.172047
49836.00    -0.420743     0.218170    -0.960948
49836.25    -0.578360     0.153534    -1.394734
49836.50    -0.333509     0.319861    -1.259417
49836.75    -0.587662     0.145988    -1.562911
49837.00    -0.218806     0.122954    -1.214340
49837.25    -0.267140     0.116402    -1.407867
49837.50     0.022810     0.375547    -1.031188
49837.75    -0.333766     0.200942    -1.278172
49838.00    -0.130093     0.166559    -0.768112
49838.25    -0.309056     0.092700    -0.858973
49838.50    -0.079000     0.373845    -0.048135
49838.75    -0.369595     0.177159     0.065669
49839.00    -0.195781     0.153547     0.722273
49839.25    -0.279196     0.066785     0.465702
49839.50    -0.074812     0.352809     0.823996
49839.75    -0.588732     0.134908     0.328632
49840.00    -0.392955     0.050882     0.584100
49840.25    -0.657756     0.004159     0.026288
49840.50    -0.400402     0.173618    -0.096962
49840.75    -0.623439    -0.004026    -0.436913
49841.00    -0.278386    -0.038734    -0.203309
49841.25    -0.253806    -0.082762    -0.927802
49841.50     0.155660     0.233659    -0.950686
49841.75    -0.016252     0.153849    -1.182839
49842.00     0.181273     0.237940    -0.483146
49842.25     0.055761     0.285839    -0.221748
49842.50     0.172565     0.544719     0.375548
49842.75    -0.066599     0.366516     0.456749
49843.00     0.134463     0.326380     1.230092
49843.25    -0.043602     0.220576     1.237364
49843.50     0.209287     0.302281     1.335928
49843.75     0.104136     0.012214     0.724366
49844.00     0.362700    -0.085584     0.230188
49844.25     0.070682    -0.223852    -0.601484
49844.50     0.302427    -0.021663    -0.468359
49844.75     0.066016    -0.129148    -0.590409
49845.00     0.330429    -0.165065    -0.710878
49845.25     0.183435    -0.195003    -1.084818
49845.50     0.711022     0.211754    -1.180811
49845.75     0.450052     0.148907    -1.775507
49846.00     0.848425     0.253966    -1.712607
49846.25     0.704111     0.230959    -1.911660
49846.50     1.118372     0.579170    -1.686113
49846.75     0.929075     0.571211    -1.247743
49847.00     1.215270     0.727067    -0.355038
49847.25     1.180763     0.762615    -0.446965
49847.50     1.370451     1.094297     0.136078
49847.75     1.038624     0.944515     0.274215
49848.00     0.958710     0.948340     0.950968
49848.25     0.773405     0.900935     1.141945
49848.50     0.830896     1.182718     1.973507
49848.75     0.371643     0.917604     2.059252
49849.00     0.279019     0.834431     2.609517
49849.25     0.041414     0.688092     2.667801
49849.50     0.055990     0.824899     2.799366
49849.75    -0.197108     0.592086     2.238012
49850.00    -0.080209     0.508626     2.179448
49850.25    -0.116961     0.460306     1.337378
49850.50     0.189992     0.681194     0.801649
49850.75     0.120285     0.499935    -0.242309
49851.00     0.383654     0.503174    -0.340891
49851.25     0.336227     0.487326    -0.825728
49851.50     0.576607     0.858071    -0.260658
49851.75     0.162921     0.778306     0.248625
49852.00     0.210464     0.813127     1.117191
49852.25     0.035424     0.777838     1.170895
49852.50     0.246469     1.011406     1.794410
49852.75     0.016550     0.695588     1.318969
49853.00     0.421719     0.610771     1.624558
49853.25     0.378545     0.447346     1.039377
49853.50     0.648085     0.621418     1.143525
49853.75     0.462097     0.567249     1.090074
49854.00     0.593218     0.613265     1.660198
49854.25     0.402076     0.706695     1.553588
49854.50     0.418300     1.053659     2.174326
49854.75    -0.214550     1.103827     2.705910
49855.00    -0.407853     1.068924     3.749178
49855.25    -0.878367     0.867763     3.431448
49855.50    -0.865408     0.968004     3.484245
49855.75    -1.390159     0.753761     2.875689
49856.00    -1.497620     0.664890     2.908411
49856.25    -1.789036     0.571689     2.563014
49856.50    -1.912010     0.655256     2.398760
49856.75    -2.438551     0.366411     1.969504
49857.00    -2.458014     0.270533     1.972841
49857.25    -2.646853     0.167918     1.624484
49857.50    -2.477196     0.309020     1.500130
49857.75    -2.576593     0.170320     0.782643
49858.00    -2.159497     0.287195     0.817679
49858.25    -2.145841     0.319407     0.043802
49858.50    -1.771434     0.578173     0.069574
49858.75    -1.919776     0.444969    -0.122494
49859.00    -1.648356     0.376079    -0.044260
49859.25    -1.660869     0.226068    -0.779863
49859.50    -1.264093     0.303067    -0.924311
49859.75    -1.438290     0.018298    -1.862189
49860.00    -1.238313    -0.099649    -2.293420
49860.25    -1.239862    -0.204282    -2.876454
49860.50    -0.866356     0.023015    -3.008263
49860.75    -1.251592    -0.077267    -3.048425
49861.00    -1.003883     0.011233    -2.199326
49861.25    -1.286775     0.022672    -1.830886
49861.50    -1.227069     0.263771    -0.906391
49861.75    -1.393323     0.022520    -1.101487
49862.00    -0.906538     0.018705    -1.064400
49862.25    -0.831354    -0.125628    -1.940106
49862.50    -0.346867     0.038556    -2.634316
49862.75    -0.675415    -0.173115    -3.420857
49863.00    -0.439155    -0.136630    -3.208867
49863.25    -0.521414    -0.235974    -3.779086
49863.50    -0.181329    -0.037372    -3.597665
49863.75    -0.496968    -0.258044    -3.968689
49864.00    -0.285145    -0.261459    -3.487358
49864.25    -0.374816    -0.336324    -4.106969
49864.50    -0.175349    -0.080444    -4.039031
49864.75    -0.470751    -0.224462    -4.538032
49865.00    -0.333065    -0.178749    -4.172699
49865.25    -0.452212    -0.240740    -4.679512
49865.50    -0.100695     0.108950    -4.204163
49865.75    -0.451850     0.015863    -3.951487
49866.00    -0.245626     0.172652    -2.670654
49866.25    -0.346587     0.289368    -1.730169
49866.50    -0.191745     0.670292    -0.207080
49866.75    -0.702104     0.479730     0.610892
49867.00    -0.764090     0.359299     1.392783
49867.25    -0.976996     0.177686     1.126992
49867.50    -0.722970     0.403591     1.372671
49867.75    -0.880802     0.171692     0.881723
49868.00    -0.789846     0.149510     0.817296
49868.25    -1.028110     0.099072     0.266466
49868.50    -0.895260     0.270837     0.163807
49868.75    -1.243308     0.164065    -0.165381
49869.00    -1.037278     0.191905     0.018652
49869.25    -0.950478     0.119156    -0.521378
49869.50    -0.618877     0.314600    -0.718092
49869.75    -0.775314     0.145285    -1.096114
49870.00    -0.536563     0.182900    -0.862409
49870.25    -0.348075     0.222638    -1.404889
49870.50    -0.024092     0.427295    -1.387461
49870.75    -0.195991     0.324080    -1.435800
