Non-native plant species of Sequoia and Kings Canyon National Parks

See legend at end of document for column heading definitions. 

Common Name,Scientific Name,Family,Lifeform,BRDCat
hedge mustard,Sisymbrium officinale L.,Brassicaceae,F,4
heliotrope,Heliotropium curassavicum L.,Boraginaceae,F,4
herb sophia,Descurainia sophia (L.) Webb,Brassicaceae,F,1
hop clover,Trifolium campestre Shreber,Fabaceae,F,4
horehound,Marrubium vulgare L.,Lamiaceae,F,1
hyssop loosestrife,Lythrum hyssopifolium L.,Lythraceae,F,4
Indian hedge mustard,Sisymbrium orientale L.,Brassicaceae,F,4
iris,Iris sp. L.,Iridaceae,F,2
Italian thistle,Carduus pycnocephalus L.,Asteraceae,F,1
Jerusalem oak,Chenopodium botrys L.,Chenopodiaceae,F,4
knawel,Scleranthus annuus L. ssp. annuus,Caryophyllaceae,F,4
knotted hedge-parsley,Torilis nodosa (L.) Gaertner,Apiaceae,F,4
lambs quarters,Chenopodium album L.,Chenopodiaceae,F,4
little hop clover,Trifolium dubium Sibth.,Fabaceae,F,4
London rocket,Sisymbrium irio L.,Brassicaceae,F,4
long-beaked filaree,Erodium botrys (Cav.) Bertol,Geraniaceae,F,4
milk thistle,Silybum marianum (L.) Gaertner,Asteraceae,F,1
moss pygmyweed,Crassula tillaea Lester-Garl.,Crassulaceae,F,4
mouse-ear chickweed,Cerastium glomeratum Thuill.,Caryophyllaceae,F,4
musky stork's bill,Erodium moschatum (L.) L'Her.,Geraniaceae,F,4
narrowleaf cottonrose,Filago gallica L.,Asteraceae,F,4
old-man-in-the-spring,Senecio vulgaris L.,Asteraceae,F,4
pennyroyal,Mentha pulegium L.,Lamiaceae,F,1
perennial sweet pea,Lathyrus latifolius L.,Fabaceae,F,1
Persian speedwell,Veronica persica Poiret,Scrophulariaceae,F,4
petty spurge,Euphorbia peplus L.,Euphorbiaceae,F,4
pineapple weed,Chamomilla suaveolens (Pursh) Rydb.,Asteraceae,F,4
prickly lettuce,Lactuca serriola L.,Asteraceae,F,4
prickly sow thistle,Sonchus asper (L.) Hill ssp. asper,Asteraceae,F,4
purple sand-spurry,Spergularia rubra (L.) J.S. Presl & C. Presl.,Caryophyllaceae,F,4
purple vetch,Vicia benghalensis L.,Fabaceae,F,1
radish,Raphanus sativus L.,Brassicaceae,F,4
red-stemmed filaree,Erodium cicutarium (L.) L'Her.,Geraniaceae,F,4
rose campion,Lychnis coronaria (L.) Desr.,Caryophyllaceae,F,4
rose clover,Trifolium hirtum All.,Fabaceae,F,4
rupture wort,Herniaria hirsuta L. ssp. cinerea (DC.) Cout.,Caryophyllaceae,F,4
Russian thistle,Salsola tragus L.,Chenopodiaceae,F,4
safflower,Carthamus tinctorius L.,Asteraceae,F,4
sand spurrey,Spergularia bocconii (Scheele) Merino,Caryophyllaceae,F,4
scarlet pimpernel,Anagallis arvensis L.,Primulaceae,F,4
sheep sorrel,Rumex acetosella L.,Polygonaceae,F,4
shepherd's purse,Capsella bursa-pastoris (L.) Medikus,Brassicaceae,F,4
shortpod mustard,Hirschfeldia incana (L.) Lagr.-Fossat,Brassicaceae,F,4
silversheath knotweed,Polygonum argyrocoleon Kunze,Polygonaceae,F,4
slender sow thistle,Sonchus tenerrimus L.,Asteraceae,F,4
smallflower buttercup,Ranunculus parviflorus L.,Ranunculaceae,F,1
smooth cat's ear,Hypochaeris glabra L.,Asteraceae,F,4
sourclover,Melilotus indica (L.) All.,Fabaceae,F,1
spearmint,Mentha spicata L. var. spicata,Lamiaceae,F,1
spotted spurge,Chamaesyce maculata (L.) Small,Euphorbiaceae,F,4
spreading hedge-parsley,Torilis arvensis (Hudson) Link,Apiaceae,F,4
stinkweed,Anthemis cotula L.,Asteraceae,F,4
summer snowflake,Leucojum aestivum L.,Liliaceae,F,2
swine cress,Coronopus didymus (L.) Smith,Brassicaceae,F,4
thymeleaf sandwort,Arenaria serpyllifolia L. ssp. serpyllifolia,Caryophyllaceae,F,4
thymeleaf speedwell,Veronica serpyllifolia L. ssp. serpyllifolia,Scrophulariaceae,F,4
tiny bedstraw,Galium murale (L.) All.,Rubiaceae,F,4
tocolote,Centaurea melitensis L.,Asteraceae,F,4
tomatillo,Physalis philadelphica Lam.,Solanaceae,F,4
toothed dock,Rumex dentatus L.,Polygonaceae,F,4
tumblemustard,Sisymbrium altissimum L.,Brassicaceae,F,4
tumbleweed,Amaranthus albus L.,Amaranthaceae,F,4
turkey tangle fogfruit,Phyla nodiflora (L.) E. Greene var. nodiflora,Verbenaceae,F,4
wall bedstraw,Galium parisiense L.,Rubiaceae,F,4
wand mullein,Verbascum virgatum Stokes,Scrophulariaceae,F,1
white clover,Trifolium repens L.,Fabaceae,F,1
white sweetclover,Melilotus alba Medikus,Fabaceae,F,1
white-stemmed filaree,Erodium brachycarpum (Godron) Thell.,Geraniaceae,F,4
wild radish,Raphanus raphanistrum L.,Brassicaceae,F,4
winter vetch,Vicia villosa Roth ssp. varia (Host) Corbiere,Fabaceae,F,1
woolly mullein,Verbascum thapsus L.,Scrophulariaceae,F,3
yellow salsify,Tragopogon dubius Scop.,Asteraceae,F,1
yellow star thistle,Centaurea solstitialis L.,Asteraceae,F,1
yellow sweetclover,Melilotus officinalis (L.) Pall.,Fabaceae,F,1
SHRUBS,,,,
Chinese privet,Ligustrum sinense Lour.,Oleaceae,S,1
cut-leaved blackberry,Rubus laciniatus Willd.,Rosaceae,S,1
firethorn,Pyracantha angustifolia (Franchet) C. Schneider,Rosaceae,S,1
French broom,Genista monspessulana (L.) L. Johnson,Fabaceae,S,1
Himalayan blackberry,Rubus discolor Weihe & Nees,Rosaceae,S,1
oleander,Nerium oleander L.,Apocynaceae,S,1
rock rose,Cistus sp. L.,Cistaceae,S,1
Spanish broom,Spartium junceum L.,Fabaceae,S,1
toyon,Heteromeles arbutifolia (Lindley) Roemer,Rosaceae,S,1
TREES,,,,
apple,Malus sylvestris Miller,Rosaceae,T,1
edible fig,Ficus carica L.,Moraceae,T,1
English walnut,Juglans regia L.,Juglandaceae,T,1
gray pine,Pinus sabiniana Douglas,Pinaceae,T,4
hickory,Carya sp. Nutt.,Juglandaceae,T,2
lemon-scented gum,Eucalyptus citriodora Hook.,Myrtaceae,T,1
olive,Olea europaea L.,Oleaceae,T,2
peach,Prunus persica (L.) Batsch,Rosaceae,T,2
persimmon,Diospyros sp. L.,Ebenaceae,T,2
pomegranate,Punica granatum L.,Punicaceae,T,2
southern California walnut,Juglans californica S. Wats.,Juglandaceae,T,1
southern catalpa,Catalpa bignonioides,Bignoniaceae,T,1
tamarisk,Tamarix sp. L.,Tamaricaceae,T,1
white mulberry,Morus alba L.,Moraceae,T,1
VINES,,,,
bindweed,Convolvulus arvensis L.,Convolvulaceae,V,1
English ivy,Hedera helix L.,Araliaceae,V,1
greater periwinkle,Vinca major L.,Apocynaceae,V,1
peppervine,Ampelopsis arborea Koehne,Vitaceae,V,1
puncture vine,Tribulus terrestris L.,Zygophyllaceae,V,4
wine grape,Vitis vinifera L.,Vitaceae,V,1
woodbine,Parthenocissus vitacea (Knerr) Hitchc.,Vitaceae,V,4

Legend (may be more easily viewed in a text editor or word-processing program)

Lifeform: G = grass.  S = shrub.  T = tree.  V = vine.  F = forb (a broad-leaved herb other than a grass).

BRDCat: Categorization according to the Biological Resources Division of the U.S. Geological Survey in Sequoia National Park-the four categories are described below (excerpted from the report Exotic Species Threat Assessment ... available at the Sequoia National Park website). 
Category 1 species are exotics that are currently restricted to a relatively small number of sites in each park and have either been shown to greatly affect native vegetation or have a high probability of causing serious impacts. 
Category 2 species are ones that generally have a lesser affect on native vegetation and are restricted to a relatively small number of sites. 
Category 3 species are those that have been shown to have a great effect on native vegetation: are broadly distributed in the parks: and are apparently increasing their ranges within the parks. 
Category 4 species are those that were detected by the surveys but not assigned to one of the three ranked categories and are considered low priority species. 
