GID	UNIQID	NAME	GWEIGHT	Unmutated; CLL-49;lc9n027	Unmutated; CLL-58;lc9n030	Unmutated; CLL-61;lc9n033	Unmutated; CLL-68;lc9n037	Unmutated; CLL-21;lc9n046	Unmutated; CLL-16;lc9n045	Unmutated; CLL-24;lc9n044	Unmutated; CLL-45;lc9n115	Unmutated; CLL-62;lc9n100	Unmutated; CLL-55;lc9n093	Unmutated; CLL-48;lc9n026	Unmutated; CLL-25;lc9n047	Unmutated; CLL-50;lc9n129	Unmutated; CLL-52;lc9n108	Unmutated; CLL-15;lc9n005	Mutated_high; CLL-39;lc9n074	Mutated_high; CLL-57;lc9n029	Mutated_high; CLL-19;lc9n041	Mutated_high; CLL-53;lc9n040	Mutated_high; CLL-65;lc9n034	Mutated_high; CLL-66_SL106;lc9n035	Mutated_high; CLL-10;lc9n039	Mutated_high; CLL-69;lc9n038	Mutated_high; CLL-17;lc9n042	Mutated_high; CLL-59;lc9n031	Unmutated; CLL-60;lc9n032	Mutated_low; CLL-51;lc9n028	Mutated_low; CLL-22;lc9n043
GENE23X	13606	*Unknown  UG Hs.256295  ESTs; Clone=1336419	1		-0.01	0.01	-0.10	-0.29	-0.32	-0.24	-0.04	0.00	-1.06	-0.34	0.20	0.05	-0.32		1.20	1.13	0.71		0.93	-0.19	0.34	-0.10	0.45	0.62	0.51	-0.31	0.37
GENE15X	12874	*Unknown  UG Hs.122383  EST; Clone=825954	1	-0.37	0.00	-0.47	-0.35	-0.31	-0.28	0.26	-0.26	-0.79	-0.74	-0.54	0.84	-0.97	-0.63	-0.47		0.48	1.48	0.62	1.74	-0.10	0.60	0.23	0.41	0.72	1.90	0.18	0.48
GENE1X	10115	*Unknown  UG Hs.256295  ESTs; Clone=1250578	1	0.13	0.05	-0.38	-0.30	-0.46	-1.12	-0.11	-0.24	0.09	-0.83	-0.34	0.11		-0.11	-0.01	1.00	0.28	0.63	0.54	0.67	0.65	0.00	0.22	0.10	-0.15	0.26	-0.52	-0.01
GENE34X	14783	(Unknown; Clone=1356619)	1	0.38	0.72	-0.23	-0.24	-0.32	0.10	0.10	-0.39	-0.31	-0.65	-0.38	-0.38	-0.08	-0.80	-0.27	0.09	0.28	0.84	0.08	-0.09	0.23	0.81	0.44	0.57	0.57	-0.36	0.39	-0.21
GENE37X	15506	(Unknown; Clone=1370042)	1	-0.44	-0.05	0.00	-0.91	0.08		-0.87	-1.05	-1.22	-0.75	-0.36	-1.58	-1.11		-1.63		1.18	1.40	1.47	1.32	0.40	1.13	1.52	1.01	1.65	0.30	0.86	-0.15
GENE17X	12971	*Unknown; Clone=1286077	1	-0.38	0.26	-0.17	-0.90	-0.05		-0.16	-1.21	-0.83	-0.98	-1.11		-1.32	-0.83	-0.79	0.49	0.66	1.22	1.10	0.99	0.39	1.01	1.34	0.91	1.51	0.05	0.61	-0.17
GENE161X	22475	*Unknown  UG Hs.255663  ESTs; Clone=2072454	1	-0.64	0.03	0.48	-0.45	0.25	-0.34	-0.03	0.03	-0.43	-0.72	-0.55	-1.25	-0.97	-0.45	-0.81	0.19	-0.14	0.77	0.43	0.25	-0.16	0.67	0.05	0.35	0.49	0.33	-0.60	0.79
GENE40X	15708	*Unknown  UG Hs.120633  ESTs; Clone=1241410	1	-0.58	-0.27	-0.06	0.79	0.05			-0.96	-1.33	-1.03	-1.33	-0.77	-0.67		-0.36		-0.05	1.01	1.31	0.10	-0.11	1.08	0.11	0.30	0.86	0.05	0.65	1.57
GENE29X	14408	*Unknown  UG Hs.123579  ESTs; Clone=1352920	1	0.18	0.58	-0.18	-0.53	-2.18	-0.77	-2.16	1.12	-0.50	-1.61	-0.79	-2.07	-1.07	-2.59	-1.18	0.27	0.88	0.82	1.15	0.43	0.30	0.90	0.34	-0.35	0.51	0.60	1.08	-2.62
GENE24X	13674	*Unknown; Clone=1336946	1	-1.89	0.10	0.56	-0.55	-0.67	-0.10	-0.60	-0.39	-0.36	-0.80	-0.81	-0.58	0.09	-1.41	0.50	-0.20	0.76	0.33	0.58	0.57	0.52	0.36	0.73	-0.09	0.69	0.30	0.79	-2.41
GENE38X	15590	*Unknown; Clone=1371231	1	-0.38	-0.40	0.00	-1.12	-0.41	0.17	-0.35	-0.30	0.23	-1.93	-0.47	-0.38	-0.38		-0.33	0.41	0.24	0.51	0.38	1.31	0.09		0.97		0.72	0.15	0.12	-1.27
GENE184X	2588	(Unknown  UG Hs.99657  ESTs; Clone=814454)	1	-0.13	-0.13	-0.33	-0.03	-0.04	-0.24	-0.13	0.08	-0.27	-0.11	0.04			0.31	0.30	0.05	0.36	0.31	0.53	0.29	0.18		0.27	-0.02	0.58	-0.27	0.00	-1.02
GENE10X	1152	*Unknown  UG Hs.182606  ESTs; Clone=712249	1	-0.48	-0.01	-0.54	-0.32	-0.11	-0.20	-1.30	0.00	0.16	-0.31	0.08		0.48	-0.41	-0.52	-0.02	0.06	0.70	0.56	0.45	0.12	0.43	0.42	0.23	0.55	-0.33	0.22	-1.14
GENE189X	356	*Unknown; Clone=685312	1	-0.70				-0.31			-0.25		-0.99	-1.47	0.16				0.61	0.64	0.34	-0.01	0.00	0.91	0.36	0.38	0.33	0.48	-1.68	-0.15	-1.19
GENE179X	24249	*Unknown  UG Hs.105136  ESTs; Clone=824681	1	-0.17	-0.36	-0.63	-0.26	0.32	-0.43	-0.55	-0.13	-0.48	-0.80	-0.76		0.21	0.00	0.04	0.97	0.85	0.39	0.36	0.65	-0.34	0.59	0.27	0.49	0.48	-0.69	0.39	-0.30
GENE180X	25063	*Unknown; Clone=1340918	1	-0.05	0.00	-0.59	-0.77	0.02	-0.29	-0.64	-0.33		-0.19	-0.93				0.00	0.26	0.11	0.34	0.49	-0.34	0.09	0.40	0.63	0.40	0.09	-0.64	0.93	-0.15
GENE183X	25246	*JAW1=lymphoid-restricted membrane protein; Clone=815539	1	1.03	1.01	0.77	0.45	0.26	0.12	0.39	0.65	-0.43	1.14	0.23			-0.48	-0.01	-0.90	0.01	-0.72	-0.12	-0.05	-0.12	-0.05	-0.90	-0.18	-0.94	-1.01	0.45	0.01
GENE181X	25070	*Unknown; Clone=1351325	1	0.69	0.74	1.34	0.53	1.08	0.51	0.84	1.04			-0.65	0.36			-0.10	-0.71	-0.17	-0.49	-0.47	-0.56	-0.36	0.36	-0.56	-0.06	0.06	-1.35	0.86	-0.57
GENE97X	18248	*GFI-1=growth factor independent 1=zinc finger transcription factor=near retroviral insertion in mouse B leukemia/lymphoma; Clone=1184197	1	0.66	0.00	0.55	0.83	0.55	0.00	-0.27	0.15	0.00	0.25	0.18	0.47	0.47	0.61	0.04	-0.53	-0.37	-0.17	-0.37	-1.00	-0.42	-0.71	-0.71	-0.09	-0.71	-0.59	0.15	-0.05
GENE79X	17461	*GFI-1=growth factor independent 1=zinc finger transcription factor=near retroviral insertion in mouse B leukemia/lymphoma; Clone=1184197	1	0.61	0.46	1.02	1.17	0.70	-0.15	0.00	0.08	-0.83	0.00	0.00	0.04	0.08	0.24	0.49	-0.61	-1.42	-0.36	-0.30	-1.00	0.08	-0.36	-0.54	0.24	-0.83	-0.76	-0.42	-0.30
GENE70X	17093	(transcription factor ERF-1; Clone=594372)	1	0.06	0.34	0.45	0.02	0.44	0.35	0.18	0.37	-0.02	0.08	-0.07		0.28	-0.20	0.28	-0.22	-0.38	-0.29	0.00	-0.56	-0.56	-0.41	-0.20	0.15	-0.56	-1.31	-0.36	0.32
GENE67X	16997	(PMS2=DNA mismatch repair mutL homologue; Clone=503115)	1	0.20	0.44	0.02	0.02	0.46	0.33	0.18	0.20	0.40	-0.02	-0.32		0.24	0.00	0.09	-0.17	-0.32	-0.22	-0.02	-0.56	-0.62	-0.02	-0.17	0.24	-0.39	-0.93	-0.20	0.30
GENE160X	22396	*ZAP70; Clone=2027720	1	0.87	1.02	0.44	-0.01	1.05	0.74	0.59	0.41	1.10	0.97	0.46	-0.17	0.01	1.29	0.64	-1.94	-1.74	-1.89	-1.89	-2.47	-1.22	-1.52	-2.32	-1.84	-2.06	-1.64	-0.17	0.58
GENE158X	22234	*ZAP70; Clone=2020715	1	0.99	1.02	0.33	-0.05	0.82	0.56	0.44	0.36	1.04	1.00	1.22	-0.31	-0.05	1.27	0.49		-1.10	-1.64	-1.16	-2.04	-1.47	-1.07	-1.44	-1.10	-1.44	-1.36	0.00	0.55
GENE96X	18247	*CASPASE-3=CPP32 isoform alpha=yama=cysteine protease; Clone=1184133	1	0.77	0.08	0.10	-0.18	0.47	0.25	0.10	0.49	0.05	0.95	0.15	-1.12	-0.12	0.00	0.60	-0.42	-1.18	-0.70	-0.66	-1.53	-0.80	0.02	-0.42	-0.70		-1.00	-0.21	0.02
GENE62X	16919	(Spectrin alpha chain; Clone=453885)	1	0.30	0.20	0.02	0.32	0.79	1.13	0.46	0.09	0.61	0.50	0.07	-1.46		0.02	0.47	-0.57	-0.88	-0.78	-0.66	-0.93	-0.28	-1.05	-0.85	0.00	-0.46	-1.05	-0.73	-0.33
GENE6X	11075	(Unknown; Clone=1285307)	1	0.26	-0.07	0.25	0.34	0.36	0.74	0.13	0.13	0.56	0.24	0.07	-0.65		0.13	0.47		-0.67	-0.61	-0.50	-0.64	-0.33	-0.44	-0.19	0.09	-0.62	-0.92	-0.27	-0.57
GENE103X	18405	*putative oral tumor suppressor protein (doc-1); Clone=1288538	1	0.38	0.46	0.10	0.00	0.68	-0.20	0.74	0.20	0.38	0.70	0.00	0.10	-0.32	0.17	1.05	-0.47	-0.57	-0.80	-1.32	-0.93	-0.80		-0.37	0.10	-0.80	-0.62	-1.15	-0.04
GENE203X	9883	(Multidrug resistance-associated protein homolog (MRP5); Clone=1185475)	1	1.07	1.29	0.86	0.88	1.30	1.15	0.64	0.31	1.19	0.82	0.00	-1.12		0.47	0.90	-0.68	-0.68	-0.46	-0.66	-1.07	-0.99	-0.10	-1.01	0.27	-0.73	-0.86	-0.44	-0.15
GENE136X	20944	*Unknown  UG Hs.18987  ESTs; Clone=1185980	1	0.97	1.18	0.63	0.54	0.67	1.75	0.33	-0.21	0.55	0.13	0.41	-0.67	-0.46	0.00	0.67	-0.59	-0.82	-0.39	0.11	-0.72	-0.55	0.00	-0.46	-0.46	-0.67	-0.59	-0.28	0.05
GENE47X	16599	(14-3-3 epsilon; Clone=266106)	1	0.85	0.80	0.08	0.00	0.17	0.75		0.32	-0.20	0.52	0.24		-0.20	0.46	0.95	-0.54	-0.20	-0.30	-0.20	0.17	-0.42	0.00	-0.42	0.00	-0.10	-0.54	-0.20	-0.10
GENE186X	2732	*myb-related gene B=B-myb; Clone=815526	1	0.07	1.55	0.15	0.53	1.07	0.63	0.15	0.07	1.44	0.00	1.18		0.29	0.58	0.73	-1.85	-1.17	-0.71	-0.47	-0.09	-0.27	-0.47	-0.85	-0.37	-0.27	-0.59	-0.71	-0.27
GENE42X	15976	*ckshs1=homolog of Cks1=p34Cdc28/Cdc2-associated protein; Clone=810899	1	0.41	1.63	0.15	0.58	1.11	0.68	-0.37	-0.09	1.96	0.07	1.07	0.00	0.22	0.00	1.22	-1.17	-0.85	-0.37	-0.59	-0.09	-0.85	0.00	-0.59		-0.17	-0.37	-0.27	0.00
GENE27X	13876	*DMD=dystrophin; Clone=1338987	1		1.30	1.27	0.47	1.07	2.69	0.81	0.87	0.96	-0.53	1.64	-0.21	0.42	0.21	0.95	-0.83	-0.70	-1.21	-1.40	-0.35	0.39	-1.86	-2.17	-1.25	-0.67	-0.45		-0.64
GENE185X	2689	*CASPASE-3=CPP32 isoform alpha=yama=cysteine protease; Clone=815058	1	1.07	0.45	0.05	0.03	0.49	0.42	-0.02	0.78	0.50	0.90	0.44		0.03	0.00	0.07	-0.55	-0.73	-0.42	-0.30	-1.22	-0.30	0.18	-0.80	-0.30	-0.73	-1.12	0.00	-0.17
GENE169X	2322	*CASPASE-3=CPP32 isoform alpha=yama=cysteine protease; Clone=712181	1	0.99	0.27	0.00	0.53	0.29	0.35	0.08	1.03	1.05	0.83	0.22	-0.26		-0.03	0.18	-0.40	-0.75	-0.47	-0.14	-0.90	-0.71	0.08	-0.67	-0.40	-0.63	-0.90	0.00	-0.11
GENE159X	22316	*Unknown  UG Hs.74669  vesicle-associated membrane protein 5 (myobrevin); Clone=2021678	1	0.95	0.54	-0.12	0.40	0.80	0.73	-0.24	1.18	0.59	0.86	0.51		0.06	0.06	-0.16	-1.03	-0.47	-0.21	0.01	-0.47	-0.44	0.00	-0.22	-0.41	0.10	-1.03	-0.01	0.00
GENE193X	4231	*CD59=LY-6-like protein regulating complement membrane attack; Clone=45720	1	0.94	0.09	-0.22	1.11	0.93	0.80	0.14	-0.26	0.96	0.65	0.00		0.22	0.17	0.32	-0.40	-0.09	-0.22	0.41	-0.26	-0.49	-0.22	-0.66	-0.03	-0.66	-0.86	0.71	-0.26
GENE139X	21091	(Unknown  UG Hs.199250  chloride channel 4; Clone=1285431)	1	-0.26	0.03	0.14	0.21	0.28	-0.02	0.18	0.45	0.48	0.58	0.75		-0.11	0.30	0.64	-0.48	-0.26	-0.78	-0.36	-0.61	-0.56	-0.03	0.00	0.17	-0.80	-0.65	0.28	-0.51
GENE26X	13806	*Unknown  UG Hs.123218  ESTs; Clone=1338420	1	-0.23	0.09	0.06	0.26	0.20	0.35	0.74	0.20	0.98	0.57	0.57	0.06	-0.32	0.13	0.09	-0.47	-0.06	-0.27	-0.81	-0.88	-0.10	-0.27	-0.10	-0.10	-0.52	-0.37	0.26	-1.27
GENE55X	16767	*TIMP-2=Tissue inhibitor of metalloproteinase 2; Clone=325072	1	0.86	-0.02	0.35	0.43	0.42	0.11	0.35	-0.61	0.07	0.15	0.98			-0.24	0.45	0.02	-0.55	-0.83	-0.44	-0.37	-0.36	-0.37	-0.63	0.13	-0.71	-0.96	0.32	-1.08
GENE46X	16583	(Angiopoietin-1; Clone=256502)	1	0.33	0.07	0.44		0.07	0.49	0.51				1.26	0.22			0.78		-0.07			-0.27	-0.31	-0.15	-0.35	-0.07	-0.07	-0.64	0.00	-0.31
GENE147X	21319	(Unknown  UG Hs.180236  ESTs; Clone=1318137)	1	0.30	0.12	-0.03	0.12	0.23	0.03	0.06	0.20	0.49	0.25	0.06		-0.23	0.49	0.00	0.03	0.00	-0.06	-0.43	-0.06	-0.34	-0.31	-0.20	-0.13	-0.27	-0.34	0.00	-0.16
GENE39X	15689	(Unknown; Clone=1241136)	1	0.68	0.07	0.00	0.00	0.00	0.14	0.03	0.48	0.53		0.53	-0.11		0.23	0.10		-0.42	-0.20	-0.47	0.26	-0.86	-0.32	-0.15		-0.57	-0.08	0.14	-0.42
GENE119X	18601	*Cyclin D2/KIAK0002=3Õ end of KIAK0002 cDNA; Clone=1357360	1	0.95	0.00	0.92	0.29	0.03	0.51	0.51	-0.03	1.19	0.21	0.72	-0.17		0.64	0.00	-0.41	-0.64	-0.17	-0.74	-0.37	-0.41	-0.45	0.36	0.03	-0.17	-0.79	-0.03	-0.69
GENE60X	16858	*Cyclin D2/KIAK0002=3Õ end of KIAK0002 cDNA; Clone=366412	1	0.78	0.09	0.85	0.23	0.52	0.68	0.88	0.40	1.05	0.34	0.90	-0.12	-0.17	1.18	-0.22	0.12	-0.54	-0.04	-0.37	-0.54	-0.73	-0.66	-0.37	0.00	-0.22	-0.80	0.00	-0.32
GENE152X	21609	*IL-2/IL-4/IL-7/IL-9/IL-15 receptor common gamma chain; Clone=1368048	1		0.60	-0.11	0.06	-0.01	0.16	0.08	0.53	0.45	0.77	0.01		-0.22	0.50	0.35	-0.33	0.10	-0.17	0.28	-0.40	-0.46	-0.22	-0.56	-0.27	-0.40	-1.14	0.07	-0.66
GENE57X	16793	*gravin =cytoplasmic anchor protein for protein kinases A and C=induced by phorbol ester; Clone=343061	1	1.80	1.94	1.19	0.34	-0.12		-0.20	1.00	1.69	1.43	0.77	-0.42		0.61	0.58	-1.04	0.12		0.19	-1.14	-1.45	-0.60	-0.20		-0.23	-1.20	-0.35	-1.76
GENE141X	21128	*MDS019=phorbolin I paralogue; Clone=1287889	1	1.25	1.01	0.76	-0.13	0.75	0.64	0.15	0.74	0.92	0.28	0.63	-1.37	-0.49	0.33	0.24	0.08	-0.12	-0.63	-0.08	-1.50	-1.37	-0.39	-1.17	-0.20	-1.53	-1.51	0.39	-2.05
GENE138X	21089	*MDS019=phorbolin I paralogue; Clone=1284557	1	1.17	1.09	0.75	0.00	0.78	0.71	0.00	0.96	1.23	0.30	0.70		-0.43	0.12	0.29	-0.14	-0.11	-0.63	-0.21	-1.45	-1.32	-0.23	-1.10	0.02	-1.24	-1.40	0.29	-2.43
GENE99X	1832	*IRF-2=interferon regulatory factor-2; Clone=686605	1	0.51	0.17		-0.46	0.41	0.32	-0.01	0.63	0.74	0.80	0.24	-0.62	0.10	0.18	0.32	0.00	-0.37	-0.25	0.00	-0.14	-0.59	-0.50	-0.77	-0.26	-0.72		0.26	-0.89
GENE127X	20332	*PML=promyelocytic leukemia protein=nuclear body protein=translocated to retinoic receptor alpha in acute promyelocytic leukemia; Clone=705046	1	0.31	0.32	0.18	-0.30	-0.03	1.21	0.39	0.29	0.22	0.03	0.37	0.13	0.03	-0.18	0.37	-0.55	-0.21	-0.05	-0.27	0.33	-0.79	-0.27	-0.52	-0.34	-0.57	-0.60	0.19	-0.79
GENE48X	16613	*PAX-3=Paired box homeotic gene 3; Clone=270469	1	0.24	0.06		-0.25	-0.14	0.68	-0.25	0.40	0.04	0.09	0.56		0.26	0.16	0.39	-0.36	-0.01	0.17	-0.33	-0.29	-0.49	0.01	-0.36	-0.42	-0.51	-0.38	0.29	-1.03
GENE170X	23287	*Unknown; Clone=2117706	1	0.59	0.94	0.23	-0.05	0.24	0.09	0.23	0.24	0.76	0.02	0.10	0.03	1.29	1.50	-0.31	0.42	-0.42	-1.15	-0.93	-0.96	-0.02	-0.16	-0.40	-0.56	-0.40	-2.49	-0.41	-1.69
GENE4X	10638	(Unknown  UG Hs.179221  ESTs; Clone=1271411)	1	0.09	0.45	0.53	0.06	-0.33	0.05	0.12	0.31	0.12	-0.16	0.09	0.03	0.24	0.20	0.01	-0.24	0.24	-0.23	-0.26	-0.48	-0.30	-0.34	-0.35	-0.48	-0.01	-0.49	-0.14	-0.37
GENE143X	21187	*Exosome component Rrp46=exoribonuclease; Clone=1300230	1	0.57	0.36	-0.20	0.00	0.18	0.18	0.04	0.00	0.27	0.11	0.04	-0.24	0.96	0.39	1.27	-0.11	0.11	-0.33	-0.64	-0.16	-0.76	-0.20	-0.58	-0.28	-0.07	-0.24	0.00	-1.04
GENE71X	17111	*Adenylate kinase 2 (adk2); Clone=626880	1	0.56	0.43	0.03	0.03	0.19	0.39	-0.15	-0.03	0.09	0.24	0.24			0.34	0.60	-0.61	0.09	-0.37	-0.29	-0.22	-0.29	-0.22	-0.37	-0.15	-0.29	-0.15	0.03	-0.61
GENE0X	10008	*Similar to antioxidant enzyme AOE37-2; Clone=1234104	1	0.35	0.47	-0.27	-0.09	0.15	0.15	0.29	0.53	0.07	0.00	0.41	0.35	0.22	0.00	0.58	-0.09	0.00	-0.17	-0.37	-0.17	-0.37	-0.27	-0.09	0.29	-0.09	0.15	0.00	-0.59
GENE102X	18386	*Casein kinase II alpha chain; Clone=1286561	1	0.31	0.10	-0.05	0.05	0.34	0.31	0.22	0.10	-0.10	0.49	0.34	-0.05	0.00	0.00	0.49	-0.10	-0.15	0.00	0.10	0.00	-0.32	-0.05	-0.51	-0.26	-0.44	-0.10	0.14	-0.51
GENE85X	17717	*Pak1=p21-activated protein kinase=regulates rho family signaling and cytoskeletal reorginization=phosphorylates and inhibits myosin light chain kinase; Clone=595474	1	1.46	0.83	-0.44	-0.48	1.37	2.09	1.30	0.61	0.20	1.45	0.09	0.06	0.58	0.52	0.52	-0.06	-0.40	-0.24	-0.40	-0.57	-0.52	-0.40	-1.28	-0.44	-0.67	-0.35	0.15	-0.44
GENE132X	20751	*SCAMP=secretory carrier-associated membrane protein=marker in the general cell surface recycling system; Clone=704732	1	0.33	0.18	-0.20	0.00	0.18	0.09	0.00	0.15	0.26	0.43	0.15	0.23	0.61	0.31	0.69	-0.52	0.23	-0.17	-0.31	-0.28	-0.20	-0.24	-0.24	-0.17	-0.03	-0.52	-0.13	-0.40
GENE20X	13131	(Similar to U2 small nuclear RNA-associated B'' antigen; Clone=1317709)	1	0.38	0.11	-0.24	0.23	0.13	0.23	0.03	0.32	0.58	0.72	-0.09	0.30		0.06	0.67	-0.49	0.16	-0.12	-0.24	-0.18	-0.12	-0.27	-0.27		-0.03	-0.15	-0.31	-0.15
GENE77X	17399	*TFAR15=apoptosis-related protein; Clone=950376	1	0.31	0.33	0.20	-0.09	0.24	0.15	0.09	0.29	0.49	0.61	0.04	0.49	0.48	-0.26	0.61	-0.11	0.36	-0.04	-0.04	-0.04	-0.42	-0.31	-0.42	-0.13	-0.13	-0.31	-0.09	-0.28
GENE41X	15907	*EBI3=cytokine receptor; Clone=768496	1	0.00	0.00	-0.15	0.17		0.22	0.46	0.42	1.06	0.26	0.79	0.85	0.60	-0.03	0.70	0.00	-0.05	0.08	-0.45	-0.05	0.08	-0.51	-1.15	-0.10	-0.36	-0.33	-0.68	-1.00
GENE98X	18255	*E2F-3=pRB-binding transcription factor=KIAA0075; Clone=1185900	1	0.19	0.11	-0.09	-0.24	-0.03	0.24	0.16	0.14	0.35	0.52	-0.28	0.03	0.57	0.39	0.53	0.11	0.06	0.06	-0.38	-0.46	-0.46	-0.46	-0.53	-0.18	-0.21	-0.21	-0.24	-0.24
GENE44X	16038	(MSP=MST1=macrophage stimulating protein=4-kringle domain cytokine=related to HGF; Clone=71432)	1	0.52	-0.03	-0.08	-0.53	0.50	0.19	0.73	0.47	0.23	0.41	-0.46	0.19	0.68	0.89	0.26	0.54	-0.53	0.03	-0.27	-0.80	-1.08	-0.60	-0.56	-0.18	-0.53	-0.42	0.03	-0.49
GENE128X	2036	*Calcineurin A2; Clone=701453	1	0.14	0.38	-0.01	-0.25	0.16	0.01	0.39	0.61	0.97	0.39	-0.15	0.12	0.46	0.49	0.25	0.03	-0.31	0.16	-0.36	-0.08	-0.71	-0.33	-0.54	-0.15	-0.18	-0.01	-0.28	-0.13
GENE84X	17714	*Adenylosuccinate lyase; Clone=501897	1	0.60	0.07	0.02	-0.15	0.29	0.11	0.36	0.70	1.29	0.48	-0.15	0.48	0.62	0.83	0.42	0.18	-0.15	-0.25	-0.40	-0.40	-0.71	-0.58	-0.46	-0.02	-0.15	-0.35	-0.15	-0.52
GENE145X	21217	(Unknown  UG Hs.131798  ESTs; Clone=1303144)	1	0.23	0.10	-0.41	0.03	0.16	0.36	0.00	0.20	0.56	0.14	0.16		-0.02	0.51	0.54	0.27	-0.18	-0.07	-0.23	-0.12	-0.55	-0.07	-0.48	-0.32	-0.62	0.10	-0.18	-0.32
