GID	UNIQID	NAME	GWEIGHT	Resting B Ave.	6h IgM	6h IgM CD40	6h IgM IL4	6h IgM CD40 IL4	24h IgM	24h IgM CD40	24h IgM IL4	24h IgM CD40 IL4	48h IgM CD40 IL4 low	48h IgM CD40 IL4 high
GENE1X	20815	(Unknown; Clone=814564)	1	0.00	0.57	0.98	0.56	0.4	0.54	0.69	0.76	0.59	0.61	0.99
GENE1X	16804	(Uridine monophosphate kinase; Clone=344219)	1	0.00	1.14	1.55	1.07	1.3	0.68	2.05	0.78	1.25	1.48	1.51
GENE1X	18532	(CD73=5' nucleotidase; Clone=1341245)	1	0.00	0.53	0.84	0.68	0.71	0.66	1.42	1.01	0.88	0.35	0.23
GENE1X	16991	*Adenylosuccinate lyase; Clone=501897	1	0.00	0.83	1.21	0.27	0.69	1.51	1.92	1.07	1.1	1.39	0.9
GENE1X	17714	*Adenylosuccinate lyase; Clone=501897	1	0.00	1.04		1.08	1.27	1.71	2.11	1.61	1.58	1.61	1.53
GENE1X	21319	(Unknown  UG Hs.180236  ESTs; Clone=1318137)	1	0.00	1.18	1.13	0.44	0.86	1.06	1.48	1.25	1.47	1.29	0.94
GENE1X	18495	*importin beta subunit=nuclear localization signal binding protein subunit; Clone=1335146	1	0.00	1.34	1.74	0.5	1.14	1.3	2.01	1.53	1.35	1.57	1.41
GENE1X	17111	*Adenylate kinase 2 (adk2); Clone=626880	1	0.00	1.35	1.63	0.85	1.11	1.22	2.32	1.2	1.89	1.48	1.41
GENE1X	16975	*importin beta subunit=nuclear localization signal binding protein subunit; Clone=488932	1	0.00	0.68	1.27	0.88	1.23	1.12	1.55	1.51	1.45	1.04	1
GENE1X	13131	(Similar to U2 small nuclear RNA-associated B'' antigen; Clone=1317709)	1	0.00	0.8		0.67	1.73	1.55	1.86	1.84	1.96	1.71	1.24
GENE1X	17808	*SET=fused to can in acute undifferentiated leukemia; Clone=51973	1	0.00	0.77	1.37	0.66	1.42	1.26	1.41	1.53	1.16	0.96	0.54
GENE1X	17399	*TFAR15=apoptosis-related protein; Clone=950376	1	0.00	0.35	1.2	0.21	1	0.84	1.24	1.18	0.91	1.09	0.82
GENE1X	17289	(Uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5'-decarboxylase); Clone=758926)	1	0.00	0.95	1.85	0.52		1.2	2.06	2.26	1.81		
GENE1X	18386	*Casein kinase II alpha chain; Clone=1286561	1	0.00	0.22	1.09	0.31	1.19	0.68	1.42	1.15	1.11	0.94	0.76
GENE1X	16599	(14-3-3 epsilon; Clone=266106)	1	0.00	0.89	1.35	0.53	0.96	1.2	1.98	1.4	1.24	0.73	0.88
GENE1X	16996	"*Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase; Clone=502761"	1	0.00	0.54		0.76	1.35	1.49	1.99	1.47	1.17	0.59	0.86
GENE1X	18365	*HPRT=IMP:pyrophosphate phosphoribosyltransferase E.C. 2.4.2.8.; Clone=1273101	1	0.00	0.67	1.56	0.78	1.64	1.5	2.13	1.09	1.67	1.65	1.56
GENE1X	18508	*K-ras; Clone=1337234	1	0.00	0.64	0.48	0.38	0.58	0.66	0.59	0.76	0.72	0.33	0.55
GENE1X	18405	*putative oral tumor suppressor protein (doc-1); Clone=1288538	1	0.00	1.16	0.73	0.93	0.77	1.11	1.49	1.33	1.5	0.82	0.73
GENE1X	16613	*PAX-3=Paired box homeotic gene 3; Clone=270469	1	0.00	0.79	0.54	0.38	0.49	0.88	1.39	1.18	1.06	0.99	1.13
GENE1X	16858	*Cyclin D2/KIAK0002=3' end of KIAK0002 cDNA; Clone=366412	1	0.00	0.48	1.17	1.08	1.83	1.09	3.66	2.3	2.57	1.77	1.96
GENE1X	18601	*Cyclin D2/KIAK0002=3' end of KIAK0002 cDNA; Clone=1357360	1	0.00	0.51	1.28	1.14	2.02	1.4	3.17	2.29	2.54	1.74	1.45
GENE1X	18582	*Adenylate kinase 2 (adk2); Clone=1355429	1	0.00	0.38	0.68	0.41	0.57	1	2.07	1.56	1.72	0.65	1.25
GENE1X	16792	*MAPKAP kinase (3pK); Clone=342647	1	0.00	0.54	0.66	0.76	0.54	0.48	0.85	0.59	0.8	0.66	0.26
GENE1X	16670	*Purine nucleoside phophorylase=Inosine phosphorylase=PNP; Clone=293109	1	0.00	0.34	1.05	0.48	0.12	0.7	2.14	1.68	1.56	1.07	0.68
GENE1X	21187	*Exosome component Rrp46=exoribonuclease; Clone=1300230	1	0.00	0.38	1.15	0.11	0.41	0.34	1.46	0.2	0.56	0.98	0.74
GENE1X	16663	*Adenine nucleotide translocator 2; Clone=291660	1	0.00	0.21	0.98	-0.07	-0.12	0.82	1.36	0.87	0.72	1.26	1.04
GENE1X	18554	*nm23-H2=NDP kinase B=Nucleoside dephophate kinase B; Clone=1352394	1	0.00	0.73	1.42	0.61	0.35	1.15	2.17	1.19	1.01	1.3	1.43
GENE1X	20023	(Similar to friend of GATA-1 (FOG)=zinc finger GATA-1 coactivator in erythroid and megakaryocyte lineages; Clone=1671396)	1	0.00	0.52		0.47	0.22	0.52	1.68	0.77	0.56	1.34	1.33
GENE1X	18613	*TSG101=tumor susceptiblity protein; Clone=1367431	1	0.00	0.62	0.76	0.83	0.47	1.02	0.78	1.04	0.53	0.79	0.42
GENE1X	20325	(Cell division cycle 10 (homologous to CDC10 of S. cerevisiae); Clone=704416)	1	0.00	1.28	0.44	1.44	0.69	1.66	0.84	1.82	1.05	1.38	1.08
GENE1X	17157	(Angiopoietin-2; Clone=669424)	1	0.00	0.81	0.52	0.66	0.07	0.63	1.09	0.93	0.4	1.04	0.58
GENE1X	14608	(Unknown; Clone=1354696)	1	0.00	0.94	0.36	0.8	-0.12	0.9	0.95	0.95	0.19	0.75	0.57
GENE1X	17653	(Uridine monophosphate kinase; Clone=344219)	1	0.00	1.25	1.68	0.97	0.97	0.96	-0.15	1.41	1.23	1.03	0.75
GENE1X	13375	(Similar to PC4=p14=p15=Activated RNA polymerase II transcriptional coactivator; Clone=1334097)	1	0.00	-0.02	-0.35	-0.22	-0.15	0.5	1.09	0.77	0.62	0.74	0.6
GENE1X	18581	*glutathione-S-transferase homolog; Clone=1355339	1	0.00	-0.65	0.08	-0.76	0.1	0.93	1.81	0.51	1.11	1.75	1.48
GENE1X	20751	*SCAMP=secretory carrier-associated membrane protein=marker in the general cell surface recycling system; Clone=704732	1	0.00	-0.4	0.45	0.03	0.31	0.5	1.01	1.08	0.61	0.97	0.58
GENE1X	18583	"*TFIIF-beta=Transcription initiation factor IIF, beta subunit=RAP30; Clone=1355461"	1	0.00	-0.26	0.37	-0.07	0.66	0.66	1.12	0.81	1.06	1.01	0.73
GENE1X	17902	*Glutathione synthetase; Clone=713648	1	0.00	-0.03	-0.48	0.07		0.52	0.7	0.34	0.12	1.05	0.96
GENE1X	21089	*MDS019=phorbolin I paralogue; Clone=1284557	1	0.00	0.93	0.64	0.61	-0.18	0.99	1.05	0.72	0.94	1.57	1.62
GENE1X	21128	*MDS019=phorbolin I paralogue; Clone=1287889	1	0.00	1.28	-0.1	0.61	0.01	0.83	1.32	0.73	0.81	1.34	1.8
GENE1X	12891	(Unknown; Clone=1186269)	1	0.00	0.25	0.22	0.54	-0.03	1.37	1.5	1.15	0.66	2.03	1.9
GENE1X	17813	*glutathione-S-transferase homolog; Clone=240613	1	0.00	0.18	0.12	-0.13	-0.1	1.01	1.74	0.71	1.09	2.07	1.71
GENE1X	17717	*Pak1=p21-activated protein kinase=regulates rho family signaling and cytoskeletal reorginization=phosphorylates and inhibits myosin light chain kinase; Clone=595474	1	0.00	1.07	0.4	0.34	-0.09	0.33	0.66	1.07	-0.13	0.49	0.39
GENE1X	15297	(Unknown; Clone=1355735)	1	0.00	-0.04	0.53	0.09	2.39	0.56	0.61	-0.13	-0.06	0.4	0.55
GENE1X	17633	*CD52=CAMPATH-1; Clone=301723	1	0.00	0.54	0.96	0.24	2.47	-0.18	1.76	0.31	0.93	1.29	1.6
GENE1X	4226	*cathepsin B; Clone=261517	1	0.00	0.27	2.78	0.82	0.39			0.97	0.05	0.46	0.55
GENE1X	16636	(ER-60 protein disulfide isomerase; Clone=280250)	1	0.00	-0.16	0.62	0.56	-0.16	1.06	1.18	1.63	1.03	-0.51	-0.22
GENE1X	18510	"(alkB=E.coli AlkB homolog, a protein involved in DNA alkylation damage repair; Clone=1337358)"	1	0.00	0.41	-0.21	0.75	-0.08	0	0.33	0.5	0.43	-0.2	0.1
GENE1X	21182	*Unknown  UG Hs.29390  ESTs; Clone=1299785	1	0.00	-1.04	-0.06	-0.14	0.93	0.15	0.13	0.69	0.55	-0.21	-0.11
GENE1X	21091	(Unknown  UG Hs.199250  chloride channel 4; Clone=1285431)	1	0.00		0.08	0.29		0.23	-0.89	-0.05	1.43	0.44	0.16
GENE1X	16866	"(Gap junction protein, beta 1, 32kD (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked); Clone=376522)"	1	0.00	0	-0.03	0.23	-0.45	-0.32	0	-0.26	0.19	-0.11	0.02
GENE1X	20959	"*Unknown  UG Hs.42954  ESTs, Weakly similar to AF151835_1 CGI-78 protein [H.sapiens]; Clone=1186406"	1	0.00		-0.33	0.37	0.06		-0.52	0.03	-1.23	0.44	0.29
GENE1X	16020	(progesterone receptor-associated p48 protein=putative tumor suppressor (SNC6); Clone=210887)	1	0.00		-0.59			-0.28	0.39	-0.31	-0.66	0.6	0.47
GENE1X	15976	*ckshs1=homolog of Cks1=p34Cdc28/Cdc2-associated protein; Clone=810899	1	0.00	-0.94	-2.12		0.29	-1.14	-0.09	-1.12	-0.98	0.5	0.5
GENE1X	17786	*TSC-22=TGF-beta-induced in mouse; Clone=135738	1	0.00	-1.39	-0.55			-0.71		-0.92	-1.79	-1.13	-1.36
GENE1X	21195	*Unknown  UG Hs.97275  ESTs; Clone=1301441	1	0.00		-0.83			-0.43	-0.6	-0.47	-0.94	-0.32	-0.76
GENE1X	20944	*Unknown  UG Hs.18987  ESTs; Clone=1185980	1	0.00		-0.77	-0.68		-0.37	-0.98	-1.3	-0.74	-0.65	-0.4
GENE1X	16997	(PMS2=DNA mismatch repair mutL homologue; Clone=503115)	1	0.00	-0.8	-1.02	-1.33	-1.47	-0.39	-0.95	-0.47	-1.08	0.34	0.19
GENE1X	16457	*AICL=activation-induced C-type lectin=PMA-inducible type II membrane protein encoded in the NKG2A complex; Clone=47481	1	0.00	-0.64	-0.75	-0.99		-0.24	-0.74	-0.68	-0.74	-0.17	-0.04
GENE1X	17093	(transcription factor ERF-1; Clone=594372)	1	0.00	-1.25		-1.04	-1.46	-0.76	-0.46	-0.61	-1.38	-0.22	-0.21
GENE1X	16767	*TIMP-2=Tissue inhibitor of metalloproteinase 2; Clone=325072	1	0.00		0.44				-1.22	-1.57	-1.33	0.01	-0.64
GENE1X	18586	*Unknown; Clone=1355720	1	0.00	-0.24	-0.4	-0.12	-0.56	0.05	0.21	0.27	-0.61	-0.65	-0.68
GENE1X	21426	*Unknown  UG Hs.117305  ESTs; Clone=1338864	1	0.00		-0.66			0.61	-0.13	0.33		-0.69	-0.15
GENE1X	14736	*Unknown  UG Hs.136981  ESTs; Clone=1356373	1	0.00	0.06	-0.41	0.37	0.31		-0.73	-0.43	0.23	-1.23	-0.72
GENE1X	16720	*BCL-7A; Clone=306139	1	0.00	-0.59	-0.57	-0.04	-0.3	-0.55	-0.79	-0.21	-0.45	-1.36	-1
GENE1X	20871	*Similar to KIAA1424=possible paralogue; Clone=825469	1	0.00	-0.92	-0.47		-0.18		-0.46	-0.02	0.18	-0.45	-0.53
GENE1X	16794	"*Protein tyrosine phosphatase, non-receptor type 9 (PTPase MEG2); Clone=342927"	1	0.00	-0.55	-0.24	0.01	0.16	-0.1	-0.45	0.22	-0.24	-0.21	-0.4
GENE1X	14877	*KIAA0808; Clone=1357480	1	0.00	-1.06				-0.53	-1.29	0.05	-0.39	-0.55	-0.34
GENE1X	18509	*BCL-7A; Clone=1337241	1	0.00	-0.88	-0.3	0.45	0.47	-0.27	-0.57	0.59	-0.05	-0.53	-0.49
GENE1X	20771	*Unknown; Clone=711756	1	0.00		-0.85		-0.33	-0.49	-0.17	-0.23	0.04	-0.44	-0.29
GENE1X	17607	*CD26=dipeptidylpeptidase IV; Clone=267758	1	0.00	0.06	0.42		-0.24	-0.26	-0.15	0.59	-0.43	-0.49	-0.42
GENE1X	14468	*Unknown  UG Hs.193736  hypothetical protein FLJ20706; Clone=1353413	1	0.00	-1.94	-2.35	-2.01	-2.09	-0.07	-1.51	-0.73	-1.15	-0.56	0.06
GENE1X	13144	*Unknown  UG Hs.193736  hypothetical protein FLJ20706;  Clone=1318111	1	0.00	-2.05	-2.23	-1.94	-1.92	0.42	-1.09	-0.36	-1.06	-0.14	0.06
GENE1X	21250	*Unknown  UG Hs.193736  hypothetical protein FLJ20706 ; Clone=1306406	1	0.00	-2.34	-2.21	-1.9	-2.11	-0.36	-1.2	-0.57	-1.34	0.15	0.08
GENE1X	13684	*Unknown  UG Hs.193736  hypothetical protein FLJ20706 ; Clone=1337018	1	0.00	-1.52	-2.17	-1.07	-1.61	-0.19	-1.5	-0.5	-0.99	-0.19	-0.01
GENE1X	13674	*Unknown; Clone=1336946	1	0.00	-1.82	-2.32	-1.55	-1.94	-0.65	-2.94	-1.17	-1.86	-1.04	-0.55
GENE1X	14408	*Unknown  UG Hs.123579  ESTs; Clone=1352920	1	0.00	-2.46				-0.97	-2.43	-1.14	-2.13	-0.51	-0.77
GENE1X	21112	*Unknown  UG Hs.61506  ESTs; Clone=1286796	1	0.00	-0.97	-1.31				-0.89	-0.4	-0.25	-0.28	-0.33
GENE1X	15708	(Unknown  UG Hs.120633  ESTs ; Clone=1241410)	1	0.00	1.08		-0.11	0.14	0.04	-1.95	-0.83	-1.03		-1
GENE1X	21435	*Unknown  UG Hs.20760  DKFZP564M182 protein; Clone=1339178	1	0.00	-0.55	1.58	-0.18	0.42	-0.06	0.39	0.34	-0.64	-0.08	0.16
