"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1995 ,"NITRATE COMPOUNDS",'N511',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,25256 ,. ,25256 ,0 ,0 ,0 ,0 ,0 ,25256 ,0 ,25256 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1995 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,25772 ,0 ,0 ,25772 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1995 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,41788 ,0 ,0 ,41788 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1996 ,"AMMONIA",'007664417',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1996 ,"NITRATE COMPOUNDS",'N511',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,30798 ,. ,30798 ,0 ,0 ,0 ,0 ,0 ,30182 ,0 ,30182 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1996 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,30798 ,0 ,0 ,30798 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1997 ,"NITRATE COMPOUNDS",'N511',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,44054 ,. ,44054 ,0 ,0 ,0 ,0 ,0 ,44054 ,0 ,44054 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1997 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,44953 ,0 ,0 ,44953 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1997 ,"PHOSPHORIC ACID",'007664382',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,16509 ,0 ,0 ,16509 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1998 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,. ,0 ,. ,. ,. ,0 ,. ,0 ,0 ,0 ,0 ,0 ,18000 ,0 ,0 ,18000 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',1999 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,11160 ,0 ,0 ,11160 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2000 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,14680 ,0 ,0 ,14680 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2001 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14300 ,0 ,0 ,14300 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2002 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15600 ,0 ,0 ,15600 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2003 ,"NITRATE COMPOUNDS",'N511',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,29829 ,. ,29829 ,0 ,0 ,0 ,0 ,0 ,0 ,29829 ,29829 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2003 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,30268 ,0 ,0 ,30268 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2004 ,"NITRATE COMPOUNDS",'N511',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,49832 ,. ,49832 ,0 ,0 ,0 ,0 ,0 ,0 ,49832 ,49832 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2004 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,50565 ,0 ,0 ,50565 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2005 ,"NITRATE COMPOUNDS",'N511',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,51671 ,. ,51671 ,0 ,0 ,0 ,0 ,0 ,0 ,51671 ,51671 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2005 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,52431 ,0 ,0 ,52431 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2006 ,"NITRATE COMPOUNDS",'N511',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,49089 ,. ,49089 ,0 ,0 ,0 ,0 ,0 ,0 ,49089 ,49089 ,0
"KRAFT FOODS GLOBAL INC. - LOW VILLE",13367KRFTNUTICA ,"7388 UTICA BLVD",LOWVILLE ,"LEWIS",NY ,'13367',2006 ,"NITRIC ACID",'007697372',C ,R ,311/312 Food/Beverages/Tobacco ,0 ,0 ,0 ,. ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,49812 ,0 ,0 ,49812 ,0
