-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
IMPZ        49718.000    1995     1     1     0
IMPZ        52274.750    2001    12    31    18
IMPZ      4289656.535 -4680885.000  -606347.402
49780.75     0.205826    -0.004268     1.826433
49781.00     0.217470     0.143989     1.176592
49781.25     0.190408     0.060512     1.396585
49781.50     0.155664    -0.065593     0.326765
49781.75     0.270807     0.086450     1.597070
49782.00     0.275477     0.146020     1.425378
49782.25     0.207412    -0.017340     1.677048
49782.50     0.142225    -0.044020     0.509874
49782.75     0.273045     0.052203     1.671415
49783.00     0.327539     0.183271     1.109947
49783.25     0.287777     0.027795     1.480155
49783.50     0.300592    -0.046998     0.399518
49783.75     0.417784     0.132691     2.072716
49784.00     0.438597     0.168479     1.648961
49784.25     0.410861     0.034083     1.783906
49784.50     0.262261    -0.043002     0.481855
49784.75     0.345948     0.083958     2.010227
49785.00     0.326113     0.178925     1.305459
49785.25     0.297283    -0.062358     1.099629
49785.50     0.165118    -0.097980    -0.130400
49785.75     0.206531     0.026668     1.028349
49786.00     0.175637     0.072782     0.175115
49786.25     0.170609    -0.088903     0.407157
49786.50     0.076917    -0.158125    -1.212588
49786.75     0.136261    -0.017800     0.196948
49787.00     0.175096     0.063380    -0.502400
49787.25     0.194288    -0.064676    -0.430213
49787.50     0.085405    -0.121486    -1.181941
49787.75     0.213669    -0.033057     0.236900
49788.00     0.182061    -0.002324    -0.543488
49788.25     0.179643    -0.170968    -0.348506
49788.50     0.159384    -0.187931    -0.513490
49788.75     0.288486     0.033750     1.342107
49789.00     0.324936     0.105465     0.913009
49789.25     0.377408    -0.015057     1.062578
49789.50     0.376572    -0.047365     0.961222
49789.75     0.482443     0.095864     2.651427
49790.00     0.456339     0.218863     1.700704
49790.25     0.538613     0.113686     1.659022
49790.50     0.438791     0.040718     0.602708
49790.75     0.451540     0.144053     1.628092
49791.00     0.425453     0.318815     0.612271
49791.25     0.420379     0.161389     1.056899
49791.50     0.331202     0.139693     0.053838
49791.75     0.346258     0.252799     1.416470
49792.00     0.271273     0.343812     0.623262
49792.25     0.267015     0.129893     1.042983
49792.50     0.142566     0.054156    -0.319776
49792.75     0.186515     0.132561     0.925392
49793.00     0.131940     0.150061    -0.095523
49793.25     0.163322     0.033727     0.389945
49793.50     0.019627    -0.077880    -1.109064
49793.75     0.078664    -0.000337     0.312605
49794.00     0.045920     0.056824    -0.593339
49794.25     0.091302     0.039390     0.388359
49794.50    -0.127084    -0.109800    -1.330957
49794.75    -0.083566    -0.024407    -0.226764
49795.00    -0.052738     0.075276    -0.789699
49795.25    -0.135274    -0.034111    -0.435796
49795.50    -0.190363    -0.063983    -1.514465
49795.75    -0.096939     0.103121    -0.188194
49796.00    -0.098831     0.131883    -0.735764
49796.25    -0.120885     0.042259    -0.957065
49796.50    -0.076546     0.013105    -1.511429
49796.75    -0.010269     0.084377    -0.678383
49797.00     0.059617     0.160403    -1.410404
49797.25     0.087898     0.019704    -1.402538
49797.50     0.026959    -0.067833    -2.172989
49797.75     0.136536     0.085075    -0.507293
49798.00     0.250588     0.110922    -0.595352
49798.25     0.263799    -0.003254    -0.582177
49798.50     0.232012     0.000413    -0.949410
49798.75     0.376788     0.158044     1.021426
49799.00     0.406065     0.163900     0.487414
49799.25     0.361710     0.112720     0.242296
49799.50     0.302141     0.051269    -0.006563
49799.75     0.474651     0.263672     1.799445
49800.00     0.379966     0.207096     0.749529
49800.25     0.383898     0.110373     1.101351
49800.50     0.270330     0.023143     0.271477
49800.75     0.319044     0.177167     1.676403
49801.00     0.232849     0.150769     0.650273
49801.25     0.185004     0.017991     1.437252
49801.50     0.069693    -0.093099     0.503561
49801.75     0.074891    -0.015779     1.774249
49802.00     0.009664    -0.009013     0.931641
49802.25    -0.005479    -0.034902     1.894802
49802.50    -0.077656    -0.158047     0.972411
49802.75    -0.002881    -0.029104     2.381696
49803.00    -0.073599     0.011010     1.190400
49803.25    -0.006746    -0.073372     1.807102
49803.50    -0.081172    -0.079978     0.680745
49803.75     0.053057     0.137554     2.500818
49804.00     0.064638     0.112718     1.510636
49804.25     0.095159     0.092864     2.190208
49804.50     0.071716     0.029753     0.941464
49804.75     0.130359     0.212844     2.466773
49805.00     0.107026     0.216621     1.256286
49805.25     0.117181     0.159025     2.153764
49805.50    -0.006876    -0.016741     0.523118
49805.75     0.098616     0.097781     1.799124
49806.00     0.177040     0.143480     0.933581
49806.25     0.205647     0.124198     1.422799
49806.50     0.141489    -0.009114     0.221637
49806.75     0.272602     0.187736     2.043607
49807.00     0.258331     0.205908     1.054172
49807.25     0.276981     0.166444     1.240854
49807.50     0.180680     0.088890     0.578165
49807.75     0.261368     0.205632     2.028390
49808.00     0.238720     0.204623     1.299834
49808.25     0.194205     0.147666     1.578753
49808.50     0.125345    -0.029557    -0.214966
49808.75     0.232295     0.109931     1.711136
49809.00     0.135119     0.125158     0.456060
49809.25     0.131052    -0.021522     0.189691
49809.50    -0.027914    -0.086138    -0.348271
49809.75     0.039794     0.049847     0.947421
49810.00    -0.000008     0.043399     0.199368
49810.25     0.070552    -0.026720     0.599982
49810.50    -0.035916    -0.105371     0.225868
49810.75     0.045646     0.087480     1.863392
49811.00     0.029777     0.041999     0.367244
49811.25     0.094833     0.047414     1.371610
49811.50     0.020390     0.011386     0.279572
49811.75     0.152323     0.111725     1.350999
49812.00     0.163487     0.156801     0.586273
49812.25     0.172759     0.153386     0.699238
49812.50     0.056981     0.073852    -0.216257
49812.75     0.128036     0.201413     1.205156
49813.00     0.087895     0.170230    -0.065905
49813.25     0.098275     0.111795     0.248516
49813.50     0.008825    -0.012117    -0.578777
49813.75     0.117525     0.134963     0.893865
49814.00     0.033136     0.098537    -0.122514
49814.25     0.088598     0.015893     0.197165
49814.50     0.024430    -0.069522    -0.569463
49814.75     0.149603     0.162198     1.158671
49815.00     0.142283     0.163343     0.175099
49815.25     0.180465     0.101823     0.251100
49815.50     0.083582     0.067785    -0.218098
49815.75     0.269556     0.269384     1.337338
49816.00     0.193223     0.288660     0.409921
49816.25     0.238838     0.216222     0.653204
49816.50     0.120483     0.143249    -0.312919
49816.75     0.259495     0.345773     1.405007
49817.00     0.244498     0.307244     0.328359
49817.25     0.220444     0.218724     1.304079
49817.50     0.135259     0.121587     0.099201
49817.75     0.187171     0.264524     1.560034
49818.00     0.156653     0.156536     0.281211
49818.25     0.064864     0.096928     1.073117
49818.50    -0.051846    -0.146288    -0.564220
49818.75     0.021450    -0.007888     0.752275
49819.00     0.008678    -0.005699    -0.157836
49819.25     0.030087    -0.099752     0.887666
49819.50    -0.047103    -0.277627    -0.659594
49819.75     0.132388    -0.025020     1.658819
49820.00     0.104579    -0.044517     0.217632
49820.25     0.132457    -0.055075     1.381340
49820.50     0.058068    -0.123669    -0.027540
49820.75     0.204086     0.045646     1.906737
49821.00     0.205206     0.070591     0.500995
49821.25     0.211448     0.068054     1.544212
49821.50     0.090497    -0.105640    -0.160691
49821.75     0.185387     0.067559     1.287880
49822.00     0.153090     0.093079     0.282758
49822.25     0.188995     0.046878     0.689209
49822.50     0.034185    -0.138801    -0.854606
49822.75     0.151836     0.002788     0.054654
49823.00     0.093160     0.089356    -0.679356
49823.25     0.172262     0.001769     0.660538
49823.50    -0.000120    -0.102540    -0.898235
49823.75     0.088592     0.048732     0.345149
49824.00     0.105762     0.109689    -0.362594
49824.25     0.089106     0.019633     0.340656
49824.50     0.060394    -0.068826    -0.695165
49824.75     0.201906     0.094036     0.915084
49825.00     0.222795     0.204119     0.474406
49825.25     0.177979     0.109946     0.321341
49825.50     0.141610     0.012443    -0.420776
49825.75     0.254040     0.180494     1.103946
49826.00     0.197799     0.261954     0.107585
49826.25     0.187713     0.148277     0.552264
49826.50     0.003259    -0.007077    -1.065088
49826.75     0.129709     0.114803     0.597766
49827.00     0.032783     0.098806    -0.688764
49827.25     0.062234     0.076350    -0.387577
49827.50    -0.053238    -0.110874    -1.401293
49827.75    -0.002898     0.000376     0.173473
49828.00    -0.047195     0.002323    -0.333356
49828.25    -0.004126    -0.082303    -0.240628
49828.50    -0.079864    -0.186395    -0.801196
49828.75     0.041793    -0.019185     1.029742
49829.00     0.008985    -0.021115     0.274155
49829.25     0.067096    -0.055493     0.550497
49829.50    -0.048181    -0.211924    -0.281189
49829.75     0.083875    -0.048075     1.313098
49830.00     0.042581     0.018952     0.473862
49830.25     0.119063    -0.000083     1.526727
49830.50    -0.052834    -0.213933    -0.474824
49830.75     0.099170    -0.019815     1.335702
49831.00     0.036574     0.020537     0.317678
49831.25     0.040435    -0.017185     0.814159
49831.50    -0.067271    -0.116159    -0.544622
49831.75     0.027150    -0.018697     0.909508
49832.00    -0.068152     0.031381    -0.381894
49832.25    -0.057089    -0.003720     0.795615
49832.50    -0.149406    -0.138539    -0.477031
49832.75    -0.075553     0.057936     1.349442
49833.00    -0.032158     0.064260     0.301893
49833.25    -0.009729    -0.016067     0.972236
49833.50    -0.110596    -0.090719     0.137850
49833.75    -0.002075     0.054468     1.799402
49834.00     0.037711     0.094068     1.060561
49834.25     0.073801     0.027710     1.676610
49834.50     0.017951    -0.048043     0.522514
49834.75     0.157057     0.108589     2.165737
49835.00     0.151829     0.136793     0.958522
49835.25     0.203185     0.111701     1.685092
49835.50     0.155641     0.035591     0.346009
49835.75     0.223700     0.214990     1.957423
49836.00     0.098365     0.145685     0.760191
49836.25     0.079713     0.075895     0.651114
49836.50     0.039992    -0.065254    -0.236484
49836.75     0.168467     0.073038     1.272840
49837.00     0.102768     0.062994     0.449646
49837.25     0.079813    -0.014039     0.932429
49837.50     0.021553    -0.122514     0.127316
49837.75     0.111457     0.032376     1.525456
49838.00     0.082643     0.027682     0.511542
49838.25     0.115718     0.046852     1.372591
49838.50    -0.019771    -0.067932     0.220403
49838.75     0.048552     0.009078     1.169733
49839.00     0.034782     0.127106     0.243449
49839.25     0.065489     0.039922     1.104990
49839.50    -0.019740    -0.063734    -0.420509
49839.75     0.053456     0.029490     1.121992
49840.00     0.071699     0.059532    -0.011368
49840.25     0.101934    -0.134473     0.156662
49840.50    -0.015919    -0.206215    -1.104626
49840.75     0.091238    -0.061455     0.744328
49841.00     0.042374     0.004056     0.026234
49841.25     0.083566    -0.040337     0.589530
49841.50    -0.085785    -0.195853    -0.786188
49841.75    -0.003196    -0.071029     0.747885
49842.00    -0.087441    -0.029830    -0.330813
49842.25    -0.072924    -0.071865     0.334475
49842.50    -0.136212    -0.192165    -0.907374
49842.75    -0.003620     0.002816     0.513701
49843.00    -0.030840     0.086067    -0.000211
49843.25    -0.015750     0.030049     0.431106
49843.50    -0.094325    -0.098124    -0.729852
49843.75    -0.026386     0.107962     1.077164
49844.00    -0.069648     0.051226    -0.073473
49844.25    -0.010500    -0.035820     0.154810
49844.50    -0.100348    -0.157739    -0.675770
49844.75    -0.039348    -0.023672     0.744635
49845.00    -0.070759    -0.029611    -0.159031
49845.25    -0.026399    -0.140331     0.284580
49845.50    -0.221024    -0.275205    -0.968945
49845.75    -0.140218    -0.100574     0.531402
49846.00    -0.165309    -0.191038    -1.076821
49846.25    -0.107341    -0.198905    -0.078157
49846.50    -0.232888    -0.316272    -1.137617
49846.75    -0.140630    -0.195817     0.350943
49847.00    -0.209628    -0.190455    -0.693101
49847.25    -0.213863    -0.240220    -0.350411
49847.50    -0.248316    -0.336826    -1.491755
49847.75    -0.131616    -0.173367     0.159266
49848.00    -0.167195    -0.056957    -1.189877
49848.25    -0.069440    -0.119363    -0.387363
49848.50    -0.143400    -0.166091    -1.421181
49848.75    -0.038716    -0.064542     0.005489
49849.00    -0.010716    -0.011385    -0.910955
49849.25     0.016080    -0.059051    -0.397945
49849.50    -0.044587    -0.087534    -1.280019
49849.75     0.068865     0.028122     0.171228
49850.00     0.035413     0.072478    -0.439361
49850.25     0.070643    -0.044206    -0.036015
49850.50    -0.040259    -0.094497    -0.956057
49850.75     0.069160    -0.003613     0.317156
49851.00    -0.046309     0.020071    -0.815513
49851.25    -0.041510    -0.077412    -0.211343
49851.50    -0.202689    -0.201081    -1.030761
49851.75    -0.108757    -0.083745     0.344960
49852.00    -0.163969    -0.060618    -0.869129
49852.25    -0.175891    -0.168595    -0.503313
49852.50    -0.233842    -0.215019    -1.086113
49852.75    -0.108776    -0.077917     0.358761
49853.00    -0.123658     0.043462    -0.168905
49853.25    -0.129564    -0.052742     0.376882
49853.50    -0.203517    -0.094046    -0.601063
49853.75    -0.132885    -0.031956     0.741527
49854.00    -0.090972     0.003417     0.143806
49854.25    -0.152490    -0.071758     0.049688
49854.50    -0.236856    -0.217774    -0.989570
49854.75    -0.126994    -0.151342    -0.053952
49855.00    -0.135173    -0.175113    -0.695540
49855.25    -0.116147    -0.295062    -0.505773
49855.50    -0.185188    -0.352353    -1.225602
49855.75     0.000072    -0.247622     0.181322
49856.00    -0.025874    -0.159339    -0.378716
49856.25     0.003425    -0.241411    -0.039870
49856.50     0.028643    -0.282673    -0.921412
49856.75     0.219211    -0.096153     0.848070
49857.00     0.202471    -0.056129    -0.175396
49857.25     0.224920    -0.154681     0.079120
49857.50     0.047460    -0.145804    -1.200000
49857.75     0.169149    -0.068683     0.260940
49858.00     0.029365    -0.110223    -1.142366
49858.25     0.081320    -0.195744    -0.406388
49858.50    -0.037118    -0.313625    -1.730511
49858.75     0.070191    -0.176907    -0.305859
49859.00     0.039930    -0.142421    -0.936279
49859.25     0.028509    -0.166185    -0.011957
49859.50    -0.099879    -0.307221    -1.528182
49859.75     0.013388    -0.182628     0.180729
49860.00    -0.011194    -0.090678    -0.783912
49860.25     0.025304    -0.132132     0.171274
49860.50    -0.076588    -0.244540    -1.091750
49860.75     0.027108    -0.119061     0.435214
49861.00    -0.029757    -0.042757    -0.757508
49861.25     0.074746    -0.121025     0.099162
49861.50    -0.047325    -0.212659    -0.861168
49861.75     0.030362    -0.104036     0.739776
49862.00    -0.061890    -0.107989    -0.283331
49862.25    -0.005794    -0.238654     0.346323
49862.50    -0.201122    -0.363012    -1.247227
49862.75    -0.113391    -0.192926     0.310829
49863.00    -0.111481    -0.184799    -0.900435
49863.25    -0.048603    -0.233293    -0.018125
49863.50    -0.161237    -0.267578    -1.103025
49863.75    -0.058306    -0.142232     0.343557
49864.00    -0.073656    -0.066847    -0.664119
49864.25    -0.075685    -0.157203     0.120014
49864.50    -0.166994    -0.244324    -1.127278
49864.75    -0.123870    -0.141654     0.087966
49865.00    -0.076359    -0.088208    -0.828583
49865.25    -0.054858    -0.191836    -0.015685
49865.50    -0.205383    -0.254585    -1.302788
49865.75    -0.109276    -0.169944    -0.222817
49866.00    -0.147873    -0.173940    -1.233716
49866.25    -0.216958    -0.273459    -0.537470
49866.50    -0.350900    -0.382331    -1.835370
49866.75    -0.259918    -0.244498    -0.767450
49867.00    -0.182165    -0.215225    -1.628612
49867.25    -0.150011    -0.228604    -0.702089
49867.50    -0.194759    -0.300625    -1.693511
49867.75    -0.061178    -0.141106    -0.211659
49868.00    -0.071584    -0.096517    -1.112080
49868.25    -0.078807    -0.135546    -1.030692
49868.50    -0.107200    -0.203762    -1.717009
49868.75    -0.023214    -0.058368    -0.392105
49869.00     0.001645    -0.033964    -1.375823
49869.25     0.032353    -0.115761    -0.567530
49869.50    -0.102578    -0.183687    -1.532181
49869.75    -0.058279    -0.068746    -0.304006
49870.00    -0.075520    -0.038854    -1.094285
49870.25    -0.119433    -0.216666    -0.604757
49870.50    -0.221274    -0.225061    -1.562188
49870.75    -0.137471    -0.131683    -0.495973
49871.00    -0.140300    -0.088898    -0.841868
49871.25    -0.147562    -0.246955    -0.809128
49871.50    -0.267037    -0.267171    -1.306659
49871.75    -0.226555    -0.186084    -0.564097
49872.00    -0.206304    -0.144054    -1.028499
49872.25    -0.263724    -0.307436    -1.300147
49872.50    -0.349884    -0.303790    -1.650454
49872.75    -0.217659    -0.171986    -0.689502
49873.00    -0.204449    -0.102414    -1.087381
49873.25    -0.288685    -0.238146    -1.084193
49873.50    -0.346018    -0.265633    -1.853262
49873.75    -0.249272    -0.150064    -0.791671
49874.00    -0.206925    -0.102707    -1.239379
49874.25    -0.126424    -0.137624    -0.370385
49874.50    -0.304823    -0.186714    -1.475432
49874.75    -0.199534    -0.064588    -0.171455
49875.00    -0.218669    -0.063664    -0.946665
