 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"ADVANCED TARGETING SYSTEMS, INC.","5R44MH056368-06","6803957","Lappi, Douglas A","Drug Development of a Chronic Pain Therapeutic","","","$ 799,999","SAN DIEGO","CALIFORNIA","92191","","","","  "
"ADVANCED TARGETING SYSTEMS, INC.","5R44MH060063-03","6698825","Lappi, Douglas A","Monoclonal Antibodies to Target Neuronal Populations","","","$ 282,193","SAN DIEGO","CALIFORNIA","92191","","","","  "
"AFASCI, INC.","1R43MH072162-01","6833300","Xie, Xinmin Simon","Novel Neuropeptides as Targets for Psychiatric Disorders","","","$ 250,000","BURLINGAME","CALIFORNIA","94010-5828","","","","  "
"AFFYMETRIX, INC.","1R01HG003040-01","6712060","Helt, Gregg A","DAS2: A Distributed Genome Annotation Sequence","","","$ 366,248","SANTA CLARA","CALIFORNIA","95051-0704","","","","  "
"AFFYMETRIX, INC.","1UC1AI062613-01","6845809","Rosenow, Carsten I","Pathogen and Genetic Element Detection Using Microarrays","","","$ 2,100,004","SANTA CLARA","CALIFORNIA","95051-0704","","","","  "
"AFFYMETRIX, INC.","5U01HG003147-02","6805943","Gingeras, Thomas R","Mapping Sites of Transcription and Regulation","","","$ 997,523","SANTA CLARA","CALIFORNIA","95051-0704","","","","  "
"AGUILA TECHNOLOGIES, INC.","1R42CA110192-01","6830111","Capote, M Albert","High Resolution Digital Imaging X-ray Detectors","","","$ 99,904","SAN MARCOS","CALIFORNIA","92069","","","","  "
"AGUILA TECHNOLOGIES, INC.","1R43EB003721-01","6791899","Capote, M Albert","Practical Low-Cost High-Resolution Gamma Ray Sensor","","","$ 100,000","SAN MARCOS","CALIFORNIA","92069","","","","  "
"ALERION BIOMEDICAL, INC.","1R41RR020835-01A1","6880482","Matrisian, Lynn M","MRI with Protease-Sensing Contrast Agents","","","$ 258,303","SAN DIEGO","CALIFORNIA","92121-3212","","","","  "
"ALEXION ANTIBODY TECHNOLOGIES, INC.","1U01AI061311-01","6818227","Bowdish, Katherine S","Human Antibody Therapeutics Against Anthrax","","","$ 737,620","SAN DIEGO","CALIFORNIA","92121-1422","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","1R43HL073537-01A1","6737053","Tamada, Janet A","Novel Inhalation System for Delivery of Nicotine","","","$ 145,949","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","1R43HL076041-01A1","6833651","Myers, Daniel J","Inhaled Loop Diuretics for Congestive Heart Failure","","","$ 199,709","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","1R43HL076953-01","6789671","Shen, William W","Asthma Treatment with a Novel Drug Aerosol Generator","","","$ 201,033","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","1R43MH068926-01A1","6791008","Munzar, Patrik ","Treatment of Agitation by drug Aerosol Inhalation","","","$ 196,998","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","1R44CA105934-01","6740021","Shen, William W","Treatment of Pain by Drug Aerosol Inhalation","","","$ 196,275","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","2R44NS045505-02","6792448","Munzar, Patrik ","Inhaled dopamine agonists for late stage Parkinsonism","","","$ 803,563","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","5R44CA094614-03","6741898","Rabinowitz, Joshua D","Novel Inhalation Device for Delivering Vapor-State Drugs","","","$ 750,026","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALEXZA MOLECULAR DELIVERY CORPORATION","5R44NS044800-03","6770110","Rabinowitz, Joshua D","Migraine Headache Treatment by Drug Aerosol Inhalation","","","$ 736,710","PALO ALTO","CALIFORNIA","94303","","","","  "
"ALMEN LABORATORIES, INC.","1R41CA108053-01","6787965","Galperin, Michael ","COMPUTER-AIDED TOOL FOR DIAGNOSTIC BREAST ULTRASOUND","","","$ 100,000","VISTA","CALIFORNIA","92084","","","","  "
"ALNIS BIOSCIENCES, INC.","N01CO029009","","Soane, David","PEPTIDE FUNCTIONALIZED NANOPARTICLES AS BIOMOLEC SENSORS","","","$ 529,442","EMERYVILLE","CALIFORNIA","94608","","","","  "
"ALNIS BIOSCIENCES, INC.","N01CO411004","","Barry, Steve","NOVEL TECHS FOR NONINVASIVE DETECT, DIAG, & TRTMT OF CNCR","","","$ 783,733","EMERYVILLE","CALIFORNIA","94608","","","","  "
"ALODAR SYSTEMS, INC.","1R43HG003249-01","6783872","Blanford, Ronald P","Genomic Pathway Storage, Documentation in Graph-like Str","","","$ 100,000","TORRANCE","CALIFORNIA","90503","","","","  "
"ALTHEA TECHNOLOGIES, INC.","1R43CA110542-01","6836381","Monforte, Joseph A","Validating and Translating Array Signatures","","","$ 99,999","SAN DIEGO","CALIFORNIA","92121-1205","","","","  "
"ALTHEA TECHNOLOGIES, INC.","1R43DC006952-01","6743820","Monforte, Joseph A","Validation of Gene Expression Based Toxicity Screening","","","$ 99,999","SAN DIEGO","CALIFORNIA","92121-1205","","","","  "
"ALTHEA TECHNOLOGIES, INC.","N01AI035483","","Marquet, Magda","VACCINE DEV RESOURCES","","","$ 596,520","SAN DIEGO","CALIFORNIA","92121-1205","","","","  "
"ALTRUE.COM, INC.","1R43CA103504-01A1","6790787","Chiang, Antony ","Phase 1 - Integrated Cancer Data Management System","","","$ 100,000","SAN FRANCISCO","CALIFORNIA","94102-4332","","","","  "
"ALTRUE.COM, INC.","5R44RR018043-03","6803986","Chiang, Antony ","Phase 2 SBIR - Research Data Management System","","","$ 371,476","SAN FRANCISCO","CALIFORNIA","94102-4332","","","","  "
"AMERICAN LIFE SCIENCE PHARMACEUTICALS","1R43DA018007-01","6786438","Reisine, Terry ","Drugs to Elevate Enkephalin as Novel Opiate Analgesics","","","$ 157,550","SAN DIEGO","CALIFORNIA","92121-2768","","","","  "
"AMERICAN LIFE SCIENCE PHARMACEUTICALS","5R44AG018044-05","6742470","Hook, Gregory R","Beta-Secretase Assays to Discover Drugs for Alzheimer's","","","$ 378,993","SAN DIEGO","CALIFORNIA","92121-2768","","","","  "
"AMYRIS BIOTECHNOLOGIES","1R41AI061936-01","6834134","Newman, Jack D","Economical production of artemisinin precursors","","","$ 299,837","ALBANY","CALIFORNIA","94706-1268","","","","  "
"AMYRIS BIOTECHNOLOGIES","1R41CA105899-01","6738749","Renninger, Neil S","Heterologous Production of Eleutherobin Precursors","","","$ 99,495","ALBANY","CALIFORNIA","94706-1268","","","","  "
"ANADYS PHARMACEUTICALS, INC.","2R44AI051104-02A1","6833277","Hermann, Thomas C","Rational Design of Antibiotics Targeted at the Ribosome","","","$ 536,400","SAN DIEGO","CALIFORNIA","92121","","","","  "
"ANASPEC, INC.","2R44NS044641-02","6831998","Diwu, Zhenjun Jack","A NOVEL cAMP ASSAY FOR G PROTEIN-COUPLED RECEPTORS","","","$ 593,726","SAN JOSE","CALIFORNIA","95131","","","","  "
"ANDROSCIENCE CORPORATION","1R43AR051610-01","6831937","Shih, Charles Cy","A New Topical Antiandrogen Benefits Acne Treatment","","","$ 100,001","SAN DIEGO","CALIFORNIA","92121","","","","  "
"ANTICANCER, INC.","1R43CA101600-01A1","6795657","Zhao, Ming ","Discovery of novel fluorescent reporter genes","","","$ 149,800","SAN DIEGO","CALIFORNIA","92111","","","","  "
"APOVIA, INC.","5R21AI055999-02","6800045","Birkett, Ashley J","Universal Influenza A Vaccine","","","$ 214,094","SAN DIEGO","CALIFORNIA","92121","","","","  "
"APPLIED BIOSYSTEMS, INC","N01AG982110","","Chen, Ellson","CONTINUATION OF SF1449 - SUPPLIES & PRICES","","","$ 68,796","FOSTER CITY","CALIFORNIA","94404-1128","","","","  "
"APPLIED BIOSYSTEMS, INC","N01LM445584","","","","","","$ 90,600","FOSTER CITY","CALIFORNIA","94404-1128","","","","  "
"APPLIED SCIENTIFIC RESEARCH","1R43HL078045-01","6832970","Gharakhani, Adrin ","Gridless Simulation of Flow-MPHV Interaction","","","$ 100,000","SANTA ANA","CALIFORNIA","92705-5803","","","","  "
"APPLIED TISSUE AND MATERIALS, INC.","1R41HL074587-01A2","6789048","Frangos, John A","Convective Flow Tissue Assembly of Vascular Grafts","","","$ 191,313","LA JOLLA","CALIFORNIA","92037-4614","","","","  "
"APREND TECHNOLOGY","2R44CA097826-02","6790279","Alvarez, Robert ","Dual Energy Chest Radiography CAD","","","$ 347,043","MOUNTAIN VIEW","CALIFORNIA","94043","","","","  "
"AREA DETECTOR SYSTEMS CORPORATION","5R44RR014613-03","6748452","Hamlin, Ronald C","X-Ray Detectors for Synchrotron-Based Structural Biology","","","$ 1,465,061","POWAY","CALIFORNIA","92064","","","","  "
"ARGINOX  PHARMACEUTICALS, INC.","1R43HL075926-01","6736683","Lane, Paul B","Therapy for Improving Vascular Function in Diabetes","","","$ 128,203","MENLO PARK","CALIFORNIA","94025","","","","  "
"ARGINOX  PHARMACEUTICALS, INC.","1R43HL077058-01","6790817","Krasnov, Peter ","Use of NOS inhibitor to expand hematopoietic stem cells","","","$ 192,938","MENLO PARK","CALIFORNIA","94025","","","","  "
"ARMAGEN TECHNOLOGIES, INC.","1R43CA109782-01","6824209","Boado, Ruben J","Targeted EGFR Antisense Gene Therapy for Brain Cancer","","","$ 299,059","SANTA MONICA","CALIFORNIA","90401","","","","  "
"ARMAGEN TECHNOLOGIES, INC.","1R43NS051076-01","6878266","Boado, Ruben J","Neuroprotection in Stroke w/ Recombinant Fusion Protein","","","$ 100,000","SANTA MONICA","CALIFORNIA","90401","","","","  "
"ARMAGEN TECHNOLOGIES, INC.","2R44NS044654-02","6786455","Boado, Ruben J","Neuroprotection in Stroke Drug Development","","","$ 44,900","SANTA MONICA","CALIFORNIA","90401","","","","  "
"ARMAGEN TECHNOLOGIES, INC.","5R44AG020876-03","6774704","Boado, Ruben J","Drug Development of an Alzheimer's disease brain scan","","","$ 452,814","SANTA MONICA","CALIFORNIA","90401","","","","  "
"ARMAGEN TECHNOLOGIES, INC.","7R44NS044654-03","6890813","Boado, Ruben J","Neuroprotection in Stroke Drug Development","","","$ 330,100","SANTA MONICA","CALIFORNIA","90401","","","","  "
"ATTENUON, LLC","1R42CA110224-01","6831375","Donate, Fernando ","A targeted peptide for PET imaging of cancer","","","$ 282,980","SAN DIEGO","CALIFORNIA","92121-1643","","","","  "
"AUDIGICOMM, LLC","1R43DC006734-01","6787117","Qi, Yingyong ","Enabling Hearing Aids Function on Digital Cell Phones","","","$ 164,375","SAN DIEGO","CALIFORNIA","92121-4138","","","","  "
"AURITEC PHARMACEUTICALS, INC.","1R43MH068925-01A1","6735499","Smith, Thomas J","Sustained Release Olanzapine","","","$ 100,000","PASADENA","CALIFORNIA","91107-3658","","","","  "
"AVANIR PHARMACEUTICALS","1R43AI058458-01","6739403","Kang, Angray S","Human Antibodies for Exposure/Protection from Anthrax","","","$ 399,915","SAN DIEGO","CALIFORNIA","92121-1345","","","","  "
"AVRION MOLECULAR, INC.","1R41HL078526-01","6790797","Karp, Christopher L","Novel lipid -based therapies for cystic fibrosis","","","$ 100,000","HACIENDA HEIGHTS","CALIFORNIA","91745-6614","","","","  "
"BAY AREA TUMOR INSTITUTE","5U10CA045461-15","6775579","Feusner, James H","Bay Area Tumor Institute CCOP","","","$ 499,493","OAKLAND","CALIFORNIA","94609","","","","  "
"BAY GLASS RESEARCH, INC.","5R44EY012905-03","6799222","Mcpherson, Donald M","Corrective Filters for Color Deficient Vision","","","$ 292,511","BERKELEY","CALIFORNIA","94710","","","","  "
"BECKMAN COULTER, INC.","N01AIGSA24F7404A","","","","","","$ 202,942","FULLERTON","CALIFORNIA","92834","","","","  "
"BEEMNET, INC.","5R25DA013265-05","6804667","Colbern, Deborah L","NATIONAL KIDS JUDGE! NEUROSCIENCE FAIRS PARTNERSHIP","","","$ 268,006","VENICE","CALIFORNIA","90291-4404","","","","  "
"BETHESDA PHARMACEUTICALS, INC.","1R41AR050330-01A1","6787605","Pershadsingh, Harrihar A","New Topical Therapies for Psoriasis","","","$ 99,510","REDWOOD CITY","CALIFORNIA","94062","","","","  "
"BIOCATALYTICS, INC.","1R43DK067696-01","6786944","Munir, Inmar Z","UDP-Glucuronic Acid Regeneration System","","","$ 100,000","PASADENA","CALIFORNIA","91106","","","","  "
"BIOCATALYTICS, INC.","1R43GM063468-01A2","6788947","Rozzell, James David","Optimizing Escherichia Coli for Carbonyl reduction","","","$ 100,000","PASADENA","CALIFORNIA","91106","","","","  "
"BIOCATALYTICS, INC.","1R43GM070059-01A1","6834239","Kilgore, James L","Synthesis of Homochiral beta-Branched-Chain Amino Acids","","","$ 100,000","PASADENA","CALIFORNIA","91106","","","","  "
"BIOCATALYTICS, INC.","1R43GM072107-01","6832095","Novick, Scott J","One-Step Synthesis of D-Amino Acids","","","$ 100,000","PASADENA","CALIFORNIA","91106","","","","  "
"BIOCATALYTICS, INC.","2R44GM067536-02A1","6832896","Rozzell, James David","Evolving Inproved Formate Dehydrogenases","","","$ 375,000","PASADENA","CALIFORNIA","91106","","","","  "
"BIOCATALYTICS, INC.","5R44GM064841-03","6709350","Novick, Scott J","Deracemization of Amino Acids","","","$ 386,250","PASADENA","CALIFORNIA","91106","","","","  "
"BIOCHECK, INC.","1R43CA105918-01","6741681","Chen, John ","Id Protein Assay for Diagnosis & Drug Screening","","","$ 98,680","BURLINGAME","CALIFORNIA","94010","","","","  "
"BIOLOG, INC.","1R41GM073965-01A1","6833552","Bochner, Barry R","Phenotype MicroArray Analysis of Fastidious Pathogens","","","$ 276,981","HAYWARD","CALIFORNIA","94545","","","","  "
"BIOLOG, INC.","1R41GM074543-01A1","6834730","Ziman, Michael ","Phenotyping All Genes of S. cerevisiae","","","$ 123,238","HAYWARD","CALIFORNIA","94545","","","","  "
"BIOLOG, INC.","5U01AI057232-02","6783440","Bochner, Barry R","Detection of Bioterrorism Agents with PM Technology","","","$ 920,940","HAYWARD","CALIFORNIA","94545","","","","  "
"BIOLOG, INC.","9R44MH074145-02","6841912","Bochner, Barry R","Phenotype MicroArrays for Drug Toxicity Screening","","","$ 650,000","HAYWARD","CALIFORNIA","94545","","","","  "
"BIOMEDICAL STRATEGIES, LLC","1R43HD046303-01A1","6794299","Cahn, Frederick ","High-Performance Transcutaneous Port","","","$ 335,721","LA JOLLA","CALIFORNIA","92037-3508","","","","  "
"BIOPRAXIS, INC.","1R43GM072464-01","6841926","Grow, Ann E","ASERS -Label-Free Assay for AIDS Drug Development","","","$ 299,901","SAN DIEGO","CALIFORNIA","92121","","","","  "
"BIOPRAXIS, INC.","2R44ES011214-02","6737066","Grow, Ann E","Reagentless Biochip for Inorganic & Organic Contaminants","","","$ 597,664","SAN DIEGO","CALIFORNIA","92121","","","","  "
"BIOSEARCH TECHNOLOGIES, INC.","1R43CA105962-01","6741399","Cook, Ronald M","Optimazed Quenched NIRF Probes for Optical Imaging","","","$ 104,022","NOVATO","CALIFORNIA","94949","","","","  "
"BIOSEARCH TECHNOLOGIES, INC.","9R44HG003544-02","6736123","Cook, Ronald M","High Performance Lanthanide DNA Probes","","","$ 377,445","NOVATO","CALIFORNIA","94949","","","","  "
"BIOSEEK, INC.","5R44AI048255-03","6747340","Berg, Ellen L","High-throughput human cell system for compound screening","","","$ 310,042","BURLINGAME","CALIFORNIA","94010-1303","","","","  "
"BIOTIME, INC.","1R41HL074648-01A1","6788468","Sternberg, Hal ","Resuscitating Blood-Substituted Hypothermic Dogs","","","$ 149,994","BERKELEY","CALIFORNIA","94710","","","","  "
"BLINDSIGHT CORPORATION","2R44EY011821-02","6739928","Nitzberg, Mark J","Sign Finder: Computer Vision to Find and Read Signs","","","$ 462,571","DAVIS","CALIFORNIA","95616-3622","","","","  "
"BLOOD SYSTEMS RESEARCH INSTITUTE","5R01HL076902-03","6943526","Busch, Michael P","Natural history of acute and chronic HCV in blood donors","","","$ 348,827","SAN FRANCISCO","CALIFORNIA","94118","","","","  "
"BRAIN INSIGHTS, INC.","5R01HD039038-05","6796809","Sinha, Santosh K","DOWN SYNDROME, MITOCHONDRIAL DNA AND OXIDATIVE STRESS","","","$ 213,947","IRVINE","CALIFORNIA","92614-8522","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","1R21NS048080-01","6754760","Cornford, Eain M","Blood-brain barrier gene delivery in knock-out mice","","","$ 142,219","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","3R01DA015059-03S1","6948927","Brody, Arthur ","Treatments for Nicotine Dependence: Brain Mechanisms","","","$ 56,703","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","5R01AI034431-07","6691043","Haake, David A","Outer Membrane Proteins of Pathogenic Leptospira Species","","","$ 244,200","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","5R01CA080004-03","6726106","Rettig, Matthew B","Increased IL6 Transcription by HHV8","","","$ 232,750","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","5R01CA096920-03","6760969","Lichtenstein, Alan K","The AKT-mTOR Pathway in Multiple Myeloma","","","$ 232,750","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","5R01DA015059-03","6797954","Brody, Arthur ","Treatments for Nicotine Dependence: Brain Mechanisms","","","$ 350,000","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","5R01DK054221-06","6732044","Kaunitz, Jonathan D","Duodenal Muscosal Defense Mechanisms","","","$ 276,938","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","5R01NR007768-03","6754391","Naliboff, Bruce D","Treatment of Fear and Pain in Irritable Bowel Syndrome","","","$ 306,686","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE","5R01NS043409-02","6685194","Mazarati, Andrey M","BRAIN GALANIN RECEPTORS AND EPILEPSY","","","$ 257,450","LOS ANGELES","CALIFORNIA","90073","","","","  "
"BROWN AND HERBRANSON IMAGING","1R43EB003067-01A1","6836792","Brown, William P","A 3-D Interactive Atlas of Thumb Carpometacarpal Joint","","","$ 108,000","PORTOLA VALLEY","CALIFORNIA","94028","","","","  "
"BROWN AND HERBRANSON IMAGING","2R44DE014944-02","6836885","Brown, William P","A 3-D Interactive Atlas of the Maxilla, Mandible & TMJ","","","$ 336,395","PORTOLA VALLEY","CALIFORNIA","94028","","","","  "
"BROWN AND HERBRANSON IMAGING","5R44DE014018-04","6784613","Brown, William P","An Interactive 3_D Atlas of Human Teeth Morphology","","","$ 251,450","PORTOLA VALLEY","CALIFORNIA","94028","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","1C06RR020660-01","6863802","Bredesen, Dale E","Center for Integrative Studies of Aging","","","$ 2,900,000","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","1R01AG024385-01","6818312","Melov, Simon ","Comparative Functional Genomics of Longevity Assurance","","","$ 407,847","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","1R03NS050789-01","6879774","Lithgow, Gordon ","C. elegans, Aging and High Throughput Screening","","","$ 97,000","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","2R01CA071468-10","6819473","Benz, Christopher ","Defective Estrogen Receptors in Breast Tumors","","","$ 322,525","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5F32NS043823-02","6820643","Lafevrebernt, Michelle ","Mechanism of Androgen Receptor Induced Cytotoxicity","","","$ 48,928","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5F32NS043937-02","6696327","Gafni, Juliette ","Calpain in Huntington's Disease","","","$ 48,928","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5F32NS044791-04","6790569","Polster, Brian M","Regulation of anti- & pro-apoptotic functions of BAD","","","$ 48,928","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG012141-09","6697282","Andersen, Julie ","ROLE OF IRON AND GLUTATHIONE IN PARKINSON'S DISEASE","","","$ 291,000","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG012282-10","6711100","Bredesen, Dale E","Mechanism of inhibition of neurodegeneration and aging","","","$ 339,500","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG018679-05","6784570","Melov, Simon ","MITOCHONDRIAL OXIDATIVE STRESS AND NEURODEGENERATION","","","$ 498,493","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG020521-02","6773200","Benz, Christopher ","Biology of Breast Cancers Arising in Older Women","","","$ 555,085","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG021069-03","6782524","Lithgow, Gordon ","Lifespan determination and stress response in C. elegans","","","$ 485,000","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG021440-03","6717655","Nicholls, David ","Aging-Related Models and Mitochondrial Bioenergetics","","","$ 368,600","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG021980-02","6750679","Jin, Kunlin ","Aging and Neurogenesis","","","$ 454,949","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AG022868-02","6804440","Lithgow, Gordon ","Comparative Biology of p53, Checkpoint and Longevity","","","$ 388,000","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01AI031254-11","6725474","Gibson, Bradford Wayne","Structure and Function of Haemophilus ducreyi LOS","","","$ 304,720","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01CA036773-22","6700294","Benz, Christopher ","Therapeutic Modulation of Breast Cancer Oncogenes","","","$ 339,500","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01NS033376-07","6751662","Bredesen, Dale E","Novel apoptotic pathway activated by misfolded proteins","","","$ 460,750","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01NS039912-05","6704181","Greenberg, David ","CANNABINOIDS AND NEUROPROTECTION IN CEREBRAL ISCHEMIA","","","$ 450,116","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01NS040251-05","6804540","Ellerby, Lisa M","Triplet Repeat Disease:Requirement for Caspase Cleavage","","","$ 426,888","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01NS041908-04","6764150","Nicholls, David ","Mitochondrial control of neuronal excitotoxicity","","","$ 368,600","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01NS044921-02","6688948","Greenberg, David ","VEGF in Neurprotection and Neurogenesis","","","$ 445,569","NOVATO","CALIFORNIA","94945","","","","  "
"BUCK INSTITUTE FOR AGE RESEARCH","5R01NS045093-02","6700244","Bredesen, Dale E","Mechanism of apoptosis induction by the receptor DCC","","","$ 340,556","NOVATO","CALIFORNIA","94945","","","","  "
