-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
MAC1        49718.000    1995     1     1     0
MAC1        52274.750    2001    12    31    18
MAC1     -3464038.501  1334172.763 -5169224.323
49733.50    -0.180812    -0.131153     0.192509
49733.75    -0.153696    -0.141794     0.220321
49734.00    -0.184289    -0.171751     0.159557
49734.25    -0.244446    -0.150491     0.260042
49734.50    -0.236690    -0.127991     0.103851
49734.75    -0.216651    -0.151821     0.125614
49735.00    -0.261125    -0.192768     0.064508
49735.25    -0.348134    -0.155365     0.091216
49735.50    -0.323865    -0.100498    -0.017487
49735.75    -0.310655    -0.095276    -0.013684
49736.00    -0.348234    -0.092141    -0.082773
49736.25    -0.402233    -0.052886    -0.027515
49736.50    -0.375810     0.000588    -0.143058
49736.75    -0.343983    -0.009611    -0.097341
49737.00    -0.315297    -0.039075    -0.125952
49737.25    -0.343282    -0.023388    -0.082079
49737.50    -0.277187    -0.013024    -0.271923
49737.75    -0.218433    -0.072732    -0.281527
49738.00    -0.191637    -0.138420    -0.365196
49738.25    -0.245475    -0.128036    -0.320978
49738.50    -0.196836    -0.110518    -0.414696
49738.75    -0.180666    -0.147138    -0.350317
49739.00    -0.171316    -0.181805    -0.354912
49739.25    -0.194954    -0.136084    -0.223397
49739.50    -0.144410    -0.081443    -0.292006
49739.75    -0.090877    -0.075297    -0.202368
49740.00    -0.073698    -0.087792    -0.158602
49740.25    -0.111999    -0.050092     0.032659
49740.50    -0.075914    -0.016159    -0.016244
49740.75    -0.037661    -0.028373     0.062866
49741.00    -0.011755    -0.035224     0.108888
49741.25    -0.075660    -0.014456     0.218057
49741.50    -0.037471     0.033743     0.177727
49741.75    -0.011896     0.003660     0.258279
49742.00    -0.006205    -0.036060     0.272949
49742.25    -0.058564    -0.014927     0.398930
49742.50    -0.063243     0.005730     0.275916
49742.75    -0.053540    -0.037013     0.308152
49743.00    -0.076883    -0.088428     0.254892
49743.25    -0.143182    -0.085855     0.364909
49743.50    -0.126476    -0.065382     0.290024
49743.75    -0.076066    -0.098651     0.382845
49744.00    -0.088366    -0.136909     0.383214
49744.25    -0.122015    -0.113255     0.539438
49744.50    -0.068675    -0.078989     0.457552
49744.75    -0.040352    -0.112450     0.492237
49745.00    -0.013820    -0.137103     0.491843
49745.25    -0.064241    -0.103887     0.561650
49745.50    -0.066382    -0.065290     0.442962
49745.75    -0.081287    -0.101118     0.428834
49746.00    -0.131387    -0.163474     0.357172
49746.25    -0.238284    -0.164676     0.380995
49746.50    -0.259207    -0.157419     0.272559
49746.75    -0.268194    -0.214929     0.312444
49747.00    -0.299202    -0.279819     0.347219
49747.25    -0.343031    -0.292513     0.433449
49747.50    -0.314896    -0.305154     0.305265
49747.75    -0.281428    -0.360824     0.292359
49748.00    -0.291926    -0.431692     0.265510
49748.25    -0.348527    -0.427661     0.294579
49748.50    -0.319027    -0.422778     0.209354
49748.75    -0.304607    -0.445888     0.252015
49749.00    -0.302179    -0.497200     0.284423
49749.25    -0.357795    -0.464760     0.404268
49749.50    -0.313365    -0.391747     0.374708
49749.75    -0.305573    -0.379253     0.452824
49750.00    -0.306288    -0.359176     0.481751
49750.25    -0.372796    -0.278093     0.605478
49750.50    -0.332535    -0.205606     0.527859
49750.75    -0.283738    -0.183040     0.538650
49751.00    -0.256614    -0.169805     0.462512
49751.25    -0.307036    -0.091015     0.478646
49751.50    -0.272493    -0.017777     0.337853
49751.75    -0.250549    -0.012309     0.338987
49752.00    -0.264841    -0.033630     0.363544
49752.25    -0.321953     0.021725     0.459246
49752.50    -0.299797     0.080491     0.346235
49752.75    -0.246652     0.071845     0.449822
49753.00    -0.254620     0.024558     0.411766
49753.25    -0.284035     0.038204     0.509646
49753.50    -0.276547     0.045638     0.275029
49753.75    -0.257488     0.009389     0.278280
49754.00    -0.253797    -0.035693     0.238885
49754.25    -0.322429    -0.003118     0.314248
49754.50    -0.259788     0.039956     0.187604
49754.75    -0.216238     0.037633     0.225238
49755.00    -0.243063     0.008446     0.142053
49755.25    -0.313062     0.043413     0.191882
49755.50    -0.295755     0.093233     0.018321
49755.75    -0.250329     0.084163     0.061333
49756.00    -0.251138     0.041643     0.051717
49756.25    -0.297182     0.091162     0.175806
49756.50    -0.283758     0.131703     0.099526
49756.75    -0.247423     0.125242     0.223201
49757.00    -0.220471     0.092249     0.334431
49757.25    -0.277512     0.120895     0.457300
49757.50    -0.236831     0.137399     0.370454
49757.75    -0.173740     0.105722     0.396026
49758.00    -0.166568     0.050500     0.361671
49758.25    -0.177709     0.069409     0.403772
49758.50    -0.128391     0.085244     0.221691
49758.75    -0.068001     0.058182     0.257317
49759.00    -0.059304     0.006930     0.224374
49759.25    -0.086321     0.033725     0.335645
49759.50    -0.013480     0.056150     0.248286
49759.75     0.029184     0.025949     0.281800
49760.00     0.017854    -0.029553     0.220203
49760.25    -0.040005    -0.026567     0.294463
49760.50    -0.013719    -0.024515     0.117555
49760.75    -0.000059    -0.095589     0.094773
49761.00     0.000915    -0.153224     0.086116
49761.25    -0.075727    -0.131384     0.156960
49761.50    -0.060112    -0.095670     0.003508
49761.75    -0.028336    -0.100850     0.040781
49762.00    -0.011686    -0.127053     0.082449
49762.25    -0.105834    -0.100598     0.104837
49762.50    -0.078811    -0.076356    -0.021193
49762.75    -0.104885    -0.108619    -0.032172
49763.00    -0.134726    -0.173579    -0.052843
49763.25    -0.211771    -0.151586     0.001592
49763.50    -0.216459    -0.131605    -0.128550
49763.75    -0.196212    -0.143524    -0.093324
49764.00    -0.202778    -0.183003    -0.081247
49764.25    -0.235633    -0.144115     0.019578
49764.50    -0.248231    -0.114678    -0.185443
49764.75    -0.200742    -0.112648    -0.121255
49765.00    -0.226449    -0.142867    -0.119531
49765.25    -0.292019    -0.091718     0.022348
49765.50    -0.273028    -0.046029    -0.023148
49765.75    -0.198054    -0.040507     0.054700
49766.00    -0.201450    -0.078823     0.093331
49766.25    -0.224753    -0.042946     0.158951
49766.50    -0.176601    -0.024012    -0.003442
49766.75    -0.106591    -0.039721     0.015320
49767.00    -0.133304    -0.099689    -0.007616
49767.25    -0.237056    -0.109543     0.018224
49767.50    -0.202770    -0.118900    -0.066811
49767.75    -0.163287    -0.148957    -0.000877
49768.00    -0.156137    -0.201044     0.011256
49768.25    -0.156784    -0.164427     0.128221
49768.50    -0.103868    -0.113984     0.059426
49768.75    -0.082682    -0.128222     0.121629
49769.00    -0.087078    -0.150838     0.150467
49769.25    -0.179795    -0.111845     0.219584
49769.50    -0.107550    -0.044122     0.134534
49769.75    -0.054513    -0.039369     0.207396
49770.00    -0.068308    -0.089388     0.140794
49770.25    -0.074005    -0.037185     0.193575
49770.50    -0.047627    -0.020919    -0.002740
49770.75     0.054748    -0.028008     0.062083
49771.00     0.057472    -0.081062    -0.010703
49771.25     0.034164    -0.025820     0.096838
49771.50     0.078025     0.018965    -0.033409
49771.75     0.115089     0.021773     0.038608
49772.00     0.102087    -0.003035     0.048240
49772.25     0.030887     0.054077     0.164365
49772.50     0.049107     0.109494     0.070568
49772.75     0.076714     0.111881     0.118686
49773.00     0.018994     0.063829     0.060886
49773.25    -0.041423     0.118498     0.159356
49773.50    -0.029492     0.151756    -0.016160
49773.75     0.031464     0.147617     0.067507
49774.00     0.021952     0.092688     0.038930
49774.25    -0.038476     0.137914     0.166065
49774.50     0.013222     0.191559     0.056421
49774.75     0.056909     0.203455     0.155419
49775.00     0.037313     0.180583     0.104409
49775.25    -0.017332     0.226270     0.202095
49775.50    -0.006543     0.263742     0.017808
49775.75     0.030010     0.241713     0.060375
49776.00    -0.000034     0.191980    -0.040828
49776.25    -0.053444     0.232987     0.074357
49776.50    -0.039983     0.261834    -0.065008
49776.75     0.031920     0.251741     0.039311
49777.00    -0.004848     0.201789     0.039804
49777.25    -0.053195     0.223125     0.159749
49777.50    -0.004010     0.235642     0.034142
49777.75     0.050296     0.209642     0.120101
49778.00     0.019124     0.128306     0.071078
49778.25    -0.007466     0.154049     0.202601
49778.50     0.015248     0.160308     0.049872
49778.75     0.055975     0.153477     0.069616
49779.00    -0.011163     0.099966     0.005020
49779.25    -0.100487     0.139077     0.123111
49779.50    -0.101319     0.171414    -0.022418
49779.75    -0.078906     0.182151     0.017056
49780.00    -0.118705     0.153635    -0.080409
49780.25    -0.163187     0.204957     0.013946
49780.50    -0.121775     0.225342    -0.213458
49780.75    -0.055217     0.208795    -0.129241
49781.00    -0.056974     0.158019    -0.154388
49781.25    -0.111642     0.194269    -0.049486
49781.50    -0.054746     0.221681    -0.169362
49781.75     0.004338     0.214225    -0.087583
49782.00    -0.018694     0.157919    -0.078361
49782.25    -0.082190     0.180886    -0.043806
49782.50    -0.009764     0.217149    -0.184703
49782.75     0.034511     0.198959    -0.125018
49783.00     0.015566     0.142184    -0.102459
49783.25    -0.022107     0.159315     0.024781
49783.50     0.011608     0.159875    -0.136130
49783.75     0.067807     0.133010    -0.038046
49784.00     0.038511     0.069285     0.003389
49784.25    -0.049351     0.075530     0.065991
49784.50     0.008400     0.071388    -0.068922
49784.75     0.051844     0.037628    -0.042469
49785.00    -0.002131    -0.043885    -0.141007
49785.25    -0.071321    -0.034853    -0.128948
49785.50    -0.037217    -0.045006    -0.319866
49785.75    -0.026002    -0.095543    -0.318165
49786.00     0.021504    -0.153283    -0.262157
49786.25    -0.005570    -0.128801    -0.117484
49786.50     0.067467    -0.117568    -0.260731
49786.75     0.137510    -0.121539    -0.149081
49787.00     0.102350    -0.173112    -0.132718
49787.25     0.009016    -0.154885    -0.004197
49787.50     0.006347    -0.149993    -0.132624
49787.75     0.018320    -0.172215    -0.050662
49788.00    -0.041466    -0.233396    -0.105062
49788.25    -0.101949    -0.226679     0.001265
49788.50    -0.056037    -0.237562    -0.178667
49788.75     0.030185    -0.269796    -0.078941
49789.00     0.077435    -0.317230    -0.109360
49789.25     0.116072    -0.262732     0.038773
49789.50     0.223564    -0.220389    -0.120310
49789.75     0.285155    -0.205693    -0.099628
49790.00     0.282100    -0.237042    -0.111179
49790.25     0.277275    -0.184350    -0.000403
49790.50     0.372149    -0.134185    -0.106350
49790.75     0.426956    -0.118731     0.043389
49791.00     0.349137    -0.162724     0.107836
49791.25     0.242333    -0.106975     0.222016
49791.50     0.241069    -0.064052     0.022150
49791.75     0.246413    -0.040193     0.059104
49792.00     0.184340    -0.048932    -0.017689
49792.25     0.105646     0.000436     0.053399
49792.50     0.137276     0.036983    -0.090811
49792.75     0.142998     0.018327    -0.056760
49793.00     0.109906    -0.032314    -0.087589
49793.25     0.028176     0.000078     0.055284
49793.50    -0.019692     0.035715    -0.051701
49793.75    -0.103501     0.023805    -0.014575
49794.00    -0.207368    -0.023463    -0.075714
49794.25    -0.320083     0.021524    -0.024884
49794.50    -0.342135     0.044888    -0.196894
49794.75    -0.371517     0.008230    -0.115261
49795.00    -0.429574    -0.081202    -0.116593
49795.25    -0.517340    -0.082788    -0.129861
49795.50    -0.502893    -0.081054    -0.327242
49795.75    -0.441576    -0.129092    -0.269926
49796.00    -0.434765    -0.203970    -0.260562
49796.25    -0.445685    -0.199622    -0.101746
49796.50    -0.376413    -0.213632    -0.151828
49796.75    -0.314102    -0.266791     0.003752
49797.00    -0.310994    -0.331967     0.088240
49797.25    -0.266518    -0.293713     0.295679
49797.50    -0.203096    -0.254940     0.211359
49797.75    -0.132264    -0.268886     0.254820
49798.00    -0.122400    -0.305214     0.255325
49798.25    -0.139739    -0.255204     0.266673
49798.50    -0.076355    -0.235540     0.007098
49798.75    -0.050720    -0.243372    -0.077039
49799.00    -0.055858    -0.240947    -0.145595
49799.25    -0.100292    -0.194346    -0.094445
49799.50    -0.024678    -0.153839    -0.241454
49799.75     0.042124    -0.147528    -0.182275
49800.00     0.016756    -0.147659    -0.182415
49800.25    -0.007277    -0.084812    -0.046110
49800.50     0.014053    -0.045882    -0.148141
49800.75     0.028133    -0.039752    -0.047836
49801.00    -0.000863    -0.052236    -0.018603
49801.25    -0.083222     0.052102     0.064615
49801.50    -0.100645     0.153414    -0.130224
49801.75    -0.122139     0.197584    -0.088966
49802.00    -0.157328     0.191386    -0.138350
49802.25    -0.251225     0.267622    -0.138281
49802.50    -0.216774     0.335988    -0.363599
49802.75    -0.151569     0.352934    -0.331806
49803.00    -0.171538     0.305311    -0.386567
49803.25    -0.229023     0.317638    -0.356494
49803.50    -0.154681     0.345617    -0.484123
49803.75    -0.082547     0.318806    -0.438776
49804.00    -0.099858     0.261443    -0.497655
49804.25    -0.127558     0.273307    -0.323070
49804.50    -0.106954     0.260836    -0.401334
49804.75    -0.079247     0.216465    -0.221136
49805.00    -0.140018     0.145853    -0.158886
49805.25    -0.228986     0.153654    -0.017359
49805.50    -0.216656     0.134198    -0.152653
49805.75    -0.187120     0.082601    -0.099690
49806.00    -0.220588    -0.011481    -0.194754
49806.25    -0.276987    -0.009570    -0.171999
49806.50    -0.229730    -0.008348    -0.365796
49806.75    -0.213779    -0.077958    -0.371913
49807.00    -0.250515    -0.180849    -0.433122
49807.25    -0.306939    -0.178741    -0.310276
49807.50    -0.289049    -0.179619    -0.423639
49807.75    -0.233801    -0.204820    -0.235626
49808.00    -0.249555    -0.241019    -0.153866
49808.25    -0.312499    -0.179437     0.009910
49808.50    -0.289054    -0.130029    -0.112192
49808.75    -0.253617    -0.106488    -0.005780
49809.00    -0.285199    -0.137492    -0.018333
49809.25    -0.357147    -0.086023    -0.015922
49809.50    -0.325626    -0.034327    -0.208825
49809.75    -0.309784    -0.035514    -0.187788
49810.00    -0.333090    -0.092896    -0.254058
49810.25    -0.365169    -0.064629    -0.191273
49810.50    -0.330236    -0.044214    -0.363928
49810.75    -0.297112    -0.053571    -0.287358
49811.00    -0.321681    -0.061283    -0.387214
49811.25    -0.387198    -0.055208    -0.298932
49811.50    -0.359727    -0.064416    -0.431648
49811.75    -0.185491    -0.475093     1.360587
49812.00    -0.334295    -0.181355    -0.403838
49812.25    -0.367409    -0.159168    -0.372067
49812.50    -0.281280    -0.133476    -0.502102
49812.75    -0.242640    -0.177555    -0.429437
49813.00    -0.280933    -0.221299    -0.491576
49813.25    -0.368433    -0.148947    -0.435736
49813.50    -0.334938    -0.082505    -0.586914
49813.75    -0.336160    -0.074723    -0.511049
49814.00    -0.334563    -0.096512    -0.553290
49814.25    -0.307643    -0.020385    -0.440565
49814.50    -0.193850     0.034634    -0.522272
49814.75    -0.131590     0.015424    -0.361931
49815.00    -0.079613    -0.027700    -0.293014
49815.25    -0.111303     0.006244    -0.159025
49815.50    -0.020010     0.034033    -0.223953
49815.75     0.001626    -0.010786    -0.112325
49816.00     0.032430    -0.084607     0.011562
49816.25     0.002911    -0.053341     0.192250
49816.50     0.047653    -0.038116     0.104070
49816.75     0.082127    -0.067934     0.213918
49817.00     0.061097    -0.125072     0.264172
49817.25     0.033084    -0.087917     0.273128
49817.50     0.130177    -0.041086     0.122749
49817.75     0.177607    -0.066982     0.189344
49818.00     0.192135    -0.109169     0.183234
49818.25     0.138797    -0.073866     0.190451
49818.50     0.241560    -0.004446     0.049458
49818.75     0.290284    -0.009983     0.095746
49819.00     0.271736    -0.040567     0.028784
49819.25     0.233473     0.021681     0.098121
49819.50     0.298029     0.059254    -0.098773
49819.75     0.302459     0.029178    -0.149109
49820.00     0.270759    -0.025975    -0.283353
49820.25     0.200204    -0.001566    -0.330894
49820.50     0.215773    -0.013117    -0.551337
49820.75     0.242793    -0.041471    -0.511572
49821.00     0.209640    -0.093867    -0.560070
49821.25     0.176954    -0.029883    -0.474079
49821.50     0.263904     0.039850    -0.545661
49821.75     0.329755     0.068326    -0.391620
49822.00     0.328126     0.053526    -0.407904
49822.25     0.295781     0.129498    -0.334884
49822.50     0.349790     0.182813    -0.515691
49822.75     0.356722     0.169554    -0.442458
49823.00     0.309742     0.119286    -0.481284
49823.25     0.234523     0.166325    -0.444148
49823.50     0.289310     0.217388    -0.579035
49823.75     0.327166     0.227856    -0.482645
49824.00     0.341185     0.204661    -0.428155
49824.25     0.328363     0.249120    -0.314472
49824.50     0.408392     0.267659    -0.382914
49824.75     0.428208     0.232020    -0.256890
49825.00     0.404783     0.161185    -0.238287
49825.25     0.334404     0.181745    -0.184748
49825.50     0.349608     0.190331    -0.322876
49825.75     0.372742     0.135261    -0.233785
49826.00     0.348704     0.064917    -0.234641
49826.25     0.304081     0.095793    -0.189693
49826.50     0.376702     0.125845    -0.291226
49826.75     0.438246     0.124754    -0.181488
49827.00     0.472514     0.064914    -0.168390
49827.25     0.416778     0.094029    -0.142577
49827.50     0.487748     0.129832    -0.281390
49827.75     0.531208     0.128151    -0.211318
49828.00     0.539187     0.096373    -0.210860
49828.25     0.478356     0.155000    -0.148228
49828.50     0.526451     0.210915    -0.277905
49828.75     0.536350     0.197351    -0.251419
49829.00     0.468515     0.150136    -0.374239
49829.25     0.380645     0.176387    -0.404435
49829.50     0.441301     0.205935    -0.602425
49829.75     0.455571     0.157923    -0.560148
49830.00     0.403652     0.094765    -0.625777
49830.25     0.353593     0.124390    -0.541349
49830.50     0.392170     0.170265    -0.669277
49830.75     0.430699     0.144568    -0.526776
49831.00     0.422005     0.106576    -0.515548
49831.25     0.419277     0.180647    -0.345857
49831.50     0.499797     0.232500    -0.392075
49831.75     0.538831     0.237057    -0.249687
49832.00     0.457986     0.196819    -0.309128
49832.25     0.402060     0.265553    -0.256050
49832.50     0.439898     0.301214    -0.376991
49832.75     0.504811     0.290782    -0.150985
49833.00     0.451199     0.222021    -0.129584
49833.25     0.362608     0.260755    -0.083376
49833.50     0.414132     0.299779    -0.243111
49833.75     0.440918     0.276614    -0.200806
49834.00     0.407575     0.206365    -0.289763
49834.25     0.305653     0.218326    -0.340800
49834.50     0.357904     0.267264    -0.481068
49834.75     0.352476     0.246785    -0.415236
49835.00     0.303632     0.185709    -0.420198
49835.25     0.161464     0.172954    -0.388199
49835.50     0.226444     0.204370    -0.476211
49835.75     0.218805     0.167402    -0.388087
49836.00     0.161384     0.116766    -0.430032
49836.25     0.084228     0.149046    -0.352411
49836.50     0.086832     0.162864    -0.578303
49836.75     0.094250     0.138804    -0.494825
49837.00     0.056197     0.099448    -0.494705
49837.25    -0.030140     0.151450    -0.412698
49837.50     0.019042     0.212567    -0.529648
49837.75     0.063299     0.207034    -0.440018
49838.00     0.058967     0.155964    -0.476039
49838.25    -0.013846     0.155919    -0.483591
49838.50     0.024197     0.151832    -0.645774
49838.75     0.050714     0.080751    -0.530007
49839.00    -0.005860    -0.024243    -0.540535
49839.25    -0.028176    -0.026200    -0.429397
49839.50     0.023475    -0.013653    -0.522644
49839.75     0.073530    -0.052387    -0.418816
49840.00     0.120718    -0.124256    -0.339130
49840.25     0.139748    -0.063976    -0.179412
49840.50     0.163333    -0.005839    -0.317979
49840.75     0.221230     0.010601    -0.195819
49841.00     0.231838    -0.005057    -0.155156
49841.25     0.173205     0.073561    -0.152050
49841.50     0.216436     0.161815    -0.356530
49841.75     0.280912     0.199180    -0.231997
49842.00     0.281188     0.156942    -0.207591
49842.25     0.203264     0.167644    -0.295036
49842.50     0.301354     0.193699    -0.416252
49842.75     0.327701     0.165312    -0.379491
49843.00     0.327801     0.091528    -0.303315
49843.25     0.241806     0.095560    -0.310919
49843.50     0.277050     0.103423    -0.483911
49843.75     0.278665     0.060762    -0.456005
49844.00     0.305082     0.024870    -0.453279
49844.25     0.218872     0.058378    -0.470669
49844.50     0.212375     0.076342    -0.678277
49844.75     0.198950     0.052212    -0.669644
49845.00     0.105788    -0.002410    -0.723609
49845.25     0.041160     0.059104    -0.665915
49845.50     0.051101     0.132417    -0.770885
49845.75     0.067837     0.143462    -0.659250
49846.00     0.042025     0.135262    -0.622838
49846.25     0.008135     0.198776    -0.571865
49846.50     0.058350     0.264819    -0.674118
49846.75     0.077759     0.281988    -0.544275
49847.00     0.039658     0.267592    -0.522466
49847.25    -0.001568     0.303856    -0.476623
49847.50     0.051006     0.351941    -0.563459
49847.75     0.093255     0.325670    -0.408274
49848.00     0.084281     0.266944    -0.323483
49848.25     0.036819     0.263473    -0.220159
49848.50     0.068616     0.260226    -0.341615
49848.75     0.072415     0.195275    -0.233593
49849.00     0.052984     0.105149    -0.190282
49849.25    -0.053917     0.098660    -0.152235
49849.50     0.004972     0.124354    -0.277033
49849.75    -0.010341     0.093799    -0.236526
49850.00    -0.004105     0.049343    -0.204770
49850.25    -0.054252     0.085048    -0.187374
49850.50     0.058896     0.138297    -0.338862
49850.75     0.120132     0.134344    -0.250635
49851.00     0.145287     0.114072    -0.230531
49851.25     0.099400     0.186395    -0.206261
49851.50     0.148836     0.225866    -0.414919
49851.75     0.179890     0.204980    -0.347976
49852.00     0.195755     0.144622    -0.371682
49852.25     0.137224     0.162650    -0.410043
49852.50     0.232472     0.186172    -0.553671
49852.75     0.252671     0.132124    -0.517815
49853.00     0.174922     0.042565    -0.581823
49853.25     0.094048     0.042845    -0.574589
49853.50     0.130002     0.049687    -0.667524
49853.75     0.141699     0.011662    -0.540637
49854.00     0.112273    -0.061708    -0.457417
49854.25     0.087372    -0.020322    -0.324478
49854.50     0.156610     0.028811    -0.302328
49854.75     0.236629     0.050159    -0.114634
49855.00     0.275215     0.032158    -0.014090
49855.25     0.247506     0.098418     0.044852
49855.50     0.314408     0.122611    -0.102420
49855.75     0.400965     0.109570    -0.093687
49856.00     0.426279     0.035957    -0.193608
49856.25     0.398710     0.050391    -0.237635
49856.50     0.459048     0.043851    -0.411296
49856.75     0.503833    -0.020670    -0.377982
49857.00     0.554205    -0.092239    -0.333297
49857.25     0.523306    -0.069482    -0.263201
49857.50     0.602032    -0.030221    -0.332640
49857.75     0.645960    -0.027556    -0.237460
49858.00     0.615430    -0.040292    -0.275959
49858.25     0.541910     0.034820    -0.259528
49858.50     0.607515     0.097439    -0.372814
49858.75     0.638446     0.086008    -0.342856
49859.00     0.570970     0.021254    -0.406830
49859.25     0.511021     0.070903    -0.386939
49859.50     0.560182     0.123821    -0.498601
49859.75     0.575293     0.114854    -0.393217
49860.00     0.546618     0.070527    -0.410951
49860.25     0.484670     0.111137    -0.247385
49860.50     0.531521     0.165320    -0.287227
49860.75     0.585659     0.155851    -0.047856
49861.00     0.574672     0.115782     0.093393
49861.25     0.512709     0.153664     0.238913
49861.50     0.548124     0.219393     0.147213
49861.75     0.552399     0.212589     0.268113
49862.00     0.476388     0.168278     0.244127
49862.25     0.328573     0.195315     0.186224
49862.50     0.329147     0.219303    -0.027276
49862.75     0.358348     0.179946     0.021900
49863.00     0.298607     0.086272    -0.124994
49863.25     0.275660     0.107288    -0.121953
49863.50     0.312769     0.104274    -0.269248
49863.75     0.368394     0.070920    -0.113015
49864.00     0.376385     0.001810    -0.085320
49864.25     0.372930     0.058074    -0.041170
49864.50     0.419391     0.099461    -0.172784
49864.75     0.456509     0.093336    -0.042947
49865.00     0.420596     0.022125    -0.082333
49865.25     0.351573     0.066488    -0.038343
49865.50     0.389619     0.109213    -0.155745
49865.75     0.434462     0.113351     0.004448
49866.00     0.367469     0.064932     0.016430
49866.25     0.285082     0.098632     0.067689
49866.50     0.306994     0.150464    -0.031096
49866.75     0.323359     0.121646     0.058891
49867.00     0.292011     0.047063    -0.022307
49867.25     0.229116     0.069631    -0.008435
49867.50     0.298777     0.102815    -0.152117
49867.75     0.338052     0.071685    -0.036167
49868.00     0.336135    -0.001597    -0.047060
49868.25     0.286225     0.030259    -0.071759
49868.50     0.373849     0.083653    -0.188198
49868.75     0.471779     0.105290    -0.024419
49869.00     0.500916     0.069161     0.004827
49869.25     0.447158     0.126357     0.050295
49869.50     0.466925     0.162884    -0.121400
49869.75     0.491967     0.156638    -0.038343
49870.00     0.471838     0.118278    -0.034279
49870.25     0.459262     0.201949     0.066278
49870.50     0.517772     0.239321    -0.065830
49870.75     0.542700     0.218545     0.040685
49871.00     0.513681     0.132153     0.018822
49871.25     0.451904     0.183625     0.012447
49871.50     0.487347     0.217890    -0.145820
49871.75     0.521163     0.205012    -0.078320
