Non-native plant Species Of Sequoia And Kings Canyon National Parks-Expanded List

See legend at end of document for column heading definitions. 

JCode,ITISCode,PLANTSCode,JFamily,JTrinomial,CommonName,Lifeform,BRDCat,CALEPPCCat,CDFACat,Status
CEME10,36965,CEME2,Asteraceae,Centaurea melitensis L.,tocolote,F,4,B,C,2
CESO10,36972,CESO3,Asteraceae,Centaurea solstitialis L.,yellow star thistle,F,1,A-1,C,5
CHAL20,20592,CHAL7,Chenopodiaceae,Chenopodium album L.,lambs quarters,F,4,,,2
CHBO10,20596,CHBO2,Chenopodiaceae,Chenopodium botrys L.,Jerusalem oak,F,4,,,2
CHMA10,565061,CHMA15,Euphorbiaceae,Chamaesyce maculata (L.) Small,spotted spurge,F,4,,,2
CHSU11,510768,CHSU5,Asteraceae,Chamomilla suaveolens (Pursh) Rydb.,pineapple weed,F,4,,,2
CIVU10,36428,CIVU,Asteraceae,Cirsium vulgare (Savi) Ten.,bull thistle,F,3,B,C,2
COAR10,30705,COAR4,Convolvulaceae,Convolvulus arvensis L.,bindweed,V,1,CNL,C,3
COAU10,35800,COAU3,Asteraceae,Cotula australis (Sieber) Hook. f.,brass buttons,F,4,,,2
CODI10,23105,CODI6,Brassicaceae,Coronopus didymus (L.) Smith,swine cress,F,4,,,3
CRSC10,41605,CRSC,Poaceae,Crypsis schoenoides (L.) Lam.,swampgrass,G,4,,,2
CRTI10,24101,CRTI,Crassulaceae,Crassula tillaea Lester-Garl.,moss pygmyweed,F,4,,,2
CYDA10,41619,CYDA,Poaceae,Cynodon dactylon (L.) Pers.,bermuda grass,G,4,,C,2
CYEC10,41625,CYEC,Poaceae,Cynosurus echinatus L.,hedgehog dogtail,G,4,,,2
DAGL10,193446,DAGL,Poaceae,Dactylis glomerata L.,orchard grass,G,1,,,2
DESO10,22843,DESO2,Brassicaceae,Descurainia sophia (L.) Webb,herb sophia,F,1,NMI,,2
DIPU20,33585,DIPU,Scrophulariaceae,Digitalis purpurea L.,foxglove,F,1,CNL,,2
DISA10,40604,DISA,Poaceae,Digitaria sanguinalis (L.) Scop.,crabgrass,G,4,,,2
ECCR10,502210,ECCR,Poaceae,Echinochloa crus-galli (L.) P. Beauv.,barnyard grass,G,2,,,2
ERBO10,29146,ERBO,Geraniaceae,Erodium botrys (Cav.) Bertol,long-beaked filaree,F,4,,,2
ERBR31,502424,ERBR14,Geraniaceae,Erodium brachycarpum (Godron) Thell.,white-stemmed filaree,F,4,,,2
ERCI10,29147,ERCI6,Geraniaceae,Erodium cicutarium (L.) L'Her.,red-stemmed filaree,F,4,,,2
ERCI20,40719,ERCI,Poaceae,Eragrostis cilianensis (All.) Janchen,lovegrass,G,4,,,2
ERMO10,29151,ERMO7,Geraniaceae,Erodium moschatum (L.) L'Her.,musky stork's bill,F,4,,,2
EUCI10,502467,EUCI,Myrtaceae,Eucalyptus citriodora Hook.,lemon-scented gum,T,1,,,3
EUPE10,28117,EUPE6,Euphorbiaceae,Euphorbia peplus L.,petty spurge,F,4,,,2
FEAR10,40810,FEAR3,Poaceae,Festuca arundinacea Schreber,tall fescue,G,1,B,,3
FEPR11,40822,FEPR,Poaceae,Festuca pratensis Hudson,meadow fescue,G,2,,,2
FICA20,19093,FICA,Moraceae,Ficus carica L.,edible fig,T,1,A-2,,2
FIGA10,502620,FIGA,Asteraceae,Filago gallica L.,narrowleaf cottonrose,F,4,,,2
GAMU20,34896,GAMU4,Rubiaceae,Galium murale (L.) All.,tiny bedstraw,F,4,,,2
GAPA10,34905,GAPA5,Rubiaceae,Galium parisiense L.,wall bedstraw,F,4,,,2
GAVE10,41747,GAVE3,Poaceae,Gastridium ventricosum (Gouan) Schinz & Thell.,nit grass,G,4,,,2
GEDI10,29135,GEDI,Geraniaceae,Geranium dissectum L.,cutleaf geranium,F,4,,,2
GEMO10,29110,GEMO,Geraniaceae,Geranium molle L.,dove's foot geranium,F,4,,,2
GEMO20,502738,GEMO2,Fabaceae,Genista monspessulana (L.) L. Johnson,French broom,S,1,A-1,C,2
GNLU10,36706,GNLU,Asteraceae,Gnaphalium luteo-album L.,"cudweed, everlasting",F,4,,,2
HEAR11,25174,HEAR5,Rosaceae,Heteromeles arbutifolia (Lindley) Roemer,toyon,S,1,,,7
HECR10,37591,HECR2,Asteraceae,Hedypnois cretica (L.) Dum.-Cours.,cretanweed,F,4,,,2
HECU10,31635,HECU3,Boraginaceae,Heliotropium curassavicum L.,heliotrope,F,4,,,3
HEHE20,29393,HEHE,Araliaceae,Hedera helix L.,English ivy,V,1,B,,3
HEHI11,524137,HEHIC,Caryophyllaceae,Herniaria hirsuta L. ssp. cinerea (DC.) Cout.,rupture wort,F,4,,,3
HIIN10,503045,HIIN3,Brassicaceae,Hirschfeldia incana (L.) Lagr.-Fossat,shortpod mustard,F,4,NMI,,2
HOLA10,41773,HOLA,Poaceae,Holcus lanatus L.,common velvet grass,G,2,B,,2
HOMA11,524158,HOMAG,Poaceae,Hordeum marinum Hudson ssp. gussoneanum (Parl.) Th,mediterranean barley,G,4,,,2
HOMU11,524161,HOMUL,Poaceae,Hordeum murinum L. ssp. leporinum (Link) Arcang.,leporinum barley,G,4,,,2
HOMU12,524162,HOMUM,Poaceae,Hordeum murinum L. ssp. murinum,wall barley,G,4,,,2
HYGL10,37792,HYGL2,Asteraceae,Hypochaeris glabra L.,smooth cat's ear,F,4,,,2
JURE00,503244,JURE80,Juglandaceae,Juglans regia L.,English walnut,T,1,,,9
LAAM10,32539,LAAM,Lamiaceae,Lamium amplexicaule L.,common henbit,F,4,,,2
LAAU10,41811,LAAU,Poaceae,Lamarckia aurea (L.) Moench,goldentop,G,4,,,2
LALA10,25856,LALA4,Fabaceae,Lathyrus latifolius L.,perennial sweet pea,F,1,,,2
LAPU10,32543,LAPU2,Lamiaceae,Lamium purpureum L.,dead nettle,F,4,,,2
LASE10,36608,LASE,Asteraceae,Lactuca serriola L.,prickly lettuce,F,4,,,2
LISI10,32979,LISI,Oleaceae,Ligustrum sinense Lour.,Chinese privet,S,1,,,3
LOMU10,40892,LOMU,Poaceae,Lolium multiflorum Lam.,Italian ryegrass,G,4,AG,,2
LOPE10,40893,LOPE,Poaceae,Lolium perenne L.,perennial ryegrass,G,2,,,2
LOTE11,40900,LOTE2,Poaceae,Lolium temulentum L.,ryegrass,G,4,,,2
LYCO10,20308,LYCO,Caryophyllaceae,Lychnis coronaria (L.) Desr.,rose campion,F,4,,,5
LYHY10,27085,LYHY2,Lythraceae,Lythrum hyssopifolium L.,hyssop loosestrife,F,4,,,2
MANE10,21836,MANE,Malvaceae,Malva neglecta Wallr.,common mallow,F,4,,,2
MAPA10,21838,MAPA5,Malvaceae,Malva parviflora L.,cheeseweed,F,4,,,2
MASY10,25264,MASY2,Rosaceae,Malus sylvestris Miller,apple,T,1,,,3
MAVU10,32561,MAVU,Lamiaceae,Marrubium vulgare L.,horehound,F,1,,,2
MEAL10,26149,MEAL12,Fabaceae,Melilotus alba Medikus,white sweetclover,F,1,,,2
MEIN11,26152,MEIN14,Fabaceae,Melilotus indica (L.) All.,sourclover,F,1,,,2
MELU11,503721,MELU,Fabaceae,Medicago lupulina L.,black medik,F,4,,,2
MEOF10,26150,MEOF,Fabaceae,Melilotus officinalis (L.) Pall.,yellow sweetclover,F,1,CNL,,3
MEPO12,503725,MEPO3,Fabaceae,Medicago polymorpha L.,California burclover,F,4,CNL,,2
MEPU10,32270,MEPU,Lamiaceae,Mentha pulegium L.,pennyroyal,F,1,A-2,,2
MESA10,183623,MESA,Fabaceae,Medicago sativa L.,alfalfa,F,1,,,3
MESP11,32272,MESP3,Lamiaceae,Mentha spicata L. var. spicata,spearmint,F,1,,,2
MOAL10,19066,MOAL,Moraceae,Morus alba L.,white mulberry,T,1,,,3
MOVE10,19899,MOVE,Molluginaceae,Mollugo verticillata L.,"carpet-weed, indian chickweed",F,4,,,2
NEOL10,30184,NEOL,Apocynaceae,Nerium oleander L.,oleander,S,1,CNL,,3
OELA10,27371,OELA,Onagraceae,Oenothera laciniata Hill,evening primrose,F,4,,,3
OLEU10,32990,OLEU,Oleaceae,Olea europaea L.,olive,T,2,B,,3
OXCO10,29067,OXCO,Oxalidaceae,Oxalis corniculata L.,creeping woodsorrel,F,4,,,2
OXPE10,29092,OXPE,Oxalidaceae,Oxalis pes-caprae L.,Bermuda buttercup,F,1,NMI,,2
PADI10,40997,PADI3,Poaceae,Paspalum dilatatum Poiret,dallis grass,G,4,,,2
PADI20,40908,PADI,Poaceae,Panicum dichotomiflorum Michaux,fall panicgrass,G,4,,,3
PANO10,41000,PANO2,Poaceae,Paspalum notatum J. Fleugge,bahiagrass,G,4,,,2
PAVI10,28605,PAVI5,Vitaceae,Parthenocissus vitacea (Knerr) Hitchc.,woodbine,V,4,,,3
PEDU11,504262,PEDU2,Caryophyllaceae,Petrorhagia dubia (Raf.) G. Lopez & Romo,hairypink,F,4,,,2
PHAR20,41335,PHAR3,Poaceae,Phalaris arundinacea L.,reed canary grass,G,1,,,7
PHMI10,41337,PHMI3,Poaceae,Phalaris minor Retz.,littleseed canarygrass,G,2,,,3
PHNO11,32197,PHNO2,Verbenaceae,Phyla nodiflora (L.) E. Greene var. nodiflora,turkey tangle fogfruit,F,4,NMI,,3
PHPA10,41338,PHPA5,Poaceae,Phalaris paradoxa L.,hood canarygrass,G,2,,,2
PHPH10,504374,PHPH2,Solanaceae,Physalis philadelphica Lam.,tomatillo,F,4,,,3
PHPR10,41062,PHPR3,Poaceae,Phleum pratense L.,cultivated timothy,G,2,,,2
PIMI10,504407,PIMI3,Poaceae,Piptatherum miliaceum (L.) Cosson,smilo grass,G,2,NMI,,2
PISA10,183377,PISA2,Pinaceae,Pinus sabiniana Douglas,gray pine,T,4,,,3
PLLA10,32874,PLLA,Plantaginaceae,Plantago lanceolata L.,English plantain,F,4,,,2
PLMA10,32887,PLMA2,Plantaginaceae,Plantago major L.,common plantain,F,4,,,2
POAN10,41107,POAN,Poaceae,Poa annua L.,annual bluegrass,G,4,,,2
POAR10,20873,POAR5,Polygonaceae,Polygonum argyrocoleon Kunze,silversheath knotweed,F,4,,,2
POAR21,20872,POAR11,Polygonaceae,Polygonum arenastrum Boreau,common knotweed,F,4,,,2
POBU10,41116,POBU,Poaceae,Poa bulbosa L.,bulbous bluegrass,G,2,,,2
POCO10,41082,POCO,Poaceae,Poa compressa L.,Canadian bluegrass,G,2,,,2
POCO30,20853,POCO10,Polygonaceae,Polygonum convolvulus L.,black bindweed,F,4,,,2
POIN10,41174,POIN7,Poaceae,Polypogon interruptus Kunth,ditch beard grass,G,1,,,2
POMA10,41175,POMA10,Poaceae,Polypogon maritimus Willd.,Mediterranean beard grass,G,4,,,2
POMO10,41171,POMO5,Poaceae,Polypogon monspeliensis (L.) Desf.,annual beard grass,G,2,,,2
POPA10,41151,POPA2,Poaceae,Poa palustris L.,fowl bluegrass,G,1,,,2
POPR11,566071,POPRP2,Poaceae,Poa pratensis L. ssp. pratensis,Kentucky bluegrass,G,3,,,2
POTE10,504491,POTE,Caryophyllaceae,Polycarpon tetraphyllum (L.) L.,four-leaved allseed,F,4,,,2
PUGR10,27278,PUGR2,Punicaceae,Punica granatum L.,pomegranate,T,2,,,3
PYAN10,25292,PYAN,Rosaceae,Pyracantha angustifolia (Franchet) C. Schneider,firethorn,S,1,NMI,,2
RAPA10,18656,RAPA3,Ranunculaceae,Ranunculus parviflorus L.,smallflower buttercup,F,1,,,2
RARA10,23289,RARA2,Brassicaceae,Raphanus raphanistrum L.,wild radis,F,4,,,2
RASA10,23290,RASA2,Brassicaceae,Raphanus sativus L.,radish,F,4,,,2
RATE10,18649,RATE,Ranunculaceae,Ranunculus testiculatus Crantz,curveseed butterwort,F,1,,,3
RUAC10,20934,RUAC3,Polygonaceae,Rumex acetosella L.,sheep sorrel,F,4,,,2
RUCO10,20936,RUCO2,Polygonaceae,Rumex conglomeratus Murray,clustered dock,F,4,,,2
RUCR10,20937,RUCR,Polygonaceae,Rumex crispus L.,curly dock,F,4,,,2
RUDE10,20954,RUDE3,Polygonaceae,Rumex dentatus L.,toothed dock,F,4,,,3
RUDI10,24852,RUDI2,Rosaceae,Rubus discolor Weihe & Nees,Himalayan blackberry,S,1,A-1,,2
RULA00,24853,RULA,Rosaceae,Rubus laciniatus Willd.,cut-leaved blackberry,S,1,,,9
SATR11,520950,SATR12,Chenopodiaceae,Salsola tragus L.,Russian thistle,F,4,NMI,C,2
SCAN11,20360,SCAN2,Caryophyllaceae,Scleranthus annuus L. ssp. annuus,knawel,F,4,,,2
SCBA10,42066,SCBA,Poaceae,Schismus barbatus (L.) Thell.,common Mediterranean grass,F,4,AG,,2
SEPU11,505192,SEPU8,Poaceae,Setaria pumila (Poiret) Roemer & Schultes,yellow bristlegrass,G,4,,,2
SEVI10,41231,SEVI4,Poaceae,Setaria viridis (L.) P. Beauv.,green bristlegrass,G,4,,,2
SEVU10,36194,SEVU,Asteraceae,Senecio vulgaris L.,old-man-in-the-spring,F,4,,,2
SHAR10,35237,SHAR2,Rubiaceae,Sherardia arvensis L.,field madder,F,4,,,2
SIAL10,23312,SIAL2,Brassicaceae,Sisymbrium altissimum L.,tumblemustard,F,4,,,2
SIGA10,20067,SIGA,Caryophyllaceae,Silene gallica L.,common catchfly,F,4,,,2
SIIR10,23314,SIIR,Brassicaceae,Sisymbrium irio L.,London rocket,F,4,,,2
SIMA10,38413,SIMA3,Asteraceae,Silybum marianum (L.) Gaertner,milk thistle,F,1,CNL,,2
SIOF10,23316,SIOF,Brassicaceae,Sisymbrium officinale L.,hedge mustard,F,4,,,2
SIOR20,23317,SIOR4,Brassicaceae,Sisymbrium orientale L.,Indian hedge mustard,F,4,,,2
SOAS10,38425,-9,Asteraceae,Sonchus asper (L.) Hill ssp. asper,prickly sow thistle,F,4,,,2
SOBI10,42108,SOBI2,Poaceae,Sorghum bicolor (L.) Moench,sorghum,G,4,,,3
SOHA10,42111,SOHA,Poaceae,Sorghum halepense (L.) Pers.,johnsongrass,G,2,,C,2
SOOL10,38427,SOOL,Asteraceae,Sonchus oleraceus L.,common sow thistle,F,4,,,2
SOSE10,38879,SOSE2,Asteraceae,Soliva sessilis Ruiz Lopez & Pavon,field burrweed,F,4,,,2
SOTE10,38428,SOTE3,Asteraceae,Sonchus tenerrimus L.,slender sow thistle,F,4,,,2
SPBO10,20155,SPBO,Caryophyllaceae,Spergularia bocconii (Scheele) Merino,sand spurrey,F,4,,,2
SPJU20,26967,SPJU2,Fabaceae,Spartium junceum L.,Spanish broom,S,1,B,C,2
SPRU10,20153,SPRU,Caryophyllaceae,Spergularia rubra (L.) J.S. Presl & C. Presl.,purple sand-spurry,F,4,,,2
STME10,20169,STME2,Caryophyllaceae,Stellaria media (L.) Villars,common chickweed,F,4,,,2
TAOF10,36213,TAOF,Asteraceae,Taraxacum officinale Wigg.,dandelion,F,4,,,2
TAPA10,505434,TAPA6,Asteraceae,Tanacetum parthenium (L.) Schultz-Bip.,feverfew,F,1,,,5
TOAR10,29894,TOAR,Apiaceae,Torilis arvensis (Hudson) Link,spreading hedge-parsley,F,4,,,2
TONO10,29896,TONO,Apiaceae,Torilis nodosa (L.) Gaertner,knotted hedge-parsley,F,4,,,2
TRAE10,42237,TRAE,Poaceae,Triticum aestivum L.,wheat,G,4,,,2
TRCA11,26231,TRCA5,Fabaceae,Trifolium campestre Shreber,hop clover,F,4,,,2
TRDU10,38564,TRDU,Asteraceae,Tragopogon dubius Scop.,yellow salsify,F,1,,,2
TRDU20,26205,TRDU2,Fabaceae,Trifolium dubium Sibth.,little hop clover,F,4,,,2
TRHI10,26259,TRHI4,Fabaceae,Trifolium hirtum All.,rose clover,F,4,,,2
TRIN10,26262,TRIN3,Fabaceae,Trifolium incarnatum L.,crimson clover,F,4,,,5
TRRE10,26206,TRRE3,Fabaceae,Trifolium repens L.,white clover,F,1,,,2
TRTE10,29057,TRTE,Zygophyllaceae,Tribulus terrestris L.,puncture vine,V,4,,C,2
URUR10,19158,URUR,Urticaceae,Urtica urens L.,dwarf nettle,F,1,,,2
VEAR10,33411,VEAR,Scrophulariaceae,Veronica arvensis L.,corn speedwell,F,4,,,2
VEPE10,33405,VEPE3,Scrophulariaceae,Veronica persica Poiret,Persian speedwell,F,4,,,2
VESE10,33424,VESES,Scrophulariaceae,Veronica serpyllifolia L. ssp. serpyllifolia,thymeleaf speedwell,F,4,,,2
VETH10,33394,VETH,Scrophulariaceae,Verbascum thapsus L.,woolly mullein,F,3,B,,2
VEVI10,33395,VEVI2,Scrophulariaceae,Verbascum virgatum Stokes,wand mullein,F,1,,,2
VIBE10,26333,VIBE,Fabaceae,Vicia benghalensis L.,purple vetch,F,1,,,2
VIMA10,30237,VIMA,Apocynaceae,Vinca major L.,greater periwinkle,V,1,B,,2
VISA10,26355,VISA,Fabaceae,Vicia sativa L.,common vetch,F,1,,,2
VIVI11,524813,VIVIV,Fabaceae,Vicia villosa Roth ssp. villosa,hairy vetch,F,4,,,5
VIVI12,524812,VIVIV8,Fabaceae,Vicia villosa Roth ssp. varia (Host) Corbiere,winter vetch,F,1,,,2
VUBR11,42261,VUBR,Poaceae,Vulpia bromoides (L.) S.F. Gray,brome fescue,G,2,,,2
VUMY11,541788,VUMYH,Poaceae,Vulpia myuros (L.) C. Gmelin var. hirsuta (Hackel),foxtail fescue,G,4,,,2
VUMY12,42263,-9,Poaceae,Vulpia myuros (L.) C. Gmelin var. myuros,,G,4,,,2


Legend (may be more easily viewed in a text editor or word-processing program)

JCode: Organizational code applied by Sequoia and Kings Canyon National Parks-each plant has a unique code

ITISCode: Organizational code applied by the Integrated Taxonomic Information System (sponsored by the U.S. Department of Agriculture and allies)-each plant has a unique code. Link to http://www.itis.usda.gov/index.html for more information about coded plants.

PLANTSCode: Organizational code applied by the U.S. Department of Agriculture-each plant has a unique code. Link to http://plants.usda.gov/ for more information about coded plants.

JFamily: Plant family according to the Jepson Manual Higher Plants Of California-editor James C. Hickman-April 1993

JTrinomial: Scientific name according to the Jepson Manual Higher Plants Of California-editor James C. Hickman-April 1993

Lifeform: G = grass.  S = shrub.  T = tree.  V = vine.  F = forb (a broad-leaved herb other than a grass).

BRDCat: Categorization according to the Biological Resources Division of the U.S. Geological Survey in Sequoia National Park-the four categories are described below (excerpted from the report Exotic Species Threat Assessment ... available at the Sequoia National Park website http://www.nps.gov/seki/snrm/nnp/html/data.htm). 
Category 1 species are exotics that are currently restricted to a relatively small number of sites in each park and have either been shown to greatly affect native vegetation or have a high probability of causing serious impacts. 
Category 2 species are ones that generally have a lesser affect on native vegetation and are restricted to a relatively small number of sites. 
Category 3 species are those that have been shown to have a great effect on native vegetation: are broadly distributed in the parks: and are apparently increasing their ranges within the parks. 
Category 4 species are those that were detected by the surveys but not assigned to one of the three ranked categories and are considered low priority species. 

CALEPPCCat: Threat categorization according to the California Exotic Pest Plant Council. Link to http://groups.ucanr.org/ceppc/Pest_Plant_List/ for more information. 

CDFACat: Noxious weed designation applied by the California Department of Food and Agriculture. Link to http://www.extendinc.com/weedfreefeed/list.htm for more information.

Status: Code applied by Sequoia and Kings Canyon National Parks. 1 = native. 2 = naturalized alien. 3 = waif alien. 4 = extirpated native. 5 = extirpated alien. 6 = specimen identified to genus only. 7 = native to California but alien to Sequoia and Kings Canyon National Parks. 8 = alien immediately outside park boundary. 9 = specimen identification not verified and not in official park flora.

