#BottleID	SampleID	SMCOD	STAID	Reach	Group	AlgaeGroup	Phylum	Family	Genus	Species	Variety	TaxonAuthority	ScientificName	Quantity	Cells_cm2	Cells_mL	Biovolume_cm2	Biovolume_mL	NADEDID	ShortName	SampleProcessingStatusText
73299	73298	LIRB0997ARE2024B	05572000	A	N	Blue-Green Algae	Cyanophyta	Merismopediaceae	Aphanocapsa	incerta		(Lemmermann) Cronberg & Komárek	Aphanocapsa incerta (Lemmermann) Cronberg & Komárek	25	14178.65881		14910.01458		807011	AFPincrt	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	pediculus		(Kützing) Grunow	Amphora pediculus (Kützing) Grunow	11	384.07378		36150.56707		7043	AMpedcls	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Geissleria	decussis		(Hustedt) Lange-Bertalot et Metzeltin	Geissleria decussis (Hustedt) Lange-Bertalot et Metzeltin	2	69.8316		18445.11666		210003	GEdecu	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	insigne		Gregory	Gomphonema insigne Gregory	4	139.66319		301176.1555		37156	GOinsign	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	minutum		(Agardh) Agardh	Gomphonema minutum (Agardh) Agardh	14	488.82117		162842.1323		37178	GOminutm	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	olivaceum		(Lyngbye) Kützing	Gomphonema olivaceum (Lyngbye) Kützing	4	139.66319		54560.97413		37065	GOolivcm	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	parvulum		(Kützing) Kützing	Gomphonema parvulum (Kützing) Kützing	8	279.32638		60744.81512		37010	GOparvul	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	acuminatum		(Kützing) Rabenhorst	Gyrosigma acuminatum (Kützing) Rabenhorst	2	69.8316		490286.8953		38001	GYacumin	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	scalproides		(Rabenhorst) Cleve	Gyrosigma scalproides (Rabenhorst) Cleve	6	209.49479		306967.8304		38012	GYscalpd	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Luticola	mutica		(Kützing) Mann	Luticola mutica (Kützing) Mann	2	69.8316		40504.4468		130002	LUmutica	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Mayamaea	atomus		(Kützing) Lange-Bertalot	Mayamaea atomus (Kützing) Lange-Bertalot	13	453.90537		12729.50894		211003	MYatomus	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	canalis		Patrick	Navicula canalis Patrick	4	139.66319		46450.79328		46317	NAcanals	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	capitatoradiata		Germain	Navicula capitatoradiata Germain	9	314.24218		181551.0249		46661	NAcaprad	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	cincta		(Ehrenberg) Ralfs	Navicula cincta (Ehrenberg) Ralfs	2	69.8316		43738.70525		46324	NAcincta	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	cryptotenella		Lange-Bertalot ex Krammer et Lange-Bertalot	Navicula cryptotenella Lange-Bertalot ex Krammer et Lange-Bertalot	65	2269.52857		599633.4976		46527	NAcryten	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	difficillima		Hustedt	Navicula difficillima Hustedt	8	279.32638		6164.33763		46017	NAdiffic	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	erifuga		Lange-Bertalot	Navicula erifuga Lange-Bertalot	7	244.41059		107112.6344		46648	NAerifga	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	exilis		Kützing	Navicula exilis Kützing	15	523.73697		186539.1714		46663	NAexilis	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	germainii		Wallace	Navicula germainii Wallace	33	1152.2219		760538.8659		46616	NAgermii	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	gregaria		Donkin	Navicula gregaria Donkin	11	384.07378		107134.8258		46023	NAgregar	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	meniscus		Schumann	Navicula meniscus Schumann	6	209.49479		350365.7732		46302	NAmenisc	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	minima		Grunow	Navicula minima Grunow	10	349.15798		13995.87539		46039	NAminima	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	reichardtiana		Lange-Bertalot	Navicula reichardtiana Lange-Bertalot	6	209.49479		27346.33157		46666	NAreichd	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	rostellata		Kützing	Navicula rostellata Kützing	2	69.8316		61898.15518		46896	NArostel	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	subminuscula		Manguin	Navicula subminuscula Manguin	8	279.32638		20340.64703		46562	NAsubmin	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	symmetrica		Patrick	Navicula symmetrica Patrick	59	2060.03379		2358731.084		46400	NAsymtrc	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	tenelloides		Hustedt	Navicula tenelloides Hustedt	12	418.98958		69301.71658		46401	NAtenell	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	tripunctata		(Müller) Bory	Navicula tripunctata (Müller) Bory	2	69.8316		65218.30686		46104	NAtripun	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	trivialis		Lange-Bertalot	Navicula trivialis Lange-Bertalot	2	69.8316		76144.58951		46774	NAtrivls	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Rhoicosphenia	abbreviata		(Agardh) Lange-Bertalot	Rhoicosphenia abbreviata (Agardh) Lange-Bertalot	14	488.82117		249222.783		57002	ROabbre	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	amphibia		Grunow	Nitzschia amphibia Grunow	12	418.98958		78071.96465		48004	NIamphib	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	dissipata		(Kützing) Grunow	Nitzschia dissipata (Kützing) Grunow	4	139.66319		35505.91278		48008	NIdissip	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	frustulum		(Kützing) Grunow	Nitzschia frustulum (Kützing) Grunow	6	209.49479		10316.60212		48013	NIfrustu	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	inconspicua		Grunow	Nitzschia inconspicua Grunow	28	977.64291		54383.13961		48122	NIincons	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	intermedia		Hantzsch ex Cleve et Grunow	Nitzschia intermedia Hantzsch ex Cleve et Grunow	2	69.8316		64144.02857		48153	NIinterm	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	linearis		(Agardh ex Smith) Smith	Nitzschia linearis (Agardh ex Smith) Smith	2	69.8316		207779.601		48023	NIlinear	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	microcephala		Grunow	Nitzschia microcephala Grunow	4	139.66319		15165.47127		48024	NImicroc	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea		(Kützing) Smith	Nitzschia palea (Kützing) Smith	4	139.66319		42294.72526		48025	NIpalea	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea	debilis	(Kützing) Grunow	Nitzschia palea var. debilis (Kützing) Grunow	15	523.73697		89298.40236		48228	NIpaldeb	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Simonsenia	delognei		(Grunow) Lange-Bertalot	Simonsenia delognei (Grunow) Lange-Bertalot	53	1850.539		103807.7646		59001	SIdelog	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	victoriae		Grunow	Tryblionella victoriae Grunow	8	279.32638		241656.9458		185027	TYvictor	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Surirellaceae	Surirella	minuta		Brébisson	Surirella minuta Brébisson	4	139.6632		110869.589		65048	SUminuta	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclostephanos	invisitatus		(Hohn et Hellerman) Theriot, Stoermer et Håkansson	Cyclostephanos invisitatus (Hohn et Hellerman) Theriot, Stoermer et Håkansson	4	139.66319		25132.08545		19002	CSinvisi	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	atomus		Hustedt	Cyclotella atomus Hustedt	33	1152.2219		96644.36808		20001	CYatomus	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	meneghiniana		Kützing	Cyclotella meneghiniana Kützing	23	803.06392		693934.7004		20007	CYmenegh	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	nana		Hustedt	Cyclotella nana Hustedt	6	209.49479		4759.41455		20028	CYnana	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	pseudostelligera		Hustedt	Cyclotella pseudostelligera Hustedt	10	349.15798		30172.23006		20012	CYpsdste	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Stephanodiscus	minutulus		(Kützing) Cleve et Möller	Stephanodiscus minutulus (Kützing) Cleve et Möller	6	209.49479		66717.02745		64018	Stminut	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Thalassiosira	weissflogii		(Grunow) Fryxell et Hasle	Thalassiosira weissflogii (Grunow) Fryxell et Hasle	4	139.66319		124547.7262		70008	THweiss	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Green Algae	Chlorophyta	Oocystaceae	Chlorella	ellipsoidea		Gerneck	Chlorella ellipsoidea Gerneck	1	567.14635		54896.12493		299002	CHEellip	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Green Algae	Chlorophyta	Oocystaceae	Chlorella	miniata		(Nägeli) Oltmanns	Chlorella miniata (Nägeli) Oltmanns	8	4537.17082		5587087.269		299003	CHEminat	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Green Algae	Chlorophyta	Oocystaceae	Chlorella	vulgaris		Beyerinck	Chlorella vulgaris Beyerinck	16	9074.34164		1800305.965		299001	CHEvulgr	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Green Algae	Chlorophyta	Oocystaceae	Pseudochlorella	sp. 0A UL NAWQA EJ			Pseudochlorella sp. 0A UL NAWQA EJ 	92	52177.46441		13980777.66		498001	PSC0AUL	Completed
73299	73298	LIRB0997ARE2024B	05572000	A	N	Green Algae	Chlorophyta	Ulotrichaceae	Ulothrix	subtilissima		Rabenhorst	Ulothrix subtilissima Rabenhorst	16	9074.34164		1795086.263		569003	ULOsubtl	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	N	Blue-Green Algae	Cyanophyta	Oscillatoriaceae	Lyngbya	sp. 1?			Lyngbya sp. 1? 	8	51862.37875		1296559.469		860990	LYG1?	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	N	Blue-Green Algae	Cyanophyta	Oscillatoriaceae	Oscillatoria	sp. 1?			Oscillatoria sp. 1? 	1	7978.8275		199470.6875		888990	OSC1?	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula		Ehrenberg	Cocconeis placentula Ehrenberg	2	738.33915		556736.8023		16004	CCplacen	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Diatomaceae	Fragilaria	capucina		Desmazières	Fragilaria capucina Desmazières	2	738.33915		72408.55127		34006	FRcapuci	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Diatomaceae	Synedra	ulna		(Nitzsch) Ehrenberg	Synedra ulna (Nitzsch) Ehrenberg	2	738.33915		4378695.824		66024	SYulna	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	inariensis		Krammer	Amphora inariensis Krammer	4	1476.67831		214092.2325		7010	AMinarie	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Amphora	veneta		Kützing	Amphora veneta Kützing	2	738.33915		428825.7466		7006	AMveneta	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Craticula	citrus		(Krasske) Reichardt	Craticula citrus (Krasske) Reichardt	2	738.33915		242985.4503		21012	KCcitrus	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Fallacia	monoculata		(Hustedt) Mann	Fallacia monoculata (Hustedt) Mann	2	738.33915		202214.2591		115005	FAmonoc	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Fallacia	pygmaea		(Kützing) Stickle et Mann	Fallacia pygmaea (Kützing) Stickle et Mann	4	1476.67831		1608399.108		115001	FApygmae	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	angustatum		(Kützing) Rabenhorst	Gomphonema angustatum (Kützing) Rabenhorst	2	738.33915		231740.737		37003	GOangstt	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	minutum		(Agardh) Agardh	Gomphonema minutum (Agardh) Agardh	6	2215.01746		737893.9053		37178	GOminutm	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	acuminatum		(Kützing) Rabenhorst	Gyrosigma acuminatum (Kützing) Rabenhorst	8	2953.35662		20735485.49		38001	GYacumin	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	attenuatum		(Kützing) Rabenhorst	Gyrosigma attenuatum (Kützing) Rabenhorst	2	738.33915		7175206.942		38005	GYattenu	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	scalproides		(Rabenhorst) Cleve	Gyrosigma scalproides (Rabenhorst) Cleve	8	2953.35662		4327484.613		38012	GYscalpd	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	capitatoradiata		Germain	Navicula capitatoradiata Germain	2	738.33915		425741.8664		46661	NAcaprad	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	cincta		(Ehrenberg) Ralfs	Navicula cincta (Ehrenberg) Ralfs	34	12551.76721		7861742.784		46324	NAcincta	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	exilis		Kützing	Navicula exilis Kützing	6	2215.01746		788921.8163		46663	NAexilis	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	germainii		Wallace	Navicula germainii Wallace	14	5168.37408		2347239.571		46616	NAgermii	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	gregaria		Donkin	Navicula gregaria Donkin	6	2215.01746		608796.9508		46023	NAgregar	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	minima		Grunow	Navicula minima Grunow	2	738.33915		29620.6974		46039	NAminima	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	phyllepta		Kützing	Navicula phyllepta Kützing	2	738.33915		217071.7101		46651	NAphylpt	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	reichardtiana		Lange-Bertalot	Navicula reichardtiana Lange-Bertalot	2	738.33915		96378.84991		46666	NAreichd	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	rostellata		Kützing	Navicula rostellata Kützing	8	2953.35662		2617831.15		46896	NArostel	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	tenelloides		Hustedt	Navicula tenelloides Hustedt	2	738.33915		122122.7795		46401	NAtenell	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	trivialis		Lange-Bertalot	Navicula trivialis Lange-Bertalot	6	2215.01746		2415261.927		46774	NAtrivls	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Naviculaceae	Rhoicosphenia	abbreviata		(Agardh) Lange-Bertalot	Rhoicosphenia abbreviata (Agardh) Lange-Bertalot	3	1107.50833		564657.0197		57002	ROabbre	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	acicularis		(Kützing) Smith	Nitzschia acicularis (Kützing) Smith	6	2215.01746		414343.4475		48002	NIacicul	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	agnita		Hustedt	Nitzschia agnita Hustedt	8	2953.35662		296379.8508		48274	NIagnita	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	frustulum		(Kützing) Grunow	Nitzschia frustulum (Kützing) Grunow	2	738.33915		36225.51765		48013	NIfrustu	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	gracilis		Hantzsch ex Rabenhorst	Nitzschia gracilis Hantzsch ex Rabenhorst	2	738.33915		294451.617		48015	NIgracil	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	intermedia		Hantzsch ex Cleve et Grunow	Nitzschia intermedia Hantzsch ex Cleve et Grunow	2	738.33915		678203.7077		48153	NIinterm	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	microcephala		Grunow	Nitzschia microcephala Grunow	2	738.33915		80173.31709		48024	NImicroc	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea		(Kützing) Smith	Nitzschia palea (Kützing) Smith	27	9967.57978		2978148.473		48025	NIpalea	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea	debilis	(Kützing) Grunow	Nitzschia palea var. debilis (Kützing) Grunow	28	10336.74895		1760885.134		48228	NIpaldeb	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	palea	tenuirostris	Grunow	Nitzschia palea var. tenuirostris Grunow	2	738.33915		254951.8606		48026	NIpalten	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	perminuta		(Grunow) Peragallo	Nitzschia perminuta (Grunow) Peragallo	2	738.33915		75821.08099		48126	NIpermin	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	reversa		Smith	Nitzschia reversa Smith	4	1476.67831		908337.4335		48174	NIrevers	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Nitzschia	sociabilis		Hustedt	Nitzschia sociabilis Hustedt	4	1476.67831		337905.5658		48225	NIsociab	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	apiculata		Gregory	Tryblionella apiculata Gregory	2	738.33915		1802046.791		185023	TYapicul	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Nitzschiaceae	Tryblionella	victoriae		Grunow	Tryblionella victoriae Grunow	6	2215.01746		1916304.303		185027	TYvictor	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Surirellaceae	Cymatopleura	solea	apiculata	(Smith) Ralfs	Cymatopleura solea var. apiculata (Smith) Ralfs	4	1476.67831		9005091.779		22005	CTsolapc	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Surirellaceae	Surirella	minuta		Brébisson	Surirella minuta Brébisson	4	1476.67831		1262015.12		65048	SUminuta	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclostephanos	dubius		(Frick) Round	Cyclostephanos dubius (Frick) Round	44	16243.46298		4142862.421		19000	CSdubius	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclostephanos	invisitatus		(Hohn et Hellerman) Theriot, Stoermer et Håkansson	Cyclostephanos invisitatus (Hohn et Hellerman) Theriot, Stoermer et Håkansson	14	5168.37408		930037.597		19002	CSinvisi	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	atomus		Hustedt	Cyclotella atomus Hustedt	165	60912.98858		5109169.505		20001	CYatomus	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	meneghiniana		Kützing	Cyclotella meneghiniana Kützing	65	23996.0253		20718703.12		20007	CYmenegh	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	pseudostelligera		Hustedt	Cyclotella pseudostelligera Hustedt	6	2215.01746		191409.0947		20012	CYpsdste	Completed
73309	73308	LIRB0998ADE3314B	05572000	A	D	Diatoms	Chrysophyta	Thalassiosiraceae	Cyclotella	stelligera		(Cleve et Grunow) Van Heurck	Cyclotella stelligera (Cleve et Grunow) Van Heurck	6	2215.01746		536873.5619		20010	CYstelli	Completed
