-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
DUM1        49718.000    1995     1     1     0
DUM1        52274.750    2001    12    31    18
DUM1     -1940883.779  1628483.353 -5833718.017
49750.25    -0.541951    -0.307062    -0.206522
49750.50    -0.422565    -0.266252    -0.208334
49750.75    -0.328285    -0.229951    -0.005149
49751.00    -0.317363    -0.228871     0.041669
49751.25    -0.275673    -0.187817     0.144582
49751.50    -0.294350    -0.167366    -0.329751
49751.75    -0.247438    -0.209584    -0.283524
49752.00    -0.390197    -0.258968    -0.627475
49752.25    -0.453570    -0.193244    -0.659982
49752.50    -0.465166    -0.150454    -0.989660
49752.75    -0.423820    -0.113650    -0.835368
49753.00    -0.400705    -0.105309    -0.390956
49753.25    -0.277126     0.040649     0.503078
49753.50    -0.201546     0.106738     0.635634
49753.75    -0.077306     0.125185     1.284638
49754.00     0.008464     0.097199     1.872991
49754.25     0.028269     0.155795     2.379871
49754.50     0.069678     0.215725     2.302569
49754.75     0.071387     0.218436     2.179737
49755.00    -0.088795     0.185581     1.672732
49755.25    -0.150453     0.212196     1.378267
49755.50    -0.245232     0.222743     0.632120
49755.75    -0.181265     0.173426     0.585222
49756.00    -0.164171     0.125143     0.738537
49756.25    -0.189465     0.106761     0.714533
49756.50    -0.159270     0.147576     0.589719
49756.75    -0.075616     0.168244     1.046342
49757.00     0.048571     0.155466     1.739366
49757.25     0.032980     0.209393     1.907091
49757.50    -0.000161     0.169991     1.307573
49757.75     0.156902     0.183967     1.787940
49758.00     0.059621     0.114408     1.237063
49758.25     0.024181     0.125907     0.994981
49758.50     0.086870     0.124774     0.797031
49758.75     0.122288     0.090413     0.856062
49759.00     0.135599     0.036320     0.967958
49759.25     0.172268     0.079451     1.321783
49759.50     0.222631     0.080705     1.311921
49759.75     0.257835     0.019511     1.365779
49760.00     0.330992    -0.012144     1.715805
49760.25     0.265631    -0.035109     1.513199
49760.50     0.246949    -0.064686     1.072441
49760.75     0.191133    -0.221184     0.680126
49761.00     0.246075    -0.268942     0.789802
49761.25     0.134233    -0.285053     0.659002
49761.50     0.119686    -0.286429     0.310702
49761.75     0.267301    -0.310231     0.909412
49762.00     0.278684    -0.308749     1.043496
49762.25     0.154866    -0.294716     0.652699
49762.50     0.082114    -0.287846     0.067196
49762.75    -0.083145    -0.352228    -0.797901
49763.00    -0.142800    -0.405557    -0.785407
49763.25    -0.362309    -0.421211    -1.373117
49763.50    -0.526475    -0.399348    -2.071381
49763.75    -0.516334    -0.410308    -2.030736
49764.00    -0.538942    -0.424989    -2.033361
49764.25    -0.507957    -0.389016    -1.853167
49764.50    -0.530284    -0.351072    -2.227629
49764.75    -0.462910    -0.309807    -2.037276
49765.00    -0.533314    -0.331058    -2.026431
49765.25    -0.567565    -0.248407    -1.636340
49765.50    -0.559934    -0.171227    -1.584083
49765.75    -0.489467    -0.159726    -1.530757
49766.00    -0.440156    -0.152708    -1.088986
49766.25    -0.397267    -0.165836    -0.887995
49766.50    -0.354969    -0.080779    -0.958425
49766.75    -0.326409    -0.113210    -0.952318
49767.00    -0.417021    -0.206384    -1.258393
49767.25    -0.395219    -0.212091    -0.905521
49767.50    -0.452240    -0.232670    -1.235306
49767.75    -0.300769    -0.236751    -0.715198
49768.00    -0.243563    -0.205281    -0.091003
49768.25    -0.169885    -0.177562     0.241017
49768.50     0.037501    -0.116665     1.040495
49768.75     0.199899    -0.104652     1.561544
49769.00     0.297248    -0.100412     2.000631
49769.25     0.342833    -0.003800     2.298940
49769.50     0.255301    -0.025710     1.602182
49769.75     0.409228     0.040672     2.221580
49770.00     0.244263    -0.024412     1.628293
49770.25     0.252484     0.041886     1.512993
49770.50     0.230920     0.072776     0.924545
49770.75     0.245506     0.067848     0.790651
49771.00     0.224426     0.023729     0.838756
49771.25     0.367040     0.099070     1.559164
49771.50     0.407334     0.073358     1.385492
49771.75     0.382504     0.061817     1.438969
49772.00     0.364323     0.092866     1.474839
49772.25     0.340300     0.180803     1.679329
49772.50     0.312566     0.204934     1.296489
49772.75     0.262202     0.167876     1.001715
49773.00     0.107942     0.136259     0.507045
49773.25     0.031713     0.151653     0.210589
49773.50    -0.091844     0.143649    -0.533733
49773.75    -0.033997     0.090217    -0.524795
49774.00    -0.036259     0.032658    -0.434544
49774.25    -0.011772     0.029480    -0.211079
49774.50     0.092662     0.085458    -0.155611
49774.75     0.241018     0.115341     0.538346
49775.00     0.265172     0.118001     0.791917
49775.25     0.261486     0.163134     1.065468
49775.50     0.303758     0.226336     0.987838
49775.75     0.299819     0.203369     0.963065
49776.00     0.365892     0.236665     1.389653
49776.25     0.221806     0.268032     0.935073
49776.50     0.204424     0.302520     0.721212
49776.75     0.320172     0.321798     1.226958
49777.00     0.221972     0.312863     1.460082
49777.25     0.223313     0.286799     1.604995
49777.50     0.210391     0.264767     1.109521
49777.75     0.157526     0.194854     0.575741
49778.00     0.128449     0.165850     0.488713
49778.25     0.139118     0.194267     0.810173
49778.50     0.097630     0.188491     0.264379
49778.75     0.113706     0.099284     0.277610
49779.00    -0.040414     0.046500    -0.023739
49779.25    -0.165360     0.050846    -0.414850
49779.50    -0.224663     0.019952    -0.896779
49779.75    -0.155662     0.026487    -0.547532
49780.00    -0.292065    -0.010687    -0.863384
49780.25    -0.079079     0.038683     0.216675
49780.50     0.000240     0.019657     0.099817
49780.75     0.092843     0.024762     0.523500
49781.00     0.134472     0.096784     0.872509
49781.25     0.161749     0.178092     0.984776
49781.50     0.217894     0.229101     0.794585
49781.75     0.375923     0.263201     1.218556
49782.00     0.387601     0.270845     1.577045
49782.25     0.400876     0.302952     1.672119
49782.50     0.365630     0.279568     1.091108
49782.75     0.315452     0.269955     0.711145
49783.00     0.217041     0.187341     0.562031
49783.25     0.299661     0.221808     1.115413
49783.50     0.403911     0.231203     1.138578
49783.75     0.502598     0.198787     1.348504
49784.00     0.431317     0.164172     1.302728
49784.25     0.319643     0.171948     1.010462
49784.50     0.283653     0.194143     0.657787
49784.75     0.278796     0.190572     0.609951
49785.00     0.152664     0.158037     0.410555
49785.25     0.056632     0.164101     0.249814
49785.50     0.070989     0.183450     0.057033
49785.75     0.087272     0.126147     0.212813
49786.00     0.036346     0.075987     0.432350
49786.25     0.095292     0.113686     0.764461
49786.50     0.184284     0.128697     0.784561
49786.75     0.278138     0.094737     1.059483
49787.00     0.203669     0.028785     1.251197
49787.25     0.066619     0.012023     0.770902
49787.50     0.000866    -0.025046     0.245539
49787.75    -0.083217    -0.088493    -0.212281
49788.00    -0.267155    -0.185325    -0.749763
49788.25    -0.290014    -0.224406    -0.577536
49788.50    -0.217243    -0.262028    -0.659407
49788.75    -0.045228    -0.260299    -0.164042
49789.00     0.087128    -0.253944     0.357904
49789.25     0.233466    -0.218981     0.941144
49789.50     0.520585    -0.143964     1.500589
49789.75     0.567588    -0.178418     1.475798
49790.00     0.566780    -0.193855     1.279587
49790.25     0.542297    -0.145221     1.022654
49790.50     0.537936    -0.075979     0.424101
49790.75     0.711664    -0.017418     0.922459
49791.00     0.531127    -0.124071     0.300338
49791.25     0.488454    -0.031015     0.696516
49791.50     0.450175     0.038621     0.343692
49791.75     0.475450     0.145501     0.696405
49792.00     0.421848     0.252304     0.976141
49792.25     0.366546     0.344688     1.397496
49792.50     0.362468     0.362756     1.177843
49792.75     0.412823     0.323089     1.342445
49793.00     0.395072     0.240132     1.297468
49793.25     0.253130     0.168351     1.064252
49793.50     0.179199     0.059859     0.508372
49793.75     0.095065     0.021994     0.650155
49794.00    -0.190295    -0.068344     0.093185
49794.25    -0.313814    -0.005697    -0.149099
49794.50    -0.411442     0.043797    -0.737433
49794.75    -0.360388     0.032907    -0.320809
49795.00    -0.436622    -0.031597    -0.144836
49795.25    -0.506156     0.015195    -0.129191
49795.50    -0.524139     0.002260    -0.609297
49795.75    -0.519148    -0.092260    -0.852515
49796.00    -0.663985    -0.189402    -1.497446
49796.25    -0.654364    -0.242335    -1.428548
49796.50    -0.459767    -0.238849    -1.058903
49796.75    -0.372327    -0.348029    -1.033707
49797.00    -0.288442    -0.346313    -0.285785
49797.25    -0.208571    -0.343742     0.024968
49797.50    -0.066112    -0.290038     0.219049
49797.75     0.128710    -0.254205     0.879298
49798.00     0.132701    -0.178213     1.384055
49798.25     0.030711    -0.150266     0.908623
49798.50     0.019891    -0.111945     0.300314
49798.75     0.008977    -0.150498    -0.114258
49799.00    -0.001389    -0.169158    -0.052493
49799.25    -0.136506    -0.182430    -0.650307
49799.50    -0.084776    -0.221810    -1.029755
49799.75    -0.018073    -0.246372    -1.046693
49800.00     0.067942    -0.189052    -0.385847
49800.25     0.048325    -0.131310    -0.332994
49800.50     0.125426    -0.075927    -0.275665
49800.75     0.224715    -0.038101     0.328742
49801.00     0.223034    -0.034622     0.730863
49801.25     0.227708     0.093666     1.312502
49801.50     0.170842     0.181797     0.850618
49801.75     0.161755     0.241685     1.075039
49802.00     0.197372     0.339163     1.501565
49802.25     0.057663     0.430407     1.026859
49802.50    -0.061410     0.486504     0.052406
49802.75    -0.104820     0.496912    -0.442681
49803.00    -0.311809     0.453253    -1.150021
49803.25    -0.354551     0.488470    -1.326628
49803.50    -0.352045     0.508605    -1.951395
49803.75    -0.357793     0.425358    -2.270756
49804.00    -0.375893     0.317934    -2.417690
49804.25    -0.354724     0.241597    -2.178001
49804.50    -0.283571     0.168620    -2.192279
49804.75    -0.193140     0.111799    -1.578767
49805.00    -0.250453     0.061053    -1.434828
49805.25    -0.366809     0.036179    -1.534750
49805.50    -0.392269     0.033167    -1.821234
49805.75    -0.475873    -0.048763    -2.279956
49806.00    -0.691428    -0.106596    -3.025693
49806.25    -0.877287    -0.225714    -3.781548
49806.50    -0.933162    -0.250389    -4.485475
49806.75    -0.906524    -0.349008    -4.491086
49807.00    -0.891471    -0.374115    -4.097107
49807.25    -0.834080    -0.420594    -3.730521
49807.50    -0.728391    -0.436194    -3.451320
49807.75    -0.620428    -0.464471    -2.988381
49808.00    -0.601666    -0.479644    -2.544919
49808.25    -0.572648    -0.390886    -2.003149
49808.50    -0.458720    -0.305320    -1.828453
49808.75    -0.284432    -0.215862    -0.887564
49809.00    -0.438501    -0.239485    -1.198038
49809.25    -0.596845    -0.171895    -1.716194
49809.50    -0.638950    -0.116975    -2.339424
49809.75    -0.708524    -0.164888    -2.814022
49810.00    -0.823683    -0.228956    -3.209755
49810.25    -0.956682    -0.253786    -3.672391
49810.50    -1.042910    -0.241705    -4.323084
49810.75    -0.844797    -0.170248    -3.186072
49811.00    -0.765105    -0.128156    -2.169211
49811.25    -0.787783    -0.107558    -1.785721
49811.50    -0.710697    -0.129290    -1.798195
49811.75    -0.678682    -0.175956    -1.688331
49812.00    -0.604546    -0.205564    -1.400708
49812.25    -0.733229    -0.254915    -2.105049
49812.50    -0.587877    -0.326083    -2.416474
49812.75    -0.537959    -0.456733    -2.630106
49813.00    -0.499331    -0.480798    -2.369168
49813.25    -0.614931    -0.528944    -2.682874
49813.50    -0.513178    -0.568083    -2.873575
49813.75    -0.311717    -0.559834    -1.905082
49814.00    -0.385571    -0.549497    -1.944003
49814.25    -0.274509    -0.382938    -1.489569
49814.50    -0.154260    -0.291213    -1.678852
49814.75    -0.000168    -0.314324    -1.251340
49815.00     0.051932    -0.344753    -0.854229
49815.25     0.078060    -0.293515    -0.511528
49815.50     0.198367    -0.167385    -0.225792
49815.75     0.152715    -0.261579    -0.312447
49816.00     0.329547    -0.246698     0.785600
49816.25     0.500785    -0.083111     1.764575
49816.50     0.501284    -0.091348     1.570936
49816.75     0.637717    -0.101564     2.260222
49817.00     0.781149     0.006308     3.373000
49817.25     0.730629     0.127753     3.441248
49817.50     0.770946     0.218975     3.261864
49817.75     0.837665     0.205405     3.522661
49818.00     0.906118     0.235555     4.041551
49818.25     0.894156     0.273443     3.948033
49818.50     1.004140     0.277503     3.628630
49818.75     1.174945     0.282552     4.133956
49819.00     1.112141     0.271939     4.070435
49819.25     1.113870     0.325687     4.159227
49819.50     1.171047     0.312068     3.790835
49819.75     1.241025     0.303316     3.897195
49820.00     1.049948     0.256355     3.200458
49820.25     0.781945     0.203001     2.034670
49820.50     0.597157     0.111675     0.784060
49820.75     0.541165     0.055528     0.440239
49821.00     0.500668     0.104599     0.577247
49821.25     0.597220     0.150611     1.360807
49821.50     0.938725     0.306489     2.710102
49821.75     1.229877     0.353304     3.985038
49822.00     1.192762     0.302641     3.923748
49822.25     1.117508     0.279639     3.216154
49822.50     1.124440     0.285001     2.522940
49822.75     0.993500     0.232889     1.782572
49823.00     0.819322     0.172116     1.080691
49823.25     0.640346     0.162342     0.542485
49823.50     0.557004     0.232397    -0.118902
49823.75     0.596365     0.289146     0.187790
49824.00     0.595948     0.366911     0.482429
49824.25     0.450163     0.427645     0.202376
49824.50     0.600048     0.402662     0.304063
49824.75     0.734344     0.362369     0.928804
49825.00     0.734574     0.331330     1.560721
49825.25     0.767400     0.354415     2.004632
49825.50     0.796842     0.301304     1.784807
49825.75     0.840033     0.240763     1.827855
49826.00     0.735187     0.175184     1.559162
49826.25     0.821660     0.259745     2.176167
49826.50     0.911951     0.312275     2.143103
49826.75     1.086931     0.402793     2.748240
49827.00     1.160889     0.422809     3.097561
49827.25     1.186568     0.489288     3.390737
49827.50     1.309986     0.488139     3.744904
49827.75     1.535769     0.512610     4.713454
49828.00     1.761193     0.607617     6.076597
49828.25     1.855310     0.709788     6.809459
49828.50     1.870765     0.814170     6.666917
49828.75     1.723897     0.767177     5.845119
49829.00     1.489614     0.694750     4.935577
49829.25     1.277462     0.642710     3.901027
49829.50     1.184650     0.555710     2.852896
49829.75     1.203038     0.456669     2.603323
49830.00     0.991526     0.351246     1.699156
49830.25     0.878249     0.331671     1.347225
49830.50     0.844731     0.332355     0.902903
49830.75     0.990674     0.310552     1.603475
49831.00     1.079601     0.335934     2.417511
49831.25     1.141989     0.391363     2.863656
49831.50     1.282556     0.486811     2.985514
49831.75     1.296950     0.491662     2.885554
49832.00     1.207341     0.478046     2.642626
49832.25     1.090138     0.529507     2.444995
49832.50     1.176171     0.605768     2.572389
49832.75     1.390504     0.601820     3.752066
49833.00     1.352509     0.574719     4.010711
49833.25     1.265929     0.650736     3.971041
49833.50     1.237016     0.699540     3.659262
49833.75     1.070920     0.659194     3.019609
49834.00     0.848655     0.550247     2.136289
49834.25     0.638168     0.503419     1.431926
49834.50     0.543807     0.462073     0.661826
49834.75     0.655682     0.442726     1.428480
49835.00     0.752730     0.416001     2.179551
49835.25     0.761434     0.351475     2.664229
49835.50     0.853111     0.367010     2.785825
49835.75     0.753161     0.231529     2.146279
49836.00     0.472266     0.114461     1.097550
49836.25     0.305834     0.132096     0.330422
49836.50     0.155126     0.106068    -0.610519
49836.75     0.275291     0.188017     0.473099
49837.00     0.291900     0.244456     1.274233
49837.25     0.449237     0.386141     2.555957
49837.50     0.672986     0.508846     3.572190
49837.75     0.720095     0.509671     3.577452
49838.00     0.447729     0.423436     2.404280
49838.25     0.315380     0.388469     1.707371
49838.50     0.094542     0.292325    -0.006967
49838.75     0.001892     0.177266    -0.578931
49839.00    -0.199830    -0.019077    -1.308295
49839.25    -0.260464    -0.162858    -1.472222
49839.50    -0.044118    -0.218837    -1.061132
49839.75     0.225362    -0.271038    -0.083689
49840.00     0.286708    -0.286440     0.498802
49840.25     0.530700    -0.246251     1.355391
49840.50     0.782594    -0.126482     2.035110
49840.75     0.900959    -0.027257     2.543410
49841.00     0.926338     0.151731     3.048560
49841.25     0.929663     0.272584     3.004428
49841.50     1.107219     0.471946     3.203454
49841.75     1.146342     0.486521     3.163312
49842.00     1.320328     0.494073     4.243152
49842.25     1.320257     0.476929     4.480272
49842.50     1.442993     0.462205     4.505571
49842.75     1.415455     0.439047     4.565280
49843.00     1.341307     0.477964     4.640850
49843.25     1.218625     0.525061     4.704806
49843.50     1.086042     0.515317     3.849540
49843.75     0.848290     0.402825     2.726675
49844.00     0.708960     0.308264     2.148956
49844.25     0.472749     0.284228     1.198213
49844.50     0.438829     0.257515     0.550053
49844.75     0.340935     0.101663    -0.038367
49845.00     0.299495     0.065621     0.073357
49845.25     0.164631     0.050423    -0.284371
49845.50     0.137411     0.155392    -0.720428
49845.75     0.276404     0.198582    -0.229601
49846.00     0.281608     0.296401     0.417782
49846.25     0.369132     0.301588     0.883663
49846.50     0.448745     0.315119     0.725700
49846.75     0.509724     0.344097     1.003685
49847.00     0.523252     0.387524     1.380755
49847.25     0.389982     0.314160     0.980632
49847.50     0.564075     0.423985     1.449260
49847.75     0.670209     0.431301     1.904685
49848.00     0.721753     0.423640     2.267696
49848.25     0.625249     0.398312     2.225458
49848.50     0.659011     0.395410     1.991138
49848.75     0.724134     0.341690     2.417382
49849.00     0.734453     0.324603     2.680750
49849.25     0.605610     0.324448     2.423511
49849.50     0.539392     0.272857     1.610047
49849.75     0.612952     0.292672     2.201861
49850.00     0.596209     0.342226     2.513605
49850.25     0.644692     0.393527     2.948463
49850.50     0.855993     0.462651     3.414714
49850.75     1.113298     0.513226     4.834033
49851.00     1.317359     0.635462     6.140511
49851.25     1.348653     0.777298     6.595859
49851.50     1.381241     0.832848     6.238225
49851.75     1.363696     0.789501     5.850637
49852.00     1.251415     0.792485     5.108247
49852.25     1.154418     0.754183     4.591908
49852.50     1.071775     0.675203     3.599985
49852.75     0.965608     0.536378     2.910812
49853.00     0.721632     0.387695     2.007382
49853.25     0.555895     0.235589     1.461719
49853.50     0.586049     0.174218     1.332775
49853.75     0.657376     0.123586     1.732896
49854.00     0.532983     0.048776     1.464191
49854.25     0.489876     0.135467     1.346092
49854.50     0.601222     0.214416     1.520077
49854.75     0.800947     0.329252     2.230285
49855.00     0.849205     0.440131     2.748414
49855.25     0.766407     0.475919     2.361311
49855.50     0.693732     0.477170     1.398711
49855.75     0.668148     0.382178     0.768365
49856.00     0.532710     0.255049     0.148596
49856.25     0.462778     0.198719    -0.006476
49856.50     0.558641     0.168405    -0.206172
49856.75     0.850974     0.102903     0.808188
49857.00     1.118268     0.097471     1.989507
49857.25     1.101189     0.095861     2.173750
49857.50     1.370623     0.189548     2.980931
49857.75     1.599563     0.208593     4.017267
49858.00     1.567522     0.209472     4.170149
49858.25     1.499353     0.293068     3.805883
49858.50     1.601710     0.356352     3.814585
49858.75     1.665441     0.346538     3.942115
49859.00     1.505243     0.306629     3.601417
49859.25     1.372670     0.314208     3.133506
49859.50     1.323274     0.302018     2.547667
49859.75     1.309492     0.228553     2.531820
49860.00     1.302700     0.146398     2.777884
49860.25     1.102531     0.063936     2.278817
49860.50     1.277904     0.137885     2.859932
49860.75     1.403598     0.180691     3.399692
49861.00     1.569360     0.220380     4.572661
49861.25     1.658363     0.251438     5.353690
49861.50     1.770361     0.297668     5.628300
49861.75     1.733906     0.293485     5.478330
49862.00     1.535532     0.268417     5.058272
49862.25     1.299414     0.293267     4.314868
49862.50     1.340023     0.335031     4.283304
49862.75     1.383172     0.354150     4.473798
49863.00     1.266011     0.343635     4.255612
49863.25     1.095213     0.319973     3.547637
49863.50     1.113128     0.299996     3.370923
49863.75     1.256716     0.313056     3.816669
49864.00     1.361814     0.344857     4.373062
49864.25     1.283218     0.367992     4.245181
49864.50     1.425893     0.428576     4.421780
49864.75     1.489511     0.463302     4.685395
49865.00     1.425890     0.473336     4.679667
49865.25     1.246329     0.429880     4.058333
49865.50     1.263633     0.420989     3.620658
49865.75     1.346889     0.351072     3.786646
49866.00     1.327019     0.370286     3.895266
49866.25     1.198248     0.305382     3.689267
49866.50     1.196590     0.361650     3.459551
49866.75     1.227024     0.314618     3.595530
49867.00     1.281263     0.323964     3.794197
49867.25     1.259066     0.272350     3.840792
49867.50     1.310888     0.285846     3.530045
49867.75     1.336552     0.214783     3.684213
49868.00     1.299555     0.153731     3.714537
49868.25     1.222199     0.217159     3.485871
49868.50     1.259554     0.321312     3.204571
49868.75     1.460583     0.410297     4.086186
49869.00     1.451805     0.503562     4.429887
49869.25     1.515858     0.516776     4.903420
49869.50     1.561404     0.482451     4.631790
49869.75     1.524680     0.453223     4.205458
49870.00     1.495088     0.569046     4.278118
49870.25     1.550305     0.790149     5.099205
49870.50     1.705155     0.821841     5.643933
49870.75     1.741027     0.652256     5.468519
49871.00     1.588503     0.487666     4.780266
49871.25     1.453263     0.419660     4.156027
49871.50     1.514306     0.440161     3.962035
49871.75     1.663754     0.429594     4.663995
49872.00     1.654507     0.409729     5.061811
49872.25     1.632493     0.440455     5.542995
49872.50     1.764333     0.478088     5.981461
49872.75     1.596507     0.333947     5.403577
49873.00     1.227830     0.229851     4.156286
49873.25     0.847591     0.108802     2.760301
49873.50     0.707300     0.153395     1.905590
49873.75     0.584592     0.191653     1.686278
49874.00     0.348837     0.199999     1.123298
49874.25     0.208086     0.095840     0.560180
49874.50     0.037032     0.055146    -0.365756
49874.75    -0.136851     0.002960    -1.086691
49875.00    -0.380365    -0.014940    -1.829985
49875.25    -0.510762     0.056900    -2.280662
49875.50    -0.421467     0.103879    -2.348531
49875.75    -0.410534     0.141130    -1.964064
