"tbl"	"quart"	"origincty"	"origin"	"markets"	"cur_passengers"	"cur_fare"	"cur_yield"	"cur_distance"	"ly_passengers"	"ly_fare"	"ly_yield"	"ly_distance"
"Table 2"	200604	"57850"	"Milwaukee, WI"	20	890750.00	169.31	16.71	1012.92	835030.00	161.07	16.19	994.61
"Table 2"	200604	"57970"	"Minneapolis/St.Paul, MN"	41	2827210.00	188.89	18.27	1033.53	2788570.00	181.82	17.66	1029.56
"Table 2"	200604	"61830"	"Myrtle Beach, SC"	3	112450.00	124.75	20.72	601.95	74990.00	139.19	22.73	612.19
"Table 2"	200604	"62860"	"Nashville, TN"	31	1435230.00	144.69	17.60	821.89	1260500.00	148.34	18.01	823.45
"Table 2"	200604	"63580"	"New Orleans, LA"	20	1018950.00	151.65	17.63	859.77	513160.00	170.70	19.11	893.24
"Table 2"	200604	"63760"	"New York, NY"	77	13112620.00	185.28	15.73	1177.74	12815940.00	180.18	14.99	1201.29
"Table 2"	200604	"64500"	"Norfolk, VA"	11	284600.00	171.32	15.66	1093.34	295600.00	163.71	15.36	1065.76
"Table 2"	200604	"65420"	"Oakland/Berkeley, CA"	27	2739180.00	130.87	15.62	837.82	2729420.00	127.81	15.38	830.91
"Table 2"	200604	"65840"	"Oklahoma City, OK"	12	335550.00	157.07	21.47	731.42	342500.00	148.68	20.57	722.47
"Table 2"	200604	"66060"	"Omaha, NE"	14	495590.00	153.83	17.25	891.72	505560.00	148.25	16.59	893.14
"Table 2"	200604	"66180"	"Ontario, CA"	19	1059150.00	130.41	18.14	718.84	1158570.00	125.17	16.35	765.41
"Table 2"	200604	"66600"	"Orlando/Kissimmee, FL"	61	5386800.00	145.07	13.54	1070.85	5455850.00	134.32	12.39	1083.95
"Table 2"	200604	"69880"	"Philadelphia, PA"	44	3507160.00	161.23	14.66	1099.16	3404440.00	157.73	14.53	1085.06
"Table 2"	200604	"69980"	"Phoenix, AZ"	59	5094670.00	155.61	14.38	1081.58	5106710.00	148.44	13.84	1072.32
"Table 2"	200604	"70470"	"Pittsburgh, PA"	23	1277710.00	143.36	16.28	880.51	1175170.00	158.37	17.42	908.91
"Table 2"	200604	"71790"	"Portland, OR"	31	1878130.00	163.02	15.19	1073.04	1910870.00	153.07	14.32	1068.28
"Table 2"	200604	"73020"	"Providence, RI"	19	763060.00	147.42	14.76	998.19	816140.00	130.72	13.05	1001.16
"Table 2"	200604	"74830"	"Raleigh/Durham, NC"	29	1451230.00	152.68	18.51	824.73	1396010.00	149.81	17.98	832.79
"Table 2"	200604	"75500"	"Reno, NV"	14	601640.00	112.27	21.53	521.40	632290.00	108.30	20.82	519.97
"Table 2"	200604	"75820"	"Richmond, VA"	5	232740.00	141.82	26.68	531.37	208810.00	169.97	30.71	553.41
"Table 2"	200604	"76620"	"Rochester, NY"	7	250350.00	125.55	19.61	640.14	274260.00	124.14	19.88	624.37
"Table 2"	200604	"77850"	"Sacramento, CA"	22	1700770.00	129.38	17.32	747.02	1695110.00	130.13	17.00	765.23
"Table 2"	200604	"78460"	"St. Louis, MO"	33	1716240.00	164.81	19.40	849.24	1701290.00	161.92	18.98	853.09
"Table 2"	200604	"79070"	"Salt Lake City, UT"	35	1733500.00	165.00	17.96	918.63	1704380.00	154.19	16.48	935.25
"Table 2"	200604	"79360"	"San Antonio, TX"	22	974050.00	167.17	17.96	930.46	988130.00	158.17	17.26	916.16
"Table 2"	200604	"79520"	"San Diego, CA"	43	3024280.00	164.29	13.65	1203.18	3039480.00	157.50	13.11	1201.10
"Table 2"	200604	"79830"	"San Francisco, CA"	38	3076470.00	237.02	14.49	1634.71	2982750.00	220.36	13.11	1679.99
"Table 2"	200604	"80050"	"San Jose/Palo Alto, CA"	21	1811390.00	139.93	17.30	808.81	1815580.00	137.59	16.93	812.69
"Table 2"	200604	"80650"	"Santa Ana, CA"	22	1696780.00	151.00	17.74	850.77	1679970.00	147.73	17.75	832.07
"Table 2"	200604	"82080"	"Sarasota/Bradenton, FL"	3	112590.00	144.08	16.16	891.29	96770.00	135.76	15.25	890.05
"Table 2"	200604	"82340"	"Savannah, GA"	4	110280.00	174.75	27.52	634.85	110900.00	160.24	25.65	624.64
"Table 2"	200604	"82630"	"Seattle, WA"	47	3476030.00	180.58	13.65	1322.44	3535020.00	166.64	12.68	1313.55
"Table 2"	200604	"85290"	"Spokane, WA"	11	425370.00	119.17	21.82	546.17	456210.00	109.76	20.76	528.50
"Table 2"	200604	"86840"	"Syracuse, NY"	4	122710.00	139.87	18.60	751.91	133580.00	138.98	20.40	681.25
"Table 2"	200604	"87870"	"Tampa/St. Petersburg/Lakeland, FL"	50	3288320.00	142.48	13.88	1026.25	3216950.00	136.69	13.03	1048.55
"Table 2"	200604	"91940"	"Tucson, AZ"	11	460260.00	145.99	16.02	911.26	452490.00	140.92	15.88	887.25
"Table 2"	200604	"92080"	"Tulsa, OK"	7	254260.00	149.16	24.13	617.97	259610.00	142.18	23.76	598.19
"Table 2"	200604	"96460"	"Washington, DC"	57	4940580.00	188.51	18.30	1029.84	4629950.00	177.73	16.46	1079.40
"Table 2"	200604	"97160"	"West Palm Beach, FL"	15	1080260.00	146.97	14.77	994.42	1062140.00	133.78	13.30	1005.26
"Table 2"	200604	"97390"	"White Plains, NY"	4	141890.00	153.37	17.84	859.58	54160.00	203.66	26.89	757.32
