OS TB 12/05/95 C&D: Source x Nature-Inc.Rates '94




 Table R28.  Incidence rates(1) for  nonfatal occupational injuries and illnesses involving days away from work(2) per 10,000 full-time workers by source of injury or illness and selected natures of
 injury or illness, 1994
 __________________________________________________________________________________________________________________________________________________________________________________________________________
                                 |         |         |                                                                                                                                                     
                                 |         |         |                                                             Nature of injury or illness                                                             
                                 |         |         |_____________________________________________________________________________________________________________________________________________________
                                 |         |         |         |         |         |         |         |         |         |         |         |                             |                   |         
                                 |         |         |         |         |         |         |         |         |         |         |         | Multiple traumatic injuries |Back pain and pain,|         
                                 |         |         |         |         |         |         |         |         |         |         |         |        and disorders        |    except back    |         
              Source             |  Source |  Total  |         |         |         |         |         |         |         |         |         |_____________________________|___________________|   All   
                                 | code (3)|  cases  | Sprains,|         |  Cuts,  |         |   Heat  | Chemical| Amputa- |  Carpal | Tendon- |         |         |         |         |         |  other  
     Organic acids...............|     014 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Acids, n.e.c. ..............|     019 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Alkalies......................|      02 |    0.3  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Alkalies, unspecified.......|     020 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Calcium hydroxides, calcium |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      oxides.....................|     021 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Calcium hydroxide, calcium|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        oxides, unspecified......|    0210 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Cement, mortar mix--dry...|    0211 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Cement, mortar--wet.......|    0212 |    0.1  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Lime......................|    0213 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Calcium hydroxide, calcium|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        oxides, n.e.c. ..........|    0219 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Carbonates--calcium, sodium.|     022 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Sodium and potassium        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      hydroxide, potassium       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      carbonate..................|     024 |    0.1  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Alkalies, n.e.c. ...........|     029 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Aromatics and hydrocarbon     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    derivatives, except          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    halogenated..................|      03 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Aromatics and hydrocarbon   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      derivatives, except        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      halogenated, unspecified...|     030 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Alcohols....................|     031 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Alcohols,  ...............|    0310 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Antifreeze................|    0311 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Fusel oil.................|    0314 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Aldehydes...................|     032 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Formaldehyde..............|    0323 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Formalin..................|    0324 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Aromatics...................|     034 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Benzene...................|    0342 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Toluene...................|    0343 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Ketones.....................|     036 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Acetone...................|    0361 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Methyl ethyl ketone.......|    0363 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Aromatics and hydrocarbon   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      derivatives, except        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      halogenated, n.e.c. .......|     039 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Halogens and halogen compounds|      04 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Bromine and bromine         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      compounds..................|     041 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Methyl bromide............|    0413 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Chlorine and chlorine       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      compounds..................|     042 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Chlorine compounds,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|    0420 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chlorine, chlorine bleach.|    0422 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chlorine compounds, n.e.c.|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        .........................|    0429 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Fluorine and fluorine       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      compounds..................|     043 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Fluorotrichloromethane....|    0432 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Metallic particulates, trace  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    elements, dusts, powders,    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    fumes........................|      05 |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
     Metallic particulates, trace|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      elements, dusts, powders,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      fumes, unspecified.........|     050 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Lead and lead compounds.....|     054 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other metallics and         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      compounds..................|     056 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Aluminum and aluminum     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        compounds................|    0561 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Zinc and zinc compounds...|    0568 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other metallics and       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        compounds, n.e.c. .......|    0569 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Welding or soldering fumes, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified or n.e.c. .....|     057 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Metallic particulates, trace|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      elements, dusts, powders,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      fumes, n.e.c. .............|     059 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Agricultural chemicals and    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    other pesticides.............|      06 |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Agricultural chemicals and  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      other                      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      pesticides, unspecified....|     060 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Fertilizers, plant food,    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|     061 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Fumigants, n.e.c. ..........|     062 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Herbicides..................|     064 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Herbicides, unspecified...|    0640 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Insecticides................|     065 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Insecticides, unspecified.|    0650 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Chemical products--general....|      07 |    1.9  |    -    |    -    |    -    |    -    |    0.1  |    0.8  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    1.0  
     Chemical products,          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|     070 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Adhesives, glues, n.e.c. ...|     071 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Beauty preparations,        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      cosmetics, n.e.c. .........|     072 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Hair preparations.........|    0721 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other beauty preparations,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        cosmetics................|    0729 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cleaning and polishing      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      agents, disinfectants,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|     073 |    1.0  |    -    |    -    |    -    |    -    |    -    |    0.5  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.5  
       Cleaning and polishing    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        agents, unspecified......|    0730 |    0.5  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.3  
       Bleach--nonchlorine,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        nonperoxide..............|    0731 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Disinfectants.............|    0732 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Drain and oven cleaners...|    0733 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Polishes..................|    0734 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Soap products.............|    0736 |    0.1  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Synthetic detergents and  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        shampoos.................|    0737 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Multiple cleaning and     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        polishing agents.........|    0738 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other cleaning and        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        polishing agents.........|    0739 |    0.1  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Drugs, alcohol, medicines...|     074 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Medicines.................|    0743 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Drugs and medicines,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        n.e.c. ..................|    0749 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Explosives, blasting agents,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|     075 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Flammable gas, unspecified|    0752 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other explosives, blasting|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        agents...................|    0759 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Paint, lacquer, shellac,    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      varnish, n.e.c. ...........|     076 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
       Paint, lacquer, shellac,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        varnish, unspecified.....|    0760 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Lacquer, shellac, varnish.|    0761 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Paint.....................|    0762 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Multiple paint, lacquer,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        shellac, or varnish......|    0768 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other paint, lacquer,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        shellac, varnish.........|    0769 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Solvents, degreasers, n.e.c.|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      ...........................|     077 |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Solvents, degreasers,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|    0770 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Naphtha solvents..........|    0771 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Paint removers, thinners..|    0772 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other solvents, degreasers|    0779 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other chemical products.....|     079 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Other chemical products,  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|    0790 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Dyes, inks................|    0791 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Tear gas, mace............|    0792 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Photographic and copying  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        solutions................|    0793 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chemical products, n.e.c. |    0799 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Coal, natural gas, petroleum  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    fuels and products, n.e.c. ..|      08 |    0.6  |    -    |    -    |    -    |    -    |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
     Coal, natural gas, petroleum|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      fuels and products,        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|     080 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Coal and coal products......|     081 |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Coal products, unspecified|    0810 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Coal......................|    0811 |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Natural gas.................|     082 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Petroleum, crude oil........|     083 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Petroleum fuels,            |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      distillates, and products, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|     084 |    0.4  |    -    |    -    |    -    |    -    |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Petroleum fuels,          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        distillates, and         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        products, unspecified....|    0840 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Gasoline, diesel fuel, jet|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        fuel.....................|    0842 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
