V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.POSTMARK_DATE,V_TRI_FORM_R_EZ.PRIMARY_NAICS_CODE,V_TRI_FORM_R_EZ.REPORTING_YEAR,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.STREET_ADDRESS,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.ZIP_CODE
MANGANESE,NAMPA,SELKIRK METALBESTOS,1998-11-25,332322,1997,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
MERCURY,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2004-06-30,311313,2003,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
NICKEL,NAMPA,SELKIRK METALBESTOS,2006-07-01,332322,2005,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COBALT,NAMPA,SELKIRK METALBESTOS,1999-07-01,332322,1998,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1995-06-29,311313,1994,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1994-06-30,311313,1993,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
PHOSPHORIC ACID,NAMPA,SORRENTO LACTALIS INC.,1999-11-15,311513,1998,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
PHOSPHORIC ACID,NAMPA,ZILOG INC,1995-07-02,334413,1994,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,ZILOG INC,1990-06-25,334413,1989,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1999-06-29,334413,1998,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1998-06-30,334413,1997,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1992-06-22,334413,1991,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1991-06-11,334413,1990,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,2002-10-01,334413,2001,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
AMMONIA,NAMPA,BHS ACQUISITION LLC,1999-06-24,424690,1998,ID,1717 E FARGO AVE,83687GRTWS1717E,83687
AMMONIA,NAMPA,XL FOUR STAR BEEF INC,2000-06-29,311611,1999,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
AMMONIA,NAMPA,XL FOUR STAR BEEF INC,2001-06-29,311611,2000,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1995-06-29,311313,1994,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-07-10,311313,1990,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2004-06-30,311313,2003,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,2000-07-05,311411,1999,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
AMMONIA,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1995-12-19,311411,1994,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1998-06-30,334413,1997,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1998-01-26,334413,1996,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1992-06-22,334413,1991,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
NITRIC ACID,NAMPA,BHS ACQUISITION LLC,2006-06-01,424690,2005,ID,1717 E FARGO AVE,83687GRTWS1717E,83687
NITRIC ACID,NAMPA,SORRENTO LACTALIS INC.,2000-11-16,311513,1999,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
PHOSPHORUS (YELLOW OR WHITE),NAMPA,SELKIRK METALBESTOS,2000-06-29,332322,1999,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
PHOSPHORUS (YELLOW OR WHITE),NAMPA,SELKIRK METALBESTOS,,332322,2000,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
CHLORINE,NAMPA,XL FOUR STAR BEEF INC,1997-07-28,311611,1996,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
CHLORINE DIOXIDE,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1995-12-19,311411,1994,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
FORMALDEHYDE,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-01-23,311313,1988,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
METHANOL,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-07-10,311313,1990,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
METHANOL,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2007-07-02,311313,2006,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
ACETONE,NAMPA,ZILOG INC,1991-06-11,334413,1990,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
METHYL ETHYL KETONE,NAMPA,ZILOG INC,1999-06-29,334413,1998,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
METHYL ETHYL KETONE,NAMPA,ZILOG INC,1998-06-30,334413,1997,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
METHYL ETHYL KETONE,NAMPA,ZILOG INC,2004-06-28,334413,2003,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SODIUM HYDROXIDE (SOLUTION),NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,,,1987,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
BARIUM COMPOUNDS,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2004-06-30,311313,2003,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
MANGANESE COMPOUNDS,NAMPA,SELKIRK METALBESTOS,2000-06-29,332322,1999,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
MANGANESE COMPOUNDS,NAMPA,SELKIRK METALBESTOS,,332322,2000,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
NITRATE COMPOUNDS,NAMPA,SORRENTO LACTALIS INC.,2000-04-19,311513,1995,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
NITRATE COMPOUNDS,NAMPA,SORRENTO LACTALIS INC.,2006-06-30,311513,2005,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
NITRATE COMPOUNDS,NAMPA,SORRENTO LACTALIS INC.,,311513,2004,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
MANGANESE,NAMPA,SELKIRK METALBESTOS,2005-06-30,332322,2004,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
MERCURY,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2005-06-24,311313,2004,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
NICKEL,NAMPA,SELKIRK METALBESTOS,2007-07-02,332322,2006,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
NICKEL,NAMPA,SELKIRK METALBESTOS,2005-06-30,332322,2004,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
PHOSPHORIC ACID,NAMPA,ZILOG INC,1996-07-31,334413,1995,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,ZILOG INC,1991-06-10,334413,1990,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
AMMONIA,NAMPA,BHS ACQUISITION LLC,2004-08-09,424690,2003,ID,1717 E FARGO AVE,83687GRTWS1717E,83687
AMMONIA,NAMPA,WESTERN IDAHO POTATOES  PROCESSING INC.,1994-05-13,311411,1993,ID,428 1ST ST. S.,83653WSTRN4281S,83651
AMMONIA,NAMPA,WESTERN IDAHO POTATOES  PROCESSING INC.,1992-07-09,311411,1991,ID,428 1ST ST. S.,83653WSTRN4281S,83651
AMMONIA,NAMPA,XL FOUR STAR BEEF INC,2001-01-30,311611,1998,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
AMMONIA,NAMPA,XL FOUR STAR BEEF INC,,,1987,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
AMMONIA,NAMPA,ZILOG INC,2001-06-29,334413,2000,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1992-08-31,311313,1991,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2003-07-01,311313,2002,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1998-07-01,311411,1997,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
AMMONIA,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1997-09-05,311411,1996,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
AMMONIA,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1993-05-11,311411,1989,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
AMMONIA,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,2007-06-26,311411,2006,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,2000-09-13,334413,1999,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,ZILOG INC,1993-06-28,334413,1992,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1999-07-01,311313,1998,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1992-08-31,311313,1991,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
NITRIC ACID,NAMPA,SORRENTO LACTALIS INC.,1999-11-15,311513,1998,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
NITRIC ACID,NAMPA,SORRENTO LACTALIS INC.,2007-06-12,311513,2006,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
NITRIC ACID,NAMPA,ZILOG INC,1993-06-28,334413,1992,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
NITRIC ACID,NAMPA,ZILOG INC,1991-06-11,334413,1990,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
NITRIC ACID,NAMPA,ZILOG INC,1989-06-28,334413,1988,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
CHLORINE,NAMPA,XL FOUR STAR BEEF INC,2000-06-29,311611,1999,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
CHLORINE,NAMPA,XL FOUR STAR BEEF INC,2001-01-30,311611,1997,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
CHLORINE,NAMPA,XL FOUR STAR BEEF INC,1994-12-20,311611,1991,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
CHLORINE,NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1994-06-24,311511,1993,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
FORMALDEHYDE,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1991-07-10,311313,1990,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
ACETONE,NAMPA,ZILOG INC,1988-06-30,,1987,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
METHYLENEBIS(PHENYLISOCYANATE),NAMPA,FLEETWOOD HOMES OF IDAHO INC 04-1,1991-06-10,321991,1990,ID,2611 E COMSTOCK AVE,83653FLTWD2611E,83653
SODIUM HYDROXIDE (SOLUTION),NAMPA,J.R. SIMPLOT CO NAMPA POTATO FACILITY,1989-06-23,311511,1988,ID,3704  MIDDLETON RD,83651CRNTNMIDDL,83687
DIISOCYANATES,NAMPA,FLEETWOOD HOMES OF IDAHO INC 04-1,2007-06-13,321991,2006,ID,2611 E COMSTOCK AVE,83653FLTWD2611E,83653
DIISOCYANATES,NAMPA,FLEETWOOD HOMES OF IDAHO INC 04-1,2003-07-10,321991,2002,ID,2611 E COMSTOCK AVE,83653FLTWD2611E,83653
DIISOCYANATES,NAMPA,FLEETWOOD HOMES OF IDAHO INC 04-1,,321991,2001,ID,2611 E COMSTOCK AVE,83653FLTWD2611E,83653
CERTAIN GLYCOL ETHERS,NAMPA,ZILOG INC,1992-06-22,334413,1991,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
CERTAIN GLYCOL ETHERS,NAMPA,ZILOG INC,1990-06-25,334413,1989,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
LEAD COMPOUNDS,NAMPA,PLEXUS ELECTRONIC ASSEMBLY CORP (EA-BOI),2006-06-16,334418,2005,ID,16399 FRANKLIN BLVD,83687MCMSN16399,83687
LEAD COMPOUNDS,NAMPA,PLEXUS ELECTRONIC ASSEMBLY CORP (EA-BOI),2003-06-27,334418,2002,ID,16399 FRANKLIN BLVD,83687MCMSN16399,83687
LEAD COMPOUNDS,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2006-06-29,311313,2005,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
LEAD COMPOUNDS,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2005-06-24,311313,2004,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
LEAD COMPOUNDS,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2002-07-30,311313,2001,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
NITRATE COMPOUNDS,NAMPA,SORRENTO LACTALIS INC.,2002-06-28,311513,2001,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
NITRATE COMPOUNDS,NAMPA,XL FOUR STAR BEEF INC,2004-07-01,311611,2003,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
NITRATE COMPOUNDS,NAMPA,XL FOUR STAR BEEF INC,2002-06-28,311611,2001,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
LEAD,NAMPA,OLDCASTLE PRECAST INC,2005-06-23,327390,2004,ID,16419 TEN LN,83687MCRPR16419,83687
LEAD,NAMPA,PLEXUS ELECTRONIC ASSEMBLY CORP (EA-BOI),2000-06-30,334418,1999,ID,16399 FRANKLIN BLVD,83687MCMSN16399,83687
LEAD,NAMPA,PLEXUS ELECTRONIC ASSEMBLY CORP (EA-BOI),2001-06-29,334418,2000,ID,16399 FRANKLIN BLVD,83687MCMSN16399,83687
LEAD,NAMPA,SELKIRK METALBESTOS,2005-06-30,332322,2004,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
MANGANESE,NAMPA,SELKIRK METALBESTOS,1999-07-01,332322,1998,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
MANGANESE,NAMPA,SELKIRK METALBESTOS,2004-10-21,332322,2003,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
MERCURY,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2007-07-02,311313,2006,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
NICKEL,NAMPA,SELKIRK METALBESTOS,1999-07-01,332322,1998,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
CHROMIUM,NAMPA,SELKIRK METALBESTOS,2004-10-21,332322,2003,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COBALT,NAMPA,SELKIRK METALBESTOS,2004-10-21,332322,2003,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
COPPER,NAMPA,SELKIRK METALBESTOS,1999-07-01,332322,1998,ID,1820 E FARGO AVE,83653SLKRK1820E,83687
HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY),NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1993-07-01,311313,1992,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
PHOSPHORIC ACID,NAMPA,SORRENTO LACTALIS INC.,1998-10-14,311513,1997,ID,4912 FRANKLIN RD,83653SMPLT4912E,83687
PHOSPHORIC ACID,NAMPA,ZILOG INC,1999-06-29,334413,1998,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,ZILOG INC,1998-06-30,334413,1997,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,ZILOG INC,1994-06-30,334413,1993,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,ZILOG INC,1993-06-28,334413,1992,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
PHOSPHORIC ACID,NAMPA,ZILOG INC,1989-06-28,334413,1988,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
HYDROGEN FLUORIDE,NAMPA,ZILOG INC,1990-06-25,334413,1989,ID,1551 11TH AVE N,83651ZLGNC26011,836876779
AMMONIA,NAMPA,XL FOUR STAR BEEF INC,1993-06-02,311611,1992,ID,3611 E AMITY AVE,83653RMRFRAMITY,83653
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1998-06-29,311313,1997,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,1994-06-30,311313,1993,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
AMMONIA,NAMPA,AMALGAMATED SUGAR CO LLC NAMPA,2007-07-02,311313,2006,ID,138 W KARCHER RD,83651MLGMTPOBOX,83687
