year2,state,fsize,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag
1977,08,c) 10 to 19,5995,76396,74231,779,13.4,404,7,21744,11071,10673,14.9,29.3,17310,8752,8558,11.8,23.3,4434,6,46.6,0
1977,08,d) 20 to 49,3859,95363,93295,513,13.7,294,7.9,23857,11231,12626,12,25.6,19845,9645,10200,10.3,21.3,4012,4.3,42.6,0
1977,08,e) 50 to 99,1663,64964,63223,248,15.7,98,6.2,14783,6999,7784,11.1,23.4,11411,5008,6403,7.9,18,3372,5.4,36,0
1977,08,f) 100 to 249,1437,66677,64423,168,12.1,83,6,14151,6173,7978,9.6,22,9563,3524,6039,5.5,14.8,4588,7.2,29.6,0
1977,08,g) 250 to 499,737,32337,30171,93,13,50,7,8479,4449,4030,14.7,28.1,3984,1476,2508,4.9,13.2,4495,14.9,26.4,0
1977,08,h) 500 to 999,626,29266,29309,77,12.4,69,11.1,4453,1763,2690,6,15.2,4568,1841,2727,6.3,15.6,-115,-0.4,30.4,0
1977,08,i) 1000 to 2499,998,53137,51675,186,19.6,85,9,8698,4350,4348,8.4,16.8,5706,1674,4032,3.2,11,2992,5.8,22,0
1977,08,j) 2500 to 4999,739,33617,28604,78,10.5,92,12.3,13317,2189,11128,7.7,46.6,3297,1576,1721,5.5,11.5,10020,35.1,23,0
1977,08,k) 5000 to 9999,654,46826,48217,85,13.3,83,12.9,7503,2737,4766,5.7,15.6,10531,1707,8824,3.5,21.8,-3028,-6.2,31.2,0
1977,08,l) 10000+,3149,180303,175252,318,10.2,270,8.6,29153,8068,21085,4.6,16.6,18991,4105,14886,2.3,10.8,10162,5.8,21.6,0
1977,09,a) 1 to 4,31520,68323,64777,6513,21,5040,16.3,24707,14874,9833,23,38.1,17032,11470,5562,17.7,26.3,7675,11.8,52.6,0
1977,09,b) 5 to 9,10435,69203,66485,816,7.9,528,5.1,17747,7661,10086,11.5,26.7,12213,5788,6425,8.7,18.4,5534,8.3,36.8,0
1977,09,c) 10 to 19,5997,77662,74671,440,7.5,236,4,16918,6006,10912,8,22.7,10834,4744,6090,6.4,14.5,6084,8.2,29,0
1977,09,d) 20 to 49,4082,106072,101041,382,9.6,161,4.1,23231,7846,15385,7.8,23,12952,5591,7361,5.5,12.8,10279,10.2,25.6,0
1977,09,e) 50 to 99,1596,74961,70904,184,12,55,3.6,15694,5628,10066,7.9,22.1,7570,2835,4735,4,10.7,8124,11.4,21.4,0
1977,09,f) 100 to 249,1443,81207,79496,138,9.8,78,5.5,13895,3156,10739,4,17.5,10710,3585,7125,4.5,13.5,3185,4,27,0
1977,09,g) 250 to 499,648,52439,47603,83,13.4,31,5,12704,7054,5650,14.8,26.7,3363,531,2832,1.1,7.1,9341,19.6,14.2,0
1977,09,h) 500 to 999,656,50468,49959,42,6.3,68,10.2,5478,1776,3702,3.6,11,4610,1457,3153,2.9,9.2,868,1.8,18.4,0
1977,09,i) 1000 to 2499,804,77742,71891,81,10.2,62,7.8,16795,2924,13871,4.1,23.4,5041,1862,3179,2.6,7,11754,16.4,14,0
1977,09,j) 2500 to 4999,713,53143,49720,67,9.6,53,7.6,10828,1618,9210,3.3,21.8,4030,1107,2923,2.2,8.1,6798,13.7,16.2,0
1977,09,k) 5000 to 9999,803,75463,71641,106,13.6,70,9,11841,2844,8997,4,16.5,4263,1205,3058,1.7,6,7578,10.5,12,0
1977,09,l) 10000+,2743,317838,312067,258,9.5,209,7.7,45110,8152,36958,2.6,14.5,34276,6721,27555,2.2,11,10834,3.5,22,0
1977,10,a) 1 to 4,5286,11932,11694,1124,21.7,918,17.7,4064,2834,1230,24.2,34.8,3553,2260,1293,19.3,30.4,511,4.4,60.8,0
1977,10,b) 5 to 9,2101,13586,13355,194,9.4,120,5.8,3341,1554,1787,11.6,25,2835,1272,1563,9.5,21.2,506,3.8,42.4,0
1977,10,c) 10 to 19,1217,15232,14856,133,11.3,60,5.1,3712,1705,2007,11.5,25,2970,1255,1715,8.4,20,742,5,40,0
1977,10,d) 20 to 49,799,18200,18297,85,11,36,4.6,3152,1312,1840,7.2,17.2,3298,1233,2065,6.7,18,-146,-0.8,34.4,0
1977,10,e) 50 to 99,384,11586,11603,51,14,14,3.8,2312,1000,1312,8.6,19.9,2382,758,1624,6.5,20.5,-70,-0.6,39.8,0
1977,10,f) 100 to 249,214,10440,10272,30,14.7,9,4.4,2538,1706,832,16.6,24.7,2202,660,1542,6.4,21.4,336,3.3,42.8,0
1977,10,g) 250 to 499,151,8223,8076,21,14.1,16,10.8,1261,612,649,7.6,15.6,966,258,708,3.2,12,295,3.6,24,0
1977,10,h) 500 to 999,190,8688,8642,10,5.2,16,8.3,1255,234,1021,2.7,14.5,1162,226,936,2.6,13.4,93,1.1,26.8,0
1977,10,i) 1000 to 2499,176,8668,8324,16,9.1,16,9.1,1835,199,1636,2.4,22,1147,119,1028,1.4,13.8,688,8.2,27.6,0
1977,10,j) 2500 to 4999,134,7342,7279,10,7.6,7,5.3,1516,346,1170,4.8,20.8,1461,188,1273,2.6,20.1,55,0.7,40.2,0
1977,10,k) 5000 to 9999,139,10161,10086,28,21.5,12,9.2,1317,440,877,4.4,13.1,1176,82,1094,0.8,11.7,141,1.4,23.4,0
1977,10,l) 10000+,666,98636,98467,57,8.8,26,4,7603,1221,6382,1.2,7.7,7265,748,6517,0.8,7.4,338,0.3,14.8,0
1977,11,a) 1 to 4,6405,13884,13755,1352,21.3,1220,19.2,4776,3464,1312,25.2,34.7,4435,3088,1347,22.5,32.2,341,2.5,64.4,0
1977,11,b) 5 to 9,2542,16539,16467,250,10,185,7.4,4054,2211,1843,13.4,24.6,3971,2034,1937,12.4,24.1,83,0.5,48.2,0
1977,11,c) 10 to 19,1673,21129,21168,131,7.9,98,5.9,4154,1768,2386,8.4,19.6,4239,1894,2345,8.9,20,-85,-0.4,39.2,0
1977,11,d) 20 to 49,1311,31517,31105,159,12.5,76,6,6998,3193,3805,10.3,22.5,6049,2966,3083,9.5,19.4,949,3.1,38.8,0
1977,11,e) 50 to 99,618,22104,22421,101,17.3,32,5.5,4715,2581,2134,11.5,21,5410,2185,3225,9.7,24.1,-695,-3.1,42,0
1977,11,f) 100 to 249,623,27012,27670,87,14.5,45,7.5,4932,2675,2257,9.7,17.8,6247,2308,3939,8.3,22.6,-1315,-4.8,35.6,0
1977,11,g) 250 to 499,366,20799,20368,33,9.1,23,6.4,4019,1212,2807,6,19.7,3157,1216,1941,6,15.5,862,4.2,31,0
1977,11,h) 500 to 999,293,18861,18757,20,6.9,15,5.2,4147,2038,2109,10.9,22.1,3938,383,3555,2,21,209,1.1,42,0
1977,11,i) 1000 to 2499,297,28632,27201,24,8,29,9.7,4977,3190,1787,11.7,18.3,2114,841,1273,3.1,7.8,2863,10.5,15.6,0
1977,11,j) 2500 to 4999,178,35438,36165,16,8.8,24,13.2,3237,1110,2127,3.1,9,4691,539,4152,1.5,13,-1454,-4,18,0
1977,11,k) 5000 to 9999,181,15737,15420,18,9.9,22,12.1,2353,954,1399,6.2,15.3,1722,584,1138,3.8,11.2,631,4.1,22.4,0
1977,11,l) 10000+,616,46694,47103,50,8,69,11,11053,3297,7756,7,23.5,11877,2504,9373,5.3,25.2,-824,-1.7,47,0
1977,12,a) 1 to 4,90533,207820,199803,26109,29.6,20456,23.2,90028,67153,22875,33.6,45.1,72152,51292,20860,25.7,36.1,17876,9,72.2,0
1977,12,b) 5 to 9,31894,211456,206961,3562,11.3,2514,8,62907,33680,29227,16.3,30.4,53479,28408,25071,13.7,25.8,9428,4.6,51.6,0
1977,12,c) 10 to 19,17256,220777,216620,1926,11.4,1208,7.1,58798,28792,30006,13.3,27.1,50061,25741,24320,11.9,23.1,8737,4,46.2,0
1977,12,d) 20 to 49,11098,267377,263054,1478,13.7,834,7.7,69292,34273,35019,13,26.3,60746,30585,30161,11.6,23.1,8546,3.2,46.2,0
1977,12,e) 50 to 99,4765,183078,177763,690,15.2,268,5.9,42427,18982,23445,10.7,23.9,31874,12932,18942,7.3,17.9,10553,6,35.8,0
1977,12,f) 100 to 249,4058,191661,187350,585,15,291,7.4,43154,21117,22037,11.3,23,35458,13676,21782,7.3,18.9,7696,4.1,37.8,0
1977,12,g) 250 to 499,2530,111350,104702,328,13.4,159,6.5,27194,11590,15604,11.1,26,13813,3668,10145,3.5,13.2,13381,12.8,26.4,0
1977,12,h) 500 to 999,1880,107041,102654,218,11.6,206,11,22689,9668,13021,9.4,22.1,14523,4188,10335,4.1,14.1,8166,8,28.2,0
1977,12,i) 1000 to 2499,2999,131114,128595,347,11.9,177,6.1,21695,5624,16071,4.4,16.9,16756,4147,12609,3.2,13,4939,3.9,26,0
1977,12,j) 2500 to 4999,2708,115080,108233,246,9.1,224,8.3,24130,9898,14232,9.1,22.3,10549,3660,6889,3.4,9.7,13581,12.6,19.4,0
1977,12,k) 5000 to 9999,2804,106866,94751,251,9.2,156,5.7,16356,6497,9859,6.9,17.3,10924,2934,7990,3.1,11.5,5432,5.8,23,0
1977,12,l) 10000+,9703,563679,516764,987,10.5,430,4.6,140538,69351,71187,13.4,27.2,47359,9631,37728,1.9,9.2,93179,18,18.4,0
1977,13,a) 1 to 4,44899,100977,98265,11753,26.7,9746,22.1,40535,29685,10850,30.2,41.3,34431,24398,10033,24.8,35,6104,6.3,70,0
1977,13,b) 5 to 9,16084,104976,102860,1543,9.7,1060,6.7,27751,14421,13330,14,27,23423,11361,12062,11,22.8,4328,4.2,45.6,0
1977,13,c) 10 to 19,9078,114017,111550,984,11.1,564,6.4,27387,12620,14767,11.3,24.6,22392,11231,11161,10.1,20.1,4995,4.5,40.2,0
1977,13,d) 20 to 49,5978,140632,137699,747,12.9,378,6.5,33090,14978,18112,10.9,24,27406,13693,13713,9.9,19.9,5684,4.1,39.8,0
1977,13,e) 50 to 99,2627,98898,98331,300,11.7,185,7.2,19654,8307,11347,8.4,20,18537,8642,9895,8.8,18.9,1117,1.1,37.8,0
1977,13,f) 100 to 249,2328,104431,102874,383,17.3,154,7,22598,10004,12594,9.7,22,19377,8221,11156,8,18.8,3221,3.2,37.6,0
1977,13,g) 250 to 499,1508,77608,74785,267,18.8,91,6.4,14809,6604,8205,8.8,19.8,9218,2474,6744,3.3,12.3,5591,7.5,24.6,0
1977,13,h) 500 to 999,1449,78196,75110,136,9.5,112,7.8,14437,3537,10900,4.7,19.2,8292,1927,6365,2.6,11,6145,8.2,22,0
1977,13,i) 1000 to 2499,1906,94807,91322,327,18,155,8.5,19821,5421,14400,5.9,21.7,12622,2597,10025,2.8,13.8,7199,7.9,27.6,0
1977,13,j) 2500 to 4999,1895,79075,76590,271,14.8,155,8.5,14468,6586,7882,8.6,18.9,9540,2961,6579,3.9,12.5,4928,6.4,25,0
1977,13,k) 5000 to 9999,1863,97318,97996,231,12.8,139,7.7,14108,3975,10133,4.1,14.4,15741,1689,14052,1.7,16.1,-1633,-1.7,28.8,0
1977,13,l) 10000+,6362,403370,389458,573,9.2,360,5.8,64384,22224,42160,5.7,16.5,37052,7604,29448,2,9.5,27332,7,19,0
1977,15,a) 1 to 4,7650,17623,16861,1967,26.5,1457,19.6,7099,5280,1819,31.3,42.1,5463,3767,1696,22.3,32.4,1636,9.7,64.8,0
1977,15,b) 5 to 9,3248,21302,20709,429,13.6,247,7.8,6306,3728,2578,18,30.5,5060,2650,2410,12.8,24.4,1246,6.1,48.8,0
1977,15,c) 10 to 19,2143,26831,26472,280,13.5,157,7.5,6737,3575,3162,13.5,25.4,6032,3198,2834,12.1,22.8,705,2.6,45.6,0
1977,15,d) 20 to 49,1452,33983,33480,220,15.8,106,7.6,8230,4287,3943,12.8,24.6,7115,3849,3266,11.5,21.3,1115,3.3,42.6,0
1977,15,e) 50 to 99,684,22838,21638,126,19.7,33,5.2,5795,3394,2401,15.7,26.8,3389,1656,1733,7.7,15.7,2406,11.1,31.4,0
1977,15,f) 100 to 249,650,25922,25591,60,9.5,30,4.8,4208,1217,2991,4.8,16.4,3612,1091,2521,4.3,14.1,596,2.3,28.2,0
1977,15,g) 250 to 499,408,14621,13951,35,8.8,15,3.8,3174,1322,1852,9.5,22.8,1834,842,992,6,13.1,1340,9.7,26.2,0
1977,15,h) 500 to 999,248,15597,15384,19,7.8,13,5.3,1676,353,1323,2.3,10.9,1250,311,939,2,8.1,426,2.8,16.2,0
1977,15,i) 1000 to 2499,341,17593,17395,33,10,14,4.2,1460,532,928,3.1,8.4,1082,167,915,1,6.2,378,2.2,12.4,0
1977,15,j) 2500 to 4999,187,9296,9410,13,7,14,7.5,668,276,392,2.9,7.1,911,403,508,4.3,9.7,-243,-2.6,14.2,0
1977,15,k) 5000 to 9999,137,6885,6507,16,12.2,5,3.8,1124,380,744,5.8,17.3,368,14,354,0.2,5.7,756,11.6,11.4,0
1977,15,l) 10000+,762,49392,46765,105,14.2,58,7.9,9247,3277,5970,7,19.8,3978,1815,2163,3.9,8.5,5269,11.3,17,0
1977,16,a) 1 to 4,9269,21051,19988,2660,29.8,1883,21.1,9086,6649,2437,33.3,45.5,6822,4653,2169,23.3,34.1,2264,11.4,68.2,0
1977,16,b) 5 to 9,3297,22120,21187,371,11.5,242,7.5,6716,3420,3296,16.1,31.7,4826,2599,2227,12.3,22.8,1890,8.9,45.6,0
1977,16,c) 10 to 19,2014,24557,23775,229,11.7,108,5.5,6457,3059,3398,12.9,27.2,4841,2334,2507,9.8,20.4,1616,6.8,40.8,0
1977,16,d) 20 to 49,1285,28866,28281,140,11.2,73,5.8,6743,2873,3870,10.2,23.8,5484,2455,3029,8.7,19.4,1259,4.4,38.8,0
1977,16,e) 50 to 99,455,14897,14506,49,11.2,15,3.4,3458,1174,2284,8.1,23.8,2676,999,1677,6.9,18.4,782,5.4,36.8,0
1977,16,f) 100 to 249,358,15112,13857,56,16.7,12,3.6,3793,1751,2042,12.6,27.4,1569,405,1164,2.9,11.3,2224,16.1,22.6,0
1977,16,g) 250 to 499,358,7893,7665,51,15.1,,,1545,501,1044,6.5,20.2,1089,,890,,14.2,456,6,28.4,1
1977,16,h) 500 to 999,178,6254,5006,30,17.9,11,6.5,2992,1306,1686,26.1,59.8,510,197,313,3.9,10.2,2482,49.6,20.4,0
1977,16,i) 1000 to 2499,254,13005,11796,27,11,11,4.5,3816,1485,2331,12.6,32.3,1535,123,1412,1,13,2281,19.3,26,0
1977,16,j) 2500 to 4999,331,15381,13283,10,3,19,5.7,5969,216,5753,1.6,44.9,1769,478,1291,3.6,13.3,4200,31.6,26.6,0
1977,16,k) 5000 to 9999,185,14417,14831,27,15.6,,,1612,503,1109,3.4,10.9,2460,,2137,,16.6,-848,-5.7,21.8,1
1977,16,l) 10000+,802,75469,57129,65,7.9,100,12.2,39764,1241,38523,2.2,69.6,3084,549,2535,1,5.4,36680,64.2,10.8,0
1977,17,a) 1 to 4,96721,209711,206451,20225,21,18478,19.2,73243,50663,22580,24.5,35.5,65617,44808,20809,21.7,31.8,7626,3.7,63.6,0
1977,17,b) 5 to 9,35329,232710,229256,3117,8.9,2330,6.7,59267,28834,30433,12.6,25.9,52118,26514,25604,11.6,22.7,7149,3.2,45.4,0
1977,17,c) 10 to 19,22877,293955,288390,1921,8.5,1161,5.2,63446,27548,35898,9.6,22,51968,23603,28365,8.2,18,11478,4,36,0
1977,17,d) 20 to 49,15765,397998,390384,1483,9.6,779,5.1,78711,33465,45246,8.6,20.2,63416,26745,36671,6.9,16.2,15295,4,32.4,0
1977,17,e) 50 to 99,6654,296110,290442,642,9.9,275,4.3,52605,19656,32949,6.8,18.1,41224,16257,24967,5.6,14.2,11381,3.9,28.4,0
1977,17,f) 100 to 249,5423,323680,315765,707,13.6,282,5.4,58509,22907,35602,7.3,18.5,43187,17283,25904,5.5,13.7,15322,4.8,27.4,0
1977,17,g) 250 to 499,2848,198181,187971,385,14.2,139,5.1,40019,18325,21694,9.7,21.3,19712,3412,16300,1.8,10.5,20307,10.8,21,0
1977,17,h) 500 to 999,2331,187397,182404,191,8.2,216,9.2,29640,8518,21122,4.7,16.2,19921,4540,15381,2.5,10.9,9719,5.3,21.8,0
1977,17,i) 1000 to 2499,2412,230619,220527,374,16.3,160,7,38962,15087,23875,6.8,17.7,18915,4931,13984,2.2,8.6,20047,9.1,17.2,0
1977,17,j) 2500 to 4999,2467,228837,220581,231,9.6,126,5.2,41166,8834,32332,4,18.7,25192,3723,21469,1.7,11.4,15974,7.3,22.8,0
1977,17,k) 5000 to 9999,2241,262758,255855,320,14.3,355,15.9,55467,10759,44708,4.2,21.7,42244,8974,33270,3.5,16.5,13223,5.2,33,0
1977,17,l) 10000+,10148,1063079,1029452,1115,11.1,1006,10,153037,45654,107383,4.4,14.9,86580,18313,68267,1.8,8.4,66457,6.5,16.8,0
1977,18,a) 1 to 4,44347,98216,96739,9499,21.6,8301,18.9,34482,23826,10656,24.6,35.6,30959,20705,10254,21.4,32,3523,3.6,64,0
1977,18,b) 5 to 9,16367,106624,104726,1499,9.3,1080,6.7,27069,13450,13619,12.8,25.8,23235,11826,11409,11.3,22.2,3834,3.6,44.4,0
