_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ACRNM,V_LRT_EF_COVERAGE_SRC_EZ.PGM_SYS_ID,V_LRT_EF_COVERAGE_SRC_EZ.REGISTRY_ID,V_LRT_EF_COVERAGE_SRC_EZ.PRIMARY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.CITY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.COUNTY_NAME,V_LRT_EF_COVERAGE_SRC_EZ.LOCATION_ADDRESS,V_LRT_EF_COVERAGE_SRC_EZ.STATE_CODE,V_LRT_EF_COVERAGE_SRC_EZ.POSTAL_CODE,V_LRT_EF_COVERAGE_SRC_EZ.STATE_NAME,V_LRT_EF_COVERAGE_SRC_EZ.FEDERAL_FACILITY_CODE,V_LRT_EF_COVERAGE_SRC_EZ.TRIBAL_LAND_CODE,V_LRT_EF_COVERAGE_SRC_EZ.TRIBAL_LAND_NAME,V_LRT_EF_COVERAGE_SRC_EZ.LATITUDE,V_LRT_EF_COVERAGE_SRC_EZ.LONGITUDE
FRS,110027144427,110027144427,ENID ADVENTIST ELEMENTARY SCHOOL,ENID WEST,GARFIELD,,OK,,OKLAHOMA,,N,,36.43472,-97.89611
FRS,110026847090,110026847090,MULDROW ELEMENTARY SCHOOL,MULDROW,SEQUOYAH,301 S. MAIN,OK,74948,OKLAHOMA,,N,,35.40806,-94.59806
FRS,110026797713,110026797713,TULSA JUNIOR COLLEGE,TULSA,TULSA,6111 E SKELLY DR,OK,74135,OKLAHOMA,,N,,36.10667,-95.91028
FRS,110026710389,110026710389,TULSA COUNTY AREA VOCATIONAL TECHNOLOGICAL DISTRICT 18 SCHOOL,JENKS,TULSA,,OK,,OKLAHOMA,,N,,36.11444,-95.88694
FRS,110026713000,110026713000,BOEVERS ELEMENTARY SCHOOL,BROKEN ARROW,TULSA,,OK,,OKLAHOMA,,N,,36.11306,-95.82722
FRS,110025490528,110025490528,ARDMORE MIDDLE SCHOOL,ARDMORE WEST,CARTER,,OK,,OKLAHOMA,,N,,34.17528,-97.12833
FRS,110025623822,110025623822,UNDERCROFT MONTESSORI SCHOOL,TULSA,TULSA,3745 SOUTH HUDSON,OK,74135,OKLAHOMA,,N,,36.10944,-95.91306
FRS,110026797740,110026797740,TULSA LUTHERAN ELEMENTARY SCHOOL,TULSA,TULSA,146 SOUTH SHERIDAN ROAD,OK,74112,OKLAHOMA,,N,,36.15833,-95.90417
FRS,110026914007,110026914007,BOISE CITY HIGH SCHOOL,BOISE CITY,CIMARRON,,OK,73933,OKLAHOMA,,N,,36.72833,-102.505
FRS,110025491938,110025491938,BOSWELL JUNIOR-SENIOR HIGH SCHOOL,BOSWELL,CHOCTAW,,OK,74727,OKLAHOMA,,N,,34.02972,-95.86861
FRS,110026616936,110026616936,BOYNTON HIGH SCHOOL,BOYNTON,MUSKOGEE,,OK,74422,OKLAHOMA,,N,,35.64583,-95.65861
FRS,110025595434,110025595434,MINCO JUNIOR-SENIOR HIGH SCHOOL,MINCO,GRADY,,OK,73059,OKLAHOMA,,N,,35.31139,-97.94833
FRS,110026846885,110026846885,MOORE SENIOR HIGH SCHOOL,MOORE,CLEVELAND,,OK,,OKLAHOMA,,N,,35.34083,-97.47556
FRS,110026617203,110026617203,BRYANT ELEMENTARY SCHOOL,MOORE,CLEVELAND,,OK,,OKLAHOMA,,N,,35.37361,-97.45972
CNFRS,CNFRS42RROD,110027241027,,,MAYES,,OK,74367,OKLAHOMA,,Y,CN STATISTICAL AREA,36.408888,-95.11749
FRS,110027241410,110027241410,GOLDMINE HOLLOW DUMP #1  (OPEN),,ADAIR,,OK,74931,OKLAHOMA,,Y,CN STATISTICAL AREA,35.643516,-94.7981
CNFRS,CNFRS65NGWCLD,110027241250,1997 IHS OPEN DUMP LIST COLLIER EAST CLOSED,,DELAWARE,,OK,74347,OKLAHOMA,,Y,CN STATISTICAL AREA,36.263888,-94.83972
CNFRS,CNFRS66NGECLD,110027241269,1997 IHS OPEN DUMP LIST--NEW GREEN WEST (CLOSED),,DELAWARE,,OK,74347,OKLAHOMA,,Y,CN STATISTICAL AREA,36.261111,-94.83222
CNFRS,CNFRS70SSCLD,110027241303,1997 IHS OPEN DUMP LIST--PETTY (CLOSED),,DELAWARE,,OK,,OKLAHOMA,,Y,CN STATISTICAL AREA,36.275,-94.80333
CNFRS,CNFRS71CSCLD,110027241312,1997 IHS OPEN DUMP LIST--SILO SLOPE (CLOSED),,DELAWARE,,OK,,OKLAHOMA,,Y,CN STATISTICAL AREA,36.266666,-94.81638
CNFRS,CNFRS28COD,110027241385,CAVE DUMP (OPEN)  ,,DELAWARE,,OK,74347,OKLAHOMA,,Y,CN STATISTICAL AREA,36.299155,-94.87067
FRS,110035905036,110035905036,J&B DRY CLNRS & LAU/1311 N PERKINS RD DR,STILLWATER,PAYNE,1311 N PERKINS RD,OK,74075,OKLAHOMA,N,N,,36.13499,-97.051574
FRS,110027241679,110027241679,KENWOOD WEST,KENWOOD,MAYES,,OK,74365,OKLAHOMA,,Y,CN TRUST LAND,36.314896,-94.96498
FRS,110027241580,110027241580,CHEROKEE CASINO CATOOSA,CATOOSA,ROGERS,777 WEST CHEROKEE STREET,OK,74015,OKLAHOMA,,Y,CN TRUST LAND,36.165555,-95.76472
CNFRS,CNFRSOK0001225945,110027241045,SALINE CREEK DUMP (OPEN),,MAYES,,OK,74352,OKLAHOMA,,Y,CN STATISTICAL AREA,36.191388,-95.07277
CNFRS,CNFRSOKD061630554,110027241697,CN INDUSTRIES  INC.,STILWELL,ADAIR,ONE CHEROKEE CIRCLE/P.O. BOX 860,OK,74960,OKLAHOMA,,Y,CN TRUST LAND ,35.838172,-94.63298
CNFRS,CNFRSOKD987083268,110027241063,UMMERTESKEEDUMP (OPEN),,ADAIR,,OK,74960,OKLAHOMA,,Y,CN STATISTICAL AREA,35.7175,-94.61111
FRS,110027240965,110027240965,1997 IHS OPEN DUMP--PAW PAW BOTTOMS DUMP (OPEN),,SEQUOYAH,,OK,74948,OKLAHOMA,,Y,CN STATISTICAL AREA,35.333611,-94.58305
CNFRS,CNFRSOKD987083342,110027240796,1997 IHS OPEN DUMP LIST--KENWOOD (CLOSED),,ADAIR,,OK,74960,OKLAHOMA,,Y,CN STATISTICAL AREA,35.769444,-94.64861
CNFRS,CNFRSOKD987095452,110027240849,1997 IHS OPEN DUMP LIST SOUTH BUNCH CLOSED,,ADAIR,,OK,74960,OKLAHOMA,,Y,CN STATISTICAL AREA,35.724444,-94.57583
FRS,110027240849,110027240849,1997 IHS OPEN DUMP LIST SOUTH BUNCH CLOSED,,ADAIR,,OK,74960,OKLAHOMA,,Y,CN STATISTICAL AREA,35.724444,-94.57583
FRS,110027240858,110027240858, 1997 IHS OPEN DUMP LIST--BELL SCHOOL  (CLOSED),,DELAWARE,,OK,74347,OKLAHOMA,,Y,CN STATISTICAL AREA,36.278333,-94.82694
CNFRS,CNFRS87CLOD,110027240894,CHILOCCO LAND -DUMP #1 (OPEN),,KAY,,OK,74647,OKLAHOMA,,Y,CN STATISTICAL AREA,36.988333,-97.04722
CNFRS,CNFRS90CLCOD,110027240901,CHILOCCO LAND- DUMP #2  (OPEN),,KAY,,OK,74647,OKLAHOMA,,Y,CN STATISTICAL AREA,36.97,-97.03527
CNFRS,CNFRS92TFBOD,110027240929,THREE FINGERS BAY DUMP (OPEN),,MAYES,,OK,74337,OKLAHOMA,,Y,CN STATISTICAL AREA,36.111111,-95.2775
FRS,110027240938,110027240938,TRIBAL LAND UNIT 44 DUMP (OPEN),,ADAIR,,OK,,OKLAHOMA,,Y,CN STATISTICAL AREA,35.764166,-94.78694
CNFRS,CNFRS14MHC,110027241517,MUSKOGEE HEALTH CLINIC,MUSKOGEE,MUSKOGEE,1805 N. YORK STREET,OK,74403,OKLAHOMA,,Y,CN STATISTICAL AREA,35.762555,-95.34055
CNFRS,CNFRS20VHC,110027241562,VINITA HEALTH CLINIC,VINITA,CRAIG,135 E. CANADIAN AVENUE,OK,74301,OKLAHOMA,,Y,CN STATISTICAL AREA,36.636617,-95.15509
FRS,110022589778,110022589778,ROLL-N-HOME MHP,OKLAHOMA CITY,OKLAHOMA,2201 NE EXPRESSWAY,OK,73111,OKLAHOMA,,N,,35.523777,-97.549895
FRS,110022598232,110022598232,MID-CONTINENT CONCRETE STILLWATER PLANT,STILLWATER,PAYNE,324 E FOURTH STREET,OK,
          ,OKLAHOMA,,N,,36.118006,-97.055231
FRS,110022637280,110022637280,KNOX OIL ENID SITE,ENID,GARFIELD,315 W. BROADWAY,OK,
          ,OKLAHOMA,,N,,36.396564,-97.881706
FRS,110022583275,110022583275,WILSON WWT,WILSON,CARTER,122 EAST MAIN,OK,73463,OKLAHOMA,,N,,34.162296,-97.42447
FRS,110022530000,110022530000,ANALYTICAL RESEARCH LABORATORIES,OKLAHOMA CITY,OKLAHOMA,840 RESEARCH PARKWAY SUITE 546,OK,73104,OKLAHOMA,N,N,,35.474872,-97.504936
FRS,110002399413,110002399413,BLACKWELL COOP./BLACKWELL,BLACKWELL,KAY,410 NORTH MAIN,OK,746312233,OKLAHOMA,,N,,36.807342,-97.28294
FRS,110002400198,110002400198,CHANDLER MATERIALS COMPANY INCORPORATED,TULSA,TULSA,5805 EAST 15TH STREET,OK,74112,OKLAHOMA,,N,,36.140642,-95.911405
FRS,110022583177,110022583177,WESTWOOD VETERINARY CLINIC WWT,ARDMORE,CARTER,HWY 70 WEST,OK,73401,OKLAHOMA,,N,,34.157695,-97.162521
FRS,110001988895,110001988895,EXPLORER PIPELINE C/GLENPOOL PIPELINE BR,GLENPOOL,TULSA,1600 W 126TH STREET SOUTH,OK,74033,OKLAHOMA,,N,,35.981093,-96.011758
FRS,110007727718,110007727718,SUN OIL CO GRIFFITH J #1 COMPL,OKLAHOMA CITY,OKLAHOMA,IN OKLAHOMA CITY,OK,73165,OKLAHOMA,,N,,35.363134,-97.381966
FRS,110001989929,110001989929,YUBA HEAT TRANSFER,TULSA,ROGERS,2121 NORTH 161ST EAST AVENUE,OK,74116-4834,OKLAHOMA,,N,,36.186047,-95.797337
FRS,110000454277,110000454277,HACKNEY LADISH INC. - ENID OK,ENID,GARFIELD,400 E. WILLOW ST.,OK,73701,OKLAHOMA,N,N,,36.419988,-97.87279
FRS,110000454099,110000454099,TINKER AFB,OKLAHOMA CITY,OKLAHOMA,7701 ARNOLD STREET SUITE 204,OK,731459100,OKLAHOMA,Y,N,,35.41397,-97.40149
FRS,110000454179,110000454179,PIONEER CHEMICAL,OKLAHOMA CITY,OKLAHOMA,3301 S. GILSON WAY,OK,73179,OKLAHOMA,,N,,35.432329,-97.640208
FRS,110000455007,110000455007,OZARK FLUORINE SPECIALTIES INCORPORATED A DELAWARE CORPORATION,TULSA,TULSA,5101 WEST 21ST STREET,OK,741072230,OKLAHOMA,N,N,,36.133504,-96.049558
FRS,110000455935,110000455935,UNITED DESIGN CORPORATION,WEWOKA,SEMINOLE,211 EAST 2ND STREET,OK,74884,OKLAHOMA,,N,,35.157633,-96.490173
FRS,110000454730,110000454730,GERDAU AMERISTEEL SAND SPRINGS RAIL PRODUCTS,SAND SPRINGS,TULSA,404 S. MAIN,OK,74063,OKLAHOMA,,Y,,36.113727,-96.109656
FRS,110000455276,110000455276,HALCYON MARBLE DESIGNS INC.,TULSA,TULSA,12337 EAST 1ST STREET,OK,74128,OKLAHOMA,,N,,36.16048,-95.83918
FRS,110000455409,110000455409,GARDNER DENVER INC.,TULSA,TULSA,4747 S 83RD E AVE,OK,74145,OKLAHOMA,,N,,36.095457,-95.882895
FRS,110000455481,110000455481,INTERSTATE TOOL MANUFACTURING,TULSA,TULSA,1044 NORTH COLUMBIA PLACE,OK,741105027,OKLAHOMA,,N,,36.169175,-95.950395
FRS,110000453633,110000453633,BAITY SCREW MACHINE PRODUCTS INC.,CHICKASHA,GRADY,302 NORTH GENEVIEVE STREET,OK,73018,OKLAHOMA,,N,,35.050011,-97.930515
FRS,110000454534,110000454534,SOLVAY FLUORIDES  INC.,CATOOSA,ROGERS,5010 N. SKIATOOK RD.,OK,740153033,OKLAHOMA,N,N,,36.224199,-95.746737
FRS,110000454712,110000454712,WEBCO INDUSTRIES  SW TUBE DIV.,SAND SPRINGS,TULSA,201 S. WOODLAND DR.,OK,740630100,OKLAHOMA,,N,,36.135791,-96.092208
FRS,110000455061,110000455061,GRAPHIC ELECTRONICS INCORPORATED,TULSA,TULSA,1143 S. 71ST E. AVE.,OK,74112,OKLAHOMA,,N,,36.146979,-95.897312
FRS,110011856964,110011856964,PLANTERS CO OP ASSOCIATION,LONE WOLF,KIOWA,501 S ROCK ISLAND,OK,73655,OKLAHOMA,,N,,34.990669,-99.249368
FRS,110012268250,110012268250,SUN OIL CO OSAGE NW 22-25-8,PAWHUSKA,OSAGE,3M S 1M W,OK,74056,OKLAHOMA,,N,,36.660018,-96.338695
FRS,110000455178,110000455178,ENERGY EXCHANGER CO.,TULSA,TULSA,1844 N. GARNETT RD.,OK,741161612,OKLAHOMA,,N,,36.180618,-95.851121
FRS,110000455800,110000455800,ELECTRON BLACKWELL,BLACKWELL,KAY,510 N. 25TH ST.,OK,74631,OKLAHOMA,,N,,36.807399,-97.314283
FRS,110031285295,110031285295,SPRING CREEK ENERGY CENTER,EDMOND,OKLAHOMA,13200 S COUNCIL RD,OK,73003,OKLAHOMA,,N,,35.74366,-97.65601
FRS,110036528013,110036528013,HILLCREST ES,OKLAHOMA CITY,OKLAHOMA,6421 SOUTH MILLER,OK,73159,OKLAHOMA,,,,35.40029,-97.56323
FRS,110036528022,110036528022,HORACE MANN ES,OKLAHOMA CITY,OKLAHOMA,1105 NW 45TH STREET,OK,73118,OKLAHOMA,,,,35.51795,-97.52983
FRS,110036529744,110036529744,JOHN MARSHALL HS,OKLAHOMA CITY,OKLAHOMA,9017 N. UNIVERSITY AVE.,OK,73114,OKLAHOMA,,,,35.56175,-97.53574
FRS,110036526756,110036526756,NOWATA MS,NOWATA,NOWATA,707 W. OSAGE,OK,74048,OKLAHOMA,,,,36.69689,-95.64509
FRS,110036526916,110036526916,OKARCHE HS,OKARCHE,KINGFISHER,205 NORTH 4TH,OK,73762,OKLAHOMA,,,,35.72711,-97.97826
FRS,110036526925,110036526925,OKARCHE JHS,OKARCHE,KINGFISHER,205 NORTH 4TH,OK,73762,OKLAHOMA,,,,35.72711,-97.97826
FRS,110036527014,110036527014,ADAMS ES,OKLAHOMA CITY,OKLAHOMA,3416 SW 37TH STREET,OK,73119,OKLAHOMA,,,,35.42727,-97.57699
FRS,110036529940,110036529940,HOOVER MS,OKLAHOMA CITY,OKLAHOMA,2401 NW 115 TERRACE,OK,73120,OKLAHOMA,,,,35.5873,-97.55593
FRS,110025597888,110025597888,ROGERS MS,SPENCER,OKLAHOMA,4000 N. SPENCER ROAD,OK,73084,OKLAHOMA,,N,,35.50946,-97.37575
FRS,110036541702,110036541702,WILLIAM GAY EC CTR,MCALESTER,PITTSBURG,600 WEST MADISON,OK,74501,OKLAHOMA,,,,34.93856,-95.7778
FRS,110036541748,110036541748,MEEKER MS,MEEKER,LINCOLN,214 EAST CARL HUBBELL BLVD.,OK,74855,OKLAHOMA,,,,35.50338,-96.89246
FRS,110025717197,110025717197,MIAMI HS,MIAMI,OTTAWA,2000 EAST CENTRAL,OK,74354,OKLAHOMA,,N,,36.87455,-94.85626
FRS,110025951806,110025951806,CARL ALBERT HS,OKLAHOMA CITY,OKLAHOMA,2009 S. POST RD.,OK,73130,OKLAHOMA,,N,,35.44535,-97.35313
FRS,110036541855,110036541855,DEL CITY ES,DEL CITY,OKLAHOMA,2400 EPPERLY DR.,OK,73115,OKLAHOMA,,,,35.44011,-97.43499
FRS,110036541873,110036541873,EAST SIDE ES,MIDWEST CITY,OKLAHOMA,600 N. KEY BLVD.,OK,73110,OKLAHOMA,,,,35.44107,-97.3928
FRS,110007735157,110007735157,SOUTHWESTERN PORCELAIN INC,SAND SPRINGS,TULSA,HWY 64 S,OK,74063,OKLAHOMA,,N,,36.154477,-96.173325
FRS,110036541891,110036541891,HIGHLAND PARK ES,OKLAHOMA CITY,OKLAHOMA,5301 S. DIMPLE,OK,73135,OKLAHOMA,,,,35.41259,-97.44524
FRS,110036527657,110036527657,BRYANT ES,OKLAHOMA CITY,CLEVELAND,9400 S. BRYANT AVENUE,OK,73160,OKLAHOMA,,,,35.37001,-97.45143
FRS,110036527719,110036527719,MORRIS ES,MORRIS,OKMULGEE,401 S. 5TH,OK,74445,OKLAHOMA,,,,35.60669,-95.85643
FRS,110036527602,110036527602,SANTA FE ES,MOORE,CLEVELAND,501 N. SANTA FE,OK,73160,OKLAHOMA,,,,35.34032,-97.5123
FRS,110036540856,110036540856,MUSTANG LAKEHOMA ES,MUSTANG,CANADIAN,224 SOUTH CLEAR SPRINGS RD,OK,73064,OKLAHOMA,,,,35.3911,-97.76011
FRS,110026909077,110026909077,SADLER ARTS ACADEMY,MUSKOGEE,MUSKOGEE,800 ALTAMONT,OK,74401,OKLAHOMA,,N,,35.75924,-95.36954
FRS,110036540794,110036540794,CREEK ES,MUSKOGEE,MUSKOGEE,200 S. COUNTRY CLUB ROAD,OK,74403,OKLAHOMA,,,,35.73912,-95.32296
FRS,110036542122,110036542122,NORMAN HS,NORMAN,CLEVELAND,911 W. MAIN STREET,OK,73069,OKLAHOMA,,,,35.33841,-97.50582
FRS,110036527906,110036527906,DEWEY SCHL VISUAL & PERF. ARTS,OKLAHOMA CITY,OKLAHOMA,3500 N. LINDSAY,OK,73105,OKLAHOMA,,,,35.50521,-97.50001
FRS,110036527924,110036527924,EDGEMERE ES,OKLAHOMA CITY,OKLAHOMA,3200 NORTH WALKER AVENUE,OK,73118,OKLAHOMA,,,,35.50157,-97.52101
FRS,110036532062,110036532062,ASTEC CHARTER MS,OKLAHOMA CITY,OKLAHOMA,NO STREET ADDRESS,OK,73107,OKLAHOMA,,,,35.49335,-97.55548
FRS,110036532133,110036532133,OKMULGEE ES,OKMULGEE,OKMULGEE,1614 EAST 9TH,OK,74447,OKLAHOMA,,,,35.62031,-95.94845
FRS,110026121239,110026121239,OKMULGEE MS,OKMULGEE,OKMULGEE,1421 EAST MARTIN LUTHER KING,OK,74447,OKLAHOMA,,N,,35.63011,-95.95273
FRS,110025784168,110025784168,PAWNEE ES,PAWNEE,PAWNEE,602 FOREST,OK,74058,OKLAHOMA,,N,,36.33578,-96.80401
FRS,110036529986,110036529986,CLASSEN HS OF ADVANCED STUDIES,OKLAHOMA CITY,OKLAHOMA,1901 NORTH ELLISON,OK,73106,OKLAHOMA,,,,35.48817,-97.53293
FRS,110036573543,110036573543,PICHER-CARDIN ES,PICHER,OTTAWA,715 WEST A. ST.,OK,74360,OKLAHOMA,,,,36.98739,-94.83969
FRS,110036573552,110036573552,PICHER-CARDIN HS,PICHER,OTTAWA,715 WEST 'A' STREET,OK,74360,OKLAHOMA,,,,36.98739,-94.83969
FRS,110026121621,110026121621,PIEDMONT ES,PIEDMONT,CANADIAN,1011 PIEDMONT ROAD NORTH,OK,73078,OKLAHOMA,,N,,35.67112,-97.74685
FRS,110036508124,110036508124,EDISON ES,LAWTON,COMANCHE,5801 NW COLUMBIA,OK,73505,OKLAHOMA,,,,34.61236,-98.4631
FRS,110036507081,110036507081,RIDGECREST ES,LAWTON,COMANCHE,1614 NW 47TH STREET,OK,73505,OKLAHOMA,,,,34.62848,-98.45048
FRS,110036507116,110036507116,JACKSON ES,LAWTON,COMANCHE,2102 NW LINDY,OK,73505,OKLAHOMA,,,,34.636,-98.4261
FRS,110036507161,110036507161,MACARTHUR HS,LAWTON,COMANCHE,4400 EAST GORE,OK,73501,OKLAHOMA,,,,34.60855,-98.3357
FRS,110036527559,110036527559,SKY RANCH ES,OKLAHOMA CITY,CLEVELAND,9501 S WESTERN,OK,73139,OKLAHOMA,,,,35.37341,-97.53042
FRS,110026700924,110026700924,NEWKIRK HS,NEWKIRK,KAY,221 SOUTH MAIN,OK,74647,OKLAHOMA,,N,,36.8808,-97.05373
FRS,110036608418,110036608418,RALPH DOWNS ES,OKLAHOMA CITY,OKLAHOMA,7501 W. HEFNER ROAD,OK,73162,OKLAHOMA,,,,35.5801,-97.64456
FRS,110025731000,110025731000,WILLARD ES,ADA,PONTOTOC,817 E. 9TH,OK,74820,OKLAHOMA,,N,,34.77655,-96.66817
FRS,110027090804,110027090804,WOODLANDS ES,PONCA CITY,KAY,2005 E. WOODLANDS ROAD,OK,74604,OKLAHOMA,,N,,36.72025,-97.0588
FRS,110027086999,110027086999,E. M. TROUT ES,PONCA CITY,KAY,2109 E. PROSPECT,OK,74604,OKLAHOMA,,N,,36.73855,-97.05676
FRS,110026900833,110026900833,JEFFERSON ES,PRYOR,MAYES,400 S.E. 6TH,OK,74362,OKLAHOMA,,N,,36.29762,-95.31811
FRS,110036602361,110036602361,COOPER MS,OKLAHOMA CITY,OKLAHOMA,8001 RIVER BEND BOULEVARD,OK,73132,OKLAHOMA,,,,35.54189,-97.6545
FRS,110036602414,110036602414,WESTERN OAKS MS,BETHANY,OKLAHOMA,7200 NW 23RD,OK,73008,OKLAHOMA,,,,35.49321,-97.63874
FRS,110036540400,110036540400,BETHANY HS,BETHANY,OKLAHOMA,4500 NORTH MUELLER,OK,73008,OKLAHOMA,,,,35.51708,-97.63191
FRS,110036503469,110036503469,ROBIN HILL ES,NORMAN,CLEVELAND,4801 E. FRANKLIN RD.,OK,73026,OKLAHOMA,,,,35.27606,-97.37046
FRS,110025623528,110025623528,SALINA ES,SALINA,MAYES,707 N. CHEROKEE STREET,OK,74365,OKLAHOMA,,N,,36.2984,-95.15326
FRS,110027087168,110027087168,WASHINGTON ES,ALTUS,JACKSON,311 E CYPRESS ST,OK,73521,OKLAHOMA,,N,,34.63998,-99.33098
FRS,110036525846,110036525846,MISSION ES,ANADARKO,CADDO,1200 SOUTH MISSION,OK,73005,OKLAHOMA,,,,35.06396,-98.25221
FRS,110026711173,110026711173,WILL ROGERS ES,ARDMORE,CARTER,11 MONROE,OK,73402,OKLAHOMA,,N,,34.18736,-97.12341
FRS,110036540491,110036540491,BILLINGS ES,BILLINGS,NOBLE,311 N. CENTRAL,OK,74630,OKLAHOMA,,,,36.53198,-97.44475
FRS,110036540534,110036540534,BIXBY HS,BIXBY,TULSA,601 SOUTH RIVERVIEW,OK,74008,OKLAHOMA,,,,35.9375,-95.87309
FRS,110025664252,110025664252,SOUTH HEIGHTS ES,SAPULPA,CREEK,23 E ROSS,OK,74066,OKLAHOMA,,N,,35.97921,-96.11319
FRS,110036547573,110036547573,HOMER ES,ADA,PONTOTOC,1400 N. MONTE VISTA,OK,74820,OKLAHOMA,,,,34.7883,-96.63476
FRS,110036547644,110036547644,CACHE IES,CACHE,COMANCHE,201 WEST H AVENUE,OK,73527,OKLAHOMA,,,,34.62341,-98.62646
FRS,110036539476,110036539476,BROKEN ARROW SOUTH IHS,BROKEN ARROW,TULSA,301 WEST NEW ORLEANS,OK,74011,OKLAHOMA,,,,36.01721,-95.79295
FRS,110036539500,110036539500,RHOADES ES,BROKEN ARROW,TULSA,320 E. MIDWAY,OK,74012,OKLAHOMA,,,,36.05779,-95.78774
FRS,110025663690,110025663690,SHAWNEE MS,SHAWNEE,POTTAWATOMIE,4300 NORTH UNION,OK,74804,OKLAHOMA,,N,,35.37565,-96.92125
FRS,110036540696,110036540696,PARK LANE ES,BROKEN ARROW,WAGONER,7700 S SHELBY LANE,OK,74014,OKLAHOMA,,,,36.05222,-95.71473
FRS,110036534872,110036534872,STIGLER MS,STIGLER,HASKELL,1001 N. W. 7TH STREET,OK,74462,OKLAHOMA,,,,35.2557,-95.1171
FRS,110036534890,110036534890,SANGRE RIDGE ES,STILLWATER,PAYNE,2500 S. SANGRE ROAD,OK,74074,OKLAHOMA,,,,36.09411,-97.10933
FRS,110036535924,110036535924,STILLWATER HS,STILLWATER,PAYNE,1224 N HUSBAND,OK,74075,OKLAHOMA,,,,36.13461,-97.06072
FRS,110026908960,110026908960,WILL ROGERS JHS,CLAREMORE,ROGERS,1915 N FLORENCE AVE,OK,74017,OKLAHOMA,,N,,36.32812,-95.60367
FRS,110036529575,110036529575,NANCE ES,CLINTON,CUSTER,300 SOUTH 11TH,OK,73601,OKLAHOMA,,,,35.51191,-98.97486
FRS,110025680804,110025680804,SOUTHWEST ES,CLINTON,CUSTER,1903 OPAL ST,OK,73601,OKLAHOMA,,N,,35.50681,-98.98402
FRS,110027090751,110027090751,LYNN WOOD ES,BROKEN ARROW,TULSA,1600 W QUINCY ST,OK,74012,OKLAHOMA,,N,,36.03719,-95.80628
FRS,110036546342,110036546342,EAST SIDE ES,CHANDLER,LINCOLN,401 SOUTH IOWA AVENUE,OK,74834,OKLAHOMA,,,,35.70682,-96.87585
FRS,110036547886,110036547886,CHELSEA HS,CHELSEA,ROGERS,801 WEST 6TH STREET,OK,74016,OKLAHOMA,,,,36.53928,-95.43856
FRS,110036548000,110036548000,CHOCTAW ES,CHOCTAW,OKLAHOMA,14663 NE 3RD,OK,73020,OKLAHOMA,,,,35.49885,-97.2713
FRS,110036548028,110036548028,CHOCTAW JHS,CHOCTAW,OKLAHOMA,14667 NORTHEAST 3RD,OK,73020,OKLAHOMA,,,,35.49885,-97.27124
FRS,110026617196,110026617196,SULPHUR HS,SULPHUR,MURRAY,700 WEST BROADWAY,OK,73086,OKLAHOMA,,N,,34.5065,-96.97513
FRS,110036548162,110036548162,CLAREMONT ES,CLAREMORE,ROGERS,318 E. 7TH STREET,OK,74017,OKLAHOMA,,,,36.31296,-95.60537
FRS,110026913810,110026913810,ADDAMS ES,TULSA,TULSA,5323 S. 65TH W. AVE,OK,74107,OKLAHOMA,,N,,36.08424,-96.05652
FRS,110036544521,110036544521,CHOUTEAU ES,TULSA,TULSA,575 N 39 W AVE,OK,74127,OKLAHOMA,,,,36.16057,-96.0358
FRS,110036544530,110036544530,CLEVELAND MS,TULSA,TULSA,724 N. BIRMINGHAM AVE.,OK,74110,OKLAHOMA,,,,36.16551,-95.95362
FRS,110036544567,110036544567,THOMAS EDISON PREPARATORY HS,TULSA,TULSA,2906 E 41 STREET,OK,74105,OKLAHOMA,,,,36.10421,-95.94571
FRS,110036544610,110036544610,HAMILTON MS,TULSA,TULSA,2316 NORTH NORWOOD PLACE,OK,74115,OKLAHOMA,,,,36.18732,-95.90847
FRS,110026643924,110026643924,HOUSTON ES,TULSA,TULSA,5402 N CINCINNATI,OK,74126,OKLAHOMA,,N,,36.2315,-95.99357
FRS,110022175411,110022175411,WILSON SCHOOL,CUSHING,PAYNE,1140 E. CHERRY STREET,OK,74023,OKLAHOMA,,N,,35.97909,-96.75549
FRS,110036548082,110036548082,JAMES GRIFFITH IES,CHOCTAW,OKLAHOMA,1861 S. INDIAN MERIDIAN,OK,73020,OKLAHOMA,,,,35.44964,-97.24733
FRS,110036529646,110036529646,WARD ES WEST,COLBERT,BRYAN,630 COLLINS ST,OK,74733,OKLAHOMA,,,,33.8596,-96.50447
FRS,110036529735,110036529735,HERALD ES,COLLINSVILLE,TULSA,12818 N 129TH E AVE,OK,74021,OKLAHOMA,,,,36.34026,-95.83033
FRS,110036528291,110036528291,COMMERCE MS,COMMERCE,OTTAWA,500 E COMMERCE ST,OK,74339,OKLAHOMA,,,,36.93338,-94.8719
FRS,110036533089,110036533089,DEEP ROCK ES,CUSHING,PAYNE,2601 NORTH LINWOOD AVENUE,OK,74023,OKLAHOMA,,,,36.0031,-96.74955
FRS,110036535103,110036535103,COLUMBUS ES,TULSA,TULSA,10620 E 27TH STREET,OK,74129,OKLAHOMA,,,,36.12539,-95.85807
