Source	Reference
BGSU, 1972	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Bishop, 1941	Bishop, S.C. 1941. The Salamanders of New York. New York State Museum Bulletin 324, Albany. 365 pp.

Black and Sievert, 1989	Black, J.H. and G. Sievert. 1989. A Field Guide to Amphibians of Oklahoma. Oklahoma Department of Wildlife Conservation, Oklahoma City.  80 pp.

Blair et al., 1997	Blair, K.B., D. Chiszar, and H.M. Smith. 1997. New records for Texas amphibians and reptiles. Herpetological Review 28(2): 99.

Blair, 1963	Blair, W.F. 1963. Intragroup genetic compatibility in the Bufo americanus species group of toads. Texas Journal of Science 15: 15-34.

Blanchard, 1922	Blanchard, F.N. 1922. The amphibians and reptiles of western Tennessee. Occasional Papers of the Museum of Zoology, University of Michigan 117: 1-18.

Blanchard, 1923	Blanchard, F.N. 1923. The amphibians and reptiles of Dickinson County, Iowa. University of Iowa Studies in Natural History 10: 19-26.

Blihovde, 1998	Blihovde, W.B. 1998. Ambystoma tigrinum tigrinum (eastern tiger salamander). Herpetological Review 29(2): 105.

Boundy, 1998	Boundy, J. 1998. Distributional Records for Louisiana amphibians. Herpetological Review 29(4): 251-252.

Bragg, 1955	Bragg, A.N. 1955. The Amphibia of Cherokee County, Oklahoma. Herpetologica 11: 25-30.

Brandon and Bremer, 1966	Brandon, R.A. and D.J. Bremer. 1966. Neotenic newts, Notophthalmus viridescens louisianensis, in southern Illinois. Herpetologica 22(3): 213-217.

Brandon et al., 1979a	Brandon, R.A., G.M. Labanick, and J.E. Huheey. 1979. Relative palatability, defensive behavior, and mimetic relationships of red salamanders (Pseudotriton ruber), mud salamanders (Pseudotriton montanus), and red efts (Notophthalmus viridescens). Herpetologica 35: 289-303.

Brandon et al., 1979b	Brandon, R.A., G.M. Labanick, and J.E. Huheey. 1979. Learned avoidance of brown efts, Notophthalmus viridescens louisianensis (Amphibia, Urodela, Salamandridae), by chickens. Journal of Herpetology 13(2): 171-176.

Bratton et al., 1980	Bratton, S.P., R.C. Mathews, and P.S. White. 1980. Agricultural area impacts within a natural area: Cades Cove, a case history. Environmental Management 4: 433-448.

Breckenridge, 1944	Breckenridge, W.J. 1944. Reptiles and Amphibians of Minnesota. University of Minnesota Press, Minneapolis. 202 pp.

Breukelman and Smith, 1946	Breukelman, J. and H.M. Smith. 1946. Selected records of reptiles and amphibians from Kansas. University of Kansas Publications, Museum of Natural History 1: 103-112.

Bristow, 1991	Bristow, C.E. 1991. Interactions between phylogenetically distant predators: Notophthalmus viridescens and Enneacanthus obesus. Copeia 1991(1): 1-8.

Brode and Cliburn, 1967	Brode, W.E. and J.W. Cliburn. 1967. Further notes on Necturus in Mississippi and adjacent areas. Journal of the Mississippi Academy of Science 13: 127-129.

Brodie and Formanowicz, 1981	Brodie Jr., E.D. and D.R. Formanowicz, Jr. 1981. Larvae of the predaceous diving beetle Dytiscus verticalis acquired and avoidance response to skin secretions of the newt Notophthalmus viridescens. Herpetologica 37(3): 172-176.

Brodman, 1998	Brodman, R. 1998. New county records of amphibians and reptiles from northern Indiana. Herpetological Review 30(2): 117-118.

Brodman, 1999	Brodman, B. 1999. Unpublished county records for Indiana. Saint Joseph College Museum.

Brooks and Sassaman, 1965	Brooks Jr., G.R. and J.F. Sassaman. 1965. Critical thermal maxima of larval and adult Eurycea bislineata. Copeia 1965(2): 251-252.

Brophy, 1980	Brophy, T.E. 1980. Food habits of sympatric larval Ambystoma tigrinum and Notophthalmus viridescens. Journal of Herpetology 14(1): 1-6.

Buhlmann and Hobson, 1996	Buhlmann, K.A., and C.S. Hobson. 1996. Ambystoma tigrinum tigrinum (eastern tiger salamander). Herpetological Review 27(1): 28.

Burger et al., 1949	Burger, W.L., P.W. Smith, and H.M. Smith. 1949. Notable records of reptiles and amphibians in Oklahoma, Arkansas, and Texas. Journal of the Tennessee Academy of Science 24:130-134.

Burt and Burt, 1929	Burt, C.E. and M.D. Burt. 1929. A collection of amphibians and reptiles from the Mississippi Valley, with field observations. American Museum Novitates 381: 1-13.

Burt, 1927	Burt, C.E. 1927. An annotated list of the amphibians and reptiles of Riley County, Kansas. Occasional Papers of the Museum of Zoology, University of Michigan 189: 1-9.

Burt, 1931a	Burt, C.E. 1931a. A report on some amphibians and reptiles from Kansas, Nebraska, and Oklahoma. Proceedings of the Biological Society of Washington 44: 11-16.

Burt, 1931b	Burt, C.E. 1931b. A report on some amphibians and reptiles from New York and New Jersey. Journal of the Washington Academy of Sciences 21: 198-203.

Burt, 1935	Burt, C.E. 1935. Further records of the ecology and distribution of amphibians and reptiles in the middle west. American Midland Naturalist 16: 311-336.

Burt, 1938	Burt, C.E. 1938. The frogs and toads of the southeastern United States. Transactions of the Kansas Academy of Science 41: 331-367.

Burt, 1946	Burt, C.E. 1946. A report on some amphibians and reptiles from Louisiana. Transactions of Kansas Academy of Science 48: 422-428.

Burton, 1977	Burton, T.M. 1977. Population estimates, feeding habits and nutrient and energy relationships of Notophthalmus v. viridescens, in Mirror Lake, New Hampshire. Copeia 1977(1): 139-143.

Bury and Corn, 1988	Bury, R.B. and P.S. Corn. 1988. Douglas-fir forests in the Oregon and Washington Cascades: relation of the herpetofauna to stand age and moisture. Pp. 11-22. In: R.C. Szaro, K.E. Severson, and D.R. Patton (Eds.), Management of Amphibians, Reptiles, and Small Mammals in North America, Proceedings of the Symposium. USDA Forest Service, Flagstaff. 

Bury, 1971	Bury, R.B. 1971. Status report on California's threatened amphibians and reptiles. The Resources Agency of California Inland Fisheries Administrative Report 72(2): 2-31.

Butterfield and Marks, 1989	Butterfield, B.P. and M.K. Marks. 1989. Ambystoma t. tigrinum. Herpetological Review. 20(1): 11.

Butterfield et al., 1999	Butterfield, B.P., B. Britt, and J. Hobbs. 1999. Notophthalmus viridescens louisianensis (central newt). Herpetological Review 30(2): 105.

Cagle and Smith, 1939	Cagle, F.R. and P.E. Smith. 1939. A winter aggregation of Siren intermedia and Triturus viridescens. Copeia 1939(4): 232-233.

Cahn and Shumway, 1926	Cahn, A.R. and W. Shumway. 1926. Color variations in larvae of Necturus maculosus. Copeia 1926: 106-107.

Caldwell and Howell, 1966	Caldwell, R.D. and D.M. Howell. 1966. Siren intermedia nettingi from Alabama. Herpetologica 22(4): 310-311.

Calhoon and Jameson, 1970	Calhoon, R.E. and D.L. Jameson. 1970. Canonical correlation between variation in weather and variation in size in the Pacific tree frog, Hyla regilla, in southern California. Copeia 1970: 124-134.

Campbell, 1934	Campbell, B. 1934. Report on a collection of reptiles and amphibians made in Arizona during the summer of 1933. Occasional Papers of the Museum of Zoology, University of Michigan 289: 1-10.

Carr and Goin, 1955	Carr, A. and C.J. Goin. 1955. Guide to the Reptiles, Amphibians and Fresh-water Fishes of Florida. University of Florida Press, Gainesville. 341 pp.

Casper, 1996	Casper, G.S. 1996. Geographic Distributions of the Amphibians and Reptiles of Wisconsin. Milwaukee Public Museum, Inc., Milwaukee. 87 pp.

Casper, 1997	Casper, G.S. 1997. Recent amphibian and reptile distribution records for Wisconsin. Herpetological Review 28(4): 214-216.

Casper, 1999	Casper, G.S. 1999. Ambystoma tigrinum. Herpetological Review 30(1): 49.

CAS-SU, 1939	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Christiansen and Bailey, 1991	Christiansen, J.L. and R.M. Bailey. 1991. The Salamanders and Frogs of Iowa. Iowa Department of Natural Resources, Des Moines. 24 pp.

Cliburn, 1965	Cliburn, J.W. 1965. A Key to the Amphibians and Reptiles of Mississippi with Guides to Their Study. State Wildlife Museum, Jackson. 63 pp.

CM, 1931	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1936	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1937	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1942	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1945	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1946	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1947	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1948	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1953	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1956	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1958	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1962	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1963	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1964	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1965	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1967	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1968	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1969	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1970	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1971	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1972	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1974	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CM, 1978	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1952	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1953	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1954	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1955	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1959	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1961	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1964	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1966	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1970	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1971	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1972	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1973	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1975	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1979	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1980	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1982	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1983	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1990	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1991	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1992	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1993	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CMNH, 1994	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Cochran and Mueller, 1983	Cochran, P.A. and K.N. Mueller. 1983. Necturus maculosus (mudpuppy). Herpetological Review 14(1): 27.

Cochran, 1961	Cochran, D.M. 1961. Type specimens of reptiles and amphibians in the U.S. National Museum. United States National Museum Bulletin 220. Smithsonian Institution, Washington D.C. 291 pp.

Cochran, 1982	Cochran, P.A. 1982. Necturus maculosus (mudpuppy). Herpetological Review 13(3): 79.

Cochran, 1988	Cochran, P.A. 1988. Hyla crucifer (spring peeper). Herpetological Review 19(1): 16.

Cochran, 1995	Cochran, P.A. 1995. Necturus maculosus (mudpuppy): Reproduction. Herpetological Review 26(4): 198.

Cockrum, 1941	Cockrum, L. 1941. Notes on Siren intermedia. Copeia 1941(4): 265.

Collette and Gehlbach, 1961	Collette, B.B. and F.R. Gehlbach. 1961. The salamander Siren intermedia intermedia LeConte in North Carolina. Herpetologica 17(3): 203-204.

Collins and Collins, 1999	Collins, S.L. and J.T. Collins. 1999. Pseudacris crucifer (spring peeper). Herpetological Review 30(2): 107.

Collins et al., 1988	Collins, J.P., T.R. Jones, and H.J. Berna. 1988. Conserving genetically distinctive populations: the case of the Huachuca tiger salamander (Ambystoma tigrinum stebbinsi Lowe). Pp. 45-53. In: R.C. Szaro, K.E. Severson, and D.R. Patton (Eds.), Management of Amphibians, Reptiles, and Small Mammals in North America, Proceedings of the Symposium. USDA Forest Service, Flagstaff.

Collins, 1993	Collins, J.T. 1993. Amphibians and Reptiles in Kansas, 3rd. ed., rev. Natural History Museum, University of Kansas. 397 pp.

Cook, 1957	Cook, F.A. 1957. Salamanders of Mississippi. Mississippi Game and Fish Commission Museum, Jackson. 28 pp.

CSNH, 1978	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1982	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1983	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1984	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1989	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1990	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1991	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1992	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1993	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1994	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1995	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1996	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1997	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1998	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CSNH, 1999	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1958	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1964	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1966	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1970	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1979	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1981	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

CW, 1985	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DATM, 1957	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

DATM, 1958	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

