"Symbol","Scientific Name with Author","GSAT Common Name"
"AGPA6","Agrimonia parviflora Aiton","harvestlice"
"AGPE","Agrostis perennans (Walter) Tuck.","upland bentgrass"
"AGPL","Agalinis plukenetii (Elliot) Raf.","Chattahoochee false foxglove"
"AGPU","Agrimonia pubescens Wallr.","soft agrimony"
"AGPU4","Agalinis pulchella Pennell","St. Mark's false foxglove"
"AGPU5","Agalinis purpurea (L.) Pennell","purple false foxglove"
"AGRIM","Agrimonia L.","agrimony"
"AGRO3","Agrimonia rostellata Wallr.","beaked agrimony"
"AGROP3","×Agropogon Fourn.","agropogon"
"AGROS","Agrostemma L.","corncockle"
"AGROS2","Agrostis L.","bentgrass"
"AGSC5","Agrostis scabra Willd.","rough bentgrass"
"AGSK","Agalinis skinneriana (Alph. Wood) Britton","Skinner's false foxglove"
"AGST2","Agrostis stolonifera L.","creeping bentgrass"
"AGTE3","Agalinis tenuifolia (Vahl) Raf.","slenderleaf false foxglove"
"AGTEL","Agalinis tenuifolia (Vahl) Raf. var. leucanthera (Raf.) Pennell","slenderleaf false foxglove"
"AGTEM","Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake","slenderleaf false foxglove"
"AGTET","Agalinis tenuifolia (Vahl) Raf. var. tenuifolia","slenderleaf false foxglove"
"AGVI5","Agalinis viridis (Small) Pennell","green false foxglove"
"AIAL","Ailanthus altissima (Mill.) Swingle","tree of heaven"
"AICA","Aira caryophyllea L.","silver hairgrass"
"AICAC2","Aira caryophyllea L. var. caryophyllea","silver hairgrass"
"AIEL4","Aira elegans Willd. ex Kunth","annual silver hairgrass"
"AILAN","Ailanthus Desf.","ailanthus"
"AIRA","Aira L.","hairgrass"
"AJRE","Ajuga reptans L.","common bugle"
"AJUGA","Ajuga L.","bugle"
"AKEBI","Akebia Decne.","chocolate vine"
"AKQU","Akebia quinata (Houtt.) Decne.","chocolate vine"
"ALAL3","Alyssum alyssoides (L.) L.","pale madwort"
"ALAM","Allium ampeloprasum L.","broadleaf wild leek"
"ALAU","Aletris aurea Walter","golden colicroot"
"ALBIZ","Albizia Durazz.","albizia"
"ALCA3","Allium canadense L.","meadow garlic"
"ALCA4","Alopecurus carolinianus Walter","Carolina foxtail"
"ALCA5","Alternanthera caracasana Kunth","washerwoman"
"ALCAC","Allium canadense L. var. canadense","meadow garlic"
"ALCAM","Allium canadense L. var. mobilense (Regel) Ownbey","meadow garlic"
"ALCE","Allium cepa L.","garden onion"
"ALDR2","Alophia drummondii (Graham) R.C. Foster","propeller flower"
"ALETR","Aletris L.","colicroot"
"ALFA2","Aletris farinosa L.","white colicroot"
"ALJU","Albizia julibrissin Durazz.","silktree"
"ALLIU","Allium L.","onion"
"ALLU","Aletris lutea Small","yellow colicroot"
"ALMY","Alopecurus myosuroides Huds.","slender meadow foxtail"
"ALNE3","Allium neapolitanum Cirillo","white garlic"
"ALNUS","Alnus Mill.","alder"
"ALOPE","Alopecurus L.","foxtail"
"ALOPH","Alophia Herbert","alophia"
"ALPA17","Alternanthera paronychioides A. St.-Hil.","smooth joyweed"
"ALPAA2","Alternanthera paronychioides A. St.-Hil. var. amazonica Huber","smooth joyweed"
"ALPAP","Alternanthera paronychioides A. St.-Hil. var. paronychioides","smooth joyweed"
"ALPH","Alternanthera philoxeroides (Mart.) Griseb.","alligatorweed"
"ALPS","Alstroemeria psittacina Lehm., nom. inq.","lily of the Incas"
"ALSA2","Allium sativum L.","cultivated garlic"
"ALSE2","Alnus serrulata (Aiton) Willd.","hazel alder"
"ALSE4","Alternanthera sessilis (L.) R. Br. ex DC.","sessile joyweed"
"ALSTR","Alstroemeria L.","lily of the Incas"
"ALTER2","Alternanthera Forssk.","joyweed"
"ALVA2","Alysicarpus vaginalis (L.) DC.","white moneywort"
"ALVI","Allium vineale L.","wild garlic"
"ALVIV","Allium vineale L. ssp. vineale","wild garlic"
"ALYSI","Alysicarpus Neck. ex Desv.","moneywort"
"ALYSS","Alyssum L.","madwort"
"AMAL","Amaranthus albus L.","prostrate pigweed"
"AMAR","Amaranthus arenicola I.M. Johnst.","sandhill amaranth"
"AMAR2","Ambrosia artemisiifolia L.","annual ragweed"
"AMAR3","Amelanchier arborea (Michx. f.) Fernald","common serviceberry"
"AMAR5","Ampelopsis arborea (L.) Koehne","peppervine"
"AMARA","Amaranthus L.","pigweed"
"AMARA4","Amelanchier arborea (Michx. f.) Fernald var. arborea","common serviceberry"
"AMARP","Ambrosia artemisiifolia L. var. paniculata (Michx.) Blank.","annual ragweed"
"AMARY","Amaryllis L.","amaryllis"
"AMAU","Amaranthus australis (A. Gray) Sauer","southern amaranth"
"AMAU2","Ammannia auriculata Willd.","eared redstem"
"AMBE3","Amaryllis belladonna L.","belladonna lily"
"AMBI","Amaranthus bigelovii Uline & Bray","Bigelow's amaranth"
"AMBI2","Ambrosia bidentata Michx.","lanceleaf ragweed"
"AMBL","Amaranthus blitoides S. Watson","mat amaranth"
"AMBL2","Amaranthus blitum L.","purple amaranth"
"AMBR2","Amphicarpaea bracteata (L.) Fernald","American hogpeanut"
"AMBRB","Amphicarpaea bracteata (L.) Fernald var. bracteata","American hogpeanut"
"AMBRC","Amphicarpaea bracteata (L.) Fernald var. comosa (L.) Fernald","American hogpeanut"
"AMBRO","Ambrosia L.","ragweed"
"AMBU","Ammoselinum butleri (Engelm. ex S. Watson) J.M. Coult. & Rose","Butler's sandparsley"
"AMCA2","Amaranthus cannabinus (L.) Sauer","tidalmarsh amaranth"
"AMCA6","Amorpha canescens Pursh","leadplant"
"AMCO","Ammannia coccinea Rottb.","valley redstem"
"AMCO2","Ampelopsis cordata Michx.","heartleaf peppervine"
"AMDE","Amaranthus deflexus L.","largefruit amaranth"
"AMDR","Amphiachyris dracunculoides (DC.) Nutt.","prairie broomweed"
"AMELA","Amelanchier Medik.","serviceberry"
"AMFR","Amorpha fruticosa L.","desert false indigo"
"AMGR2","Amaranthus greggii S. Watson","Gregg's amaranth"
"AMHY","Amaranthus hybridus L.","slim amaranth"
"AMIAN","Amianthium A. Gray","amianthium"
"AMLA2","Amorpha laevigata Nutt.","smooth false indigo"
"AMLA3","Ammannia latifolia L.","pink redstem"
"AMLU2","Amsonia ludoviciana Vail","Louisiana bluestar"
"AMMA","Ammi majus L.","large bullwort"
"AMMAN","Ammannia L.","redstem"
"AMMI4","Ammi L.","ammi"
"AMMOS","Ammoselinum Torr. & A. Gray","sandparsley"
"AMMU","Amianthium muscitoxicum (Walter) A. Gray","flypoison"
"AMNI","Amorpha nitens Boynt.","shining false indigo"
"AMORP","Amorpha L.","false indigo"
"AMPA","Amaranthus palmeri S. Watson","carelessweed"
"AMPA4","Amorpha paniculata Torr. & A. Gray","panicled false indigo"
"AMPEL3","Ampelopsis Michx.","peppervine"
"AMPHI4","Amphicarpaea Elliot ex Nutt.","hogpeanut"
"AMPHI8","Amphiachyris (A. DC.) Nutt.","broomweed"
"AMPHI9","Amphibromus Nees","wallaby grass"
"AMPO2","Amaranthus powellii S. Watson","Powell's amaranth"
"AMPOP","Amaranthus powellii S. Watson ssp. powellii","Powell's amaranth"
"AMPS","Ambrosia psilostachya DC.","Cuman ragweed"
"AMRE","Amaranthus retroflexus L.","redroot amaranth"
"AMRE3","Amsonia repens Shinners","creeping bluestar"
"AMRI","Amsonia rigida Shuttlw. ex Small","stiff bluestar"
"AMRO3","Ammannia robusta Heer & Regel","grand redstem"
"AMSC4","Amphibromus scabrivalvis (Trin.) Swallen","swamp wallaby grass"
"AMSON","Amsonia Walter","bluestar"
"AMSP","Amaranthus spinosus L.","spiny amaranth"
"AMTA2","Amsonia tabernaemontana Walter","eastern bluestar"
"AMTAS","Amsonia tabernaemontana Walter var. salicifolia (Pursh) Woodson","eastern bluestar"
"AMTAT","Amsonia tabernaemontana Walter var. tabernaemontana","eastern bluestar"
"AMTE5","Ambrosia tenuifolia Spreng.","slimleaf burr ragweed"
"AMTR","Ambrosia trifida L.","great ragweed"
"AMTR2","Amaranthus tricolor L.","Joseph's-coat"
"AMTRT","Ambrosia trifida L. var. texana Scheele","Texan great ragweed"
"AMTRT2","Ambrosia trifida L. var. trifida","great ragweed"
"AMTU","Amaranthus tuberculatus (Moq.) Sauer","roughfruit amaranth"
"AMVI","Amaranthus viridis L.","slender amaranth"
"ANAGA","Anagallis L.","pimpernel"
"ANAR","Anagallis arvensis L.","scarlet pimpernel"
"ANAR6","Anthemis arvensis L.","corn chamomile"
"ANAR7","Anthoxanthum aristatum Boiss.","annual vernalgrass"
"ANARA7","Anagallis arvensis L. ssp. arvensis","scarlet pimpernel"
"ANARF","Anagallis arvensis L. ssp. foemina (Mill.) Schinz & Thell.","poorman's weatherglass"
"ANBE","Anemone berlandieri Pritz.","tenpetal thimbleweed"
"ANCA14","Anthriscus caucalis M. Bieb.","burr chervil"
"ANCA4","Andropogon capillipes Nash","chalky bluestem"
"ANCA9","Anemone caroliniana Walter","Carolina anemone"
"ANCO2","Anthemis cotula L.","stinking chamomile"
"ANCO6","Anredera cordifolia (Ten.) Steenis","heartleaf madeiravine"
"ANCR2","Anoda cristata (L.) Schltdl.","crested anoda"
"ANDRO2","Andropogon L.","bluestem"
"ANEMO","Anemone L.","anemone"
"ANETH","Anethum L.","dill"
"ANGE","Andropogon gerardii Vitman","big bluestem"
"ANGEL","Angelica L.","angelica"
"ANGL10","Andropogon glaucopsis Elliot","purple bluestem"
"ANGL2","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","bushy bluestem"
"ANGLG2","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. glomeratus","bushy bluestem"
"ANGLH","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. hirsutior (Hack.) C. Mohr","bushy bluestem"
"ANGLP","Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. pumilus Vasey ex L.H. Dewey","bushy bluestem"
"ANGR2","Anethum graveolens L.","dill"
"ANGY2","Andropogon gyrans Ashe","Elliott's bluestem"
"ANGYG","Andropogon gyrans Ashe var. gyrans","Elliott's bluestem"
"ANGYS","Andropogon gyrans Ashe var. stenophyllus (Hack.) C.S. Campbell","Elliott's bluestem"
"ANLE4","Antigonon leptopus Hook. & Arn.","coral vine"
"ANMA3","Antirrhinum majus L.","garden snapdragon"
"ANMI4","Anagallis minima (L.) Krause","chaffweed"
"ANMO3","Andropogon mohrii (Hack.) Hack. ex Vasey","Mohr's bluestem"
"ANOD","Anthoxanthum odoratum L.","sweet vernalgrass"
"ANODA","Anoda Cav.","anoda"
"ANODO2","Anthoxanthum odoratum L. ssp. odoratum","sweet vernalgrass"
"ANPA9","Antennaria parlinii Fernald","Parlin's pussytoes"
"ANPAF","Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins","Parlin's pussytoes"
"ANPL","Antennaria plantaginifolia (L.) Richardson","woman's tobacco"
"ANRED","Anredera Juss.","madieravine"
"ANRU","Anthaenantia rufa (Nutt.) Schult.","purple silkyscale"
"ANSO","Antennaria solitaria Rydb.","singlehead pussytoes"
"ANTE2","Andropogon ternarius Michx.","splitbeard bluestem"
"ANTEN","Antennaria Gaertn.","pussytoes"
"ANTET","Andropogon ternarius Michx. var. ternarius","splitbeard bluestem"
"ANTHA","Anthaenantia P. Beauv.","silkyscale"
"ANTHE","Anthemis L.","chamomile"
"ANTHO","Anthoxanthum L.","vernalgrass"
"ANTHR","Anthriscus Pers.","chervil"
"ANTIG","Antigonon Endl.","antigonon"
"ANTIR2","Antirrhinum L.","snapdragon"
"ANVE","Angelica venenosa (Greenway) Fernald","hairy angelica"
"ANVI2","Andropogon virginicus L.","broomsedge bluestem"
"ANVI3","Anemone virginiana L.","tall thimbleweed"
"ANVI4","Anthaenantia villosa (Michx.) P. Beauv.","green silkyscale"
"ANVIV","Andropogon virginicus L. var. virginicus","broomsedge bluestem"
"ANVIV2","Anemone virginiana L. var. virginiana","tall thimbleweed"
"APAM","Apios americana Medik.","groundnut"
"APAP","Apteria aphylla (Nutt.) Barnhart ex Small","nodding nixie"
"APCA","Apocynum cannabinum L.","Indianhemp"
"APGR2","Apium graveolens L.","wild celery"
"APGRD","Apium graveolens L. var. dulce (Mill.) DC.","wild celery"
"APHAN3","Aphanostephus DC.","dozedaisy"
"APHAN4","Aphanes L.","parsley piert"
"APIOS","Apios Fabr.","groundnut"
"APIUM","Apium L.","celery"
"APMI","Aphanes microcarpa (Boiss. & Reut.) Rothm.","slender parsley piert"
"APOCY","Apocynum L.","dogbane"
"APSK","Aphanostephus skirrhobasis (DC.) Trel.","Arkansas dozedaisy"
"APSKS","Aphanostephus skirrhobasis (DC.) Trel. var. skirrhobasis","Arkansas dozedaisy"
"APSKT","Aphanostephus skirrhobasis (DC.) Trel. var. thalassius Shinners","Arkansas dozedaisy"
"APTER","Apteria Nutt.","apteria"
"ARABI","Arabidopsis Heynh.","rockcress"
"ARABI2","Arabis L.","rockcress"
"ARACH","Arachis L.","peanut"
"ARAL3","Argemone albiflora Hornem.","bluestem pricklypoppy"
"ARALA2","Argemone albiflora Hornem. ssp. albiflora","bluestem pricklypoppy"
"ARALI","Aralia L.","spikenard"
"ARALT","Argemone albiflora Hornem. ssp. texana G.B. Ownbey","bluestem pricklypoppy"
"ARAN3","Artemisia annua L.","sweet sagewort"
"ARAT","Arnoglossum atriplicifolium (L.) H. Rob.","pale Indian plaintain"
"ARBE","Arenaria benthamii Fenzl ex Torr. & A. Gray","hilly sandwort"
"ARCA","Arabis canadensis L.","sicklepod"
"ARCR80","Ardisia crenata Sims","hen's eyes"
"ARCTI","Arctium L.","burdock"
"ARDE3","Aristida desmantha Trin. & Rupr.","curly threeawn"
"ARDI4","Aristida dichotoma Michx.","churchmouse threeawn"
"ARDID","Aristida dichotoma Michx. var. dichotoma","churchmouse threeawn"
"ARDIS","Ardisia Sw.","marlberry"
"ARDO4","Arundo donax L.","giant reed"
"ARDR3","Arisaema dracontium (L.) Schott","green dragon"
"AREL3","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl","tall oatgrass"
"ARELE","Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl var. elatius","tall oatgrass"
"ARENA","Arenaria L.","sandwort"
"ARGEM","Argemone L.","pricklypoppy"
"ARGI","Arundinaria gigantea (Walter) Muhl.","giant cane"
"ARGIG","Arundinaria gigantea (Walter) Muhl. ssp. gigantea","giant cane"
"ARGIT8","Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure","switchcane"
"ARHI3","Arthraxon hispidus (Thunb.) Makino","small carpgrass"
"ARHY","Arachis hypogaea L.","peanut"
"ARISA","Arisaema Mart.","Jack in the pulpit"
"ARIST","Aristida L.","threeawn"
"ARIST2","Aristolochia L.","dutchman's pipe"
"ARLA4","Arenaria lanuginosa (Michx.) Rohrb.","spreading sandwort"
"ARLA6","Aristida lanosa Muhl. ex Elliot","woollysheath threeawn"
"ARLAL2","Arenaria lanuginosa (Michx.) Rohrb. ssp. lanuginosa","spreading sandwort"
"ARLAL3","Arenaria lanuginosa (Michx.) Rohrb. ssp. lanuginosa var. lanuginosa","spreading sandwort"
"ARLO16","Aristida longespica Poir.","slimspike threeawn"
"ARLOG6","Aristida longespica Poir. var. geniculata (Raf.) Fernald","slimspike threeawn"
"ARLOL3","Aristida longespica Poir. var. longespica","slimspike threeawn"
"ARLU","Artemisia ludoviciana Nutt.","white sagebrush"
"ARLUL2","Artemisia ludoviciana Nutt. ssp. ludoviciana","white sagebrush"
"ARME4","Argemone mexicana L.","Mexican pricklypoppy"
"ARMI2","Arctium minus Bernh.","lesser burdock"
"ARMOR","Armoracia G. Gaertn., B. Mey. & Scherb.","armoracia"
"ARNOG","Arnoglossum Raf.","Indian plaintain"
"AROL","Aristida oligantha Michx.","prairie threeawn"
"AROV","Arnoglossum ovatum (Walter) H. Rob.","ovateleaf cacalia"
"ARPA26","Aristida palustris (Chapm.) Vasey","longleaf threeawn"
"ARPL4","Arnoglossum plantagineum Raf.","groovestem Indian plaintain"
"ARPU8","Aristida purpurascens Poir.","arrowfeather threeawn"
"ARPU9","Aristida purpurea Nutt.","purple threeawn"
