
  Program ces (A Construction Engineering Survey format)	(11/26/91) 			 Tue Aug 24 10:37:16 2004
  Site coordinates for beamline:  input_ces_v2
  NOTES: Coordinates are given for the entrance of the device in DUSAF coordinate system.
         Site +x-axis (EAST); site +y-axis (NORTH);  Site z-axis (ELEVATION)
         Positive bearing is ccw wrt site EAST.
         Pitch is the vertical angle about the x-y plane. 

 line  location  typ_code        distance           x              y             z            brng       pitch        yaw    
 0073  MICR_D    DRIFT             95.73416   101251.88336   97292.88530     718.75900   151.70948     0.41539     0.00000
 0074  Q12_UP    DRIFT             96.03623   101251.61735   97293.02845     718.76119   151.70948     0.41539     0.00000
 0075  HQD103    3Q120/2           96.60916   101251.11288   97293.29997     718.76533   151.70948     0.41539     0.00000
 0076  HQD103    3Q120/2          101.60915   101246.71024   97295.66961     718.80158   151.70948     0.41539     0.00000
 0077  Q12_DN    DRIFT            106.60914   101242.30755   97298.03923     718.83780   151.70948     0.41539     0.00000
 0078  BPM_UP    DRIFT            107.03620   101241.93151   97298.24162     718.84089   151.70948     0.41539     0.00000
 0079  VP103     BPM              107.31120   101241.68935   97298.37197     718.84289   151.70948     0.41539     0.00000
 0080  BPM_DN    DRIFT            107.84453   101241.21973   97298.62473     718.84676   151.70948     0.41539     0.00000
 0081  PUMP      PUMP             107.95287   101241.12435   97298.67607     718.84755   151.70948     0.41539     0.00000
 0082  EPB_UP    DRIFT            108.28620   101240.83082   97298.83404     718.84994   151.70948     0.41539     0.00000
 0083  HV01_6    EPB              108.83830   101240.34470   97299.09569     718.85394   151.95815     0.19939   -40.90059
 0084  EPB_DN    DRIFT            118.83831   101231.51873   97303.79680     718.88875   152.20681    -0.01662     0.00000
 0085  DRC0      drift            119.28624   101231.12247   97304.00565     718.88862   152.20681    -0.01662     0.00000
 0086  DRMTDX    drift            121.70743   101228.98061   97305.13462     718.88793   152.20681    -0.01662     0.00000
 0087  BPM_UP    DRIFT            132.30456   101219.60599   97310.07585     718.88488   152.20681    -0.01662     0.00000
 0088  HP104     BPM              132.57956   101219.36272   97310.20407     718.88478   152.20681    -0.01662     0.00000
 0089  BPM_DN    DRIFT            133.11289   101218.89090   97310.45275     718.88462   152.20681    -0.01662     0.00000
 0090  Q12_UP    DRIFT            133.22122   101218.79507   97310.50328     718.88462   152.20681    -0.01662     0.00000
 0091  HQF104    3Q60/2           133.79415   101218.28825   97310.77040     718.88445   152.20681    -0.01662     0.00000
 0092  HQF104    3Q60/2           136.29415   101216.07667   97311.93612     718.88373   152.20681    -0.01662     0.00000
 0093  Q12_DN    DRIFT            138.79414   101213.86509   97313.10180     718.88301   152.20681    -0.01662     0.00000
 0094  DR104D    drift            139.22121   101213.48727   97313.30094     718.88288   152.20681    -0.01662     0.00000
 0095  SYTR_U    DRIFT            140.91911   101211.98524   97314.09264     718.88239   152.20681    -0.01662     0.00000
 0096  H104      SYTRIM           141.56494   101211.41392   97314.39379     718.88219   152.20681    -0.01662     0.00000
 0097  SYTR_D    DRIFT            144.48163   101208.83370   97315.75376     718.88137   152.20681    -0.01662     0.00000
 0098  BPM_UP    DRIFT            144.93997   101208.42826   97315.96747     718.88124   152.20681    -0.01662     0.00000
 0099  HP105     BPM              145.21497   101208.18498   97316.09572     718.88114   152.20681    -0.01662     0.00000
 0100  BPM_DN    DRIFT            145.74830   101207.71317   97316.34441     718.88101   152.20681    -0.01662     0.00000
 0101  SFOUR_    adapter          145.85663   101207.61734   97316.39490     718.88098   152.20681    -0.01662     0.00000
 0102  PM105     MUWIRE           146.00246   101207.48833   97316.46291     718.88091   152.20681    -0.01662     0.00000
 0103  SFOUR_    adapter          147.33579   101206.30881   97317.08460     718.88055   152.20681    -0.01662     0.00000
 0104  Q12_UP    DRIFT            147.48163   101206.17981   97317.15261     718.88048   152.20681    -0.01662     0.00000
 0105  HQF105    3Q120/2          148.05453   101205.67298   97317.41977     718.88032   152.20681    -0.01662     0.00000
 0106  HQF105    3Q120/2          153.05452   101201.24980   97319.75116     718.87888   152.20681    -0.01662     0.00000
 0107  Q12_DN    DRIFT            158.05451   101196.82664   97322.08255     718.87743   152.20681    -0.01662     0.00000
 0108  MICR_U    DRIFT            158.48161   101196.44882   97322.28170     718.87734   152.20681    -0.01662     0.00000
 0109  HT105     MIHC             158.97117   101196.01572   97322.50998     718.87717   152.20681    -0.01662     0.00000
 0110  MICR_D    DRIFT            159.97117   101195.13107   97322.97625     718.87691   152.20681    -0.01662     0.00000
 0111  DRMTU1    drift            160.27327   101194.86385   97323.11710     718.87681   152.20681    -0.01662     0.00000
 0112  DRMTD     drift            182.05597   101175.59407   97333.27397     718.87054   152.20681    -0.01662     0.00000
 0113  BPM_UP    DRIFT            203.11140   101156.96767   97343.09170     718.86447   152.20681    -0.01662     0.00000
 0114  VP106     BPM              203.38640   101156.72439   97343.21995     718.86438   152.20681    -0.01662     0.00000
 0115  BPM_DN    DRIFT            203.91974   101156.25258   97343.46860     718.86424   152.20681    -0.01662     0.00000
 0116  Q12_UP    DRIFT            204.02807   101156.15674   97343.51912     718.86421   152.20681    -0.01662     0.00000
 0117  HQD106    3Q120/2          204.60097   101155.64992   97343.78628     718.86405   152.20681    -0.01662     0.00000
 0118  HQD106    3Q120/2          209.60096   101151.22673   97346.11768     718.86260   152.20681    -0.01662     0.00000
 0119  Q12_DN    DRIFT            214.60098   101146.80358   97348.44907     718.86116   152.20681    -0.01662     0.00000
 0120  MICR_U    DRIFT            215.02805   101146.42576   97348.64822     718.86103   152.20681    -0.01662     0.00000
 0121  VT106     MIHC-R           215.51761   101145.99266   97348.87650     718.86090   152.20681    -0.01662     0.00000
 0122  MICR_D    DRIFT            216.51761   101145.10801   97349.34277     718.86060   152.20681    -0.01662     0.00000
 0123  DRMTU     drift            216.81971   101144.84079   97349.48361     718.86050   152.20681    -0.01662     0.00000
 0124  DRMTD1    drift            237.27098   101126.74883   97359.01965     718.85463   152.20681    -0.01662     0.00000
 0125  BPM_UP    DRIFT            258.03479   101108.38043   97368.70142     718.84866   152.20681    -0.01662     0.00000
 0126  HP107     BPM              258.30979   101108.13715   97368.82964     718.84856   152.20681    -0.01662     0.00000
 0127  BPM_DN    DRIFT            258.84312   101107.66534   97369.07833     718.84840   152.20681    -0.01662     0.00000
 0128  SFOUR_    adapter          258.95145   101107.56950   97369.12882     718.84840   152.20681    -0.01662     0.00000
 0129  PM107     MUWIRE           259.09728   101107.44050   97369.19683     718.84833   152.20681    -0.01662     0.00000
 0130  SFOUR_    adapter          260.43061   101106.26098   97369.81855     718.84797   152.20681    -0.01662     0.00000
 0131  Q12_UP    DRIFT            260.57645   101106.13197   97369.88653     718.84791   152.20681    -0.01662     0.00000
 0132  HQF107    3Q120/2          261.14935   101105.62515   97370.15368     718.84774   152.20681    -0.01662     0.00000
 0133  HQF107    3Q120/2          266.14934   101101.20196   97372.48508     718.84630   152.20681    -0.01662     0.00000
 0134  Q12_DN    DRIFT            271.14933   101096.77881   97374.81647     718.84485   152.20681    -0.01662     0.00000
 0135  MICR_U    DRIFT            271.57643   101096.40099   97375.01562     718.84476   152.20681    -0.01662     0.00000
 0136  HT107     MIHC             272.06599   101095.96789   97375.24390     718.84459   152.20681    -0.01662     0.00000
 0137  MICR_D    DRIFT            273.06599   101095.08324   97375.71017     718.84433   152.20681    -0.01662     0.00000
 0138  DRMTU2    drift            273.36809   101094.81602   97375.85105     718.84423   152.20681    -0.01662     0.00000
 0139  DRMTDM    drift            294.35066   101076.25405   97385.63479     718.83819   152.20681    -0.01662     0.00000
 0140  MICR_U    DRIFT            312.87441   101059.86724   97394.27207     718.83285   152.20681    -0.01662     0.00000
 0141  VT108     MIHC-R           313.36401   101059.43413   97394.50035     718.83272   152.20681    -0.01662     0.00000
 0142  MICR_D    DRIFT            314.36400   101058.54952   97394.96663     718.83242   152.20681    -0.01662     0.00000
 0143  BPM_UP    DRIFT            314.66607   101058.28227   97395.10751     718.83232   152.20681    -0.01662     0.00000
 0144  VP108     BPM              314.94107   101058.03899   97395.23572     718.83226   152.20681    -0.01662     0.00000
 0145  BPM_DN    DRIFT            315.47440   101057.56721   97395.48441     718.83209   152.20681    -0.01662     0.00000
 0146  SFOUR_    adapter          315.58273   101057.47138   97395.53490     718.83206   152.20681    -0.01662     0.00000
 0147  PM108     MUWIRE           315.72857   101057.34234   97395.60291     718.83203   152.20681    -0.01662     0.00000
 0148  SFOUR_    adapter          317.06190   101056.16285   97396.22463     718.83163   152.20681    -0.01662     0.00000
 0149  Q12_UP    DRIFT            317.20773   101056.03385   97396.29261     718.83160   152.20681    -0.01662     0.00000
 0150  HQD108    3Q120/2          317.78066   101055.52702   97396.55977     718.83144   152.20681    -0.01662     0.00000
 0151  HQD108    3Q120/2          322.78065   101051.10384   97398.89116     718.82999   152.20681    -0.01662     0.00000
 0152  Q12_DN    DRIFT            327.78064   101046.68065   97401.22255     718.82855   152.20681    -0.01662     0.00000
 0153  SMIDGE    drift            328.20771   101046.30283   97401.42170     718.82842   152.20681    -0.01662     0.00000
 0154  FOUR_6    adapter          329.34951   101045.29279   97401.95408     718.82809   152.20681    -0.01662     0.00000
 0155  B2_UPS    DRIFT            329.51617   101045.14535   97402.03180     718.82806   152.20681    -0.01662     0.00000
 0156  V108_1    B2               330.13074   101044.60168   97402.31835     718.82786   152.20681    -0.76089   -90.00021
 0157  B2_DNS    DRIFT            350.04792   101026.98423   97411.60429     718.56336   152.20681    -1.50516     0.00000
 0158  B2_UPS    DRIFT            350.60002   101026.49601   97411.86161     718.54886   152.20681    -1.50516     0.00000
 0159  V108_2    B2               351.21459   101025.95251   97412.14809     718.53272   152.20681    -2.24972   -90.00021
 0160  B2_DNS    DRIFT            371.13177   101008.34713   97421.42766     717.75083   152.20681    -2.99428     0.00000
 0161  FOUR_6    adapter          371.68387   101007.85940   97421.68475     717.72199   152.20681    -2.99428     0.00000
 0162  MICR_U    DRIFT            371.85054   101007.71216   97421.76234     717.71326   152.20681    -2.99428     0.00000
 0163  HT109     MIHC             372.34010   101007.27965   97421.99033     717.68771   152.20681    -2.99428     0.00000
 0164  MICR_D    DRIFT            373.34010   101006.39622   97422.45597     717.63547   152.20681    -2.99428     0.00000
 0165  Q12_UP    DRIFT            373.64220   101006.12935   97422.59662     717.61969   152.20681    -2.99428     0.00000
 0166  HQF109    3Q120/2          374.21510   101005.62322   97422.86339     717.58974   152.20681    -2.99428     0.00000
 0167  HQF109    3Q120/2          379.21509   101001.20607   97425.19163     717.32855   152.20681    -2.99428     0.00000
 0168  Q12_DN    DRIFT            384.21508   100996.78895   97427.51984     717.06737   152.20681    -2.99428     0.00000
 0169  H109UP    drift            384.64218   100996.41166   97427.71869     717.04506   152.20681    -2.99428     0.00000
 0170  HP109     BPM              385.04375   100996.05690   97427.90570     717.02409   152.20681    -2.99428     0.00000
 0171  FOUR_6    adapter          385.57708   100995.58574   97428.15403     716.99624   152.20681    -2.99428     0.00000
 0172  V183UP    drift            385.74375   100995.43849   97428.23165     716.98751   152.20681    -2.99428     0.00000
 0173  V108_3    B2               386.34007   100994.91166   97428.50931     716.95637   152.20681    -3.73884   -90.00021
 0174  B2_DNS    DRIFT            406.25729   100977.33020   97437.77629     715.65762   152.20681    -4.48339     0.00000
 0175  B2_UPS    DRIFT            406.80936   100976.84329   97438.03295     715.61448   152.20681    -4.48339     0.00000
 0176  V108_4    B2               407.42392   100976.30126   97438.31864     715.56642   152.20681    -5.22795   -90.00021
 0177  B2_DNS    DRIFT            427.34114   100958.75556   97447.56672     713.75172   152.20681    -5.97251     0.00000
 0178  FOUR_6    adapter          427.89321   100958.26984   97447.82275     713.69427   152.20681    -5.97251     0.00000
 0179  MICR_U    DRIFT            428.05987   100958.12318   97447.90005     713.67692   152.20681    -5.97251     0.00000
 0180  VT110     MIHC-R           428.54947   100957.69244   97448.12708     713.62600   152.20681    -5.97251     0.00000
 0181  MICR_D    DRIFT            429.54947   100956.81262   97448.59083     713.52193   152.20681    -5.97251     0.00000
 0182  Q60_UP    DRIFT            429.85154   100956.54684   97448.73092     713.49050   152.20681    -5.97251     0.00000
 0183  HQD110    3Q60/2           430.30987   100956.14356   97448.94349     713.44283   152.20681    -5.97251     0.00000
 0184  HQD110    3Q60/2           432.80986   100953.94399   97450.10287     713.18269   152.20681    -5.97251     0.00000
 0185  Q60_DN    DRIFT            435.30986   100951.74439   97451.26225     712.92259   152.20681    -5.97251     0.00000
 0186  V110UP    drift            435.85152   100951.26781   97451.51343     712.86623   152.20681    -5.97251     0.00000
 0187  VP110     BPM              436.17961   100950.97917   97451.66559     712.83210   152.20681    -5.97251     0.00000
 0188  V110DN    drift            436.71294   100950.50991   97451.91290     712.77659   152.20681    -5.97251     0.00000
 0189  FOUR_6    adapter          436.76819   100950.46132   97451.93853     712.77085   152.20681    -5.97251     0.00000
 0190  B2_UPS    DRIFT            436.93485   100950.31467   97452.01582     712.75350   152.20681    -5.97251     0.00000
 0191  V108_5    B2               437.54945   100949.77395   97452.30083     712.68955   152.20681    -6.71678   -90.00021
 0192  B2_DNS    DRIFT            457.46664   100932.27589   97461.52384     710.36010   152.20681    -7.46106     0.00000
 0193  B2_UPS    DRIFT            458.01870   100931.79164   97461.77909     710.28841   152.20681    -7.46106     0.00000
 0194  V108_6    B2               458.63330   100931.25253   97462.06321     710.20862   152.20681    -8.20562   -90.00021
 0195  B2_DNS    DRIFT            478.55049   100913.81395   97471.25489     707.36597   152.20681    -8.95017     0.00000
 0196  FOUR_6    adapter          479.10255   100913.33151   97471.50919     707.28008   152.20681    -8.95017     0.00000
 0197  DV1T0     drift            479.26922   100913.18587   97471.58593     707.25413   152.20681    -8.95017     0.00000
 0198  P111UP    drift            479.43756   100913.03876   97471.66349     707.22795   152.20681    -8.95017     0.00000
 0199  CT111T    CALTGT           479.72460   100912.78794   97471.79567     707.18330   152.20681    -8.95017     0.00000
 0200  P111DN    drift            481.05793   100911.62278   97472.40981     706.97588   152.20681    -8.95017     0.00000
 0201  DV2T0A    drift            481.06255   100911.61875   97472.41194     706.97516   152.20681    -8.95017     0.00000
 0202  STUB_E    POINT            482.25412   100910.57748   97472.96080     706.78976   152.20681    -8.95017     0.00000
 0203  DV2T0B    drift            482.25412   100910.57748   97472.96080     706.78976   152.20681    -8.95017     0.00000
 0204  MICR_U    DRIFT            484.94988   100908.22174   97474.20246     706.37037   152.20681    -8.95017     0.00000
 0205  VT111     MIH-OR           485.43945   100907.79392   97474.42798     706.29422   152.20681    -8.95017     0.00000
 0206  MICR_D    DRIFT            486.43945   100906.92004   97474.88858     706.13865   152.20681    -8.95017     0.00000
 0207  Q12_UP    DRIFT            486.74155   100906.65606   97475.02772     706.09163   152.20681    -8.95017     0.00000
 0208  HQD111    3Q120/2          487.31445   100906.15541   97475.29160     706.00252   152.20681    -8.95017     0.00000
 0209  HQD111    3Q120/2          492.31444   100901.78609   97477.59461     705.22464   152.20681    -8.95017     0.00000
 0210  Q12_DN    DRIFT            497.31443   100897.41677   97479.89763     704.44675   152.20681    -8.95017     0.00000
 0211  V111UP    drift            497.74152   100897.04355   97480.09434     704.38032   152.20681    -8.95017     0.00000
 0212  VP111     BPM              498.15822   100896.67941   97480.28627     704.31549   152.20681    -8.95017     0.00000
 0213  DV2TA     drift            498.69156   100896.21336   97480.53194     704.23252   152.20681    -8.95017     0.00000
 0214  MICR_U    DRIFT            499.64241   100895.38243   97480.96990     704.08458   152.20681    -8.95017     0.00000
 0215  HT112     MIHC-O           500.13200   100894.95461   97481.19539     704.00843   152.20681    -8.95017     0.00000
 0216  MICR_D    DRIFT            501.13200   100894.08072   97481.65602     703.85286   152.20681    -8.95017     0.00000
 0217  Q12_UP    DRIFT            501.43407   100893.81675   97481.79516     703.80584   152.20681    -8.95017     0.00000
 0218  HQF112    3Q120/2          502.00700   100893.31609   97482.05904     703.71674   152.20681    -8.95017     0.00000
 0219  HQF112    3Q120/2          507.00699   100888.94678   97484.36205     702.93885   152.20681    -8.95017     0.00000
 0220  Q12_DN    DRIFT            512.00698   100884.57746   97486.66507     702.16096   152.20681    -8.95017     0.00000
 0221  H112UP    drift            512.43405   100884.20424   97486.86178     702.09453   152.20681    -8.95017     0.00000
 0222  HP112     BPM              512.87732   100883.81690   97487.06595     702.02556   152.20681    -8.95017     0.00000
 0223  PM112U    drift            513.41069   100883.35082   97487.31159     701.94259   152.20681    -8.95017     0.00000
 0224  PM112     MUWIRE           513.53362   100883.24338   97487.36825     701.92346   152.20681    -8.95017     0.00000
 0225  C_P_MK    POINT            514.51351   100882.38711   97487.81956     701.77104   152.20681    -8.95017     0.00000
 0226  PM112B    MUWIRE           514.51351   100882.38711   97487.81956     701.77104   152.20681    -8.95017     0.00000
 0227  PM112D    drift            514.86695   100882.07822   97487.98239     701.71602   152.20681    -8.95017     0.00000
 0228  DHALFX    drift            514.97574   100881.98318   97488.03248     701.69912   152.20681    -8.95017     0.00000
 0229  DHALFX    drift            524.51739   100873.64507   97492.42739     700.21468   152.20681    -8.95017     0.00000
 0230  DHALFX    drift            535.64237   100863.92334   97497.55159     698.48390   152.20681    -8.95017     0.00000
 0231  DHALFX    drift            546.76734   100854.20157   97502.67579     696.75313   152.20681    -8.95017     0.00000
 0232  DHALFX    drift            557.89232   100844.47984   97507.80000     695.02236   152.20681    -8.95017     0.00000
 0233  DHALFX    drift            569.01730   100834.75811   97512.92420     693.29159   152.20681    -8.95017     0.00000
 0234  DHALFX    drift            580.14228   100825.03637   97518.04840     691.56082   152.20681    -8.95017     0.00000
 0235  DHALFX    drift            591.26726   100815.31464   97523.17260     689.83008   152.20681    -8.95017     0.00000
 0236  DHALFX    drift            602.39223   100805.59291   97528.29681     688.09931   152.20681    -8.95017     0.00000
 0237  DHALFX    drift            613.51721   100795.87118   97533.42101     686.36854   152.20681    -8.95017     0.00000
 0238  DHALFX    drift            624.64219   100786.14944   97538.54521     684.63777   152.20681    -8.95017     0.00000
 0239  DHALFX    drift            635.76717   100776.42771   97543.66941     682.90700   152.20681    -8.95017     0.00000
 0240  DHALFX    drift            646.89214   100766.70598   97548.79362     681.17623   152.20681    -8.95017     0.00000
 0241  DHALFX    drift            658.01712   100756.98425   97553.91782     679.44546   152.20681    -8.95017     0.00000
 0242  DHALFX    drift            669.14210   100747.26251   97559.04199     677.71469   152.20681    -8.95017     0.00000
 0243  DHALFX    drift            680.26708   100737.54075   97564.16619     675.98392   152.20681    -8.95017     0.00000
 0244  DHALFX    drift            691.39206   100727.81902   97569.29039     674.25318   152.20681    -8.95017     0.00000
 0245  DHALFX    drift            702.51703   100718.09728   97574.41459     672.52241   152.20681    -8.95017     0.00000
 0246  DHALFX    drift            713.64201   100708.37555   97579.53880     670.79164   152.20681    -8.95017     0.00000
 0247  DHALFX    drift            724.76699   100698.65382   97584.66300     669.06087   152.20681    -8.95017     0.00000
 0248  BPM_UP    DRIFT            736.01693   100688.82287   97589.84478     667.31064   152.20681    -8.95017     0.00000
 0249  VP113     BPM              736.29193   100688.58255   97589.97145     667.26786   152.20681    -8.95017     0.00000
 0250  BPM_DN    DRIFT            736.82527   100688.11650   97590.21709     667.18489   152.20681    -8.95017     0.00000
 0251  Q12_UP    DRIFT            736.93360   100688.02182   97590.26699     667.16806   152.20681    -8.95017     0.00000
 0252  HQD113    3Q120/2          737.50653   100687.52116   97590.53090     667.07892   152.20681    -8.95017     0.00000
 0253  HQD113    3Q120/2          742.50652   100683.15185   97592.83388     666.30103   152.20681    -8.95017     0.00000
 0254  Q12_DN    DRIFT            747.50651   100678.78253   97595.13690     665.52318   152.20681    -8.95017     0.00000
 0255  MICR_U    DRIFT            747.93358   100678.40931   97595.33361     665.45671   152.20681    -8.95017     0.00000
