-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
wlsn        49718.000    1995     1     1     0
wlsn        52274.750    2001    12    31    18
wlsn     -2483640.617 -4660073.111  3568172.089
49728.75     0.074434     0.109799     1.599172
49729.00     0.147206    -0.015113     2.439695
49729.25    -0.265768     0.112490     1.702117
49729.50    -0.259055    -0.176591     2.103007
49729.75    -0.386629     0.190409     0.560814
49730.00    -0.505002     0.053484     1.141152
49730.25    -0.810829     0.173362     0.177668
49730.50    -0.881428    -0.066636     0.493744
49730.75    -1.100413     0.341565    -0.803269
49731.00    -1.165695     0.327870    -0.003664
49731.25    -1.557519     0.514266    -0.120434
49731.50    -1.606384     0.241688     0.945297
49731.75    -1.810788     0.506777     0.454077
49732.00    -1.911853     0.465296     1.747119
49732.25    -2.282673     0.517073     2.004456
49732.50    -2.185117     0.235020     2.735349
49732.75    -2.176560     0.507671     1.762910
49733.00    -2.125030     0.402725     2.707094
49733.25    -2.478139     0.496045     2.163765
49733.50    -2.399613     0.173264     2.739175
49733.75    -2.308832     0.477433     1.549633
49734.00    -2.198578     0.380856     2.347051
49734.25    -2.319161     0.465103     1.952276
49734.50    -2.062200     0.208169     2.380867
49734.75    -1.973472     0.595614     0.569645
49735.00    -1.897026     0.578027     1.359387
49735.25    -1.963794     0.779392     0.233509
49735.50    -1.925911     0.485372     0.540668
49735.75    -1.808123     0.797492    -1.102037
49736.00    -1.674677     0.630428    -0.195781
49736.25    -1.889008     0.646275    -0.550115
49736.50    -1.758770     0.227847     0.255512
49736.75    -1.863327     0.409107    -0.513634
49737.00    -2.054034     0.292408     0.410058
49737.25    -2.266449     0.322751     0.349326
49737.50    -2.212232    -0.019562     1.006621
49737.75    -2.251257     0.343786    -0.097934
49738.00    -2.146674     0.300946     0.714662
49738.25    -2.126442     0.332999     0.514096
49738.50    -1.932284     0.025078     1.017193
49738.75    -1.828188     0.363073    -0.259417
49739.00    -1.647524     0.353117     0.470125
49739.25    -1.773575     0.448627     0.151540
49739.50    -1.488691     0.218449     0.238191
49739.75    -1.327168     0.529852    -0.893252
49740.00    -1.103229     0.469968    -0.027579
49740.25    -1.277743     0.535350    -0.172450
49740.50    -1.084694     0.225284     0.548604
49740.75    -1.048662     0.491124    -0.447904
49741.00    -1.129774     0.327727     0.816459
49741.25    -1.334722     0.441641     0.432425
49741.50    -1.258620     0.155883     1.145048
49741.75    -1.411585     0.529628     0.002320
49742.00    -1.330958     0.515075     0.730843
49742.25    -1.520832     0.590328     0.907694
49742.50    -1.393424     0.259126     1.905209
49742.75    -1.570220     0.529536     1.049632
49743.00    -1.500559     0.449802     1.676296
49743.25    -1.687104     0.624056     0.644514
49743.50    -1.528493     0.379285     0.469345
49743.75    -1.476062     0.733438    -1.178433
49744.00    -1.286171     0.653968    -0.632175
49744.25    -1.599961     0.715955    -1.137252
49744.50    -1.471395     0.392768    -0.775380
49744.75    -1.435650     0.759314    -1.887662
49745.00    -1.338248     0.790876    -1.710598
49745.25    -1.465980     0.942686    -2.427142
49745.50    -1.074556     0.692858    -2.238417
49745.75    -0.987306     1.104437    -3.363432
49746.00    -0.837138     1.117596    -2.552225
49746.25    -0.939156     1.272260    -2.715868
49746.50    -0.735558     1.098385    -2.163189
49746.75    -0.640909     1.558048    -3.266594
49747.00    -0.499260     1.579206    -2.439985
49747.25    -0.748858     1.753026    -2.895963
49747.50    -0.698134     1.572102    -2.351591
49747.75    -0.795085     1.874870    -3.160911
49748.00    -0.772461     1.822668    -2.179302
49748.25    -1.105555     1.861050    -2.110361
49748.50    -1.115203     1.611811    -1.339423
49748.75    -1.082822     1.838367    -2.210154
49749.00    -0.963699     1.818931    -1.458070
49749.25    -1.066377     1.807286    -1.719829
49749.50    -0.937631     1.355898    -1.025676
49749.75    -0.787720     1.586806    -2.091887
49750.00    -0.608905     1.340678    -1.055260
49750.25    -0.561838     1.229288    -1.381554
49750.50    -0.415902     0.855879    -1.177347
49750.75    -0.363169     1.050058    -2.717989
49751.00    -0.205076     0.932234    -2.351438
49751.25    -0.306093     0.907413    -2.916772
49751.50    -0.049552     0.608720    -2.877962
49751.75     0.123732     0.910482    -4.172681
49752.00     0.356195     0.853195    -3.402509
49752.25     0.307037     0.788871    -3.654382
49752.50     0.631625     0.357569    -3.002282
49752.75     0.771306     0.515352    -3.627275
49753.00     0.915120     0.392461    -2.453263
49753.25     0.808681     0.448420    -2.335628
49753.50     1.276231     0.150455    -1.605134
49753.75     1.511760     0.494508    -2.682481
49754.00     1.672648     0.411757    -1.536818
49754.25     1.781641     0.405913    -1.525296
49754.50     1.999830    -0.032006    -0.627064
49754.75     2.061470     0.146441    -1.423967
49755.00     2.290510    -0.021255    -0.210948
49755.25     2.144118    -0.018421    -0.266100
49755.50     2.323876    -0.428922     0.444303
49755.75     2.200536    -0.108065    -0.493970
49756.00     2.157627    -0.143198     0.387786
49756.25     1.784755    -0.123344     0.258967
49756.50     1.966069    -0.444437     0.880360
49756.75     1.992723    -0.172524    -0.284706
49757.00     2.039279    -0.242883     0.508370
49757.25     1.904504    -0.218990     0.260963
49757.50     2.037198    -0.510201     0.674551
49757.75     1.979767    -0.185014    -0.822404
49758.00     1.966047    -0.272142     0.132631
49758.25     1.559604    -0.228714    -0.287844
49758.50     1.501910    -0.568881     0.512671
49758.75     1.218808    -0.250492    -0.443822
49759.00     1.049990    -0.326459     0.741947
49759.25     0.535209    -0.214304     0.606942
49759.50     0.382224    -0.427766     1.188761
49759.75     0.046207    -0.032288     0.101036
49760.00    -0.286353    -0.101111     1.382732
49760.25    -0.948255     0.057730     1.346919
49760.50    -1.117786    -0.180463     1.957534
49760.75    -1.377386     0.326128     0.910002
49761.00    -1.680158     0.289132     2.029435
49761.25    -1.952086     0.416588     1.950741
49761.50    -1.835861     0.103734     2.710164
49761.75    -1.854016     0.351622     1.838983
49762.00    -1.939329     0.199300     3.311912
49762.25    -1.993733     0.189052     3.500089
49762.50    -1.899094    -0.227117     4.733951
49762.75    -1.659917    -0.081772     4.074855
49763.00    -1.489580    -0.102369     4.745350
49763.25    -1.515710     0.023013     3.916568
49763.50    -1.255539    -0.204519     4.019979
49763.75    -0.945824     0.138907     2.249895
49764.00    -0.600143     0.193906     2.103604
49764.25    -0.574520     0.404872     0.618972
49764.50    -0.081503     0.151593     0.613644
49764.75     0.122787     0.666759    -1.398115
49765.00     0.214772     0.608351    -0.650920
49765.25     0.116950     0.680433    -0.974440
49765.50     0.359829     0.337169    -0.164265
49765.75     0.298156     0.623104    -1.643011
49766.00     0.318049     0.507789    -0.711225
49766.25    -0.000036     0.519407    -1.298502
49766.50    -0.034694     0.212402    -0.990815
49766.75    -0.217202     0.640615    -2.878068
49767.00    -0.120981     0.714970    -2.283670
49767.25    -0.279217     0.990418    -2.982970
49767.50    -0.149363     0.859105    -2.679766
49767.75    -0.077964     1.228892    -3.979755
49768.00    -0.149318     1.168989    -2.998136
49768.25    -0.549924     1.157491    -3.204727
49768.50    -0.429017     0.802192    -2.264170
49768.75    -0.256799     1.092607    -3.044533
49769.00    -0.138564     0.936388    -1.553656
49769.25    -0.238220     0.852706    -1.098650
49769.50    -0.215038     0.396730    -0.404610
49769.75    -0.245408     0.635948    -1.557888
49770.00    -0.154177     0.488476    -0.461039
49770.25    -0.317737     0.348421    -0.739693
49770.50    -0.289328    -0.023552    -0.167144
49770.75    -0.303277     0.173533    -1.418236
49771.00    -0.127797     0.127191    -0.770014
49771.25    -0.264961     0.187693    -1.543609
49771.50     0.019030    -0.070722    -1.225017
49771.75     0.320137     0.307441    -2.834713
49772.00     0.416432     0.311739    -2.045341
49772.25     0.274746     0.367198    -2.355235
49772.50     0.511133     0.030641    -1.579555
49772.75     0.655363     0.309426    -2.815889
49773.00     0.744906     0.138804    -1.233361
49773.25     0.628812    -0.015562    -0.928063
49773.50     0.826864    -0.411822    -0.081427
49773.75     0.683588    -0.147369    -1.435690
49774.00     0.683651    -0.256916    -0.348802
49774.25     0.517119    -0.254241    -0.615279
49774.50     0.484608    -0.607072    -0.198559
49774.75     0.417102    -0.232084    -1.893087
49775.00     0.373463    -0.371073    -0.780287
49775.25     0.027206    -0.335560    -1.290989
49775.50     0.217976    -0.644178    -0.964060
49775.75     0.295136    -0.281793    -2.462185
49776.00     0.256498    -0.356116    -1.602109
49776.25     0.088776    -0.274170    -2.063355
49776.50     0.313708    -0.604229    -1.286010
49776.75     0.197512    -0.236128    -2.653375
49777.00     0.105773    -0.280224    -1.320540
49777.25    -0.178042    -0.237340    -1.167773
49777.50    -0.257399    -0.534452    -0.184670
49777.75    -0.466059    -0.169688    -1.121246
49778.00    -0.600977    -0.161589     0.245744
49778.25    -0.971113    -0.067696     0.095000
49778.50    -1.028912    -0.268178     0.576646
49778.75    -1.049476     0.109565    -0.692478
49779.00    -0.976756     0.034695     0.271756
49779.25    -1.097594     0.077258    -0.097135
49779.50    -0.757878    -0.234401     0.515053
49779.75    -0.527306    -0.013905    -0.731942
49780.00    -0.418776    -0.185170     0.122542
49780.25    -0.735536    -0.253892    -0.016868
49780.50    -0.634199    -0.567998     0.338874
49780.75    -0.646984    -0.226989    -0.921632
49781.00    -0.732717    -0.262958     0.069634
49781.25    -0.952717    -0.246222     0.201147
49781.50    -0.831290    -0.559900     1.073749
49781.75    -0.747490    -0.361401     0.374759
49782.00    -0.613170    -0.515461     1.757519
49782.25    -0.761354    -0.596307     1.662222
49782.50    -0.635533    -0.969352     1.915112
49782.75    -0.527288    -0.460857    -0.486141
49783.00    -0.688215    -0.354126    -0.099826
49783.25    -1.164394    -0.088365    -1.106642
49783.50    -1.199069    -0.237599    -0.965963
49783.75    -1.289767     0.310513    -2.899128
49784.00    -1.367975     0.312149    -1.717567
49784.25    -1.663958     0.457573    -1.875364
49784.50    -1.643800     0.257932    -0.946681
49784.75    -1.762898     0.689618    -2.125269
49785.00    -1.540967     0.624940    -0.727579
49785.25    -1.822792     0.659064    -0.359843
49785.50    -1.867177     0.339370     0.849520
49785.75    -1.838515     0.664616     0.155334
49786.00    -1.877792     0.494656     1.628498
49786.25    -2.223402     0.588857     1.337303
49786.50    -2.289553     0.321131     2.435878
49786.75    -2.394585     0.644139     1.669908
49787.00    -2.450074     0.603357     3.062097
49787.25    -2.775525     0.548314     3.674400
49787.50    -2.562137     0.156238     4.784418
49787.75    -2.430821     0.396116     3.445719
49788.00    -2.121402     0.290850     4.036460
49788.25    -2.045648     0.385911     3.030344
49788.50    -1.728986     0.130392     2.915751
49788.75    -1.643519     0.542822     0.355371
49789.00    -1.702635     0.513458     0.380842
49789.25    -2.134220     0.725417    -1.178061
49789.50    -2.197231     0.553354    -1.343325
49789.75    -2.048202     0.899262    -3.146407
49790.00    -1.965479     0.844773    -2.619409
49790.25    -2.273433     1.036164    -3.626298
49790.50    -2.138234     0.682153    -3.007488
49790.75    -1.937333     1.007971    -4.365890
49791.00    -1.468549     0.869591    -2.979412
49791.25    -1.347448     0.844929    -2.857679
49791.50    -0.938159     0.400303    -1.857411
49791.75    -0.606167     0.603620    -2.899863
49792.00    -0.250959     0.337099    -1.523389
49792.25    -0.407986     0.344857    -1.689665
49792.50    -0.300749    -0.004500    -0.933818
49792.75    -0.159409     0.259920    -1.802551
49793.00     0.003893     0.177732    -0.659035
49793.25    -0.189220     0.304555    -1.129992
49793.50     0.201743     0.008772    -0.359517
49793.75     0.693470     0.342281    -1.478749
49794.00     1.058980     0.284775    -0.408675
49794.25     1.175609     0.327171    -0.846700
49794.50     1.643204    -0.021737    -0.308349
49794.75     1.925551     0.276125    -1.465841
49795.00     2.064479     0.143888     0.125553
49795.25     2.033775     0.139067     0.207187
49795.50     2.191435    -0.188000     1.282432
49795.75     2.204427     0.146295     0.253039
49796.00     2.060605     0.045573     2.055424
49796.25     1.419816     0.173705     2.229390
49796.50     1.119881    -0.051511     3.246063
49796.75     0.903413     0.335880     2.474881
49797.00     0.668793     0.329323     3.890540
49797.25    -0.203390     0.457555     3.581434
49797.50    -0.264685     0.077384     4.651849
49797.75    -0.502102     0.336483     3.341416
49798.00    -0.673893     0.299854     3.802383
49798.25    -0.930849     0.363952     2.625013
49798.50    -0.732373     0.138758     2.745298
49798.75    -0.703555     0.525711     0.897050
49799.00    -0.734262     0.339424     2.065379
49799.25    -1.143443     0.384287     2.019448
49799.50    -1.183341     0.061045     2.851071
49799.75    -1.229079     0.278955     1.738108
49800.00    -0.904757     0.025211     2.419024
49800.25    -0.993738     0.146376     1.174734
49800.50    -0.543513    -0.236331     1.714740
49800.75    -0.063172    -0.069464     0.502760
49801.00     0.370469    -0.300459     1.657030
49801.25     0.490414    -0.317313     0.658789
49801.50     1.079096    -0.938018     1.590555
49801.75     1.512575    -0.690910     0.062311
49802.00     1.687054    -0.828524     0.853387
49802.25     1.781642    -0.747098    -0.294989
49802.50     2.240711    -1.172321     0.048129
49802.75     2.379198    -0.833933    -1.890064
49803.00     2.557905    -0.907023    -1.117734
49803.25     2.340672    -0.756509    -1.836608
49803.50     2.507142    -1.069394    -1.134750
49803.75     2.429961    -0.657166    -2.669054
49804.00     2.466211    -0.724552    -1.595205
49804.25     2.031882    -0.524761    -2.046655
49804.50     2.101263    -0.796121    -1.057140
49804.75     2.073915    -0.376916    -1.819621
49805.00     2.105475    -0.428110    -0.422709
49805.25     1.720656    -0.235134    -0.694488
49805.50     1.763213    -0.511295     0.361560
49805.75     1.445112    -0.097907    -0.882971
49806.00     1.108543    -0.079874     0.217949
49806.25     0.697069     0.105826    -0.334336
49806.50     0.647224    -0.183294     0.428270
49806.75     0.501135     0.317505    -1.109102
49807.00     0.384155     0.292699     0.142932
49807.25     0.085566     0.506179    -0.527611
49807.50     0.253005     0.235041     0.176152
49807.75     0.328578     0.604125    -1.232423
49808.00     0.348986     0.457026     0.153313
49808.25     0.210476     0.502963     0.060012
49808.50     0.580661     0.114941     1.116484
49808.75     0.869000     0.382542     0.109558
49809.00     1.046860     0.119835     1.847197
49809.25     1.068162     0.033621     1.788892
49809.50     1.472581    -0.471403     2.623272
49809.75     1.732391    -0.211892     1.128627
49810.00     1.820049    -0.272361     1.857004
49810.25     1.527363    -0.104847     0.847119
49810.50     1.684555    -0.316235     0.730467
49810.75     1.629481     0.116223    -0.952127
49811.00     1.622999    -0.108941     0.774586
49811.25     1.142185     0.172142     0.301632
49811.50     1.241666    -0.037374     1.165843
49811.75    -3.183768     3.597366   -13.914777
49812.00     0.706877     0.292971     1.708694
49812.25     0.113565     0.317546     1.655961
49812.50     0.108837    -0.097655     2.604610
49812.75    -0.040245     0.208023     1.766503
49813.00    -0.142202     0.027450     3.013365
49813.25    -0.321064    -0.028746     2.938320
49813.50    -0.048205    -0.459064     3.566134
49813.75     0.006571    -0.173535     2.337017
49814.00     0.007252    -0.352161     3.287578
49814.25    -0.212204    -0.356967     2.395984
49814.50     0.097646    -0.700937     2.583566
49814.75     0.274842    -0.339397     1.348847
49815.00     0.437270    -0.474857     2.267573
49815.25     0.346520    -0.439665     1.875123
49815.50     0.660371    -0.749231     2.302349
49815.75     0.837617    -0.362842     1.029503
49816.00     0.740321    -0.459702     2.077788
49816.25     0.475884    -0.405310     1.666941
49816.50     0.711197    -0.744162     2.465215
49816.75     0.720929    -0.366486     1.531481
49817.00     0.727129    -0.323995     2.388433
49817.25     0.366866    -0.080282     1.158086
49817.50     0.441901    -0.330887     1.256931
49817.75     0.215663     0.104640     0.095441
49818.00     0.042973     0.033028     1.286056
49818.25    -0.317180     0.107673     0.777378
49818.50    -0.295240    -0.414994     1.729384
49818.75    -0.363157    -0.162219     0.634810
49819.00    -0.389585    -0.335935     1.707509
49819.25    -0.758088    -0.261552     1.045049
49819.50    -0.564666    -0.527920     1.213198
49819.75    -0.574401    -0.067759    -0.359334
49820.00    -0.770062    -0.075134     0.440510
49820.25    -1.141487     0.032286    -0.041517
49820.50    -0.931040    -0.255667     0.713523
49820.75    -1.029794     0.076875    -0.301705
49821.00    -1.146340    -0.152172     0.986477
49821.25    -1.394594    -0.216986     0.622264
49821.50    -1.125188    -0.623292     1.094543
49821.75    -1.111211    -0.417405     0.046735
49822.00    -1.184542    -0.622839     1.392855
49822.25    -1.443762    -0.681086     1.363988
49822.50    -1.273594    -1.108532     2.062372
49822.75    -1.206384    -0.778418     1.134393
49823.00    -1.162688    -0.860428     2.417919
49823.25    -1.154757    -0.801520     2.359427
49823.50    -0.775935    -1.135307     3.157064
49823.75    -0.713390    -0.862167     2.342064
49824.00    -0.628330    -0.884449     2.552020
49824.25    -0.840397    -0.732963     1.450197
49824.50    -0.616443    -0.990447     1.448179
49824.75    -0.437171    -0.575766    -0.085128
49825.00    -0.295391    -0.555593     0.542801
49825.25    -0.457721    -0.537110     0.556684
49825.50    -0.199065    -0.909722     1.718908
49825.75    -0.195942    -0.655881     1.609790
49826.00    -0.135912    -0.838720     3.191664
49826.25    -0.312593    -0.849159     2.766927
49826.50    -0.195557    -1.221255     3.210102
49826.75    -0.333264    -0.935212     1.875351
49827.00    -0.605036    -0.887017     2.425647
49827.25    -0.907601    -0.786042     1.841591
49827.50    -0.692685    -1.133229     2.444073
49827.75    -0.616661    -0.948891     1.603785
49828.00    -0.580122    -1.139019     2.572522
49828.25    -0.811890    -1.111229     1.747493
49828.50    -0.505176    -1.412470     1.816721
49828.75    -0.443151    -1.021282     0.206234
49829.00    -0.321796    -0.984523     0.552978
49829.25    -0.721968    -0.793770    -0.549251
49829.50    -0.597402    -0.990349    -0.772388
49829.75    -0.716280    -0.531405    -2.183951
49830.00    -0.752823    -0.613576    -1.002683
49830.25    -1.148290    -0.450201    -1.677149
49830.50    -0.766044    -0.821290    -1.132385
49830.75    -0.721078    -0.495436    -1.933172
49831.00    -0.635959    -0.680645    -0.509374
49831.25    -0.759311    -0.719019    -0.768220
49831.50    -0.280899    -1.123219     0.029797
49831.75    -0.138882    -0.868804    -0.772132
49832.00     0.046487    -1.084188     0.784409
49832.25    -0.130831    -1.094183     0.469617
49832.50     0.243379    -1.411544     1.162259
49832.75     0.316221    -1.100262     0.283650
49833.00     0.475791    -1.168607     1.546751
49833.25     0.272122    -1.065552     1.310932
49833.50     0.583988    -1.337687     1.519581
49833.75     0.480514    -0.962025     0.529358
49834.00     0.325154    -0.976665     1.509771
49834.25     0.060572    -0.801391     1.080175
49834.50     0.215711    -1.136490     1.569260
49834.75     0.152420    -0.710463     0.317168
49835.00     0.104333    -0.770448     1.146874
49835.25    -0.064418    -0.604876     0.776411
49835.50    -0.000311    -0.850242     0.959615
49835.75     0.080549    -0.578432     0.202734
49836.00     0.143375    -0.765958     1.455518
49836.25    -0.195012    -0.666086     0.971283
49836.50    -0.076954    -0.952617     1.598431
49836.75    -0.003706    -0.603387     0.699913
49837.00     0.121048    -0.688021     1.356434
49837.25     0.146972    -0.652040     0.819773
49837.50     0.465468    -1.056235     1.494276
49837.75     0.610408    -0.769283     0.256423
49838.00     0.620856    -0.766903     0.975538
49838.25     0.492487    -0.598871     0.668026
49838.50     0.603139    -0.834441     1.671132
49838.75     0.395177    -0.461459     1.144186
49839.00     0.359150    -0.486701     2.417064
49839.25    -0.009960    -0.437470     2.212693
49839.50     0.226822    -0.707776     2.571467
49839.75     0.085039    -0.389308     1.493543
49840.00    -0.014234    -0.472598     2.329730
49840.25    -0.336629    -0.396033     1.500591
49840.50    -0.021703    -0.702504     1.864385
49840.75     0.065339    -0.417908     0.781547
49841.00     0.115453    -0.533796     1.756099
49841.25     0.032883    -0.568694     1.467535
49841.50     0.522850    -1.073976     2.187284
49841.75     0.561565    -0.879974     1.139132
49842.00     0.611229    -1.041402     2.431886
49842.25     0.479326    -1.005048     2.170271
49842.50     0.690817    -1.235518     2.362539
49842.75     0.794336    -0.867874     1.288004
49843.00     0.893204    -0.859029     2.208351
49843.25     0.714602    -0.718446     2.024422
49843.50     0.956178    -1.054036     2.997869
49843.75     0.886153    -0.710318     2.386565
49844.00     0.593977    -0.744493     3.206384
49844.25     0.133054    -0.660074     2.678564
49844.50     0.345280    -0.984106     3.312892
49844.75     0.299326    -0.730419     2.332573
49845.00     0.342775    -0.776890     2.958308
49845.25     0.066540    -0.768143     2.197192
49845.50     0.478208    -1.206110     2.560984
49845.75     0.466250    -0.923570     1.527639
49846.00     0.627280    -1.078287     2.275265
49846.25     0.539640    -1.022270     1.464860
49846.50     1.086216    -1.322539     1.610668
49846.75     1.315978    -1.091823     0.553574
49847.00     1.498712    -1.280664     1.638618
49847.25     1.235479    -1.196128     1.254842
49847.50     1.546175    -1.557536     2.030041
49847.75     1.504199    -1.139097     1.117705
49848.00     1.427137    -1.164647     2.334844
49848.25     1.037088    -0.999180     2.126538
49848.50     1.160500    -1.283235     3.097464
49848.75     0.986413    -0.902331     2.524679
49849.00     0.708718    -0.927647     3.929961
49849.25     0.266386    -0.854155     3.991600
49849.50     0.358068    -1.149554     4.419724
49849.75     0.282649    -0.838538     3.665484
49850.00     0.059237    -0.958794     4.936094
49850.25    -0.392839    -0.915433     4.877617
49850.50    -0.359839    -1.320236     5.683461
49850.75    -0.297085    -1.061018     4.780886
49851.00    -0.192209    -1.144647     5.202468
49851.25    -0.174805    -1.040472     4.118891
49851.50     0.361631    -1.274444     3.796954
49851.75     0.537439    -0.852829     2.129550
49852.00     0.632226    -0.935249     2.978475
49852.25     0.515676    -0.853493     2.435099
49852.50     0.712199    -1.106143     2.550072
49852.75     0.832342    -0.732729     1.446906
49853.00     0.990867    -0.904443     3.020190
49853.25     0.768898    -0.860548     3.030689
49853.50     0.945449    -1.170516     3.867612
49853.75     0.888956    -0.934567     3.199517
49854.00     0.742154    -1.004852     4.210355
49854.25     0.290092    -0.920357     3.488128
49854.50     0.378082    -1.223953     3.742923
49854.75     0.290803    -0.924559     2.279168
49855.00     0.052549    -0.940040     2.808651
49855.25    -0.333209    -0.840252     1.906208
49855.50    -0.170101    -1.036451     1.811162
49855.75    -0.434211    -0.687445     0.298817
49856.00    -0.708636    -0.694213     0.867818
49856.25    -1.127656    -0.556867     0.093895
49856.50    -0.952642    -0.714530     0.258491
49856.75    -1.121258    -0.296282    -0.673497
49857.00    -1.380131    -0.328872     0.324512
49857.25    -1.751231    -0.222627    -0.072350
49857.50    -1.589106    -0.511256     0.486695
49857.75    -1.562799    -0.321324    -0.184515
49858.00    -1.404980    -0.567842     0.950138
49858.25    -1.525607    -0.655238     0.704405
49858.50    -1.220794    -1.015223     1.108532
49858.75    -1.120973    -0.766209     0.149393
49859.00    -1.043808    -0.862356     1.423230
49859.25    -1.207918    -0.853811     1.096366
49859.50    -0.769625    -1.178965     1.546243
49859.75    -0.806126    -0.882555     0.533161
49860.00    -0.837633    -0.911649     1.338160
49860.25    -0.999955    -0.811917     0.858430
49860.50    -0.709533    -1.116275     1.327349
49860.75    -0.788775    -0.773370     0.197325
49861.00    -0.838814    -0.811129     1.165968
49861.25    -1.141176    -0.714482     0.638053
49861.50    -0.819968    -1.036405     1.085727
49861.75    -0.863139    -0.728957     0.300297
49862.00    -0.854021    -0.807368     1.362911
49862.25    -0.957791    -0.778745     1.215779
49862.50    -0.730169    -1.107476     1.867408
49862.75    -0.787497    -0.727457     0.811656
49863.00    -0.729252    -0.718463     1.711352
49863.25    -0.977300    -0.566778     0.888299
49863.50    -0.700235    -0.841403     1.457318
49863.75    -0.718976    -0.504641     0.560853
49864.00    -0.844038    -0.515057     1.383442
49864.25    -1.215278    -0.454708     0.711246
49864.50    -1.012244    -0.792916     1.171060
49864.75    -1.129123    -0.526983     0.415695
49865.00    -1.195497    -0.540283     1.261103
49865.25    -1.308666    -0.544100     0.860011
49865.50    -0.903070    -0.861786     1.364587
49865.75    -0.818974    -0.601054     0.531827
49866.00    -0.655882    -0.705706     1.677824
49866.25    -0.696905    -0.662781     1.226438
49866.50    -0.222267    -1.012019     1.685416
49866.75    -0.147059    -0.648484     0.675973
49867.00    -0.172480    -0.584129     1.453019
49867.25    -0.377459    -0.473534     0.874970
49867.50    -0.047440    -0.740654     1.014575
49867.75    -0.005659    -0.405382    -0.016212
49868.00    -0.167196    -0.404317     0.935177
49868.25    -0.398839    -0.385912     0.501548
49868.50    -0.171477    -0.695059     0.899914
49868.75    -0.196268    -0.430946    -0.205813
49869.00    -0.311425    -0.508204     0.848976
49869.25    -0.522958    -0.519333     0.769464
49869.50    -0.123840    -0.915253     1.731437
49869.75    -0.045615    -0.712004     1.099709
49870.00    -0.140293    -0.838599     2.337460
49870.25    -0.364107    -0.963253     2.027839
49870.50    -0.071659    -1.299066     2.546089
49870.75     0.018086    -1.031206     1.614655
49871.00    -0.010248    -1.036442     2.563323
49871.25    -0.077279    -1.060840     2.016163
49871.50     0.216660    -1.338631     2.386707
49871.75     0.194353    -1.021247     1.341498
49872.00     0.231140    -1.014379     2.038603
49872.25     0.249094    -1.007002     1.754025
49872.50     0.622869    -1.315477     2.037768
49872.75     0.792895    -1.041016     1.125807
