-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
KARR        49718.000    1995     1     1     0
KARR        52274.750    2001    12    31    18
KARR     -2713832.258  5303935.087 -2269515.012
49765.50     0.162536    -0.166883     1.893491
49765.75     0.232903    -0.176249     2.181961
49766.00     0.143184    -0.056899     1.835476
49766.25     0.292924    -0.214559     2.852271
49766.50     0.253944    -0.128172     2.134134
49766.75     0.284135    -0.157913     2.229756
49767.00     0.192243    -0.070039     1.924466
49767.25     0.299407    -0.238346     3.007125
49767.50     0.220516    -0.175036     2.366212
49767.75     0.245383    -0.180689     2.544653
49768.00     0.211675    -0.133395     2.418957
49768.25     0.383535    -0.299783     3.465914
49768.50     0.347051    -0.253865     2.798322
49768.75     0.332414    -0.270275     2.873375
49769.00     0.249926    -0.188527     2.525034
49769.25     0.359549    -0.333740     3.449889
49769.50     0.341964    -0.261349     2.611586
49769.75     0.349141    -0.270792     2.626419
49770.00     0.244952    -0.131326     2.016813
49770.25     0.393157    -0.256677     2.806319
49770.50     0.380235    -0.173760     2.138448
49770.75     0.365777    -0.157825     2.049658
49771.00     0.330560    -0.036368     1.739029
49771.25     0.498251    -0.152418     2.747779
49771.50     0.491521    -0.056964     2.229912
49771.75     0.542598    -0.051707     2.616015
49772.00     0.536449     0.012432     2.703406
49772.25     0.746827    -0.143120     3.943513
49772.50     0.680625    -0.029434     3.069458
49772.75     0.691378    -0.024303     3.025628
49773.00     0.620755     0.069784     2.910061
49773.25     0.696266    -0.112268     3.375335
49773.50     0.577279    -0.075754     2.304205
49773.75     0.616721    -0.112672     2.305913
49774.00     0.510240    -0.074168     1.819677
49774.25     0.579229    -0.267343     2.561383
49774.50     0.547067    -0.219723     1.798391
49774.75     0.569486    -0.245030     1.899620
49775.00     0.539110    -0.204797     1.591107
49775.25     0.636243    -0.382785     2.521742
49775.50     0.588421    -0.327373     1.812882
49775.75     0.600217    -0.326677     1.896947
49776.00     0.530873    -0.280010     1.670933
49776.25     0.631816    -0.403650     2.594379
49776.50     0.542773    -0.327879     1.821843
49776.75     0.576379    -0.348743     2.009659
49777.00     0.471907    -0.264621     1.714944
49777.25     0.526694    -0.397907     2.536565
49777.50     0.472478    -0.335295     1.943051
49777.75     0.511068    -0.355115     2.224201
49778.00     0.457763    -0.293580     2.212499
49778.25     0.580857    -0.448563     3.214747
49778.50     0.581241    -0.383413     2.678183
49778.75     0.633466    -0.407331     2.899079
49779.00     0.566514    -0.348231     2.716726
49779.25     0.686068    -0.500403     3.715390
49779.50     0.641975    -0.419006     2.999271
49779.75     0.647690    -0.431934     2.961918
49780.00     0.556451    -0.350657     2.570999
49780.25     0.692728    -0.510301     3.516338
49780.50     0.621490    -0.445056     2.631649
49780.75     0.579898    -0.428171     2.489794
49781.00     0.403381    -0.321459     1.846543
49781.25     0.478135    -0.471006     2.574161
49781.50     0.378596    -0.356960     1.626897
49781.75     0.336468    -0.322500     1.368666
49782.00     0.214870    -0.217352     0.812198
49782.25     0.329672    -0.363045     1.719251
49782.50     0.308593    -0.305653     1.048017
49782.75     0.305024    -0.304462     1.069701
49783.00     0.248867    -0.240444     0.874633
49783.25     0.416137    -0.422179     2.151009
49783.50     0.369377    -0.337392     1.551255
49783.75     0.389862    -0.347449     1.763816
49784.00     0.272595    -0.239463     1.430804
49784.25     0.363144    -0.364929     2.443111
49784.50     0.254976    -0.234733     1.536429
49784.75     0.218938    -0.173809     1.414047
49785.00     0.036607    -0.036506     0.664137
49785.25     0.124984    -0.157205     1.470148
49785.50     0.022206    -0.022798     0.519753
49785.75    -0.012442    -0.020951     0.513103
49786.00    -0.149266     0.088443    -0.143869
49786.25    -0.013889    -0.089852     0.948742
49786.50    -0.075845    -0.008385     0.186858
49786.75    -0.040187    -0.063658     0.495164
49787.00    -0.126850    -0.002669     0.252273
49787.25     0.019948    -0.206773     1.558103
49787.50    -0.051195    -0.114332     0.893954
49787.75    -0.018639    -0.132058     1.212566
49788.00    -0.136209    -0.034180     0.856381
49788.25    -0.014045    -0.164785     1.853607
49788.50    -0.062266    -0.058579     1.137422
49788.75    -0.020402    -0.039974     1.284296
49789.00    -0.099444     0.092475     0.700338
49789.25     0.079111    -0.057340     1.636747
49789.50     0.042507     0.062118     0.688023
49789.75     0.078019     0.053328     0.695352
49790.00    -0.011341     0.170202     0.239370
49790.25     0.118962     0.014652     1.093954
49790.50     0.056284     0.092377     0.146641
49790.75     0.081129     0.062669     0.182810
49791.00    -0.055503     0.154577    -0.212337
49791.25     0.058504    -0.018481     0.737449
49791.50    -0.004853     0.074789    -0.079152
49791.75     0.045840     0.038626     0.163424
49792.00    -0.039898     0.121827    -0.255297
49792.25     0.122280    -0.047681     0.884829
49792.50     0.076092     0.028468     0.115285
49792.75     0.090776     0.026295     0.116009
49793.00    -0.033791     0.137911    -0.414211
49793.25     0.089746    -0.029110     0.579602
49793.50     0.021575     0.030773    -0.105566
49793.75     0.019202    -0.000673     0.054007
49794.00    -0.139755     0.121569    -0.571244
49794.25    -0.058289    -0.033815     0.180444
49794.50    -0.134441     0.038951    -0.605604
49794.75    -0.128028     0.029659    -0.333912
49795.00    -0.317987     0.148805    -0.854824
49795.25    -0.241292    -0.012336     0.185709
49795.50    -0.259000     0.047712    -0.245955
49795.75    -0.261339     0.029905    -0.008749
49796.00    -0.382853     0.128387    -0.335810
49796.25    -0.219631    -0.051304     0.910528
49796.50    -0.254034     0.002448     0.411688
49796.75    -0.235166    -0.037474     0.779771
49797.00    -0.296106     0.006075     0.746671
49797.25    -0.101127    -0.190629     2.100436
49797.50    -0.137790    -0.152685     1.441117
49797.75    -0.047948    -0.217134     1.817970
49798.00    -0.097462    -0.122477     1.526954
49798.25     0.028328    -0.237634     2.304298
49798.50    -0.018630    -0.126940     1.376874
49798.75     0.055000    -0.174148     1.622856
49799.00    -0.009493    -0.083975     1.076067
49799.25     0.106572    -0.216199     1.865279
49799.50     0.042210    -0.102695     0.801822
49799.75     0.061293    -0.129413     0.823058
49800.00    -0.106964    -0.008056    -0.049757
49800.25     0.016209    -0.132115     0.752619
49800.50    -0.041245    -0.046921    -0.087612
49800.75    -0.017559    -0.066807     0.005563
49801.00    -0.082915     0.020422    -0.354899
49801.25     0.084763    -0.130801     0.564824
49801.50     0.037328    -0.051972    -0.475765
49801.75     0.120481    -0.124370    -0.089574
49802.00     0.030341    -0.010215    -0.596899
49802.25     0.166450    -0.148640     0.282337
49802.50     0.088208    -0.019970    -0.829562
49802.75     0.150298    -0.052530    -0.596447
49803.00     0.020437     0.096515    -1.177752
49803.25     0.133562    -0.039510    -0.231419
49803.50     0.035688     0.083907    -1.288198
49803.75     0.076177     0.034720    -0.997644
49804.00    -0.049515     0.141453    -1.513128
49804.25     0.105823    -0.032644    -0.198048
49804.50     0.041036     0.047380    -0.704471
49804.75     0.038052    -0.011962    -0.205945
49805.00    -0.080758     0.051020    -0.291632
49805.25     0.065848    -0.140670     1.103695
49805.50    -0.010195    -0.047839     0.512512
49805.75     0.030597    -0.102432     0.966120
49806.00    -0.065430    -0.022053     0.705665
49806.25     0.039201    -0.148207     1.612859
49806.50    -0.038853    -0.058113     0.837471
49806.75    -0.005639    -0.121625     1.227958
49807.00    -0.130649    -0.015190     0.873544
49807.25    -0.009052    -0.157185     1.826292
49807.50    -0.079751    -0.049759     1.066026
49807.75    -0.034131    -0.110303     1.403399
49808.00    -0.134912    -0.017734     1.024690
49808.25     0.004959    -0.158694     1.958096
49808.50    -0.051728    -0.057303     1.161061
49808.75     0.005683    -0.108236     1.357032
49809.00    -0.066577     0.000916     1.001847
49809.25     0.081574    -0.135890     1.851686
49809.50     0.005030    -0.021099     0.762459
49809.75     0.031620    -0.050644     0.858204
49810.00    -0.067617     0.048697     0.465057
49810.25     0.027564    -0.088351     1.306838
49810.50    -0.093435     0.052341     0.191136
49810.75    -0.069929     0.004610     0.540553
49811.00    -0.177108     0.155498    -0.130822
49811.25    -0.049670    -0.015827     1.007141
49811.50    -0.186601     0.080057     0.000998
49811.75    -0.036069     0.430600     3.074365
49812.00    -0.258957     0.061743     0.274980
49812.25    -0.073606    -0.116853     1.486230
49812.50    -0.175927     0.002976     0.372929
49812.75    -0.070967    -0.059729     0.895323
49813.00    -0.113366     0.023461     0.534878
49813.25     0.059310    -0.169860     1.505247
49813.50     0.029884    -0.092849     0.614290
49813.75     0.125265    -0.175170     1.193891
49814.00     0.082079    -0.108338     0.882004
49814.25     0.242607    -0.268481     1.692167
49814.50     0.174810    -0.136011     0.643090
49814.75     0.220068    -0.181239     1.057189
49815.00     0.150910    -0.071634     0.703510
49815.25     0.248943    -0.225834     1.521493
49815.50     0.155589    -0.095928     0.530063
49815.75     0.215039    -0.160433     1.089761
49816.00     0.113311    -0.050840     0.700250
49816.25     0.214869    -0.172709     1.556932
49816.50     0.089284    -0.046018     0.480766
49816.75     0.119944    -0.071530     0.861132
49817.00    -0.022192     0.068286     0.384125
49817.25     0.097982    -0.073523     1.302884
49817.50     0.016567     0.073185     0.164668
49817.75     0.044249     0.043361     0.407477
49818.00    -0.067894     0.165829    -0.206563
49818.25     0.066493     0.036863     0.677297
49818.50    -0.027532     0.168222    -0.591423
49818.75     0.025158     0.127447    -0.339548
49819.00    -0.063462     0.216792    -0.769040
49819.25     0.084713     0.049823     0.268847
49819.50     0.000349     0.173722    -0.680712
49819.75     0.047345     0.142925    -0.353879
49820.00    -0.027066     0.211428    -0.681903
49820.25     0.084307     0.049040     0.213748
49820.50    -0.034151     0.174254    -0.732355
49820.75     0.014006     0.106605    -0.407662
49821.00    -0.074192     0.159552    -0.799509
49821.25     0.096058    -0.044588     0.264096
49821.50     0.035993     0.039906    -0.692361
49821.75     0.109952    -0.034475    -0.392632
49822.00     0.059480     0.013679    -0.706354
49822.25     0.204291    -0.144603     0.130652
49822.50     0.139055    -0.023418    -0.868994
49822.75     0.212227    -0.063843    -0.472691
49823.00     0.125700     0.059782    -0.945272
49823.25     0.277085    -0.093554     0.012229
49823.50     0.207606     0.009685    -0.927690
49823.75     0.276540    -0.051544    -0.611283
49824.00     0.193676     0.032003    -1.010638
49824.25     0.299698    -0.137347    -0.186873
49824.50     0.171326    -0.019171    -1.273100
49824.75     0.189663    -0.061081    -0.991860
49825.00     0.067509     0.051126    -1.410767
49825.25     0.160685    -0.079416    -0.570843
49825.50     0.077161     0.027962    -1.408495
49825.75     0.115395    -0.012023    -1.017480
49826.00    -0.036324     0.087642    -1.481907
49826.25     0.073787    -0.081385    -0.593465
49826.50    -0.031707     0.040892    -1.564121
49826.75     0.031819    -0.013951    -1.207118
49827.00    -0.083686     0.097840    -1.643397
49827.25     0.027006    -0.041635    -0.718301
49827.50    -0.071696     0.078091    -1.679114
49827.75    -0.008372     0.061957    -1.360560
49828.00    -0.071553     0.173129    -1.712243
49828.25     0.099188    -0.006119    -0.571535
49828.50     0.021387     0.115260    -1.599747
49828.75     0.109453     0.060282    -1.174576
49829.00    -0.004225     0.207205    -1.775850
49829.25     0.141604     0.044195    -0.759118
49829.50     0.064904     0.164747    -1.846564
49829.75     0.080734     0.132337    -1.642613
49830.00    -0.045856     0.265215    -2.216512
49830.25     0.077418     0.104984    -1.295325
49830.50    -0.035146     0.223481    -2.385087
49830.75    -0.008835     0.193598    -2.078932
49831.00    -0.108900     0.285667    -2.584464
49831.25     0.042190     0.112117    -1.708727
49831.50    -0.075767     0.230164    -2.871451
49831.75    -0.031429     0.194011    -2.670329
49832.00    -0.120548     0.288004    -3.098282
49832.25     0.021456     0.130267    -2.245040
49832.50    -0.071063     0.265555    -3.254131
49832.75    -0.016942     0.219014    -2.747455
49833.00    -0.100320     0.317285    -2.942371
49833.25     0.078790     0.122650    -1.578864
49833.50     0.010385     0.248857    -2.495121
49833.75     0.119278     0.188933    -1.865174
49834.00     0.073370     0.280885    -2.098356
49834.25     0.206692     0.100478    -1.007933
49834.50     0.141858     0.197994    -1.888022
49834.75     0.250961     0.105071    -1.113150
49835.00     0.176044     0.153937    -1.197921
49835.25     0.290451    -0.044155     0.076904
49835.50     0.239460     0.018815    -0.604563
49835.75     0.306184    -0.054097    -0.061407
49836.00     0.194687     0.006186    -0.434647
49836.25     0.280169    -0.148163     0.426037
49836.50     0.155649    -0.016677    -0.580650
49836.75     0.190428    -0.051506    -0.242692
49837.00     0.062178     0.059086    -0.628425
49837.25     0.207991    -0.097462     0.464120
49837.50     0.130271     0.027669    -0.461476
49837.75     0.162696    -0.026921    -0.182441
49838.00     0.011478     0.108873    -0.849075
49838.25     0.056162    -0.005086    -0.134030
49838.50    -0.148636     0.175259    -1.464484
49838.75    -0.217822     0.179837    -1.391553
49839.00    -0.438892     0.335088    -2.162040
49839.25    -0.354188     0.206490    -1.330038
49839.50    -0.471793     0.359403    -2.384432
49839.75    -0.448400     0.346730    -2.140012
49840.00    -0.557817     0.461223    -2.705653
49840.25    -0.364972     0.316122    -1.671852
49840.50    -0.473751     0.450369    -2.800132
49840.75    -0.373257     0.389837    -2.460841
49841.00    -0.389335     0.488145    -2.721207
49841.25    -0.203984     0.310653    -1.711796
49841.50    -0.317066     0.441494    -3.054466
49841.75    -0.228194     0.379417    -2.740835
49842.00    -0.289291     0.439684    -2.978613
49842.25    -0.194363     0.314454    -2.142425
49842.50    -0.326556     0.475769    -3.406123
49842.75    -0.282574     0.400028    -2.957010
49843.00    -0.368376     0.464285    -3.067444
49843.25    -0.248869     0.324669    -1.966539
49843.50    -0.381934     0.495460    -3.126500
49843.75    -0.364180     0.413814    -2.738839
49844.00    -0.430597     0.498377    -3.137532
49844.25    -0.239271     0.298958    -1.932507
49844.50    -0.355228     0.412857    -3.001024
49844.75    -0.263745     0.329921    -2.394221
49845.00    -0.314322     0.372829    -2.483472
49845.25    -0.150080     0.175460    -1.439938
49845.50    -0.196638     0.302075    -2.401690
49845.75    -0.096425     0.221993    -1.874196
49846.00    -0.182295     0.304413    -2.313418
49846.25    -0.030323     0.148384    -1.448784
49846.50    -0.065142     0.241328    -2.326486
49846.75     0.019760     0.171776    -1.982468
49847.00    -0.051727     0.252662    -2.358954
49847.25     0.101014     0.075703    -1.356652
49847.50     0.025179     0.146182    -2.252210
49847.75     0.143938     0.068422    -1.479300
49848.00     0.051077     0.139228    -1.655506
49848.25     0.155121    -0.033805    -0.524397
49848.50     0.011994     0.064032    -1.497433
49848.75     0.062959    -0.008708    -0.839748
49849.00    -0.091678     0.072329    -1.203729
49849.25     0.007805    -0.102952    -0.049966
49849.50    -0.088672    -0.004632    -0.971184
49849.75    -0.006345    -0.094884    -0.248465
49850.00    -0.161385     0.041870    -0.869330
49850.25    -0.036996    -0.131044     0.107270
49850.50    -0.157111     0.009324    -1.207653
49850.75    -0.129567    -0.006320    -1.064160
49851.00    -0.291901     0.153146    -1.886346
49851.25    -0.180561     0.049387    -1.232073
49851.50    -0.299976     0.212964    -2.505348
49851.75    -0.291431     0.207694    -2.386478
49852.00    -0.441786     0.350746    -3.179798
49852.25    -0.308631     0.240879    -2.375776
49852.50    -0.428345     0.367859    -3.637626
49852.75    -0.365482     0.331428    -3.168061
49853.00    -0.447708     0.411287    -3.311608
49853.25    -0.289514     0.272534    -2.203070
49853.50    -0.382169     0.380209    -3.092983
49853.75    -0.277843     0.319445    -2.483213
49854.00    -0.326864     0.391264    -2.515006
49854.25    -0.131662     0.200159    -1.297595
49854.50    -0.193962     0.281308    -2.016722
49854.75    -0.104956     0.198624    -1.530890
49855.00    -0.156973     0.256081    -1.673875
49855.25    -0.022141     0.091805    -0.744046
49855.50    -0.149782     0.219319    -1.842699
49855.75    -0.136521     0.188723    -1.765144
49856.00    -0.262991     0.327268    -2.394682
49856.25    -0.116682     0.195108    -1.456518
49856.50    -0.252642     0.344931    -2.557577
49856.75    -0.183079     0.329233    -2.097762
49857.00    -0.280742     0.440648    -2.528073
49857.25    -0.109513     0.258294    -1.404689
49857.50    -0.165102     0.356742    -2.298939
49857.75    -0.054849     0.303978    -1.840376
49858.00    -0.118994     0.398043    -2.358566
49858.25     0.037031     0.219662    -1.373555
49858.50    -0.034992     0.321821    -2.414271
49858.75     0.015532     0.318401    -2.160140
49859.00    -0.089258     0.434624    -2.507303
49859.25     0.036690     0.305690    -1.683184
49859.50    -0.108283     0.460690    -2.968852
49859.75    -0.023377     0.370401    -2.426634
49860.00    -0.130026     0.422337    -2.855743
49860.25    -0.034418     0.204056    -1.785155
49860.50    -0.185002     0.311221    -2.864913
49860.75    -0.173207     0.240684    -2.510123
49861.00    -0.334100     0.356573    -3.178684
49861.25    -0.190023     0.208473    -2.120379
49861.50    -0.254698     0.337212    -3.144900
49861.75    -0.225583     0.285836    -2.833913
49862.00    -0.306503     0.375283    -3.115100
49862.25    -0.149401     0.205957    -1.864142
49862.50    -0.275854     0.359992    -2.976633
49862.75    -0.281530     0.382234    -2.864235
49863.00    -0.431348     0.496175    -3.370868
49863.25    -0.271123     0.354816    -2.363923
49863.50    -0.381613     0.478951    -3.336162
49863.75    -0.329889     0.443536    -2.877636
49864.00    -0.376483     0.526923    -3.048320
49864.25    -0.178486     0.343957    -1.965565
49864.50    -0.229583     0.442967    -2.847415
49864.75    -0.111663     0.345788    -2.196967
49865.00    -0.138972     0.368749    -2.187651
49865.25    -0.006177     0.196727    -1.217400
49865.50    -0.097242     0.290264    -2.179342
49865.75    -0.026652     0.201861    -1.691412
49866.00    -0.126384     0.260834    -1.918561
49866.25    -0.027962     0.119989    -1.103720
49866.50    -0.156383     0.282718    -2.270593
49866.75    -0.116692     0.255309    -1.887846
49867.00    -0.217443     0.358331    -2.202510
49867.25    -0.095420     0.207427    -1.321914
49867.50    -0.204527     0.339211    -2.442638
49867.75    -0.146635     0.270967    -1.958243
49868.00    -0.220868     0.349953    -2.148542
49868.25    -0.072621     0.181860    -1.229571
49868.50    -0.122124     0.279274    -2.112599
49868.75    -0.045551     0.209682    -1.839435
49869.00    -0.091834     0.264553    -1.976760
49869.25     0.048883     0.117890    -1.044250
49869.50    -0.083954     0.243898    -2.164719
49869.75    -0.051028     0.224955    -1.930439
49870.00    -0.132998     0.315055    -2.181686
49870.25    -0.008708     0.169637    -1.482072
49870.50    -0.104081     0.293575    -2.523522
49870.75    -0.080565     0.257406    -2.238150
49871.00    -0.182463     0.369832    -2.512776
49871.25    -0.032034     0.217742    -1.664404
49871.50    -0.148974     0.342686    -2.788007
49871.75    -0.061086     0.300422    -2.403634
49872.00    -0.138844     0.365652    -2.687425
49872.25    -0.010858     0.237884    -1.851571
49872.50    -0.058931     0.339969    -2.808713
49872.75     0.051245     0.245106    -2.180415
49873.00    -0.023731     0.303205    -2.346842
49873.25     0.071130     0.127518    -1.454828
49873.50    -0.020536     0.228437    -2.342862
49873.75     0.076959     0.122155    -1.563318
