-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CCV1        49718.000    1995     1     1     0
CCV1        52274.750    2001    12    31    18
CCV1       921997.870 -5535327.766  3021401.158
49731.25    -0.957818     0.202701     0.333383
49731.50    -1.024288     0.317175     0.779871
49731.75    -1.291196     0.255505     0.595594
49732.00    -1.136941     0.236095     0.869018
49732.25    -1.376965     0.151351     0.585026
49732.50    -1.385305     0.154378     0.793349
49732.75    -1.487793     0.009175     0.355226
49733.00    -1.306855    -0.013212     0.466273
49733.25    -1.564788    -0.099102    -0.049279
49733.50    -1.504480    -0.022317     0.066142
49733.75    -1.491822    -0.123354    -0.416323
49734.00    -1.257382    -0.079272    -0.184530
49734.25    -1.301877    -0.136682    -0.530002
49734.50    -1.090513    -0.077699    -0.312439
49734.75    -1.156253    -0.197246    -0.817979
49735.00    -0.899192    -0.178037    -0.609704
49735.25    -0.896604    -0.183349    -0.842136
49735.50    -0.860083    -0.124612    -0.728587
49735.75    -0.886462    -0.215434    -1.066710
49736.00    -0.700119    -0.153859    -0.635938
49736.25    -0.922291    -0.184060    -0.652454
49736.50    -0.946456    -0.050495     0.019470
49736.75    -1.249212    -0.114442    -0.058184
49737.00    -1.368564    -0.111461     0.244610
49737.25    -1.560345    -0.185366     0.175173
49737.50    -1.659137    -0.121559     0.489708
49737.75    -1.837013    -0.249282     0.154349
49738.00    -1.666039    -0.223626     0.372283
49738.25    -1.612083    -0.251233     0.222143
49738.50    -1.548006    -0.186945     0.361962
49738.75    -1.614132    -0.299775    -0.027832
49739.00    -1.375169    -0.262675     0.049200
49739.25    -1.424978    -0.283039    -0.314516
49739.50    -1.276147    -0.221478    -0.234309
49739.75    -1.230805    -0.289383    -0.559517
49740.00    -0.915326    -0.225171    -0.256544
49740.25    -0.970677    -0.216206    -0.355291
49740.50    -0.849591    -0.091973     0.079953
49740.75    -0.952476    -0.115841    -0.082165
49741.00    -0.852737    -0.159963    -0.176108
49741.25    -0.960233    -0.307202    -0.709792
49741.50    -0.891709    -0.322044    -0.813813
49741.75    -1.132880    -0.483556    -1.482160
49742.00    -0.983142    -0.489286    -1.448398
49742.25    -1.069171    -0.535260    -1.790052
49742.50    -0.966202    -0.467877    -1.589684
49742.75    -1.209724    -0.564592    -1.899089
49743.00    -1.061761    -0.496618    -1.459137
49743.25    -1.222129    -0.507214    -1.594356
49743.50    -1.212854    -0.399335    -1.285720
49743.75    -1.408987    -0.440337    -1.489069
49744.00    -1.229421    -0.317969    -0.856758
49744.25    -1.544438    -0.302978    -0.948886
49744.50    -1.603951    -0.132994    -0.377548
49744.75    -1.759947    -0.200639    -0.572906
49745.00    -1.714663    -0.119514    -0.206279
49745.25    -1.893761    -0.127746    -0.381607
49745.50    -1.636692     0.005695     0.141448
49745.75    -1.643305    -0.109281    -0.186334
49746.00    -1.318476    -0.107369     0.084077
49746.25    -1.194066    -0.197304    -0.301089
49746.50    -0.937397    -0.168940    -0.164404
49746.75    -0.891301    -0.360102    -0.688112
49747.00    -0.661278    -0.377731    -0.380284
49747.25    -0.938077    -0.446218    -0.464935
49747.50    -1.010955    -0.411397    -0.027713
49747.75    -1.257178    -0.555814    -0.253264
49748.00    -1.191297    -0.554053     0.119092
49748.25    -1.443774    -0.621249    -0.106423
49748.50    -1.506106    -0.596369     0.094255
49748.75    -1.603177    -0.687278    -0.244266
49749.00    -1.427987    -0.645253     0.087624
49749.25    -1.489187    -0.626515    -0.013886
49749.50    -1.422729    -0.483848     0.306343
49749.75    -1.344981    -0.519472     0.094864
49750.00    -1.012815    -0.411274     0.361549
49750.25    -0.911302    -0.382472     0.210009
49750.50    -0.899373    -0.261730     0.399353
49750.75    -1.054004    -0.311990    -0.054485
49751.00    -0.818438    -0.259003     0.040521
49751.25    -0.794457    -0.276135    -0.391527
49751.50    -0.598280    -0.191108    -0.288353
49751.75    -0.553215    -0.270684    -0.480783
49752.00    -0.255862    -0.227406     0.046028
49752.25    -0.271380    -0.212872     0.182308
49752.50    -0.038471    -0.082110     0.774256
49752.75     0.019914    -0.214915     0.396833
49753.00     0.313495    -0.200338     0.621892
49753.25     0.355983    -0.287584     0.347568
49753.50     0.749496    -0.238481     0.686611
49753.75     0.885215    -0.332439     0.520363
49754.00     1.231921    -0.290038     0.766363
49754.25     1.527466    -0.337438     0.487265
49754.50     1.729450    -0.281794     0.650585
49754.75     1.629873    -0.328429     0.336192
49755.00     1.920428    -0.195420     0.821860
49755.25     1.900267    -0.186026     0.591777
49755.50     2.008307    -0.044450     0.926494
49755.75     1.796129    -0.114768     0.620276
49756.00     1.915684    -0.068634     1.003162
49756.25     1.754503    -0.164018     0.489288
49756.50     1.928510    -0.161243     0.480943
49756.75     1.845639    -0.294436    -0.146478
49757.00     1.938533    -0.260875     0.075688
49757.25     1.793703    -0.302073    -0.256489
49757.50     1.715043    -0.204142     0.142626
49757.75     1.352610    -0.238041     0.027988
49758.00     1.311214    -0.069473     0.782709
49758.25     0.908126    -0.000136     0.757570
49758.50     0.722841     0.202674     1.382577
49758.75     0.352077     0.166767     1.241737
49759.00     0.309174     0.255577     1.824379
49759.25    -0.052312     0.238531     1.575170
49759.50    -0.205179     0.305572     1.781794
49759.75    -0.472564     0.143007     1.209510
49760.00    -0.534859     0.138346     1.373491
49760.25    -0.874543    -0.028262     0.617416
49760.50    -0.924659    -0.067624     0.367893
49760.75    -1.118960    -0.303994    -0.461924
49761.00    -1.164798    -0.327233    -0.432970
49761.25    -1.201990    -0.387714    -0.861104
49761.50    -1.039950    -0.277275    -0.577738
49761.75    -1.079797    -0.370974    -1.009662
49762.00    -0.947182    -0.272454    -0.498242
49762.25    -0.886974    -0.237331    -0.553427
49762.50    -0.746671    -0.111161    -0.268245
49762.75    -0.687599    -0.147069    -0.483155
49763.00    -0.550049    -0.024606     0.186678
49763.25    -0.709456    -0.007787     0.063794
49763.50    -0.648623     0.087801     0.528748
49763.75    -0.694373    -0.051322     0.284930
49764.00    -0.490920    -0.085735     0.709132
49764.25    -0.535522    -0.179030     0.339871
49764.50    -0.120948    -0.101579     0.614112
49764.75     0.003782    -0.251732    -0.119325
49765.00     0.367526    -0.267142    -0.075900
49765.25     0.503872    -0.317175    -0.576810
49765.50     0.802531    -0.237417    -0.397249
49765.75     0.578693    -0.353159    -1.068218
49766.00     0.642325    -0.286431    -0.633857
49766.25     0.233200    -0.275101    -0.845803
49766.50    -0.048144    -0.168438    -0.630775
49766.75    -0.481964    -0.311493    -1.281632
49767.00    -0.317689    -0.294883    -0.909000
49767.25    -0.425655    -0.408174    -1.219871
49767.50    -0.411759    -0.391915    -0.922848
49767.75    -0.560436    -0.504282    -1.183429
49768.00    -0.568407    -0.430683    -0.637136
49768.25    -0.950544    -0.408922    -0.732710
49768.50    -0.859764    -0.222130    -0.056303
49768.75    -0.763396    -0.292225    -0.077085
49769.00    -0.478146    -0.195635     0.551278
49769.25    -0.375638    -0.197886     0.500562
49769.50    -0.401549    -0.071867     0.712443
49769.75    -0.440425    -0.159289     0.102058
49770.00    -0.189351    -0.164823     0.204072
49770.25    -0.372586    -0.224775    -0.302898
49770.50    -0.458644    -0.135865    -0.218173
49770.75    -0.754090    -0.206346    -0.646250
49771.00    -0.578214    -0.155996    -0.197666
49771.25    -0.739724    -0.184605    -0.568157
49771.50    -0.597553    -0.085177    -0.272847
49771.75    -0.476991    -0.206565    -0.617224
49772.00    -0.215264    -0.169510    -0.241945
49772.25    -0.201050    -0.219063    -0.578418
49772.50     0.072867    -0.135814    -0.334809
49772.75     0.123824    -0.244560    -0.875105
49773.00     0.455673    -0.161718    -0.416170
49773.25     0.488855    -0.150571    -0.636166
49773.50     0.638408    -0.018357    -0.303394
49773.75     0.313881    -0.101165    -0.810210
49774.00     0.397297     0.010489    -0.256075
49774.25     0.327995     0.007155    -0.651303
49774.50     0.284659     0.113362    -0.534381
49774.75     0.069794     0.000343    -1.191967
49775.00     0.183435     0.085560    -0.778274
49775.25    -0.090167     0.051824    -1.167834
49775.50    -0.000765     0.169044    -0.747670
49775.75    -0.122584     0.047463    -1.022565
49776.00    -0.049504     0.094219    -0.541223
49776.25    -0.163362     0.076434    -0.730098
49776.50     0.052720     0.211285    -0.221309
49776.75    -0.163265     0.086050    -0.763893
49777.00     0.002306     0.127243    -0.372225
49777.25    -0.146804     0.133635    -0.470585
49777.50    -0.200896     0.198252    -0.205296
49777.75    -0.461947     0.051990    -0.771108
49778.00    -0.320227     0.043876    -0.503066
49778.25    -0.565818    -0.053767    -1.130976
49778.50    -0.590839    -0.027163    -1.048499
49778.75    -0.668731    -0.194810    -1.735134
49779.00    -0.442807    -0.147425    -1.298747
49779.25    -0.421711    -0.208204    -1.643154
49779.50    -0.129873    -0.101262    -1.255440
49779.75    -0.026582    -0.178297    -1.594184
49780.00     0.172746    -0.102035    -1.128655
49780.25    -0.039744    -0.092467    -1.474804
49780.50    -0.062151     0.023734    -1.202320
49780.75    -0.230588    -0.047941    -1.679017
49781.00    -0.183605     0.044858    -1.252709
49781.25    -0.248274     0.046541    -1.513741
49781.50    -0.157399     0.215280    -1.005565
49781.75    -0.243801     0.166424    -1.163479
49782.00    -0.031415     0.233337    -0.482417
49782.25    -0.274068     0.219971    -0.641841
49782.50    -0.483237     0.327851    -0.287879
49782.75    -0.751274     0.198981    -0.801258
49783.00    -0.854816     0.234186    -0.452136
49783.25    -1.297214     0.189693    -0.803456
49783.50    -1.441222     0.272848    -0.410449
49783.75    -1.714509     0.082863    -0.897650
49784.00    -1.563914     0.074549    -0.421651
49784.25    -1.674648    -0.013960    -0.635622
49784.50    -1.605605     0.040202    -0.301297
49784.75    -1.656481    -0.181862    -1.079306
49785.00    -1.107377    -0.211119    -0.866147
49785.25    -1.035356    -0.285754    -1.455046
49785.50    -0.909614    -0.274404    -1.486926
49785.75    -0.855447    -0.395598    -1.951533
49786.00    -0.688080    -0.349194    -1.668657
49786.25    -0.952676    -0.440803    -2.183152
49786.50    -0.952828    -0.354185    -2.003238
49786.75    -1.131718    -0.497530    -2.502508
49787.00    -1.031849    -0.456211    -2.058820
49787.25    -1.192721    -0.477238    -2.225271
49787.50    -0.971667    -0.375058    -1.845777
49787.75    -1.011778    -0.457784    -2.147593
49788.00    -0.703984    -0.348184    -1.414364
49788.25    -0.721188    -0.370025    -1.593639
49788.50    -0.631771    -0.292299    -1.351492
49788.75    -0.973347    -0.402874    -1.766394
49789.00    -1.159524    -0.353933    -1.407032
49789.25    -1.685350    -0.410130    -1.990074
49789.50    -1.879034    -0.340636    -1.938846
49789.75    -2.032208    -0.439480    -2.432927
49790.00    -1.982892    -0.360941    -2.009008
49790.25    -2.334674    -0.416394    -2.561168
49790.50    -2.268196    -0.286970    -2.372881
49790.75    -2.268755    -0.362398    -2.845378
49791.00    -1.656905    -0.278956    -2.094947
49791.25    -1.461648    -0.231462    -1.999364
49791.50    -1.130980    -0.079227    -1.393448
49791.75    -1.034155    -0.148917    -1.524217
49792.00    -0.618805    -0.046603    -0.754615
49792.25    -0.709916    -0.060884    -0.969001
49792.50    -0.647906     0.050448    -0.627079
49792.75    -0.578549    -0.049886    -1.032905
49793.00    -0.247963    -0.026337    -0.674873
49793.25    -0.278183    -0.088131    -1.150642
49793.50     0.152274     0.014270    -0.664228
49793.75     0.565466    -0.057083    -0.808775
49794.00     1.114866    -0.012447    -0.203755
49794.25     1.325475     0.015621    -0.299519
49794.50     1.780538     0.171489     0.339307
49794.75     1.949218     0.112586     0.239567
49795.00     2.232756     0.193416     1.027782
49795.25     2.265396     0.168719     0.955456
49795.50     2.386302     0.257171     1.437523
49795.75     2.113756     0.167076     1.183418
49796.00     2.139421     0.237431     1.853280
49796.25     1.694222     0.153230     1.485729
49796.50     1.445228     0.229921     1.858759
49796.75     1.142381     0.100893     1.636046
49797.00     1.054771     0.131537     2.282959
49797.25     0.299385     0.029418     1.688816
49797.50     0.216446     0.127171     2.031895
49797.75    -0.214225     0.027689     1.542339
49798.00    -0.296868     0.089940     1.965327
49798.25    -0.665335     0.097794     1.701432
49798.50    -0.683595     0.206079     2.029846
49798.75    -0.919328     0.106030     1.563576
49799.00    -0.809838     0.201910     1.873822
49799.25    -1.011107     0.150786     1.367784
49799.50    -1.043622     0.237018     1.445600
49799.75    -1.210663     0.125476     0.853707
49800.00    -0.784421     0.261986     1.343415
49800.25    -0.779218     0.230338     0.754357
49800.50    -0.386751     0.324340     0.958065
49800.75    -0.094674     0.239569     0.604729
49801.00     0.388023     0.339096     1.158670
49801.25     0.543845     0.258904     0.590854
49801.50     1.088654     0.405983     0.995266
49801.75     1.360037     0.328414     0.761467
49802.00     1.566938     0.383552     1.218309
49802.25     1.582783     0.333270     0.807932
49802.50     1.875830     0.423322     0.944598
49802.75     1.695212     0.327857     0.434143
49803.00     1.884300     0.371068     0.903804
49803.25     1.657424     0.336315     0.521365
49803.50     1.666328     0.449781     0.805918
49803.75     1.367851     0.305612     0.173960
49804.00     1.494498     0.365655     0.593377
49804.25     1.208188     0.241864    -0.033834
49804.50     1.337018     0.303144     0.329076
49804.75     1.319048     0.183759     0.074342
49805.00     1.589296     0.253515     0.770483
49805.25     1.374149     0.166723     0.395292
49805.50     1.427550     0.225758     0.766842
49805.75     0.993198     0.107127     0.438522
49806.00     0.776362     0.094577     0.800689
49806.25     0.390825     0.014750     0.432139
49806.50     0.277010     0.113272     0.792991
49806.75    -0.004477    -0.047287     0.262963
49807.00     0.089376    -0.029066     0.729696
49807.25    -0.053864    -0.098157     0.366895
49807.50     0.130128    -0.021964     0.637548
49807.75     0.099056    -0.080337     0.429047
49808.00     0.325652     0.005858     1.063429
49808.25     0.372567    -0.028598     0.735847
49808.50     0.728948     0.095927     1.137577
49808.75     0.900757     0.008459     0.874466
49809.00     1.216539     0.093004     1.459873
49809.25     1.289865     0.024977     1.011728
49809.50     1.607537     0.109243     1.205655
49809.75     1.609655     0.008328     0.740052
49810.00     1.709064     0.076161     1.218395
49810.25     1.393599    -0.029601     0.574618
49810.50     1.400472     0.015502     0.658013
49810.75     1.190586    -0.137644     0.152386
49811.00     1.276218    -0.110951     0.317670
49811.25     0.943763    -0.202836     0.016012
49811.50     1.025755    -0.115371     0.586482
49811.75    -4.666742    -1.415998    -3.111560
49812.00     0.764353    -0.127555     0.836413
49812.25     0.405633    -0.138520     0.402131
49812.50     0.369834     0.038206     0.795256
49812.75     0.150568    -0.031841     0.465537
49813.00     0.224468     0.128713     1.182688
49813.25     0.176199     0.218076     1.101134
49813.50     0.365181     0.448666     1.703009
49813.75     0.315453     0.343321     1.340890
49814.00     0.399096     0.403211     1.655847
49814.25     0.211986     0.353195     1.014837
49814.50     0.326757     0.444758     1.108855
49814.75     0.324086     0.343470     0.758310
49815.00     0.469879     0.432093     1.294579
49815.25     0.406029     0.373118     0.967002
49815.50     0.483525     0.469994     1.333378
49815.75     0.390287     0.393761     1.278562
49816.00     0.272629     0.484305     1.915809
49816.25     0.054220     0.440068     1.588906
49816.50     0.137981     0.516065     1.930765
49816.75     0.002100     0.411591     1.580269
49817.00     0.145833     0.442335     1.901291
49817.25    -0.052981     0.291163     0.971207
49817.50     0.034378     0.349254     0.814454
49817.75    -0.081166     0.195824     0.119220
49818.00    -0.017856     0.247217     0.486664
49818.25    -0.133713     0.137404    -0.187710
49818.50    -0.119788     0.261257     0.027635
49818.75    -0.279509     0.150537    -0.336126
49819.00    -0.221049     0.143260    -0.003930
49819.25    -0.590040     0.008484    -0.612441
49819.50    -0.567996     0.094434    -0.234214
49819.75    -0.801504    -0.076329    -0.600772
49820.00    -0.926812    -0.043357    -0.133774
49820.25    -1.211277    -0.134449    -0.456271
49820.50    -1.094327    -0.058575     0.013024
49820.75    -1.283187    -0.107537    -0.151287
49821.00    -1.249825     0.047013     0.504915
49821.25    -1.365490     0.032792     0.007239
49821.50    -1.229213     0.206411     0.292297
49821.75    -1.413140     0.214589     0.006877
49822.00    -1.393824     0.343422     0.439990
49822.25    -1.511161     0.285664    -0.171211
49822.50    -1.384510     0.381536    -0.090845
49822.75    -1.397953     0.276397    -0.526161
49823.00    -1.203991     0.346068    -0.020935
49823.25    -1.088400     0.275684    -0.480117
49823.50    -0.777776     0.350027    -0.355584
49823.75    -0.792286     0.253456    -0.868625
49824.00    -0.647572     0.305070    -0.548262
49824.25    -0.815205     0.285850    -0.880622
49824.50    -0.713148     0.378706    -0.670789
49824.75    -0.764352     0.350985    -0.743316
49825.00    -0.574436     0.430560    -0.102991
49825.25    -0.658634     0.423898    -0.300583
49825.50    -0.460838     0.512081    -0.001352
49825.75    -0.485326     0.413558    -0.096014
49826.00    -0.334933     0.472018     0.638039
49826.25    -0.420803     0.386219     0.333060
49826.50    -0.344209     0.465355     0.645936
49826.75    -0.584152     0.426554     0.434261
49827.00    -0.738666     0.512622     0.887787
49827.25    -0.903656     0.456377     0.485862
49827.50    -0.751942     0.576106     0.765291
49827.75    -0.764308     0.496413     0.456597
49828.00    -0.755735     0.586344     1.021081
49828.25    -1.068252     0.500302     0.539570
49828.50    -0.977435     0.537601     0.739446
49828.75    -1.161051     0.357782     0.282845
49829.00    -1.044464     0.349046     0.586768
49829.25    -1.334177     0.198946    -0.116354
49829.50    -1.345050     0.233088    -0.137262
49829.75    -1.501366     0.117706    -0.526687
49830.00    -1.382185     0.185628    -0.080317
49830.25    -1.670726     0.183033    -0.287727
49830.50    -1.456183     0.337836     0.199454
49830.75    -1.509699     0.309420     0.178595
49831.00    -1.366906     0.428530     0.955570
49831.25    -1.435443     0.440356     0.788808
49831.50    -1.077494     0.548801     1.152055
49831.75    -0.967044     0.510639     0.928973
49832.00    -0.548623     0.526514     1.126628
49832.25    -0.504051     0.400679     0.268462
49832.50    -0.120918     0.403164     0.158582
49832.75    -0.123794     0.303083    -0.302130
49833.00     0.171266     0.341808     0.149053
49833.25     0.125083     0.269541    -0.283822
49833.50     0.301378     0.413967     0.036685
49833.75     0.080238     0.344059    -0.304263
49834.00     0.023247     0.402187     0.147614
49834.25    -0.119507     0.331715    -0.180099
49834.50    -0.065270     0.450864     0.113025
49834.75    -0.223827     0.323529    -0.198558
49835.00    -0.187260     0.361843     0.278820
49835.25    -0.229946     0.304538     0.146045
49835.50    -0.251709     0.396420     0.433634
49835.75    -0.301003     0.347023     0.281210
49836.00    -0.112830     0.445127     0.962435
49836.25    -0.283772     0.397190     0.527946
49836.50    -0.204678     0.495414     0.730015
49836.75    -0.218736     0.393958     0.393655
49837.00    -0.039544     0.412104     0.808840
49837.25     0.002249     0.351328     0.606087
49837.50     0.186259     0.484479     1.101650
49837.75     0.040486     0.421096     0.956386
49838.00     0.099885     0.486757     1.491902
49838.25     0.076288     0.425889     1.228399
49838.50     0.228973     0.518621     1.564064
49838.75    -0.009782     0.434698     1.408230
49839.00     0.091080     0.463325     2.016896
49839.25    -0.139489     0.354813     1.577301
49839.50    -0.025264     0.392087     1.691916
49839.75    -0.275731     0.305828     1.211171
49840.00    -0.235034     0.331236     1.396552
49840.25    -0.437316     0.196827     0.513075
49840.50    -0.151719     0.274208     0.567937
49840.75    -0.156040     0.180644     0.105500
49841.00     0.049665     0.192866     0.342535
49841.25     0.132815     0.127511    -0.161691
49841.50     0.567948     0.256024     0.117040
49841.75     0.535276     0.186688    -0.244258
49842.00     0.707892     0.222116     0.233727
49842.25     0.674233     0.168738     0.100260
49842.50     0.780430     0.233536     0.237639
49842.75     0.742098     0.202157     0.097034
49843.00     0.922297     0.277452     0.741812
49843.25     0.875622     0.177177     0.254624
49843.50     1.089378     0.274443     0.469800
49843.75     0.974279     0.198637     0.176160
49844.00     0.765608     0.246413     0.374733
49844.25     0.430858     0.161802    -0.202084
49844.50     0.608027     0.283834     0.090915
49844.75     0.461145     0.249952    -0.118867
49845.00     0.573862     0.341490     0.501692
49845.25     0.352070     0.359227     0.267784
49845.50     0.609286     0.518898     0.672557
49845.75     0.493642     0.491819     0.492775
49846.00     0.671426     0.572469     1.014097
49846.25     0.557564     0.501062     0.582340
49846.50     0.915773     0.623284     0.960888
49846.75     0.975338     0.580912     0.886471
49847.00     1.195361     0.637970     1.458806
49847.25     0.992768     0.571598     1.124303
49847.50     1.217197     0.666959     1.481324
49847.75     1.071777     0.575360     1.281529
49848.00     1.085600     0.623672     1.799033
49848.25     0.859114     0.553444     1.568411
49848.50     0.941723     0.620978     1.843390
49848.75     0.720646     0.540325     1.625922
49849.00     0.620109     0.576892     2.084874
49849.25     0.358678     0.491721     1.720210
49849.50     0.366487     0.626597     2.053950
49849.75     0.203988     0.581917     1.872461
49850.00     0.184422     0.637566     2.257198
49850.25    -0.029694     0.602002     1.837457
49850.50     0.001828     0.706619     1.914620
49850.75    -0.048701     0.634056     1.545409
49851.00     0.102155     0.641219     1.831493
49851.25     0.132396     0.492140     1.130503
49851.50     0.470729     0.507989     1.228847
49851.75     0.483205     0.341555     0.796307
49852.00     0.622598     0.374404     1.227843
49852.25     0.592922     0.323499     0.931590
49852.50     0.690370     0.399200     1.010390
49852.75     0.656084     0.348780     0.837530
49853.00     0.957473     0.472672     1.659404
49853.25     0.853282     0.442266     1.318585
49853.50     1.005544     0.553108     1.676381
49853.75     0.844237     0.502479     1.488588
49854.00     0.772106     0.579631     2.177217
49854.25     0.349042     0.545279     1.985062
49854.50     0.317379     0.651027     2.383706
49854.75    -0.001135     0.565657     2.086643
49855.00    -0.218172     0.582441     2.343943
49855.25    -0.631523     0.471074     1.712866
49855.50    -0.689950     0.540134     1.823888
49855.75    -1.179901     0.411919     1.161720
49856.00    -1.487073     0.418832     1.321592
49856.25    -1.897880     0.289862     0.720746
49856.50    -1.859240     0.339325     0.849542
49856.75    -2.091864     0.240521     0.563552
49857.00    -2.159488     0.303177     0.922580
49857.25    -2.307829     0.240035     0.517418
49857.50    -2.134379     0.333537     0.742006
49857.75    -2.122938     0.288716     0.512573
49858.00    -1.860132     0.394886     1.012104
49858.25    -1.808907     0.348050     0.506666
49858.50    -1.573543     0.432657     0.576834
49858.75    -1.566994     0.344627     0.189279
49859.00    -1.341896     0.402902     0.676282
49859.25    -1.372572     0.287877     0.012027
49859.50    -1.000371     0.375744     0.133510
49859.75    -1.101952     0.289385    -0.340245
49860.00    -1.041461     0.305950    -0.150940
49860.25    -1.114880     0.260968    -0.476421
49860.50    -0.879629     0.339421    -0.413454
49860.75    -1.048125     0.221079    -0.834141
49861.00    -0.972498     0.232588    -0.498933
49861.25    -1.153725     0.160476    -0.794744
49861.50    -0.926188     0.228890    -0.637261
49861.75    -0.990648     0.136575    -0.941435
49862.00    -0.851848     0.195726    -0.445560
49862.25    -0.782546     0.145763    -0.702162
49862.50    -0.576153     0.231510    -0.524328
49862.75    -0.723922     0.138332    -0.884219
49863.00    -0.596237     0.182089    -0.469520
49863.25    -0.743340     0.074133    -1.070956
49863.50    -0.536331     0.144827    -0.875720
49863.75    -0.656246     0.093550    -1.085104
49864.00    -0.698258     0.188845    -0.489015
49864.25    -0.970692     0.149180    -0.908537
49864.50    -0.851196     0.268985    -0.603005
49864.75    -1.100291     0.239813    -0.816995
49865.00    -1.073352     0.274928    -0.356452
49865.25    -1.127285     0.190592    -0.805164
49865.50    -0.818963     0.250124    -0.543911
49865.75    -0.870391     0.140511    -0.897171
49866.00    -0.577121     0.191764    -0.255153
49866.25    -0.516232     0.100332    -0.470430
49866.50    -0.200322     0.185835    -0.124554
49866.75    -0.255610     0.086345    -0.347428
49867.00    -0.164107     0.095013     0.064536
49867.25    -0.306533     0.030973    -0.366567
49867.50    -0.144293     0.151872    -0.061263
49867.75    -0.251028     0.118781    -0.078765
49868.00    -0.309045     0.177330     0.366915
49868.25    -0.515617     0.133652    -0.067836
49868.50    -0.424943     0.266251     0.161972
49868.75    -0.622243     0.229651    -0.132550
49869.00    -0.644968     0.298068     0.331738
49869.25    -0.667538     0.230731    -0.138597
49869.50    -0.296252     0.366436     0.265253
49869.75    -0.247120     0.305575    -0.005152
49870.00    -0.088838     0.366582     0.472098
49870.25    -0.204425     0.343327     0.000409
49870.50     0.048578     0.462945     0.363158
49870.75     0.001169     0.370220     0.023538
49871.00     0.087757     0.411880     0.528018
49871.25     0.017839     0.394016     0.271942
49871.50     0.208031     0.481547     0.494619
49871.75     0.054557     0.404894     0.163368
49872.00     0.163555     0.421102     0.464157
49872.25     0.302709     0.405416     0.309344
49872.50     0.580219     0.544198     0.688779
49872.75     0.622032     0.496733     0.508920
