-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
KAN1        49718.000    1995     1     1     0
KAN1        52274.750    2001    12    31    18
KAN1      -466463.922 -4932743.133  4003353.666
49738.75     0.025240    -0.593043    -0.980561
49739.00     0.114372    -0.387067    -0.096774
49739.25     0.072602    -0.358625    -0.371735
49739.50     0.071465    -0.391171    -0.039047
49739.75     0.011296    -0.479839    -1.217597
49740.00     0.075353    -0.420907    -0.768190
49740.25    -0.033003    -0.436845    -1.460457
49740.50    -0.047902    -0.360285    -1.271023
49740.75    -0.106299    -0.327320    -2.216446
49741.00    -0.031436    -0.103540    -1.816667
49741.25    -0.057543    -0.035266    -2.076132
49741.50    -0.042008     0.075068    -1.600667
49741.75     0.015351     0.091495    -3.266983
49742.00     0.104637     0.190342    -2.651103
49742.25     0.134901     0.124594    -2.943295
49742.50     0.144459     0.137815    -2.958816
49742.75     0.113560     0.098522    -4.340557
49743.00     0.120353     0.286123    -3.309179
49743.25     0.041740     0.377930    -3.139632
49743.50    -0.012101     0.471656    -2.136357
49743.75    -0.024206     0.570243    -1.492238
49744.00     0.111851     0.560668     0.928999
49744.25     0.206238     0.545789     2.584028
49744.50     0.277221     0.433475     4.552766
49744.75     0.416674     0.197597     4.829133
49745.00     0.686672     0.014108     5.059588
49745.25     0.811351    -0.304088     3.750234
49745.50     0.824051    -0.427530     2.868984
49745.75     0.734128    -0.524964    -0.209463
49746.00     0.670100    -0.416203    -1.199271
49746.25     0.491173    -0.321739    -2.757471
49746.50     0.271972    -0.222193    -3.119378
49746.75     0.039884    -0.263070    -4.614313
49747.00    -0.175806    -0.178634    -3.565627
49747.25    -0.478930    -0.252026    -3.114122
49747.50    -0.672570    -0.240360    -1.863902
49747.75    -0.911141    -0.188531    -1.491640
49748.00    -0.972767    -0.182367     0.712024
49748.25    -1.185092    -0.279255     1.872897
49748.50    -1.159563    -0.337728     3.296195
49748.75    -1.185420    -0.402043     2.898903
49749.00    -1.008864    -0.417937     4.419866
49749.25    -0.916417    -0.517843     4.366013
49749.50    -0.851537    -0.491821     4.644556
49749.75    -0.754428    -0.486247     3.440071
49750.00    -0.547959    -0.417545     4.038555
49750.25    -0.473081    -0.498271     3.455113
49750.50    -0.322951    -0.432027     2.847369
49750.75    -0.134546    -0.336900     1.501548
49751.00     0.138996    -0.265752     2.376647
49751.25     0.308385    -0.662575     1.299735
49751.50     0.318092    -0.913732    -0.044743
49751.75     0.163617    -1.139414    -2.730976
49752.00     0.136746    -1.037537    -3.134230
49752.25    -0.088845    -1.039998    -4.256733
49752.50    -0.101050    -0.841212    -3.277958
49752.75    -0.013362    -0.635713    -2.998132
49753.00     0.332509    -0.537959    -1.491888
49753.25     0.357905    -0.740472    -2.502001
49753.50     0.233580    -0.681578    -3.330935
49753.75     0.006051    -0.600045    -4.532552
49754.00     0.030161    -0.413559    -3.270477
49754.25    -0.081688    -0.426651    -3.148204
49754.50    -0.110172    -0.445160    -1.983792
49754.75    -0.131392    -0.505424    -2.049311
49755.00     0.051884    -0.537735    -0.967010
49755.25     0.094942    -0.648087    -1.630574
49755.50     0.144006    -0.814550    -2.153058
49755.75     0.077513    -0.913102    -4.339554
49756.00     0.059279    -0.720888    -4.332905
49756.25    -0.166785    -0.564896    -5.730944
49756.50    -0.356146    -0.368567    -5.605421
49756.75    -0.538476    -0.078164    -6.232218
49757.00    -0.505860     0.030849    -3.090536
49757.25    -0.626617     0.031714    -2.385948
49757.50    -0.695779    -0.005510     0.134737
49757.75    -0.662992    -0.059733     0.965091
49758.00    -0.497199    -0.094954     3.846611
49758.25    -0.412415    -0.286019     4.593516
49758.50    -0.111893    -0.616502     4.513823
49758.75    -0.074948    -0.594009     2.461036
49759.00     0.211331    -0.365179     3.318481
49759.25     0.255840    -0.427674     1.714472
49759.50     0.295584    -0.470740     0.497159
49759.75     0.251206    -0.388942    -2.176890
49760.00     0.158159    -0.259661    -1.614016
49760.25     0.046179    -0.092976    -2.854852
49760.50    -0.033840     0.002394    -2.817117
49760.75    -0.094779     0.167574    -3.692136
49761.00    -0.010153     0.243126    -2.162529
49761.25    -0.119713     0.239813    -2.889156
49761.50    -0.220960     0.265636    -2.209264
49761.75    -0.341500     0.347996    -3.028193
49762.00    -0.282817     0.456444    -0.888098
49762.25    -0.383565     0.635855    -0.651574
49762.50    -0.431473     0.872894     0.843092
49762.75    -0.562103     1.087267     2.274933
49763.00    -0.479643     1.049484     6.044067
49763.25    -0.424822     0.686135     7.051299
49763.50    -0.293718     0.056335     6.369926
49763.75    -0.380681    -0.126724     2.113293
49764.00    -0.235849    -0.012801     1.791627
49764.25    -0.211696    -0.011450     0.070841
49764.50    -0.156202    -0.028770    -0.609843
49764.75    -0.277610    -0.069129    -3.184001
49765.00    -0.345508     0.007323    -3.153191
49765.25    -0.528889     0.125188    -4.422935
49765.50    -0.666661     0.290502    -4.262517
49765.75    -0.748926     0.432091    -4.907563
49766.00    -0.638720     0.476081    -2.651079
49766.25    -0.639190     0.447710    -1.941925
49766.50    -0.541455     0.389401    -1.309107
49766.75    -0.366275     0.238155    -1.838639
49767.00    -0.054751     0.032433    -1.096391
49767.25    -0.008133    -0.241508    -2.907385
49767.50    -0.121069    -0.321484    -3.498394
49767.75    -0.301726    -0.323817    -4.509798
49768.00    -0.368866    -0.241024    -2.396747
49768.25    -0.467981    -0.392168    -1.533901
49768.50    -0.301081    -0.706504    -0.675741
49768.75    -0.159462    -0.868573    -2.484673
49769.00    -0.006545    -0.709183    -2.252353
49769.25    -0.145589    -0.531246    -3.157887
49769.50    -0.254699    -0.303864    -2.843086
49769.75    -0.470236     0.016506    -3.077615
49770.00    -0.440881     0.123285    -0.158562
49770.25    -0.499107     0.079570     0.505398
49770.50    -0.406563     0.070582     1.634975
49770.75    -0.239141    -0.079553     1.399775
49771.00     0.046161    -0.124764     2.699198
49771.25     0.220306    -0.358187     1.137206
49771.50     0.299872    -0.456009     0.109670
49771.75     0.309860    -0.610700    -2.983700
49772.00     0.463832    -0.448950    -3.580356
49772.25     0.298119    -0.394662    -5.884785
49772.50     0.150206    -0.157397    -6.103639
49772.75    -0.103731     0.091272    -6.760743
49773.00    -0.116168     0.247105    -3.363851
49773.25    -0.238572     0.273484    -1.964101
49773.50    -0.277283     0.223491    -0.532805
49773.75    -0.128338     0.240225    -0.389886
49774.00     0.156613     0.255054     1.434348
49774.25     0.285520     0.309669     0.545846
49774.50     0.425627     0.403039     0.551870
49774.75     0.632208     0.455029    -0.789953
49775.00     0.860077     0.354682     0.350449
49775.25     0.983168     0.127495    -0.778026
49775.50     1.074404    -0.034824    -1.291004
49775.75     1.148927    -0.193468    -3.159346
49776.00     1.271835    -0.204975    -3.261819
49776.25     1.303991    -0.339906    -5.253182
49776.50     1.274094    -0.287800    -5.408160
49776.75     1.230966    -0.297070    -7.844141
49777.00     1.183237    -0.158081    -7.045156
49777.25     1.041935    -0.155163    -7.725015
49777.50     0.971744    -0.016310    -7.532626
49777.75     0.843754     0.074271    -8.997134
49778.00     0.769218     0.190238    -7.207773
49778.25     0.583928     0.275961    -7.615917
49778.50     0.472885     0.362113    -6.750156
49778.75     0.319667     0.406427    -7.567022
49779.00     0.284228     0.446985    -5.434569
49779.25     0.207874     0.445872    -5.588819
49779.50     0.250507     0.457071    -4.680257
49779.75     0.221615     0.498081    -5.258113
49780.00     0.403578     0.541020    -3.540021
49780.25     0.492157     0.608282    -3.873474
49780.50     0.648905     0.730939    -3.172100
49780.75     0.756098     0.834564    -3.080488
49781.00     0.949421     0.787824    -0.570065
49781.25     0.899477     0.551136    -0.732074
49781.50     0.808227     0.339948     0.091796
49781.75     0.730836     0.336940    -1.160965
49782.00     0.800821     0.496809     0.038492
49782.25     0.855377     0.565544    -0.216351
49782.50     1.046780     0.598668     0.868483
49782.75     1.222569     0.447710     0.378823
49783.00     1.362179     0.102364     1.424351
49783.25     1.296970    -0.334822    -0.241245
49783.50     1.117864    -0.473830    -1.379192
49783.75     0.869100    -0.541647    -4.225731
49784.00     0.703042    -0.297226    -4.224126
49784.25     0.544415    -0.327467    -5.856142
49784.50     0.440752    -0.160214    -6.576246
49784.75     0.294345     0.072391    -8.246315
49785.00     0.243172     0.385224    -6.412988
49785.25     0.016881     0.617193    -6.484874
49785.50    -0.152202     0.925005    -5.245179
49785.75    -0.411724     1.069751    -4.746116
49786.00    -0.474830     1.125316    -1.866511
49786.25    -0.671905     1.046453    -1.517320
49786.50    -0.830075     1.117138    -0.789772
49786.75    -0.921635     1.053422    -1.151529
49787.00    -0.827305     1.018869     0.579773
49787.25    -0.897384     0.971253     0.423596
49787.50    -0.916413     1.109011     1.167578
49787.75    -0.960951     1.159051     0.887101
49788.00    -0.812748     1.161598     2.891313
49788.25    -0.855056     1.180279     2.634887
49788.50    -0.842754     1.223266     3.283648
49788.75    -0.753746     1.093623     2.179274
49789.00    -0.482561     0.924418     2.914445
49789.25    -0.228490     0.660035     0.993478
49789.50     0.026666     0.506815     0.378161
49789.75     0.190668     0.386272    -1.414457
49790.00     0.515745     0.249643    -0.643857
49790.25     0.627363     0.195779    -2.224128
49790.50     0.751573     0.202100    -2.312544
49790.75     0.800952     0.190755    -4.362391
49791.00     0.837298     0.146902    -3.529841
49791.25     0.749253     0.048478    -4.150706
49791.50     0.728065     0.060078    -3.617305
49791.75     0.631757     0.015646    -4.274729
49792.00     0.650281     0.036472    -2.303472
49792.25     0.598162    -0.040871    -2.668380
49792.50     0.618309    -0.042958    -2.229647
49792.75     0.601891    -0.056939    -3.246677
49793.00     0.643797    -0.064670    -1.943579
49793.25     0.599376    -0.123549    -3.359326
49793.50     0.585110    -0.101295    -3.470681
49793.75     0.441860    -0.056047    -4.129908
49794.00     0.428065     0.100236    -2.811353
49794.25     0.255532     0.080684    -2.834398
49794.50     0.081622     0.128592    -1.919842
49794.75    -0.086302     0.051530    -1.814134
49795.00    -0.102361     0.060653     0.536632
49795.25    -0.243186     0.112991     1.124513
49795.50    -0.321920     0.261586     2.755245
49795.75    -0.352384     0.267959     3.654746
49796.00    -0.276398     0.140703     6.482067
49796.25    -0.459741    -0.217718     6.575383
49796.50    -0.687184    -0.409174     6.517837
49796.75    -0.814218    -0.421299     4.886012
49797.00    -0.760253    -0.177775     5.971862
49797.25    -0.856485    -0.035938     5.379032
49797.50    -0.939620     0.114870     6.165752
49797.75    -0.875955     0.188747     6.484365
49798.00    -0.569629     0.125417     8.150758
49798.25    -0.459180     0.168580     8.089199
49798.50    -0.434458     0.193235     8.849390
49798.75    -0.378174     0.030286     8.074118
49799.00    -0.147125    -0.263713     8.210440
49799.25    -0.077987    -0.492285     5.465205
49799.50     0.017281    -0.426243     3.527347
49799.75     0.166488    -0.264122     1.155047
49800.00     0.348579     0.065755     2.187543
49800.25     0.399315     0.252902     1.143433
49800.50     0.470446     0.447626     0.902847
49800.75     0.459221     0.634585     0.843221
49801.00     0.606234     0.722103     2.601587
49801.25     0.631327     0.657803     1.341779
49801.50     0.650393     0.740029     1.237263
49801.75     0.746815     0.685530     0.798953
49802.00     0.905457     0.547770     2.173754
49802.25     0.894962     0.432050     1.340523
49802.50     0.811988     0.362138     1.879303
49802.75     0.732762     0.121220     0.748121
49803.00     0.744933    -0.099765     1.165129
49803.25     0.516376    -0.323516    -0.534353
49803.50     0.468661    -0.337825    -1.027692
49803.75     0.534479    -0.438909    -2.751610
49804.00     0.816809    -0.345326    -2.621054
49804.25     0.751084    -0.403132    -4.468141
49804.50     0.754962    -0.329792    -4.402457
49804.75     0.749433    -0.283973    -5.326279
49805.00     0.717249    -0.238235    -4.209758
49805.25     0.607791    -0.169711    -4.813506
49805.50     0.448838    -0.119764    -3.836583
49805.75     0.328697    -0.144417    -4.093136
49806.00     0.316547    -0.090434    -2.622750
49806.25     0.193833    -0.142759    -3.084257
49806.50     0.057204    -0.100458    -2.660991
49806.75    -0.011504    -0.111854    -3.406719
49807.00     0.051403    -0.080084    -1.594854
49807.25    -0.066651    -0.118376    -2.309364
49807.50    -0.152345    -0.037598    -1.894898
49807.75    -0.193595    -0.028446    -2.010340
49808.00    -0.146527     0.011031     0.255172
49808.25    -0.289551     0.009658    -0.145228
49808.50    -0.335498    -0.030214     0.787882
49808.75    -0.451023    -0.086646     0.177500
49809.00    -0.327246    -0.017405     1.544256
49809.25    -0.436423     0.096442     0.873361
49809.50    -0.445770     0.183148     1.066179
49809.75    -0.510151     0.247023     0.853018
49810.00    -0.319642     0.127813     2.909338
49810.25    -0.226426    -0.060382     1.905296
49810.50    -0.123624    -0.124711     1.167129
49810.75    -0.083408    -0.292264    -0.175847
49811.00     0.213778    -0.436020     0.475504
49811.25     0.243830    -0.441379    -1.750734
49811.50     0.199363    -0.269759    -2.624039
49811.75    -0.001094    -0.079027    -3.725474
49812.00    -0.120074     0.148964    -1.207254
49812.25    -0.277033     0.317978    -0.786558
49812.50    -0.412754     0.409215     1.308918
49812.75    -0.549931     0.351224     2.794720
49813.00    -0.337247     0.224262     4.968458
49813.25    -0.238358     0.140007     4.059452
49813.50    -0.091612     0.091550     3.684263
49813.75    -0.035197     0.071323     2.325607
49814.00     0.101889     0.192712     3.618467
49814.25     0.050513     0.278312     2.671229
49814.50     0.012487     0.381116     2.957733
49814.75    -0.026966     0.391847     3.375473
49815.00     0.115535     0.276396     5.255979
49815.25     0.052257     0.202928     4.759733
49815.50     0.085894     0.250349     4.883030
49815.75     0.171169     0.274387     5.210213
49816.00     0.356943     0.238094     7.043992
49816.25     0.417117     0.147984     7.120811
49816.50     0.523448     0.134469     7.431331
49816.75     0.694878     0.192468     5.942161
49817.00     0.968191     0.180268     6.419686
49817.25     1.035523     0.231189     4.336264
49817.50     0.981947     0.310419     4.355303
49817.75     0.870151     0.282760     3.413551
49818.00     0.779054     0.111181     4.338644
49818.25     0.370699     0.054963     3.347596
49818.50     0.080642     0.084946     4.378708
49818.75    -0.139328     0.066098     4.313715
49819.00    -0.262501     0.138272     4.751294
49819.25    -0.395034     0.016658     3.839175
49819.50    -0.518965    -0.175034     3.240628
49819.75    -0.449770    -0.393840     0.743505
49820.00    -0.223124    -0.385901     0.487281
49820.25    -0.293840    -0.437547    -1.270640
49820.50    -0.317353    -0.266358    -1.192781
49820.75    -0.311484    -0.109916    -1.694334
49821.00    -0.067867     0.147917     0.907494
49821.25    -0.026304     0.350569     1.436660
49821.50     0.041606     0.572059     2.763518
49821.75     0.156817     0.713615     3.592667
49822.00     0.367123     0.679622     5.922094
49822.25     0.455495     0.461123     4.538388
49822.50     0.488944     0.292973     4.187660
49822.75     0.473762     0.162609     2.742615
49823.00     0.650301     0.177351     3.302568
49823.25     0.715052     0.209930     2.329445
49823.50     0.748621     0.330592     2.334428
49823.75     0.815885     0.294710     1.439934
49824.00     0.867996     0.211941     2.173479
49824.25     0.826850     0.117196     0.906596
49824.50     0.766306     0.245473     1.438027
49824.75     0.787894     0.496431     1.735194
49825.00     0.788095     0.522741     4.457767
49825.25     0.577798     0.449985     6.693154
49825.50    -0.007470     0.231645     8.162817
49825.75    -0.304593    -0.109602     5.998421
49826.00    -0.016437    -0.202969     5.091745
49826.25     0.098600    -0.176770     2.503207
49826.50     0.242569     0.053606     2.197225
49826.75     0.400281     0.241317     1.560271
49827.00     0.560294     0.326456     4.282400
49827.25     0.585831     0.398815     4.735806
49827.50     0.422273     0.342035     6.744068
49827.75     0.289693     0.221795     5.822736
49828.00     0.511403     0.061719     6.450181
49828.25     0.512675    -0.148720     4.925952
49828.50     0.585178    -0.198023     4.294134
49828.75     0.665701    -0.325243     1.980377
49829.00     0.825122    -0.410512     1.340687
49829.25     0.785242    -0.493595    -1.179811
49829.50     0.852063    -0.473530    -1.832530
49829.75     0.896417    -0.424074    -2.557070
49830.00     0.934314    -0.417802    -1.453154
49830.25     0.882991    -0.464412    -1.532621
49830.50     0.859483    -0.515105    -0.425678
49830.75     0.758190    -0.570671    -0.566297
49831.00     0.601424    -0.469682     0.757140
49831.25     0.471926    -0.489643     0.059776
49831.50     0.438805    -0.461908     0.582027
49831.75     0.412055    -0.422776    -0.349019
49832.00     0.515869    -0.216216     0.742703
49832.25     0.435964    -0.081159    -0.352763
49832.50     0.387417     0.091228     0.044661
49832.75     0.343892     0.232657     0.016921
49833.00     0.508386     0.328221     2.060893
49833.25     0.572831     0.287956     1.809106
49833.50     0.628184     0.238465     2.175872
49833.75     0.735643     0.015011     1.397694
49834.00     0.794283    -0.261419     1.676174
49834.25     0.595553    -0.331250    -0.530012
49834.50     0.464409    -0.157006    -1.575039
49834.75     0.367341    -0.041362    -2.733232
49835.00     0.468123     0.135484    -1.151516
49835.25     0.416227     0.167525    -1.426493
49835.50     0.430530     0.255982    -0.679974
49835.75     0.505477     0.371397    -0.467986
49836.00     0.787603     0.342560     1.649379
49836.25     0.822280     0.307591     1.297990
49836.50     0.889733     0.267991     2.058522
49836.75     0.879655     0.060102     1.114919
49837.00     0.869004    -0.031096     1.375905
49837.25     0.735562    -0.070450    -0.077208
49837.50     0.700789     0.060378     0.440953
49837.75     0.738130     0.095905    -0.285946
49838.00     0.928884     0.124486     1.464739
49838.25     0.978336    -0.057001     0.694246
49838.50     0.873604    -0.201233     1.133627
49838.75     0.608788    -0.303013     0.000250
49839.00     0.452715    -0.224083     0.701401
49839.25     0.165167    -0.139366     0.037240
49839.50     0.145362     0.020406     0.791668
49839.75     0.133340     0.143022     0.444087
49840.00     0.335645     0.241411     2.370889
49840.25     0.397536     0.233959     1.565070
49840.50     0.471676     0.302752     1.644315
49840.75     0.494958     0.250840     1.033507
49841.00     0.614729     0.155392     1.793098
49841.25     0.507619     0.001528     0.378954
49841.50     0.473343    -0.108066     0.031551
49841.75     0.416334    -0.219359    -1.811634
49842.00     0.464167    -0.123676    -1.349778
49842.25     0.352359    -0.129493    -2.541654
49842.50     0.313560    -0.016735    -2.836912
49842.75     0.305115     0.098159    -3.411253
49843.00     0.325754     0.183943    -1.353881
49843.25     0.289921     0.265703    -1.340770
49843.50     0.295479     0.537568    -0.464682
49843.75     0.246733     0.645205     0.085497
49844.00     0.297051     0.569161     1.851422
49844.25     0.339098     0.568444     1.134213
49844.50     0.420885     0.689745     1.483020
49844.75     0.533224     0.745473     2.221497
49845.00     0.606314     0.644194     4.132317
49845.25     0.622699     0.564489     5.035645
49845.50     0.527146     0.604571     5.967043
49845.75     0.644462     0.552585     5.812992
49846.00     0.609264     0.432657     6.447505
49846.25     0.578142     0.263926     5.849733
49846.50     0.564151     0.168022     6.185025
49846.75     0.395717    -0.095911     5.290243
49847.00     0.471519    -0.217908     5.472016
49847.25     0.401467    -0.467601     4.101476
49847.50     0.393653    -0.541089     3.964778
49847.75     0.295402    -0.520026     2.037178
49848.00     0.331862    -0.310883     2.722051
49848.25     0.130480    -0.285202     1.865577
49848.50     0.032113    -0.112699     2.598853
49848.75    -0.072294    -0.028435     2.296327
49849.00     0.005121     0.175076     4.362371
49849.25    -0.080187     0.269873     4.455244
49849.50     0.014545     0.473151     5.624949
49849.75     0.087972     0.639160     6.666265
49850.00     0.265943     0.679390     9.339342
49850.25     0.245444     0.605025     9.848362
49850.50     0.160280     0.447027    10.659714
49850.75    -0.003061     0.197345     9.366881
49851.00     0.143604     0.039596     8.656340
49851.25     0.151289    -0.189122     5.447535
49851.50     0.140789    -0.272687     3.343884
49851.75     0.106426    -0.333739     0.708896
49852.00     0.139399    -0.221558     1.172190
49852.25     0.038899    -0.209333     0.026332
49852.50    -0.033343     0.007888     0.023236
49852.75    -0.099380     0.143066     0.442987
49853.00    -0.062731     0.269519     3.202051
49853.25    -0.115595     0.231823     4.005045
49853.50    -0.103212     0.217793     5.012551
49853.75    -0.095339     0.150984     5.348931
49854.00     0.050450     0.047847     7.454455
49854.25     0.259874    -0.122683     7.299814
49854.50     0.344929    -0.134244     7.366955
49854.75     0.425463    -0.108778     6.747381
49855.00     0.520702    -0.178927     7.938673
49855.25     0.446074    -0.394911     6.926318
49855.50     0.435198    -0.610828     6.515483
49855.75     0.269836    -0.708725     3.978384
49856.00     0.348648    -0.617262     3.685280
49856.25     0.245276    -0.569707     2.090385
49856.50     0.248128    -0.498534     1.579229
49856.75     0.203809    -0.448283     0.598992
49857.00     0.293911    -0.383820     1.981770
49857.25     0.197586    -0.445546     1.357214
49857.50     0.206156    -0.451879     1.175683
49857.75     0.237940    -0.382547     0.596207
49858.00     0.366325    -0.302385     1.843477
49858.25     0.344838    -0.287770     1.053194
49858.50     0.374052    -0.176491     0.805819
49858.75     0.373694    -0.090275     0.063502
49859.00     0.454168    -0.011595     1.071902
49859.25     0.440763     0.023851     0.163844
49859.50     0.436689     0.135405     0.264030
49859.75     0.482633     0.159817    -0.329105
49860.00     0.675773     0.179368     1.284708
49860.25     0.698528     0.103150     0.677749
49860.50     0.721791     0.126916     1.303452
49860.75     0.756366    -0.060347     0.432711
49861.00     0.877938    -0.084345     1.028981
49861.25     0.824441    -0.193674     0.172668
49861.50     0.864322    -0.200327    -0.169948
49861.75     0.831754    -0.178127    -1.611693
49862.00     0.886376    -0.105554    -0.637062
49862.25     0.835887    -0.157660    -1.632249
49862.50     0.848221    -0.080850    -1.849977
49862.75     0.809441     0.021093    -2.537103
49863.00     0.885171     0.165422    -1.107763
49863.25     0.812470     0.200554    -2.247514
49863.50     0.802502     0.365225    -1.413465
49863.75     0.786252     0.403349    -1.493422
49864.00     0.777386     0.398902     0.728891
49864.25     0.799016     0.419717     1.015063
49864.50     0.729203     0.488597     3.305668
49864.75     0.472973     0.321795     3.724275
49865.00     0.421216     0.193518     5.299459
49865.25     0.221390    -0.135054     4.568635
49865.50     0.128677    -0.291617     3.832119
49865.75     0.106606    -0.431658     1.341866
49866.00     0.244283    -0.330972     1.309811
49866.25     0.169532    -0.395564    -0.386522
49866.50     0.224231    -0.330242    -0.834399
49866.75     0.130065    -0.307101    -2.091947
49867.00     0.224071    -0.218730    -0.872725
49867.25     0.108459    -0.178708    -1.732549
49867.50     0.140477    -0.099189    -1.429138
49867.75     0.089014    -0.087926    -1.695366
49868.00     0.110582    -0.080547     0.246418
49868.25     0.069868    -0.103533     0.085050
49868.50     0.117577    -0.036848     0.685185
49868.75     0.141324    -0.056387     0.503585
49869.00     0.275486    -0.090802     2.107648
49869.25     0.233607    -0.138109     1.631570
49869.50     0.281747    -0.095284     1.932574
49869.75     0.288074    -0.089044     1.124265
49870.00     0.363036    -0.015535     2.094072
49870.25     0.363430    -0.004012     1.746768
49870.50     0.370363     0.038212     1.862857
49870.75     0.354704     0.083362     1.122816
49871.00     0.462452     0.177299     2.400795
49871.25     0.478952     0.127555     1.505023
49871.50     0.525475     0.134168     1.072743
49871.75     0.540298     0.181316     0.128216
49872.00     0.570841     0.218919     0.708740
49872.25     0.521550     0.204577     0.079637
49872.50     0.517061     0.286065     0.127363
49872.75     0.365662     0.296515    -0.313222
49873.00     0.319578     0.245772     1.449831
49873.25     0.196736     0.164044     1.706653
49873.50     0.167355     0.215403     2.575353
49873.75     0.029171     0.147979     3.183976
49874.00     0.027979     0.120918     5.443023
49874.25    -0.065935     0.046376     6.089077
49874.50    -0.091843     0.067749     6.914601
49874.75    -0.098050     0.038671     6.986518
