"Table with row headers in column A and column headers in row 8, repeated in row 54. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,,,,,,,,,
"Table 3: Educational Attainment of the Population 16 Years and Over by Residence in 1995, Labor Force Status, Class of Worker, and Occupation: 2000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geographic area: Nebraska,,,,,,,,,,,,,,,,,
"All race and ethnic groups, male",,,,,,,,,,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Characteristic,Total,No school completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",,,,,,,,
Characteristic,High school graduate,Under 1 year college,College 1 year more,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,,,,,,,
..Population 16 and over ,"187,298","49,162","104,127","43,190","91,388","25,206","12,304","5,966",,,,,,,,,
Residence in 1995:,,,,,,,,,,,,,,,,,
.Remained in the same house ,"113,567","25,731","49,937","21,535","44,330","13,374","6,931","3,531",,,,,,,,,
.Moved within state ,"58,720","17,958","41,541","16,862","33,481","7,035","3,767","1,255",,,,,,,,,
.Moved-different state ,"15,011","5,473","12,649","4,793","13,577","4,797","1,606","1,180",,,,,,,,,
Labor force status:,,,,,,,,,,,,,,,,,
.In labor force ,"138,955","39,682","85,807","39,330","80,433","21,849","10,632","4,928",,,,,,,,,
..In Armed Forces ,999,816,"1,666",731,"1,267",915,110,13,,,,,,,,,
..Civilian ,"137,956","38,866","84,141","38,599","79,166","20,934","10,522","4,915",,,,,,,,,
...Employed ,"132,822","37,542","81,894","37,795","77,932","20,668","10,502","4,893",,,,,,,,,
...Unemployed ,"5,134","1,324","2,247",804,"1,234",266,20,22,,,,,,,,,
.Not in labor force ,"48,343","9,480","18,320","3,860","10,955","3,357","1,672","1,038",,,,,,,,,
..Employed civilian population 16 and over ,"132,822","37,542","81,894","37,795","77,932","20,668","10,502","4,893",,,,,,,,,
Class of worker:,,,,,,,,,,,,,,,,,
.Private for-profit wage and salary workers ,"99,741","28,395","61,703","27,707","52,621","9,152","5,244","1,128",,,,,,,,,
..Employee of private company ,"93,357","26,678","57,773","25,909","47,851","8,484","3,348",964,,,,,,,,,
..Self-employed in own incorporated business ,"6,384","1,717","3,930","1,798","4,770",668,"1,896",164,,,,,,,,,
.Private not-for-profit wage and salary workers ,"2,834",992,"3,017","1,407","5,176","3,532","1,330",904,,,,,,,,,
.Local government workers ,"5,711","1,843","3,501","1,848","5,514","3,256",559,305,,,,,,,,,
.State government workers ,"2,735","1,121","3,191","1,357","5,099","2,830",883,"2,003",,,,,,,,,
.Federal government workers ,"1,905","1,049","2,070","1,017","2,547",735,300,244,,,,,,,,,
.Self-employed in own not incorporated business ,"19,003","3,943","8,085","4,346","6,818","1,108","2,165",298,,,,,,,,,
.Unpaid family workers ,893,199,327,113,157,55,21,11,,,,,,,,,
Occupation:,,,,,,,,,,,,,,,,,
".Management, professional and related ","22,546","7,587","21,122","12,653","47,333","16,701","9,639","4,575",,,,,,,,,
"..Management, business and financial operations ","19,652","5,452","12,914","6,748","25,293","6,390","1,169",892,,,,,,,,,
..Professional and related ,"2,894","2,135","8,208","5,905","22,040","10,311","8,470","3,683",,,,,,,,,
.Service occupations ,"12,804","4,315","9,241","2,600","4,301",515,156,76,,,,,,,,,
.Sales and office occupations ,"18,526","7,752","19,133","5,539","17,640","2,242",467,161,,,,,,,,,
..Sales and related ,"10,778","4,545","11,197","3,535","12,116","1,352",266,80,,,,,,,,,
..Office and administrative support ,"7,748","3,207","7,936","2,004","5,524",890,201,81,,,,,,,,,
".Farming, forestry and fishing ","4,428",935,"1,693",997,711,94,22,4,,,,,,,,,
".Construction, extraction and maintenance ","31,529","7,895","14,901","9,944","3,252",389,93,14,,,,,,,,,
".Production, transportation and material moving ","42,989","9,058","15,804","6,062","4,695",727,125,63,,,,,,,,,
Note: - Represents zero or rounds to zero.,,,,,,,,,,,,,,,,,
"Internet release date: October, 2006",,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census 2000",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
