,,,,,,,,,,,,
"LEMA9322.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,
"Table 22a.  Policies pertaining to citizen complaints of officer use of excessive force ",,,,,,,,,,,,
"maintained by local law enforcement agencies, 1993",,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
"Maricopa","Tempe Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Pima","Pima County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Pima","Tucson Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Pinal","Pinal County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"ARKANSAS",,,,,,,,,,,,
,,,,,,,,,,,,
"Jefferson","Pine Bluff Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Pulaski","Pulaski County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Pulaski","Little Rock Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Pulaski","North Little Rock Police","X",,"-","-",,"-",,"OSP",,"X","X"
"Sebastian","Fort Smith Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"CALIFORNIA",,,,,,,,,,,,
,,,,,,,,,,,,
"Alameda","Alameda County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Alameda","Berkeley Police","X",,"X","GVT",,"-",,"GEX",,"X","-"
"Alameda","Fremont Police","X",,"-","-",,"-",,"GEX",,"X","-"
"Alameda","Hayward Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Alameda","Oakland Police","X",,"X","GEX",,"-",,"OTH",,"X","X"
"Contra Costa","Contra Costa County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Contra Costa","Concord Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Contra Costa","Richmond Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"El Dorado","El Dorado County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Fresno","Fresno County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Fresno","Fresno Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Kern ","Kern County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Kern","Bakersfield Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Los Angeles","Los Angeles County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Los Angeles","Beverly Hills Police","X",,"X","LEX",,"-",,"LEX",,"X","-"
"Los Angeles","Burbank Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Los Angeles","Compton Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Los Angeles","Culver City Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Los Angeles","Downey Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Los Angeles","El Monte Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Los Angeles","Glendale Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Los Angeles","Inglewood Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Los Angeles","Long Beach Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"Los Angeles","Los Angeles Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Los Angeles","Los Angeles Airport Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Los Angeles","Los Angeles School Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Los Angeles","Pasadena Police","X",,"X","LEX",,"-",,"LEX",,"X","-"
"Los Angeles","Pomona Police","X",,"-","-",,"X",,"OTH",,"X","-"
"Los Angeles","Santa Monica Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Los Angeles","Torrance Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Los Angeles","West Covina Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Marin","Marin County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Monterey","Monterey County Sheriff","X",,"X","LEX",,"X",,"LEX",,"X","X"
"Monterey","Salinas Police","X",,"-","-",,"-",,"OTH",,"X","-"
,,,,,,,,,"                    Policies and programs   253",,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"CALIFORNIA (cont.)",,,,,,,,,,,,
,,,,,,,,,,,,
"Orange","Orange County Sheriff-Coroner","X",,"-","-",,"-",,"LEX",,"X","-"
"Orange","Anaheim Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Orange","Brea Police","X",,"-","-",,"-",,"SDA",,"X","-"
"Orange","Costa Mesa Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Orange","Fullerton Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Orange","Garden Grove Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Orange","Huntington Beach Police","-",,"-","-",,"-",,"LEX",,"X","-"
"Orange","Irvine Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Orange","Newport Beach Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Orange","Orange Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Orange","Santa Ana Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Riverside","Riverside County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Riverside","Corona Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Riverside","Riverside Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Sacramento","Sacramento County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Sacramento","Sacramento Police","X",,"-","-",,"X",,"LEX",,"X","-"
"San Bernardino","San Bernardino County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"San Bernardino","Fontana Police","X",,"-","-",,"X",,"LEX",,"X","-"
"San Bernardino","Ontario Police","-",,"-","-",,"X",,"LEX",,"X","-"
"San Bernardino","Rialto Police","X",,"-","-",,"X",,"LEX",,"X","-"
"San Bernardino","San Bernardino Police","X",,"-","-",,"X",,"LEX",,"X","-"
"San Diego","San Diego County Sheriff","X",,"X","GVT",,"-",,"OSP",,"X","-"
"San Diego","Chula Vista Police","X",,"-","-",,"-",,"LEX",,"X","X"
"San Diego","El Cajon Police","X",,"-","-",,"-",,"LEX",,"X","-"
"San Diego","Escondido Police","X",,"-","-",,"-",,"LEX",,"X","X"
"San Diego","Oceanside Police","X",,"-","-",,"-",,"LEX",,"X","-"
"San Diego","San Diego Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"San Diego","San Diego Harbor Police","X",,"-","-",,"-",,"LEX",,"X","-"
"San Francisco","San Francisco Police","X",,"X","GVT",,"X",,"LEX",,"X","X"
"San Francisco","Bay Area Rapid Transit Police","X",,"X","LEX",,"X",,"ISP",,"X","-"
"San Francisco","San Francisco Airport Police","X",,"-","-",,"-",,"LEX",,"X","X"
"San Joaquin","San Joaquin County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"San Joaquin","Stockton Police","X",,"-","-",,"X",,"LEX",,"X","X"
"San Luis Obispo","San Luis Obispo County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"San Mateo","San Mateo County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"San Mateo","Daly City Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Santa Barbara","Santa Barbara County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Santa Barbara","Santa Barbara Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Santa Clara","Santa Clara County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Santa Clara","San Jose Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Santa Clara","Santa Clara Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Santa Clara ","Sunnyvale Police","X",,"-","-",,"-",,"GEX",,"X","X"
"Santa Cruz","Santa Cruz County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Solano","Vallejo Police","X",,"-","-",,"-",,"GEX",,"X","-"
"Sonoma","Sonoma County Sheriff-Coroner","X",,"-","-",,"-",,"LEX",,"X","-"
"Sonoma","Santa Rosa Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Stanislaus","Stanislaus County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Stanislaus","Modesto Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Tulare","Tulare County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Ventura","Ventura County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Ventura","Oxnard Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Ventura","Simi Valley Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Ventura","Ventura Police","X",,"-","-",,"-",,"LEX",,"X","X"
,,,,,,,,,,,,
"COLORADO",,,,,,,,,,,,
,,,,,,,,,,,,
"Adams","Adams County Sheriff","X",,"-","-",,"X",,"OTH",,"X","-"
"Adams","Westminster Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Arapahoe","Arapahoe County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Arapahoe","Aurora Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Boulder","Boulder Police","X",,"X","LEX",,"-",,"LEX",,"X","X"
"Denver","Denver Police","X",,"X","GVT",,"X",,"LEX",,"X","X"
"El Paso","El Paso County Sheriff","X",,"-","-",,"X",,"OTH",,"X","X"
"El Paso","Colorado Springs Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Jefferson","Jefferson County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Jefferson","Arvada Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Jefferson","Lakewood Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Larimer","Larimer County Sheriff","X",,"-","-",,"X",,"OSP",,"X","-"
"Larimer","Fort Collins Police","X",,"X","OTH",,"X",,"LEX",,"X","X"
"Pueblo","Pueblo Police","X",,"-","-",,"-",,"LEX",,"X","-"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"254   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"CONNECTICUT",,,,,,,,,,,,
,,,,,,,,,,,,
"Fairfield","Bridgeport Police","X",,"X","GEX",,"X",,"BPC",,"X","X"
"Fairfield","Danbury Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Fairfield","Greenwich Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Fairfield","Norwalk Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Fairfield","Stamford Police","X",,"-","-",,"X",,"BPC",,"X","X"
"Hartford","Bristol Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Hartford","East Hartford Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Hartford","Hartford Police","X",,"X","GEX",,"-",,"LEX",,"-","-"
"Hartford ","New Britain Police","X",,"-","-",,"-",,"BPC",,"X","-"
"Hartford","West Hartford Police","X",,"X","LEX",,"X",,"LEX",,"X","-"
"New Haven","Meriden Police","X",,"-","-",,"X",,"LEX",,"X","X"
"New Haven","Milford Police","X",,"-","-",,"X",,"LEX",,"X","X"
"New Haven","Waterbury Police","X",,"-","-",,"X",,"LEX",,"X","X"
"New Haven","West Haven Police","X",,"-","-",,"X",,"BPC",,"X","-"
,,,,,,,,,,,,
"DELAWARE",,,,,,,,,,,,
,,,,,,,,,,,,
"New Castle","New Castle County Police","X",,"-","-",,"X",,"LEX",,"X","-"
"New Castle","Wilmington Police","X",,"-","-",,"X",,"OTH",,"X","X"
,,,,,,,,,,,,
"DISTRICT OF COLUMBIA",,,,,,,,,,,,
,,,,,,,,,,,,
"Washington, D.C.","Washington Metropolitan Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Washington, D.C.","Metro Transit Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Washington, D.C.","Metropolitan Airports Authority","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"FLORIDA",,,,,,,,,,,,
,,,,,,,,,,,,
"Alachua","Alachua County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Alachua","Gainesville Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Bay","Bay County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Brevard","Brevard County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Brevard","Melbourne Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Broward","Broward County Sheriff","X",,"X","LEX",,"-",,"OTH",,"X","-"
"Broward","Coral Springs Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Broward","Davie Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Broward","Fort Lauderdale Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Broward","Hollywood Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Broward","Pembroke Pines Police","X",,"-","-",,"-",,"GEX",,"X","-"
"Broward","Plantation Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Broward","Pompano Beach Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Broward","Sunrise Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Charlotte","Charlotte County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Citrus","Citrus County Sheriff","X",,"-","-",,"X",,"LEX",,"-","-"
"Clay","Clay County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Collier","Collier County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Dade","Metro-Dade Police","X",,"-","-",,"X",,"OTH",,"X","-"
"Dade","Coral Gables Police","X",,"-","-",,"-",,"GEX",,"X","-"
"Dade","Hialeah Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Dade","Miami Police","X",,"X","OTH",,"X",,"LEX",,"X","-"
"Dade","Miami Beach Police","X",,"-","-",,"X",,"GEX",,"X","-"
"Duval ","Jacksonville Sheriff","X",,"-","-",,"-",,"OTH",,"X","X"
"Escambia","Escambia County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Escambia","Pensacola Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Hernando","Hernando County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Hillsborough","Hillsborough County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Hillsborough","Tampa Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Indian River","Indian River County Sheriff","-",,"-","-",,"X",,"LEX",,"X","-"
"Lake","Lake County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"Lee","Lee County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Lee","Cape Coral Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Lee","Fort Myers Police","X",,"-","-",,"X",,"LEX",,"-","-"
"Leon","Leon County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Leon","Tallahassee Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Manatee","Manatee County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Marion","Marion County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Marion","Ocala Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Martin","Martin County Sheriff","X",,"X","LEX",,"X",,"LEX",,"X","X"
"Monroe","Monroe County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,"                    Policies and programs   255",,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"FLORIDA (cont.)",,,,,,,,,,,,
,,,,,,,,,,,,
"Okaloosa","Okaloosa County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Orange","Orange County Sheriff","X",,"-","-",,"X",,"OSP",,"X","X"
"Orange","Orlando Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Osceola","Osceola County Sheriff","X",,"-","-",,"-",,"OTH",,"X","-"
"Palm Beach","Palm Beach County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Palm Beach","Boca Raton Police","X",,"-","-",,"-",,"GEX",,"X","X"
"Palm Beach","Boynton Beach Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Palm Beach","Delray Beach Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Palm Beach","West Palm Beach Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Pasco","Pasco County Sheriff","X",,"-","-",,"-",,"LEX",,"-","-"
"Pinellas","Pinellas County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Pinellas","Clearwater Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Pinellas","Largo Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Pinellas","St. Petersburg Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"Polk","Polk County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Polk","Lakeland Police","X",,"-","-",,"X",,"LEX",,"X","-"
"St. John","St. John County Sheriff","X",,"-","-",,"-",,"LEX",,"X","X"
"St. Lucie","St. Lucie County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"St. Lucie","Fort Pierce Police","X",,"-","-",,"X",,"GEX",,"X","-"
"Sarasota","Sarasota County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Sarasota","Sarasota Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Seminole","Seminole County Sheriff","-",,"X","LEX",,"-",,"LEX",,"X","-"
"Volusia","Volusia County Sheriff","X",,"-","-",,"X",,"LEX",,"X","-"
"Volusia","Daytona Beach Police","X",,"-","-",,"X",,"LEX",,"X","X"
,,,,,,,,,,,,
"GEORGIA",,,,,,,,,,,,
,,,,,,,,,,,,
"Bibb","Bibb County Sheriff","-",,"-","-",,"-",,"LEX",,"X","X"
"Bibb","Macon Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Chatham","Chatham County Police","-",,"-","-",,"-",,"GEX",,"X","-"
"Chatham","Savannah Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Clarke","Athens-Clarke County Police","X",,"-","-",,"X",,"GEX",,"X","X"
"Clayton","Clayton County Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Cobb","Cobb County Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Cobb","Cobb County Sheriff","-",,"-","-",,"X",,"LEX",,"X","X"
"Cobb","Marietta Police","X",,"-","-",,"-",,"LEX",,"X","X"
"De Kalb","De Kalb County Police","X",,"-","-",,"X",,"OTH",,"X","X"
"Dougherty","Albany Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Fulton","Fulton County Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Fulton","Atlanta Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Gwinnett","Gwinnett County Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Muscogee","Columbus Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Richmond","Richmond County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Richmond","Augusta Police","X",,"-","-",,"X",,"LEX",,"X","-"
,,,,,,,,,,,,
"HAWAII",,,,,,,,,,,,
,,,,,,,,,,,,
"Hawaii","Hawaii County Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Honolulu","Honolulu Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"Kauai","Kauai County Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Maui","Maui County Police","X",,"X","GEX",,"-",,"LEX",,"X","-"
,,,,,,,,,,,,
"IDAHO",,,,,,,,,,,,
,,,,,,,,,,,,
"Ada","Boise Police","X",,"-","-",,"-",,"LEX",,"X","X"
,,,,,,,,,,,,
"ILLINOIS",,,,,,,,,,,,
,,,,,,,,,,,,
"Cook","Cook County Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Cook ","Cook County Forest Preserve ","X",,"-","-",,"X",,"LEX",,"X","-"
"Cook","Arlington Heights Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Cook","Chicago Police","X",,"X","GEX",,"X",,"LEX",,"X","-"
"Cook","Evanston Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Cook","Oak Lawn Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Cook","Oak Park Police","X",,"X","GEX",,"X",,"LEX",,"X","X"
"Cook","Schaumburg Police","X",,"-","-",,"-",,"BPC",,"X","X"
"Cook","Skokie Police","X",,"-","-",,"X",,"BPC",,"X","-"
"Du Page","Du Page County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Du Page ","Naperville Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Kane","Aurora Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Kane","Elgin Police","X",,"-","-",,"-",,"LEX",,"X","X"
,,,,,,,,,,,,
,,,,,,,,,,,,
"256   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 22a. - continued",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,," Agency has",,"   Jurisdiction","     Person ",,"    External*",,"  Person who ",,,
,," policy directive",,"   has civilian","     to whom ",,"    review of",,"  makes final",,"   Right to administrative",
,," on citizen",,"   complaint","     board",,"    complaints",,"  disciplinary",,"   appeal of decision",
"County","Name of agency"," complaints",,"   review board","     reports",,"    required",,"  decision",,"Officer ","Citizen"
,,,,,,,,,,,,
"ILLINOIS (cont.)",,,,,,,,,,,,
,,,,,,,,,,,,
"Lake ","Lake County Sheriff","-",,"-","-",,"-",,"LEX",,"X","-"
"Lake","Waukegan Police","X",,"X","GVT",,"X",,"LEX",,"X","X"
"McHenry","McHenry County Sheriff","X",,"X","LEX",,"-",,"LEX",,"X","X"
"Macon","Decatur Police","X",,"-","-",,"X",,"LEX",,"-","-"
"Peoria","Peoria Police","X",,"-","-",,"X",,"BPC",,"X","-"
"Sangamon","Springfield Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Will","Will County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Will","Joliet Police","X",,"-","-",,"-",,"LEX",,"X","-"
"Winnebago","Winnebago County Sheriff","X",,"-","-",,"X",,"LEX",,"X","X"
"Winnebago","Rockford Police","X",,"-","-",,"X",,"BPC",,"X","X"
,,,,,,,,,,,,
"INDIANA",,,,,,,,,,,,
,,,,,,,,,,,,
"Allen","Fort Wayne Police","X",,"X","LEX",,"X",,"LEX",,"X","X"
"Delaware","Muncie Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Lake","Lake County Sheriff","-",,"-","-",,"-",,"LEX",,"X","-"
"Lake","East Chicago Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Lake","Gary Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Lake","Hammond Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Madison","Anderson Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Marion","Marion County Sheriff","X",,"-","-",,"-",,"LEX",,"X","-"
"Marion","Indianapolis Police","X",,"X","GEX",,"-",,"LEX",,"X","X"
"St. Joseph","South Bend Police","X",,"-","-",,"X",,"OTH",,"X","X"
"Vanderburgh","Evansville Police","X",,"-","-",,"X",,"OTH",,"X","-"
"Vigo","Terre Haute Police","X",,"X","GVT",,"X",,"BPC",,"X","-"
,,,,,,,,,,,,
"IOWA",,,,,,,,,,,,
,,,,,,,,,,,,
"Black Hawk","Waterloo Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Linn","Cedar Rapids Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Polk","Des Moines Police","X",,"-","-",,"X",,"LEX",,"X","X"
"Scott","Davenport Police","X",,"-","-",,"X",,"LEX",,"X","-"
"Woodbury","Sioux City Police","X",,"-","-",,"X",,"GEX",,"X","-"
,,,,,,,,,,,,
"KANSAS",,,,,,,,,,,,
,,,,,,,,,,,,
"Douglas","Lawrence Police","X",,"-","-",,"-",,"LEX",,"X","X"
"Johnson","Overland Park Police","-",,"-","-",,"-",,"LEX",,"X","-"
