-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
BRU1        49718.000    1995     1     1     0
BRU1        52274.750    2001    12    31    18
BRU1      1578685.158 -4324849.945  4399278.141
49743.50    -2.036006    -0.592101     0.555754
49743.75    -2.423417    -0.741142     0.819403
49744.00    -2.161971    -0.740899     1.045145
49744.25    -2.312730    -0.750799     0.852390
49744.50    -2.180324    -0.596438     0.815110
49744.75    -2.417550    -0.775628     0.898554
49745.00    -2.191749    -1.016525     0.284300
49745.25    -2.273875    -1.039935     0.171308
49745.50    -1.942646    -0.880783    -0.055231
49745.75    -2.056641    -1.076380    -0.738972
49746.00    -1.525737    -1.145929    -1.128029
49746.25    -1.421363    -1.208926    -1.890845
49746.50    -1.254543    -1.037252    -1.747721
49746.75    -1.547269    -1.261684    -1.999731
49747.00    -1.527592    -1.245198    -1.253014
49747.25    -1.845295    -1.125692    -0.268989
49747.50    -2.107293    -0.905011     1.173895
49747.75    -2.357947    -0.969268     2.201667
49748.00    -2.381051    -0.997568     2.840683
49748.25    -2.613090    -0.872151     3.314686
49748.50    -2.725241    -0.577169     4.253453
49748.75    -2.956681    -0.668327     4.662281
49749.00    -2.711895    -0.662633     5.492787
49749.25    -2.750532    -0.578189     6.390793
49749.50    -2.567600    -0.413633     6.562243
49749.75    -2.553682    -0.561185     6.084547
49750.00    -1.980343    -0.635068     5.252564
49750.25    -1.793109    -0.579134     4.785321
49750.50    -1.606719    -0.433478     3.904978
49750.75    -1.690145    -0.655781     2.395588
49751.00    -1.190511    -0.729284     1.061882
49751.25    -1.092580    -0.677067    -0.122725
49751.50    -0.846626    -0.449841    -0.726601
49751.75    -0.893973    -0.524106    -0.973135
49752.00    -0.447958    -0.376953    -0.445595
49752.25    -0.396645    -0.079875     0.283653
49752.50    -0.202584     0.387941     1.627007
49752.75    -0.278841     0.551176     3.484700
49753.00    -0.205307     0.532108     6.007069
49753.25    -0.902959     0.287700     9.296945
49753.50    -1.150723     0.021018    10.306307
49753.75    -1.346307    -0.215551     9.428994
49754.00    -0.806303    -0.352105     7.897584
49754.25    -0.491986    -0.219996     7.158645
49754.50    -0.081342     0.129708     6.978600
49754.75    -0.114725     0.061318     6.649400
49755.00     0.405621     0.012220     6.100956
49755.25     0.452308     0.109621     5.365653
49755.50     0.616086     0.286779     4.924332
49755.75     0.321674     0.178357     4.561103
49756.00     0.664507     0.127563     4.355090
49756.25     0.422771     0.148423     3.966645
49756.50     0.443116     0.378986     4.514277
49756.75     0.097392     0.152474     4.615401
49757.00     0.124893     0.058698     5.253969
49757.25     0.004766     0.051214     5.049780
49757.50    -0.023324     0.424888     5.547141
49757.75    -0.469883     0.427331     5.797114
49758.00    -0.353196     0.396907     6.411765
49758.25    -0.549306     0.287128     5.687941
49758.50    -0.321609     0.461148     4.912348
49758.75    -0.615978     0.416839     4.146536
49759.00    -0.503523     0.550555     4.586323
49759.25    -0.923445     0.572529     5.073562
49759.50    -1.136921     0.511240     5.457925
49759.75    -1.590937     0.142731     4.876508
49760.00    -1.573834    -0.070661     4.695166
49760.25    -2.109097    -0.333502     4.486491
49760.50    -2.268216    -0.397357     3.848299
49760.75    -2.681365    -0.804868     2.863436
49761.00    -2.409849    -0.956531     1.816007
49761.25    -2.304836    -0.960754     0.531042
49761.50    -1.934342    -0.578533     0.424704
49761.75    -2.109452    -0.641507     0.140739
49762.00    -1.795350    -0.566278     0.485498
49762.25    -1.748067    -0.507656     0.290819
49762.50    -1.429597    -0.362071    -0.118257
49762.75    -1.369018    -0.563926    -1.134141
49763.00    -0.871559    -0.555581    -1.529456
49763.25    -0.797457    -0.512849    -2.492117
49763.50    -0.468402    -0.134201    -2.362750
49763.75    -0.828663    -0.032930    -1.316045
49764.00    -0.906062     0.101085     1.281201
49764.25    -1.444202    -0.021456     3.430139
49764.50    -1.203749    -0.321289     3.104021
49764.75    -1.031873    -0.626999     0.976832
49765.00    -0.366375    -0.737676    -0.650132
49765.25    -0.074181    -0.625203    -1.768156
49765.50     0.205755    -0.416089    -2.184816
49765.75    -0.229143    -0.607607    -3.078567
49766.00    -0.094430    -0.623872    -2.864033
49766.25    -0.561856    -0.651604    -2.918294
49766.50    -0.443393    -0.528661    -3.463967
49766.75    -0.676970    -0.707176    -4.687949
49767.00    -0.478814    -0.656175    -4.469406
49767.25    -0.936077    -0.579075    -3.715038
49767.50    -1.086225    -0.420577    -2.094134
49767.75    -1.651654    -0.767583    -1.046603
49768.00    -1.373817    -0.908979    -0.626137
49768.25    -1.406331    -0.761243    -1.071916
49768.50    -1.041468    -0.292146    -0.595918
49768.75    -1.208571    -0.230592     0.055214
49769.00    -0.864669    -0.173411     1.028625
49769.25    -0.939471     0.007137     2.052850
49769.50    -0.796409     0.202035     2.784386
49769.75    -1.136523    -0.112745     2.221107
49770.00    -0.783571    -0.266400     2.035523
49770.25    -0.945423    -0.248321     1.226818
49770.50    -0.924842    -0.061230     0.545269
49770.75    -1.188622    -0.195032    -0.050383
49771.00    -0.888256    -0.123669     0.027582
49771.25    -1.147674    -0.070647    -0.405891
49771.50    -0.900760     0.215351    -0.058075
49771.75    -1.042922     0.020176    -0.196846
49772.00    -0.700856     0.095749     0.336369
49772.25    -0.920475     0.151690     1.274119
49772.50    -0.869012     0.341881     2.572544
49772.75    -1.388949    -0.063417     3.032598
49773.00    -1.144150    -0.432500     2.501698
49773.25    -1.011390    -0.436224     1.572237
49773.50    -0.530943    -0.174417     0.956825
49773.75    -0.809491    -0.368362    -0.107917
49774.00    -0.326080    -0.362495    -0.632688
49774.25    -0.288906    -0.474359    -2.278926
49774.50     0.008477    -0.211068    -3.510523
49774.75    -0.209786    -0.491366    -5.194013
49775.00     0.231597    -0.469891    -6.067876
49775.25     0.131893    -0.425427    -6.981514
49775.50     0.314358    -0.020956    -6.750583
49775.75    -0.002923    -0.057737    -6.249372
49776.00    -0.004169    -0.024527    -4.853030
49776.25    -0.256900    -0.121765    -4.059293
49776.50     0.049582     0.155524    -2.941420
49776.75    -0.187836    -0.105195    -3.533784
49777.00    -0.036750    -0.281013    -3.266579
49777.25    -0.148207    -0.315707    -3.589897
49777.50    -0.112917    -0.046526    -3.323674
49777.75    -0.673813    -0.279330    -3.568839
49778.00    -0.698262    -0.442337    -2.876666
49778.25    -0.950573    -0.629189    -3.297978
49778.50    -0.847219    -0.501626    -3.697355
49778.75    -0.953331    -0.735580    -4.818088
49779.00    -0.447322    -0.688357    -4.802531
49779.25    -0.399925    -0.625347    -5.373514
49779.50     0.026063    -0.370345    -5.421920
49779.75    -0.081470    -0.480041    -5.691242
49780.00     0.202831    -0.420672    -5.278059
49780.25     0.113943    -0.410154    -5.810648
49780.50     0.265179    -0.226900    -6.000087
49780.75     0.083767    -0.491846    -6.751376
49781.00     0.182824    -0.574315    -6.795971
49781.25     0.206719    -0.514732    -7.256600
49781.50     0.620298    -0.194125    -7.270107
49781.75     0.400693    -0.193358    -7.366070
49782.00     0.634731     0.025524    -6.084525
49782.25     0.235199     0.232279    -5.145965
49782.50    -0.026236     0.398925    -3.952310
49782.75    -0.700143     0.067381    -3.896320
49783.00    -0.604181    -0.253081    -4.243185
49783.25    -0.848387    -0.280977    -5.282559
49783.50    -0.799907     0.053631    -5.322332
49783.75    -1.462840     0.003450    -5.077368
49784.00    -1.432957     0.023827    -3.729500
49784.25    -1.923385    -0.083217    -2.576604
49784.50    -1.739011    -0.010330    -1.518446
49784.75    -1.966805    -0.456158    -2.124125
49785.00    -1.455606    -0.539973    -1.612289
49785.25    -1.526563    -0.570563    -1.416092
49785.50    -1.350549    -0.524452    -0.921469
49785.75    -1.556851    -0.841902    -1.889029
49786.00    -1.034096    -0.991636    -2.367854
49786.25    -1.282069    -0.997118    -3.100940
49786.50    -1.017935    -0.773999    -3.713306
49786.75    -1.349919    -0.917320    -4.251515
49787.00    -0.949909    -0.889560    -4.327517
49787.25    -1.120902    -0.836965    -4.805171
49787.50    -0.662317    -0.511053    -4.978626
49787.75    -0.860573    -0.578933    -5.475056
49788.00    -0.383771    -0.532644    -5.297311
49788.25    -0.394179    -0.536503    -5.858963
49788.50    -0.304844    -0.292681    -5.747761
49788.75    -0.970697    -0.620340    -6.463766
49789.00    -1.027630    -0.659985    -5.775359
49789.25    -1.562031    -0.789173    -6.122893
49789.50    -1.637697    -0.628979    -5.910571
49789.75    -1.959432    -0.860262    -6.368505
49790.00    -1.797891    -0.967550    -6.411448
49790.25    -2.069468    -0.987987    -6.995130
49790.50    -1.810059    -0.778890    -6.893392
49790.75    -1.941413    -0.925798    -7.233593
49791.00    -1.513326    -0.948821    -6.307335
49791.25    -1.458123    -0.853168    -5.318657
49791.50    -1.169250    -0.557922    -4.153214
49791.75    -1.280805    -0.617026    -3.753835
49792.00    -0.842485    -0.466330    -2.988130
49792.25    -0.860607    -0.383786    -2.762170
49792.50    -0.741583    -0.123828    -2.419287
49792.75    -0.839889    -0.249752    -2.622557
49793.00    -0.408554    -0.256595    -2.390504
49793.25    -0.373113    -0.327808    -2.591756
49793.50    -0.037592    -0.024087    -1.809677
49793.75     0.055011    -0.255536    -1.603168
49794.00     0.694770    -0.366257    -1.385178
49794.25     0.736723    -0.482998    -1.413150
49794.50     1.319131    -0.130622    -0.864143
49794.75     1.277709    -0.300063    -1.100399
49795.00     1.606346    -0.275903    -0.513904
49795.25     1.701977    -0.212743    -0.417169
49795.50     1.917879     0.077085    -0.484413
49795.75     1.480043    -0.059489    -0.443744
49796.00     1.542530    -0.045948     0.522211
49796.25     1.173458     0.038025     1.055653
49796.50     0.924968     0.322360     1.828052
49796.75     0.355682     0.276292     2.911937
49797.00     0.324111     0.315309     4.437096
49797.25    -0.353768     0.316610     4.881060
49797.50    -0.477751     0.638767     6.054351
49797.75    -1.101360     0.518496     6.396226
49798.00    -1.110711     0.394244     6.906819
49798.25    -1.542288     0.257052     7.114959
49798.50    -1.469633     0.456951     7.183358
49798.75    -1.921473     0.264903     6.441452
49799.00    -1.570428     0.120347     5.681599
49799.25    -1.616414     0.018184     4.998046
49799.50    -1.410810     0.145516     4.430725
49799.75    -1.684469    -0.089599     3.306622
49800.00    -1.131920    -0.161978     2.763649
49800.25    -1.109535    -0.215743     1.939063
49800.50    -0.684633    -0.032828     1.623646
49800.75    -0.722270    -0.243416     1.284217
49801.00    -0.081992    -0.245004     1.322029
49801.25    -0.028782    -0.305101     0.777061
49801.50     0.519894     0.095501     1.334391
49801.75     0.586346     0.067213     1.342288
49802.00     0.958011     0.061071     1.000905
49802.25     0.895736     0.042403     0.374245
49802.50     1.296063     0.336364     0.223202
49802.75     0.985772     0.267332    -0.361891
49803.00     1.301861     0.253578    -0.639071
49803.25     1.112904     0.212735    -1.170177
49803.50     1.277241     0.444393    -1.393762
49803.75     0.861791     0.199308    -2.023319
49804.00     0.998090     0.162897    -1.784525
49804.25     0.652343    -0.009750    -1.874412
49804.50     0.771235     0.142784    -1.353698
49804.75     0.494443    -0.094196    -1.078890
49805.00     0.736120    -0.137131    -0.436662
49805.25     0.549536    -0.169463    -0.778488
49805.50     0.776811     0.091791    -0.697881
49805.75     0.231815    -0.080626    -0.998507
49806.00     0.082522    -0.085531    -0.611045
49806.25    -0.364313    -0.091489    -0.649942
49806.50    -0.343499     0.209098     0.038929
49806.75    -0.916140    -0.111218    -0.153050
49807.00    -0.588739    -0.161054     0.712679
49807.25    -0.822771    -0.250826     0.818256
49807.50    -0.611388    -0.046422     1.628706
49807.75    -0.905550    -0.304753     1.781614
49808.00    -0.453984    -0.360193     2.264828
49808.25    -0.427709    -0.450383     1.872572
49808.50    -0.035779    -0.166652     1.961222
49808.75    -0.138667    -0.249871     1.644873
49809.00     0.436881    -0.136583     1.775889
49809.25     0.539042    -0.118321     1.100301
49809.50     1.015334     0.165754     1.074778
49809.75     0.768334    -0.017973     0.423779
49810.00     1.027262    -0.044314     0.584749
49810.25     0.747818    -0.141858    -0.033340
49810.50     0.892650     0.078755    -0.223644
49810.75     0.393931    -0.022698    -0.186385
49811.00     0.513336     0.036461     1.088780
49811.25     0.077086     0.067138     1.719606
49811.50    -0.005915     0.380962     3.472300
49811.75    -0.653886     0.116757     4.925442
49812.00    -0.735045    -0.436576     4.968142
49812.25    -0.991097    -0.753561     3.779982
49812.50    -0.923904    -0.561140     3.235098
49812.75    -1.317958    -0.711804     3.455719
49813.00    -0.769248    -0.765430     2.729511
49813.25    -0.510147    -0.692172     1.078611
49813.50    -0.069203    -0.214088     0.752906
49813.75    -0.372266    -0.153184     0.903441
49814.00     0.034247     0.021700     1.148163
49814.25    -0.119062     0.059766     0.725768
49814.50     0.004411     0.292878     0.563107
49814.75    -0.191681     0.149148     0.249639
49815.00     0.040529     0.135860     0.351293
49815.25    -0.127498     0.137223     0.310323
49815.50     0.013132     0.424162     0.495225
49815.75    -0.305611     0.281052     0.869907
49816.00    -0.293978     0.276756     1.676780
49816.25    -0.605898     0.270074     1.881655
49816.50    -0.428752     0.437843     2.498422
49816.75    -0.811981     0.034860     2.323674
49817.00    -0.580734    -0.318661     1.994635
49817.25    -0.619194    -0.737884    -0.287004
49817.50    -0.257168    -0.585087    -1.998537
49817.75    -0.365412    -0.813569    -3.573948
49818.00    -0.067138    -0.724700    -3.654896
49818.25    -0.111246    -0.739642    -4.471372
49818.50     0.294115    -0.307409    -4.858235
49818.75    -0.012684    -0.356971    -5.224520
49819.00     0.146845    -0.161221    -4.473865
49819.25    -0.176258    -0.027809    -4.206491
49819.50    -0.263502     0.392549    -3.188466
49819.75    -0.962612     0.223881    -2.702647
49820.00    -1.009974     0.349099    -1.042064
49820.25    -1.536687     0.342151     0.379778
49820.50    -1.685093     0.453485     2.199235
49820.75    -2.092541     0.142600     2.131269
49821.00    -1.833581     0.073525     2.134419
49821.25    -1.919180    -0.020357     1.700904
49821.50    -1.633730     0.214986     1.657704
49821.75    -1.890871     0.077808     1.171301
49822.00    -1.724401    -0.046278     0.788091
49822.25    -2.000625    -0.048916     0.565536
49822.50    -1.772966     0.303306     0.984502
49822.75    -1.955842     0.272915     0.987053
49823.00    -1.571800     0.278822     0.813000
49823.25    -1.580694     0.231253     0.458885
49823.50    -1.045936     0.522902     0.500065
49823.75    -1.054649     0.328647    -0.483942
49824.00    -0.771519     0.180888    -1.008385
49824.25    -0.534224     0.155039    -1.511951
49824.50    -0.582543     0.292709    -1.702913
49824.75    -0.802704     0.199173    -1.766818
49825.00    -0.501635     0.140101    -1.469372
49825.25    -0.504541     0.160600    -1.986274
49825.50    -0.183342     0.428333    -1.880741
49825.75    -0.340144     0.309233    -2.077052
49826.00    -0.194035     0.408321    -0.962194
49826.25    -0.437165     0.622214    -0.217910
49826.50    -0.459460     1.107132     1.042026
49826.75    -1.082767     0.926405     1.472928
49827.00    -1.000706     0.701341     1.757109
49827.25    -1.235728     0.420949     0.942477
49827.50    -0.860681     0.527690     0.514196
49827.75    -1.015199     0.292879    -0.428429
49828.00    -0.661836     0.290478    -0.842288
49828.25    -0.782198     0.371305    -1.507127
49828.50    -0.602930     0.696298    -1.297344
49828.75    -1.110459     0.672300    -0.670063
49829.00    -1.205129     0.668970     0.516933
49829.25    -1.739969     0.541941     0.579964
49829.50    -1.718702     0.633979     1.193326
49829.75    -2.142925     0.235117     0.940504
49830.00    -1.943910    -0.002809     0.583047
49830.25    -2.083069    -0.163008     0.005991
49830.50    -1.699173     0.158001     0.251063
49830.75    -1.851828     0.026112     0.026756
49831.00    -1.369708     0.121365     0.274689
49831.25    -1.395985     0.202527     0.200569
49831.50    -1.091381     0.597995     0.805108
49831.75    -1.240137     0.541533     0.938546
49832.00    -0.885194     0.553042     1.118346
49832.25    -0.882229     0.513439     0.473789
49832.50    -0.548523     0.733564     0.430660
49832.75    -0.687940     0.519916    -0.033791
49833.00    -0.359866     0.482350    -0.023445
49833.25    -0.372701     0.432080    -0.981431
49833.50    -0.057582     0.669798    -1.232510
49833.75    -0.309686     0.360012    -1.849889
49834.00    -0.093927     0.274380    -2.062556
49834.25    -0.267270     0.139543    -2.785919
49834.50    -0.000167     0.446038    -2.562044
49834.75    -0.320141     0.307559    -2.335050
49835.00    -0.292317     0.348005    -1.681162
49835.25    -0.524623     0.301267    -1.717175
49835.50    -0.403474     0.554803    -1.278157
49835.75    -0.668795     0.315836    -1.501712
49836.00    -0.352856     0.224017    -1.232276
49836.25    -0.511164     0.158831    -1.570917
49836.50    -0.264691     0.343187    -1.389654
49836.75    -0.532769     0.139754    -1.774409
49837.00    -0.174638     0.113825    -1.462613
49837.25    -0.236262     0.104564    -1.670564
49837.50     0.034862     0.376298    -1.287727
49837.75    -0.347708     0.182475    -1.507093
49838.00    -0.143935     0.140757    -0.975041
49838.25    -0.323254     0.062252    -1.019730
49838.50    -0.081499     0.354008    -0.223676
49838.75    -0.385476     0.151903     0.004252
49839.00    -0.190262     0.109845     0.644260
49839.25    -0.272691     0.006041     0.421332
49839.50    -0.056995     0.295013     0.670519
49839.75    -0.569329     0.082848     0.202054
49840.00    -0.361065     0.013196     0.496889
49840.25    -0.609727    -0.012054    -0.068890
49840.50    -0.364482     0.181678    -0.143451
49840.75    -0.595226    -0.002400    -0.426142
49841.00    -0.253857    -0.032405    -0.174492
49841.25    -0.230403    -0.067868    -0.966156
49841.50     0.168652     0.271109    -1.063019
49841.75    -0.016280     0.179721    -1.272435
49842.00     0.194324     0.250989    -0.630204
49842.25     0.075144     0.298423    -0.285346
49842.50     0.178727     0.560147     0.358471
49842.75    -0.077077     0.359875     0.544473
49843.00     0.124259     0.321709     1.389858
49843.25    -0.049397     0.209206     1.480587
49843.50     0.179012     0.294570     1.637455
49843.75     0.068166    -0.051477     1.062949
49844.00     0.333677    -0.172674     0.484788
49844.25     0.042276    -0.327933    -0.250302
49844.50     0.261400    -0.121778    -0.102955
49844.75     0.036694    -0.258415    -0.228694
49845.00     0.309913    -0.316275    -0.384237
49845.25     0.198736    -0.306725    -0.647940
49845.50     0.755476     0.149934    -1.155537
49845.75     0.481954     0.109014    -1.889600
49846.00     0.893123     0.230394    -2.010842
49846.25     0.745606     0.215752    -2.067993
49846.50     1.161876     0.587864    -1.986277
49846.75     0.968203     0.565907    -1.494632
49847.00     1.269225     0.726046    -0.676810
49847.25     1.242452     0.765098    -0.817785
49847.50     1.428546     1.097197    -0.258359
49847.75     1.083001     0.939464    -0.042099
49848.00     1.000320     0.945708     0.681636
49848.25     0.826799     0.887455     0.845645
49848.50     0.894120     1.171578     1.586974
49848.75     0.422230     0.891875     1.832209
49849.00     0.336389     0.800534     2.415172
49849.25     0.106694     0.656069     2.682914
49849.50     0.117163     0.792270     2.842130
49849.75    -0.141922     0.535088     2.291404
49850.00    -0.022620     0.447679     2.204813
49850.25    -0.036114     0.397951     1.266104
49850.50     0.270787     0.643737     0.559218
49850.75     0.177320     0.461998    -0.539961
49851.00     0.438601     0.485235    -0.682062
49851.25     0.409291     0.497148    -1.164251
49851.50     0.637372     0.886998    -0.623761
49851.75     0.216809     0.805780     0.026126
49852.00     0.261561     0.839167     0.988432
49852.25     0.096317     0.810196     1.062585
49852.50     0.298252     1.053703     1.707346
49852.75     0.041566     0.712836     1.302691
49853.00     0.445622     0.616659     1.623939
49853.25     0.407670     0.444985     1.052780
49853.50     0.675346     0.629528     1.133706
49853.75     0.492193     0.551334     0.986538
49854.00     0.640892     0.588822     1.443535
49854.25     0.468551     0.683810     1.257365
49854.50     0.498664     1.040153     1.809725
49854.75    -0.128054     1.087218     2.366995
49855.00    -0.304911     1.060474     3.501864
49855.25    -0.801576     0.867205     3.629286
49855.50    -0.822556     0.944443     3.833693
49855.75    -1.363829     0.690155     3.174307
49856.00    -1.465564     0.590544     3.117281
49856.25    -1.757763     0.488069     2.850057
49856.50    -1.889110     0.576926     2.613845
49856.75    -2.421885     0.277215     2.330225
49857.00    -2.433384     0.187842     2.378719
49857.25    -2.606939     0.088388     2.089894
49857.50    -2.446061     0.246900     1.910453
49857.75    -2.556525     0.117245     1.095431
49858.00    -2.119081     0.248342     0.982212
49858.25    -2.086517     0.305057     0.098657
49858.50    -1.709459     0.602640     0.054569
49858.75    -1.873564     0.466599    -0.095591
49859.00    -1.598788     0.389598    -0.093656
49859.25    -1.619828     0.249924    -0.797791
49859.50    -1.247561     0.350220    -0.799792
49859.75    -1.442329     0.037306    -1.794565
49860.00    -1.234394    -0.085604    -2.355592
49860.25    -1.230134    -0.190745    -2.937632
49860.50    -0.850837     0.055988    -3.201375
49860.75    -1.223793    -0.042122    -3.248751
49861.00    -0.960151     0.042001    -2.435641
49861.25    -1.239117     0.074215    -1.910779
49861.50    -1.201312     0.317124    -0.778729
49861.75    -1.393941     0.010666    -0.900396
49862.00    -0.890924    -0.027439    -1.072561
49862.25    -0.802965    -0.159293    -2.049300
49862.50    -0.322436     0.020005    -2.975362
49862.75    -0.652616    -0.172002    -3.742622
49863.00    -0.397678    -0.115737    -3.606914
49863.25    -0.462012    -0.203116    -4.200932
49863.50    -0.131387     0.007635    -4.088000
49863.75    -0.460270    -0.221101    -4.376103
49864.00    -0.237489    -0.233508    -3.899325
49864.25    -0.319494    -0.305022    -4.546077
49864.50    -0.116324    -0.032430    -4.523662
49864.75    -0.416968    -0.191005    -5.079848
49865.00    -0.264942    -0.142889    -4.769370
49865.25    -0.375816    -0.186904    -5.294266
49865.50    -0.020574     0.186107    -4.875239
49865.75    -0.390754     0.096729    -4.485304
49866.00    -0.180057     0.247442    -3.137351
49866.25    -0.264228     0.364477    -2.151670
49866.50    -0.107694     0.767861    -0.529499
49866.75    -0.631296     0.561013     0.635166
49867.00    -0.732295     0.372402     1.716704
49867.25    -0.958216     0.152975     1.627650
49867.50    -0.698162     0.375331     1.781881
49867.75    -0.871443     0.132931     1.214955
49868.00    -0.783816     0.130557     1.062976
49868.25    -1.014235     0.109402     0.520387
49868.50    -0.882194     0.314531     0.384983
49868.75    -1.238429     0.212136     0.067373
49869.00    -1.020536     0.232442     0.160478
49869.25    -0.941505     0.165536    -0.379940
49869.50    -0.617474     0.365319    -0.684460
49869.75    -0.788761     0.176844    -1.010677
49870.00    -0.536544     0.193993    -0.832451
49870.25    -0.326289     0.240451    -1.446800
49870.50     0.010132     0.457741    -1.553169
