CONTINENT	SLCR2.0	SLCR1.2	PIXELS	12 Month Mean NDVI	Update	SLCR 2.0 LABEL	OGE V2.0	OLSON	STRUCTURE	FOLIAGE	SEASON	IGBP V2.0	IGBP	BATS V2.0	BATS	SIB V2.0	SIB	SIB2 V2.0	SIB2	USGS V2.0	USGS	RUN V2.0	RUNNING	BIOME_CODE	LOCATION	REGION	BIOME	Elevation Mean	Elevation Standard Deviation	APR '92 Mean NDVI	MAY '92 Mean NDVI	JUN '92 Mean NDVI	JUL '92 Mean NDVI	AUG '92 Mean NDVI	SEP '92 Mean NDVI	OCT '92 Mean NDVI	NOV '92 Mean NDVI	DEC '92 Mean NDVI	JAN '93 Mean NDVI	FEB '93 Mean NDVI	MAR '93 Mean NDVI
AP	11	89	16488	133.13		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea, Celebes	Tropical/Subtropical	Evergreen Rain Forests	894.44	631.55	141.97	138.42	126.30	123.35	146.71	134.44	140.98	136.99	119.32	120.42	155.07	119.06
AP	12	90	15375	133.60		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, New Guinea	Tropical/Subtropical	Evergreen Rain Forests	674.21	541.99	140.56	134.98	133.34	122.71	125.81	124.17	119.18	124.94	130.28	153.37	148.92	150.42
AP	13	91	46390	135.06		Lowland Tropical Evergreen Forest with Mangroves	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Sumatra	Tropical/Subtropical	Evergreen Rain Forests	88.65	130.31	156.21	155.34	141.41	131.14	117.34	134.73	135.59	128.90	130.19	120.68	134.50	140.23
AP	14	92	7069	135.14		Temperate Moist Broadleaf Evergreen Forest (Podocarp, Beech)	6	EVERGREEN BROADLEAF FORESTS	BROADLEAF FOREST	EVERGREEN	MILD-WARM	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	New Zealand	Temperate/Arctic	Moist Warm Temperature Woodlands	491.86	391.61	143.18	141.18	120.48	129.15	132.04	140.04	127.69	141.13	116.72	140.55	143.71	151.28
AP	15	93	9447	135.37		Evergreen Broadleaf Forest (Podocarp, Beech)	6	EVERGREEN BROADLEAF FORESTS	BROADLEAF FOREST	EVERGREEN	MILD-WARM	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	New Zealand	Temperate/Arctic	Moist Warm Temperature Woodlands	481.07	358.77	108.49	142.86	96.24	112.00	118.29	145.57	148.60	151.11	155.49	148.59	162.01	140.70
AP	16	94	20201	135.84		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Scattered Indonesia Islands	Tropical/Subtropical	Evergreen Rain Forests	626.47	711.91	134.28	145.54	146.48	153.73	146.31	142.70	138.06	120.45	122.30	126.47	145.80	113.47
AP	17	95	20615	136.96		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Scattered Indonesia Islands	Tropical/Subtropical	Evergreen Rain Forests	428.51	621.62	127.71	149.79	154.89	141.98	149.62	129.67	118.98	128.19	119.03	153.22	153.70	122.21
AP	18	96	24361	139.06		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Scattered Indonesia Islands	Tropical/Subtropical	Evergreen Rain Forests	398.33	412.79	153.56	148.26	144.04	152.50	144.60	154.28	141.60	148.19	124.80	117.57	112.77	132.01
AP	19	97	32703	140.22		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	543.52	598.66	155.48	139.81	141.13	132.19	122.43	152.97	140.37	155.56	123.31	125.09	141.93	157.80
AP	20	98	36705	140.32		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	515.28	485.34	140.31	141.64	131.43	118.99	127.25	148.71	139.06	149.39	139.64	150.93	152.66	149.35
AP	21	99	74666	142.58		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, New Guinea, Celebes	Tropical/Subtropical	Evergreen Rain Forests	366.42	422.39	139.99	149.82	142.59	150.68	148.04	148.62	129.04	132.42	119.84	156.51	155.62	143.22
AP	22	100	39743	143.17		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Scattered Indonesia Islands	Tropical/Subtropical	Evergreen Rain Forests	541.82	568.55	155.16	147.62	135.11	144.90	150.03	156.55	149.20	149.41	115.44	113.48	151.25	155.34
AP	23	101	14007	144.38		Temperate Broadleaf Evergreen Forest (Eucalyptus)	89	MOIST EUCALYTPUS	MEDIUM OPEN EUCALYPTUS FOREST	BROADLEAF EVERGREEN	MILD	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	Tasmania	Temperate/Arctic	Moist Warm Temperature Woodlands	426.07	285.29	150.93	117.58	131.83	128.52	146.58	149.17	151.39	141.92	137.27	161.27	160.12	161.45
AP	24	102	75414	144.46		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, New Guinea	Tropical/Subtropical	Evergreen Rain Forests	332.43	422.95	147.59	150.60	149.51	150.27	148.76	144.54	140.22	137.33	136.48	141.16	142.75	149.79
AP	25	104	13659	145.32		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	298.16	306.72	149.09	152.48	146.72	141.06	133.63	137.01	135.20	138.11	144.79	160.61	154.51	156.09
AP	26	105	4657	145.91		Evergreen Broadleaf Forest (Podocarp, Beech)	6	EVERGREEN BROADLEAF FORESTS	BROADLEAF FOREST	EVERGREEN	MILD-WARM	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	New Zealand	Temperate/Arctic	Moist Warm Temperature Woodlands	476.35	274.22	159.69	158.92	119.77	144.32	146.35	155.45	111.63	153.16	137.96	160.76	144.81	163.64
AP	27	106	10680	147.98		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Eastern Australia	Tropical/Subtropical	Evergreen Rain Forests	314.61	289.75	155.41	153.25	151.88	147.06	154.41	148.36	151.43	148.04	119.06	149.16	143.64	159.58
AP	28	107	14943	148.25		Evergreen Broadleaf Forest (Podocarp, Beech)	6	EVERGREEN BROADLEAF FORESTS	BROADLEAF FOREST	EVERGREEN	MILD-WARM	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	New Zealand	Temperate/Arctic	Moist Warm Temperature Woodlands	570.79	347.45	157.31	147.99	135.12	131.19	123.15	150.08	147.96	153.30	147.00	162.89	165.44	163.09
AP	29	29	44115	148.34	relabel	Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Scattered Indonesia Islands	Tropical/Subtropical	Evergreen Rain Forests	313.40	308.43	155.28	154.78	149.70	149.13	153.54	152.56	150.24	142.93	116.22	151.59	155.55	154.08
AP	30	108	43036	148.66		Seasonal Dry Forest	29	SEASONAL TROPICAL FOREST	MEDIUM FOREST AND PLANTATIONS	EVERGREEN, BROADLEAF	HOT, SEASONAL, MOIST	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	263.00	360.71	153.48	155.04	155.79	153.70	157.08	160.42	153.55	150.99	118.56	154.49	121.97	154.36
AP	31	67	2888	149.62	relabel	Evergreen Broadleaf Forest (Nothofagus)	6	EVERGREEN BROADLEAF FORESTS	BROADLEAF FOREST	EVERGREEN	MILD-WARM	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	Tasmania	Temperate/Arctic	Moist Warm Temperature Woodlands	330.91	275.96	156.11	149.40	118.13	137.30	151.25	146.71	154.59	150.81	153.11	162.68	159.80	161.00
AP	32	110	40115	149.96		Seasonal Dry Forest	29	SEASONAL TROPICAL FOREST	MEDIUM FOREST AND PLANTATIONS	EVERGREEN, BROADLEAF	HOT, SEASONAL, MOIST	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	72.39	188.89	162.09	156.13	147.94	140.21	154.24	159.70	154.29	144.59	121.97	154.24	153.41	156.16
AP	33	31	27573	150.52	relabel	Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo	Tropical/Subtropical	Evergreen Rain Forests	235.53	263.69	150.32	156.40	153.21	158.36	153.33	151.62	126.63	149.83	139.08	157.71	157.25	157.98
AP	34	111	27756	150.76		Podocarp, Broadleaf, Beech Forest with Scrub And Exotics	6	EVERGREEN BROADLEAF FORESTS	BROADLEAF FOREST	EVERGREEN	MILD-WARM	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	New Zealand	Temperate/Arctic	Moist Warm Temperature Woodlands	450.82	269.13	162.30	155.57	126.46	145.29	147.84	154.33	142.39	157.76	134.83	164.35	156.71	166.74
AP	35	112	82878	151.35		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, New Guinea	Tropical/Subtropical	Evergreen Rain Forests	310.75	320.09	151.90	156.24	151.39	158.05	155.99	156.17	127.09	148.35	143.29	159.03	155.95	158.18
AP	36	113	182325	151.65		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, New Guinea, Celebes	Tropical/Subtropical	Evergreen Rain Forests	249.88	333.69	155.33	152.51	145.41	153.86	156.03	157.49	154.10	152.38	148.15	144.84	149.25	155.96
AP	37	114	48896	151.79		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea, Celebes	Tropical/Subtropical	Evergreen Rain Forests	325.88	348.62	152.18	156.48	154.27	158.32	159.91	157.94	152.72	151.68	137.03	157.08	157.98	131.34
AP	38	115	39314	152.04		Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	141.11	187.72	160.08	152.78	145.88	127.58	140.93	160.62	156.90	160.92	151.28	154.88	157.72	160.43
AP	39	132	106055	152.41	relabel	Eucalyptus Forest	89	MOIST EUCALYTPUS	MEDIUM OPEN ECUALPTUS FOREST	BROADLEAF EVERGREEN	MILD	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	2	Eastern Australia	Tropical/Subtropical	Semi-evergreen and Deciduous Forests	380.80	281.81	152.55	155.02	153.39	153.56	154.92	151.77	155.00	153.80	149.26	147.69	151.11	156.32
AP	40	116	231470	152.61		Tropical Evergreen Rainforest with Mangroves (Coastal)	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, New Guinea, Celebes	Tropical/Subtropical	Evergreen Rain Forests	274.93	309.36	153.51	146.90	154.83	158.39	157.60	157.47	150.55	148.70	130.02	157.55	159.16	162.11
AP	41	117	77097	153.13		Tropical Evergreen Rainforest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	Borneo, New Guinea	Tropical/Subtropical	Evergreen Rain Forests	217.21	254.66	154.38	156.69	155.46	156.17	157.12	147.78	148.45	136.35	151.04	158.75	160.98	159.91
AP	42	118	11369	153.15	split	Tropical Evergreen Forest	33	TROPICAL RAINFOREST	TALL-MEDIUM CLOSED FOREST	EVERGREEN BROADLEAF	HOT	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	1	New Guinea	Tropical/Subtropical	Evergreen Rain Forests	262.66	327.56	156.62	160.14	155.99	162.73	161.12	161.08	158.50	155.74	152.02	157.78	140.66	132.22
AP	43	119	52749	154.24		Eucalyptus Forest	89	MOIST EUCALYTPUS	MEDIUM OPEN EUCALYPTUS FOREST	BROADLEAF EVERGREEN	MILD	2	EVERGREEN BROADLEAF FOREST	6	EVERGREEN BROADLEAF FOREST	1	EVERGREEN BROADLEAF TREES	1	BROADLEAF-EVERGREEN TREES	13	421 EVERGREEN BROADLEAF  FOREST	2	EVERGREEN BROADLEAF VEGETATION	6	Southeast Australia	Temperate/Arctic	Moist Warm Temperature Woodlands	550.17	376.00	158.77	154.72	152.34	151.57	156.85	139.87	153.85	141.41	158.37	160.39	163.99	164.29
