hydunit|avgpf|avgrf|avgtmrf|eros|mannit|mannrun|mannlea|comnit|comnrun|comnlea|lbspest|pestrun|pestlea|priorlea|priorrun
01050002|  0.00|   0.00|   0.00|      8098|   207035.72|   879731.32|  2658092.89|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01050003|  4.79|   3.17|   0.21|     19372|   328927.46|  1606694.52|  2633377.65|        0.00|        0.00|        0.00|     4804.48|    314.59|    29.065|     0|     0
01060001|  0.00|   2.95|   0.09|     30373|   191683.95|   495974.56|   627166.11|        0.00|        0.00|        0.00|    16055.20|    362.01|    64.693|     0|     0
01060002| 14.09|   3.70|   0.00|      8317|   145165.36|   566539.14|  1875635.22|        0.00|        0.00|        0.00|    12151.56|     72.35|    59.051|     0|     0
01060003| 10.35|   4.62|   0.59|     16068|   272660.55|   926751.12|  3635321.60|        0.00|        0.00|        0.00|    13477.40|   1122.14|   140.083|     0|     0
01070001|  0.00|   0.00|   0.00|       715|   233877.54|   533337.57|  2484075.02|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01070002|  9.89|   4.40|   0.75|     33621|   426584.98|  1320725.79|  4355211.48|        0.00|        0.00|        0.00|    14437.02|   1071.13|    69.499|     0|     0
01070003|  0.00|   0.00|   0.00|      7630|   155572.03|   462274.13|  2042852.62|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01070004|  0.00|   0.00|   0.00|      3458|   185176.83|   540360.13|  2229584.03|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01070005| 14.17|   6.75|   0.00|      3737|    88005.51|   386177.32|   944728.94|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01080101| 10.08|   1.76|   0.42|     38253|   546726.35|   750582.02|  5998120.17|        0.00|        0.00|        0.00|     9234.64|    727.24|    45.645|     0|     0
01080102|  8.82|   2.30|   0.00|     22568|   540813.98|   591798.34|  4358378.86|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01080103|  3.87|   5.21|   1.01|     32146|   524706.68|   580578.04|  3341834.28|        0.00|        0.00|        0.00|     3759.36|    297.86|    11.022|     0|     0
01080104|  9.59|   2.45|   0.43|     74470|   573971.46|  1105968.05|  4672569.71|        0.00|        0.00|        0.00|    36210.54|   2607.90|   191.370|     0|     0
01080105|  9.96|   2.16|   0.38|     53704|   390482.14|   922560.54|  3348120.51|        0.00|        0.00|        0.00|    10338.24|    731.04|    43.044|     0|     0
01080106|  0.00|   9.07|   1.70|      1914|   193647.88|   354564.78|  1678406.05|        0.00|        0.00|        0.00|     2506.24|    409.96|     6.073|     0|     0
01080107|  0.00|   0.00|   0.00|      2451|   212482.70|   527118.83|  2009022.68|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01080201| 13.45|   3.58|   0.66|     87080|   498955.98|  1848741.85|  5355169.53|        0.00|        0.00|        0.00|    81193.19|   2494.49|   290.221|     0|     0
01080202|  0.00|   0.00|   0.00|        90|   217995.72|   869796.94|  2374903.12|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01080203| 14.05|   6.03|   0.71|     16881|   311968.23|  1776527.78|  4015260.64|        0.00|        0.00|        0.00|    11370.10|    833.08|    59.560|     0|     0
01080204|  0.00|   0.00|   0.00|      7168|   300187.14|   847028.70|  3493805.52|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01080205| 12.92|   4.86|   0.65|    433873|   906009.53|  4590105.45| 12709090.84|        0.00|        0.00|        0.00|    78382.40|   4500.91|   463.235|     2|     0
01080206| 15.67|   3.95|   0.74|     27794|   199854.29|   900335.27|  2321424.25|        0.00|        0.00|        0.00|    16943.99|    679.02|   176.778|     0|     0
01080207| 16.86|   5.81|   0.64|     55522|   269964.54|  1432945.55|  3432919.40|        0.00|        0.00|        0.00|    25494.80|    789.71|   253.856|     0|     0
01090001| 13.37|   5.01|   0.58|     10222|   141264.13|   992396.07|  1687243.57|        0.00|        0.00|        0.00|     4609.50|    340.47|    26.836|     0|     0
01090002| 12.45|   8.74|   1.03|     23272|   174849.86|   439083.58|  2219525.15|        0.00|        0.00|        0.00|    14408.00|   1073.11|   168.466|     0|     0
01090003| 11.89|   6.41|   0.83|     41721|   189590.72|   690253.66|  2506553.08|        0.00|        0.00|        0.00|    13213.90|    990.79|   172.505|     0|     0
01090004| 13.03|   6.78|   0.60|     53697|   406338.19|  1589162.76|  5735424.92|        0.00|        0.00|        0.00|    17697.43|    911.13|    86.364|     0|     0
01090005| 16.74|   3.73|   0.28|     30536|   318773.97|   967837.25|  6324774.76|        0.00|        0.00|        0.00|     9551.10|    365.70|    31.890|     0|     0
01100001| 16.64|   4.87|   0.67|     78496|  1244279.55|  4293174.54| 18791473.09|        0.00|        0.00|        0.00|    33466.50|   2300.58|   331.596|     2|     0
01100002|  9.73|  11.69|   1.35|     11916|   958990.07|  4036660.80| 13584854.32|        0.00|        0.00|        0.00|     6372.00|    452.24|   127.649|     2|     0
01100003| 14.63|   5.18|   0.59|     37927|  1744360.14|  4790073.75| 30616141.44|        0.00|        0.00|        0.00|    18797.40|   1347.94|    95.715|     2|     0
01100004| 18.80|   4.31|   0.64|     64970|   167540.68|   690337.29|  2893289.40|        0.00|        0.00|        0.00|    18160.20|   1229.34|   129.731|     0|     0
01100005| 11.49|   7.58|   0.97|    215587|  1028825.19|  6695794.64| 12575987.66|   121272.97|   117543.37|  1482397.03|    63749.81|   4645.62|   386.844|     2|     2
01100006| 14.69|   5.61|   0.00|      1878|    18231.66|    73548.48|   330438.57|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01100007|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
01110000| 19.11|   0.80|   0.25|     48660|  1486170.17|  1144994.13| 24552761.08|        0.00|        0.00|        0.00|    36027.20|   2582.77|   142.252|     2|     0
02010001|  5.20|   3.58|   0.61|    161897|  1909428.32|  4535666.56| 11890224.93|   405774.63|   246091.12|  2526804.26|    63994.89|   6388.75|   179.742|     2|     2
02010002|  5.64|   2.96|   0.50|    320894|  2967305.92|  7177726.00| 19967419.85|        0.00|        0.00|        0.00|    84585.60|   7967.67|   216.885|     2|     3
02010003| 11.07|   2.50|   0.54|     61441|  1070943.87|  3232860.29|  9324589.14|        0.00|        0.00|        0.00|    36653.76|   2985.34|   177.428|     0|     0
02010004|  3.68|   2.31|   0.28|     70787|   498877.30|   555966.18|  3064134.75|   253310.81|    69946.47|  1555850.40|     7293.05|    487.84|    24.110|     0|     0
02010005| 14.96|   1.93|   0.39|     38545|  2184895.61|  7525502.75| 33031320.74|        0.00|        0.00|        0.00|    41622.30|   2715.84|   121.893|     2|     2
02010006| 12.93|   1.03|   0.21|     69035|  1191629.47|  1190506.32| 13391148.70|   691024.41|   143570.39|  7765510.01|    65226.31|   5315.41|   121.522|     2|     0
02010007| 16.26|   1.84|   0.44|    125333|  3028556.00|  3528824.48| 45561847.78|        0.00|        0.00|        0.00|    67041.92|   4977.82|   167.831|     2|     0
02020001|  0.00|   0.00|   0.00|        14|     5520.16|     7450.71|    45183.51|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
02020002|  0.00|   0.00|   0.00|       958|   238995.86|   564468.28|  3145502.63|   218505.51|        0.00|  2875822.39|        0.00|      0.00|     0.000|     0|     0
02020003|  5.90|   5.06|   1.00|    915979|  1875309.38|  5108785.34| 14686994.26|  1144540.41|  1142626.52|  8963778.77|   242571.76|  21621.15|   973.249|     2|     3
02020004|  9.74|   3.03|   0.65|   1384895|  3955497.61|  9368458.21| 45758668.04|  2722574.01|  1774504.82| 31495749.12|   371728.02|  42435.19|  1202.706|     3|     4
02020005|  6.85|   2.59|   0.48|    369213|   922819.75|  2476304.70|  5833396.80|   908930.92|   432377.80|  5745601.69|   102323.68|  12005.34|   309.340|     0|     2
02020006|  8.89|   5.44|   0.98|    795147|  1458299.29|  6356165.61| 11989030.94|  1822975.55|  1794456.48| 14987122.63|   198578.61|  15490.60|   969.373|     2|     3
02020007| 12.64|   8.21|   1.04|    725054|   688043.84|  3224272.34|  7687826.44|   490309.63|   509854.09|  5478452.24|    61997.76|   4026.26|   226.960|     0|     0
02020008|  9.29|   7.60|   1.12|    119809|   508016.83|  2186893.10|  4653594.63|   299320.58|   335304.00|  2741871.02|    20690.45|   1720.51|    93.981|     0|     0
02030101| 12.97|  11.86|   1.34|     24796|    17314.78|   103127.79|   254900.59|     6109.64|     8213.38|    89943.38|     7899.99|    615.35|    39.424|     0|     0
02030102|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
02030103|  0.00|   0.00|   0.00|      1639|   128238.12|   911216.81|  1511172.40|   105010.82|        0.00|  1237459.28|        0.00|      0.00|     0.000|     0|     0
02030104| 15.87|   3.94|   0.57|     14117|    72667.80|   268420.06|  1176736.52|   151607.14|    85887.89|  2455030.59|     5348.55|     99.25|    20.157|     0|     0
02030105|  9.64|   8.34|   1.13|    670293|   252830.80|  1454328.93|  2855388.11|  1594945.16|  1800587.21| 18012787.34|   190264.19|   2602.60|   466.653|     0|     0
02030201| 17.20|   1.64|   0.00|     83066|     2657.63|     4635.24|    57006.86|    59545.45|        0.00|  1277265.40|    77678.90|   1801.23|   205.571|     0|     0
02030202| 20.62|   1.48|   0.26|    246533|    10975.37|    16690.15|   256081.58|   248820.43|    63782.42|  5805574.78|   111513.25|   4977.26|   480.521|     0|     0
02040101| 10.59|   2.93|   0.57|    205851|  1122155.71|  2861173.79|  9492152.02|   331271.15|   190200.93|  2802174.46|    43938.95|   5187.72|   203.960|     0|     0
02040102|  0.00|   0.00|   0.00|      1463|   694511.48|  1962374.65|  5594588.95|   130529.87|        0.00|  1051474.33|        0.00|      0.00|     0.000|     0|     0
02040103|  7.05|   6.37|   1.24|    109424|   459739.87|  1482417.53|  3143923.06|   227581.51|   282302.94|  1556312.20|    24070.60|   2119.91|    58.908|     0|     0
02040104| 11.24|   6.93|   1.31|     49612|   486824.61|  2035438.86|  5381088.04|   482190.14|   630787.66|  5329861.15|    26877.29|   1010.16|    27.809|     0|     0
02040105| 10.05|   6.88|   1.02|   1646348|  1821044.67|  9033656.29| 19727016.79|  3711847.03|  3802988.50| 40209704.83|   366392.45|   7861.77|   467.351|     2|     4
02040106| 10.68|   4.44|   0.74|    880660|  1103083.84|  4508293.96| 13254178.22|  2947496.96|  2171204.49| 35415848.40|   231455.28|   5941.93|   289.922|     2|     0
02040201| 10.66|   7.63|   1.21|    552583|   216523.89|  1377240.57|  2581603.34|  1262147.76|  1524800.60| 15048523.66|   147256.45|   2762.69|   363.281|     0|     0
02040202| 11.74|   7.10|   1.13|    309571|   425127.36|  2700049.65|  5957411.92|  1025549.54|  1159398.32| 14371272.40|    80332.37|   1076.08|   499.101|     0|     0
02040203|  8.88|   5.85|   0.99|   1995386|  5873143.68| 26884046.35| 62525144.63|  5246657.68|  5197106.82| 55855611.34|   456678.05|  12157.07|   575.644|     2|     4
02040204|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
02040205| 10.34|   3.97|   0.65|    607658|  1480960.15|  6155443.90| 16094681.83|  2491053.37|  1630285.21| 27072106.89|   158264.86|   2969.51|   592.075|     2|     2
02040206| 10.39|   5.93|   0.90|    627286|   766794.50|  4649928.66|  7575588.02|  2309964.02|  2089384.00| 22821415.29|   247008.01|   3072.16|  1492.200|     2|     0
02040207| 14.67|   2.70|   0.40|    440384|  5971022.27| 22063308.82| 84296023.96|  3994542.91|  1589060.05| 56393037.92|   431105.35|   6540.80|  5022.175|     3|     3
02040301| 11.14|   5.35|   0.45|     49094|   182193.19|   905954.39|  1553700.45|   801163.11|   362321.24|  6832129.52|    11489.22|     31.61|   141.123|     0|     0
02040302| 13.52|   5.30|   0.90|     56843|    32688.31|   182671.74|   461151.90|    70048.98|    62943.88|   988219.26|    18092.51|    238.27|   190.789|     0|     0
02050101|  8.67|   2.59|   0.54|    714268|  3310376.21|  5595332.85| 24599255.05|  2272418.49|  1232539.02| 16886238.46|   205711.82|  23944.89|   702.893|     2|     3
02050102|  8.21|   2.53|   0.56|    465276|  3474763.37|  6097907.35| 23642809.64|  1642064.39|   919678.97| 11172851.67|   204842.51|  25431.83|   764.967|     2|     3
02050103|  5.25|   3.33|   0.90|    259704|  1546019.79|  2594997.72|  8403869.44|  1345507.80|  1212641.85|  7313924.44|    76052.66|   9964.33|   223.192|     0|     2
02050104|  3.31|   2.52|   0.67|    505846|  1824404.57|  2551878.66|  6180632.44|  2389104.78|  1601505.85|  8093697.36|   217206.71|  24139.97|   778.743|     0|     2
02050105|  4.07|   2.36|   0.57|    590288|  1621253.90|  2775945.77|  6259651.46|  1920837.73|  1099100.41|  7416342.83|   162924.22|  18859.70|   606.911|     0|     2
02050106|  5.24|   3.89|   0.85|    809219|  3244112.50|  8511198.75| 21356706.58|  2690637.34|  2300040.41| 17713057.79|   188950.72|  19778.85|   639.276|     2|     3
02050107|  8.62|   4.21|   0.91|    889612|  1216469.77|  3822106.87| 11165713.83|  3734781.01|  3405667.99| 34280750.04|   190874.04|   5551.63|   337.501|     2|     0
02050201|  6.71|   4.70|   0.93|    144076|   526704.61|  1038391.31|  4682594.85|  1098765.55|  1020490.54|  9768423.96|    52699.93|   1115.68|    76.814|     0|     0
02050202|  0.00|   0.00|   0.00|      1178|   105971.88|   115027.09|  1056462.59|    37271.26|        0.00|   371567.41|        0.00|      0.00|     0.000|     0|     0
02050203|  6.30|   4.15|   1.26|     70990|   337158.69|   341734.30|  2421960.57|   327128.59|   412498.60|  2349909.93|     7563.75|    243.64|    14.724|     0|     0
02050204|  7.15|   4.47|   0.87|    322049|   609835.16|  1110851.35|  5461786.35|  1377891.62|  1193468.41| 12340629.17|   118366.17|   2943.15|   152.954|     0|     0
02050205|  4.34|   3.18|   0.75|    183238|   820570.54|  1043673.37|  5289324.62|  1211115.86|   911644.56|  7806744.98|    83351.73|   3663.10|   148.090|     0|     0
02050206|  7.81|   4.52|   0.92|   1251296|  2194490.88|  6391351.21| 18771292.96|  3962085.03|  3658641.47| 33890985.60|   371991.69|   9548.35|   449.604|     2|     4
02050301|  8.17|   5.26|   1.03|   1667775|  4608188.62| 17733541.00| 46588922.33|  6554433.06|  6768758.90| 66265510.75|   396902.56|  11730.96|   542.598|     2|     4
02050302|  7.77|   3.59|   0.72|    595040|  1659836.44|  2960073.15| 14534240.64|  2226039.33|  1594286.71| 19492156.31|   180893.94|   6634.06|   281.102|     2|     2
02050303|  4.41|   5.36|   1.04|    332777|  1277144.30|  3396104.75|  8884163.85|  1330438.43|  1384078.63|  9254892.35|   108712.36|   3743.86|    99.425|     0|     0
02050304|  5.51|   5.34|   1.06|    713341|  4498732.76| 11810737.23| 33404952.82|  3692211.14|  3904507.46| 27416195.98|   238736.84|   8853.98|   251.864|     2|     3
02050305|  6.56|   5.14|   0.99|   1609685|  9329892.81| 33338220.35| 78504565.98|  7117815.48|  7077446.48| 59891472.12|   465315.21|  12421.85|   546.561|     2|     4
02050306|  8.30|   3.98|   0.73|   4877120| 29731406.22| 91157264.31|277313699.36| 12899261.28|  9373665.65|120315259.84|  1201576.42|  30311.44|  2361.726|     3|     4
02060001|  0.00|   0.00|   0.00|         0|     1106.19|     1788.34|     3357.67|     1647.88|        0.00|     5001.91|        0.00|      0.00|     0.000|     0|     0
02060002| 10.89|   5.36|   0.91|   1325869|  3197241.81| 16966329.38| 37326919.39|  7806794.41|  7083917.36| 91142179.25|   726464.20|  10350.14|  2649.646|     3|     4
02060003| 13.75|   3.94|   0.72|    736169|  1375273.26|  4410143.10| 19306812.79|  3012680.06|  2170439.07| 42293594.62|   327179.71|   4694.58|  1629.250|     3|     0
02060004| 15.57|   1.47|   0.27|    122257|    23117.78|    21616.03|   369135.09|   393977.61|   107882.19|  6290871.32|    32856.80|    197.37|   216.054|     0|     0
02060005| 10.75|   6.54|   1.05|    499987|  4664238.24| 31150745.28| 56121294.50|  5601086.59|  5856520.62| 67393690.80|   406352.27|   3410.56|  2502.692|     3|     2
02060006| 12.86|   3.15|   0.69|   1163632|   197632.47|   453604.78|  2874588.85|  1205656.04|   831054.55| 17536417.14|   438308.79|   1876.73|  3320.099|     2|     2
02060007| 10.26|   8.50|   1.10|    194182|  4547422.34| 46518764.48| 42371647.90|  1300567.68|  1428030.33| 12118336.89|   130305.19|    196.68|  1436.977|     3|     2
02060008| 13.17|   5.78|   0.79|    314630| 12263868.88| 92656732.65|159963043.50|  4802408.24|  3780019.11| 62639925.88|   425904.49|   1424.54| 10371.870|     3|     2
02060009|  9.30|   7.64|   0.95|    210592|  9806489.90| 80297410.31| 79194702.40|  2044236.68|  1950302.74| 16508732.16|   226779.55|    470.03|  1109.362|     3|     2
02060010| 16.46|   2.73|   0.33|    143288|  8002986.39| 27700211.07|128540735.75|  3037821.23|   988600.66| 48792257.88|   249087.80|    558.63|  4407.484|     3|     2
02070001|  5.40|   2.42|   0.41|     95694|  6255573.71| 14098388.37| 45619963.50|   839749.62|   343239.59|  6124034.11|    65016.13|     62.54|   238.736|     2|     2
02070002|  5.49|   2.90|   0.68|    114355|  1356708.04|  2559119.14| 11354476.24|   778808.94|   527040.30|  6517959.19|    43091.92|    792.21|   114.503|     2|     0
02070003|  3.97|   3.25|   0.61|     94379|  2731283.90|  6684042.53| 16417003.77|  1264537.77|   772713.01|  7600792.19|    51031.45|    323.64|   201.023|     2|     2
02070004|  6.81|   4.79|   0.87|   1782776|  6087286.47| 22365264.50| 48369226.78|  8571489.73|  7444022.87| 68108562.48|   574543.07|  13494.31|   654.764|     2|     4
02070005|  6.26|   4.16|   0.62|   1007039| 19449687.25| 56391443.75|160597012.01|  2009553.30|  1245920.55| 16592979.15|   161248.20|    496.65|  1020.884|     3|     3
02070006|  5.26|   2.78|   0.39|    541958| 12229840.16| 32646321.10| 72877427.20|  1519119.38|   589188.75|  9052408.72|    56247.63|    238.39|   282.903|     2|     2
02070007|  6.18|   4.17|   0.60|    122948|   335017.61|  1036519.95|  2387245.21|   759615.25|   458215.71|  5412813.59|    50890.77|    447.31|   109.784|     0|     0
02070008|  8.60|   4.82|   0.91|    736557|  1143914.31|  3621718.04| 10981974.44|  2920323.14|  2671513.76| 28036115.95|   213343.38|   3023.96|   724.251|     0|     0
02070009|  8.10|   4.43|   0.80|   1232412|  4773135.05| 15632533.88| 45825187.34|  5845438.16|  4675679.41| 56119991.63|   479169.27|   8413.29|  1570.468|     3|     4
02070010|  6.74|   6.67|   1.30|    236212|   335449.10|  1334037.59|  2755276.78|  1399237.36|  1822710.16| 11492909.80|    66124.56|    409.64|   352.310|     0|     0
02070011|  4.99|   3.21|   0.43|    941062|   164547.06|   372300.18|  1244884.61|  2814385.12|  1202143.34| 21292296.37|   354198.16|    574.68|  3255.020|     2|     0
02080101|  0.00|   0.00|   0.00|         0|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|        0.00|      0.00|     0.000|     0|     0
02080102| 12.35|   2.23|   0.32|    162014|    24280.91|    39076.58|   332214.52|  1848533.04|   599658.59| 25291868.49|    60511.86|    114.88|   544.965|     0|     0
02080103|  9.01|   6.06|   1.01|    594370|  1047431.11|  3976445.56| 11531866.30|  2392500.74|  2417264.88| 26340633.30|   136819.15|    478.98|   570.886|     2|     0
02080104| 12.16|   2.93|   0.46|    702497|    68731.93|   136761.69|   884815.32|  2686467.77|  1239088.66| 34584040.27|   240420.85|    600.46|  1700.806|     3|     0
02080105|  7.88|   7.16|   1.12|    264455|   122050.56|   373418.22|  1205584.29|  1413378.76|  1583296.54| 13960995.37|    89324.74|    179.40|   879.782|     0|     0
02080106|  9.39|   6.26|   0.98|    441517|   535912.11|  1857959.54|  5645382.74|  2360329.22|  2313710.48| 24864080.51|   165808.45|    353.00|  1924.653|     2|     0
02080107| 12.05|   5.67|   0.83|    117333|     8737.82|    36905.51|    92237.04|   362272.19|   300871.72|  3824170.72|    53116.71|     86.52|   547.282|     0|     0
02080108|  2.66|   0.57|   0.00|      2626|    43286.19|    77455.22|   458286.65|   218646.55|        0.00|  2314890.86|     1026.26|      2.99|     2.626|     0|     0
02080109|  8.97|   2.04|   0.27|    125124|   674836.89|  1243055.50|  7135042.97|   893472.26|   241001.94|  9446672.29|    92798.23|    273.15|   437.511|     0|     0
02080110|  8.31|   1.43|   0.19|     61867|   706784.21|  1823481.05|  5481327.24|  1008929.24|   188879.08|  7824554.11|    40281.17|    119.08|   239.309|     0|     0
02080201|  7.97|   3.64|   0.58|    150346|   571467.79|  1731096.12|  5537548.07|   659049.78|   383060.09|  6386221.40|    52104.18|    280.10|   110.085|     0|     0
02080202| 10.07|   2.74|   0.41|     77652|  1443363.39|  3189771.79| 15023165.07|   409934.12|   166750.62|  4266775.75|    10347.85|     16.11|    82.972|     2|     0
02080203| 11.66|   4.18|   0.70|    240682|   905323.73|  3362917.82| 10322675.34|   835841.18|   583070.34|  9530421.87|    35607.03|     59.42|   349.205|     0|     0
02080204|  8.48|   9.17|   1.36|     62765|   226340.11|   982884.70|  2645265.34|   116744.76|   158571.12|  1364410.66|     7317.13|     28.69|    24.232|     0|     0
02080205|  9.31|   4.50|   0.68|    100726|  1287746.14|  3738261.75| 12396188.15|  1167202.63|   788386.21| 11235804.23|    44070.50|     65.63|   431.127|     2|     0
02080206|  8.96|   3.66|   0.52|    422649|   400810.33|  1262248.81|  3864674.47|  2299687.28|  1202448.41| 22173936.06|   265809.39|    544.62|  1839.739|     2|     0
02080207|  9.99|   5.80|   0.87|    496352|  3143697.63|  9172899.57| 34178038.75|  1215237.14|  1059382.39| 13211964.63|   104843.40|    300.58|   749.768|     2|     2
02080208| 14.58|   3.19|   0.48|    101585|   254055.11|   838422.42|  3734989.99|  1513518.61|   729840.25| 22250986.72|   212500.80|    312.37|   799.207|     0|     0
03010101| 11.04|   5.40|   0.74|    753582|  1823195.82|  4689463.78| 21079407.88|  1824533.04|  1348755.87| 21094868.55|   216680.80|    589.44|  9903.697|     3|     0
03010102| 10.16|   5.83|   0.76|    981215|   421292.33|  1439528.65|  4599939.87|  1503402.94|  1136581.44| 16415117.81|   954734.49|   1715.97| 32206.019|     2|     0
03010103| 12.67|   6.18|   0.75|   2154969|   402118.50|  1418184.37|  5981928.47|  1574243.97|  1184114.94| 23418506.60|  2518269.83|  46263.17|  7639.005|     2|     3
03010104| 10.14|   5.50|   0.62|    780353|   178230.47|   522926.66|  1907053.27|  2887306.42|  1783154.80| 30893971.16|  1707284.96|   6460.46| 50682.337|     2|     2
03010105| 11.35|   4.74|   0.70|    628959|   105902.84|   264852.93|  1311830.56|   564738.72|   392825.47|  6995482.61|   360369.08|    962.25| 12857.664|     2|     0
03010106| 11.81|   3.51|   0.50|    338637|   436982.17|  1020613.90|  5382306.75|  1043804.54|   526822.38| 12856534.23|   446845.35|    531.96| 18444.418|     2|     0
03010107| 13.07|   7.35|   0.94|    660102|  2479048.72| 15267135.19| 28372264.55|  8250488.47|  7771527.03| 94425349.44|  1845032.54|   8083.59| 13378.750|     3|     3
03010201| 10.28|   7.34|   1.16|   1117245|  1165385.41|  4790238.24| 12452212.01|  3100014.33|  3583504.94| 33123836.37|  1500902.13|   2224.10| 18801.997|     3|     2
03010202| 13.28|   3.54|   0.58|    282004|   653571.86|  1959957.02|  8352359.22|  2492623.76|  1446853.17| 31854629.13|   606272.42|   1077.23|  3143.667|     2|     0
03010203| 12.65|   2.83|   0.47|    508205|  1772915.01|  4449367.16| 23026867.31|  5251425.28|  2484562.77| 68206243.80|  1588848.92|   2732.98| 11508.199|     3|     0
03010204| 11.17|   5.69|   0.86|   1258219|  1556483.96|  6101462.85| 17865074.40|  6330823.56|  5419700.59| 72664182.24|  1766889.43|   4508.88| 16948.079|     3|     3
03010205| 14.50|   3.65|   0.59|    948005|  2268466.12|  7052559.87| 30747196.39| 21807524.92| 12906475.71|295583101.66|  1452288.82|   6731.62|  6295.400|     3|     3
03020101| 10.86|   6.43|   0.78|   1656162|  3369019.56| 14414084.45| 39672026.19|  3620785.19|  2822345.75| 42636702.62|  1979553.26|  10576.20| 41706.677|     3|     4
03020102| 10.99|   5.84|   0.76|    645043|  1429679.84|  5470803.21| 16501712.30|  3864123.17|  2938714.89| 44600648.95|   785598.44|   3315.61| 11055.501|     3|     2
03020103| 11.95|   6.79|   1.00|    843011|  2121850.40| 14831995.10| 27283829.72|  9562043.94|  9599604.22|122953615.70|  3585972.79|  24703.64| 35004.919|     3|     3
03020104|  7.91|   8.87|   1.47|    251231|   510682.79|  3827439.25|  4036299.90|  6339486.17|  9350460.07| 50105599.21|   483583.79|   5814.15|  1457.664|     3|     2
03020105| 14.04|   5.80|   0.88|     57770|   165258.91|   795128.11|  1790692.46|  2533736.01|  2224237.91| 27454749.01|   101013.73|    802.71|   166.382|     0|     0
