Row #,Cruise,Core,Longitude (decimal degree),Latitude (decimal degree),Longitude (decimal-minute),Latitude (decimal-minute),Year of sample collection,Water depth (m),Core length [as measured at sea] (cm),X-ray available,Water content available,Texture data available,MSCL data available,Midpoint of interval (cm),Top of interval (cm),Bottom of interval (cm),Size of interval (cm),Water content (weight fraction),Comments,Color (based on Munsell¨ Soil Color Chart),Core sectioning comments (Note: not standardized),Lab ID number for texture analysis (SED LAB #),Sample ID used by sed lab (Field ID),Texture analytical methods & operator (MOMS=Method of Moments Statistics),Analysis month,Analysis day,Analysis year,Sample weight (g) of texture aliquot processed ,Gravel (wt%) ,Sand (wt% ),Silt (wt%),Clay (wt %),Fines [silt + clay] (wt %),Verbal Equivalent of sediment texture,Median grain size using Method of Moment Statistics (MOMS),MOMS mean grain size,MOMS standard deviation of mean grain size,MOMS skewness of grain size distribution,MOMS kurtosis of grain size distribution,Mode 1,Mode 1 Frequency ,Mode 2,Mode 2 Frequency ,Mode 3,Mode 3 Frequency ,Number of Modes,Fraction of sample in 11 phi size range (%),Cumulative frequency of sample in 11 phi or smaller (%),Fraction of sample in 10  phi size range (%),Cumulative frequency of sample in 10  phi or smaller (%),Fraction of sample in 9  phi size range (%),Cumulative frequency of sample in 9  phi or smaller (%),Fraction of sample in 8  phi size range (%),Cumulative frequency of sample in 8  phi or smaller (%),Fraction of sample in 7  phi size range (%),Cumulative frequency of sample in 7  phi or smaller (%),Fraction of sample in 6  phi size range (%),Cumulative frequency of sample in 6  phi or smaller (%),Fraction of sample in 5  phi size range (%),Cumulative frequency of sample in 5  phi or smaller (%),Fraction of sample in 4  phi size range (%),Cumulative frequency of sample in 4  phi or smaller (%),Fraction of sample in 3  phi size range (%),Cumulative frequency of sample in 3  phi or smaller (%),Fraction of sample in 2  phi size range (%),Cumulative frequency of sample in 2  phi or smaller (%),Fraction of sample in 1  phi size range (%),Cumulative frequency of sample in 1  phi or smaller (%),Fraction of sample in 0  phi size range (%),Cumulative frequency of sample in 0  phi or smaller (%),Fraction of sample in -1  phi size range (%),Cumulative frequency of sample in -1  phi or smaller (%),Fraction of sample in -2  phi size range (%),Cumulative frequency of sample in -2  phi or smaller (%),Fraction of sample in -3  phi size range (%),Cumulative frequency of sample in -3  phi or smaller (%),Fraction of sample in -4  phi size range (%),Cumulative frequency of sample in -4  phi or smaller (%),Fraction of sample in -5  phi size range (%),Cumulative frequency of sample in -5  phi or smaller (%),Sort description of grain size,Inclusive Graphics Statistics (IGS): median,IGS mean,IGS standard deviation,IGS skewness,IGS kurtosis
11,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,5.25,5,5.5,0.5,0.24,,5y 3/1,as above. smells like an old latrine,AQ293,I1C1/5-5.5,MOMS- D. Walsh,11,22,1999,14.90,0.00,83.81,13.66,2.52,16.18,SAND        ,3.48,3.73,1.26,1.40,9.08,3.50,65.5,0.00,0.0,0.00,0.0,1.00,0.48,100,0.85,99.52,1.19,98.67,1.60,97.48,2.33,95.88,4.02,93.55,5.72,89.53,65.46,83.81,17.86,18.35,0.43,0.49,0.03,0.06,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is moderately sorted, strongly fine-skewed, very leptokurtic",3.46,3.47,0.90,0.30,2.72
12,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,5.75,5.5,6,0.5,na,,5y 2.5/1,v. dark smelly sed. gritty. new shell is present,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,6.25,6,6.5,0.5,0.24,,5y 2.5/1,old sewage smell still the sandy dark sed,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,6.75,6.5,7,0.5,na,,5y 3/1,one nose thinks it smells HS,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,7.25,7,7.5,0.5,na,,5y 3/1,same sed,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,7.75,7.5,8,0.5,0.24,,5y 3/1,little dryer. same fine sand,AQ294,I1C1/7.5-8,MOMS- D. Walsh,11,22,1999,14.47,0.00,80.83,15.48,3.68,19.16,SAND        ,3.51,3.88,1.48,1.16,5.74,3.50,63.4,5.50,5.1,0.00,0.0,2.00,0.82,100,1.24,99.18,1.62,97.94,2.39,96.32,3.49,93.93,5.13,90.44,4.48,85.31,63.43,80.83,16.62,17.40,0.56,0.78,0.11,0.22,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, extremely leptokurtic",3.48,3.72,1.20,0.53,3.16
17,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,8.25,8,8.5,0.5,na,,5y 3/1,same sand as above,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,8.75,8.5,9,0.5,na,,5y 3/1,"same sand, getting a little grayer",na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,9.25,9,9.5,0.5,na,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,9.75,9.5,10,0.5,0.23,,5y 3/1,same sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,10.25,10,10.5,0.5,0.23,,5y 3/1,same sand,AQ295,I1C1/10-10.5,MOMS- D. Walsh,11,22,1999,15.56,0.00,79.36,16.30,4.34,20.64,SAND        ,3.52,3.95,1.57,1.10,4.58,3.50,61.7,5.50,5.3,0.00,0.0,2.00,0.96,100,1.45,99.04,1.93,97.59,2.87,95.66,4.13,92.79,5.31,88.66,3.99,83.35,61.70,79.36,17.16,17.66,0.48,0.50,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, extremely leptokurtic",3.49,3.85,1.34,0.58,3.20
22,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,10.75,10.5,11,0.5,na,,5y 3/1,sand has some black-gray patches + some lt. gray patches. same texture,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,11.25,11,11.5,0.5,0.24,,5y 3/1,clam shell removed. left a pile of slime behind-not in sample. sed is dryer,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,11.75,11.5,12,0.5,0.24,,5y 3/1,same wet dr. gray fine sand,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,12.25,12,12.5,0.5,na,,5y 3/1,the sed is overall more gray than black now,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,12.75,12.5,13,0.5,0.24,,5y 3/1,the sed is overall more gray than black now,AQ296,I1C1/12.5-13,MOMS- D. Walsh,11,22,1999,15.04,0.00,77.01,17.38,5.61,22.99,SAND        ,3.54,4.09,1.74,0.93,2.91,3.50,59.3,5.50,5.7,0.00,0.0,2.00,1.27,100,1.86,98.73,2.48,96.87,3.84,94.39,5.18,90.55,5.74,85.37,2.62,79.63,59.32,77.01,16.88,17.69,0.63,0.81,0.11,0.18,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, extremely leptokurtic",3.50,4.06,1.58,0.65,3.25
27,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,13.25,13,13.5,0.5,na,,5y 3/1,the sed is overall more gray than black now,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,13.75,13.5,14,0.5,0.23,,5y 3/1,the sed is overall more gray than black now,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,14.25,14,14.5,0.5,na,,5y 3/1,the sed is overall more gray than black now,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,14.75,14.5,15,0.5,na,,5y 3/1,the sed is overall more gray than black now,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,15.25,15,15.5,0.5,0.24,,5y 3/1,same,AQ297,I1C1/15-15.5,MOMS- D. Walsh,11,22,1999,16.00,0.09,76.56,17.76,5.59,23.35,SAND        ,3.54,4.10,1.75,0.86,2.48,3.50,58.4,5.50,5.9,0.00,0.0,2.00,1.03,100,1.79,98.97,2.77,97.18,4.21,94.41,5.70,90.20,5.90,84.50,1.95,78.60,58.37,76.65,17.55,18.28,0.53,0.73,0.06,0.20,0.05,0.14,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, extremely leptokurtic",3.50,4.11,1.62,0.65,3.15
32,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,15.75,15.5,16,0.5,na,,5y 3/1,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,16.25,16,16.5,0.5,0.25,,5y 3/1,shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,16.75,16.5,17,0.5,na,,5y 3/1,shells still smells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,17.25,17,17.5,0.5,0.24,,5y 3/1,shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,17.75,17.5,18,0.5,0.24,,5y 3/1,,AQ298,I1C1/17.5-18,MOMS- D. Walsh,11,22,1999,15.54,0.00,73.11,19.63,7.26,26.89,SILTY SAND  ,3.59,4.27,1.89,0.80,1.64,3.50,56.1,5.50,6.8,0.00,0.0,2.00,1.63,100,2.36,98.37,3.27,96.01,4.69,92.74,6.40,88.05,6.76,81.65,1.78,74.89,56.05,73.11,16.43,17.06,0.59,0.63,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.53,4.29,1.79,0.69,1.39
37,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,18.25,18,18.5,0.5,na,,5y 3/1,same shell frags,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,18.75,18.5,19,0.5,na,,5y 3/1,same shell frags,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,19.25,19,19.5,0.5,0.23,,5y 3/1,same shell frags. sed is a bit wetter,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,19.75,19.5,20,0.5,0.23,,5y 3/1,same shell frags,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,20.25,20,20.5,0.5,0.24,,5y 3/1,same shell frags. more shells,AQ299,I1C1/20-20.5,MOMS- D. Walsh,11,22,1999,15.29,0.00,71.96,21.25,6.78,28.03,SILTY SAND  ,3.59,4.27,1.90,0.76,1.48,3.50,53.1,6.50,7.5,0.00,0.0,2.00,1.54,100,2.21,98.46,3.03,96.25,4.82,93.22,7.47,88.40,6.62,80.93,2.35,74.31,53.10,71.96,18.00,18.86,0.72,0.86,0.09,0.14,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.53,4.28,1.81,0.66,1.29
42,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,20.75,20.5,21,0.5,na,,5y 3/1,same shell frags,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,21.25,21,21.5,0.5,0.24,,5y 3/1,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,21.75,21.5,22,0.5,na,,5y 3/1,same gray (lt.) same dry. same shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,22.25,22,22.5,0.5,na,,5y 3/1,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,22.75,22.5,23,0.5,0.24,,5y 3/1,gray f. grained sand w/ shells,AQ300,I1C1/22.5-23,MOMS- D. Walsh,11,22,1999,15.27,0.00,72.22,22.85,4.93,27.78,SILTY SAND  ,3.57,4.11,1.72,0.81,2.16,3.50,51.7,5.50,7.9,0.00,0.0,2.00,0.84,100,1.55,99.16,2.54,97.61,3.98,95.07,6.08,91.09,7.88,85.01,4.91,77.13,51.72,72.22,19.43,20.50,0.90,1.07,0.11,0.17,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, very leptokurtic",3.52,4.07,1.60,0.60,1.55
47,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,23.25,23,23.5,0.5,0.24,,5y 3/1,gray f. grained sand w/ shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,23.75,23.5,24,0.5,0.24,,5y 3/1,gray f. grained sand w/ shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,24.25,24,24.5,0.5,0.25,,5y 3/1,gray f. grained sand w/ shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,24.75,24.5,25,0.5,0.24,,5y 3/1,gray f. grained sand w/ shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,25.25,25,25.5,0.5,0.25,,5y 3/1,smelly again,AQ301,I1C1/25-25.5,MOMS- D. Walsh,11,22,1999,14.73,0.00,71.25,21.50,7.24,28.74,SILTY SAND  ,3.58,4.26,1.93,0.72,1.28,3.50,50.3,6.50,6.9,0.00,0.0,2.00,1.36,100,2.47,98.64,3.41,96.17,4.91,92.76,6.86,87.85,6.79,80.99,2.95,74.20,50.32,71.25,19.93,20.93,0.67,1.00,0.24,0.33,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"sample is poorly sorted, strongly fine-skewed, leptokurtic",3.52,4.26,1.85,0.65,1.28
52,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,25.75,25.5,26,0.5,0.24,,5y 3/1,gray f. grained sand w/ shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,SEAX96024,I1C1,-72.2385250,41.2861633,72û 14.3115,41û 17.1698,1996,6,51,Y,Y,Y,Y,26.25,26,26.5,0.5,0.25,,5y 3/1,gray f. grained sand w/ shells,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
