'ICD-9-CM Code','CCS-MHSA Category','CCS-MHSA Category Description','ICD-9-CM Code Description'
'3155 ','654','Developmental disorders','MIXED DEVELOPMENT DIS'
'3158 ','654','Developmental disorders','DEVELOPMENT DELAYS NEC'
'317  ','654','Developmental disorders','MILD MENTAL RETARDATION'
'3180 ','654','Developmental disorders','MOD MENTAL RETARDATION'
'3181 ','654','Developmental disorders','SEVERE MENTAL RETARDAT'
'3182 ','654','Developmental disorders','PROFOUND MENTAL RETARDAT'
'319  ','654','Developmental disorders','-MENTAL RETARDATION NOS-'
'31500','654','Developmental disorders','READING DISORDER NOS'
'3151 ','654','Developmental disorders','ARITHMETICAL DISORDER'
'3152 ','654','Developmental disorders','OTH LEARNING DIFFICULTY'
'3159 ','654','Developmental disorders','DEVELOPMENT DELAY NOS'
'V400 ','654','Developmental disorders','PROBLEMS WITH LEARNING'
'3154 ','654','Developmental disorders','COORDINATION DISORDER'
'3076 ','655','Disorders usually diagnosed in infancy/childhood/adolescence','ENURESIS'
'3077 ','655','Disorders usually diagnosed in infancy/childhood/adolescence','ENCOPRESIS'
'3073 ','655','Disorders usually diagnosed in infancy/childhood/adolescence','STEREOTYPED MOVEMENTS'
'30921','655','Disorders usually diagnosed in infancy/childhood/adolescence','SEPARATION ANXIETY'
'31323','655','Disorders usually diagnosed in infancy/childhood/adolescence','ELECTIVE MUTISM'
'31389','655','Disorders usually diagnosed in infancy/childhood/adolescence','EMOTIONAL DIS CHILD NEC'
'3139 ','655','Disorders usually diagnosed in infancy/childhood/adolescence','EMOTIONAL DIS CHILD NOS'
'29900','655','Disorders usually diagnosed in infancy/childhood/adolescence','INFANTILE AUTISM-ACTIVE'
'29901','655','Disorders usually diagnosed in infancy/childhood/adolescence','INFANTILE AUTISM-RESID'
'29910','655','Disorders usually diagnosed in infancy/childhood/adolescence','DISINTEGR PSYCH-ACTIVE'
'29911','655','Disorders usually diagnosed in infancy/childhood/adolescence','DISINTEGR PSYCH-RESIDUAL'
'29980','655','Disorders usually diagnosed in infancy/childhood/adolescence','CHILD PSYCHOS NEC-ACTIVE'
'29981','655','Disorders usually diagnosed in infancy/childhood/adolescence','CHILD PSYCHOS NEC-RESID'
'29990','655','Disorders usually diagnosed in infancy/childhood/adolescence','CHILD PSYCHOS NOS-ACTIVE'
'29991','655','Disorders usually diagnosed in infancy/childhood/adolescence','-CHILD PSYCHOS NOS-RESID-'
'30720','655','Disorders usually diagnosed in infancy/childhood/adolescence','TIC DISORDER NOS'
'30721','655','Disorders usually diagnosed in infancy/childhood/adolescence','TRANSIENT TIC/ CHILDHOOD'
'30722','655','Disorders usually diagnosed in infancy/childhood/adolescence','CHRONIC MOTOR TIC DIS'
'30723','655','Disorders usually diagnosed in infancy/childhood/adolescence','GILLES TOURETTE DISORDER'
'31230','656','Impulse control disorders NEC','IMPULSE CONTROL DIS NOS'
'31231','656','Impulse control disorders NEC','PATHOLOGICAL GAMBLING'
'31232','656','Impulse control disorders NEC','KLEPTOMANIA'
'31233','656','Impulse control disorders NEC','PYROMANIA'
'31234','656','Impulse control disorders NEC','INTERMITT EXPLOSIVE DIS'
'31235','656','Impulse control disorders NEC','ISOLATED EXPLOSIVE DIS'
'31239','656','Impulse control disorders NEC','-IMPULSE CONTROL DIS NEC-'
'30012','661','Miscellaneous mental disorders','PSYCHOGENIC AMNESIA'
'30013','661','Miscellaneous mental disorders','PSYCHOGENIC FUGUE'
'30014','661','Miscellaneous mental disorders','MULTIPLE PERSONALITY'
'30015','661','Miscellaneous mental disorders','DISSOCIATIVE REACT NOS'
'3006 ','661','Miscellaneous mental disorders','DEPERSONALIZATION SYND'
'3071 ','661','Miscellaneous mental disorders','ANOREXIA NERVOSA'
'30750','661','Miscellaneous mental disorders','EATING DISORDER NOS'
'30751','661','Miscellaneous mental disorders','BULIMIA'
'30752','661','Miscellaneous mental disorders','PICA'
'30753','661','Miscellaneous mental disorders','PSYCHOGENIC RUMINATION'
'30754','661','Miscellaneous mental disorders','PSYCHOGENIC VOMITING'
'30759','661','Miscellaneous mental disorders','EATING DISORDER NEC'
'30016','661','Miscellaneous mental disorders','FACTITIOUS ILL W SYMPTOM'
'30019','661','Miscellaneous mental disorders','FACTITIOUS ILL NECNOS'
'29389','661','Miscellaneous mental disorders','TRANSIENT ORG MENTAL NEC'
'2939 ','661','Miscellaneous mental disorders','TRANSIENT ORG MENTAL NOS'
'3101 ','661','Miscellaneous mental disorders','ORGANIC PERSONALITY SYND'
'316  ','661','Miscellaneous mental disorders','PSYCHIC FACTOR W OTH DIS'
'64840','661','Miscellaneous mental disorders','MENTAL DISORDERS IN PREGNANCY UNSPECIFIED'
'64841','661','Miscellaneous mental disorders','MENTAL DISORDERS IN PREGNANCY DELIVERED/ ANTEP'
'64842','661','Miscellaneous mental disorders','MENTAL DISORDERS IN PREGNANCY DELIVERED/ POSTP'
'64843','661','Miscellaneous mental disorders','MENTAL DISORDERS IN PREGNANCY ANTEPARTUM'
'64844','661','Miscellaneous mental disorders','MENTAL DISORDERS IN PREGNANCY POSTPARTUM'
'V402 ','661','Miscellaneous mental disorders','OTHER MENTAL PROBLEMS'
'V403 ','661','Miscellaneous mental disorders','OTHER BEHAVIORAL PROBLEMS'
'V409 ','661','Miscellaneous mental disorders','UNSPEC MENTAL BEHAV PROBLEMS'
'V673 ','661','Miscellaneous mental disorders','F-U EXAM AFTER MENTAL RX'
'3060 ','661','Miscellaneous mental disorders','PSYCHOGEN MUSCULSKEL DIS'
'3061 ','661','Miscellaneous mental disorders','PSYCHOGENIC RESPIR DIS'
'3062 ','661','Miscellaneous mental disorders','PSYCHOGEN CARDIOVASC DIS'
'3063 ','661','Miscellaneous mental disorders','PSYCHOGENIC SKIN DISEASE'
'3064 ','661','Miscellaneous mental disorders','PSYCHOGENIC GI DISEASE'
'30650','661','Miscellaneous mental disorders','PSYCHOGENIC GU DIS NOS'
'30652','661','Miscellaneous mental disorders','PSYCHOGENIC DYSMENORRHEA'
'30653','661','Miscellaneous mental disorders','PSYCHOGENIC DYSURIA'
'30659','661','Miscellaneous mental disorders','PSYCHOGENIC GU DIS NEC'
'3066 ','661','Miscellaneous mental disorders','PSYCHOGEN ENDOCRINE DIS'
'3067 ','661','Miscellaneous mental disorders','PSYCHOGENIC SENSORY DIS'
'3068 ','661','Miscellaneous mental disorders','PSYCHOGENIC DISORDER NEC'
'3069 ','661','Miscellaneous mental disorders','PSYCHOGENIC DISORDER NOS'
'3021 ','661','Miscellaneous mental disorders','ZOOPHILIA'
'3022 ','661','Miscellaneous mental disorders','PEDOPHILIA'
'3023 ','661','Miscellaneous mental disorders','TRANSVESTISM'
'3024 ','661','Miscellaneous mental disorders','EXHIBITIONISM'
'30250','661','Miscellaneous mental disorders','TRANS-SEXUALISM NOS'
'30251','661','Miscellaneous mental disorders','TRANS-SEXUALISM/ ASEXUAL'
'30252','661','Miscellaneous mental disorders','TRANS-SEXUAL/ HOMOSEXUAL'
'30253','661','Miscellaneous mental disorders','TRANS-SEX/ HETEROSEXUAL'
'3026 ','661','Miscellaneous mental disorders','PSYCHOSEX IDENTITY DIS'
'30270','661','Miscellaneous mental disorders','PSYCHOSEXUAL DYSFUNC NOS'
'30271','661','Miscellaneous mental disorders','INHIBITED SEXUAL DESIRE'
'30272','661','Miscellaneous mental disorders','INHIBITED SEX EXCITEMENT'
'30273','661','Miscellaneous mental disorders','INHIBITED FEMALE ORGASM'
'30274','661','Miscellaneous mental disorders','INHIBITED MALE ORGASM'
'30275','661','Miscellaneous mental disorders','PREMATURE EJACULATION'
'30276','661','Miscellaneous mental disorders','FUNCTIONAL DYSPAREUNIA'
'30279','661','Miscellaneous mental disorders','PSYCHOSEXUAL DYSFUNC NEC'
'30281','661','Miscellaneous mental disorders','FETISHISM'
'30282','661','Miscellaneous mental disorders','VOYEURISM'
'30283','661','Miscellaneous mental disorders','SEXUAL MASOCHISM'
'30284','661','Miscellaneous mental disorders','SEXUAL SADISM'
'30285','661','Miscellaneous mental disorders','GENDER IDENT DIS/ ADULT'
'30289','661','Miscellaneous mental disorders','PSYCHOSEXUAL DIS NEC'
'3029 ','661','Miscellaneous mental disorders','PSYCHOSEXUAL DIS NOS'
'30651','661','Miscellaneous mental disorders','PSYCHOGENIC VAGINISMUS'
'30740','661','Miscellaneous mental disorders','NONORGANIC SLEEP DIS NOS'
'30741','661','Miscellaneous mental disorders','TRANSIENT INSOMNIA'
'30742','661','Miscellaneous mental disorders','PERSISTENT INSOMNIA'
'30743','661','Miscellaneous mental disorders','TRANSIENT HYPERSOMNIA'
'30744','661','Miscellaneous mental disorders','PERSISTENT HYPERSOMNIA'
'30745','661','Miscellaneous mental disorders','DISRUPT SLEEP-WAKE CYCLE'
'30746','661','Miscellaneous mental disorders','SOMNAMBULISMNGHT TERROR'
'30747','661','Miscellaneous mental disorders','SLEEP STAGE DYSFUNC NEC'
'30748','661','Miscellaneous mental disorders','REPETIT SLEEP INTRUSION'
'30749','661','Miscellaneous mental disorders','NONORGANIC SLEEP DIS NEC'
'30011','661','Miscellaneous mental disorders','CONVERSION DISORDER'
'3007 ','661','Miscellaneous mental disorders','HYPOCHONDRIASIS'
'30081','661','Miscellaneous mental disorders','SOMATIZATION DISORDER'
'30082','661','Miscellaneous mental disorders','SOMATOFORM DIS NOS OCT96--'
'30780','661','Miscellaneous mental disorders','PSYCHOGENIC PAIN NOS'
'30781','661','Miscellaneous mental disorders','TENSION HEADACHE'
'30789','661','Miscellaneous mental disorders','PSYCHOGENIC PAIN NEC'
'29600','657','Mood disorders','MANIC DISORDER-UNSPEC'
'29601','657','Mood disorders','MANIC DISORDER-MILD'
'29602','657','Mood disorders','MANIC DISORDER-MOD'
'29603','657','Mood disorders','MANIC DISORDER-SEVERE'
'29604','657','Mood disorders','MANIC DIS-SEVERE W PSYCH'
'29605','657','Mood disorders','MANIC DIS-PARTIAL REMISS'
'29606','657','Mood disorders','MANIC DIS-FULL REMISSION'
'29610','657','Mood disorders','RECUR MANIC DIS-UNSPEC'
'29611','657','Mood disorders','RECUR MANIC DIS-MILD'
'29612','657','Mood disorders','RECUR MANIC DIS-MOD'
'29613','657','Mood disorders','RECUR MANIC DIS-SEVERE'
'29614','657','Mood disorders','RECUR MANIC-SEV W PSYCHO'
'29615','657','Mood disorders','RECUR MANIC-PART REMISS'
'29616','657','Mood disorders','RECUR MANIC-FULL REMISS'
'29640','657','Mood disorders','BIPOL AFF/ MANIC-UNSPEC'
'29641','657','Mood disorders','BIPOLAR AFF/ MANIC-MILD'
'29642','657','Mood disorders','BIPOLAR AFFEC/ MANIC-MOD'
'29643','657','Mood disorders','BIPOL AFF/ MANIC-SEVERE'
'29644','657','Mood disorders','BIPOL MANIC-SEV W PSYCH'
'29645','657','Mood disorders','BIPOL AFF MANIC-PART REM'
'29646','657','Mood disorders','BIPOL AFF MANIC-FULL REM'
'29650','657','Mood disorders','BIPOLAR AFF/ DEPR-UNSPEC'
'29651','657','Mood disorders','BIPOLAR AFFEC/ DEPR-MILD'
'29652','657','Mood disorders','BIPOLAR AFFEC/ DEPR-MOD'
'29653','657','Mood disorders','BIPOL AFF/ DEPR-SEVERE'
'29654','657','Mood disorders','BIPOL DEPR-SEV W PSYCH'
'29655','657','Mood disorders','BIPOL AFF DEPR-PART REM'
'29656','657','Mood disorders','BIPOL AFF DEPR-FULL REM'
'29660','657','Mood disorders','BIPOL AFF/ MIXED-UNSPEC'
'29661','657','Mood disorders','BIPOLAR AFF/ MIXED-MILD'
'29662','657','Mood disorders','BIPOLAR AFFEC/ MIXED-MOD'
'29663','657','Mood disorders','BIPOL AFF/ MIXED-SEVERE'
'29664','657','Mood disorders','BIPOL MIXED-SEV W PSYCH'
'29665','657','Mood disorders','BIPOL AFF/ MIX-PART REM'
'29666','657','Mood disorders','BIPOL AFF/ MIX-FULL REM'
'2967 ','657','Mood disorders','BIPOLAR AFFECTIVE NOS'
'29680','657','Mood disorders','MANIC-DEPRESSIVE NOS'
'29681','657','Mood disorders','ATYPICAL MANIC DISORDER'
'29682','657','Mood disorders','ATYPICAL DEPRESSIVE DIS'
'29689','657','Mood disorders','MANIC-DEPRESSIVE NEC'
'29690','657','Mood disorders','AFFECTIVE PSYCHOSIS NOS'
'29699','657','Mood disorders','AFFECTIVE PSYCHOSES NEC'
'29383','657','Mood disorders','ORGANIC AFFECTIVE SYND'
'29620','657','Mood disorders','DEPRESS PSYCHOSIS-UNSPEC'
'29621','657','Mood disorders','DEPRESS PSYCHOSIS-MILD'
'29622','657','Mood disorders','DEPRESSIVE PSYCHOSIS-MOD'
'29623','657','Mood disorders','DEPRESS PSYCHOSIS-SEVERE'
'29624','657','Mood disorders','DEPR PSYCHOS-SEV W PSYCH'
'29625','657','Mood disorders','DEPR PSYCHOS-PART REMISS'
'29626','657','Mood disorders','DEPR PSYCHOS-FULL REMISS'
'29630','657','Mood disorders','RECURR DEPR PSYCHOS-UNSP'
'29631','657','Mood disorders','RECURR DEPR PSYCHOS-MILD'
'29632','657','Mood disorders','RECURR DEPR PSYCHOS-MOD'
'29633','657','Mood disorders','RECUR DEPR PSYCH-SEVERE'
'29634','657','Mood disorders','REC DEPR PSYCH-PSYCHOTIC'
'29635','657','Mood disorders','RECUR DEPR PSYC-PART REM'
'29636','657','Mood disorders','RECUR DEPR PSYC-FULL REM'
'3004 ','657','Mood disorders','NEUROTIC DEPRESSION'
'311  ','657','Mood disorders','DEPRESSIVE DISORDER NEC'
'3010 ','658','Personality disorders','PARANOID PERSONALITY'
'30110','658','Personality disorders','AFFECTIV PERSONALITY NOS'
'30111','658','Personality disorders','CHRONIC HYPOMANIC PERSON'
'30112','658','Personality disorders','CHR DEPRESSIVE PERSON'
'30113','658','Personality disorders','-CYCLOTHYMIC DISORDER-'
'30120','658','Personality disorders','SCHIZOID PERSONALITY NOS'
'30121','658','Personality disorders','INTROVERTED PERSONALITY'
'30122','658','Personality disorders','SCHIZOTYPAL PERSONALITY'
'3013 ','658','Personality disorders','EXPLOSIVE PERSONALITY'
'3014 ','658','Personality disorders','COMPULSIVE PERSONALITY'
'30150','658','Personality disorders','HISTRIONIC PERSON NOS'
'30151','658','Personality disorders','CHR FACTITIOUS ILLNESS'
'30159','658','Personality disorders','HISTRIONIC PERSON NEC'
'3016 ','658','Personality disorders','DEPENDENT PERSONALITY'
'3017 ','658','Personality disorders','ANTISOCIAL PERSONALITY'
'30181','658','Personality disorders','NARCISSISTIC PERSONALITY'
'30182','658','Personality disorders','AVOIDANT PERSONALITY'
'30183','658','Personality disorders','BORDERLINE PERSONALITY'
'30184','658','Personality disorders','PASSIVE-AGGRESSIV PERSON'
'30189','658','Personality disorders','PERSONALITY DISORDER NEC'
'3019 ','658','Personality disorders','PERSONALITY DISORDER NOS'
'29381','659','Schizophrenia and other psychotic disorders','ORGANIC DELUSIONAL SYND'
'29382','659','Schizophrenia and other psychotic disorders','ORGANIC HALLUCINOSIS SYN'
'29500','659','Schizophrenia and other psychotic disorders','SIMPL SCHIZOPHREN-UNSPEC'
'29501','659','Schizophrenia and other psychotic disorders','SIMPL SCHIZOPHREN-SUBCHR'
'29502','659','Schizophrenia and other psychotic disorders','SIMPLE SCHIZOPHREN-CHR'
'29503','659','Schizophrenia and other psychotic disorders','SIMP SCHIZ-SUBCHREXACER'
'29504','659','Schizophrenia and other psychotic disorders','SIMPL SCHIZO-CHREXACERB'
'29505','659','Schizophrenia and other psychotic disorders','SIMPL SCHIZOPHREN-REMISS'
'29510','659','Schizophrenia and other psychotic disorders','HEBEPHRENIA-UNSPEC'
'29511','659','Schizophrenia and other psychotic disorders','HEBEPHRENIA-SUBCHRONIC'
'29512','659','Schizophrenia and other psychotic disorders','HEBEPHRENIA-CHRONIC'
'29513','659','Schizophrenia and other psychotic disorders','HEBEPHREN-SUBCHREXACERB'
'29514','659','Schizophrenia and other psychotic disorders','HEBEPHRENIA-CHREXACERB'
'29515','659','Schizophrenia and other psychotic disorders','HEBEPHRENIA-REMISSION'
'29520','659','Schizophrenia and other psychotic disorders','CATATONIA-UNSPEC'
'29521','659','Schizophrenia and other psychotic disorders','CATATONIA-SUBCHRONIC'
'29522','659','Schizophrenia and other psychotic disorders','CATATONIA-CHRONIC'
'29523','659','Schizophrenia and other psychotic disorders','CATATONIA-SUBCHREXACERB'
'29524','659','Schizophrenia and other psychotic disorders','CATATONIA-CHREXACERB'
'29525','659','Schizophrenia and other psychotic disorders','CATATONIA-REMISSION'
'29530','659','Schizophrenia and other psychotic disorders','PARANOID SCHIZO-UNSPEC'
'29531','659','Schizophrenia and other psychotic disorders','PARANOID SCHIZO-SUBCHR'
'29532','659','Schizophrenia and other psychotic disorders','PARANOID SCHIZO-CHRONIC'
'29533','659','Schizophrenia and other psychotic disorders','PARAN SCHIZO-SUBCHREXAC'
'29534','659','Schizophrenia and other psychotic disorders','PARAN SCHIZO-CHREXACERB'
'29535','659','Schizophrenia and other psychotic disorders','PARANOID SCHIZO-REMISS'
'29540','659','Schizophrenia and other psychotic disorders','AC SCHIZOPHRENIA-UNSPEC'
'29541','659','Schizophrenia and other psychotic disorders','AC SCHIZOPHRENIA-SUBCHR'
'29542','659','Schizophrenia and other psychotic disorders','AC SCHIZOPHRENIA-CHR'
'29543','659','Schizophrenia and other psychotic disorders','AC SCHIZO-SUBCHREXACERB'
'29544','659','Schizophrenia and other psychotic disorders','AC SCHIZOPHR-CHREXACERB'
'29545','659','Schizophrenia and other psychotic disorders','AC SCHIZOPHRENIA-REMISS'
'29550','659','Schizophrenia and other psychotic disorders','LATENT SCHIZOPHREN-UNSP'
'29551','659','Schizophrenia and other psychotic disorders','LAT SCHIZOPHREN-SUBCHR'
'29552','659','Schizophrenia and other psychotic disorders','LATENT SCHIZOPHREN-CHR'
'29553','659','Schizophrenia and other psychotic disorders','LAT SCHIZO-SUBCHREXACER'
'29554','659','Schizophrenia and other psychotic disorders','LATENT SCHIZO-CHREXACER'
'29555','659','Schizophrenia and other psychotic disorders','LAT SCHIZOPHREN-REMISS'
'29560','659','Schizophrenia and other psychotic disorders','RESID SCHIZOPHREN-UNSP'
'29561','659','Schizophrenia and other psychotic disorders','RESID SCHIZOPHREN-SUBCHR'
'29562','659','Schizophrenia and other psychotic disorders','RESIDUAL SCHIZOPHREN-CHR'
'29563','659','Schizophrenia and other psychotic disorders','RESID SCHIZO-SUBCHREXAC'
'29564','659','Schizophrenia and other psychotic disorders','RESID SCHIZO-CHREXACERB'
'29565','659','Schizophrenia and other psychotic disorders','RESID SCHIZOPHREN-REMISS'
