state,      county,   tract,      occvac,item,       acs_tal,  acs_talse,  cen_tal,cen_talse,  diff_tal, diff_talse, acs_sal,acs_salse,  cen_sal,  cen_salse,  diff_sal,diff_salse, acs_ial,  acs_ialse,  cen_eal,cen_ealse,  diff_ial, diff_ialse
18,103,000000,O,smhcost,39.6222,6.0786,66.7845,2.8648,-27.1623,6.7198,56.6357,9.5347,64.2553,3.1990,-7.6196,10.0570,15.3289,6.5142,77.5510,6.0992,-62.2221,8.9238
18,103,000000,O,smortg,1.4606,0.3213,4.9856,0.4876,-3.5250,0.5839,1.8481,0.4506,4.1368,0.4786,-2.2887,0.6573,0.7743,0.9643,10.9489,1.9302,-10.1746,2.1577
18,103,000000,O,smortg2d,14.3746,3.3097,24.2754,2.6408,-9.9008,4.2342,13.7339,3.4311,22.2222,2.6798,-8.4883,4.3536,15.8685,6.4873,45.8333,10.4072,-29.9648,12.2636
18,103,000000,O,smortgd,8.2329,1.0343,18.9811,1.1502,-10.7482,1.5469,7.3600,1.1220,16.4762,1.1714,-9.1162,1.6221,9.6833,2.1024,34.5238,3.7534,-24.8405,4.3021
18,103,000000,O,smovein,2.7315,0.4153,7.5100,0.5012,-4.7785,0.6509,3.0884,0.5528,6.0738,0.4955,-2.9854,0.7424,2.1597,0.7181,15.0685,1.7025,-12.9088,1.8477
18,103,000000,O,soildx,12.1359,0.8592,34.7794,0.8911,-22.6435,1.2378,18.3065,1.3116,35.2278,0.9750,-16.9213,1.6343,2.2478,0.8144,32.4201,2.1916,-30.1723,2.3380
18,103,000000,O,srent,5.9153,1.7822,18.8776,1.6381,-12.9623,2.4207,2.0343,2.2454,14.7727,1.7170,-12.7384,2.8267,10.4507,3.7772,31.0811,3.8616,-20.6304,5.4018
18,103,000000,O,sroom,1.8146,0.3275,7.3642,0.5056,-5.5496,0.6024,2.4912,0.4948,5.8568,0.4959,-3.3656,0.7005,0.7304,0.6825,15.2968,1.7439,-14.5664,1.8727
18,103,000000,O,staxd,19.7149,1.4452,32.3106,1.0477,-12.5957,1.7850,13.3837,1.2092,28.2956,1.0825,-14.9119,1.6229,30.9283,3.6799,58.7591,3.0430,-27.8308,4.7751
18,103,000000,O,stel,0.6436,0.1908,5.9059,0.4006,-5.2623,0.4437,0.8291,0.2573,4.5987,0.3883,-3.7696,0.4658,0.3463,0.8979,12.7854,1.4201,-12.4391,1.6802
18,103,000000,O,stenure,0.8589,0.1711,5.9789,0.4509,-5.1200,0.4823,1.1198,0.2941,4.8156,0.4442,-3.6958,0.5327,0.4408,0.6398,12.1005,1.5521,-11.6597,1.6788
18,103,000000,O,svalue,9.4780,0.8527,17.0182,0.8224,-7.5402,1.1847,7.7301,0.8910,15.2234,0.8433,-7.4933,1.2268,12.5737,2.0591,28.8321,2.7354,-16.2584,3.4238
18,103,000000,O,swaterdx,12.0826,0.9520,27.4882,0.8353,-15.4056,1.2665,11.3438,1.0838,25.3362,0.8877,-13.9924,1.4010,13.2666,2.0329,38.8128,2.2818,-25.5462,3.0560
18,103,000000,O,syrblt,10.3334,0.9048,11.2650,0.6041,-0.9316,1.0879,6.3065,0.7826,9.6312,0.6149,-3.3247,0.9953,16.7863,2.1530,19.8630,1.9077,-3.0767,2.8766
18,103,000000,V,sacres,5.1580,2.6198,12.9310,1.8142,-7.7730,3.1866,,,,,,,,,,,,
18,103,000000,V,sbedrm,17.3235,4.3980,36.5931,2.7431,-19.2696,5.1833,,,,,,,,,,,,
18,103,000000,V,sbiz,94.6929,15.0723,10.7759,1.6765,83.9170,15.1653,,,,,,,,,,,,
18,103,000000,V,sbldgsz,0.9528,2.2350,0.2524,0.7290,0.7004,2.3508,,,,,,,,,,,,
18,103,000000,V,sckitch,16.9987,4.6327,13.8801,1.7283,3.1186,4.9446,,,,,,,,,,,,
18,103,000000,V,scplumb,15.8510,4.1681,12.6183,1.9175,3.2327,4.5880,,,,,,,,,,,,
18,103,000000,V,sisvac,2.7934,2.7965,0.2524,0.9314,2.5410,2.9476,,,,,,,,,,,,
18,103,000000,V,smeals,20.6150,16.7622,28.9157,5.0512,-8.3007,17.5067,,,,,,,,,,,,
18,103,000000,V,srent,36.2187,16.9367,63.8554,5.3526,-27.6367,17.7623,,,,,,,,,,,,
18,103,000000,V,sroom,17.3235,4.3980,34.3849,2.7050,-17.0614,5.1632,,,,,,,,,,,,
18,103,000000,V,svalue,0.0000,29.5654,47.3684,6.6106,-47.3684,30.2955,,,,,,,,,,,,
18,103,000000,V,syrblt,27.9991,5.9563,14.8265,1.9974,13.1726,6.2823,,,,,,,,,,,,
18,103,952000,O,sacres,0.7146,2.0594,12.9577,1.4679,-12.2431,2.5290,,,,,,,,,,,,
18,103,952000,O,sagsales,8.4590,3.2361,22.9572,2.1604,-14.4982,3.8910,,,,,,,,,,,,
18,103,952000,O,sautos,0.2574,2.7210,9.5775,1.5845,-9.3201,3.1488,,,,,,,,,,,,
18,103,952000,O,sbedrm,0.6929,2.7561,10.9859,1.6828,-10.2930,3.2292,,,,,,,,,,,,
18,103,952000,O,sbiz,0.6352,2.0254,13.8028,1.5076,-13.1676,2.5249,,,,,,,,,,,,
18,103,952000,O,sbldgsz,1.0691,2.7943,9.2958,1.4287,-8.2267,3.1384,,,,,,,,,,,,
18,103,952000,O,sckitch,0.1386,2.7184,8.4507,1.3139,-8.3121,3.0193,,,,,,,,,,,,
18,103,952000,O,scplumb,0.1386,2.7184,8.4507,1.5178,-8.3121,3.1134,,,,,,,,,,,,
18,103,952000,O,selecdx,8.3944,2.5602,23.6620,2.2104,-15.2676,3.3824,,,,,,,,,,,,
18,103,952000,O,sfuel,0.4356,2.7520,10.9859,1.6264,-10.5503,3.1967,,,,,,,,,,,,
18,103,952000,O,sgasdx,17.3827,3.5082,32.1127,2.4283,-14.7300,4.2667,,,,,,,,,,,,
18,103,952000,O,sincins,11.6937,3.5168,22.6519,3.1836,-10.9582,4.7438,,,,,,,,,,,,
18,103,952000,O,sinctax,7.3557,2.9673,22.6519,3.1836,-15.2962,4.3520,,,,,,,,,,,,
18,103,952000,O,sinsd,21.9610,3.5490,45.2769,2.9069,-23.3159,4.5875,,,,,,,,,,,,
18,103,952000,O,smeals,14.2105,29.1663,13.1579,5.5661,1.0526,29.6927,,,,,,,,,,,,
18,103,952000,O,smhcost,48.8304,22.0561,69.4444,7.8559,-20.6140,23.4134,,,,,,,,,,,,
18,103,952000,O,smortg,2.0630,1.0648,6.1889,1.4072,-4.1259,1.7646,,,,,,,,,,,,
18,103,952000,O,smortg2d,20.1350,9.4855,32.6087,7.0725,-12.4737,11.8320,,,,,,,,,,,,
18,103,952000,O,smortgd,16.8616,4.5717,27.0718,3.3795,-10.2102,5.6852,,,,,,,,,,,,
18,103,952000,O,smovein,1.9798,0.8774,9.5775,1.5557,-7.5977,1.7861,,,,,,,,,,,,
18,103,952000,O,soildx,10.1564,1.8760,31.5493,2.4169,-21.3929,3.0595,,,,,,,,,,,,
18,103,952000,O,srent,12.1053,38.0969,13.1579,5.5661,-1.0526,38.5013,,,,,,,,,,,,
18,103,952000,O,sroom,0.3564,2.7853,10.4225,1.6443,-10.0661,3.2344,,,,,,,,,,,,
18,103,952000,O,staxd,23.3141,4.1661,42.6710,2.8885,-19.3569,5.0695,,,,,,,,,,,,
18,103,952000,O,stel,0.1386,2.7184,8.7324,1.3336,-8.5938,3.0279,,,,,,,,,,,,
18,103,952000,O,stenure,1.1681,2.0814,8.4507,1.4704,-7.2826,2.5484,,,,,,,,,,,,
18,103,952000,O,svalue,10.8474,2.7861,26.7101,2.5241,-15.8627,3.7594,,,,,,,,,,,,
18,103,952000,O,swaterdx,10.2752,2.0292,32.6761,2.4394,-22.4009,3.1731,,,,,,,,,,,,
18,103,952000,O,syrblt,4.7515,1.4154,10.7042,1.6421,-5.9527,2.1679,,,,,,,,,,,,
18,103,952000,V,sacres,0.0000,70.0000,10.5263,5.7981,-10.5263,70.2397,,,,,,,,,,,,
18,103,952000,V,sbedrm,18.1250,70.0000,52.6316,11.6143,-34.5066,70.9570,,,,,,,,,,,,
18,103,952000,V,sbiz,100.0000,56.9680,0.0000,2.6450,100.0000,57.0294,,,,,,,,,,,,
18,103,952000,V,sbldgsz,0.0000,70.0000,4.2105,4.2713,-4.2105,70.1302,,,,,,,,,,,,
18,103,952000,V,sckitch,18.1250,70.0000,15.7895,7.4456,2.3355,70.3949,,,,,,,,,,,,
18,103,952000,V,scplumb,18.1250,70.0000,26.3158,10.3864,-8.1908,70.7664,,,,,,,,,,,,
18,103,952000,V,sisvac,0.0000,70.0000,0.0000,3.8043,0.0000,70.1033,,,,,,,,,,,,
18,103,952000,V,smeals,,,100.0000,10.0484,,,,,,,,,,,,,,
18,103,952000,V,srent,,,100.0000,10.0484,,,,,,,,,,,,,,
18,103,952000,V,sroom,18.1250,70.0000,42.1053,11.4846,-23.9803,70.9359,,,,,,,,,,,,
18,103,952000,V,svalue,,,16.0000,16.3879,,,,,,,,,,,,,,
18,103,952000,V,syrblt,38.7500,67.6219,15.7895,8.3715,22.9605,68.1381,,,,,,,,,,,,
18,103,952100,O,sacres,1.9153,2.1533,11.8598,1.4109,-9.9445,2.5743,,,,,,,,,,,,
18,103,952100,O,sagsales,4.4416,6.9639,15.0538,2.2038,-10.6122,7.3043,,,,,,,,,,,,
18,103,952100,O,sautos,0.5746,2.6850,6.4516,1.5148,-5.8770,3.0828,,,,,,,,,,,,
18,103,952100,O,sbedrm,0.6321,2.6943,6.7204,1.5553,-6.0883,3.1110,,,,,,,,,,,,
18,103,952100,O,sbiz,1.5514,2.1136,9.7035,1.2917,-8.1521,2.4771,,,,,,,,,,,,
18,103,952100,O,sbldgsz,0.0000,3.2278,6.1828,1.3394,-6.1828,3.4947,,,,,,,,,,,,
18,103,952100,O,sckitch,0.5746,2.6850,4.8387,1.1153,-4.2641,2.9074,,,,,,,,,,,,
18,103,952100,O,scplumb,0.5746,2.6850,4.8387,1.3090,-4.2641,2.9871,,,,,,,,,,,,
18,103,952100,O,selecdx,1.5897,2.1235,22.0430,2.5313,-20.4533,3.3041,,,,,,,,,,,,
18,103,952100,O,sfuel,0.0000,3.2278,8.6022,1.7122,-8.6022,3.6538,,,,,,,,,,,,
18,103,952100,O,sgasdx,5.4204,2.0218,26.6129,2.6986,-21.1925,3.3720,,,,,,,,,,,,
18,103,952100,O,sincins,11.9346,3.9922,16.1458,3.2293,-4.2112,5.1348,,,,,,,,,,,,
18,103,952100,O,sinctax,8.2858,3.3700,14.0625,3.0510,-5.7767,4.5459,,,,,,,,,,,,
18,103,952100,O,sinsd,25.7173,5.1143,39.3189,3.3052,-13.6016,6.0894,,,,,,,,,,,,
18,103,952100,O,smeals,21.0300,13.3797,17.5000,7.3555,3.5300,15.2683,,,,,,,,,,,,
18,103,952100,O,smhcost,30.5898,19.0776,72.4638,6.5396,-41.8740,20.1673,,,,,,,,,,,,
18,103,952100,O,smortg,1.8491,2.2651,5.8824,1.5921,-4.0333,2.7686,,,,,,,,,,,,
18,103,952100,O,smortg2d,15.2098,19.7599,36.5854,9.1479,-21.3756,21.7747,,,,,,,,,,,,
18,103,952100,O,smortgd,12.1627,3.9662,20.8333,3.5642,-8.6706,5.3323,,,,,,,,,,,,
18,103,952100,O,smovein,2.7581,1.1703,5.6452,1.3752,-2.8871,1.8058,,,,,,,,,,,,
18,103,952100,O,soildx,12.4497,2.7205,33.8710,2.8900,-21.4213,3.9690,,,,,,,,,,,,
18,103,952100,O,srent,7.9399,30.5412,30.0000,8.8711,-22.0601,31.8035,,,,,,,,,,,,
18,103,952100,O,sroom,1.6280,2.1459,6.4516,1.5261,-4.8236,2.6332,,,,,,,,,,,,
18,103,952100,O,staxd,22.9968,5.0236,32.1981,3.1616,-9.2013,5.9356,,,,,,,,,,,,
18,103,952100,O,stel,0.5746,2.6850,5.6452,1.1996,-5.0706,2.9408,,,,,,,,,,,,
18,103,952100,O,stenure,0.5938,2.6965,5.3763,1.3440,-4.7825,3.0129,,,,,,,,,,,,
18,103,952100,O,svalue,12.1998,3.5155,19.8142,2.6098,-7.6144,4.3784,,,,,,,,,,,,
18,103,952100,O,swaterdx,6.3015,1.7307,28.4946,2.7563,-22.1931,3.2546,,,,,,,,,,,,
18,103,952100,O,syrblt,6.9910,2.0024,10.7527,1.9175,-3.7617,2.7724,,,,,,,,,,,,
18,103,952100,V,sacres,0.0000,64.5682,31.8182,8.3465,-31.8182,65.1054,,,,,,,,,,,,
18,103,952100,V,sbedrm,0.0000,64.5682,63.6364,12.2875,-63.6364,65.7270,,,,,,,,,,,,
18,103,952100,V,sbiz,100.0000,70.0000,0.0000,2.5088,100.0000,70.0449,,,,,,,,,,,,
18,103,952100,V,sbldgsz,0.0000,64.5682,0.0000,3.2017,0.0000,64.6475,,,,,,,,,,,,
18,103,952100,V,sckitch,0.0000,64.5682,63.6364,10.2815,-63.6364,65.3817,,,,,,,,,,,,
18,103,952100,V,scplumb,0.0000,64.5682,50.0000,12.5422,-50.0000,65.7751,,,,,,,,,,,,
18,103,952100,V,sisvac,0.0000,64.5682,0.0000,4.2429,0.0000,64.7075,,,,,,,,,,,,
18,103,952100,V,smeals,,,63.6364,17.7578,,,,,,,,,,,,,,
18,103,952100,V,srent,,,100.0000,5.1681,,,,,,,,,,,,,,
18,103,952100,V,sroom,0.0000,64.5682,63.6364,12.2875,-63.6364,65.7270,,,,,,,,,,,,
18,103,952100,V,svalue,0.0000,70.0000,,,,,,,,,,,,,,,,
18,103,952100,V,syrblt,0.0000,64.5682,63.6364,12.2439,-63.6364,65.7188,,,,,,,,,,,,
18,103,952200,O,sacres,3.7561,1.3892,14.2857,1.8528,-10.5296,2.3158,,,,,,,,,,,,
18,103,952200,O,sagsales,0.0000,70.0000,50.0000,17.1568,-50.0000,72.0719,,,,,,,,,,,,
18,103,952200,O,sautos,0.9135,2.3781,2.1978,1.0552,-1.2843,2.6017,,,,,,,,,,,,
18,103,952200,O,sbedrm,2.3521,1.1195,1.8315,1.0152,0.5206,1.5113,,,,,,,,,,,,
18,103,952200,O,sbiz,4.0244,1.4392,6.7460,1.3280,-2.7216,1.9583,,,,,,,,,,,,
18,103,952200,O,sbldgsz,0.9591,3.1841,3.6630,1.2195,-2.7039,3.4096,,,,,,,,,,,,
18,103,952200,O,sckitch,0.6851,2.2012,2.5641,0.9590,-1.8790,2.4010,,,,,,,,,,,,
18,103,952200,O,scplumb,0.3425,3.1524,1.4652,0.9969,-1.1227,3.3063,,,,,,,,,,,,
18,103,952200,O,selecdx,5.3894,1.6113,20.8791,2.8972,-15.4897,3.3151,,,,,,,,,,,,
18,103,952200,O,sfuel,0.0000,3.8484,2.5641,1.1267,-2.5641,4.0100,,,,,,,,,,,,
18,103,952200,O,sgasdx,7.3761,2.1820,20.8791,2.8972,-13.5030,3.6270,,,,,,,,,,,,
18,103,952200,O,sincins,12.9116,5.1374,12.8440,3.8972,0.0676,6.4484,,,,,,,,,,,,
18,103,952200,O,sinctax,6.1975,2.9685,12.8440,3.8972,-6.6465,4.8990,,,,,,,,,,,,
18,103,952200,O,sinsd,28.1923,4.7352,41.0377,4.1084,-12.8454,6.2691,,,,,,,,,,,,
18,103,952200,O,smeals,0.0000,18.8084,13.7931,5.5435,-13.7931,19.6083,,,,,,,,,,,,
18,103,952200,O,smhcost,41.9913,16.2712,88.8889,9.0081,-46.8976,18.5983,,,,,,,,,,,,
18,103,952200,O,smortg,1.5610,3.2612,3.3019,1.4924,-1.7409,3.5864,,,,,,,,,,,,
18,103,952200,O,smortg2d,16.1954,10.3590,11.7647,9.5028,4.4307,14.0575,,,,,,,,,,,,
18,103,952200,O,smortgd,8.5862,3.5175,14.6789,4.1222,-6.0927,5.4190,,,,,,,,,,,,
18,103,952200,O,smovein,2.0553,2.3801,4.3956,1.4259,-2.3403,2.7746,,,,,,,,,,,,
18,103,952200,O,soildx,17.7438,2.7200,47.9853,3.5611,-30.2415,4.4811,,,,,,,,,,,,
18,103,952200,O,srent,0.0000,18.8084,22.4138,6.7040,-22.4138,19.9674,,,,,,,,,,,,
18,103,952200,O,sroom,2.4892,1.0613,3.6630,1.3621,-1.1738,1.7268,,,,,,,,,,,,
18,103,952200,O,staxd,16.2660,3.1779,33.4906,3.9419,-17.2246,5.0633,,,,,,,,,,,,
18,103,952200,O,stel,0.5937,3.1882,2.5641,0.9590,-1.9704,3.3293,,,,,,,,,,,,
18,103,952200,O,stenure,0.7536,2.3541,3.2967,1.2419,-2.5431,2.6616,,,,,,,,,,,,
18,103,952200,O,svalue,11.7702,2.7806,20.2830,3.2497,-8.5128,4.2770,,,,,,,,,,,,
18,103,952200,O,swaterdx,17.0815,3.6520,26.7399,3.1549,-9.6584,4.8260,,,,,,,,,,,,
18,103,952200,O,syrblt,17.2414,4.0972,10.2564,2.1921,6.9850,4.6467,,,,,,,,,,,,
18,103,952200,V,sacres,0.0000,70.0000,13.0435,5.9024,-13.0435,70.2484,,,,,,,,,,,,
18,103,952200,V,sbedrm,0.0000,70.0000,0.0000,3.2895,0.0000,70.0772,,,,,,,,,,,,
18,103,952200,V,sbiz,100.0000,69.6514,13.0435,5.9024,86.9565,69.9010,,,,,,,,,,,,
18,103,952200,V,sbldgsz,0.0000,70.0000,0.0000,2.9451,0.0000,70.0619,,,,,,,,,,,,
18,103,952200,V,sckitch,24.2009,68.1310,0.0000,2.7525,24.2009,68.1865,,,,,,,,,,,,
18,103,952200,V,scplumb,0.0000,70.0000,0.0000,3.2304,0.0000,70.0745,,,,,,,,,,,,
18,103,952200,V,sisvac,0.0000,70.0000,0.0000,3.9029,0.0000,70.1087,,,,,,,,,,,,
18,103,952200,V,smeals,,,0.0000,5.1681,,,,,,,,,,,,,,
18,103,952200,V,srent,,,45.4545,18.3810,,,,,,,,,,,,,,
18,103,952200,V,sroom,0.0000,70.0000,19.2308,9.2603,-19.2308,70.6099,,,,,,,,,,,,
18,103,952200,V,svalue,0.0000,70.0000,66.6667,14.3223,-66.6667,71.4502,,,,,,,,,,,,
18,103,952200,V,syrblt,52.0548,63.0637,19.2308,9.2274,32.8240,63.7352,,,,,,,,,,,,
18,103,952300,O,sacres,3.3011,1.3531,8.1448,1.5465,-4.8437,2.0549,,,,,,,,,,,,
18,103,952300,O,sagsales,0.0000,70.0000,0.0000,6.7938,0.0000,70.3289,,,,,,,,,,,,
18,103,952300,O,sautos,0.4784,3.3158,3.7313,1.3768,-3.2529,3.5902,,,,,,,,,,,,
18,103,952300,O,sbedrm,0.0000,4.0307,2.6119,1.1672,-2.6119,4.1963,,,,,,,,,,,,
18,103,952300,O,sbiz,2.0489,2.9800,4.9774,1.2296,-2.9285,3.2237,,,,,,,,,,,,
18,103,952300,O,sbldgsz,0.4066,3.3721,3.3582,1.1804,-2.9516,3.5727,,,,,,,,,,,,
18,103,952300,O,sckitch,0.0000,4.0307,2.2388,0.9059,-2.2388,4.1312,,,,,,,,,,,,
18,103,952300,O,scplumb,0.0000,4.0307,2.6119,1.1462,-2.6119,4.1905,,,,,,,,,,,,
18,103,952300,O,selecdx,12.6525,3.7747,15.2985,2.5897,-2.6460,4.5776,,,,,,,,,,,,
18,103,952300,O,sfuel,1.4590,3.5688,5.5970,1.6537,-4.1380,3.9334,,,,,,,,,,,,
18,103,952300,O,sgasdx,10.5716,3.0663,16.4179,2.6650,-5.8463,4.0626,,,,,,,,,,,,
18,103,952300,O,sincins,6.0865,6.1192,11.9658,3.6490,-5.8793,7.1246,,,,,,,,,,,,
18,103,952300,O,sinctax,0.8559,6.5757,9.4017,3.2812,-8.5458,7.3489,,,,,,,,,,,,
18,103,952300,O,sinsd,24.6509,5.3174,32.2404,4.2017,-7.5895,6.7771,,,,,,,,,,,,
18,103,952300,O,smeals,6.1678,15.1260,5.1282,3.0578,1.0396,15.4320,,,,,,,,,,,,
18,103,952300,O,smhcost,50.4505,39.3694,50.0000,19.2281,0.4505,43.8140,,,,,,,,,,,,
18,103,952300,O,smortg,0.0000,5.4733,4.9180,1.9439,-4.9180,5.8083,,,,,,,,,,,,
18,103,952300,O,smortg2d,20.1629,22.9358,23.0769,10.0484,-2.9140,25.0404,,,,,,,,,,,,
18,103,952300,O,smortgd,1.9496,4.9511,16.2393,4.1465,-14.2897,6.4581,,,,,,,,,,,,
18,103,952300,O,smovein,3.8747,1.6528,2.9851,1.1947,0.8896,2.0394,,,,,,,,,,,,
18,103,952300,O,soildx,18.1057,2.9782,29.1045,3.2679,-10.9988,4.4214,,,,,,,,,,,,
18,103,952300,O,srent,6.1678,15.1260,17.9487,5.3200,-11.7809,16.0343,,,,,,,,,,,,
18,103,952300,O,sroom,0.0000,4.0307,3.7313,1.3871,-3.7313,4.2627,,,,,,,,,,,,
18,103,952300,O,staxd,20.6236,4.9736,26.2295,3.9544,-5.6059,6.3540,,,,,,,,,,,,
18,103,952300,O,stel,0.0000,4.0307,3.3582,1.1032,-3.3582,4.1789,,,,,,,,,,,,
18,103,952300,O,stenure,0.0000,4.0307,3.7313,1.3305,-3.7313,4.2446,,,,,,,,,,,,
18,103,952300,O,svalue,9.1913,3.4031,9.2896,2.5250,-0.0983,4.2375,,,,,,,,,,,,
18,103,952300,O,swaterdx,28.5099,5.3963,28.3582,3.2427,0.1517,6.2957,,,,,,,,,,,,
18,103,952300,O,syrblt,15.0921,4.0082,7.0896,1.8716,8.0025,4.4237,,,,,,,,,,,,
18,103,952300,V,sacres,0.0000,44.9395,37.0370,7.8113,-37.0370,45.6133,,,,,,,,,,,,
18,103,952300,V,sbedrm,10.5809,30.6162,37.0370,11.1344,-26.4561,32.5780,,,,,,,,,,,,
18,103,952300,V,sbiz,72.5333,49.2086,37.0370,7.8113,35.4963,49.8247,,,,,,,,,,,,
18,103,952300,V,sbldgsz,4.7718,29.5004,0.0000,2.8900,4.7718,29.6416,,,,,,,,,,,,
18,103,952300,V,sckitch,10.5809,30.6162,37.0370,9.3166,-26.4561,32.0024,,,,,,,,,,,,
18,103,952300,V,scplumb,10.5809,30.6162,37.0370,10.9343,-26.4561,32.5102,,,,,,,,,,,,
18,103,952300,V,sisvac,10.5809,30.6162,0.0000,3.8299,10.5809,30.8548,,,,,,,,,,,,
18,103,952300,V,smeals,28.6517,70.0000,,,,,,,,,,,,,,,,
18,103,952300,V,srent,28.6517,70.0000,,,,,,,,,,,,,,,,
18,103,952300,V,sroom,10.5809,30.6162,37.0370,11.1344,-26.4561,32.5780,,,,,,,,,,,,
18,103,952300,V,svalue,0.0000,70.0000,100.0000,5.2095,-100.0000,70.1936,,,,,,,,,,,,
18,103,952300,V,syrblt,10.5809,30.6162,0.0000,3.2166,10.5809,30.7847,,,,,,,,,,,,
18,103,952400,O,sacres,1.7555,3.2923,10.2326,1.7373,-8.4771,3.7225,,,,,,,,,,,,
18,103,952400,O,sagsales,0.0000,70.0000,0.0000,13.1561,0.0000,71.2256,,,,,,,,,,,,
18,103,952400,O,sautos,0.7241,3.1481,5.3957,1.6115,-4.6716,3.5366,,,,,,,,,,,,
18,103,952400,O,sbedrm,1.6746,2.3000,7.1942,1.8567,-5.5196,2.9559,,,,,,,,,,,,
18,103,952400,O,sbiz,0.5329,4.3367,9.7674,1.7017,-9.2345,4.6586,,,,,,,,,,,,
18,103,952400,O,sbldgsz,0.0000,3.8136,6.4748,1.5831,-6.4748,4.1291,,,,,,,,,,,,
18,103,952400,O,sckitch,0.7241,3.1481,3.9568,1.1721,-3.2327,3.3592,,,,,,,,,,,,
18,103,952400,O,scplumb,1.1315,2.3648,3.9568,1.3756,-2.8253,2.7358,,,,,,,,,,,,
18,103,952400,O,selecdx,4.5033,2.1904,19.7842,2.8140,-15.2809,3.5660,,,,,,,,,,,,
18,103,952400,O,sfuel,1.4709,3.3140,5.3957,1.5959,-3.9248,3.6782,,,,,,,,,,,,
18,103,952400,O,sgasdx,5.5442,2.2251,20.8633,2.8702,-15.3191,3.6317,,,,,,,,,,,,
18,103,952400,O,sincins,7.3722,6.4477,11.2000,3.4303,-3.8278,7.3034,,,,,,,,,,,,
18,103,952400,O,sinctax,4.5779,6.0995,9.6000,3.2043,-5.0221,6.8899,,,,,,,,,,,,
18,103,952400,O,sinsd,24.2318,5.4362,32.7778,4.2548,-8.5460,6.9033,,,,,,,,,,,,
18,103,952400,O,smeals,5.9199,8.9630,13.8298,4.3593,-7.9099,9.9668,,,,,,,,,,,,
