-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
MANU        49718.000    1995     1     1     0
MANU        52274.750    2001    12    31    18
MANU      3179009.383 -5518662.137  -344401.868
49739.50    -1.841303    -0.412176    -1.006438
49739.75    -1.813094    -0.631778     0.405426
49740.00    -1.399702    -0.616491     0.498651
49740.25    -1.475466    -0.632560     0.169068
49740.50    -1.454012    -0.289541    -0.237480
49740.75    -1.403631    -0.474001     1.061924
49741.00    -1.566198    -0.433000     0.841143
49741.25    -1.709562    -0.470650     0.218519
49741.50    -1.534334    -0.109583    -0.656083
49741.75    -1.679788    -0.395386     0.425821
49742.00    -1.680652    -0.460394     0.735950
49742.25    -1.791470    -0.567229     0.159913
49742.50    -1.680146    -0.220036    -0.993137
49742.75    -1.845801    -0.589081     0.417247
49743.00    -1.569771    -0.613386     1.146902
49743.25    -1.865228    -0.801035    -0.241527
49743.50    -1.765204    -0.521561    -1.174233
49743.75    -1.895248    -0.811418     0.025927
49744.00    -1.857145    -0.780266     0.782927
49744.25    -2.234306    -0.863094    -0.519795
49744.50    -2.085123    -0.580678    -1.416507
49744.75    -2.108391    -0.847678     0.209756
49745.00    -2.170550    -0.913562     0.548630
49745.25    -2.413099    -0.954785    -0.248455
49745.50    -2.086188    -0.549960    -1.123285
49745.75    -2.105134    -0.799838     0.341221
49746.00    -1.778114    -0.830705     0.848669
49746.25    -1.784428    -1.053785     0.108175
49746.50    -1.283678    -0.743553    -0.971924
49746.75    -1.095998    -1.139174     1.093527
49747.00    -1.050216    -1.208892     0.544629
49747.25    -1.181983    -1.346270    -0.137135
49747.50    -0.981174    -1.189584    -0.584699
49747.75    -0.880154    -1.505142     0.692049
49748.00    -1.065785    -1.703977     1.168578
49748.25    -1.410942    -1.808830     0.150186
49748.50    -1.221941    -1.572791    -0.817328
49748.75    -1.165422    -1.918011     0.291821
49749.00    -1.046323    -1.956985     0.525921
49749.25    -1.171793    -1.945277    -0.921502
49749.50    -0.922195    -1.538273    -1.744839
49749.75    -0.895612    -1.624110    -0.382968
49750.00    -0.763145    -1.481628    -0.568462
49750.25    -0.920045    -1.394268    -1.065731
49750.50    -0.872414    -0.872993    -1.727174
49750.75    -1.172947    -0.966663    -0.295847
49751.00    -1.054798    -0.809114    -0.310115
49751.25    -1.373620    -0.692693    -0.768528
49751.50    -1.079128    -0.195828    -1.649852
49751.75    -0.948136    -0.373715     1.058652
49752.00    -0.545475    -0.320638     0.376876
49752.25    -0.552921    -0.261604    -0.768974
49752.50    -0.216844     0.133535    -1.045384
49752.75    -0.131623    -0.020303     0.041654
49753.00     0.088880    -0.121834     0.089446
49753.25    -0.034872    -0.177642    -1.125774
49753.50     0.529959     0.141461    -1.934685
49753.75     0.669219    -0.121830    -0.596630
49754.00     0.914235    -0.178928    -0.388729
49754.25     1.049417    -0.224389    -1.381486
49754.50     1.475750     0.216567    -1.775012
49754.75     1.551294     0.058112    -0.889059
49755.00     1.783576     0.011658    -0.482044
49755.25     1.578996     0.078212    -1.925927
49755.50     1.877069     0.465583    -1.217511
49755.75     1.762072     0.290631    -0.609385
49756.00     1.852276     0.225327    -0.568031
49756.25     1.497597     0.249465    -2.369230
49756.50     1.850006     0.603272    -2.158033
49756.75     1.886688     0.428279    -1.338413
49757.00     1.726412     0.278464    -0.990078
49757.25     1.642308     0.182135    -2.051312
49757.50     1.863636     0.520150    -2.754444
49757.75     1.630791     0.247706    -1.571588
49758.00     1.507573     0.130696    -0.827857
49758.25     0.939309    -0.019192    -2.242903
49758.50     0.918291     0.373143    -2.360378
49758.75     0.532101     0.021562    -0.832478
49759.00     0.320638    -0.079503     0.037473
49759.25    -0.182212    -0.213751    -1.536195
49759.50    -0.078321     0.119806    -1.320631
49759.75    -0.450468    -0.221310    -0.206582
49760.00    -0.690191    -0.287763     0.390363
49760.25    -1.434165    -0.422301    -1.265323
49760.50    -1.362256    -0.168626    -1.371983
49760.75    -1.704817    -0.556540    -0.025601
49761.00    -1.772757    -0.685361     0.366956
49761.25    -2.019550    -0.765641    -1.024754
49761.50    -1.474169    -0.350610    -1.531653
49761.75    -1.542662    -0.608761    -0.218887
49762.00    -1.428766    -0.650413    -0.499730
49762.25    -1.492008    -0.730493    -1.426489
49762.50    -1.100428    -0.324897    -1.590686
49762.75    -0.918617    -0.613669    -0.188009
49763.00    -0.708941    -0.732710    -0.382319
49763.25    -1.033585    -0.844791    -1.427045
49763.50    -0.691596    -0.421481    -1.537958
49763.75    -0.699554    -0.621932    -0.391785
49764.00    -0.532163    -0.682097     0.205274
49764.25    -0.770896    -0.701023    -0.926285
49764.50    -0.185898    -0.279648    -0.418646
49764.75    -0.080839    -0.420915     1.038130
49765.00     0.060514    -0.423255     1.649089
49765.25     0.048488    -0.452323    -0.258340
49765.50     0.357761     0.027555    -0.706762
49765.75     0.078393    -0.219422     0.626913
49766.00     0.026716    -0.286162     0.844143
49766.25    -0.676199    -0.413297    -0.544804
49766.50    -0.677633    -0.009522    -0.345746
49766.75    -1.056807    -0.286461     0.703921
49767.00    -0.990762    -0.312340     1.019294
49767.25    -1.326347    -0.599034    -0.213394
49767.50    -0.810783    -0.365426    -0.070250
49767.75    -0.989720    -0.691171     1.530166
49768.00    -0.983111    -0.703410     1.636150
49768.25    -1.443317    -0.801052     1.164996
49768.50    -1.038518    -0.404669     0.361146
49768.75    -1.036050    -0.573773     1.038579
49769.00    -0.820074    -0.636271     1.647214
49769.25    -0.791696    -0.628857     0.179201
49769.50    -0.472475    -0.151851    -0.115506
49769.75    -0.610721    -0.335298     0.935418
49770.00    -0.373387    -0.363333     1.039768
49770.25    -0.724518    -0.352358     0.469737
49770.50    -0.689023     0.036829    -0.170719
49770.75    -0.973061    -0.197268     0.679682
49771.00    -0.780345    -0.174630     0.790726
49771.25    -1.338388    -0.267482    -0.019671
49771.50    -0.866685     0.144446    -0.397370
49771.75    -0.839686    -0.067200     0.996198
49772.00    -0.634324    -0.023175     1.102746
49772.25    -0.912120    -0.029756     0.316858
49772.50    -0.405238     0.442623    -0.445759
49772.75    -0.433649     0.195021     1.056639
49773.00    -0.223477     0.204412     0.722914
49773.25    -0.339393     0.125857    -0.244888
49773.50     0.092955     0.599264    -0.724045
49773.75    -0.221349     0.357300     0.651078
49774.00    -0.192503     0.323075     1.089208
49774.25    -0.564402     0.227836    -0.190153
49774.50    -0.464111     0.799889    -0.774295
49774.75    -0.828969     0.622794     0.953177
49775.00    -0.846705     0.559017     1.636205
49775.25    -1.280153     0.463325     0.642817
49775.50    -1.060212     0.883530     0.185697
49775.75    -1.151986     0.656727     1.949716
49776.00    -1.193466     0.540130     1.935793
49776.25    -1.468483     0.512912     1.053898
49776.50    -1.000391     0.955600     0.343533
49776.75    -1.128164     0.679413     2.454868
49777.00    -1.118510     0.580868     2.325180
49777.25    -1.309059     0.407913     0.748955
49777.50    -1.176186     0.803989     0.130857
49777.75    -1.425409     0.485156     1.457504
49778.00    -1.433244     0.283241     1.269993
49778.25    -1.765104    -0.015076    -0.190312
49778.50    -1.584799     0.357266    -0.502883
49778.75    -1.702411     0.109031     0.789144
49779.00    -1.392685     0.017162     1.469015
49779.25    -1.625933    -0.003237    -0.253693
49779.50    -1.141603     0.468128    -0.631871
49779.75    -0.923054     0.326386     0.785942
49780.00    -0.893342     0.253065     1.690208
49780.25    -1.212902     0.305411     0.080558
49780.50    -1.104243     0.621133    -0.075012
49780.75    -1.200106     0.352921     1.192325
49781.00    -1.456515     0.229225     1.716123
49781.25    -1.548727     0.188130     1.220226
49781.50    -1.195856     0.605627    -0.041643
49781.75    -1.293766     0.309487     1.540915
49782.00    -1.028757     0.230663     1.652099
49782.25    -1.382991     0.197416     0.750697
49782.50    -1.442553     0.627138     0.476639
49782.75    -1.744987     0.404611     1.862798
49783.00    -1.891848     0.217336     2.071404
49783.25    -2.542828     0.096656     0.966397
49783.50    -2.465781     0.399717     0.334153
49783.75    -2.821498     0.064006     2.297590
49784.00    -2.568334    -0.076537     2.009121
49784.25    -2.923324    -0.181898     0.881111
49784.50    -2.494368     0.164364    -0.036941
49784.75    -2.657542    -0.155578     1.307490
49785.00    -2.178977    -0.287425     1.634854
49785.25    -2.384997    -0.379246    -0.342890
49785.50    -1.947471     0.035458    -0.705992
49785.75    -2.036860    -0.300218     0.519587
49786.00    -1.671500    -0.460955     0.288571
49786.25    -2.127653    -0.615715    -1.157416
49786.50    -1.767284    -0.185896    -2.135456
49786.75    -1.993926    -0.520893    -0.669332
49787.00    -1.789235    -0.616405    -0.752618
49787.25    -2.162381    -0.864868    -1.886138
49787.50    -1.686658    -0.499684    -2.165100
49787.75    -1.639845    -0.719917    -0.715468
49788.00    -1.359470    -0.814559    -1.170959
49788.25    -1.526637    -0.885679    -2.221878
49788.50    -1.279769    -0.555760    -2.031137
49788.75    -1.786768    -0.865514     0.276757
49789.00    -1.862732    -0.861798     0.516985
49789.25    -2.684595    -0.858654     0.038687
49789.50    -2.770475    -0.474171     0.105051
49789.75    -2.958915    -0.686680     1.558586
49790.00    -3.089709    -0.728870     1.736290
49790.25    -3.590732    -0.764703     0.912604
49790.50    -3.222698    -0.300526     0.701599
49790.75    -3.151412    -0.406196     1.676906
49791.00    -2.585414    -0.464805     1.861704
49791.25    -2.486479    -0.545153     0.766485
49791.50    -1.911164    -0.101079     0.685361
49791.75    -1.837504    -0.254766     2.124493
49792.00    -1.257906    -0.165493     2.386691
49792.25    -1.540866    -0.257263     0.689379
49792.50    -1.372399     0.156138     0.053014
49792.75    -1.377494    -0.145626     1.025397
49793.00    -1.053650    -0.089180     0.453269
49793.25    -1.158828    -0.312083    -0.347235
49793.50    -0.576457     0.213233    -1.019855
49793.75    -0.208964    -0.125669    -0.322726
49794.00     0.496493    -0.117071    -0.534814
49794.25     0.603977    -0.243518    -0.636444
49794.50     1.365745     0.325566    -1.596173
49794.75     1.550257     0.032082    -0.615316
49795.00     1.834475    -0.119232    -0.908550
49795.25     1.899586    -0.299233    -1.316256
49795.50     2.243324     0.070623    -1.611449
49795.75     2.054980    -0.237252     0.139167
49796.00     2.173738    -0.371652    -0.060682
49796.25     1.677893    -0.562938    -1.152266
49796.50     1.680693    -0.388617    -1.602381
49796.75     1.429104    -0.666377    -0.704629
49797.00     1.537745    -0.914414    -1.021109
49797.25     0.648300    -1.092202    -1.725201
49797.50     0.777112    -0.731635    -2.326204
49797.75     0.388390    -1.041700    -0.423310
49798.00     0.314724    -1.171497    -0.712316
49798.25    -0.225052    -1.190657    -1.505554
49798.50     0.051019    -0.715744    -1.127702
49798.75    -0.440043    -0.958562     0.889562
49799.00    -0.383381    -0.846712     0.645689
49799.25    -0.803281    -0.883159     0.099023
49799.50    -0.689778    -0.464181    -0.003094
49799.75    -1.084581    -0.850712     1.860239
49800.00    -0.792446    -0.738698     1.340287
49800.25    -1.122323    -0.726072     0.557678
49800.50    -0.556544    -0.254202     0.270197
49800.75    -0.485354    -0.518889     1.931923
49801.00     0.025109    -0.339113     1.569101
49801.25    -0.126079    -0.254867     0.843903
49801.50     0.694861     0.496226     0.311092
49801.75     0.797887     0.434949     1.815143
49802.00     0.936258     0.526761     1.909455
49802.25     0.647416     0.619086     1.625800
49802.50     1.312344     1.204721     1.125443
49802.75     1.019835     1.016784     2.862033
49803.00     1.074003     1.058694     2.595542
49803.25     0.735766     0.912431     1.816534
49803.50     0.978718     1.361213     1.708557
49803.75     0.661932     0.990334     3.885482
49804.00     0.755345     0.925348     2.990301
49804.25     0.327838     0.676951     2.652787
49804.50     0.743527     1.085269     1.910294
49804.75     0.696709     0.635066     3.621302
49805.00     1.059163     0.623082     3.300740
49805.25     0.703307     0.358595     2.696960
49805.50     1.062797     0.794626     1.168924
49805.75     0.488292     0.348491     2.641609
49806.00     0.399306     0.185903     2.085311
49806.25    -0.204841    -0.135858     1.740254
49806.50     0.079151     0.250946     0.698847
49806.75    -0.269325    -0.243930     2.276323
49807.00    -0.093510    -0.400098     1.902841
49807.25    -0.364578    -0.549456     1.431489
49807.50     0.000750    -0.200448     0.902460
49807.75    -0.148604    -0.624353     1.964295
49808.00     0.177070    -0.687573     1.632113
49808.25     0.042999    -0.715628     1.072069
49808.50     0.639483    -0.218910    -0.257949
49808.75     0.730631    -0.536593     1.238434
49809.00     1.058792    -0.418754     0.933036
49809.25     0.950779    -0.448653    -0.524981
49809.50     1.516689     0.106768    -0.677143
49809.75     1.324251    -0.103400     0.807219
49810.00     1.356407    -0.173918     0.343688
49810.25     0.890699    -0.318201    -0.003048
49810.50     1.108755     0.084812    -0.490547
49810.75     0.813539    -0.221556     1.370385
49811.00     0.869959    -0.282176     0.174991
49811.25     0.416947    -0.553099     0.071412
49811.50     0.741012    -0.213434    -0.113275
49811.75     0.699649    -0.570402     0.867408
49812.00     0.550127    -0.657241     0.681365
49812.25    -0.014693    -0.749111     0.469256
49812.50     0.086560    -0.419119    -0.237148
49812.75    -0.178674    -0.738019     1.148604
49813.00    -0.096905    -0.609948     0.698846
49813.25    -0.406399    -0.661637     0.069381
49813.50     0.024113    -0.163883    -0.701683
49813.75    -0.077932    -0.410659     0.794828
49814.00     0.004962    -0.212595     0.349566
49814.25    -0.319925    -0.228320    -0.262303
49814.50    -0.046784     0.214131    -0.455245
49814.75     0.198708     0.007525     1.559788
49815.00     0.320560    -0.058254     1.147297
49815.25     0.128676    -0.174164     0.690680
49815.50     0.530784     0.219846     0.687737
49815.75     0.526568    -0.180409     2.379312
49816.00     0.502627    -0.319611     1.761131
49816.25     0.049466    -0.463200     1.178094
49816.50     0.389177    -0.092696     0.950326
49816.75     0.161126    -0.491859     2.503958
49817.00     0.025552    -0.545358     1.712609
49817.25    -0.515606    -0.702691     1.439502
49817.50    -0.350779    -0.242939     0.660251
49817.75    -0.733538    -0.531028     2.280924
49818.00    -0.812495    -0.518688     0.661014
49818.25    -1.191158    -0.697932     0.821527
49818.50    -0.986045    -0.043925    -0.796759
49818.75    -1.285986    -0.292652     0.482728
49819.00    -1.121565    -0.228304     0.038750
49819.25    -1.581491    -0.332964    -0.043828
49819.50    -1.418823     0.162478    -1.378020
49819.75    -1.715218    -0.180192     1.496756
49820.00    -1.592888    -0.101607     0.063352
49820.25    -2.036029    -0.276700     0.464609
49820.50    -1.715838     0.002082    -0.409305
49820.75    -1.869931    -0.380366     1.467611
49821.00    -1.776826    -0.296221     0.741011
49821.25    -2.156892    -0.492372     0.951640
49821.50    -1.936497     0.056074    -0.165435
49821.75    -2.249183    -0.131465     1.616563
49822.00    -2.284810    -0.095664     0.933332
49822.25    -2.762433    -0.074348     0.920406
49822.50    -2.360128     0.466502    -0.606042
49822.75    -2.358158     0.197680     0.882196
49823.00    -2.111383     0.218968     0.452906
49823.25    -2.166235     0.014923     0.346759
49823.50    -1.555506     0.559677    -0.384315
49823.75    -1.551417     0.343780     0.760622
49824.00    -1.345824     0.319469     0.626838
49824.25    -1.255541     0.179964     0.181075
49824.50    -1.205213     0.505935    -0.677988
49824.75    -1.150319     0.172548     1.349402
49825.00    -0.930019     0.012080     1.458752
49825.25    -1.100445    -0.040238     0.574860
49825.50    -0.681853     0.344614     0.083345
49825.75    -0.641724    -0.030422     1.500374
49826.00    -0.527514    -0.126754     1.098412
49826.25    -0.711219    -0.112765     0.613300
49826.50    -0.546900     0.426053    -0.225148
49826.75    -0.961435     0.107838     0.969244
49827.00    -1.158093     0.132514     0.481614
49827.25    -1.512517    -0.011416     0.253477
49827.50    -1.268655     0.459145    -0.800352
49827.75    -1.446365     0.245582     0.688849
49828.00    -1.535295     0.241445     0.442691
49828.25    -1.969212     0.185322    -0.285045
49828.50    -1.843423     0.633020    -0.588261
49828.75    -2.094129     0.279786     1.317236
49829.00    -1.994124     0.296308     0.444038
49829.25    -2.651468     0.197030     0.245440
49829.50    -2.544032     0.631942    -0.501952
49829.75    -2.836675     0.279664     1.026271
49830.00    -2.816364     0.252464     0.712697
49830.25    -3.094249     0.087844     0.889668
49830.50    -2.640778     0.665727    -0.364456
49830.75    -2.594241     0.307980     1.376427
49831.00    -2.164106     0.319296     0.631322
49831.25    -2.309807     0.330036     0.750414
49831.50    -1.812058     0.835379    -0.184910
49831.75    -1.768927     0.554852     1.236919
49832.00    -1.550998     0.604712     0.778511
49832.25    -1.632000     0.532160     0.636817
49832.50    -1.160935     1.008249    -0.061442
49832.75    -1.153848     0.616859     1.690327
49833.00    -0.791015     0.608745     1.285826
49833.25    -1.162505     0.471900     0.752592
49833.50    -0.688485     0.938917     0.576277
49833.75    -0.891941     0.584685     2.306058
49834.00    -0.829645     0.479474     1.899041
49834.25    -1.295863     0.257200     1.552806
49834.50    -0.776429     0.741887     0.836052
49834.75    -0.889277     0.381811     2.414649
49835.00    -0.906925     0.418979     2.095534
49835.25    -1.306101     0.141271     1.582019
49835.50    -1.048954     0.511310     0.916133
49835.75    -1.139067     0.138835     2.591478
49836.00    -1.083509     0.195216     1.623271
49836.25    -1.417161     0.154928     1.328636
49836.50    -1.032888     0.518154     0.160368
49836.75    -1.120613     0.180236     1.683454
49837.00    -0.880437     0.219107     0.995848
49837.25    -0.974419     0.191955     0.388814
49837.50    -0.477786     0.658638     0.327053
49837.75    -0.674450     0.359223     2.039816
49838.00    -0.609256     0.368232     1.214754
49838.25    -0.764172     0.174278     1.555765
49838.50    -0.276580     0.510521     0.860257
49838.75    -0.410854     0.105166     1.600989
49839.00    -0.328532    -0.096668     1.045432
49839.25    -0.512530    -0.321310     0.866279
49839.50    -0.349983     0.044695     0.101997
49839.75    -0.805541    -0.403799     1.131812
49840.00    -0.702849    -0.419201     0.116459
49840.25    -1.245118    -0.465703    -0.869550
49840.50    -0.904299     0.130197    -1.155608
49840.75    -0.947589    -0.205788     0.364898
49841.00    -0.672063    -0.148015     0.383827
49841.25    -0.744321    -0.055086    -0.005356
49841.50    -0.339259     0.546410    -0.816761
49841.75    -0.310151     0.422024     0.500333
49842.00    -0.194341     0.421287     0.190438
49842.25    -0.308923     0.403478    -0.179120
49842.50     0.076909     0.803342    -0.852355
49842.75     0.222850     0.435340     0.945460
49843.00     0.470100     0.343602     0.997675
49843.25     0.252873     0.118155     0.498008
49843.50     0.630747     0.425676    -0.632999
49843.75     0.524509     0.017157     1.276068
49844.00     0.426013     0.036899     0.506564
49844.25    -0.142036    -0.178840    -0.204607
49844.50     0.069852     0.289501    -0.605164
49844.75    -0.246777    -0.034503     0.651542
49845.00    -0.328170     0.001200     0.299190
49845.25    -0.714361    -0.080455    -0.272583
49845.50    -0.391941     0.482570    -1.163317
49845.75    -0.607846     0.276431     0.879685
49846.00    -0.370249     0.428537    -1.042405
49846.25    -0.535520     0.335499    -0.528630
49846.50     0.026884     0.854960    -1.403178
49846.75     0.111125     0.670219     0.425898
49847.00     0.419795     0.728941    -0.583030
49847.25     0.294221     0.662545    -0.453218
49847.50     0.640287     1.046928    -1.631924
49847.75     0.646621     0.632252     0.155759
49848.00     0.635240     0.618168    -0.744084
49848.25     0.477196     0.340109    -0.567326
49848.50     0.763537     0.628899    -1.208421
49848.75     0.573887     0.124106    -0.171159
49849.00     0.500567    -0.009046    -0.358541
49849.25     0.173171    -0.205199    -0.742370
49849.50     0.270645     0.085028    -1.119765
49849.75    -0.002862    -0.233413     0.273836
49850.00    -0.120984    -0.289109    -0.031084
49850.25    -0.571625    -0.305203    -0.623578
49850.50    -0.394326     0.155022    -0.860346
49850.75    -0.455574    -0.123692     0.121636
49851.00    -0.361453     0.041486    -0.363101
49851.25    -0.531367     0.077158    -0.680470
49851.50    -0.064800     0.564750    -1.121495
49851.75    -0.046866     0.331204     0.044458
49852.00     0.064850     0.421523     0.282983
49852.25    -0.262674     0.311858    -0.833109
49852.50     0.307078     0.640876    -1.204355
49852.75     0.219074     0.296276     0.620741
49853.00     0.585988     0.180787     0.555298
49853.25     0.286351    -0.044425     0.031226
49853.50     0.635318     0.309429    -0.414953
49853.75     0.509146     0.025650     0.990308
49854.00     0.507561    -0.070804     0.236150
49854.25     0.017761    -0.144148    -0.316840
49854.50    -0.013791     0.231547    -1.065148
49854.75    -0.333828     0.028963    -0.224684
49855.00    -0.628659     0.026751    -0.645864
49855.25    -1.209549    -0.031826    -1.500210
49855.50    -1.115116     0.338507    -1.828792
49855.75    -1.623928     0.065547    -0.717134
49856.00    -1.813733     0.013318    -0.414456
49856.25    -2.270951    -0.106517    -1.246237
49856.50    -2.387505     0.116921    -1.590805
49856.75    -2.766259    -0.283335     0.052261
49857.00    -2.828144    -0.269433    -0.100818
49857.25    -3.180261    -0.404372    -1.220720
49857.50    -3.038534     0.020155    -1.021234
49857.75    -3.088463    -0.218462    -0.010240
49858.00    -2.839452    -0.062898    -0.833475
49858.25    -3.102017    -0.083153    -1.306051
49858.50    -2.720319     0.438946    -1.958589
49858.75    -2.621127     0.276599    -0.566107
49859.00    -2.410721     0.273066    -0.882917
49859.25    -2.645236     0.151664    -0.608740
49859.50    -2.079277     0.643256    -1.305484
49859.75    -2.232573     0.323410     0.069427
49860.00    -2.227371     0.342907    -0.176473
49860.25    -2.479529     0.125940    -0.293768
49860.50    -2.076175     0.600913    -1.249809
49860.75    -2.317728     0.264225     0.011356
49861.00    -2.084719     0.283088    -0.491090
49861.25    -2.390753     0.095810    -0.515345
49861.50    -2.050496     0.598569    -1.050959
49861.75    -2.172676     0.335239     0.340693
49862.00    -1.898762     0.366126    -0.387052
49862.25    -2.265889     0.208954    -0.931605
49862.50    -2.025643     0.683259    -2.028706
49862.75    -2.323356     0.283294    -0.276979
49863.00    -2.017115     0.241255    -1.144410
49863.25    -2.369690     0.023513    -1.453149
49863.50    -1.870312     0.416028    -1.658108
49863.75    -2.007819     0.032792    -0.279522
49864.00    -1.862681    -0.003934    -0.851056
49864.25    -2.295993    -0.130566    -0.850388
49864.50    -2.077615     0.349648    -1.695827
49864.75    -2.315855     0.033933    -0.505802
49865.00    -2.153847     0.058374    -0.759590
49865.25    -2.490159    -0.122410    -1.239744
49865.50    -1.998918     0.375667    -1.695284
49865.75    -2.044331     0.144510    -0.663738
49866.00    -1.624742     0.236831    -1.624217
49866.25    -1.741626     0.096704    -1.630173
49866.50    -1.242456     0.551699    -2.594623
49866.75    -1.355400     0.223092    -1.321901
49867.00    -1.183775     0.183951    -1.924692
49867.25    -1.415814    -0.026633    -1.721296
49867.50    -1.005280     0.392732    -2.113547
49867.75    -1.047791     0.074794    -0.751978
49868.00    -0.988038     0.002894    -1.127423
49868.25    -1.375410    -0.121703    -1.964481
49868.50    -1.226214     0.244293    -1.863895
49868.75    -1.363886    -0.016268    -0.368743
49869.00    -1.258713     0.041990    -0.947337
49869.25    -1.345030    -0.000730    -1.307294
49869.50    -1.136027     0.428110    -1.642802
49869.75    -1.191274     0.237014    -0.106693
49870.00    -1.033584     0.303056    -0.393477
49870.25    -1.224935     0.227808    -1.546542
49870.50    -1.044222     0.629798    -1.357638
49870.75    -0.923988     0.375797    -0.115742
