Pjt No,Pjt Name,Terrty,Office,Main Grp,Catgy No,Catgy Name,Subcatgy,SoA,NC/Refi,Mtg Amt,Units,Pjt Street,Pjt City,Pjt ST,Pjt Zip,Cty No,County,MSA No,MSA Name,Lat,Lon,IE FY,Orig No,Orig Name,Hldr No,Holder Name,Serv No,Servicer Name,Serv ST
06435300,SHARLO TERRACE II,6,New Orleans,Basic FHA,5,223a7 Refi Apts,A7/221d4,REJ,Refi/ Pchse,"$2,082,500 ",90,1808 BRIGHTSIDE DR,Baton Rouge,LA,70820,33,East Baton Rouge Parish,0760,"BATON ROUGE, LA",30.38738,-91.17447,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
06435305,The Park,6,New Orleans,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$15,208,700 ",272,8008 Bluebonnett,BATON ROUGE,LA,70810,33,East Baton Rouge Parish,0760,"BATON ROUGE, LA",30.363,-91.0918,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
06435306,CHAMPION LAKE APARTMENTS,6,New Orleans,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$12,144,800 ",256,CHAMPION LAKE DRIVE,SHREVEPORT,LA,71106,17,Caddo Parish,7680,"SHREVEPORT-BOSSIER CITY, LA",32.4278,-93.7488,FY96,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,72873,MALONE MORTGAGE CO AMERICA LTD,TX
06443065,ST. JOSEPH'S MANOR,6,New Orleans,Basic FHA,3,232 Health Care,NH 232,RNF,NC/SR,"$2,934,800 ",78,CARDINAL DRIVE,THIBODAUX,LA,70301,57,Lafourche Parish,3350,"HOUMA, LA",29.7939,-90.8312,FY94,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,51385,DAVIS-PENN MORTGAGE CO,TX
06443072,ST. DOMINIC,6,New Orleans,Basic FHA,3,232 Health Care,Board & Care,RNT,NC/SR,"$8,357,200 ",130,1101 ALINE STREET,NEW ORLEANS,LA,70115,71,Orleans Parish,5560,"NEW ORLEANS, LA",29.9223,-90.0905,FY95,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,VA
064EE001,WESTMINSTER GARDENS II,6,New Orleans,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$638,885 ",14,501 W Hanson Ave,Hammond,LA,70403,105,Tangipahoa Parish,0,NM,30.500739,-90.464811,FY94,,,,,,,
064EE004,ASSISI VILLA,6,New Orleans,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,194,600 ",68,HARRY DRIVE,BATON ROUGE,LA,70807,33,East Baton Rouge Parish,0760,"BATON ROUGE, LA",30.5561,-91.167,FY94,,,,,,,
064EE010,CALAIS HOUSE,6,New Orleans,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,334,600 ",67,HARRY DRIVE,BATON ROUGE,LA,70807,33,East Baton Rouge Parish,0760,"BATON ROUGE, LA",30.5561,-91.167,FY94,,,,,,,
064EE015,CHATEAU DES AMIS,6,New Orleans,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,294,800 ",50,955 Dardeau St,Ville Platte,LA,70586,39,Evangeline Parish,0,NM,30.6919,-92.2742,FY95,,,,,,,
064EE018,WELSH VOA ELDERLY HOUSIN,6,New Orleans,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$907,700 ",20,607 Naebers St,Welsh,LA,70591,53,Jefferson Davis Parish,0,NM,30.230682,-92.812807,FY95,,,,,,,
064EE024,VILLAGE DU VIE,6,New Orleans,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$927,300 ",20,TARLETON STREET,JEANERETTE,LA,70544,45,Iberia Parish,0,NM,29.9141,-91.67,FY95,,,,,,,
064EE025,ST BERNARD III,6,New Orleans,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$3,211,100 ",66,ARCHBISHOP HANNAN BLVD,MERAUX,LA,70075,87,St. Bernard Parish,5560,"NEW ORLEANS, LA",29.9379,-89.9189,FY95,,,,,,,
064HD008,SERENITY VILLAGE,6,New Orleans,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$645,000 ",20,EAST STREET EXTENSION,OPELOUSAS,LA,70570,97,St. Landry Parish,3880,"LAFAYETTE, LA",30.5148,-92.0894,FY94,,,,,,,
064HD010,RUSTON VOA LIVING CENTER,6,New Orleans,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$871,300 ",16,SOUTHLINE AVENUE & U.S.,RUSTON,LA,71270,61,Lincoln Parish,0,NM,32.5307,-92.6429,FY95,,,,,,,
064HD012,LAKE CHARLES VOA LIVING,6,New Orleans,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$1,010,900 ",19,645 15TH STREET,LAKE CHARLES,LA,70601,19,Calcasieu Parish,3960,"LAKE CHARLES, LA",30.2089,-93.213,FY95,,,,,,,
064HD016,MAISON D'ESPRIT,6,New Orleans,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$982,800 ",20,414 GUILBEAU RD.,LAFAYETTE,LA,70506,55,Lafayette Parish,3880,"LAFAYETTE, LA",30.1959,-92.0659,FY95,,,,,,,
064HD021,ST RITA'S HOME,6,New Orleans,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$931,800 ",20,LOUISIANA AVENUE,LAFAYETTE,LA,70508,55,Lafayette Parish,3880,"LAFAYETTE, LA",30.1627,-92.0153,FY95,,,,,,,
064HH001,BATON ROUGE VOA LIVING C,6,New Orleans,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$755,400 ",21,NOT APPLICABLE,BATON ROUGE,LA,70802,33,East Baton Rouge Parish,0760,"BATON ROUGE, LA",30.4441,-91.1693,FY94,,,,,,,
064HH008,FRIENDS ALLIANCE FOR THE MENTALLY ILL,6,New Orleans,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$355,000 ",6,8316 Apple St,NEW ORLEANS,LA,70118,71,Orleans Parish,5560,"NEW ORLEANS, LA",29.9387,-90.1244,FY96,,,,,,,
08211039,SOUTHOAKS APARTMENTS,6,Little Rock,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,500,000 ",204,3401 FAIR PARK BLVD,LITTLE ROCK,AR,72204,119,Pulaski,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",34.7204,-92.3341,FY94,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,VA
08211040,MCCAIN PARK APARTMENTS,6,Little Rock,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$3,102,200 ",240,3900 MCCAIN PARK DR,NORTH LITTLE ROCK,AR,72116,119,Pulaski,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",34.7949,-92.2239,FY96,03338,CHARTER MORTGAGE & INVESTMENT,03338,CHARTER MORTGAGE & INVESTMENT,03338,CHARTER MORTGAGE & INVESTMENT,AR
08235294,OVERBROOK IV APARTMENTS,6,Little Rock,Basic FHA,5,223a7 Refi Apts,A7/221d4,REJ,Refi/ Pchse,"$2,798,400 ",96,5901 J.F.K.,NORTH LITTLE ROCK,AR,72116,119,Pulaski,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",34.806,-92.2367,FY94,03338,CHARTER MORTGAGE & INVESTMENT,03338,CHARTER MORTGAGE & INVESTMENT,03338,CHARTER MORTGAGE & INVESTMENT,AR
08235297,HUNTINGTON PLACE APARTME,6,Little Rock,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$1,582,300 ",46,1603-05 CLIFTON STREET,CONWAY,AR,72032,45,Faulkner,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",35.1007,-92.445,FY95,75283,HANOVER CAPITAL MORTGAGE CORP,75283,HANOVER CAPITAL MORTGAGE CORP,75283,HANOVER CAPITAL MORTGAGE CORP,MO
08235299,REMINGTON APARTMENTS,6,Little Rock,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$2,024,700 ",48,WEST C STREET,RUSSELLVILLE,AR,72801,115,Pope,0,NM,35.2875,-93.1308,FY95,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
08235301,BURCHWOOD HARBOUR APARTM,6,Little Rock,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$3,288,100 ",72,BURCHWOOD BAY ROAD,HOT SPRINGS,AR,71913,51,Garland,0,NM,34.4505,-93.101,FY96,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
08243039,INNISFREE NURSING CENTER,6,Little Rock,Basic FHA,3,232 Health Care,NH 232,RNF,NC/SR,"$2,572,500 ",70,SOUTH 24TH STREET,ROGERS,AR,72756,7,Benton,2580,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",36.342,-94.1613,FY94,75283,HANOVER CAPITAL MORTGAGE CORP,75283,HANOVER CAPITAL MORTGAGE CORP,75283,HANOVER CAPITAL MORTGAGE CORP,MO
08243042,PIONEER NURSING CENTER,6,Little Rock,Basic FHA,3,232 Health Care,NH 232,RNF,NC/SR,"$2,007,400 ",76,HIGHWAY 69 SOUTH,MELBOURNE,AR,72556,65,Izard,0,NM,36.0593,-91.9055,FY95,72198,WILSON MORTGAGE SERVICES INC,72198,WILSON MORTGAGE SERVICES INC,72198,WILSON MORTGAGE SERVICES INC,AR
082EE005,TWIN OAKS APARTMENTS,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$827,400 ",20,MAPLE STREET,KENSETT,AR,72082,145,White,0,NM,35.2294,-91.6694,FY94,,,,,,,
082EE006,WILLIAMS MANOR,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$661,900 ",16,POLLARD,BRADFORD,AR,72020,145,White,0,NM,35.4336,-91.5226,FY94,,,,,,,
082EE025,CYPRESS KNOLL,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$672,200 ",16,JOHNSON STREET,CAVE CITY,AR,72521,135,Sharp,0,NM,35.9474,-91.5409,FY94,,,,,,,
082EE029,BILLY V. HALL SENIOR COM,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$840,300 ",20,LIMEKILN ROAD,GRAVETTE,AR,72736,7,Benton,2580,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",36.408,-94.4801,FY94,,,,,,,
082EE032,ROSEWOOD APARTMENTS,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$840,300 ",20,GRIFFIN STREET,HARRISBURG,AR,72432,111,Poinsett,0,NM,35.5638,-90.7261,FY94,,,,,,,
082EE041,HERITAGE MANOR OF CROSSE,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$866,200 ",20,HIGHWAY 52,CROSSETT,AR,71635,3,Ashley,0,NM,33.1533,-91.9577,FY95,,,,,,,
082EE045,RENEGAR APARTMENTS,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$692,900 ",16,COUNTY ROAD,QUITMAN,AR,72131,23,Cleburne,0,NM,35.4043,-92.1327,FY95,,,,,,,
082EE046,OZARK MEADOWS APARTMENTS,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$866,200 ",20,NO ADDRESS,BERRYVILLE,AR,72616,15,Carroll,0,NM,36.3544,-93.5566,FY95,,,,,,,
082EE048,CHRISTOPHER HOMES OF NLR,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$2,434,200 ",56,6800 CAMP ROBINSTON ROAD,NORTH LITTLE ROCK,AR,72118,119,Pulaski,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",34.8168,-92.2731,FY95,,,,,,,
082EE054,SPRING CREEK MANOR,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$723,900 ",16,HWY 69,SULPHUR ROCK,AR,72579,63,Independence,0,NM,35.7535,-91.5067,FY96,,,,,,,
082EE055,HERITAGE MANOR OF FORDYC,6,Little Rock,202/811,1,202/811,202 Cap Adv,ZPE,NC/SR,"$723,900 ",16,EDGAR STREET,FORDYCE,AR,71742,39,Dallas,0,NM,33.8072,-92.4047,FY95,,,,,,,
082HD001,ON OUR OWN III,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$827,400 ",20,BENNETT AND PRINGLE LANE,HOT SPRINGS,AR,71901,51,Garland,0,NM,34.4947,-93.0864,FY94,,,,,,,
082HD008,"MULBERRY PLACE, INC.",6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$806,900 ",19,"LTS 4-8,18-19 MULBERRY S",JACKSONVILLE,AR,72076,119,Pulaski,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",34.88,-92.1248,FY94,,,,,,,
082HD013,NEW BEGINNINGS,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$866,200 ",20,CHAUCER STREET,HOT SPRINGS,AR,71914,51,Garland,0,NM,34.5307,-93.0478,FY94,,,,,,,
082HD014,PECAN STREET APARTMENTS,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$313,900 ",6,10TH AND PECAN STREETS,TEXARKANA,AR,75504,37,Bowie,8360,"TEXARKANA, TX-TEXARKANA, AR",33.4057,-94.1216,FY95,,,,,,,
082HD016,GATEWAY APARTMENTS,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$635,000 ",17,403 E Trickey Ln,Jacksonville,AR,72076,119,Pulaski,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",34.852244,-92.113648,FY94,,,,,,,
082HD017,BIRCH LEAF APARTMENTS,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$866,200 ",20,343 BABCOCK STREET,MALVERN,AR,72104,59,Hot Spring,0,NM,34.3718,-92.8103,FY95,,,,,,,
082HD020,EAST OAK PLACE,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$904,900 ",20,SAMANTHA DR,JONESBORO,AR,72401,31,Craighead,0,NM,35.8614,-90.7062,FY95,,,,,,,
082HD022,"PATHFINDER MEADOWS, INC.",6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$407,200 ",9,2121 Bishop Rd,Bryant,AR,72022,125,Saline,4400,"LITTLE ROCK-NORTH LITTLE ROCK, AR",34.61319,-92.5005,FY95,,,,,,,
082HD023,VIRGINIA KELLEY,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$950,200 ",21,SECTION LINE ROAD,HOT SPRINGS,AR,71913,51,Garland,0,NM,34.4996,-93.0747,FY95,,,,,,,
082HD026,REACH OUT II,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$950,200 ",21,2507 Pine Bluff St,Malvern,AR,72104,59,Hot Spring,0,NM,34.36082,-92.78583,FY95,,,,,,,
082HH008,THE HEMINGWAY,6,Little Rock,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$225,800 ",9,2514 SOUTH 48TH ST,SPRINGDALE,AR,72764,143,Washington,2580,"FAYETTEVILLE-SPRINGDALE-ROGERS, AR",36.1624,-94.1837,FY94,,,,,,,
09135143,WESTWIND APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$3,310,800 ",109,3741 CANYON LAKE DRIVE,RAPID CITY,SD,57702,103,Pennington,6660,"RAPID CITY, SD",44.0689,-103.2817,FY95,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
09135146,SANDSTONE RIDGE APTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$9,092,900 ",125,3600 Sheridan Lake Rd,Rapid City,SD,57702,103,Pennington,6660,"RAPID CITY, SD",44.053818,-103.262206,FY96,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,VA
09141001,COLONIAL SQUARE APTS,8,Denver,Presv 241f,7,Presv 241f,241f 236,ZFR,,"$661,000 ",42,802-810 EAST 13TH STREET,YANKTON,SD,57078,135,Yankton,0,NM,42.8816,-97.3812,FY95,42162,GMAC MORTGAGE CORPORATION PA,42162,GMAC MORTGAGE CORPORATION PA,42162,GMAC MORTGAGE CORPORATION PA,PA
09335103,ARCADIA GARDENS APTS.,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$7,770,000 ",160,NWC DURSTON & 22ND AVES.,BOZEMAN,MT,59715,31,Gallatin,0,NM,45.6688,-111.0424,FY96,22726,FIRST TRUST NATIONAL ASSOC,22726,FIRST TRUST NATIONAL ASSOC,22726,FIRST TRUST NATIONAL ASSOC,MN
09341001,PARKVIEW APARTMENTS,8,Denver,Presv 241f,7,Presv 241f,241f 236,ZFR,,"$739,500 ",84,"624 5TH AVENUE, N.W.",GREAT FALLS,MT,59404,13,Cascade,3040,"GREAT FALLS, MT",47.5126,-111.3221,FY94,76034,HUNTOON HASTINGS CAPITAL CORP,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,PA
09341002,SENTINEL VILLAGE APTS,8,Denver,Presv 241f,7,Presv 241f,241f 236,ZFR,,"$968,900 ",60,1111 MC DONALD AVENUE,MISSOULA,MT,59801,63,Missoula,0,NM,46.8394,-114.0143,FY95,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,60152,REILLY MORTGAGE GROUP,VA
093HD004,ASI-GREAT FALLS,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$1,583,600 ",24,1500 29th St S,Great Falls,MT,59405,13,Cascade,3040,"GREAT FALLS, MT",47.489099,-111.257121,FY95,,,,,,,
094HD001,SAHNISH HOUSING,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$277,900 ",8,NORTH 35TH STREET,BISMARCK,ND,58501,15,Burleigh,1010,"BISMARCK, ND",46.8073,-100.766,FY95,,,,,,,
094HD005,PRAIRIE HARVEST FOUND.,8,Denver,202/811,1,202/811,811 Cap Adv,ZPD,NC/SR,"$769,200 ",13,700 43RD STREET,GRAND FORKS CITY,ND,58203,35,Grand Forks,2985,"GRAND FORKS, ND-MN",47.9259,-97.0906,FY96,,,,,,,
10111045,STONE CREEK APARTMENTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$4,867,400 ",167,1225 W. PROSPECT ROAD,FORT COLLINS,CO,80526,69,Larimer,2670,"FORT COLLINS-LOVELAND, CO",40.5672,-105.0973,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10111046,WESTPORT APARTMENTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,062,500 ",60,5390 ALLISON STREET,ARVADA,CO,80002,59,Jefferson,2080,"DENVER, CO",39.7934,-105.0857,FY94,34489,WMF-HUNTOON PAIGE ASSOCIATES,98310,GMAC MORTGAGE CORP,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10111057,VERDE MEADOWS APts,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,253,000 ",100,1470 South Chelton Rd,Colorado Springs,CO,80909,41,El Paso,1720,"COLORADO SPRINGS, CO",38.85371,-104.76497,FY94,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,24864,CENTENNIAL MORTGAGE INC,IN
10111058,WESTHILLS APARTMENTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$14,198,000 ",400,453 VAN GORDON STREET,LAKEWOOD,CO,80228,59,Jefferson,2080,"DENVER, CO",39.7208,-105.1349,FY95,09632,AMERICAN CAPITAL RESOURCE INC,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10111060,LAKEVIEW APARTMENTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$7,188,000 ",504,3701-3711 & 3801-3811 W,WESTMINSTER,CO,80030,1,Adams,2080,"DENVER, CO",39.8544,-105.0372,FY95,22999,GLASER FINANCIAL GROUP INC,22999,GLASER FINANCIAL GROUP INC,22999,GLASER FINANCIAL GROUP INC,MN
10111063,PARKLAND SQUARE APTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,470,000 ",101,750 WEST BELLVIEW AVENUE,LITTLETON,CO,80120,5,Arapahoe,2080,"DENVER, CO",39.6242,-104.996,FY95,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,34489,WMF-HUNTOON PAIGE ASSOCIATES,NJ
10111064,GARFIELD AVENUE APTS,8,Denver,Basic FHA,4,223f Pchse/ Refi Apts,223F Apts,HRI,Refi/ Pchse,"$1,460,000 ",57,900 GARFIELD AVENUE,CARBONDALE,CO,81623,45,Garfield,0,NM,39.3998,-107.2155,FY95,70324,PFC CORPORATION,70324,PFC CORPORATION,70324,PFC CORPORATION,CA
10111067,DUCK CREEK APARTMENTS,8,Denver,Basic FHA,5,223a7 Refi Apts,A7/223f,REK,Refi/ Pchse,"$4,600,000 ",268,2038 S Vaughn Way,Aurora,CO,80014,5,Arapahoe,2080,"DENVER, CO",39.678824,-104.835597,FY95,15628,BANKERS MORTGAGE AND INVESTMENT,15628,BANKERS MORTGAGE AND INVESTMENT,15628,BANKERS MORTGAGE AND INVESTMENT,KS
10132006,BANK LOFTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,220,LUR,NC/SR,"$8,131,500 ",118,817 17TH STREET,DENVER,CO,80202,31,Denver,2080,"DENVER, CO",39.7469,-104.9916,FY96,05015,BANK ONE BOULDER NA,05015,BANK ONE BOULDER NA,05015,BANK ONE BOULDER NA,CO
10135438,PINECONE APARTMENTS,8,Denver,Basic FHA,2,FHA NC/SR Apts,221d4,OMI,NC/SR,"$10,711,500 ",195,TIMBERLINE ROAD,FORT COLLINS,CO,80524,69,Larimer,2670,"FORT COLLINS-LOVELAND, CO",40.591,-105.0373,FY94,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,05120,MELLON MORTGAGE COMPANY,PA
